sequence,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeuEJvhF1lB0hB?xiBqsBToBXqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhFigB3hB?+oBcqBlnBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeFAJvhF0hBxiB?qpB3lBGoBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeCAJvhF0hBxiB?llBWtBzpBXtB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je0BJvhFxiBfqB?llBGoBzsBCqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hBTjB?3lBFtBOqB6sB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je3AJvhF1mBxiB?qpBGoBUlBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hB6nB?llBToBOqBXtB
TIOLZSJ,O,X,X,X,X,O,X,O
TIOJLSZ,O,X,X,X,X,X,O,X
TIOJLZS,O,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,O,O,X
TIOJSZL,X,X,X,X,X,O,X,X
TIOJZLS,X,X,X,X,X,X,O,O
TIOJZSL,X,X,X,X,X,O,X,X
TIOSLJZ,O,X,X,X,X,O,X,X
TIOSLZJ,O,X,X,X,X,O,X,X
TIOSJLZ,O,X,X,X,X,O,X,X
TIOSJZL,X,X,X,X,X,O,X,X
TIOSZLJ,X,X,X,X,X,O,X,O
TIOSZJL,X,X,X,X,X,O,X,X
TIOZLJS,X,X,X,X,X,X,X,O
TIOZLSJ,X,X,X,X,X,O,X,O
TIOZJLS,X,X,X,X,X,X,X,O
TIOZJSL,X,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,X,O
TIOZSJL,X,X,X,X,X,O,X,X
TLIJSZO,O,X,O,X,X,X,O,X
TLIJSOZ,O,X,X,X,X,X,O,X
TLIJZSO,O,X,O,X,X,X,O,X
TLIJZOS,O,X,O,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,O,X
TLIJOZS,O,X,O,X,X,X,X,X
TLISJZO,O,X,X,X,X,O,O,X
TLISJOZ,O,X,X,X,X,O,O,X
TLISZJO,O,X,X,X,X,O,X,X
TLISZOJ,O,X,X,X,X,O,X,X
TLISOJZ,O,X,X,X,X,O,O,X
TLISOZJ,O,X,X,X,X,O,X,X
TLIZJSO,O,X,O,X,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,O
TLIZSJO,O,X,O,X,X,O,X,X
TLIZSOJ,O,X,O,X,X,O,X,O
TLIZOJS,O,X,O,X,X,X,X,O
TLIZOSJ,O,X,O,X,X,O,X,O
TLIOJSZ,O,X,O,X,X,X,O,X
TLIOJZS,O,X,O,X,X,X,O,X
TLIOSJZ,O,X,X,X,X,O,O,X
TLIOSZJ,O,X,X,X,X,O,X,X
TLIOZJS,O,X,O,X,X,X,X,O
TLIOZSJ,O,X,O,X,X,O,X,O
TLJISZO,O,X,O,X,X,X,O,X
TLJISOZ,O,X,O,X,X,X,O,X
TLJIZSO,O,X,O,X,X,X,O,X
TLJIZOS,O,X,O,X,X,X,X,X
TLJIOSZ,O,X,X,X,X,X,O,X
TLJIOZS,O,X,O,X,X,X,X,X
TLJSIZO,O,X,O,X,X,X,O,X
TLJSIOZ,O,X,O,X,X,X,O,X
TLJSZIO,O,X,O,X,X,X,O,X
TLJSZOI,O,X,O,X,X,X,O,X
TLJSOIZ,O,X,O,X,X,X,O,X
TLJSOZI,O,X,O,X,X,X,O,X
TLJZISO,O,X,O,X,X,X,O,X
TLJZIOS,O,X,O,X,X,X,X,X
TLJZSIO,O,X,O,X,X,X,O,X
TLJZSOI,O,X,O,X,X,X,O,X
TLJZOIS,O,X,O,X,X,X,X,X
TLJZOSI,O,X,O,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,O,X
TLJOIZS,O,X,O,X,X,X,O,X
TLJOSIZ,O,X,O,X,X,X,O,X
TLJOSZI,O,X,O,X,X,X,O,X
TLJOZIS,O,X,O,X,X,X,O,X
TLJOZSI,O,X,O,X,X,X,O,X
TLSIJZO,O,X,O,X,X,O,O,X
TLSIJOZ,O,X,O,X,X,O,O,X
TLSIZJO,O,X,O,X,X,O,X,X
TLSIZOJ,O,X,O,X,X,O,X,X
TLSIOJZ,O,X,O,X,X,O,O,X
TLSIOZJ,O,X,O,X,X,O,X,X
TLSJIZO,O,X,O,X,X,X,O,X
TLSJIOZ,O,X,O,X,X,X,O,X
TLSJZIO,O,X,O,X,X,X,O,X
TLSJZOI,O,X,O,X,X,X,O,X
TLSJOIZ,O,X,O,X,X,X,O,X
TLSJOZI,O,X,O,X,X,X,O,X
TLSZIJO,O,X,O,X,X,O,X,X
TLSZIOJ,O,X,O,X,X,O,X,X
TLSZJIO,O,X,O,X,X,X,O,X
TLSZJOI,O,X,O,X,X,X,O,X
TLSZOIJ,O,X,O,X,X,O,X,X
TLSZOJI,O,X,O,X,X,X,O,X
TLSOIJZ,O,X,O,X,X,O,O,X
TLSOIZJ,O,X,O,X,X,O,X,X
TLSOJIZ,O,X,O,X,X,X,O,X
TLSOJZI,O,X,O,X,X,X,O,X
TLSOZIJ,O,X,O,X,X,O,X,X
TLSOZJI,O,X,O,X,X,X,O,X
TLZIJSO,O,X,O,X,X,X,X,X
TLZIJOS,O,X,O,X,X,X,X,O
TLZISJO,O,X,O,X,X,O,X,X
TLZISOJ,O,X,O,X,X,O,X,O
TLZIOJS,O,X,O,X,X,X,X,O
TLZIOSJ,O,X,O,X,X,O,X,O
TLZJISO,O,X,O,X,X,X,O,X
TLZJIOS,O,X,O,X,X,X,X,O
TLZJSIO,O,X,O,X,X,X,O,X
TLZJSOI,O,X,O,X,X,X,O,X
TLZJOIS,O,X,O,X,X,X,X,O
TLZJOSI,O,X,O,X,X,X,X,X
TLZSIJO,O,X,O,X,X,O,X,X
TLZSIOJ,O,X,O,X,X,O,X,O
TLZSJIO,O,X,O,X,X,X,O,X
TLZSJOI,O,X,O,X,X,X,O,X
TLZSOIJ,O,X,O,X,X,O,X,O
TLZSOJI,O,X,O,X,X,X,O,X
TLZOIJS,O,X,O,X,X,X,X,O
TLZOISJ,O,X,O,X,X,O,X,O
TLZOJIS,O,X,O,X,X,X,O,O
TLZOJSI,O,X,O,X,X,X,O,X
TLZOSIJ,O,X,O,X,X,O,X,O
TLZOSJI,O,X,O,X,X,X,O,X
TLOIJSZ,O,X,O,X,X,X,O,X
TLOIJZS,O,X,O,X,X,X,O,X
TLOISJZ,O,X,X,X,X,O,O,X
TLOISZJ,O,X,X,X,X,O,X,X
TLOIZJS,O,X,O,X,X,X,X,O
TLOIZSJ,O,X,O,X,X,O,X,O
TLOJISZ,O,X,O,X,X,X,O,X
TLOJIZS,O,X,O,X,X,X,O,X
TLOJSIZ,O,X,O,X,X,X,O,X
TLOJSZI,O,X,O,X,X,X,O,X
TLOJZIS,O,X,O,X,X,X,O,X
TLOJZSI,O,X,O,X,X,X,O,X
TLOSIJZ,O,X,O,X,X,O,O,X
TLOSIZJ,O,X,O,X,X,O,X,X
TLOSJIZ,O,X,O,X,X,X,O,X
TLOSJZI,O,X,O,X,X,X,O,X
TLOSZIJ,O,X,O,X,X,O,X,X
TLOSZJI,O,X,O,X,X,X,O,X
TLOZIJS,O,X,O,X,X,X,X,O
TLOZISJ,O,X,O,X,X,O,X,O
TLOZJIS,O,X,O,X,X,X,O,O
TLOZJSI,O,X,O,X,X,X,O,X
TLOZSIJ,O,X,O,X,X,O,X,O
TLOZSJI,O,X,O,X,X,X,O,X
TJILSZO,O,O,O,X,X,X,O,X
TJILSOZ,X,X,O,X,X,X,O,X
TJILZSO,O,O,O,X,X,X,O,X
TJILZOS,O,O,O,X,X,X,X,X
TJILOSZ,O,X,X,X,X,X,O,X
TJILOZS,O,X,O,X,X,X,X,X
TJISLZO,X,O,X,X,X,O,O,X
TJISLOZ,X,X,X,X,X,O,O,X
TJISZLO,X,O,X,X,X,O,X,X
TJISZOL,X,O,X,X,X,O,X,X
TJISOLZ,X,X,X,X,X,O,X,X
TJISOZL,X,O,X,X,X,O,X,X
TJIZLSO,O,O,O,X,X,X,O,X
TJIZLOS,O,O,O,X,X,X,X,O
TJIZSLO,O,O,X,X,X,O,X,X
TJIZSOL,X,O,X,X,X,O,X,X
TJIZOLS,O,O,X,O,X,X,X,O
TJIZOSL,X,O,X,O,X,O,X,X
TJIOLSZ,O,X,X,O,X,X,O,X
TJIOLZS,O,X,X,O,X,X,X,X
TJIOSLZ,X,X,X,O,X,O,X,X
TJIOSZL,X,O,X,O,X,O,X,X
TJIOZLS,X,O,X,O,X,X,X,O
TJIOZSL,X,O,X,O,X,O,X,X
TJLISZO,O,O,O,X,X,X,O,X
TJLISOZ,O,X,O,X,X,X,O,X
TJLIZSO,O,O,O,X,X,X,O,X
TJLIZOS,O,O,O,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,O,X
TJLIOZS,O,X,O,X,X,X,X,X
TJLSIZO,O,O,O,X,X,X,O,X
TJLSIOZ,O,X,O,X,X,X,O,X
TJLSZIO,O,O,O,X,X,X,O,X
TJLSZOI,O,O,O,X,X,X,O,X
TJLSOIZ,O,X,O,X,X,X,O,X
TJLSOZI,O,X,O,X,X,X,O,X
TJLZISO,O,O,O,X,X,X,O,X
TJLZIOS,O,O,O,X,X,X,X,X
TJLZSIO,O,O,O,X,X,X,O,X
TJLZSOI,O,O,O,X,X,X,O,X
TJLZOIS,O,O,O,X,X,X,X,X
TJLZOSI,O,O,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,O,X
TJLOIZS,O,X,O,X,X,X,O,X
TJLOSIZ,O,X,X,X,X,X,O,X
TJLOSZI,O,X,X,X,X,X,O,X
TJLOZIS,O,X,O,X,X,X,O,X
TJLOZSI,O,X,X,X,X,X,O,X
TJSILZO,O,O,X,X,X,O,O,X
TJSILOZ,O,X,X,X,X,O,O,X
TJSIZLO,O,O,X,X,X,O,X,X
TJSIZOL,O,O,X,X,O,O,X,X
TJSIOLZ,O,X,X,X,X,O,X,X
TJSIOZL,X,O,X,X,X,O,X,X
TJSLIZO,O,O,X,X,X,X,O,X
TJSLIOZ,O,X,X,X,X,X,O,X
TJSLZIO,O,O,X,X,X,X,O,X
TJSLZOI,O,O,X,X,O,X,O,X
TJSLOIZ,O,X,X,X,X,X,O,X
TJSLOZI,O,X,X,X,X,X,O,X
TJSZILO,O,O,X,X,X,O,X,X
TJSZIOL,O,O,X,X,O,O,X,X
TJSZLIO,O,O,X,X,X,X,X,X
TJSZLOI,O,O,X,X,O,X,X,X
TJSZOIL,O,O,X,X,O,O,X,X
TJSZOLI,O,O,X,X,O,X,X,X
TJSOILZ,O,X,X,X,X,O,X,X
TJSOIZL,X,O,X,X,X,O,X,X
TJSOLIZ,O,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X
TJSOZIL,O,O,X,X,O,O,X,X
TJSOZLI,O,O,X,X,O,X,X,X
TJZILSO,O,O,O,X,X,X,O,X
TJZILOS,O,O,O,X,X,X,X,O
TJZISLO,O,O,X,X,X,O,X,X
TJZISOL,O,O,X,X,X,O,X,X
TJZIOLS,O,O,X,O,X,X,X,O
TJZIOSL,X,O,X,O,X,O,X,X
TJZLISO,O,O,O,X,X,X,O,X
TJZLIOS,O,O,O,X,X,X,X,O
TJZLSIO,O,O,O,X,X,X,O,X
TJZLSOI,O,O,O,X,X,X,O,X
TJZLOIS,O,O,O,X,X,X,X,O
TJZLOSI,O,O,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,O,X,X
TJZSIOL,O,O,X,X,O,O,X,X
TJZSLIO,O,O,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X
TJZSOIL,O,O,X,X,O,O,X,X
TJZSOLI,O,O,X,X,O,X,X,X
TJZOILS,O,O,X,O,X,X,X,O
TJZOISL,X,O,X,O,X,O,X,X
TJZOLIS,O,O,X,O,X,X,X,O
TJZOLSI,O,O,X,O,X,X,X,X
TJZOSIL,X,O,X,O,X,O,X,X
TJZOSLI,X,O,X,O,X,X,X,X
TJOILSZ,O,X,X,O,X,X,O,X
TJOILZS,O,X,X,O,X,X,O,X
TJOISLZ,X,X,X,O,X,O,O,X
TJOISZL,X,O,X,O,X,O,X,X
TJOIZLS,X,O,X,O,X,X,O,O
TJOIZSL,X,O,X,O,X,O,X,X
TJOLISZ,O,X,X,O,X,X,O,X
TJOLIZS,O,X,X,O,X,X,O,X
TJOLSIZ,O,X,X,O,X,X,O,X
TJOLSZI,O,X,X,O,X,X,O,X
TJOLZIS,O,X,X,O,X,X,O,X
TJOLZSI,O,X,X,O,X,X,O,X
TJOSILZ,O,X,X,O,X,O,O,X
TJOSIZL,X,O,X,O,X,O,X,X
TJOSLIZ,O,X,X,O,X,X,O,X
TJOSLZI,O,X,X,O,X,X,O,X
TJOSZIL,X,O,X,O,X,O,X,X
TJOSZLI,O,O,X,O,X,X,X,X
TJOZILS,O,O,X,O,X,X,O,O
TJOZISL,X,O,X,O,X,O,X,X
TJOZLIS,O,O,X,O,X,X,O,O
TJOZLSI,O,O,X,O,X,X,O,X
TJOZSIL,X,O,X,O,X,O,X,X
TJOZSLI,X,O,X,O,X,X,X,X
TSILJZO,O,X,X,X,X,O,X,X
TSILJOZ,O,X,X,X,X,O,X,X
TSILZJO,O,X,X,X,X,O,X,X
TSILZOJ,O,X,X,X,X,O,X,X
TSILOJZ,O,X,X,X,X,O,X,X
TSILOZJ,O,X,X,X,X,O,X,X
TSIJLZO,O,O,X,X,X,O,X,X
TSIJLOZ,O,X,X,X,X,O,X,X
TSIJZLO,O,O,X,X,X,O,X,X
TSIJZOL,O,O,X,X,O,O,X,X
TSIJOLZ,O,X,X,X,X,O,X,X
TSIJOZL,X,O,X,X,X,O,X,X
TSIZLJO,O,O,X,X,X,O,X,X
TSIZLOJ,O,X,X,X,X,O,X,O
TSIZJLO,O,O,X,X,X,O,X,X
TSIZJOL,O,O,X,X,O,O,X,X
TSIZOLJ,X,X,X,X,X,O,X,O
TSIZOJL,O,X,X,X,O,O,X,X
TSIOLJZ,O,X,X,X,X,O,X,X
TSIOLZJ,O,X,X,X,X,O,X,X
TSIOJLZ,O,X,X,X,O,O,X,X
TSIOJZL,X,X,X,X,O,O,X,X
TSIOZLJ,X,X,X,X,X,O,X,O
TSIOZJL,X,X,X,X,O,O,X,X
TSLIJZO,O,X,X,X,X,O,O,X
TSLIJOZ,O,X,X,X,X,O,O,X
TSLIZJO,O,X,X,X,X,O,X,X
TSLIZOJ,O,X,X,X,X,O,X,X
TSLIOJZ,O,X,X,X,X,O,O,X
TSLIOZJ,O,X,X,X,X,O,X,X
TSLJIZO,O,X,X,X,X,X,O,X
TSLJIOZ,O,X,X,X,X,X,O,X
TSLJZIO,O,X,X,X,X,X,O,X
TSLJZOI,O,X,X,X,O,X,O,X
TSLJOIZ,O,X,X,X,X,X,O,X
TSLJOZI,O,X,X,X,X,X,O,X
TSLZIJO,O,X,X,X,X,O,X,X
TSLZIOJ,O,X,X,X,X,O,X,X
TSLZJIO,O,X,X,X,X,X,O,X
TSLZJOI,O,X,X,X,O,X,O,X
TSLZOIJ,O,X,X,X,X,O,X,X
TSLZOJI,O,X,X,X,O,X,O,X
TSLOIJZ,O,X,X,X,X,O,O,X
TSLOIZJ,O,X,X,X,X,O,X,X
TSLOJIZ,O,X,X,X,O,X,O,X
TSLOJZI,O,X,X,X,O,X,O,X
TSLOZIJ,O,X,X,X,X,O,X,X
TSLOZJI,O,X,X,X,O,X,O,X
TSJILZO,O,O,X,X,X,O,O,X
TSJILOZ,O,X,X,X,X,O,O,X
TSJIZLO,O,O,X,X,X,O,X,X
TSJIZOL,O,O,X,X,O,O,X,X
TSJIOLZ,O,X,X,X,X,O,X,X
TSJIOZL,X,O,X,X,X,O,X,X
TSJLIZO,O,O,X,X,X,X,O,X
TSJLIOZ,O,X,X,X,X,X,O,X
TSJLZIO,O,O,X,X,X,X,O,X
TSJLZOI,O,O,X,X,O,X,O,X
TSJLOIZ,O,X,X,X,X,X,O,X
TSJLOZI,O,X,X,X,X,X,O,X
TSJZILO,O,O,X,X,X,O,X,X
TSJZIOL,O,O,X,X,O,O,X,X
TSJZLIO,O,O,X,X,X,X,X,X
TSJZLOI,O,O,X,X,O,X,X,X
TSJZOIL,O,O,X,X,O,O,X,X
TSJZOLI,O,O,X,X,O,X,X,X
TSJOILZ,O,X,X,X,O,O,X,X
TSJOIZL,X,O,X,X,O,O,X,X
TSJOLIZ,O,X,X,X,O,X,X,X
TSJOLZI,O,X,X,X,O,X,X,X
TSJOZIL,O,O,X,X,O,O,X,X
TSJOZLI,O,O,X,X,O,X,X,X
TSZILJO,O,O,X,X,X,O,X,X
TSZILOJ,O,X,X,X,X,O,X,O
TSZIJLO,O,O,X,X,X,O,X,X
TSZIJOL,O,O,X,X,O,O,X,X
TSZIOLJ,X,X,X,X,X,O,X,O
TSZIOJL,O,X,X,X,O,O,X,X
TSZLIJO,O,O,X,X,X,O,X,X
TSZLIOJ,O,X,X,X,X,O,X,O
TSZLJIO,O,O,X,X,X,X,X,X
TSZLJOI,O,O,X,X,O,X,X,X
TSZLOIJ,O,X,X,X,X,O,X,O
TSZLOJI,O,X,X,X,O,X,X,X
TSZJILO,O,O,X,X,X,O,X,X
TSZJIOL,O,O,X,X,O,O,X,X
TSZJLIO,O,O,X,X,X,X,X,X
TSZJLOI,O,O,X,X,O,X,X,X
TSZJOIL,O,O,X,X,O,O,X,X
TSZJOLI,O,O,X,X,O,X,X,X
TSZOILJ,X,X,X,X,X,O,X,O
TSZOIJL,O,X,X,X,O,O,X,X
TSZOLIJ,O,X,X,X,X,O,X,O
TSZOLJI,O,X,X,X,O,X,X,X
TSZOJIL,O,X,X,X,O,O,X,X
TSZOJLI,O,X,X,X,O,X,X,X
TSOILJZ,O,X,X,X,X,O,X,X
TSOILZJ,O,X,X,X,X,O,X,X
TSOIJLZ,O,X,X,X,O,O,X,X
TSOIJZL,X,X,X,X,O,O,X,X
TSOIZLJ,X,X,X,X,X,O,X,O
TSOIZJL,X,X,X,X,O,O,X,X
TSOLIJZ,O,X,X,X,X,O,O,X
TSOLIZJ,O,X,X,X,X,O,X,X
TSOLJIZ,O,X,X,X,O,X,O,X
TSOLJZI,O,X,X,X,O,X,O,X
TSOLZIJ,O,X,X,X,X,O,X,X
TSOLZJI,O,X,X,X,O,X,O,X
TSOJILZ,O,X,X,X,O,O,O,X
TSOJIZL,X,X,X,X,O,O,X,X
TSOJLIZ,O,X,X,X,O,X,O,X
TSOJLZI,O,X,X,X,O,X,O,X
TSOJZIL,O,X,X,X,O,O,X,X
TSOJZLI,O,X,X,X,O,X,X,X
TSOZILJ,X,X,X,X,X,O,X,O
TSOZIJL,O,X,X,X,O,O,X,X
TSOZLIJ,O,X,X,X,X,O,X,O
TSOZLJI,O,X,X,X,O,X,X,X
TSOZJIL,O,X,X,X,O,O,X,X
TSOZJLI,O,X,X,X,O,X,X,X
TZILJSO,O,O,O,X,X,X,X,X
TZILJOS,O,O,O,X,X,X,X,O
TZILSJO,O,O,O,X,X,O,X,X
TZILSOJ,O,X,O,X,X,O,X,O
TZILOJS,O,X,O,X,X,X,X,O
TZILOSJ,O,X,O,X,X,O,X,O
TZIJLSO,O,O,X,X,X,X,X,X
TZIJLOS,O,O,X,X,X,X,X,O
TZIJSLO,O,O,X,X,X,O,X,X
TZIJSOL,O,O,X,X,X,O,X,X
TZIJOLS,O,O,X,X,X,X,X,O
TZIJOSL,X,O,X,X,X,O,X,X
TZISLJO,O,O,X,X,X,O,X,X
TZISLOJ,O,X,X,X,X,O,X,O
TZISJLO,O,O,X,X,X,O,X,X
TZISJOL,O,O,X,X,X,O,X,X
TZISOLJ,X,X,X,X,X,O,X,O
TZISOJL,O,X,X,X,X,O,X,X
TZIOLJS,X,X,X,O,X,X,X,O
TZIOLSJ,X,X,X,O,X,O,X,O
TZIOJLS,O,X,X,O,X,X,X,O
TZIOJSL,X,X,X,X,X,O,X,X
TZIOSLJ,X,X,X,O,X,O,X,O
TZIOSJL,O,X,X,X,X,O,X,X
TZLIJSO,O,O,O,X,X,X,X,X
TZLIJOS,O,O,O,X,X,X,X,O
TZLISJO,O,O,O,X,X,O,X,X
TZLISOJ,O,X,O,X,X,O,X,O
TZLIOJS,O,X,O,X,X,X,X,O
TZLIOSJ,O,X,O,X,X,O,X,O
TZLJISO,O,O,O,X,X,X,O,X
TZLJIOS,O,O,O,X,X,X,X,O
TZLJSIO,O,O,O,X,X,X,O,X
TZLJSOI,O,O,O,X,X,X,O,X
TZLJOIS,O,O,O,X,X,X,X,O
TZLJOSI,O,O,O,X,X,X,X,X
TZLSIJO,O,O,O,X,X,O,X,X
TZLSIOJ,O,X,O,X,X,O,X,O
TZLSJIO,O,O,O,X,X,X,O,X
TZLSJOI,O,O,O,X,X,X,O,X
TZLSOIJ,O,X,O,X,X,O,X,O
TZLSOJI,O,X,O,X,X,X,O,X
TZLOIJS,O,X,O,X,X,X,X,O
TZLOISJ,O,X,O,X,X,O,X,O
TZLOJIS,O,X,O,X,X,X,O,O
TZLOJSI,O,X,O,X,X,X,O,X
TZLOSIJ,O,X,O,X,X,O,X,O
TZLOSJI,O,X,O,X,X,X,O,X
TZJILSO,O,O,O,X,X,X,O,X
TZJILOS,O,O,O,X,X,X,X,O
TZJISLO,O,O,X,X,X,O,X,X
TZJISOL,O,O,X,X,X,O,X,X
TZJIOLS,O,O,X,O,X,X,X,O
TZJIOSL,X,O,X,O,X,O,X,X
TZJLISO,O,O,O,X,X,X,O,X
TZJLIOS,O,O,O,X,X,X,X,O
TZJLSIO,O,O,O,X,X,X,O,X
TZJLSOI,O,O,O,X,X,X,O,X
TZJLOIS,O,O,O,X,X,X,X,O
TZJLOSI,O,O,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,O,X,X
TZJSIOL,O,O,X,X,O,O,X,X
