sequence,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFFhBxiBzmBu?sBctByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFxiBCnBToB3?qB0sBFrB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je/FJvhFRhBziB+oBl?mByvB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeFCJvhFXjBxlBctBz?qBGsBiqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFFjB6sBctBR?rBTqBmqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFzhBFrBxsBu?sBctB3qB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFCnB3qBxsBO?rBctBlsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFTjBCnB3qBx?sBFrB0sB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JefHJvhFxiBllBqsBT?oBUmB2vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeTAJvhFxhBXjBimBc?tB1vBGsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeiAJvhFRiB+oBUnBF?rB3qBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JexAJvhF0iBmlBzmBS?tB1vBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFTjBxlBVsB0?lBXtByvB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je0BJvhFxiBllBWtBi?rBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je2FJvhFfnBxiBqsBT?oBUmB1vB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JemBJvhFCjBllBcrBx?sBXtBTqB,v115@9gB8HeB8HeC8GeB8CeB8BeA8JeGCJvhFxlBVsBToB0?lByvBXtB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhF+oBlnBRrB0?qBiqBzsB,v115@9gB8HeB8HeC8GeB8CeB8BeA8Je3BJvhFlnBctBRrBT?qBmqBCtB
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSLZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJSOLZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TIJZLSO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TIJZLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X
TIJZSOL,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X,O,X
TIJZOLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJZOSL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X
TIJOLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOSLZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TIJOZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJOZSL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
TISLJZO,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TISLZJO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJLOZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJZLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TISJZOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TISJOLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJOZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TISZLJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZJLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZOLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZOJL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TISOLJZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TISOJZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TISOZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,X
TIZLJOS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZLSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZLOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJLSO,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZJLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X
TIZJSOL,X,X,O,O,X,O,X,X,X,X,O,X,O,X,X,O,X,X,O
TIZJOLS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIZJOSL,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X,O
TIZSLJO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSLOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZSJLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZSJOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
TIZSOLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZSOJL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,O
TIZOLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIZOJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,O
TIZOSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZOSJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIOLJSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOLSJZ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOJZLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOJZSL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOSLJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TIOZSLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIJZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLISJZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TLISZJO,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIOSJZ,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJSIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLJSOIZ,X,X,O,X,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJZSIO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLJZSOI,X,X,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLJZOSI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLSIJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
TLSIZJO,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TLSJZIO,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
TLSJOZI,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLSZIJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLSZOIJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSZOJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJZI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZIJOS,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZJIOS,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJSIO,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZJOIS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJOSI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSIJO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZSJIO,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSJOI,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLZSOIJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZSOJI,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLZOISJ,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLZOJSI,X,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLZOSIJ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSJI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TLOISJZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X
TLOJSIZ,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X
TLOJZIS,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOSJZI,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X
TJILSOZ,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TJILZSO,X,X,X,O,X,X,X,X,X,O,O,X,X,O,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TJISLZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISLOZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISZLO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJISZOL,X,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X
TJISOLZ,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJISOZL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,O,X
TJIZLSO,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TJIZSOL,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X
TJIZOLS,X,X,X,O,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X
TJIZOSL,X,X,O,O,X,O,X,X,X,O,O,X,X,X,X,X,O,O,X
TJIOLSZ,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
