sequence,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhFRhB1nB?6oBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?3lBGoByvBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0iB6oB?RmBXmB2vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeFAJvhF0hBxiB?zlBCoB2vBXtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeaFJvhFfmB0hB?xiBGoB1vBzsB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hBOqB?lnBctBzqBCtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeUAJvhF3hBxnB?zlB2vBCtBFtB,v115@9gA8IeB8HeB8CeB8CeB8CeB8BeA8JeRAJvhF3hB+oB?lnBiqB0qBzsB
TLSIJZO,O,O,X,O,O,X,O,X
TLSIJOZ,O,O,X,O,O,X,X,X
TLSIZJO,O,O,O,O,O,X,O,X
TLSIZOJ,O,O,O,O,O,X,X,X
TLSIOJZ,X,O,X,O,O,X,X,X
TLSIOZJ,O,O,X,O,O,X,X,X
TLSJIZO,O,O,O,O,O,X,O,O
TLSJIOZ,O,O,X,O,O,X,X,X
TLSJZIO,O,O,X,O,O,X,O,O
TLSJZOI,O,O,X,O,O,X,X,O
TLSJOIZ,O,O,X,O,O,X,X,X
TLSJOZI,O,O,X,O,O,X,X,O
TLSZIJO,O,O,X,O,O,X,O,X
TLSZIOJ,O,O,X,O,O,X,X,X
TLSZJIO,O,O,X,O,O,X,X,X
TLSZJOI,O,O,X,O,O,X,X,X
TLSZOIJ,O,O,X,O,O,X,X,X
TLSZOJI,X,O,X,X,O,X,X,X
TLSOIJZ,X,O,X,O,O,X,X,X
TLSOIZJ,O,O,X,O,O,X,X,X
TLSOJIZ,O,O,X,O,O,X,X,X
TLSOJZI,O,O,X,O,O,X,X,X
TLSOZIJ,O,O,X,O,O,X,X,X
TLSOZJI,X,O,X,X,O,X,X,X
TLZIJSO,O,O,O,O,X,X,O,X
TLZIJOS,O,O,O,O,X,X,X,X
TLZISJO,O,O,O,O,X,X,O,X
TLZISOJ,O,O,O,O,X,X,X,X
TLZIOJS,O,O,O,X,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,X,X
TLZJISO,O,O,O,X,O,X,O,X
TLZJIOS,O,O,O,X,X,X,X,X
TLZJSIO,O,O,X,X,O,X,O,X
TLZJSOI,O,O,X,X,O,X,X,X
TLZJOIS,O,O,X,X,X,X,X,X
TLZJOSI,O,O,X,X,X,X,X,X
TLZSIJO,O,O,X,O,O,X,O,X
TLZSIOJ,O,O,X,O,O,X,X,X
TLZSJIO,O,O,X,O,O,X,X,X
TLZSJOI,O,O,X,X,O,X,X,X
TLZSOIJ,O,O,X,O,O,X,X,X
TLZSOJI,X,O,X,X,O,X,X,X
TLZOIJS,O,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,X,X
TLZOJIS,O,O,X,X,O,X,X,X
TLZOJSI,O,O,X,X,O,X,X,X
TLZOSIJ,O,O,X,X,O,X,X,X
TLZOSJI,X,O,X,X,O,X,X,X
TLOIJSZ,X,O,O,X,O,X,X,X
TLOIJZS,O,O,O,X,O,X,X,X
TLOISJZ,X,X,X,X,O,X,X,X
TLOISZJ,X,X,O,X,O,X,X,X
TLOIZJS,O,O,O,X,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X,X
TLOJISZ,X,O,O,X,O,X,X,X
TLOJIZS,O,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,X,O,X,X,X
TLOJSZI,O,O,O,X,O,X,X,X
TLOJZIS,O,O,O,X,O,X,X,X
TLOJZSI,O,O,O,X,O,X,X,X
TLOSIJZ,X,O,X,X,O,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X
TLOSJIZ,O,O,O,X,O,X,X,X
TLOSJZI,O,O,O,X,O,X,X,X
TLOSZIJ,O,O,O,X,O,X,X,X
TLOSZJI,X,O,O,X,O,X,X,X
TLOZIJS,O,O,O,X,X,X,X,X
TLOZISJ,O,O,O,X,X,X,X,X
TLOZJIS,O,O,O,X,O,X,X,X
TLOZJSI,O,O,O,X,O,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,X
TLOZSJI,X,O,O,X,O,X,X,X
TJILSZO,O,O,O,X,O,X,X,O
TJILSOZ,O,O,X,X,O,X,X,X
TJILZSO,O,O,O,X,O,X,X,O
TJILZOS,O,O,O,X,X,X,X,O
TJILOSZ,X,X,O,X,O,X,X,X
TJILOZS,O,O,O,X,X,X,X,X
TJISLZO,O,X,O,O,O,X,X,O
TJISLOZ,O,X,X,O,O,X,X,X
TJISZLO,O,O,O,O,O,X,O,X
TJISZOL,O,X,X,O,O,X,O,X
TJISOLZ,O,X,O,X,O,X,X,X
TJISOZL,O,X,O,X,O,X,X,X
TJIZLSO,O,O,O,O,O,X,X,X
TJIZLOS,O,O,O,O,X,X,X,X
TJIZSLO,O,O,O,O,O,X,O,X
TJIZSOL,O,X,X,O,O,X,O,X
TJIZOLS,O,O,O,O,X,X,X,X
TJIZOSL,X,X,O,O,X,X,X,X
TJIOLSZ,X,X,O,X,O,X,X,X
TJIOLZS,O,X,O,X,X,X,X,X
TJIOSLZ,X,X,O,X,O,X,X,X
TJIOSZL,X,X,O,X,O,X,X,X
TJIOZLS,O,O,O,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X
TJLISZO,O,O,O,X,O,X,O,O
TJLISOZ,O,O,X,X,O,X,X,X
TJLIZSO,O,O,O,X,O,X,O,O
TJLIZOS,O,O,O,X,X,X,X,O
TJLIOSZ,X,X,O,X,O,X,X,X
TJLIOZS,O,O,O,X,X,X,X,X
TJLSIZO,O,O,O,O,O,X,O,O
TJLSIOZ,O,O,X,O,O,X,X,X
TJLSZIO,O,O,X,O,O,X,O,O
TJLSZOI,O,O,X,O,O,X,X,O
TJLSOIZ,O,O,X,O,O,X,X,X
TJLSOZI,O,O,X,O,O,X,X,O
TJLZISO,O,O,O,O,O,X,O,O
TJLZIOS,O,O,O,O,X,X,X,O
TJLZSIO,O,O,X,O,O,X,O,O
TJLZSOI,O,O,X,O,O,X,X,O
TJLZOIS,O,O,X,X,X,X,X,O
TJLZOSI,O,X,X,X,X,X,X,O
TJLOISZ,X,X,O,X,O,X,X,X
TJLOIZS,O,O,O,X,O,X,X,X
TJLOSIZ,O,X,O,X,O,X,X,X
TJLOSZI,O,X,O,X,O,X,X,O
TJLOZIS,O,O,O,X,O,X,X,O
TJLOZSI,O,X,O,X,O,X,X,O
TJSILZO,O,X,O,O,O,X,X,O
TJSILOZ,O,X,X,O,O,X,X,X
TJSIZLO,O,O,O,O,O,X,O,X
TJSIZOL,O,X,X,O,O,X,O,X
TJSIOLZ,O,X,O,X,O,X,X,X
TJSIOZL,O,X,O,X,O,X,X,X
TJSLIZO,O,X,O,O,O,X,O,O
TJSLIOZ,O,X,X,O,O,X,X,X
TJSLZIO,O,X,X,O,O,X,O,O
TJSLZOI,O,X,X,O,O,X,X,O
TJSLOIZ,O,X,X,O,O,X,X,X
TJSLOZI,O,X,X,O,O,X,X,O
TJSZILO,O,O,X,O,O,X,O,X
TJSZIOL,O,X,X,O,O,O,O,X
TJSZLIO,O,X,X,O,O,X,O,O
TJSZLOI,O,X,X,O,O,O,X,O
TJSZOIL,O,X,X,O,O,O,X,X
TJSZOLI,O,X,X,O,O,O,X,X
TJSOILZ,O,X,O,O,O,X,X,X
TJSOIZL,O,X,O,O,O,X,X,X
TJSOLIZ,O,X,O,O,O,X,X,X
TJSOLZI,O,X,O,O,O,X,X,O
TJSOZIL,O,X,O,O,O,X,X,X
TJSOZLI,O,X,O,O,O,X,X,X
TJZILSO,O,O,O,O,O,X,X,X
TJZILOS,O,O,O,O,X,X,X,X
TJZISLO,O,O,O,O,O,X,O,X
TJZISOL,O,X,X,O,O,O,O,X
TJZIOLS,O,O,O,O,X,X,X,X
TJZIOSL,O,O,O,O,X,X,X,X
TJZLISO,O,O,O,O,O,X,O,O
TJZLIOS,O,O,O,O,X,X,X,O
TJZLSIO,O,O,X,O,O,X,O,O
TJZLSOI,O,O,X,O,O,O,X,O
TJZLOIS,O,O,X,X,X,X,X,O
TJZLOSI,O,X,X,X,X,X,X,O
TJZSILO,O,O,X,O,O,X,O,X
TJZSIOL,O,X,X,O,O,O,O,X
TJZSLIO,O,X,X,O,O,X,O,O
TJZSLOI,O,X,X,O,O,O,X,O
TJZSOIL,O,X,X,O,O,O,X,X
TJZSOLI,O,X,X,O,O,O,X,X
TJZOILS,O,O,O,O,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X
TJZOLIS,O,O,O,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X
TJZOSIL,O,O,O,O,X,O,X,X
TJZOSLI,O,X,O,O,X,O,X,X
TJOILSZ,O,X,O,X,O,X,X,X
TJOILZS,O,O,O,X,O,X,X,X
TJOISLZ,O,X,O,O,O,X,X,X
TJOISZL,O,O,O,O,O,X,X,X
TJOIZLS,O,O,O,O,O,X,X,X
TJOIZSL,O,O,O,O,O,X,X,X
TJOLISZ,O,X,O,X,O,X,X,X
TJOLIZS,O,O,O,X,O,X,X,X
TJOLSIZ,O,X,O,O,O,X,X,X
TJOLSZI,O,X,O,O,O,X,X,O
TJOLZIS,O,O,O,O,O,X,X,O
TJOLZSI,O,X,O,O,O,X,X,O
TJOSILZ,O,X,O,O,O,X,X,X
TJOSIZL,O,O,O,O,O,X,X,X
TJOSLIZ,O,X,O,O,O,X,X,X
TJOSLZI,O,X,O,O,O,X,X,O
TJOSZIL,O,O,O,O,O,X,X,X
TJOSZLI,O,X,O,O,O,X,X,X
TJOZILS,O,O,O,O,O,X,X,X
TJOZISL,O,O,O,O,O,X,X,X
TJOZLIS,O,O,O,O,O,X,X,X
TJOZLSI,O,X,O,O,O,X,X,X
TJOZSIL,O,O,O,O,O,X,X,X
TJOZSLI,O,X,O,O,O,X,X,X
TSILJZO,O,X,X,O,O,X,X,X
TSILJOZ,O,X,X,O,O,X,X,X
TSILZJO,O,X,O,O,O,X,X,X
TSILZOJ,O,X,O,O,O,X,X,X
TSILOJZ,X,X,X,O,O,X,X,X
TSILOZJ,O,X,X,O,O,X,X,X
TSIJLZO,O,X,X,O,O,X,X,X
TSIJLOZ,O,X,X,O,O,X,X,X
TSIJZLO,O,X,X,O,O,X,O,X
TSIJZOL,O,X,X,O,O,X,O,X
TSIJOLZ,O,X,X,X,O,X,X,X
TSIJOZL,O,X,X,X,O,X,X,X
TSIZLJO,O,X,O,O,O,X,O,X
TSIZLOJ,O,X,O,O,O,X,X,X
TSIZJLO,O,X,X,O,O,X,O,X
TSIZJOL,X,X,X,O,O,X,O,X
TSIZOLJ,O,X,X,O,O,X,X,X
TSIZOJL,O,X,X,O,O,X,X,X
TSIOLJZ,O,X,X,X,O,X,X,X
TSIOLZJ,O,X,O,X,O,X,X,X
TSIOJLZ,O,X,X,X,O,X,X,X
TSIOJZL,O,X,X,X,O,X,X,X
TSIOZLJ,O,X,O,X,O,X,X,X
TSIOZJL,O,X,X,X,O,X,X,X
TSLIJZO,O,X,X,O,O,X,O,X
TSLIJOZ,O,X,X,O,O,X,X,X
TSLIZJO,O,X,O,O,O,X,O,X
TSLIZOJ,O,X,O,O,O,X,X,X
TSLIOJZ,X,X,X,O,O,X,X,X
TSLIOZJ,O,X,X,O,O,X,X,X
TSLJIZO,O,X,O,O,O,X,O,O
TSLJIOZ,O,X,X,O,O,X,X,X
TSLJZIO,O,X,X,O,O,X,O,O
TSLJZOI,O,X,X,O,O,X,X,O
TSLJOIZ,O,X,X,O,O,X,X,X
TSLJOZI,O,X,X,O,O,X,X,O
TSLZIJO,O,X,X,O,O,X,O,X
TSLZIOJ,O,X,X,O,O,X,X,X
TSLZJIO,O,X,X,O,O,X,X,X
TSLZJOI,O,X,X,O,O,X,X,X
TSLZOIJ,O,X,X,O,O,X,X,X
TSLZOJI,X,X,X,X,O,X,X,X
TSLOIJZ,X,X,X,O,O,X,X,X
TSLOIZJ,O,X,X,O,O,X,X,X
TSLOJIZ,O,X,X,O,O,X,X,X
TSLOJZI,O,X,X,O,O,X,X,X
TSLOZIJ,O,X,X,O,O,X,X,X
TSLOZJI,X,X,X,X,O,X,X,X
TSJILZO,O,X,O,O,O,X,X,O
TSJILOZ,O,X,X,O,O,X,X,X
TSJIZLO,O,O,O,O,O,X,O,X
TSJIZOL,O,X,X,O,O,X,O,X
TSJIOLZ,O,X,O,X,O,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X
TSJLIZO,O,X,O,O,O,X,O,O
TSJLIOZ,O,X,X,O,O,X,X,X
TSJLZIO,O,X,X,O,O,X,O,O
TSJLZOI,O,X,X,O,O,X,X,O
TSJLOIZ,O,X,X,O,O,X,X,X
TSJLOZI,O,X,X,O,O,X,X,O
TSJZILO,O,O,X,O,O,X,O,X
TSJZIOL,O,X,X,O,O,O,O,X
TSJZLIO,O,X,X,O,O,X,O,O
TSJZLOI,O,X,X,O,O,O,X,O
TSJZOIL,O,X,X,O,O,O,X,X
TSJZOLI,O,X,X,O,O,O,X,X
TSJOILZ,O,X,O,O,O,X,X,X
TSJOIZL,O,X,O,O,O,X,X,X
TSJOLIZ,O,X,O,O,O,X,X,X
TSJOLZI,O,X,O,O,O,X,X,O
TSJOZIL,O,X,O,O,O,X,X,X
TSJOZLI,O,X,O,O,O,X,X,X
TSZILJO,O,O,X,O,O,X,O,X
TSZILOJ,O,O,X,O,O,X,X,X
TSZIJLO,O,O,X,O,O,X,O,X
TSZIJOL,X,X,X,O,O,O,O,X
TSZIOLJ,O,O,X,O,O,X,X,X
TSZIOJL,O,O,X,O,O,O,X,X
TSZLIJO,O,X,X,O,O,X,O,X
TSZLIOJ,O,X,X,O,O,X,X,X
TSZLJIO,O,X,X,O,O,X,X,X
TSZLJOI,O,X,X,O,O,O,X,X
TSZLOIJ,O,X,X,O,O,X,X,X
TSZLOJI,X,X,X,X,O,O,X,X
TSZJILO,O,O,X,O,O,X,X,X
TSZJIOL,O,X,X,O,O,O,X,X
TSZJLIO,O,X,X,O,O,X,X,X
TSZJLOI,O,X,X,O,O,O,X,X
TSZJOIL,O,X,X,O,O,O,X,X
TSZJOLI,O,X,X,O,O,O,X,X
TSZOILJ,O,O,X,O,O,X,X,X
TSZOIJL,O,O,X,O,O,O,X,X
TSZOLIJ,O,X,X,O,O,X,X,X
TSZOLJI,O,X,X,X,O,O,X,X
TSZOJIL,O,O,X,X,O,O,X,X
TSZOJLI,O,X,X,X,O,O,X,X
TSOILJZ,O,X,X,X,O,X,X,X
TSOILZJ,O,X,O,X,O,X,X,X
TSOIJLZ,O,X,X,X,O,X,X,X
TSOIJZL,O,X,X,X,O,X,X,X
TSOIZLJ,O,X,O,X,O,X,X,X
TSOIZJL,O,X,X,X,O,X,X,X
TSOLIJZ,O,X,X,O,O,X,X,X
TSOLIZJ,O,X,O,O,O,X,X,X
TSOLJIZ,O,X,O,O,O,X,X,X
TSOLJZI,O,X,O,O,O,X,X,X
TSOLZIJ,O,X,O,O,O,X,X,X
TSOLZJI,O,X,O,X,O,X,X,X
TSOJILZ,O,X,O,X,O,X,X,X
TSOJIZL,O,O,O,X,O,O,X,X
TSOJLIZ,O,X,O,O,O,X,X,X
TSOJLZI,O,X,O,O,O,X,X,X
TSOJZIL,O,O,O,O,O,O,X,X
TSOJZLI,O,X,O,O,O,O,X,X
TSOZILJ,O,O,O,O,O,X,X,X
TSOZIJL,O,O,X,O,O,O,X,X
TSOZLIJ,O,X,O,O,O,X,X,X
TSOZLJI,O,X,O,X,O,O,X,X
TSOZJIL,O,O,O,X,O,O,X,X
TSOZJLI,O,X,O,X,O,O,X,X
TZILJSO,O,O,O,O,X,X,X,X
TZILJOS,O,O,O,O,X,X,X,X
TZILSJO,O,O,O,O,X,X,X,X
TZILSOJ,O,O,O,O,X,X,X,X
TZILOJS,O,O,O,X,X,X,X,X
TZILOSJ,O,O,O,X,X,X,X,X
TZIJLSO,O,O,O,O,X,X,X,X
TZIJLOS,O,O,O,O,X,X,X,X
TZIJSLO,O,O,X,O,X,X,O,X
TZIJSOL,O,X,X,O,X,O,O,X
TZIJOLS,O,O,X,O,X,X,X,X
TZIJOSL,X,O,X,O,X,X,X,X
TZISLJO,O,O,O,O,X,X,O,X
TZISLOJ,O,O,O,O,X,X,X,X
TZISJLO,O,O,X,O,X,X,O,X
TZISJOL,X,X,X,O,X,O,O,X
TZISOLJ,O,O,X,O,X,X,X,X
TZISOJL,X,O,X,O,X,O,X,X
TZIOLJS,O,O,O,X,X,X,X,X
TZIOLSJ,O,O,O,X,X,X,X,X
TZIOJLS,O,O,O,O,X,O,X,X
TZIOJSL,X,O,X,O,X,O,X,X
TZIOSLJ,O,O,O,O,X,X,X,X
TZIOSJL,X,O,X,O,X,O,X,X
TZLIJSO,O,O,O,O,X,X,O,X
TZLIJOS,O,O,O,O,X,X,X,X
TZLISJO,O,O,O,O,X,X,O,X
TZLISOJ,O,O,O,O,X,X,X,X
TZLIOJS,O,O,O,X,X,X,X,X
TZLIOSJ,O,O,O,X,X,X,X,X
TZLJISO,O,O,O,X,O,X,O,X
TZLJIOS,O,O,O,X,X,X,X,X
TZLJSIO,O,O,X,X,O,X,O,X
TZLJSOI,O,O,X,X,O,O,X,X
TZLJOIS,O,O,X,X,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X,X
TZLSIJO,O,O,X,O,O,X,O,X
TZLSIOJ,O,O,X,O,O,X,X,X
TZLSJIO,O,O,X,O,O,X,X,X
TZLSJOI,O,O,X,X,O,O,X,X
TZLSOIJ,O,O,X,O,O,X,X,X
TZLSOJI,X,O,X,X,O,O,X,X
TZLOIJS,O,O,X,X,X,X,X,X
TZLOISJ,O,O,X,X,X,X,X,X
TZLOJIS,O,O,X,X,O,O,X,X
TZLOJSI,O,O,X,X,O,O,X,X
TZLOSIJ,O,O,X,X,O,X,X,X
TZLOSJI,X,O,X,X,O,O,X,X
TZJILSO,O,O,O,O,O,X,X,X
TZJILOS,O,O,O,O,X,X,X,X
TZJISLO,O,O,O,O,O,X,O,X
TZJISOL,O,X,X,O,O,O,O,X
TZJIOLS,O,O,O,O,X,X,X,X
TZJIOSL,O,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,O,X,O,X
TZJLIOS,O,O,O,O,X,X,X,X
TZJLSIO,O,O,X,O,O,X,O,X
TZJLSOI,O,O,X,O,O,O,X,X
TZJLOIS,O,O,X,X,X,X,X,X
TZJLOSI,O,X,X,X,X,X,X,X
TZJSILO,O,O,X,O,O,X,O,X
TZJSIOL,O,X,X,O,O,O,O,X
