sequence,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gB1mBmiB5oBcs?BTrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF1lBmhBziB5oBcr?BXsB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBFiB8nB5oBOr?BzrB,v115@IhA8HeD8DeA8AeD8CeB8Kei/IvhF3gBcmBmiB5oBTn?B1wB
TZLISJO,X,X,X,O
TZLISOJ,X,X,X,O
TZLIOJS,X,O,X,O
TZLIOSJ,X,X,X,O
TZLJISO,X,X,X,O
TZLJIOS,X,O,X,X
TZLJSIO,X,X,X,O
TZLJSOI,X,X,X,X
TZLJOIS,X,O,X,X
TZLJOSI,X,X,X,X
TZLSIJO,X,X,X,O
TZLSIOJ,X,X,X,O
TZLSJIO,X,X,X,O
TZLSJOI,X,X,X,X
TZLSOIJ,X,X,X,O
TZLSOJI,X,X,X,O
TZLOIJS,X,O,X,O
TZLOISJ,X,X,X,O
TZLOJIS,X,O,X,O
TZLOJSI,X,X,X,O
TZLOSIJ,X,X,X,O
TZLOSJI,X,X,X,O
TZJILSO,X,X,X,O
TZJILOS,X,O,X,X
TZJISLO,X,X,X,O
TZJISOL,X,X,X,X
TZJIOLS,X,O,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,X,X,O
TZJLIOS,X,O,X,X
TZJLSIO,X,X,X,O
TZJLSOI,X,X,X,X
TZJLOIS,X,O,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,X,O
TZJSIOL,X,X,X,X
TZJSLIO,X,X,X,O
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,O,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,O,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,X,O
TZSILOJ,X,X,X,O
TZSIJLO,X,X,X,O
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,O
TZSIOJL,X,X,X,O
TZSLIJO,X,X,X,O
TZSLIOJ,X,X,X,O
TZSLJIO,X,X,X,O
TZSLJOI,X,X,X,X
TZSLOIJ,X,X,X,O
TZSLOJI,X,X,X,O
TZSJILO,X,X,X,O
TZSJIOL,X,X,X,X
TZSJLIO,X,X,X,O
TZSJLOI,X,X,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,O
TZSOIJL,X,X,X,O
TZSOLIJ,X,X,X,O
TZSOLJI,X,X,X,O
TZSOJIL,X,X,X,O
TZSOJLI,X,X,X,O
TZOILJS,X,O,X,O
TZOILSJ,X,X,X,O
TZOIJLS,X,O,X,O
TZOIJSL,X,X,X,O
TZOISLJ,X,X,X,O
TZOISJL,X,X,X,O
TZOLIJS,X,O,X,O
TZOLISJ,X,X,X,O
TZOLJIS,X,O,X,O
TZOLJSI,X,X,X,O
TZOLSIJ,X,X,X,O
TZOLSJI,X,X,X,O
TZOJILS,X,O,X,O
TZOJISL,X,X,X,O
TZOJLIS,X,O,X,O
TZOJLSI,X,X,X,O
TZOJSIL,X,X,X,O
TZOJSLI,X,X,X,O
TZOSILJ,X,X,X,O
TZOSIJL,X,X,X,O
TZOSLIJ,X,X,X,O
TZOSLJI,X,X,X,O
TZOSJIL,X,X,X,O
TZOSJLI,X,X,X,O
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,O
TOILSJZ,X,X,X,X
TOILSZJ,X,O,X,X
TOILZJS,X,O,X,O
TOILZSJ,X,X,X,O
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,O
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,O
TOIJZSL,X,X,X,O
TOISLJZ,X,X,X,X
TOISLZJ,X,O,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,O,X,X
TOISZJL,X,O,X,X
TOIZLJS,X,O,X,O
TOIZLSJ,X,X,X,O
TOIZJLS,X,O,X,O
TOIZJSL,X,X,X,O
TOIZSLJ,X,X,X,O
TOIZSJL,X,X,X,O
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,O
TOLISJZ,X,X,X,X
TOLISZJ,X,O,X,X
TOLIZJS,X,O,X,O
TOLIZSJ,X,X,X,O
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,O
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,O
TOLJZSI,X,X,X,O
TOLSIJZ,X,X,X,X
TOLSIZJ,X,O,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,O,X,X
TOLSZJI,X,O,X,X
TOLZIJS,X,O,X,O
TOLZISJ,X,X,X,O
TOLZJIS,X,O,X,O
TOLZJSI,X,X,X,O
TOLZSIJ,X,X,X,O
TOLZSJI,X,X,X,O
