sequence,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBO?qBzqB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBm?qB0sBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MelAJvhFRiBcoBXmBT?nB2vBSyB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFmiB5oBFnBi?qBzsB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeVGJvhFRiBSoB/sB0?lB2vBTtB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnBToBi?qBWyB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBO?qBzqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBUnBFoBm?qBSyBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MexAJvhFTjB3lBFnBy?vBGtB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBm?qBTqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBFnB8sBT?lByvBmsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnB8sB+?tBTlByvB
TISZLJO,O,O,X,X,O,X,X,X,X,X,O,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
TISZJLO,O,O,X,X,X,X,X,X,X,X,O,X
TISZJOL,X,O,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TISZOJL,O,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TISOJZL,O,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,O,O,X
TIZLJOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,O,O,X
TIZLSOJ,O,O,X,X,X,X,O,X,X,X,O,X
TIZLOJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,X,X,O,X,X,X,O,X
TIZJLSO,O,O,X,X,X,X,X,X,X,O,O,X
TIZJLOS,O,O,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X,X,O,O,X
TIZJSOL,X,O,X,X,X,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,X,O,O,X
TIZSLOJ,O,O,X,X,X,X,O,X,X,X,O,X
TIZSJLO,O,O,X,X,X,X,X,X,X,X,O,X
TIZSJOL,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TIZSOJL,O,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,X,X,X,X,O,X,X,X,O,X
TIZOJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,O,X,X,X,O,X
TIZOSJL,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,O,X,X,O,X,X,X,X,X
TIOLZJS,O,X,O,O,X,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,O,O,X,O,X,X,X,X,X
TIOSJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TIOSJZL,O,X,X,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,O,X,O,X,X,X,X,X
TIOSZJL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLJS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,O,X,X,X,X,X
TIOZJLS,O,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,O,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,O,O,X,X,X,X,X,O,O,O,X,X
TLIJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
TLIJZSO,X,O,X,X,X,X,X,O,X,O,X,X
TLIJZOS,X,O,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TLIJOZS,X,X,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X,X,O,X,X,X
TLISJOZ,O,X,X,X,X,O,X,X,O,X,X,X
TLISZJO,O,O,X,X,X,X,X,X,O,X,O,X
TLISZOJ,O,O,X,X,X,X,X,X,X,X,O,X
TLISOJZ,O,X,X,O,X,X,X,X,O,X,X,X
TLISOZJ,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,O,O,X,X,X,X,O,X,O,O,X
TLIZJOS,O,O,O,X,X,X,X,O,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,O,X,O,O,X
TLIZSOJ,O,O,O,X,X,X,O,O,X,X,O,X
TLIZOJS,O,O,O,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,O,O,X,X,X,O,O,X,X,O,X
TLIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
TLIOZJS,O,X,O,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TLJISZO,O,O,X,X,X,X,X,O,O,O,X,X
TLJISOZ,O,X,X,X,X,O,X,X,O,X,X,X
TLJIZSO,X,O,O,X,X,X,X,O,X,O,X,X
TLJIZOS,X,O,O,X,X,X,X,O,X,X,X,X
TLJIOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TLJIOZS,X,X,O,X,X,O,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X,O,O,O,X,X
TLJSIOZ,O,X,O,X,X,O,X,X,O,X,X,X
TLJSZIO,X,O,O,X,X,X,X,O,O,O,O,O
TLJSZOI,X,O,O,X,X,O,X,O,O,X,X,O
TLJSOIZ,X,X,O,O,X,O,X,X,O,X,X,X
TLJSOZI,X,X,O,O,X,O,X,O,O,X,X,X
TLJZISO,X,O,O,X,X,X,X,O,X,O,O,O
TLJZIOS,X,O,O,X,X,X,X,O,X,X,X,O
TLJZSIO,X,O,O,X,X,X,X,O,O,O,O,O
TLJZSOI,X,O,O,X,X,O,X,O,O,X,X,O
TLJZOIS,X,O,O,X,X,O,X,O,X,X,X,O
TLJZOSI,X,O,O,X,X,O,X,O,O,X,X,O
TLJOISZ,O,X,X,O,X,O,X,X,O,X,X,X
TLJOIZS,X,X,O,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,O,O,X,O,X,X,O,X,X,X
TLJOSZI,X,X,O,O,X,O,X,O,O,X,X,X
TLJOZIS,X,X,O,O,X,O,X,O,X,X,X,X
TLJOZSI,X,X,O,O,X,O,X,O,O,X,X,X
TLSIJZO,O,X,X,X,O,X,X,X,O,X,X,X
TLSIJOZ,O,X,X,X,O,O,X,X,O,X,X,X
TLSIZJO,O,O,O,X,O,X,X,X,O,X,O,X
TLSIZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TLSIOJZ,O,X,X,O,O,X,X,X,O,X,X,X
TLSIOZJ,O,X,O,O,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,O,X,X,O,O,X,X,X
TLSJIOZ,O,X,X,X,O,O,X,X,O,X,X,X
TLSJZIO,X,X,O,X,O,X,X,O,O,X,O,O
TLSJZOI,X,X,O,X,O,O,X,O,O,X,X,O
TLSJOIZ,X,X,X,O,O,O,X,X,O,X,X,X
TLSJOZI,X,X,O,O,O,O,X,O,O,X,X,X
TLSZIJO,O,O,O,X,O,X,X,O,O,X,O,X
TLSZIOJ,O,O,O,X,X,X,X,O,X,X,O,X
TLSZJIO,O,O,O,X,O,X,X,O,O,X,O,X
TLSZJOI,X,X,O,X,O,O,X,O,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,O,X,X,O,X
TLSZOJI,X,X,O,O,X,X,X,O,X,X,X,X
TLSOIJZ,O,X,X,O,O,X,X,X,O,X,X,X
TLSOIZJ,O,X,O,O,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,O,O,O,X,X,O,X,X,X
TLSOJZI,X,X,O,O,O,O,X,X,O,X,X,X
TLSOZIJ,O,X,O,O,O,X,X,X,X,X,O,X
TLSOZJI,X,X,O,O,O,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,X,X,O,X,O,O,X
TLZIJOS,O,O,O,X,X,X,X,O,X,X,X,X
TLZISJO,O,O,O,X,X,X,X,O,X,O,O,X
TLZISOJ,O,O,O,X,X,X,O,O,X,X,O,X
TLZIOJS,O,O,O,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,O,O,X,X,X,O,O,X,X,O,X
TLZJISO,O,O,O,X,X,X,X,O,X,O,O,X
TLZJIOS,O,O,O,X,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,O,O,O,O,X
TLZJSOI,X,O,O,X,X,O,X,O,O,X,X,X
TLZJOIS,O,O,O,X,X,O,X,O,X,X,X,X
TLZJOSI,O,O,O,X,X,O,X,O,O,X,X,X
TLZSIJO,O,O,O,X,X,X,X,O,O,O,O,X
TLZSIOJ,O,O,O,X,X,X,O,O,X,X,O,X
TLZSJIO,O,O,O,X,X,X,X,O,O,X,O,X
TLZSJOI,X,O,O,X,X,O,X,O,O,X,X,X
TLZSOIJ,O,O,O,O,X,X,X,O,X,X,O,X
TLZSOJI,O,X,O,O,X,X,X,O,X,X,X,X
TLZOIJS,O,O,O,O,X,X,X,O,X,X,X,X
TLZOISJ,O,O,O,O,X,X,O,O,X,X,O,X
TLZOJIS,O,O,O,O,X,X,X,O,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,O,X,X,X,X
TLZOSIJ,O,O,O,O,X,X,O,O,X,X,O,X
TLZOSJI,O,X,O,O,X,X,X,O,X,X,X,X
TLOIJSZ,O,X,X,O,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,O,X,X,X,X,X,X,X,X
TLOISZJ,O,X,X,O,X,X,O,X,X,X,X,X
TLOIZJS,O,X,O,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,O,X,X,O,X,X,X,X,X
TLOJISZ,O,X,X,O,X,O,X,X,O,X,X,X
TLOJIZS,X,X,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,O,O,X,O,X,X,O,X,X,X
TLOJSZI,X,X,O,O,X,O,X,O,O,X,X,X
TLOJZIS,X,X,O,O,X,O,X,O,X,X,X,X
TLOJZSI,X,X,O,O,X,O,X,O,O,X,X,X
TLOSIJZ,O,X,X,O,O,X,X,X,O,X,X,X
TLOSIZJ,O,X,O,O,O,X,O,X,X,X,X,X
TLOSJIZ,O,X,X,O,O,O,X,X,O,X,X,X
TLOSJZI,X,X,O,O,O,O,X,X,O,X,X,X
TLOSZIJ,O,X,O,O,O,X,O,X,X,X,O,X
TLOSZJI,O,X,O,O,O,X,X,X,X,X,X,X
TLOZIJS,O,X,O,O,X,X,X,O,X,X,X,X
TLOZISJ,O,X,O,O,X,X,O,O,X,X,O,X
TLOZJIS,O,X,O,O,X,X,X,O,X,X,X,X
TLOZJSI,O,X,O,O,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,O,O,X,X,O,O,X,X,O,X
TLOZSJI,O,X,O,O,X,X,X,O,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,X,O,O,X,X
TJILSOZ,O,X,X,X,X,O,X,X,O,X,X,X
TJILZSO,X,O,O,X,X,X,X,X,X,O,X,X
TJILZOS,X,O,O,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TJILOZS,X,X,O,X,X,O,X,X,X,X,X,X
TJISLZO,O,O,X,X,O,X,X,X,X,O,X,X
TJISLOZ,O,X,X,X,O,X,X,X,X,X,X,X
TJISZLO,O,O,X,X,O,X,X,X,X,O,X,X
TJISZOL,X,O,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,O,O,X,X,X,X,X,X
TJIZLSO,O,O,X,X,X,X,X,X,X,O,X,X
TJIZLOS,O,O,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,X,O,X,X
TJIZSOL,X,O,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,X,X,O,X,X,X
TJIOLZS,X,X,O,X,X,O,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,O,O,X,X,X,X,X,X
TJIOSZL,O,O,X,X,O,O,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,O,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,O,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,O,O,O,X,X
TJLISOZ,O,X,X,X,X,O,X,X,O,X,X,X
TJLIZSO,X,O,O,X,X,X,X,O,X,O,X,X
TJLIZOS,X,O,O,X,X,X,X,O,X,X,X,X
TJLIOSZ,O,X,X,X,X,O,X,X,O,X,X,X
TJLIOZS,X,X,O,X,X,O,X,X,X,X,X,X
TJLSIZO,O,O,O,X,O,X,X,O,O,O,X,X
TJLSIOZ,O,X,O,X,O,O,X,X,O,X,X,X
TJLSZIO,X,O,O,X,O,X,X,O,O,O,O,O
TJLSZOI,X,O,O,X,O,O,X,O,O,X,X,O
TJLSOIZ,X,X,O,O,O,O,X,X,O,X,X,X
TJLSOZI,X,X,O,O,O,O,X,O,O,X,X,X
TJLZISO,X,O,O,X,X,X,X,O,X,O,O,O
TJLZIOS,X,O,O,X,X,X,X,O,X,X,X,O
TJLZSIO,X,O,O,X,X,X,X,O,O,O,O,O
TJLZSOI,X,O,O,X,X,O,X,O,O,X,X,O
TJLZOIS,X,O,O,X,X,O,X,O,X,X,X,O
TJLZOSI,X,O,O,X,X,O,X,O,O,X,X,O
TJLOISZ,O,X,X,O,X,O,X,X,O,X,X,X
TJLOIZS,X,X,O,O,X,O,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,O,O,X,X,O,X,X,X
TJLOSZI,X,X,O,O,O,O,X,O,O,X,X,X
TJLOZIS,X,X,O,O,X,O,X,O,X,X,X,X
TJLOZSI,X,X,O,O,X,O,X,O,O,X,X,X
TJSILZO,O,O,O,X,O,X,X,X,X,O,X,X
TJSILOZ,O,X,O,X,O,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,O,X,X
TJSIZOL,X,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,O,X,O,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,O,O,X,X,X,X,X,X
TJSLIZO,O,O,O,X,O,X,X,O,O,O,X,X
TJSLIOZ,O,X,O,X,O,O,X,X,O,X,X,X
TJSLZIO,X,O,O,X,O,X,X,O,O,O,X,X
TJSLZOI,X,O,O,X,O,O,X,O,O,X,X,X
TJSLOIZ,X,X,O,X,O,O,X,X,O,X,X,X
TJSLOZI,X,X,O,X,O,O,X,O,O,X,X,X
TJSZILO,O,O,X,X,O,X,X,O,X,O,O,X
TJSZIOL,X,O,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,X,O,X,X,O,X,O,X,X
TJSZLOI,X,O,O,X,O,X,X,O,X,X,X,X
TJSZOIL,X,O,X,X,O,O,X,X,X,X,X,X
TJSZOLI,X,O,O,X,O,O,X,O,X,X,X,X
TJSOILZ,X,X,O,O,O,O,X,X,X,X,X,X
TJSOIZL,X,O,X,O,O,O,X,X,X,X,X,X
TJSOLIZ,X,X,O,O,O,O,X,X,O,X,X,X
TJSOLZI,X,X,O,X,O,O,X,X,O,X,X,X
TJSOZIL,X,O,X,O,O,O,X,X,X,X,X,X
TJSOZLI,X,O,O,X,O,O,X,X,X,X,X,X
TJZILSO,O,O,X,X,X,X,X,X,X,O,O,O
TJZILOS,O,O,X,X,X,X,X,X,X,X,X,O
TJZISLO,O,O,X,X,X,X,X,O,X,O,O,O
TJZISOL,X,O,X,X,X,X,X,X,X,X,X,O
TJZIOLS,O,O,X,X,X,X,X,X,X,X,X,O
TJZIOSL,O,O,X,X,X,X,X,X,X,X,X,O
TJZLISO,O,O,O,X,X,X,X,O,X,O,O,O
TJZLIOS,O,O,O,X,X,X,X,O,X,X,X,O
TJZLSIO,O,O,O,X,X,X,X,O,O,O,O,O
TJZLSOI,X,O,O,X,X,O,X,O,O,X,X,O
TJZLOIS,O,O,O,X,X,O,X,O,X,X,X,O
TJZLOSI,O,O,O,X,X,O,X,O,O,X,X,O
TJZSILO,O,O,X,X,O,X,X,O,X,O,O,O
TJZSIOL,X,O,X,X,X,X,X,X,X,X,X,O
TJZSLIO,O,O,X,X,O,X,X,O,X,O,X,O
TJZSLOI,X,O,X,X,O,X,X,O,X,X,X,O
TJZSOIL,X,O,X,X,O,O,X,X,X,X,X,O
TJZSOLI,X,O,X,X,O,O,X,O,X,X,X,O
TJZOILS,O,O,X,X,X,O,X,X,X,X,X,O
TJZOISL,O,O,X,X,X,O,X,X,X,X,X,O
TJZOLIS,O,O,O,X,X,O,X,X,X,X,X,O
TJZOLSI,O,O,O,X,X,O,X,X,O,X,X,O
TJZOSIL,O,O,X,X,O,O,X,X,X,X,X,O
TJZOSLI,O,O,X,X,O,O,X,O,X,X,X,O
TJOILSZ,O,X,X,O,X,O,X,X,O,X,X,X
TJOILZS,X,X,O,O,X,O,X,X,X,X,X,X
TJOISLZ,O,X,X,O,O,O,X,X,X,X,X,X
TJOISZL,O,O,X,O,O,O,X,X,X,X,X,X
TJOIZLS,O,O,X,O,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,O,X,O,X,X,X,X,X,X
TJOLISZ,O,X,X,O,X,O,X,X,O,X,X,X
TJOLIZS,X,X,O,O,X,O,X,X,X,X,X,X
TJOLSIZ,O,X,O,O,O,O,X,X,O,X,X,X
TJOLSZI,X,X,O,O,O,O,X,X,O,X,X,X
TJOLZIS,X,X,O,O,X,O,X,X,X,X,X,X
TJOLZSI,X,X,O,O,X,O,X,X,O,X,X,X
TJOSILZ,O,X,O,O,O,O,X,X,X,X,X,X
TJOSIZL,O,O,X,O,O,O,X,X,X,X,X,X
TJOSLIZ,O,X,O,O,O,O,X,X,O,X,X,X
TJOSLZI,X,X,O,O,O,O,X,X,O,X,X,X
TJOSZIL,O,O,X,O,O,O,X,X,X,X,X,X
TJOSZLI,O,O,O,X,O,O,X,X,X,X,X,X
TJOZILS,O,O,X,O,X,O,X,X,X,X,X,X
TJOZISL,O,O,X,O,X,O,X,X,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,O,O,O,X,O,X,X,O,X,X,X
TJOZSIL,O,O,X,O,O,O,X,X,X,X,X,X
TJOZSLI,O,O,X,X,O,O,X,X,X,X,X,X
TSILJZO,O,X,X,X,O,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,O,X,X,X,X,X,X,X
TSILZJO,O,O,O,X,O,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,O,X,X,X,X,X,X,X
TSILOZJ,O,X,O,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,O,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,O,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,O,X,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,O,O,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,O,X,X,X,X,X,X
TSIZLJO,O,O,X,X,O,X,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X,O,X
TSIZJOL,X,O,X,X,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TSIZOJL,O,X,X,X,X,X,X,X,X,X,X,X
TSIOLJZ,O,X,X,O,O,X,X,X,X,X,X,X
TSIOLZJ,O,X,O,X,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,O,O,X,X,X,X,X,X,X
TSIOJZL,O,X,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,O,X,X,X,X,X,X,X
TSIOZJL,O,X,X,O,X,X,X,X,X,X,X,X
TSLIJZO,O,X,X,X,O,X,X,X,O,X,X,X
TSLIJOZ,O,X,X,X,O,O,X,X,O,X,X,X
TSLIZJO,O,O,O,X,O,X,X,X,O,X,O,X
TSLIZOJ,O,O,O,X,X,X,X,X,X,X,O,X
TSLIOJZ,O,X,X,O,O,X,X,X,O,X,X,X
TSLIOZJ,O,X,O,O,X,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,O,X,X,X,O,X,X,X
TSLJIOZ,O,X,X,X,O,O,X,X,O,X,X,X
TSLJZIO,X,X,O,X,O,X,X,X,O,X,O,X
TSLJZOI,X,X,O,X,O,O,X,X,O,X,X,X
TSLJOIZ,X,X,X,O,O,O,X,X,O,X,X,X
