sequence,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFRhBGjBlmBU?oByvBXsB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFamBUiBGjBf?sBVtBxvB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhFamBFiB8nB+?oBfsBxvB,v115@9gA8IeA8BeA8FeD8FeB8EeC8Jez/IvhF1mB0iB6oB2?wBRsB3qB,v115@9gA8IeA8BeA8FeD8FeB8EeC8JeGCJvhFTjB0rBxsBf?qBirBlqB
JTZOSLI,X,O,O,X,X
JTOILSZ,X,O,O,O,X
JTOILZS,X,O,O,O,X
JTOISLZ,X,O,O,O,X
JTOISZL,X,O,O,O,X
JTOIZLS,X,O,O,O,X
JTOIZSL,X,O,O,O,X
JTOLISZ,X,O,O,O,X
JTOLIZS,X,O,O,O,X
JTOLSIZ,X,O,X,X,X
JTOLSZI,X,O,O,X,X
JTOLZIS,X,O,O,O,X
JTOLZSI,X,O,O,X,X
JTOSILZ,X,O,X,O,X
JTOSIZL,X,O,X,O,X
JTOSLIZ,X,O,X,X,X
JTOSLZI,X,O,O,X,X
JTOSZIL,X,O,O,O,X
JTOSZLI,X,O,O,X,X
JTOZILS,X,O,O,O,X
JTOZISL,X,O,O,O,X
JTOZLIS,X,O,O,O,X
JTOZLSI,X,O,O,X,X
JTOZSIL,X,O,O,O,X
JTOZSLI,X,O,O,X,X
JITLSZO,X,X,O,O,X
JITLSOZ,X,X,O,O,X
JITLZSO,X,X,O,O,X
JITLZOS,X,X,O,O,X
JITLOSZ,X,X,O,O,X
JITLOZS,X,X,O,O,X
JITSLZO,X,X,O,O,X
JITSLOZ,X,X,O,O,X
JITSZLO,X,X,O,O,X
JITSZOL,X,X,O,O,X
JITSOLZ,X,X,O,O,X
JITSOZL,X,X,O,O,X
JITZLSO,X,X,O,O,X
JITZLOS,X,X,O,O,X
JITZSLO,X,X,O,O,X
JITZSOL,X,X,O,O,X
JITZOLS,X,X,O,O,X
JITZOSL,X,X,O,O,X
JITOLSZ,X,X,O,O,X
JITOLZS,X,X,O,O,X
JITOSLZ,X,X,O,O,X
JITOSZL,X,X,O,O,X
JITOZLS,X,X,O,O,X
JITOZSL,X,X,O,O,X
JILTSZO,X,X,O,O,X
JILTSOZ,X,X,O,O,X
JILTZSO,O,X,O,O,X
JILTZOS,O,X,O,O,X
JILTOSZ,X,X,O,O,X
JILTOZS,O,X,O,O,X
JILSTZO,X,X,O,O,X
JILSTOZ,X,X,O,O,X
JILSZTO,O,X,O,X,X
JILSZOT,O,X,O,X,X
JILSOTZ,X,X,O,O,X
JILSOZT,O,X,O,X,X
JILZTSO,X,X,O,O,X
JILZTOS,O,X,O,O,X
JILZSTO,X,X,O,X,X
JILZSOT,O,X,O,X,X
JILZOTS,O,X,O,O,X
JILZOST,O,X,O,X,X
JILOTSZ,X,X,O,O,X
JILOTZS,O,X,O,O,X
JILOSTZ,X,X,O,O,X
JILOSZT,O,X,O,X,X
JILOZTS,O,X,O,O,X
JILOZST,O,X,O,X,X
JISTLZO,X,X,O,O,X
JISTLOZ,X,X,O,O,X
JISTZLO,X,X,O,O,X
JISTZOL,X,X,O,O,X
JISTOLZ,X,X,O,O,X
JISTOZL,X,X,O,O,X
JISLTZO,X,X,O,O,X
JISLTOZ,X,X,O,O,X
JISLZTO,X,X,O,X,X
JISLZOT,X,X,O,X,X
JISLOTZ,X,X,O,O,X
JISLOZT,X,X,O,X,X
JISZTLO,X,X,O,X,X
JISZTOL,O,X,O,X,X
JISZLTO,X,X,O,X,X
JISZLOT,O,X,O,X,X
JISZOTL,O,X,O,X,X
JISZOLT,O,X,O,X,X
JISOTLZ,X,X,O,O,X
JISOTZL,X,X,O,O,X
JISOLTZ,X,X,O,O,X
JISOLZT,X,X,O,X,X
JISOZTL,O,X,O,X,X
JISOZLT,O,X,O,X,X
JIZTLSO,X,X,O,O,O
JIZTLOS,X,X,O,O,O
JIZTSLO,X,X,O,O,O
JIZTSOL,X,X,O,O,O
JIZTOLS,O,X,O,O,O
JIZTOSL,O,X,O,O,O
JIZLTSO,X,X,O,O,O
JIZLTOS,X,X,O,O,O
JIZLSTO,X,X,O,X,O
JIZLSOT,X,X,O,X,O
JIZLOTS,O,X,O,O,O
JIZLOST,O,X,O,X,O
JIZSTLO,X,X,O,X,O
JIZSTOL,X,X,O,X,O
JIZSLTO,X,X,O,X,O
JIZSLOT,X,X,O,X,O
JIZSOTL,O,X,O,X,O
JIZSOLT,O,X,O,X,O
JIZOTLS,O,X,O,O,O
JIZOTSL,O,X,O,O,O
JIZOLTS,O,X,O,O,O
JIZOLST,O,X,O,X,O
JIZOSTL,O,X,O,X,O
JIZOSLT,O,X,O,X,O
JIOTLSZ,X,X,O,O,X
JIOTLZS,X,X,O,O,X
JIOTSLZ,X,X,O,O,X
JIOTSZL,X,X,O,O,X
JIOTZLS,X,X,O,O,X
JIOTZSL,X,X,O,O,X
JIOLTSZ,X,X,O,O,X
JIOLTZS,O,X,O,O,X
JIOLSTZ,X,X,O,O,X
JIOLSZT,O,X,O,X,X
JIOLZTS,O,X,O,O,X
JIOLZST,O,X,O,X,X
JIOSTLZ,X,X,O,O,X
JIOSTZL,X,X,O,O,X
JIOSLTZ,X,X,O,O,X
JIOSLZT,X,X,O,X,X
JIOSZTL,O,X,O,X,X
JIOSZLT,O,X,O,X,X
JIOZTLS,O,X,O,O,O
JIOZTSL,O,X,O,O,O
JIOZLTS,O,X,O,O,O
JIOZLST,O,X,O,X,O
JIOZSTL,O,X,O,X,O
JIOZSLT,O,X,O,X,O
JLTISZO,X,O,O,O,X
JLTISOZ,X,O,O,O,X
JLTIZSO,O,O,O,O,X
JLTIZOS,O,O,O,O,X
JLTIOSZ,X,O,O,O,X
JLTIOZS,O,O,O,O,X
JLTSIZO,X,O,X,X,X
JLTSIOZ,X,O,X,X,X
JLTSZIO,X,O,O,X,X
JLTSZOI,X,O,O,X,X
JLTSOIZ,X,O,X,X,X
JLTSOZI,X,O,O,X,X
JLTZISO,O,O,O,O,X
JLTZIOS,O,O,O,O,X
JLTZSIO,O,O,O,X,X
JLTZSOI,O,O,O,X,X
JLTZOIS,O,O,O,O,X
JLTZOSI,O,O,O,X,X
JLTOISZ,X,O,O,O,X
JLTOIZS,O,O,O,O,X
JLTOSIZ,X,O,X,X,X
JLTOSZI,X,O,O,X,X
JLTOZIS,O,O,O,O,X
JLTOZSI,O,O,O,X,X
JLITSZO,X,X,O,O,X
JLITSOZ,X,X,O,O,X
JLITZSO,O,X,O,O,X
JLITZOS,O,X,O,O,X
JLITOSZ,X,X,O,O,X
JLITOZS,O,X,O,O,X
JLISTZO,X,X,O,O,X
JLISTOZ,X,X,O,O,X
JLISZTO,O,X,O,X,X
JLISZOT,O,X,O,X,X
JLISOTZ,X,X,O,O,X
JLISOZT,O,X,O,X,X
JLIZTSO,X,X,O,O,X
JLIZTOS,O,X,O,O,X
JLIZSTO,X,X,O,X,X
JLIZSOT,O,X,O,X,X
JLIZOTS,O,X,O,O,X
JLIZOST,O,X,O,X,X
JLIOTSZ,X,X,O,O,X
JLIOTZS,O,X,O,O,X
JLIOSTZ,X,X,O,O,X
JLIOSZT,O,X,O,X,X
JLIOZTS,O,X,O,O,X
JLIOZST,O,X,O,X,X
JLSTIZO,O,O,X,X,X
JLSTIOZ,O,O,X,X,X
JLSTZIO,O,O,O,X,X
JLSTZOI,O,O,O,X,X
JLSTOIZ,O,O,X,X,X
JLSTOZI,O,O,O,X,X
JLSITZO,X,X,O,O,X
JLSITOZ,X,X,O,O,X
JLSIZTO,O,X,O,X,X
JLSIZOT,O,X,O,X,X
JLSIOTZ,X,X,O,O,X
JLSIOZT,O,X,O,X,X
JLSZTIO,O,O,O,X,X
JLSZTOI,O,O,O,X,X
JLSZITO,O,X,O,X,X
JLSZIOT,O,X,O,X,X
JLSZOTI,O,O,O,X,X
JLSZOIT,O,X,O,X,X
JLSOTIZ,O,O,X,X,X
JLSOTZI,O,O,O,X,X
JLSOITZ,X,X,O,O,X
JLSOIZT,O,X,O,X,X
JLSOZTI,O,O,O,X,X
JLSOZIT,O,X,O,X,X
JLZTISO,O,X,O,X,X
JLZTIOS,O,X,O,X,X
JLZTSIO,O,X,O,X,X
JLZTSOI,O,X,O,X,X
JLZTOIS,O,X,O,X,X
JLZTOSI,O,X,O,X,X
JLZITSO,O,X,O,O,X
JLZITOS,O,X,O,O,X
JLZISTO,O,X,O,X,X
JLZISOT,O,X,O,X,X
JLZIOTS,O,X,O,O,X
JLZIOST,O,X,O,X,X
JLZSTIO,O,X,O,X,X
JLZSTOI,O,X,O,X,X
JLZSITO,O,X,O,X,X
JLZSIOT,O,X,O,X,X
JLZSOTI,O,X,O,X,X
JLZSOIT,O,X,O,X,X
JLZOTIS,O,X,O,X,X
JLZOTSI,O,X,O,X,X
JLZOITS,O,X,O,O,X
JLZOIST,O,X,O,X,X
JLZOSTI,O,X,O,X,X
JLZOSIT,O,X,O,X,X
JLOTISZ,X,O,O,O,X
JLOTIZS,O,O,O,O,X
JLOTSIZ,X,O,X,X,X
JLOTSZI,X,O,O,X,X
JLOTZIS,O,O,O,O,X
JLOTZSI,O,O,O,X,X
JLOITSZ,X,X,O,O,X
JLOITZS,O,X,O,O,X
JLOISTZ,X,X,O,O,X
JLOISZT,O,X,O,X,X
JLOIZTS,O,X,O,O,X
JLOIZST,O,X,O,X,X
JLOSTIZ,O,O,X,X,X
JLOSTZI,O,O,O,X,X
JLOSITZ,X,X,O,O,X
JLOSIZT,O,X,O,X,X
JLOSZTI,O,O,O,X,X
JLOSZIT,O,X,O,X,X
JLOZTIS,O,X,O,X,X
JLOZTSI,O,X,O,X,X
JLOZITS,O,X,O,O,X
JLOZIST,O,X,O,X,X
JLOZSTI,O,X,O,X,X
JLOZSIT,O,X,O,X,X
JSTILZO,X,O,X,O,X
JSTILOZ,X,O,X,O,X
JSTIZLO,O,O,X,O,X
JSTIZOL,O,O,X,O,X
JSTIOLZ,X,O,X,O,X
JSTIOZL,O,O,X,O,X
JSTLIZO,X,O,X,X,X
JSTLIOZ,X,O,X,X,X
JSTLZIO,X,O,O,X,X
JSTLZOI,X,O,O,X,X
JSTLOIZ,X,O,X,X,X
JSTLOZI,X,O,O,X,X
JSTZILO,O,O,O,O,X
JSTZIOL,O,O,O,O,X
JSTZLIO,O,O,O,X,X
JSTZLOI,O,O,O,X,X
JSTZOIL,O,O,O,O,X
JSTZOLI,O,O,O,X,X
JSTOILZ,X,O,X,O,X
JSTOIZL,O,O,X,O,X
JSTOLIZ,X,O,X,X,X
JSTOLZI,X,O,O,X,X
JSTOZIL,O,O,O,O,X
JSTOZLI,O,O,O,X,X
JSITLZO,X,X,O,O,X
JSITLOZ,X,X,O,O,X
JSITZLO,X,X,O,O,X
JSITZOL,X,X,O,O,X
JSITOLZ,X,X,O,O,X
JSITOZL,X,X,O,O,X
JSILTZO,X,X,O,O,X
JSILTOZ,X,X,O,O,X
JSILZTO,X,X,O,X,X
JSILZOT,X,X,O,X,X
JSILOTZ,X,X,O,O,X
JSILOZT,X,X,O,X,X
JSIZTLO,X,X,O,X,X
JSIZTOL,O,X,O,X,X
JSIZLTO,X,X,O,X,X
JSIZLOT,O,X,O,X,X
JSIZOTL,O,X,O,X,X
JSIZOLT,O,X,O,X,X
JSIOTLZ,X,X,O,O,X
JSIOTZL,X,X,O,O,X
JSIOLTZ,X,X,O,O,X
JSIOLZT,X,X,O,X,X
JSIOZTL,O,X,O,X,X
JSIOZLT,O,X,O,X,X
JSLTIZO,X,O,X,X,X
JSLTIOZ,X,O,X,X,X
JSLTZIO,X,O,O,X,X
JSLTZOI,X,O,O,X,X
JSLTOIZ,X,O,X,X,X
JSLTOZI,X,O,O,X,X
JSLITZO,X,X,O,O,X
JSLITOZ,X,X,O,O,X
JSLIZTO,X,X,O,X,X
JSLIZOT,X,X,O,X,X
JSLIOTZ,X,X,O,O,X
JSLIOZT,X,X,O,X,X
JSLZTIO,X,O,O,X,X
JSLZTOI,X,O,O,X,X
JSLZITO,X,X,O,X,X
JSLZIOT,X,X,O,X,X
JSLZOTI,X,O,O,X,X
JSLZOIT,X,X,O,X,X
JSLOTIZ,X,O,X,X,X
JSLOTZI,X,O,O,X,X
JSLOITZ,X,X,O,O,X
JSLOIZT,X,X,O,X,X
JSLOZTI,X,O,O,X,X
JSLOZIT,X,X,O,X,X
JSZTILO,O,O,O,X,X
JSZTIOL,O,O,O,X,X
JSZTLIO,O,O,O,X,X
JSZTLOI,O,O,O,X,X
JSZTOIL,O,O,O,X,X
JSZTOLI,O,O,O,X,X
JSZITLO,O,X,O,X,X
JSZITOL,O,X,O,X,X
JSZILTO,X,X,O,X,X
JSZILOT,O,X,O,X,X
JSZIOTL,O,X,O,X,X
JSZIOLT,O,X,O,X,X
JSZLTIO,O,O,O,X,X
JSZLTOI,O,O,O,X,X
JSZLITO,X,X,O,X,X
JSZLIOT,O,X,O,X,X
JSZLOTI,O,O,O,X,X
JSZLOIT,O,X,O,X,X
JSZOTIL,O,O,O,X,X
JSZOTLI,O,O,O,X,X
JSZOITL,O,X,O,X,X
JSZOILT,O,X,O,X,X
JSZOLTI,O,O,O,X,X
JSZOLIT,O,X,O,X,X
JSOTILZ,X,O,X,O,X
JSOTIZL,O,O,X,O,X
JSOTLIZ,X,O,X,X,X
JSOTLZI,X,O,O,X,X
JSOTZIL,O,O,O,O,X
JSOTZLI,O,O,O,X,X
JSOITLZ,X,X,O,O,X
JSOITZL,X,X,O,O,X
JSOILTZ,X,X,O,O,X
JSOILZT,X,X,O,X,X
JSOIZTL,O,X,O,X,X
JSOIZLT,O,X,O,X,X
JSOLTIZ,X,O,X,X,X
JSOLTZI,X,O,O,X,X
JSOLITZ,X,X,O,O,X
JSOLIZT,X,X,O,X,X
JSOLZTI,X,O,O,X,X
JSOLZIT,X,X,O,X,X
JSOZTIL,O,O,O,X,X
JSOZTLI,O,O,O,X,X
JSOZITL,O,X,O,X,X
JSOZILT,O,X,O,X,X
JSOZLTI,O,O,O,X,X
JSOZLIT,O,X,O,X,X
JZTILSO,X,X,O,O,X
JZTILOS,X,X,O,O,X
JZTISLO,X,X,O,O,X
JZTISOL,X,X,O,O,X
JZTIOLS,O,X,O,O,X
JZTIOSL,O,X,O,O,X
JZTLISO,O,X,O,O,X
JZTLIOS,O,X,O,O,X
JZTLSIO,O,X,O,X,X
JZTLSOI,O,X,O,X,X
JZTLOIS,O,X,O,O,X
JZTLOSI,O,X,O,X,X
JZTSILO,O,X,O,O,X
JZTSIOL,O,X,O,O,X
JZTSLIO,O,X,O,X,X
JZTSLOI,O,X,O,X,X
JZTSOIL,O,X,O,O,X
JZTSOLI,O,X,O,X,X
JZTOILS,O,X,O,O,X
JZTOISL,O,X,O,O,X
JZTOLIS,O,X,O,O,X
JZTOLSI,O,X,O,X,X
JZTOSIL,O,X,O,O,X
JZTOSLI,O,X,O,X,X
JZITLSO,X,X,O,O,O
JZITLOS,X,X,O,O,O
JZITSLO,X,X,O,O,O
JZITSOL,X,X,O,O,O
JZITOLS,O,X,O,O,O
JZITOSL,O,X,O,O,O
JZILTSO,O,X,O,O,O
JZILTOS,O,X,O,O,O
JZILSTO,O,X,O,X,O
JZILSOT,O,X,O,X,O
JZILOTS,O,X,O,O,O
JZILOST,O,X,O,X,O
JZISTLO,O,X,O,X,O
JZISTOL,O,X,O,X,O
JZISLTO,X,X,O,X,O
JZISLOT,O,X,O,X,O
JZISOTL,O,X,O,X,O
JZISOLT,O,X,O,X,O
JZIOTLS,O,X,O,O,O
JZIOTSL,O,X,O,O,O
JZIOLTS,O,X,O,O,O
JZIOLST,O,X,O,X,O
JZIOSTL,O,X,O,X,O
JZIOSLT,O,X,O,X,O
JZLTISO,O,X,O,X,X
JZLTIOS,O,X,O,X,X
JZLTSIO,O,X,O,X,X
JZLTSOI,O,X,O,X,X
JZLTOIS,O,X,O,X,X
JZLTOSI,O,X,O,X,X
JZLITSO,O,X,O,O,X
JZLITOS,O,X,O,O,X
JZLISTO,O,X,O,X,X
JZLISOT,O,X,O,X,X
JZLIOTS,O,X,O,O,X
JZLIOST,O,X,O,X,X
JZLSTIO,O,X,O,X,X
JZLSTOI,O,X,O,X,X
JZLSITO,O,X,O,X,X
JZLSIOT,O,X,O,X,X
JZLSOTI,O,X,O,X,X
JZLSOIT,O,X,O,X,X
JZLOTIS,O,X,O,X,X
JZLOTSI,O,X,O,X,X
JZLOITS,O,X,O,O,X
JZLOIST,O,X,O,X,X
JZLOSTI,O,X,O,X,X
JZLOSIT,O,X,O,X,X
JZSTILO,O,X,O,X,X
JZSTIOL,O,X,O,X,X
JZSTLIO,O,X,O,X,X
JZSTLOI,O,X,O,X,X
JZSTOIL,O,X,O,X,X
JZSTOLI,O,X,O,X,X
JZSITLO,O,X,O,X,X
JZSITOL,O,X,O,X,X
JZSILTO,X,X,O,X,X
JZSILOT,O,X,O,X,X
JZSIOTL,O,X,O,X,X
JZSIOLT,O,X,O,X,X
JZSLTIO,O,X,O,X,X
JZSLTOI,O,X,O,X,X
JZSLITO,O,X,O,X,X
JZSLIOT,O,X,O,X,X
JZSLOTI,O,X,O,X,X
JZSLOIT,O,X,O,X,X
JZSOTIL,O,X,O,X,X
JZSOTLI,O,X,O,X,X
JZSOITL,O,X,O,X,X
JZSOILT,O,X,O,X,X
JZSOLTI,O,X,O,X,X
JZSOLIT,O,X,O,X,X
JZOTILS,O,X,O,O,X
JZOTISL,O,X,O,O,X
JZOTLIS,O,X,O,O,X
JZOTLSI,O,X,O,X,X
JZOTSIL,O,X,O,O,X
JZOTSLI,O,X,O,X,X
JZOITLS,O,X,O,O,X
JZOITSL,O,X,O,O,X
JZOILTS,O,X,O,O,X
JZOILST,O,X,O,X,X
JZOISTL,O,X,O,X,X
JZOISLT,O,X,O,X,X
JZOLTIS,O,X,O,X,X
JZOLTSI,O,X,O,X,X
JZOLITS,O,X,O,O,X
JZOLIST,O,X,O,X,X
JZOLSTI,O,X,O,X,X
JZOLSIT,O,X,O,X,X
JZOSTIL,O,X,O,X,X
JZOSTLI,O,X,O,X,X
JZOSITL,O,X,O,X,X
JZOSILT,O,X,O,X,X
JZOSLTI,O,X,O,X,X
JZOSLIT,O,X,O,X,X
JOTILSZ,X,O,O,O,X
JOTILZS,X,O,O,O,X
JOTISLZ,X,O,O,O,X
JOTISZL,X,O,O,O,X
JOTIZLS,X,O,O,O,X
JOTIZSL,X,O,O,O,X
JOTLISZ,X,O,O,O,X
JOTLIZS,X,O,O,O,X
JOTLSIZ,X,O,X,X,X
JOTLSZI,X,O,O,X,X
JOTLZIS,X,O,O,O,X
JOTLZSI,X,O,O,X,X
JOTSILZ,X,O,X,O,X
JOTSIZL,X,O,X,O,X
JOTSLIZ,X,O,X,X,X
JOTSLZI,X,O,O,X,X
JOTSZIL,X,O,O,O,X
JOTSZLI,X,O,O,X,X
JOTZILS,X,O,O,O,X
JOTZISL,X,O,O,O,X
JOTZLIS,X,O,O,O,X
JOTZLSI,X,O,O,X,X
JOTZSIL,X,O,O,O,X
JOTZSLI,X,O,O,X,X
JOITLSZ,X,X,O,O,X
JOITLZS,X,X,O,O,X
JOITSLZ,X,X,O,O,X
JOITSZL,X,X,O,O,X
JOITZLS,X,X,O,O,X
JOITZSL,X,X,O,O,X
JOILTSZ,X,X,O,O,X
JOILTZS,O,X,O,O,X
JOILSTZ,X,X,O,O,X
JOILSZT,O,X,O,X,X
JOILZTS,O,X,O,O,X
JOILZST,O,X,O,X,X
JOISTLZ,X,X,O,O,X
JOISTZL,X,X,O,O,X
JOISLTZ,X,X,O,O,X
JOISLZT,X,X,O,X,X
JOISZTL,O,X,O,X,X
JOISZLT,O,X,O,X,X
JOIZTLS,O,X,O,O,X
JOIZTSL,O,X,O,O,X
JOIZLTS,O,X,O,O,X
JOIZLST,O,X,O,X,X
JOIZSTL,O,X,O,X,X
JOIZSLT,O,X,O,X,X
JOLTISZ,X,O,O,O,X
JOLTIZS,O,O,O,O,X
JOLTSIZ,X,O,X,X,X
JOLTSZI,X,O,O,X,X
JOLTZIS,O,O,O,O,X
JOLTZSI,O,O,O,X,X
JOLITSZ,X,X,O,O,X
JOLITZS,O,X,O,O,X
JOLISTZ,X,X,O,O,X
JOLISZT,O,X,O,X,X
JOLIZTS,O,X,O,O,X
JOLIZST,O,X,O,X,X
JOLSTIZ,O,O,X,X,X
JOLSTZI,O,O,O,X,X
JOLSITZ,X,X,O,O,X
JOLSIZT,O,X,O,X,X
JOLSZTI,O,O,O,X,X
JOLSZIT,O,X,O,X,X
JOLZTIS,O,X,O,X,X
JOLZTSI,O,X,O,X,X
JOLZITS,O,X,O,O,X
JOLZIST,O,X,O,X,X
JOLZSTI,O,X,O,X,X
JOLZSIT,O,X,O,X,X
JOSTILZ,X,O,X,O,X
JOSTIZL,O,O,X,O,X
JOSTLIZ,X,O,X,X,X
JOSTLZI,X,O,O,X,X
JOSTZIL,O,O,O,O,X
JOSTZLI,O,O,O,X,X
JOSITLZ,X,X,O,O,X
JOSITZL,X,X,O,O,X
JOSILTZ,X,X,O,O,X
JOSILZT,X,X,O,X,X
JOSIZTL,O,X,O,X,X
JOSIZLT,O,X,O,X,X
JOSLTIZ,X,O,X,X,X
JOSLTZI,X,O,O,X,X
JOSLITZ,X,X,O,O,X
JOSLIZT,X,X,O,X,X
JOSLZTI,X,O,O,X,X
JOSLZIT,X,X,O,X,X
JOSZTIL,O,O,O,X,X
JOSZTLI,O,O,O,X,X
JOSZITL,O,X,O,X,X
JOSZILT,O,X,O,X,X
JOSZLTI,O,O,O,X,X
JOSZLIT,O,X,O,X,X
JOZTILS,O,X,O,O,X
JOZTISL,O,X,O,O,X
JOZTLIS,O,X,O,O,X
JOZTLSI,O,X,O,X,X
JOZTSIL,O,X,O,O,X
JOZTSLI,O,X,O,X,X
JOZITLS,O,X,O,O,X
JOZITSL,O,X,O,O,X
JOZILTS,O,X,O,O,X
JOZILST,O,X,O,X,X
JOZISTL,O,X,O,X,X
JOZISLT,O,X,O,X,X
JOZLTIS,O,X,O,X,X
JOZLTSI,O,X,O,X,X
JOZLITS,O,X,O,O,X
JOZLIST,O,X,O,X,X
JOZLSTI,O,X,O,X,X
JOZLSIT,O,X,O,X,X
JOZSTIL,O,X,O,X,X
JOZSTLI,O,X,O,X,X
JOZSITL,O,X,O,X,X
JOZSILT,O,X,O,X,X
JOZSLTI,O,X,O,X,X
JOZSLIT,O,X,O,X,X
STILJZO,X,O,X,X,X
STILJOZ,X,O,X,X,X
STILZJO,O,O,X,X,X
STILZOJ,O,O,X,X,X
STILOJZ,X,O,X,X,X
STILOZJ,O,O,X,X,X
STIJLZO,X,O,X,X,X
STIJLOZ,X,O,X,X,X
STIJZLO,O,O,X,X,X
STIJZOL,O,O,X,X,X
STIJOLZ,X,O,X,X,X
STIJOZL,O,O,X,X,X
STIZLJO,O,O,X,X,X
STIZLOJ,O,O,X,X,X
STIZJLO,O,O,X,X,X
STIZJOL,O,O,X,X,X
STIZOLJ,O,O,X,X,X
STIZOJL,O,O,X,X,X
STIOLJZ,X,O,X,X,X
STIOLZJ,O,O,X,X,X
STIOJLZ,X,O,X,X,X
STIOJZL,O,O,X,X,X
STIOZLJ,O,O,X,X,X
STIOZJL,O,O,X,X,X
STLIJZO,X,O,X,X,X
STLIJOZ,X,O,X,X,X
STLIZJO,O,O,X,X,X
STLIZOJ,O,O,X,X,X
STLIOJZ,X,O,X,X,X
STLIOZJ,O,O,X,X,X
STLJIZO,X,O,X,X,X
STLJIOZ,X,O,X,X,X
STLJZIO,X,O,O,X,X
STLJZOI,X,O,O,X,X
STLJOIZ,X,O,X,X,X
STLJOZI,X,O,O,X,X
STLZIJO,O,O,X,X,X
STLZIOJ,O,O,X,X,X
STLZJIO,O,O,X,X,X
STLZJOI,O,O,X,X,X
STLZOIJ,O,O,X,X,X
STLZOJI,O,O,X,X,X
STLOIJZ,X,O,X,X,X
STLOIZJ,O,O,X,X,X
STLOJIZ,X,O,X,X,X
STLOJZI,X,O,O,X,X
STLOZIJ,O,O,X,X,X
STLOZJI,O,O,X,X,X
STJILZO,X,O,X,X,X
STJILOZ,X,O,X,X,X
STJIZLO,O,O,X,X,X
STJIZOL,O,O,X,X,X
STJIOLZ,X,O,X,X,X
STJIOZL,O,O,X,X,X
STJLIZO,X,O,X,X,X
STJLIOZ,X,O,X,X,X
STJLZIO,X,O,O,X,X
STJLZOI,X,O,O,X,X
STJLOIZ,X,O,X,X,X
STJLOZI,X,O,O,X,X
STJZILO,O,O,O,X,X
STJZIOL,O,O,O,X,X
STJZLIO,O,O,O,X,X
STJZLOI,O,O,O,X,X
STJZOIL,O,O,O,X,X
STJZOLI,O,O,O,X,X
STJOILZ,X,O,X,X,X
STJOIZL,O,O,X,X,X
STJOLIZ,X,O,X,X,X
STJOLZI,X,O,O,X,X
STJOZIL,O,O,O,X,X
STJOZLI,O,O,O,X,X
STZILJO,O,O,X,X,X
STZILOJ,O,O,X,X,X
STZIJLO,O,O,X,X,X
STZIJOL,O,O,X,X,X
STZIOLJ,O,O,X,X,X
STZIOJL,O,O,X,X,X
STZLIJO,O,O,X,X,X
STZLIOJ,O,O,X,X,X
STZLJIO,O,O,X,X,X
STZLJOI,O,O,X,X,X
STZLOIJ,O,O,X,X,X
STZLOJI,O,O,X,X,X
STZJILO,O,O,X,X,X
STZJIOL,O,O,X,X,X
STZJLIO,O,O,X,X,X
STZJLOI,O,O,X,X,X
STZJOIL,O,O,X,X,X
STZJOLI,O,O,X,X,X
STZOILJ,O,O,X,X,X
STZOIJL,O,O,X,X,X
STZOLIJ,O,O,X,X,X
STZOLJI,O,O,X,X,X
STZOJIL,O,O,X,X,X
STZOJLI,O,O,X,X,X
STOILJZ,X,O,X,X,X
STOILZJ,O,O,X,X,X
STOIJLZ,X,O,X,X,X
STOIJZL,O,O,X,X,X
STOIZLJ,O,O,X,X,X
STOIZJL,O,O,X,X,X
STOLIJZ,X,O,X,X,X
STOLIZJ,O,O,X,X,X
STOLJIZ,X,O,X,X,X
STOLJZI,X,O,O,X,X
STOLZIJ,O,O,X,X,X
STOLZJI,O,O,X,X,X
STOJILZ,X,O,X,X,X
STOJIZL,O,O,X,X,X
STOJLIZ,X,O,X,X,X
STOJLZI,X,O,O,X,X
STOJZIL,O,O,O,X,X
STOJZLI,O,O,O,X,X
STOZILJ,O,O,X,X,X
STOZIJL,O,O,X,X,X
STOZLIJ,O,O,X,X,X
STOZLJI,O,O,X,X,X
STOZJIL,O,O,X,X,X
STOZJLI,O,O,X,X,X
SITLJZO,X,O,X,X,X
SITLJOZ,X,O,X,X,X
SITLZJO,O,O,X,X,X
SITLZOJ,O,O,X,X,X
SITLOJZ,X,O,X,X,X
SITLOZJ,O,O,X,X,X
SITJLZO,X,O,X,X,X
SITJLOZ,X,O,X,X,X
SITJZLO,O,O,X,X,X
SITJZOL,O,O,X,X,X
SITJOLZ,X,O,X,X,X
SITJOZL,O,O,X,X,X
SITZLJO,O,O,X,X,X
SITZLOJ,O,O,X,X,X
SITZJLO,O,O,X,X,X
SITZJOL,O,O,X,X,X
SITZOLJ,O,O,X,X,X
SITZOJL,O,O,X,X,X
SITOLJZ,X,O,X,X,X
SITOLZJ,O,O,X,X,X
SITOJLZ,X,O,X,X,X
SITOJZL,O,O,X,X,X
SITOZLJ,O,O,X,X,X
SITOZJL,O,O,X,X,X
SILTJZO,X,O,X,X,X
SILTJOZ,X,O,X,X,X
SILTZJO,O,O,X,X,X
SILTZOJ,O,O,X,X,X
SILTOJZ,X,O,X,X,X
SILTOZJ,O,O,X,X,X
SILJTZO,X,X,X,O,X
SILJTOZ,X,X,X,O,X
SILJZTO,O,X,O,X,X
