sequence,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBxhB6oBmmBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBOnBXjBlkBSt?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Je/EJvhFFgBOmB0iB6oBRs?BzrB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThBiiB+oBlkB3n?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFXiB6oBlkB2rBzn?B0rB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhF0hB6oBlkB2rBzn?BXsB,v115@KhA8FeA8AeB8FeE8BeC8Jex/IvhFThB8nB+oBlkByr?BXsB
ISZJLTO,O,O,O,O,X,X,X
ISZJLOT,O,O,O,O,X,X,X
ISZJOTL,O,X,O,O,X,X,X
ISZJOLT,O,O,O,O,X,X,X
ISZOTLJ,O,X,O,X,X,X,X
ISZOTJL,O,X,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,X,O,O,X,X,X
ISZOJLT,O,O,O,O,X,X,X
ISOTLJZ,O,X,O,X,X,X,X
ISOTLZJ,O,X,O,X,X,X,X
ISOTJLZ,O,X,O,X,X,X,X
ISOTJZL,X,X,O,X,X,X,X
ISOTZLJ,O,X,O,X,X,X,X
ISOTZJL,O,X,O,X,X,X,X
ISOLTJZ,O,X,O,X,X,X,X
ISOLTZJ,O,X,O,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X
ISOLJZT,X,X,O,X,X,X,X
ISOLZTJ,O,X,O,X,X,X,X
ISOLZJT,O,X,O,X,X,X,X
ISOJTLZ,O,X,O,X,X,X,X
ISOJTZL,X,X,O,X,X,X,X
ISOJLTZ,O,X,O,X,X,X,X
ISOJLZT,X,X,O,X,X,X,X
ISOJZTL,X,X,O,X,X,X,X
ISOJZLT,X,X,O,X,X,X,X
ISOZTLJ,O,X,O,X,X,X,X
ISOZTJL,O,X,O,X,X,X,X
ISOZLTJ,O,X,O,X,X,X,X
ISOZLJT,O,X,O,X,X,X,X
ISOZJTL,O,X,O,X,X,X,X
ISOZJLT,O,X,O,X,X,X,X
IZTLJSO,X,O,O,O,X,X,X
IZTLJOS,X,O,X,O,X,X,X
IZTLSJO,X,O,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X
IZTLOSJ,X,O,X,X,X,X,X
IZTJLSO,X,O,O,O,X,X,X
IZTJLOS,X,O,X,O,X,X,X
IZTJSLO,X,O,O,O,X,X,X
IZTJSOL,X,O,O,O,X,X,X
IZTJOLS,X,O,X,O,X,X,X
IZTJOSL,X,O,X,O,X,X,X
IZTSLJO,X,O,O,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,X
IZTSJLO,X,O,O,O,X,X,X
IZTSJOL,X,O,O,O,X,X,X
IZTSOLJ,X,O,O,X,X,X,X
IZTSOJL,X,O,O,O,X,X,X
IZTOLJS,X,O,X,O,X,X,X
IZTOLSJ,X,O,X,X,X,X,X
IZTOJLS,X,O,X,O,X,X,X
IZTOJSL,X,O,X,O,X,X,X
IZTOSLJ,X,O,X,X,X,X,X
IZTOSJL,X,O,X,O,X,X,X
IZLTJSO,X,O,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X,X
IZLJSTO,O,O,O,O,X,X,X
IZLJSOT,O,O,O,O,X,X,X
IZLJOTS,X,O,X,X,X,X,X
IZLJOST,O,O,O,O,X,X,X
IZLSTJO,O,O,O,X,X,X,X
IZLSTOJ,O,O,O,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X
IZLSOTJ,O,O,O,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X
IZLOTJS,X,O,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X,X
IZLOJST,O,O,O,O,X,X,X
IZLOSTJ,O,O,O,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X
IZJTLSO,O,O,O,O,X,X,X
IZJTLOS,X,O,X,O,X,X,X
IZJTSLO,O,O,O,O,X,X,X
IZJTSOL,O,O,O,O,X,X,X
IZJTOLS,O,O,X,O,X,X,X
IZJTOSL,O,O,X,O,X,X,X
IZJLTSO,O,O,O,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X
IZJLSTO,O,O,O,O,X,X,X
IZJLSOT,O,O,O,O,X,X,X
IZJLOTS,O,O,X,X,X,X,X
IZJLOST,O,O,O,O,X,X,X
IZJSTLO,O,X,O,O,X,X,X
IZJSTOL,O,X,O,O,X,X,X
IZJSLTO,O,O,O,O,X,X,X
IZJSLOT,O,O,O,O,X,X,X
IZJSOTL,O,X,O,O,X,X,X
IZJSOLT,O,O,O,O,X,X,X
IZJOTLS,O,O,X,O,X,X,X
IZJOTSL,O,O,X,O,X,X,X
IZJOLTS,O,O,X,X,X,X,X
IZJOLST,O,O,O,O,X,X,X
IZJOSTL,O,X,O,O,X,X,X
IZJOSLT,O,O,O,O,X,X,X
IZSTLJO,O,X,O,X,X,X,X
IZSTLOJ,O,X,O,X,X,X,X
IZSTJLO,O,X,O,X,X,X,X
IZSTJOL,O,X,O,X,X,X,X
IZSTOLJ,O,X,O,X,X,X,X
IZSTOJL,O,X,O,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X
IZSLTOJ,O,O,O,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X
IZSLJOT,O,O,O,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X
IZSJTLO,O,X,O,O,X,X,X
IZSJTOL,O,X,O,O,X,X,X
IZSJLTO,O,O,O,O,X,X,X
IZSJLOT,O,O,O,O,X,X,X
IZSJOTL,O,X,O,O,X,X,X
IZSJOLT,O,O,O,O,X,X,X
IZSOTLJ,O,X,O,X,X,X,X
IZSOTJL,O,X,O,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,X,O,O,X,X,X
IZSOJLT,O,O,O,O,X,X,X
IZOTLJS,X,O,X,O,X,X,X
IZOTLSJ,O,O,X,X,X,X,X
IZOTJLS,X,O,X,O,X,X,X
IZOTJSL,X,O,X,O,X,X,X
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,O,X,O,X,X,X
IZOLTJS,X,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X
IZOLJTS,O,O,X,X,X,X,X
IZOLJST,O,O,O,O,X,X,X
IZOLSTJ,O,O,O,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X
IZOJTLS,O,O,X,O,X,X,X
IZOJTSL,O,O,X,O,X,X,X
IZOJLTS,O,O,X,X,X,X,X
IZOJLST,O,O,O,O,X,X,X
IZOJSTL,O,X,O,O,X,X,X
IZOJSLT,O,O,O,O,X,X,X
IZOSTLJ,O,X,O,X,X,X,X
IZOSTJL,O,X,O,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X
IZOSJTL,O,X,O,O,X,X,X
IZOSJLT,O,O,O,O,X,X,X
IOTLJSZ,X,X,X,X,O,O,X
IOTLJZS,X,X,X,X,O,O,X
IOTLSJZ,O,X,X,X,O,O,X
IOTLSZJ,O,X,X,X,O,X,X
IOTLZJS,X,X,X,X,O,O,X
IOTLZSJ,X,X,X,X,O,X,X
IOTJLSZ,X,X,X,X,O,O,X
IOTJLZS,X,X,X,X,O,O,X
IOTJSLZ,X,X,X,X,O,O,X
IOTJSZL,X,X,X,X,O,O,X
IOTJZLS,X,X,X,X,O,O,X
IOTJZSL,X,X,X,X,O,O,X
IOTSLJZ,O,X,X,X,O,O,X
IOTSLZJ,O,X,X,X,O,X,X
IOTSJLZ,O,X,X,X,O,O,X
IOTSJZL,X,X,X,X,O,O,X
IOTSZLJ,O,X,X,X,O,X,X
IOTSZJL,X,X,X,X,O,X,X
IOTZLJS,X,X,X,X,O,O,X
IOTZLSJ,X,X,X,X,O,X,X
IOTZJLS,X,X,X,X,O,O,X
IOTZJSL,X,X,X,X,O,O,X
IOTZSLJ,X,X,X,X,O,X,X
IOTZSJL,X,X,X,X,O,X,X
IOLTJSZ,X,X,X,X,O,O,X
IOLTJZS,X,X,X,X,O,O,X
IOLTSJZ,O,X,X,X,O,O,X
IOLTSZJ,O,X,X,X,O,X,X
IOLTZJS,X,X,X,X,O,O,X
IOLTZSJ,X,X,X,X,O,X,X
IOLJTSZ,X,X,X,X,O,O,X
IOLJTZS,X,X,X,X,O,O,X
IOLJSTZ,O,X,O,X,O,X,X
IOLJSZT,X,X,O,X,X,X,X
IOLJZTS,X,X,X,X,X,O,X
IOLJZST,X,X,O,X,X,X,X
IOLSTJZ,O,X,O,X,O,X,X
IOLSTZJ,O,X,O,X,O,X,X
IOLSJTZ,O,X,O,X,O,X,X
IOLSJZT,X,O,O,X,X,X,X
IOLSZTJ,O,O,O,X,X,X,X
IOLSZJT,O,O,O,X,X,X,X
IOLZTJS,X,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X
IOLZJTS,O,O,X,X,X,X,X
IOLZJST,O,O,O,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X
IOLZSJT,O,O,O,X,X,X,X
IOJTLSZ,X,X,X,X,O,O,X
IOJTLZS,X,X,X,X,O,O,X
IOJTSLZ,X,X,X,X,O,O,X
IOJTSZL,X,X,X,X,O,O,X
IOJTZLS,X,X,X,X,O,O,X
IOJTZSL,X,X,X,X,O,O,X
IOJLTSZ,X,X,X,X,O,O,X
IOJLTZS,X,X,X,X,O,O,X
IOJLSTZ,O,X,O,X,O,X,X
IOJLSZT,X,X,O,X,X,X,X
IOJLZTS,X,X,X,X,X,O,X
IOJLZST,X,X,O,X,X,X,X
IOJSTLZ,O,X,O,X,O,X,X
IOJSTZL,X,X,O,X,O,X,X
IOJSLTZ,O,X,O,X,O,X,X
IOJSLZT,X,X,O,O,X,X,X
IOJSZTL,X,X,O,O,X,X,X
IOJSZLT,X,X,O,O,X,X,X
IOJZTLS,X,X,X,X,X,O,X
IOJZTSL,X,X,X,O,X,O,X
IOJZLTS,X,X,X,X,X,O,X
IOJZLST,X,X,O,O,X,X,X
IOJZSTL,X,X,O,O,X,X,X
IOJZSLT,X,X,O,O,X,X,X
IOSTLJZ,O,X,O,X,O,X,X
IOSTLZJ,O,X,O,X,O,X,X
IOSTJLZ,O,X,O,X,O,X,X
IOSTJZL,X,X,O,X,O,X,X
IOSTZLJ,O,X,O,X,O,X,X
IOSTZJL,O,X,O,X,O,X,X
IOSLTJZ,O,X,O,X,O,X,X
IOSLTZJ,O,X,O,X,O,X,X
IOSLJTZ,O,X,O,X,O,X,X
IOSLJZT,X,X,O,X,X,X,X
IOSLZTJ,O,X,O,X,X,X,X
IOSLZJT,O,X,O,X,X,X,X
IOSJTLZ,O,X,O,X,O,X,X
IOSJTZL,X,X,O,X,O,X,X
IOSJLTZ,O,X,O,X,O,X,X
IOSJLZT,X,X,O,X,X,X,X
IOSJZTL,X,X,O,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X
IOSZTLJ,O,X,O,X,X,X,X
IOSZTJL,O,X,O,X,X,X,X
IOSZLTJ,O,X,O,X,X,X,X
IOSZLJT,O,X,O,X,X,X,X
IOSZJTL,O,X,O,X,X,X,X
IOSZJLT,O,X,O,X,X,X,X
IOZTLJS,X,O,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,X
IOZTJSL,X,X,X,O,X,X,X
IOZTSLJ,O,X,X,X,X,X,X
IOZTSJL,O,X,X,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X
IOZLJTS,O,O,X,X,X,X,X
IOZLJST,O,O,O,O,X,X,X
IOZLSTJ,O,O,O,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,X,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X
IOZJLTS,O,O,X,X,X,X,X
IOZJLST,O,O,O,O,X,X,X
IOZJSTL,O,X,O,O,X,X,X
IOZJSLT,O,O,O,O,X,X,X
IOZSTLJ,O,X,O,X,X,X,X
IOZSTJL,O,X,O,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,X,O,O,X,X,X
IOZSJLT,O,O,O,O,X,X,X
LTIJSZO,X,O,O,O,X,X,O
LTIJSOZ,X,O,O,O,O,X,O
LTIJZSO,X,O,O,O,X,X,O
LTIJZOS,X,O,X,O,X,O,O
LTIJOSZ,X,X,X,X,O,O,O
LTIJOZS,X,X,X,X,O,O,O
LTISJZO,X,O,O,X,X,X,O
LTISJOZ,X,O,O,X,X,X,O
LTISZJO,X,O,O,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X
LTISOJZ,X,O,O,X,O,O,O
LTISOZJ,X,O,O,X,O,X,X
LTIZJSO,X,O,O,O,X,X,O
LTIZJOS,X,O,X,O,X,X,O
LTIZSJO,X,O,O,X,X,X,X
LTIZSOJ,X,O,O,X,X,X,X
LTIZOJS,X,O,X,O,O,O,O
LTIZOSJ,X,O,X,X,O,X,X
LTIOJSZ,X,X,X,X,O,O,O
LTIOJZS,X,X,X,X,O,O,O
LTIOSJZ,X,O,X,X,O,O,O
LTIOSZJ,X,O,X,X,O,X,X
LTIOZJS,X,O,X,X,O,O,O
LTIOZSJ,X,O,X,X,O,X,X
LTJISZO,X,O,O,O,X,X,O
LTJISOZ,X,O,O,O,O,X,O
LTJIZSO,X,O,O,O,X,X,O
LTJIZOS,X,O,X,O,X,O,O
LTJIOSZ,X,X,X,X,O,O,O
LTJIOZS,X,X,X,X,O,O,O
LTJSIZO,X,O,O,O,X,X,O
LTJSIOZ,X,O,O,O,O,X,O
LTJSZIO,X,O,O,O,X,X,O
LTJSZOI,X,O,X,O,X,X,O
LTJSOIZ,X,O,O,O,O,X,O
LTJSOZI,X,O,X,O,O,X,O
LTJZISO,X,O,X,O,X,X,O
LTJZIOS,X,O,X,O,X,O,O
LTJZSIO,X,O,X,O,X,X,O
LTJZSOI,X,O,X,O,X,X,O
LTJZOIS,X,O,X,O,X,O,O
LTJZOSI,X,O,X,O,X,O,O
LTJOISZ,X,X,X,X,O,O,O
LTJOIZS,X,X,X,X,O,O,O
LTJOSIZ,X,X,X,X,O,O,O
LTJOSZI,X,X,X,X,O,O,O
LTJOZIS,X,X,X,X,O,O,O
LTJOZSI,X,X,X,X,O,O,O
LTSIJZO,X,O,O,X,X,X,O
LTSIJOZ,X,O,O,X,X,X,O
LTSIZJO,O,O,O,X,X,X,X
LTSIZOJ,O,O,O,X,X,X,X
LTSIOJZ,O,O,O,X,O,O,O
LTSIOZJ,O,O,O,X,O,X,X
LTSJIZO,X,O,O,X,X,X,O
LTSJIOZ,X,O,O,X,X,X,O
LTSJZIO,O,O,O,X,X,X,O
LTSJZOI,O,O,X,X,X,X,O
LTSJOIZ,O,O,O,X,X,X,O
LTSJOZI,O,O,X,X,X,X,O
LTSZIJO,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X
LTSZJOI,O,O,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,X
LTSZOJI,O,O,X,X,X,X,X
LTSOIJZ,O,O,O,X,O,O,O
LTSOIZJ,O,O,O,X,O,X,X
LTSOJIZ,O,O,O,X,O,O,O
LTSOJZI,O,O,X,X,O,O,O
LTSOZIJ,O,O,X,X,O,X,X
LTSOZJI,O,O,X,X,O,X,X
LTZIJSO,X,O,X,O,X,X,O
LTZIJOS,X,O,X,O,X,X,O
LTZISJO,X,O,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X
LTZIOJS,X,O,X,O,O,O,O
LTZIOSJ,X,O,X,X,O,X,X
LTZJISO,O,O,X,O,X,X,O
LTZJIOS,X,O,X,O,X,X,O
LTZJSIO,O,O,X,O,X,X,O
LTZJSOI,O,O,X,O,X,X,O
LTZJOIS,X,O,X,O,X,X,O
LTZJOSI,X,O,X,O,X,X,O
LTZSIJO,O,O,X,X,X,X,X
LTZSIOJ,O,O,X,X,X,X,X
LTZSJIO,O,O,X,X,X,X,X
LTZSJOI,O,O,X,X,X,X,X
LTZSOIJ,O,O,X,X,X,X,X
LTZSOJI,O,O,X,X,X,X,X
LTZOIJS,X,O,X,O,O,O,O
LTZOISJ,O,O,X,X,O,X,X
LTZOJIS,O,O,X,O,O,O,O
LTZOJSI,O,O,X,O,O,O,O
LTZOSIJ,O,O,X,X,O,X,X
LTZOSJI,O,O,X,X,O,X,X
LTOIJSZ,X,X,X,X,O,O,O
LTOIJZS,X,X,X,X,O,O,O
LTOISJZ,O,O,X,X,O,O,O
LTOISZJ,O,O,X,X,O,X,X
LTOIZJS,X,O,X,X,O,O,O
LTOIZSJ,X,O,X,X,O,X,X
LTOJISZ,X,X,X,X,O,O,O
LTOJIZS,X,X,X,X,O,O,O
LTOJSIZ,X,X,X,X,O,O,O
LTOJSZI,X,X,X,X,O,O,O
LTOJZIS,X,X,X,X,O,O,O
LTOJZSI,X,X,X,X,O,O,O
LTOSIJZ,O,O,X,X,O,O,O
LTOSIZJ,O,O,X,X,O,X,X
LTOSJIZ,O,O,X,X,O,O,O
LTOSJZI,O,O,X,X,O,O,O
LTOSZIJ,O,O,X,X,O,X,X
LTOSZJI,O,O,X,X,O,X,X
LTOZIJS,X,O,X,X,O,O,O
LTOZISJ,O,O,X,X,O,X,X
LTOZJIS,O,O,X,X,O,O,O
LTOZJSI,O,O,X,X,O,O,O
LTOZSIJ,O,O,X,X,O,X,X
LTOZSJI,O,O,X,X,O,X,X
LITJSZO,X,O,O,X,X,X,O
LITJSOZ,X,O,O,X,X,X,O
LITJZSO,X,O,O,X,X,X,O
LITJZOS,X,O,X,X,X,X,O
LITJOSZ,X,X,X,X,O,O,O
LITJOZS,X,X,X,X,O,O,O
LITSJZO,X,O,O,X,X,X,O
LITSJOZ,X,O,O,X,X,X,O
LITSZJO,X,O,O,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X
LITSOJZ,X,O,O,X,O,O,O
LITSOZJ,X,O,O,X,O,X,X
LITZJSO,X,O,O,X,X,X,O
LITZJOS,X,O,X,X,X,X,O
LITZSJO,X,O,O,X,X,X,X
LITZSOJ,X,O,O,X,X,X,X
LITZOJS,X,O,X,X,O,O,O
LITZOSJ,X,O,X,X,O,X,X
LITOJSZ,X,X,X,X,O,O,O
LITOJZS,X,X,X,X,O,O,O
LITOSJZ,X,O,X,X,O,O,O
LITOSZJ,X,O,X,X,O,X,X
LITOZJS,X,O,X,X,O,O,O
LITOZSJ,X,O,X,X,O,X,X
LIJTSZO,X,X,O,X,X,X,O
LIJTSOZ,X,X,O,X,X,X,O
LIJTZSO,X,X,O,X,X,X,O
LIJTZOS,X,X,X,X,X,X,O
LIJTOSZ,X,X,X,X,X,X,O
LIJTOZS,X,X,X,X,X,X,O
LIJSTZO,X,O,O,O,X,X,X
LIJSTOZ,X,X,O,X,X,X,X
LIJSZTO,X,O,O,O,X,X,X
LIJSZOT,X,O,O,O,X,X,X
LIJSOTZ,X,X,O,X,X,X,X
LIJSOZT,X,O,O,O,X,X,X
LIJZTSO,X,O,O,X,X,X,O
LIJZTOS,X,O,X,X,X,X,O
LIJZSTO,X,O,O,O,X,X,X
LIJZSOT,X,O,O,O,X,X,X
LIJZOTS,X,O,X,X,X,X,O
LIJZOST,X,O,O,O,X,X,X
LIJOTSZ,X,X,X,X,X,X,O
LIJOTZS,X,X,X,X,X,X,O
LIJOSTZ,X,X,O,X,X,X,X
LIJOSZT,X,X,O,X,X,X,X
LIJOZTS,X,X,X,X,X,X,O
LIJOZST,X,X,O,X,X,X,X
LISTJZO,X,O,O,X,X,X,X
LISTJOZ,X,O,O,X,X,X,X
LISTZJO,O,O,O,X,X,X,X
LISTZOJ,O,O,O,X,X,X,X
LISTOJZ,O,O,O,X,X,X,X
LISTOZJ,O,O,O,X,X,X,X
LISJTZO,X,O,O,X,X,X,X
LISJTOZ,X,O,O,X,X,X,X
LISJZTO,X,O,O,X,X,X,X
LISJZOT,X,O,O,X,X,X,X
LISJOTZ,X,X,O,X,X,X,X
LISJOZT,X,O,O,X,X,X,X
LISZTJO,O,O,O,X,X,X,X
LISZTOJ,O,O,O,X,X,X,X
LISZJTO,O,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X,X
LISZOTJ,O,O,O,X,X,X,X
LISZOJT,O,O,O,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X
LISOTZJ,O,X,O,X,X,X,X
LISOJTZ,O,X,O,X,X,X,X
LISOJZT,X,O,O,X,X,X,X
LISOZTJ,O,O,O,X,X,X,X
LISOZJT,O,O,O,X,X,X,X
LIZTJSO,X,O,O,X,X,X,X
LIZTJOS,X,O,X,X,X,X,X
LIZTSJO,X,O,O,X,X,X,X
LIZTSOJ,X,O,O,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,X
LIZJTOS,X,O,X,X,X,X,X
LIZJSTO,O,O,O,O,X,X,X
LIZJSOT,O,O,O,O,X,X,X
LIZJOTS,X,O,X,X,X,X,X
LIZJOST,O,O,O,O,X,X,X
LIZSTJO,O,O,O,X,X,X,X
LIZSTOJ,O,O,O,X,X,X,X
LIZSJTO,O,O,O,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,X
LIZSOJT,O,O,O,X,X,X,X
LIZOTJS,X,O,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X
LIZOJTS,O,O,X,X,X,X,X
LIZOJST,O,O,O,O,X,X,X
LIZOSTJ,O,O,O,X,X,X,X
LIZOSJT,O,O,O,X,X,X,X
LIOTJSZ,X,X,X,X,O,O,O
LIOTJZS,X,X,X,X,O,O,O
LIOTSJZ,O,X,X,X,O,O,O
LIOTSZJ,O,X,X,X,O,X,X
LIOTZJS,X,X,X,X,O,O,O
LIOTZSJ,X,X,X,X,O,X,X
LIOJTSZ,X,X,X,X,O,O,O
LIOJTZS,X,X,X,X,O,O,O
LIOJSTZ,O,X,O,X,O,X,X
LIOJSZT,X,X,O,X,X,X,X
LIOJZTS,X,X,X,X,X,O,O
LIOJZST,X,X,O,X,X,X,X
LIOSTJZ,O,X,O,X,O,X,X
LIOSTZJ,O,X,O,X,O,X,X
LIOSJTZ,O,X,O,X,O,X,X
LIOSJZT,X,O,O,X,X,X,X
LIOSZTJ,O,O,O,X,X,X,X
LIOSZJT,O,O,O,X,X,X,X
LIOZTJS,X,O,X,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X
LIOZJTS,O,O,X,X,X,X,X
LIOZJST,O,O,O,X,X,X,X
LIOZSTJ,O,O,O,X,X,X,X
LIOZSJT,O,O,O,X,X,X,X
LJTISZO,X,O,O,O,X,X,O
LJTISOZ,X,O,O,O,O,X,O
LJTIZSO,X,O,O,O,X,X,O
LJTIZOS,X,O,X,O,X,O,O
LJTIOSZ,X,X,X,X,O,O,O
LJTIOZS,X,X,X,X,O,O,O
LJTSIZO,X,O,O,O,X,X,O
LJTSIOZ,X,O,O,O,O,X,O
LJTSZIO,X,O,O,O,X,X,O
LJTSZOI,X,O,X,O,X,X,O
LJTSOIZ,X,O,O,O,O,X,O
LJTSOZI,X,O,X,O,O,X,O
LJTZISO,X,O,X,O,X,X,O
LJTZIOS,X,O,X,O,X,O,O
LJTZSIO,X,O,X,O,X,X,O
LJTZSOI,X,O,X,O,X,X,O
LJTZOIS,X,O,X,O,X,O,O
LJTZOSI,X,O,X,O,X,O,O
LJTOISZ,X,X,X,X,O,O,O
LJTOIZS,X,X,X,X,O,O,O
LJTOSIZ,X,X,X,X,O,O,O
LJTOSZI,X,X,X,X,O,O,O
LJTOZIS,X,X,X,X,O,O,O
LJTOZSI,X,X,X,X,O,O,O
LJITSZO,X,X,O,X,X,X,O
LJITSOZ,X,X,O,X,X,X,O
LJITZSO,X,X,O,X,X,X,O
LJITZOS,X,X,X,X,X,X,O
LJITOSZ,X,X,X,X,X,X,O
LJITOZS,X,X,X,X,X,X,O
LJISTZO,X,O,O,O,X,X,X
LJISTOZ,X,X,O,X,X,X,X
LJISZTO,X,O,O,O,X,X,X
LJISZOT,X,O,O,O,X,X,X
LJISOTZ,X,X,O,X,X,X,X
LJISOZT,X,O,O,O,X,X,X
LJIZTSO,X,O,O,X,X,X,O
LJIZTOS,X,O,X,X,X,X,O
LJIZSTO,X,O,O,O,X,X,X
LJIZSOT,X,O,O,O,X,X,X
LJIZOTS,X,O,X,X,X,X,O
LJIZOST,X,O,O,O,X,X,X
LJIOTSZ,X,X,X,X,X,X,O
LJIOTZS,X,X,X,X,X,X,O
LJIOSTZ,X,X,O,X,X,X,X
LJIOSZT,X,X,O,X,X,X,X
LJIOZTS,X,X,X,X,X,X,O
LJIOZST,X,X,O,X,X,X,X
LJSTIZO,X,O,O,O,X,X,O
LJSTIOZ,X,O,O,O,O,X,O
LJSTZIO,O,O,O,O,X,X,O
LJSTZOI,O,O,X,O,X,X,O
LJSTOIZ,O,O,O,O,O,X,O
LJSTOZI,O,O,X,O,O,X,O
LJSITZO,X,O,O,O,X,X,X
LJSITOZ,X,O,O,O,X,X,X
LJSIZTO,X,O,O,O,X,X,X
LJSIZOT,X,O,O,O,X,X,X
LJSIOTZ,X,X,O,X,X,X,X
LJSIOZT,X,O,O,O,X,X,X
LJSZTIO,O,O,O,O,X,X,O
LJSZTOI,O,O,X,O,X,X,O
LJSZITO,O,O,O,O,X,X,X
LJSZIOT,O,O,O,O,X,X,X
LJSZOTI,O,O,X,O,X,X,O
LJSZOIT,O,O,X,O,X,X,X
LJSOTIZ,O,O,O,O,O,X,O
LJSOTZI,O,O,X,O,O,X,O
LJSOITZ,O,X,O,X,O,X,X
LJSOIZT,X,O,O,O,X,X,X
LJSOZTI,O,O,X,O,O,X,O
LJSOZIT,O,O,X,O,X,X,X
LJZTISO,O,O,X,O,X,X,O
LJZTIOS,X,O,X,O,X,O,O
LJZTSIO,O,O,X,O,X,X,O
LJZTSOI,O,O,X,O,X,X,O
LJZTOIS,X,O,X,O,X,O,O
LJZTOSI,X,O,X,O,X,O,O
LJZITSO,O,O,O,X,X,X,O
LJZITOS,X,O,X,X,X,X,O
LJZISTO,O,O,O,O,X,X,X
LJZISOT,O,O,O,O,X,X,X
LJZIOTS,X,O,X,X,X,X,O
LJZIOST,O,O,O,O,X,X,X
LJZSTIO,O,O,O,O,X,X,O
LJZSTOI,O,O,X,O,X,X,O
LJZSITO,O,O,O,O,X,X,X
LJZSIOT,O,O,O,O,X,X,X
LJZSOTI,O,O,X,O,X,X,O
LJZSOIT,O,O,X,O,X,X,X
LJZOTIS,O,O,X,O,X,O,O
LJZOTSI,O,O,X,O,X,O,O
LJZOITS,O,O,X,X,X,O,O
LJZOIST,O,O,X,O,X,X,X
LJZOSTI,O,O,X,O,X,O,O
LJZOSIT,O,O,X,O,X,X,X
LJOTISZ,X,X,X,X,O,O,O
LJOTIZS,X,X,X,X,O,O,O
LJOTSIZ,X,X,X,X,O,O,O
LJOTSZI,X,X,X,X,O,O,O
LJOTZIS,X,X,X,X,O,O,O
LJOTZSI,X,X,X,X,O,O,O
