sequence,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhB6oBXmBm?nBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBynB+oBX?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeiAJvhFzhBGjBUoBR?qBFsB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8Je/FJvhFRhBziB+oBi?mBUqBFsB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeeFJvhFChBxiBlmBc?sBToB3qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JexAJvhFXiB6oBllBz?nBUqBmrB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JezBJvhFfoB6oBRqBF?sBOqB8qB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeTAJvhFxhBVrBasBG?oBXoBUqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JeyFJvhFUiBGjBfsBV?tBRqBTqB,v115@9gB8HeB8HeA8IeB8BeB8AeC8JemAJvhFUiBFjBfsBS?tBRqBTqB
TSOIJZL,O,O,X,X,O,X,X,X,O,X
TSOIZLJ,O,O,O,X,O,X,O,X,O,X
TSOIZJL,O,O,O,X,O,X,X,X,O,X
TSOLIJZ,O,O,X,X,X,X,O,O,X,X
TSOLIZJ,O,X,X,X,X,X,O,X,X,X
TSOLJIZ,O,O,X,X,O,X,O,O,X,X
TSOLJZI,O,O,X,X,O,X,X,O,X,X
TSOLZIJ,O,X,X,X,X,X,O,X,X,X
TSOLZJI,O,X,X,X,X,X,X,X,X,X
TSOJILZ,O,O,X,X,O,X,O,X,O,X
TSOJIZL,O,O,X,X,O,X,X,X,O,X
TSOJLIZ,O,O,X,X,O,X,O,O,X,X
TSOJLZI,O,O,X,X,O,X,X,O,X,X
TSOJZIL,O,O,X,X,O,X,X,X,O,X
TSOJZLI,O,O,X,X,O,X,X,X,X,X
TSOZILJ,O,O,O,X,O,X,O,X,O,X
TSOZIJL,O,O,O,X,O,X,X,X,O,X
TSOZLIJ,O,O,X,X,O,X,O,X,X,X
TSOZLJI,O,O,X,X,O,X,X,X,X,X
TSOZJIL,O,O,O,X,O,X,X,X,O,X
TSOZJLI,O,O,X,X,O,X,X,X,X,X
TZILJSO,O,X,O,O,O,X,X,O,O,X
TZILJOS,O,X,O,O,O,O,X,O,X,X
TZILSJO,O,X,O,O,O,X,X,O,O,X
TZILSOJ,O,X,O,O,X,O,X,O,O,X
TZILOJS,O,X,O,X,X,O,X,O,X,X
TZILOSJ,X,X,O,X,X,O,X,O,X,X
TZIJLSO,O,O,O,O,O,X,X,O,O,X
TZIJLOS,O,O,O,O,O,O,X,O,X,X
TZIJSLO,O,O,O,O,O,X,X,X,O,X
TZIJSOL,O,O,O,O,O,X,X,X,O,X
TZIJOLS,O,O,O,O,O,O,X,O,X,X
TZIJOSL,O,X,O,O,O,O,X,X,X,X
TZISLJO,O,O,O,O,O,X,O,X,O,X
TZISLOJ,O,O,O,O,X,O,O,X,O,X
TZISJLO,O,O,O,O,O,X,X,X,O,X
TZISJOL,O,O,O,O,O,X,X,X,O,X
TZISOLJ,O,O,O,O,O,O,O,X,O,X
TZISOJL,O,O,O,O,O,O,X,X,O,X
TZIOLJS,O,X,O,X,O,O,X,O,X,X
TZIOLSJ,X,X,O,X,O,O,X,O,X,X
TZIOJLS,O,O,O,X,O,O,X,O,X,X
TZIOJSL,O,X,O,X,O,O,X,X,X,X
TZIOSLJ,X,X,O,X,O,O,O,X,X,X
TZIOSJL,X,X,O,X,O,O,X,X,X,X
TZLIJSO,O,X,O,O,O,X,X,O,X,X
TZLIJOS,O,X,O,O,O,O,X,O,X,X
TZLISJO,O,X,O,O,O,X,X,O,X,X
TZLISOJ,O,X,O,O,X,O,X,O,X,X
TZLIOJS,O,X,O,X,X,O,X,O,X,X
TZLIOSJ,X,X,O,X,X,O,X,O,X,X
TZLJISO,O,O,O,O,O,O,X,O,X,X
TZLJIOS,O,O,O,O,O,O,X,O,X,X
TZLJSIO,O,O,X,O,O,O,X,O,X,X
TZLJSOI,O,O,X,O,O,O,X,O,X,X
TZLJOIS,O,O,O,O,O,O,X,O,X,X
TZLJOSI,O,O,X,O,O,O,X,O,X,X
TZLSIJO,O,O,X,O,O,X,X,O,X,X
TZLSIOJ,O,O,X,O,X,O,X,O,X,X
TZLSJIO,O,O,X,O,O,X,X,O,X,X
TZLSJOI,O,O,X,O,O,X,X,O,X,X
TZLSOIJ,O,O,X,O,O,O,X,O,X,X
TZLSOJI,O,O,X,O,O,O,X,O,X,X
TZLOIJS,O,X,O,X,O,O,X,O,X,X
TZLOISJ,X,X,O,X,O,O,X,O,X,X
TZLOJIS,O,O,O,O,O,O,X,O,X,X
TZLOJSI,O,O,X,O,O,O,X,O,X,X
TZLOSIJ,O,X,X,O,O,O,X,O,X,X
TZLOSJI,O,X,X,O,O,O,X,O,X,X
TZJILSO,O,O,O,O,O,O,X,O,O,X
TZJILOS,O,O,O,O,O,O,X,O,X,X
TZJISLO,O,O,O,O,O,O,X,X,O,X
TZJISOL,O,O,O,O,O,O,X,X,O,X
TZJIOLS,O,O,O,O,O,O,X,O,X,X
TZJIOSL,O,X,O,O,O,O,X,X,X,X
TZJLISO,O,O,O,O,O,O,X,O,X,X
TZJLIOS,O,O,O,O,O,O,X,O,X,X
TZJLSIO,O,O,X,O,O,O,X,O,X,X
TZJLSOI,O,O,X,O,O,O,X,O,X,X
TZJLOIS,O,O,O,O,O,O,X,O,X,X
TZJLOSI,O,O,X,O,O,O,X,O,X,X
TZJSILO,O,O,O,O,O,O,X,X,O,X
TZJSIOL,O,O,O,O,O,O,X,X,O,X
TZJSLIO,O,O,X,O,O,O,X,O,O,X
TZJSLOI,O,O,X,O,O,O,X,O,X,X
TZJSOIL,O,O,O,O,O,O,X,X,O,X
TZJSOLI,O,O,X,O,O,O,X,O,X,X
TZJOILS,O,O,O,O,O,O,X,O,X,X
TZJOISL,O,X,O,O,O,O,X,X,X,X
TZJOLIS,O,O,O,O,O,O,X,O,X,X
TZJOLSI,O,O,X,O,O,O,X,O,X,X
TZJOSIL,O,O,O,O,O,O,X,X,X,X
TZJOSLI,O,O,X,O,O,O,X,O,X,X
TZSILJO,O,O,O,O,O,X,O,X,O,X
TZSILOJ,O,O,O,O,X,O,O,X,O,X
TZSIJLO,O,O,O,O,O,X,X,X,O,X
TZSIJOL,O,O,O,O,O,X,X,X,O,X
TZSIOLJ,O,O,O,O,O,O,O,X,O,X
TZSIOJL,O,O,O,O,O,O,X,X,O,X
TZSLIJO,O,O,X,O,O,X,O,O,O,X
TZSLIOJ,O,O,X,O,X,O,O,O,O,X
TZSLJIO,O,O,X,O,O,X,X,O,O,X
TZSLJOI,O,O,X,O,O,X,X,O,X,X
TZSLOIJ,O,O,X,O,O,O,O,O,X,X
TZSLOJI,O,O,X,O,O,O,X,O,X,X
TZSJILO,O,O,O,O,O,X,X,X,O,X
TZSJIOL,O,O,O,O,O,X,X,X,O,X
TZSJLIO,O,O,X,O,O,X,X,O,O,X
TZSJLOI,O,O,X,O,O,X,X,O,X,X
TZSJOIL,O,O,O,O,O,X,X,X,O,X
TZSJOLI,O,O,X,O,O,X,X,O,X,X
TZSOILJ,O,O,O,O,O,O,O,X,O,X
TZSOIJL,O,O,O,O,O,O,X,X,O,X
TZSOLIJ,O,O,X,O,O,O,O,O,X,X
TZSOLJI,O,O,X,O,O,O,X,O,X,X
TZSOJIL,O,O,O,O,O,O,X,X,O,X
TZSOJLI,O,O,X,O,O,O,X,O,X,X
TZOILJS,O,X,O,X,O,O,X,O,X,X
TZOILSJ,X,X,O,X,O,O,X,O,X,X
TZOIJLS,O,O,O,X,O,O,X,O,X,X
TZOIJSL,O,X,O,X,O,O,X,X,X,X
TZOISLJ,X,X,O,X,O,O,O,X,X,X
TZOISJL,X,X,O,X,O,O,X,X,X,X
TZOLIJS,O,X,O,X,O,O,X,O,X,X
TZOLISJ,X,X,O,X,O,O,X,O,X,X
TZOLJIS,O,O,O,O,O,O,X,O,X,X
TZOLJSI,O,O,X,O,O,O,X,O,X,X
TZOLSIJ,O,X,X,O,O,O,X,O,X,X
TZOLSJI,O,X,X,O,O,O,X,O,X,X
TZOJILS,O,O,O,O,O,O,X,O,X,X
TZOJISL,O,X,O,O,O,O,X,X,X,X
TZOJLIS,O,O,O,O,O,O,X,O,X,X
TZOJLSI,O,O,X,O,O,O,X,O,X,X
TZOJSIL,O,O,O,O,O,O,X,X,X,X
TZOJSLI,O,O,X,O,O,O,X,O,X,X
TZOSILJ,O,O,O,O,O,O,O,X,X,X
TZOSIJL,O,O,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,X,O,O,O,O,O,X,X
TZOSLJI,O,O,X,O,O,O,X,O,X,X
TZOSJIL,O,O,O,O,O,O,X,X,X,X
TZOSJLI,O,O,X,O,O,O,X,O,X,X
TOILJSZ,X,X,X,X,X,X,X,O,O,X
TOILJZS,X,X,O,X,X,X,X,O,X,X
TOILSJZ,X,X,X,X,X,X,O,O,O,X
TOILSZJ,X,X,O,X,X,X,O,X,O,X
TOILZJS,X,X,O,X,X,X,X,O,X,X
TOILZSJ,X,X,O,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X,X,O,O,X
TOIJLZS,X,X,O,X,O,X,X,O,X,X
TOIJSLZ,X,X,X,X,X,X,O,X,O,X
TOIJSZL,X,X,X,X,X,X,X,X,O,X
TOIJZLS,X,X,O,X,O,X,X,X,X,X
TOIJZSL,X,X,O,X,O,X,X,X,X,X
TOISLJZ,X,X,X,X,X,X,O,X,O,X
TOISLZJ,X,X,O,X,X,X,O,X,O,X
TOISJLZ,X,X,X,X,O,X,O,X,O,X
TOISJZL,X,X,X,X,O,X,X,X,O,X
TOISZLJ,X,X,O,X,O,X,O,X,O,X
TOISZJL,X,X,O,X,O,X,X,X,O,X
TOIZLJS,X,X,O,X,O,X,X,X,X,X
TOIZLSJ,X,X,O,X,O,X,X,X,X,X
TOIZJLS,X,X,O,X,O,X,X,X,X,X
TOIZJSL,X,X,O,X,O,X,X,X,X,X
TOIZSLJ,X,X,O,X,O,X,O,X,X,X
TOIZSJL,X,X,O,X,O,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X,X,O,X,X
TOLIJZS,X,X,O,X,X,X,X,O,X,X
TOLISJZ,X,X,X,X,X,X,O,O,X,X
TOLISZJ,X,X,O,X,X,X,O,X,X,X
TOLIZJS,X,X,O,X,X,X,X,O,X,X
TOLIZSJ,X,X,O,X,X,X,X,O,X,X
TOLJISZ,O,X,X,X,X,O,X,O,X,X
TOLJIZS,O,X,X,O,O,O,X,O,X,X
TOLJSIZ,O,X,X,X,X,O,X,O,X,X
TOLJSZI,O,X,X,O,O,O,X,O,X,X
TOLJZIS,O,X,X,O,O,O,X,O,X,X
TOLJZSI,O,X,X,O,O,O,X,O,X,X
TOLSIJZ,O,X,X,X,X,O,O,O,X,X
TOLSIZJ,O,X,X,X,X,O,O,X,X,X
TOLSJIZ,O,X,X,X,O,O,O,O,X,X
TOLSJZI,X,X,X,X,O,O,X,O,X,X
TOLSZIJ,O,X,X,X,X,O,O,X,X,X
TOLSZJI,O,X,X,X,X,O,X,X,X,X
TOLZIJS,O,X,O,X,X,O,X,O,X,X
TOLZISJ,X,X,O,X,X,O,X,O,X,X
TOLZJIS,O,X,O,O,X,O,X,O,X,X
TOLZJSI,O,X,X,O,X,O,X,O,X,X
TOLZSIJ,O,X,X,O,X,O,X,O,X,X
TOLZSJI,O,X,X,O,X,O,X,O,X,X
TOJILSZ,O,X,X,X,X,O,X,O,O,X
TOJILZS,O,X,O,O,O,O,X,O,X,X
TOJISLZ,O,X,X,X,X,O,O,X,O,X
TOJISZL,O,X,X,X,X,O,X,X,O,X
TOJIZLS,O,X,O,O,O,O,X,X,X,X
TOJIZSL,O,X,O,O,O,O,X,X,X,X
TOJLISZ,O,O,X,X,X,O,X,O,X,X
TOJLIZS,O,O,X,O,O,O,X,O,X,X
TOJLSIZ,O,O,X,X,X,O,X,O,X,X
TOJLSZI,O,O,X,O,O,O,X,O,X,X
TOJLZIS,O,O,X,O,O,O,X,O,X,X
TOJLZSI,O,O,X,O,O,O,X,O,X,X
TOJSILZ,O,O,X,X,O,O,O,X,O,X
TOJSIZL,O,O,X,X,X,O,X,X,O,X
TOJSLIZ,O,O,X,X,O,O,O,O,X,X
TOJSLZI,O,O,X,O,O,O,X,O,X,X
TOJSZIL,O,O,X,O,X,O,X,X,O,X
TOJSZLI,O,O,X,O,O,O,X,X,X,X
TOJZILS,O,O,O,O,O,O,X,O,X,X
TOJZISL,O,X,O,O,O,O,X,X,X,X
TOJZLIS,O,O,O,O,O,O,X,O,X,X
TOJZLSI,O,O,X,O,O,O,X,O,X,X
TOJZSIL,O,O,O,O,O,O,X,X,X,X
TOJZSLI,O,O,X,O,O,O,X,O,X,X
TOSILJZ,O,O,X,X,X,O,O,X,O,X
TOSILZJ,O,X,O,X,X,O,O,X,O,X
TOSIJLZ,O,O,X,X,O,X,O,X,O,X
TOSIJZL,O,O,X,X,O,X,X,X,O,X
TOSIZLJ,O,O,O,X,O,X,O,X,O,X
TOSIZJL,O,O,O,X,O,X,X,X,O,X
TOSLIJZ,O,O,X,X,X,O,O,O,X,X
TOSLIZJ,O,X,X,X,X,O,O,X,X,X
TOSLJIZ,O,O,X,X,O,O,O,O,X,X
TOSLJZI,O,O,X,X,O,O,X,O,X,X
TOSLZIJ,O,X,X,X,X,O,O,X,X,X
TOSLZJI,O,X,X,X,X,O,X,X,X,X
TOSJILZ,O,O,X,X,O,O,O,X,O,X
TOSJIZL,O,O,X,X,O,O,X,X,O,X
TOSJLIZ,O,O,X,X,O,O,O,O,X,X
TOSJLZI,O,O,X,X,O,O,X,O,X,X
TOSJZIL,O,O,X,X,O,O,X,X,O,X
TOSJZLI,O,O,X,X,O,O,X,X,X,X
TOSZILJ,O,O,O,X,O,O,O,X,O,X
TOSZIJL,O,O,O,X,O,O,X,X,O,X
TOSZLIJ,O,O,X,X,O,O,O,X,X,X
TOSZLJI,O,O,X,X,O,O,X,X,X,X
TOSZJIL,O,O,O,X,O,O,X,X,O,X
TOSZJLI,O,O,X,X,O,O,X,X,X,X
TOZILJS,O,X,O,X,O,O,X,O,X,X
TOZILSJ,X,X,O,X,O,O,X,O,X,X
TOZIJLS,O,O,O,X,O,O,X,O,X,X
TOZIJSL,O,X,O,X,O,O,X,X,X,X
TOZISLJ,X,X,O,X,O,O,O,X,X,X
TOZISJL,X,X,O,X,O,O,X,X,X,X
TOZLIJS,O,X,O,X,O,O,X,O,X,X
TOZLISJ,X,X,O,X,O,O,X,O,X,X
TOZLJIS,O,O,O,O,O,O,X,O,X,X
TOZLJSI,O,O,X,O,O,O,X,O,X,X
TOZLSIJ,O,X,X,O,O,O,X,O,X,X
TOZLSJI,O,X,X,O,O,O,X,O,X,X
TOZJILS,O,O,O,O,O,O,X,O,X,X
TOZJISL,O,X,O,O,O,O,X,X,X,X
TOZJLIS,O,O,O,O,O,O,X,O,X,X
TOZJLSI,O,O,X,O,O,O,X,O,X,X
TOZJSIL,O,O,O,O,O,O,X,X,X,X
TOZJSLI,O,O,X,O,O,O,X,O,X,X
TOZSILJ,O,O,O,O,O,O,O,X,X,X
TOZSIJL,O,O,O,O,O,O,X,X,X,X
TOZSLIJ,O,O,X,O,O,O,O,O,X,X
TOZSLJI,O,O,X,O,O,O,X,O,X,X
TOZSJIL,O,O,O,O,O,O,X,X,X,X
TOZSJLI,O,O,X,O,O,O,X,O,X,X
ITLJSZO,O,X,X,X,X,X,X,O,O,O
ITLJSOZ,O,X,X,X,X,X,X,O,O,O
ITLJZSO,O,X,O,O,X,X,X,O,O,O
ITLJZOS,O,X,O,O,X,X,X,O,X,X
ITLJOSZ,O,X,X,X,X,X,X,O,O,O
ITLJOZS,O,X,O,O,X,X,X,O,X,X
ITLSJZO,O,X,X,X,X,X,O,O,O,O
ITLSJOZ,O,X,X,X,X,X,O,O,O,O
ITLSZJO,O,X,O,X,X,X,O,O,O,O
ITLSZOJ,O,X,O,X,X,X,O,O,O,O
ITLSOJZ,O,X,X,X,X,X,O,O,O,O
ITLSOZJ,O,X,O,X,X,X,O,X,O,O
ITLZJSO,O,X,O,O,X,X,X,O,O,O
ITLZJOS,O,X,O,O,X,X,X,O,X,X
ITLZSJO,O,X,O,O,X,X,X,O,O,O
ITLZSOJ,O,X,O,O,X,X,X,O,O,O
ITLZOJS,O,X,O,X,X,X,X,O,X,X
ITLZOSJ,X,X,O,X,X,X,X,O,X,X
ITLOJSZ,X,X,X,X,X,X,X,O,O,O
ITLOJZS,X,X,O,X,X,X,X,O,X,X
ITLOSJZ,X,X,X,X,X,X,O,O,O,O
ITLOSZJ,X,X,O,X,X,X,O,X,O,O
ITLOZJS,X,X,O,X,X,X,X,O,X,X
ITLOZSJ,X,X,O,X,X,X,X,O,X,X
ITJLSZO,O,O,X,X,X,X,X,O,O,O
ITJLSOZ,O,O,X,X,X,X,X,O,O,O
ITJLZSO,O,O,O,O,O,X,X,O,O,O
ITJLZOS,O,O,O,O,O,X,X,O,X,X
ITJLOSZ,O,O,X,X,X,X,X,O,O,O
ITJLOZS,O,O,O,O,O,X,X,O,X,X
ITJSLZO,O,O,X,X,X,X,O,X,O,O
ITJSLOZ,O,O,X,X,X,X,O,X,O,O
ITJSZLO,O,O,X,X,X,X,X,X,O,O
ITJSZOL,O,O,X,X,X,X,X,X,O,O
ITJSOLZ,O,O,X,X,X,X,O,X,O,X
ITJSOZL,O,O,X,X,X,X,X,X,O,X
ITJZLSO,O,O,O,O,X,X,X,O,O,X
ITJZLOS,O,O,O,O,X,X,X,O,X,X
ITJZSLO,O,O,O,O,X,X,X,X,O,X
ITJZSOL,O,O,O,O,X,X,X,X,O,X
ITJZOLS,O,O,O,O,X,X,X,O,X,X
ITJZOSL,O,X,O,O,X,X,X,X,X,X
ITJOLSZ,O,X,X,X,X,X,X,O,O,X
ITJOLZS,O,X,O,O,O,X,X,O,X,X
ITJOSLZ,O,X,X,X,X,X,O,X,O,X
ITJOSZL,O,X,X,X,X,X,X,X,O,X
ITJOZLS,O,X,O,O,X,X,X,X,X,X
ITJOZSL,O,X,O,O,X,X,X,X,X,X
ITSLJZO,O,O,X,X,X,X,O,X,O,O
ITSLJOZ,O,O,X,X,X,X,O,X,O,O
ITSLZJO,O,O,O,X,X,X,O,X,O,O
ITSLZOJ,O,O,O,X,X,X,O,X,O,O
ITSLOJZ,O,O,X,X,X,X,O,X,O,O
ITSLOZJ,O,X,O,X,X,X,O,X,O,O
ITSJLZO,O,O,X,X,O,X,O,X,O,O
ITSJLOZ,O,O,X,X,O,X,O,X,O,O
ITSJZLO,O,O,X,X,X,X,X,X,O,O
ITSJZOL,O,O,X,X,X,X,X,X,O,O
ITSJOLZ,O,O,X,X,O,X,O,X,O,X
ITSJOZL,O,O,X,X,X,X,X,X,O,X
ITSZLJO,O,O,O,X,X,X,O,X,O,O
ITSZLOJ,O,O,O,X,X,X,O,X,O,O
ITSZJLO,O,O,O,X,X,X,X,X,O,O
ITSZJOL,O,O,O,X,X,X,X,X,O,O
ITSZOLJ,O,O,O,X,X,X,O,X,O,X
ITSZOJL,O,O,O,X,X,X,X,X,O,O
ITSOLJZ,O,O,X,X,X,X,O,X,O,X
ITSOLZJ,O,X,O,X,X,X,O,X,O,X
ITSOJLZ,O,O,X,X,O,X,O,X,O,X
ITSOJZL,O,O,X,X,X,X,X,X,O,X
ITSOZLJ,O,O,O,X,X,X,O,X,O,X
ITSOZJL,O,O,O,X,X,X,X,X,O,X
ITZLJSO,O,X,O,O,X,X,X,O,O,X
ITZLJOS,O,X,O,O,X,X,X,O,X,X
ITZLSJO,O,X,O,O,X,X,X,O,O,X
ITZLSOJ,O,X,O,O,X,X,X,O,O,X
ITZLOJS,O,X,O,X,X,X,X,O,X,X
ITZLOSJ,X,X,O,X,X,X,X,O,X,X
ITZJLSO,O,O,O,O,X,X,X,O,O,X
ITZJLOS,O,O,O,O,X,X,X,O,X,X
ITZJSLO,O,O,O,O,X,X,X,X,O,X
ITZJSOL,O,O,O,O,X,X,X,X,O,X
ITZJOLS,O,O,O,O,X,X,X,O,X,X
ITZJOSL,O,X,O,O,X,X,X,X,X,X
ITZSLJO,O,O,O,O,X,X,O,X,O,X
ITZSLOJ,O,O,O,O,X,X,O,X,O,X
ITZSJLO,O,O,O,O,X,X,X,X,O,X
ITZSJOL,O,O,O,O,X,X,X,X,O,X
ITZSOLJ,O,O,O,O,X,X,O,X,O,X
ITZSOJL,O,O,O,O,X,X,X,X,O,X
ITZOLJS,O,X,O,X,X,X,X,O,X,X
ITZOLSJ,X,X,O,X,X,X,X,O,X,X
ITZOJLS,O,O,O,X,X,X,X,O,X,X
ITZOJSL,O,X,O,X,X,X,X,X,X,X
ITZOSLJ,X,X,O,X,X,X,O,X,X,X
ITZOSJL,X,X,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,O,O,X
ITOLJZS,X,X,O,X,X,X,X,O,X,X
ITOLSJZ,X,X,X,X,X,X,O,O,O,X
ITOLSZJ,X,X,O,X,X,X,O,X,O,X
ITOLZJS,X,X,O,X,X,X,X,O,X,X
ITOLZSJ,X,X,O,X,X,X,X,X,X,X
ITOJLSZ,X,X,X,X,X,X,X,O,O,X
ITOJLZS,X,X,O,X,O,X,X,O,X,X
ITOJSLZ,X,X,X,X,X,X,O,X,O,X
ITOJSZL,X,X,X,X,X,X,X,X,O,X
ITOJZLS,X,X,O,X,X,X,X,X,X,X
ITOJZSL,X,X,O,X,X,X,X,X,X,X
ITOSLJZ,X,X,X,X,X,X,O,X,O,X
ITOSLZJ,X,X,O,X,X,X,O,X,O,X
ITOSJLZ,X,X,X,X,O,X,O,X,O,X
ITOSJZL,X,X,X,X,X,X,X,X,O,X
ITOSZLJ,X,X,O,X,X,X,O,X,O,X
ITOSZJL,X,X,O,X,X,X,X,X,O,X
ITOZLJS,X,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,X,X,X,X,X
ITOZJLS,X,X,O,X,X,X,X,X,X,X
ITOZJSL,X,X,O,X,X,X,X,X,X,X
ITOZSLJ,X,X,O,X,X,X,O,X,X,X
ITOZSJL,X,X,O,X,X,X,X,X,X,X
ILTJSZO,O,X,X,X,X,X,X,O,O,O
ILTJSOZ,O,X,X,X,X,X,X,O,O,O
ILTJZSO,O,X,O,X,X,X,X,O,O,O
ILTJZOS,O,X,O,X,X,X,X,O,X,X
ILTJOSZ,O,X,X,X,X,X,X,O,O,O
ILTJOZS,O,X,O,X,X,X,X,O,X,X
ILTSJZO,O,X,X,X,X,X,O,O,O,O
ILTSJOZ,O,X,X,X,X,X,O,O,O,O
ILTSZJO,O,X,O,X,X,X,O,O,O,O
ILTSZOJ,O,X,O,X,X,X,O,O,O,O
ILTSOJZ,O,X,X,X,X,X,O,O,O,O
ILTSOZJ,O,X,O,X,X,X,O,X,O,O
ILTZJSO,O,X,O,X,X,X,X,O,O,O
ILTZJOS,O,X,O,X,X,X,X,O,X,X
ILTZSJO,O,X,O,X,X,X,X,O,O,O
ILTZSOJ,O,X,O,X,X,X,X,O,O,O
ILTZOJS,O,X,O,X,X,X,X,O,X,X
ILTZOSJ,X,X,O,X,X,X,X,O,X,X
ILTOJSZ,X,X,X,X,X,X,X,O,O,O
ILTOJZS,X,X,O,X,X,X,X,O,X,X
ILTOSJZ,X,X,X,X,X,X,O,O,O,O
ILTOSZJ,X,X,O,X,X,X,O,X,O,O
ILTOZJS,X,X,O,X,X,X,X,O,X,X
ILTOZSJ,X,X,O,X,X,X,X,O,X,X
ILJTSZO,O,X,X,X,X,O,X,O,O,O
ILJTSOZ,O,X,X,X,X,O,X,O,O,O
ILJTZSO,O,X,O,X,X,O,X,O,O,O
ILJTZOS,O,X,O,X,X,X,X,O,X,X
ILJTOSZ,X,X,X,X,X,O,X,O,O,O
ILJTOZS,X,X,O,X,X,X,X,O,X,X
ILJSTZO,O,X,X,X,X,O,O,O,O,O
ILJSTOZ,O,X,X,X,X,O,O,O,O,O
ILJSZTO,O,X,X,X,X,O,X,X,O,O
ILJSZOT,O,X,X,X,X,O,X,X,X,O
ILJSOTZ,O,X,X,X,X,O,X,X,X,O
ILJSOZT,O,X,X,X,X,O,X,X,X,O
ILJZTSO,O,X,O,X,X,O,X,O,X,O
ILJZTOS,O,X,O,X,X,O,X,O,X,X
ILJZSTO,O,X,O,O,X,O,X,X,X,O
ILJZSOT,O,X,X,O,X,O,X,X,X,O
ILJZOTS,O,X,O,X,X,X,X,X,X,X
ILJZOST,O,X,X,O,X,X,X,X,X,X
ILJOTSZ,X,X,X,X,X,X,X,O,X,O
ILJOTZS,X,X,X,X,X,X,X,O,X,X
ILJOSTZ,O,X,X,X,X,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,X,X,O
ILJOZTS,O,X,X,X,X,X,X,X,X,X
ILJOZST,O,X,X,O,X,X,X,X,X,X
ILSTJZO,O,X,X,X,X,X,O,O,O,O
ILSTJOZ,O,X,X,X,X,X,O,O,O,O
ILSTZJO,O,X,O,X,X,X,O,O,O,O
ILSTZOJ,O,X,O,X,X,X,O,O,O,O
ILSTOJZ,O,X,X,X,X,X,O,O,O,O
ILSTOZJ,O,X,O,X,X,X,O,X,O,O
ILSJTZO,O,X,X,X,X,X,O,O,O,O
ILSJTOZ,O,X,X,X,X,X,O,O,O,O
ILSJZTO,O,X,X,X,X,X,X,X,O,O
ILSJZOT,O,X,X,X,X,X,X,X,X,O
ILSJOTZ,O,X,X,X,X,X,X,X,X,O
ILSJOZT,O,X,X,X,X,X,X,X,X,O
ILSZTJO,O,X,O,X,X,X,O,X,O,O
ILSZTOJ,O,X,O,X,X,X,O,X,O,O
ILSZJTO,O,X,O,X,X,X,X,X,O,O
ILSZJOT,O,X,X,X,X,X,X,X,X,O
ILSZOTJ,O,X,X,X,X,X,X,X,O,O
ILSZOJT,O,X,X,X,X,X,X,X,X,O
ILSOTJZ,O,X,X,X,X,X,O,X,O,O
ILSOTZJ,O,X,X,X,X,X,O,X,O,O
ILSOJTZ,O,X,X,X,X,X,X,X,X,O
ILSOJZT,O,X,X,X,X,X,X,X,X,O
ILSOZTJ,O,X,X,X,X,X,X,X,O,O
ILSOZJT,O,X,X,X,X,X,X,X,X,O
ILZTJSO,O,X,O,X,X,X,X,O,O,O
ILZTJOS,O,X,O,X,X,O,X,O,X,X
ILZTSJO,O,X,O,X,X,X,X,O,O,O
ILZTSOJ,O,X,O,X,X,O,X,O,O,O
ILZTOJS,O,X,O,X,X,O,X,O,X,X
ILZTOSJ,X,X,O,X,X,O,X,O,X,X
ILZJTSO,O,X,O,X,X,O,X,O,X,O
ILZJTOS,O,X,O,X,X,O,X,O,X,X
ILZJSTO,O,X,O,O,X,O,X,X,X,O
ILZJSOT,O,X,X,O,X,O,X,X,X,O
ILZJOTS,O,X,O,X,X,X,X,X,X,X
ILZJOST,O,X,X,O,X,X,X,X,X,X
ILZSTJO,O,X,O,O,X,X,O,X,O,O
ILZSTOJ,O,X,O,X,X,X,O,X,O,O
ILZSJTO,O,X,O,O,X,X,X,X,O,O
ILZSJOT,O,X,X,O,X,X,X,X,X,O
ILZSOTJ,O,X,X,X,X,X,X,X,O,O
ILZSOJT,O,X,X,O,X,X,X,X,X,O
ILZOTJS,O,X,O,X,X,O,X,X,X,X
ILZOTSJ,X,X,O,X,X,O,X,X,X,X
ILZOJTS,O,X,O,X,X,O,X,X,X,X
ILZOJST,O,X,X,X,X,O,X,X,X,X
ILZOSTJ,O,X,X,X,X,O,X,X,X,X
ILZOSJT,O,X,X,X,X,O,X,X,X,X
