sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
IJOTSZL,O,X,X,X,X,X,X,X
IJOTZLS,O,O,O,X,X,X,X,O
IJOTZSL,O,X,O,X,X,X,X,O
IJOLTSZ,X,O,X,O,X,X,X,X
IJOLTZS,O,X,O,X,X,X,X,X
IJOLSTZ,O,O,X,X,X,X,X,X
IJOLSZT,O,X,X,X,O,X,X,X
IJOLZTS,O,O,X,X,X,X,X,X
IJOLZST,X,O,X,X,X,O,X,X
IJOSTLZ,O,X,X,O,X,X,X,X
IJOSTZL,O,X,X,X,X,X,X,X
IJOSLTZ,O,X,X,X,X,X,X,X
IJOSLZT,O,X,X,X,O,X,X,X
IJOSZTL,O,X,X,X,X,X,X,X
IJOSZLT,O,X,X,X,O,X,X,X
IJOZTLS,O,O,X,X,X,X,X,O
IJOZTSL,O,X,X,X,X,X,X,O
IJOZLTS,O,O,X,X,X,X,X,X
IJOZLST,X,O,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X,X,X
IJOZSLT,O,X,X,X,X,O,X,X
ISTLJZO,O,X,X,O,O,X,X,X
ISTLJOZ,O,O,X,O,X,X,O,X
ISTLZJO,X,X,X,O,O,X,X,X
ISTLZOJ,X,O,X,O,X,X,O,X
ISTLOJZ,O,O,X,O,X,X,O,X
ISTLOZJ,X,O,X,O,X,X,O,X
ISTJLZO,O,X,X,O,O,X,X,X
ISTJLOZ,O,X,X,O,X,X,O,X
ISTJZLO,O,X,X,X,O,X,X,X
ISTJZOL,O,X,X,X,X,X,X,X
ISTJOLZ,O,X,X,O,X,X,O,X
ISTJOZL,O,X,X,X,X,X,X,X
ISTZLJO,X,O,X,X,O,X,X,X
ISTZLOJ,X,O,X,X,X,X,O,X
ISTZJLO,O,X,X,X,O,X,X,X
ISTZJOL,O,X,X,X,X,X,X,O
ISTZOLJ,X,O,X,X,X,X,O,X
ISTZOJL,O,X,X,X,X,X,X,O
ISTOLJZ,O,O,X,O,X,X,O,X
ISTOLZJ,X,O,X,O,X,X,O,X
ISTOJLZ,O,X,X,O,X,X,O,X
ISTOJZL,O,X,X,X,X,X,X,X
ISTOZLJ,X,O,X,X,X,X,O,X
ISTOZJL,O,X,X,X,X,X,X,O
ISLTJZO,O,X,X,X,O,X,X,X
ISLTJOZ,O,O,X,X,X,X,O,X
ISLTZJO,X,X,X,X,O,X,X,X
ISLTZOJ,X,O,X,X,X,X,O,X
ISLTOJZ,O,O,X,X,X,X,O,X
ISLTOZJ,X,O,X,X,X,X,O,X
ISLJTZO,O,X,X,X,O,X,X,X
ISLJTOZ,O,O,X,X,X,X,X,X
ISLJZTO,O,X,X,X,O,O,X,X
ISLJZOT,O,X,X,X,O,O,X,X
ISLJOTZ,O,O,X,X,X,X,X,X
ISLJOZT,O,X,X,X,O,X,X,X
ISLZTJO,X,O,X,X,O,O,X,X
ISLZTOJ,X,O,X,X,X,X,X,X
ISLZJTO,X,O,X,X,O,O,X,X
ISLZJOT,X,O,X,X,O,O,X,X
ISLZOTJ,X,O,X,X,X,X,X,X
ISLZOJT,X,O,X,X,O,O,X,X
ISLOTJZ,O,O,X,X,X,X,O,X
ISLOTZJ,X,O,X,X,X,X,O,X
ISLOJTZ,O,O,X,X,X,X,X,X
ISLOJZT,O,X,X,X,O,X,X,X
ISLOZTJ,X,O,X,X,X,X,X,X
ISLOZJT,X,O,X,X,O,X,X,X
ISJTLZO,O,X,X,O,O,X,X,X
ISJTLOZ,O,X,X,O,X,X,X,X
ISJTZLO,O,X,X,X,O,X,X,X
ISJTZOL,O,X,X,X,X,X,X,X
ISJTOLZ,O,X,X,O,X,X,X,X
ISJTOZL,O,X,X,X,X,X,X,X
ISJLTZO,O,X,X,X,O,X,X,X
ISJLTOZ,O,X,X,X,X,X,X,X
ISJLZTO,O,X,X,X,O,O,X,X
ISJLZOT,O,X,X,X,O,O,X,X
ISJLOTZ,O,X,X,X,X,X,X,X
ISJLOZT,O,X,X,X,O,X,X,X
ISJZTLO,O,X,X,X,O,O,X,X
ISJZTOL,O,X,X,X,X,X,X,X
ISJZLTO,O,X,X,X,O,O,X,X
ISJZLOT,O,X,X,X,O,O,X,X
ISJZOTL,O,X,X,X,X,X,X,X
ISJZOLT,O,X,X,X,O,O,X,X
ISJOTLZ,O,X,X,O,X,X,X,X
ISJOTZL,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X
ISJOLZT,O,X,X,X,O,X,X,X
ISJOZTL,O,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,O,X,X,X
ISZTLJO,X,O,X,X,O,O,X,X
ISZTLOJ,X,O,X,X,X,X,X,X
ISZTJLO,O,X,X,X,O,O,X,X
ISZTJOL,O,X,X,X,X,X,X,X
ISZTOLJ,X,O,X,X,X,X,X,X
ISZTOJL,O,X,X,X,X,X,X,X
ISZLTJO,X,O,X,X,O,O,X,X
ISZLTOJ,X,O,X,X,X,X,X,X
ISZLJTO,X,O,X,X,O,O,X,X
ISZLJOT,X,O,X,X,O,O,X,X
ISZLOTJ,X,O,X,X,X,X,X,X
ISZLOJT,X,O,X,X,O,O,X,X
ISZJTLO,O,X,X,X,O,O,X,X
ISZJTOL,O,X,X,X,X,X,X,X
ISZJLTO,O,X,X,X,O,O,X,X
ISZJLOT,O,X,X,X,O,O,X,X
ISZJOTL,O,X,X,X,X,X,X,X
ISZJOLT,O,X,X,X,O,O,X,X
ISZOTLJ,X,O,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X
ISZOLTJ,X,O,X,X,X,X,X,X
ISZOLJT,X,O,X,X,O,O,X,X
ISZOJTL,O,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,O,O,X,X
ISOTLJZ,O,O,X,O,X,X,O,X
ISOTLZJ,X,O,X,O,X,X,O,X
ISOTJLZ,O,X,X,O,X,X,O,X
ISOTJZL,O,X,X,X,X,X,X,X
ISOTZLJ,X,O,X,X,X,X,O,X
ISOTZJL,O,X,X,X,X,X,X,O
ISOLTJZ,O,O,X,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,X,O,X
ISOLJTZ,O,O,X,X,X,X,X,X
ISOLJZT,O,X,X,X,O,X,X,X
ISOLZTJ,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,O,X,X,X
ISOJTLZ,O,X,X,O,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,O,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,O,X,X,X
ISOZTLJ,X,O,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,X,X,X
ISOZLJT,X,O,X,X,O,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,O,X,X,X
IZTLJSO,X,O,O,X,X,O,X,X
IZTLJOS,X,O,O,X,X,X,X,O
IZTLSJO,X,O,X,X,X,O,X,X
IZTLSOJ,X,O,X,X,X,X,X,X
IZTLOJS,X,O,O,X,X,X,X,O
IZTLOSJ,X,O,X,X,X,X,X,X
IZTJLSO,X,O,O,X,X,O,X,X
IZTJLOS,O,O,O,X,X,X,X,O
IZTJSLO,X,X,O,X,X,O,X,X
IZTJSOL,O,X,O,X,X,X,X,O
IZTJOLS,O,O,O,X,X,X,X,O
IZTJOSL,O,X,O,X,X,X,X,O
IZTSLJO,X,O,X,X,X,O,X,X
IZTSLOJ,X,O,X,X,X,X,O,X
IZTSJLO,O,X,X,X,X,O,X,X
IZTSJOL,O,X,X,X,X,X,X,O
IZTSOLJ,X,O,X,X,X,X,O,X
IZTSOJL,O,X,X,X,X,X,X,O
IZTOLJS,X,O,O,X,X,X,X,O
IZTOLSJ,X,O,X,X,X,X,X,X
IZTOJLS,O,O,O,X,X,X,X,O
IZTOJSL,O,X,O,X,X,X,X,O
IZTOSLJ,X,O,X,X,X,X,O,X
IZTOSJL,O,X,X,X,X,X,X,O
IZLTJSO,X,O,O,X,X,O,X,X
IZLTJOS,X,O,O,X,X,X,X,X
IZLTSJO,X,O,X,X,X,O,X,X
IZLTSOJ,X,O,X,X,X,X,X,X
IZLTOJS,X,O,O,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X
IZLJTSO,X,O,X,X,X,O,X,X
IZLJTOS,X,O,X,X,X,X,X,X
IZLJSTO,X,O,X,X,O,O,X,X
IZLJSOT,X,O,X,X,O,O,X,X
IZLJOTS,X,O,X,X,X,X,X,X
IZLJOST,X,O,X,X,X,O,X,X
IZLSTJO,X,O,X,X,O,O,X,X
IZLSTOJ,X,O,X,X,X,X,X,X
IZLSJTO,X,O,X,X,O,O,X,X
IZLSJOT,X,O,X,X,O,O,X,X
IZLSOTJ,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,X,O,O,X,X
IZLOTJS,X,O,O,X,X,X,X,X
IZLOTSJ,X,O,X,X,X,X,X,X
IZLOJTS,X,O,X,X,X,X,X,X
IZLOJST,X,O,X,X,X,O,X,X
IZLOSTJ,X,O,X,X,X,X,X,X
IZLOSJT,X,O,X,X,X,O,X,X
IZJTLSO,X,O,X,X,X,O,X,X
IZJTLOS,O,O,X,X,X,X,X,O
IZJTSLO,X,X,X,X,X,O,X,X
IZJTSOL,O,X,X,X,X,X,X,O
IZJTOLS,O,O,X,X,X,X,X,O
IZJTOSL,O,X,X,X,X,X,X,O
IZJLTSO,X,O,X,X,X,O,X,X
IZJLTOS,O,O,X,X,X,X,X,X
IZJLSTO,X,O,X,X,O,O,X,X
IZJLSOT,X,O,X,X,O,O,X,X
IZJLOTS,O,O,X,X,X,X,X,X
IZJLOST,X,O,X,X,X,O,X,X
IZJSTLO,O,X,X,X,O,O,X,X
IZJSTOL,O,X,X,X,X,X,X,X
IZJSLTO,O,X,X,X,O,O,X,X
IZJSLOT,O,X,X,X,O,O,X,X
IZJSOTL,O,X,X,X,X,X,X,X
IZJSOLT,O,X,X,X,O,O,X,X
IZJOTLS,O,O,X,X,X,X,X,O
IZJOTSL,O,X,X,X,X,X,X,O
IZJOLTS,O,O,X,X,X,X,X,X
IZJOLST,X,O,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X,X
IZJOSLT,O,X,X,X,X,O,X,X
IZSTLJO,X,O,X,X,O,O,X,X
IZSTLOJ,X,O,X,X,X,X,X,X
IZSTJLO,O,X,X,X,O,O,X,X
IZSTJOL,O,X,X,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X
IZSTOJL,O,X,X,X,X,X,X,X
IZSLTJO,X,O,X,X,O,O,X,X
IZSLTOJ,X,O,X,X,X,X,X,X
IZSLJTO,X,O,X,X,O,O,X,X
IZSLJOT,X,O,X,X,O,O,X,X
IZSLOTJ,X,O,X,X,X,X,X,X
IZSLOJT,X,O,X,X,O,O,X,X
IZSJTLO,O,X,X,X,O,O,X,X
IZSJTOL,O,X,X,X,X,X,X,X
IZSJLTO,O,X,X,X,O,O,X,X
IZSJLOT,O,X,X,X,O,O,X,X
IZSJOTL,O,X,X,X,X,X,X,X
IZSJOLT,O,X,X,X,O,O,X,X
IZSOTLJ,X,O,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,X,X,X
IZSOLJT,X,O,X,X,O,O,X,X
IZSOJTL,O,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,O,O,X,X
IZOTLJS,X,O,O,X,X,X,X,O
IZOTLSJ,X,O,X,X,X,X,X,X
IZOTJLS,O,O,O,X,X,X,X,O
IZOTJSL,O,X,O,X,X,X,X,O
IZOTSLJ,X,O,X,X,X,X,O,X
IZOTSJL,O,X,X,X,X,X,X,O
IZOLTJS,X,O,O,X,X,X,X,X
IZOLTSJ,X,O,X,X,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,X
IZOLJST,X,O,X,X,X,O,X,X
IZOLSTJ,X,O,X,X,X,X,X,X
IZOLSJT,X,O,X,X,X,O,X,X
IZOJTLS,O,O,X,X,X,X,X,O
IZOJTSL,O,X,X,X,X,X,X,O
IZOJLTS,O,O,X,X,X,X,X,X
IZOJLST,X,O,X,X,X,O,X,X
IZOJSTL,O,X,X,X,X,X,X,X
IZOJSLT,O,X,X,X,X,O,X,X
IZOSTLJ,X,O,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X
IZOSLTJ,X,O,X,X,X,X,X,X
IZOSLJT,X,O,X,X,X,O,X,X
IZOSJTL,O,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,O,X,X
IOTLJSZ,X,O,X,O,X,X,X,X
IOTLJZS,O,X,O,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,O,X
IOTLSZJ,X,O,X,O,X,X,O,X
IOTLZJS,X,O,O,X,X,X,X,O
IOTLZSJ,X,O,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,X
IOTJLZS,O,X,O,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,O,X
IOTJSZL,O,X,X,X,X,X,X,X
IOTJZLS,O,O,O,X,X,X,X,O
IOTJZSL,O,X,O,X,X,X,X,O
IOTSLJZ,O,O,X,O,X,X,O,X
IOTSLZJ,X,O,X,O,X,X,O,X
IOTSJLZ,O,X,X,O,X,X,O,X
IOTSJZL,O,X,X,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X,O,X
IOTSZJL,O,X,X,X,X,X,X,O
IOTZLJS,X,O,O,X,X,X,X,O
IOTZLSJ,X,O,X,X,X,X,X,X
IOTZJLS,O,O,O,X,X,X,X,O
IOTZJSL,O,X,O,X,X,X,X,O
IOTZSLJ,X,O,X,X,X,X,O,X
IOTZSJL,O,X,X,X,X,X,X,O
IOLTJSZ,X,O,X,O,X,X,X,X
IOLTJZS,O,X,O,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,O,X
IOLTSZJ,X,O,X,O,X,X,O,X
IOLTZJS,X,O,O,X,X,X,X,O
IOLTZSJ,X,O,X,X,X,X,X,X
IOLJTSZ,X,O,X,O,X,X,X,X
IOLJTZS,O,X,O,X,X,X,X,X
IOLJSTZ,O,O,X,X,X,X,X,X
IOLJSZT,O,X,X,X,O,X,X,X
IOLJZTS,O,O,X,X,X,X,X,X
IOLJZST,X,O,X,X,X,O,X,X
IOLSTJZ,O,O,X,X,X,X,O,X
IOLSTZJ,X,O,X,X,X,X,O,X
IOLSJTZ,O,O,X,X,X,X,X,X
IOLSJZT,O,X,X,X,O,X,X,X
IOLSZTJ,X,O,X,X,X,X,X,X
IOLSZJT,X,O,X,X,O,X,X,X
IOLZTJS,X,O,O,X,X,X,X,X
IOLZTSJ,X,O,X,X,X,X,X,X
IOLZJTS,X,O,X,X,X,X,X,X
IOLZJST,X,O,X,X,X,O,X,X
IOLZSTJ,X,O,X,X,X,X,X,X
IOLZSJT,X,O,X,X,X,O,X,X
IOJTLSZ,X,O,X,O,X,X,X,X
IOJTLZS,O,X,O,X,X,X,X,X
IOJTSLZ,O,X,X,O,X,X,O,X
IOJTSZL,O,X,X,X,X,X,X,X
IOJTZLS,O,O,O,X,X,X,X,O
IOJTZSL,O,X,O,X,X,X,X,O
IOJLTSZ,X,O,X,O,X,X,X,X
IOJLTZS,O,X,O,X,X,X,X,X
IOJLSTZ,O,O,X,X,X,X,X,X
IOJLSZT,O,X,X,X,O,X,X,X
IOJLZTS,O,O,X,X,X,X,X,X
IOJLZST,X,O,X,X,X,O,X,X
IOJSTLZ,O,X,X,O,X,X,X,X
IOJSTZL,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,O,X,X,X
IOJSZTL,O,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X
IOJZTLS,O,O,X,X,X,X,X,O
IOJZTSL,O,X,X,X,X,X,X,O
IOJZLTS,O,O,X,X,X,X,X,X
IOJZLST,X,O,X,X,X,O,X,X
IOJZSTL,O,X,X,X,X,X,X,X
IOJZSLT,O,X,X,X,X,O,X,X
IOSTLJZ,O,O,X,O,X,X,O,X
IOSTLZJ,X,O,X,O,X,X,O,X
IOSTJLZ,O,X,X,O,X,X,O,X
IOSTJZL,O,X,X,X,X,X,X,X
IOSTZLJ,X,O,X,X,X,X,O,X
IOSTZJL,O,X,X,X,X,X,X,O
IOSLTJZ,O,O,X,X,X,X,O,X
IOSLTZJ,X,O,X,X,X,X,O,X
IOSLJTZ,O,O,X,X,X,X,X,X
IOSLJZT,O,X,X,X,O,X,X,X
IOSLZTJ,X,O,X,X,X,X,X,X
IOSLZJT,X,O,X,X,O,X,X,X
IOSJTLZ,O,X,X,O,X,X,X,X
IOSJTZL,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,O,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X
IOSZTLJ,X,O,X,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X
IOSZLTJ,X,O,X,X,X,X,X,X
IOSZLJT,X,O,X,X,O,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,O,X,X,X
IOZTLJS,X,O,O,X,X,X,X,O
IOZTLSJ,X,O,X,X,X,X,X,X
IOZTJLS,O,O,O,X,X,X,X,O
IOZTJSL,O,X,O,X,X,X,X,O
IOZTSLJ,X,O,X,X,X,X,O,X
IOZTSJL,O,X,X,X,X,X,X,O
IOZLTJS,X,O,O,X,X,X,X,X
IOZLTSJ,X,O,X,X,X,X,X,X
IOZLJTS,X,O,X,X,X,X,X,X
IOZLJST,X,O,X,X,X,O,X,X
IOZLSTJ,X,O,X,X,X,X,X,X
IOZLSJT,X,O,X,X,X,O,X,X
IOZJTLS,O,O,X,X,X,X,X,O
IOZJTSL,O,X,X,X,X,X,X,O
IOZJLTS,O,O,X,X,X,X,X,X
IOZJLST,X,O,X,X,X,O,X,X
IOZJSTL,O,X,X,X,X,X,X,X
IOZJSLT,O,X,X,X,X,O,X,X
IOZSTLJ,X,O,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X
IOZSLTJ,X,O,X,X,X,X,X,X
IOZSLJT,X,O,X,X,X,O,X,X
IOZSJTL,O,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,O,X,X
LTIJSZO,X,X,X,O,O,X,X,X
LTIJSOZ,X,O,X,O,X,X,X,X
LTIJZSO,X,X,O,X,X,O,X,X
LTIJZOS,X,X,O,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X
LTISJZO,X,X,X,O,O,X,X,X
LTISJOZ,X,O,X,O,X,X,O,X
LTISZJO,X,X,X,O,O,X,X,X
LTISZOJ,X,O,X,O,X,X,O,X
LTISOJZ,X,O,X,O,X,X,O,X
LTISOZJ,X,O,X,O,X,X,O,X
LTIZJSO,X,O,O,X,X,O,X,X
LTIZJOS,X,O,O,X,X,X,X,O
LTIZSJO,X,O,X,X,X,O,X,X
LTIZSOJ,X,O,X,X,X,X,X,X
LTIZOJS,X,O,O,X,X,X,X,O
LTIZOSJ,X,O,X,X,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X
LTIOSJZ,X,O,X,O,X,X,O,X
LTIOSZJ,X,O,X,O,X,X,O,X
LTIOZJS,X,O,O,X,X,X,X,O
LTIOZSJ,X,O,X,X,X,X,X,X
LTJISZO,X,X,X,O,O,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X
LTJIZSO,X,X,O,X,X,O,X,X
LTJIZOS,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X
LTJSIZO,X,X,X,O,O,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,X
LTJSZIO,X,X,O,O,O,X,X,X
LTJSZOI,X,X,O,O,X,X,X,X
LTJSOIZ,X,X,X,O,X,X,X,X
LTJSOZI,X,X,O,O,X,X,X,X
LTJZISO,X,X,O,X,X,O,X,X
LTJZIOS,X,X,O,X,X,X,X,X
LTJZSIO,X,X,O,O,X,O,X,X
LTJZSOI,X,X,O,O,X,X,X,X
LTJZOIS,X,X,O,X,X,X,X,X
LTJZOSI,X,X,O,O,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,X,X
LTJOSZI,X,X,O,O,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X
LTJOZSI,X,X,O,O,X,X,X,X
LTSIJZO,X,X,X,O,O,X,X,X
LTSIJOZ,X,O,X,O,X,X,O,X
LTSIZJO,X,X,X,O,O,X,X,X
LTSIZOJ,X,O,X,O,X,X,O,X
LTSIOJZ,X,O,X,O,X,X,O,X
LTSIOZJ,X,O,X,O,X,X,O,X
LTSJIZO,X,X,X,O,O,X,X,X
LTSJIOZ,X,O,X,O,X,X,O,X
LTSJZIO,X,X,O,O,O,X,X,X
LTSJZOI,X,X,O,O,X,X,X,X
LTSJOIZ,X,O,X,O,X,X,O,X
LTSJOZI,X,X,O,O,X,X,X,X
LTSZIJO,X,X,X,O,O,X,X,X
LTSZIOJ,X,O,X,O,X,X,O,X
LTSZJIO,X,X,O,O,O,X,X,X
LTSZJOI,X,X,O,O,X,X,X,X
LTSZOIJ,X,O,X,O,X,X,O,X
LTSZOJI,X,X,O,O,X,X,X,X
LTSOIJZ,X,O,X,O,X,X,O,X
LTSOIZJ,X,O,X,O,X,X,O,X
LTSOJIZ,X,O,X,O,X,X,O,X
LTSOJZI,X,X,O,O,X,X,X,X
LTSOZIJ,X,O,X,O,X,X,O,X
LTSOZJI,X,X,O,O,X,X,X,X
LTZIJSO,X,O,O,X,X,O,X,X
LTZIJOS,X,O,O,X,X,X,X,O
LTZISJO,X,O,X,X,X,O,X,X
LTZISOJ,X,O,X,X,X,X,X,X
LTZIOJS,X,O,O,X,X,X,X,O
LTZIOSJ,X,O,X,X,X,X,X,X
LTZJISO,X,O,O,X,X,O,X,X
LTZJIOS,X,O,O,X,X,X,X,O
LTZJSIO,X,O,O,O,X,O,X,X
LTZJSOI,X,O,O,O,X,X,X,X
LTZJOIS,X,O,O,X,X,X,X,O
LTZJOSI,X,O,O,O,X,X,X,X
LTZSIJO,X,O,X,O,X,O,X,X
LTZSIOJ,X,O,X,O,X,X,X,X
LTZSJIO,X,O,O,O,X,O,X,X
LTZSJOI,X,O,O,O,X,X,X,X
LTZSOIJ,X,O,X,O,X,X,X,X
LTZSOJI,X,O,O,O,X,X,X,X
LTZOIJS,X,O,O,X,X,X,X,O
LTZOISJ,X,O,X,X,X,X,X,X
LTZOJIS,X,O,O,X,X,X,X,O
LTZOJSI,X,O,O,O,X,X,X,X
LTZOSIJ,X,O,X,O,X,X,X,X
LTZOSJI,X,O,O,O,X,X,X,X
LTOIJSZ,X,O,X,O,X,X,X,X
LTOIJZS,X,X,O,X,X,X,X,X
LTOISJZ,X,O,X,O,X,X,O,X
LTOISZJ,X,O,X,O,X,X,O,X
LTOIZJS,X,O,O,X,X,X,X,O
LTOIZSJ,X,O,X,X,X,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X
LTOJIZS,X,X,O,X,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X
LTOJSZI,X,X,O,O,X,X,X,X
LTOJZIS,X,X,O,X,X,X,X,X
LTOJZSI,X,X,O,O,X,X,X,X
LTOSIJZ,X,O,X,O,X,X,O,X
LTOSIZJ,X,O,X,O,X,X,O,X
LTOSJIZ,X,O,X,O,X,X,O,X
LTOSJZI,X,X,O,O,X,X,X,X
LTOSZIJ,X,O,X,O,X,X,O,X
LTOSZJI,X,X,O,O,X,X,X,X
LTOZIJS,X,O,O,X,X,X,X,O
LTOZISJ,X,O,X,X,X,X,X,X
LTOZJIS,X,O,O,X,X,X,X,O
LTOZJSI,X,O,O,O,X,X,X,X
LTOZSIJ,X,O,X,O,X,X,X,X
LTOZSJI,X,O,O,O,X,X,X,X
LITJSZO,X,X,X,O,O,X,X,X
LITJSOZ,X,O,X,O,X,X,X,X
LITJZSO,X,X,O,X,X,O,X,X
LITJZOS,O,X,O,X,X,X,X,X
LITJOSZ,X,O,X,O,X,X,X,X
LITJOZS,O,X,O,X,X,X,X,X
LITSJZO,O,X,X,O,O,X,X,X
LITSJOZ,O,O,X,O,X,X,O,X
LITSZJO,X,X,X,O,O,X,X,X
LITSZOJ,X,O,X,O,X,X,O,X
LITSOJZ,O,O,X,O,X,X,O,X
LITSOZJ,X,O,X,O,X,X,O,X
LITZJSO,X,O,O,X,X,O,X,X
LITZJOS,X,O,O,X,X,X,X,O
LITZSJO,X,O,X,X,X,O,X,X
LITZSOJ,X,O,X,X,X,X,X,X
LITZOJS,X,O,O,X,X,X,X,O
LITZOSJ,X,O,X,X,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X,X
LITOJZS,O,X,O,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,O,X
LITOSZJ,X,O,X,O,X,X,O,X
LITOZJS,X,O,O,X,X,X,X,O
LITOZSJ,X,O,X,X,X,X,X,X
LIJTSZO,X,X,X,O,O,X,X,X
LIJTSOZ,X,O,X,O,X,X,X,X
LIJTZSO,X,X,O,X,X,O,X,X
LIJTZOS,O,X,O,X,X,X,X,X
LIJTOSZ,X,O,X,O,X,X,X,X
LIJTOZS,O,X,O,X,X,X,X,X
LIJSTZO,O,X,X,X,O,X,X,X
LIJSTOZ,O,O,X,X,X,X,X,X
LIJSZTO,O,X,X,X,O,O,X,X
LIJSZOT,O,X,X,X,O,O,X,X
LIJSOTZ,O,O,X,X,X,X,X,X
LIJSOZT,O,X,X,X,O,X,X,X
LIJZTSO,X,O,X,X,X,O,X,X
LIJZTOS,O,O,X,X,X,X,X,X
LIJZSTO,X,O,X,X,O,O,X,X
LIJZSOT,X,O,X,X,O,O,X,X
LIJZOTS,O,O,X,X,X,X,X,X
LIJZOST,X,O,X,X,X,O,X,X
LIJOTSZ,X,O,X,O,X,X,X,X
LIJOTZS,O,X,O,X,X,X,X,X
LIJOSTZ,O,O,X,X,X,X,X,X
LIJOSZT,O,X,X,X,O,X,X,X
LIJOZTS,O,O,X,X,X,X,X,X
LIJOZST,X,O,X,X,X,O,X,X
LISTJZO,O,X,X,X,O,X,X,X
LISTJOZ,O,O,X,X,X,X,O,X
LISTZJO,X,X,X,X,O,X,X,X
LISTZOJ,X,O,X,X,X,X,O,X
LISTOJZ,O,O,X,X,X,X,O,X
LISTOZJ,X,O,X,X,X,X,O,X
LISJTZO,O,X,X,X,O,X,X,X
LISJTOZ,O,O,X,X,X,X,X,X
LISJZTO,O,X,X,X,O,O,X,X
LISJZOT,O,X,X,X,O,O,X,X
LISJOTZ,O,O,X,X,X,X,X,X
LISJOZT,O,X,X,X,O,X,X,X
LISZTJO,X,O,X,X,O,O,X,X
LISZTOJ,X,O,X,X,X,X,X,X
LISZJTO,X,O,X,X,O,O,X,X
