sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TJLSIZO,X,X,X,O,O,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,X
TJLSZIO,X,X,O,O,O,X,X,X
TJLSZOI,X,X,O,O,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X
TJLSOZI,X,X,O,O,X,X,X,X
TJLZISO,X,X,O,X,X,O,X,X
TJLZIOS,X,X,O,X,X,X,X,X
TJLZSIO,X,X,O,O,X,O,X,X
TJLZSOI,X,X,O,O,X,X,X,X
TJLZOIS,X,X,O,X,X,X,X,X
TJLZOSI,X,X,O,O,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X
TJLOIZS,X,X,O,X,X,X,X,X
TJLOSIZ,X,X,X,O,X,X,X,X
TJLOSZI,X,X,O,O,X,X,X,X
TJLOZIS,X,X,O,X,X,X,X,X
TJLOZSI,X,X,O,O,X,X,X,X
TJSILZO,O,X,X,O,O,X,X,X
TJSILOZ,O,X,X,O,X,X,O,X
TJSIZLO,O,X,X,X,O,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,O,X,X,O,X
TJSIOZL,O,X,X,X,X,X,X,X
TJSLIZO,O,X,X,O,O,X,X,X
TJSLIOZ,O,X,X,O,X,X,O,X
TJSLZIO,O,X,O,O,O,X,X,X
TJSLZOI,O,X,O,O,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,O,X
TJSLOZI,O,X,O,O,X,X,X,X
TJSZILO,O,X,O,X,O,X,X,X
TJSZIOL,O,X,O,X,X,X,X,X
TJSZLIO,O,X,O,O,O,X,X,X
TJSZLOI,O,X,O,O,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X,X
TJSZOLI,O,X,O,O,X,X,X,X
TJSOILZ,O,X,X,O,X,X,O,X
TJSOIZL,O,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,O,X,X,O,X
TJSOLZI,O,X,O,O,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X
TJSOZLI,O,X,O,O,X,X,X,X
TJZILSO,X,X,O,X,X,O,X,X
TJZILOS,O,X,O,X,X,X,X,O
TJZISLO,X,X,O,X,X,O,X,X
TJZISOL,O,X,O,X,X,X,X,O
TJZIOLS,O,X,O,X,X,X,X,O
TJZIOSL,O,X,O,X,X,X,X,O
TJZLISO,X,X,O,X,X,O,X,X
TJZLIOS,O,X,O,X,X,X,X,O
TJZLSIO,X,X,O,O,X,O,X,X
TJZLSOI,X,X,O,O,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X,O
TJZLOSI,X,X,O,O,X,X,X,X
TJZSILO,X,X,O,X,X,O,X,X
TJZSIOL,O,X,O,X,X,X,X,O
TJZSLIO,X,X,O,O,X,O,X,X
TJZSLOI,X,X,O,O,X,X,X,X
TJZSOIL,O,X,O,X,X,X,X,O
TJZSOLI,X,X,O,O,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,O
TJZOISL,O,X,O,X,X,X,X,O
TJZOLIS,O,X,O,X,X,X,X,O
TJZOLSI,X,X,O,O,X,X,X,X
TJZOSIL,O,X,O,X,X,X,X,O
