sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TLOZSIJ,O,X,X,X,X,X
TLOZSJI,O,X,O,X,X,X
TJILSZO,X,O,X,X,X,X
TJILSOZ,X,O,X,X,X,X
TJILZSO,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X
TJILOSZ,X,O,X,X,X,X
TJILOZS,X,X,X,X,X,X
TJISLZO,X,O,X,X,X,X
TJISLOZ,X,O,X,X,X,X
TJISZLO,X,O,X,X,X,X
TJISZOL,X,O,X,X,X,X
TJISOLZ,X,O,X,X,X,X
TJISOZL,X,O,X,X,X,X
TJIZLSO,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X
TJIZSLO,X,O,X,X,X,X
TJIZSOL,X,O,X,X,X,X
TJIZOLS,X,X,X,X,X,X
TJIZOSL,X,O,X,X,X,X
TJIOLSZ,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,X
TJIOSLZ,X,O,X,X,X,X
TJIOSZL,X,O,X,X,X,X
TJIOZLS,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X
TJLISZO,O,O,X,X,X,X
TJLISOZ,O,O,X,X,X,X
TJLIZSO,O,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X
TJLIOSZ,O,O,X,X,X,X
TJLIOZS,O,X,X,X,X,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,X,X
TJLSZIO,O,X,X,O,X,X
TJLSZOI,O,X,X,O,X,X
TJLSOIZ,O,O,X,X,X,X
TJLSOZI,O,X,X,O,X,X
TJLZISO,O,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X
TJLZSIO,O,X,O,X,X,X
TJLZSOI,O,X,O,X,X,X
TJLZOIS,O,X,X,X,X,X
TJLZOSI,O,X,O,X,X,X
TJLOISZ,O,O,X,X,X,X
TJLOIZS,O,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,X
TJLOSZI,O,X,X,O,X,X
TJLOZIS,O,X,X,X,X,X
TJLOZSI,O,X,O,X,X,X
TJSILZO,X,O,X,X,X,X
TJSILOZ,X,O,X,X,X,X
TJSIZLO,X,O,X,X,X,X
TJSIZOL,X,O,X,X,X,X
TJSIOLZ,X,O,X,X,X,X
TJSIOZL,X,O,X,X,X,X
TJSLIZO,O,O,X,X,X,X
TJSLIOZ,O,O,X,X,X,X
TJSLZIO,O,X,X,O,X,X
TJSLZOI,O,X,X,O,X,X
TJSLOIZ,O,O,X,X,X,X
TJSLOZI,O,X,X,O,X,X
TJSZILO,O,O,X,O,X,X
TJSZIOL,X,O,X,O,X,X
TJSZLIO,O,X,X,O,X,X
TJSZLOI,O,X,X,O,X,X
TJSZOIL,X,O,X,O,X,X
TJSZOLI,O,X,X,O,X,X
TJSOILZ,X,O,X,X,X,X
TJSOIZL,X,O,X,X,X,X
TJSOLIZ,O,O,X,X,X,X
TJSOLZI,O,X,X,O,X,X
TJSOZIL,X,O,X,O,X,X
TJSOZLI,O,X,X,O,X,X
TJZILSO,O,X,X,X,X,X
TJZILOS,O,X,X,X,X,X
TJZISLO,O,O,X,X,X,X
TJZISOL,X,O,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X
TJZLISO,O,X,X,X,X,X
TJZLIOS,O,X,X,X,X,X
TJZLSIO,O,X,O,X,X,X
TJZLSOI,O,X,O,X,X,X
TJZLOIS,O,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X
TJZSILO,O,O,O,X,X,X
TJZSIOL,X,O,O,X,X,X
TJZSLIO,O,X,O,X,X,X
TJZSLOI,O,X,O,X,X,X
TJZSOIL,X,O,O,X,X,X
TJZSOLI,O,X,O,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,O,X,X,X,X
TJZOLIS,O,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X
TJZOSIL,X,O,O,X,X,X
TJZOSLI,O,X,O,X,X,X
TJOILSZ,X,O,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,X,O,X,X,X,X
TJOISZL,X,O,X,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,O,X,X,X,X
TJOLISZ,O,O,X,X,X,X
TJOLIZS,O,X,X,X,X,X
TJOLSIZ,O,O,X,X,X,X
TJOLSZI,O,X,X,O,X,X
TJOLZIS,O,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X
TJOSILZ,X,O,X,X,X,X
TJOSIZL,X,O,X,X,X,X
TJOSLIZ,O,O,X,X,X,X
TJOSLZI,O,X,X,O,X,X
TJOSZIL,X,O,X,O,X,X
TJOSZLI,O,X,X,O,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X
TJOZLIS,O,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X
TJOZSIL,X,O,O,X,X,X
TJOZSLI,O,X,O,X,X,X
TSILJZO,O,O,X,X,X,X
TSILJOZ,O,O,X,X,X,X
TSILZJO,O,O,X,X,X,X
TSILZOJ,O,O,X,X,X,X
TSILOJZ,O,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X
TSIJLZO,X,O,X,X,X,X
TSIJLOZ,X,O,X,X,X,X
TSIJZLO,X,O,X,X,X,X
TSIJZOL,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,X,X
TSIJOZL,X,O,X,X,X,X
TSIZLJO,O,O,X,X,X,X
TSIZLOJ,O,O,X,X,X,X
TSIZJLO,O,O,X,X,X,X
TSIZJOL,X,O,X,X,X,X
TSIZOLJ,O,O,X,X,X,X
TSIZOJL,X,O,X,X,X,X
