sequence,v115@FhB8HeB8HeE8DeC8JeOEJvhF6lBxhBzkBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFlgB2pBxmBCnBzqBXsB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfB+lBxhBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFxgBTiB2pBFrBXsBCrB,v115@FhB8HeB8HeE8DeC8Jei/IvhFFhBTiBcrBxpBXsBGqB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfBUhB1qBXnBGnBRwB,v115@FhB8HeB8HeE8DeC8JeT/IvhF1mB6nBxpBmrB/qBUrB,v115@FhB8HeB8HeE8DeC8Jex/IvhFXiBTkBSsBlqBmqB0rB,v115@FhB8HeB8HeE8DeC8JeOEJvhF8kBFmBTnB3lBCnBRwB,v115@FhB8HeB8HeE8DeC8Je3/IvhFTiBxlB2pBUrBFsBCrB,v115@FhB8HeB8HeE8DeC8Jex/IvhF0hBTkBSsBmqBlqBXsB
ITZSOJL,X,X,X,X,O,X,X,X,O,O,X
ITZOLJS,X,X,X,X,X,O,X,X,O,X,X
ITZOLSJ,X,X,X,X,O,O,X,X,X,O,X
ITZOJLS,X,X,X,X,X,X,X,X,O,X,X
ITZOJSL,X,X,X,X,X,X,X,X,O,O,X
ITZOSLJ,X,X,X,X,O,O,X,X,X,O,X
ITZOSJL,X,X,X,X,O,X,X,X,O,O,X
ITOLJSZ,X,X,X,X,X,O,O,O,X,X,X
ITOLJZS,X,X,X,X,X,O,O,O,O,X,X
ITOLSJZ,X,X,X,X,X,O,X,O,X,O,X
ITOLSZJ,X,X,X,X,X,O,X,O,X,O,X
ITOLZJS,X,X,X,X,X,O,X,O,O,X,X
ITOLZSJ,X,X,X,X,X,O,X,O,X,X,X
ITOJLSZ,X,X,X,X,X,X,O,O,X,X,X
ITOJLZS,X,X,X,X,X,X,O,O,O,X,X
ITOJSLZ,X,X,X,X,X,X,O,X,X,O,X
ITOJSZL,X,X,X,X,X,X,X,X,O,O,X
ITOJZLS,X,X,X,X,X,X,O,X,O,X,X
ITOJZSL,X,X,X,X,X,X,X,X,O,X,X
ITOSLJZ,X,X,X,X,X,O,X,O,X,O,X
ITOSLZJ,X,X,X,X,X,O,X,O,X,O,X
ITOSJLZ,X,X,X,X,X,X,X,X,X,O,X
ITOSJZL,X,X,X,X,X,X,X,X,O,O,X
ITOSZLJ,X,X,X,X,X,O,X,X,X,O,X
ITOSZJL,X,X,X,X,X,X,X,X,O,O,X
ITOZLJS,X,X,X,X,X,O,X,O,O,X,X
ITOZLSJ,X,X,X,X,X,O,X,O,X,O,X
ITOZJLS,X,X,X,X,X,X,X,X,O,X,X
ITOZJSL,X,X,X,X,X,X,X,X,O,O,X
ITOZSLJ,X,X,X,X,X,O,X,X,X,O,X
ITOZSJL,X,X,X,X,X,X,X,X,O,O,X
ILTJSZO,X,X,X,X,X,O,O,X,X,X,X
ILTJSOZ,X,X,X,X,X,O,O,X,X,X,X
ILTJZSO,X,X,X,X,X,O,O,X,X,X,X
ILTJZOS,X,X,X,X,X,O,O,X,O,X,X
ILTJOSZ,X,X,X,X,X,O,O,X,X,X,X
ILTJOZS,X,X,X,X,X,O,O,X,O,X,X
ILTSJZO,X,X,X,X,X,O,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,O,X,X,X,X,X
ILTSZJO,X,X,X,X,O,O,X,X,X,X,X
ILTSZOJ,X,X,X,X,O,O,X,X,X,X,X
ILTSOJZ,X,X,X,X,X,O,X,O,X,X,X
ILTSOZJ,X,X,X,X,O,O,X,O,X,X,X
ILTZJSO,X,X,X,X,O,O,X,X,X,X,X
ILTZJOS,X,X,X,X,X,O,X,X,O,X,X
ILTZSJO,X,X,X,X,O,O,X,X,X,X,X
ILTZSOJ,X,X,X,X,O,O,X,X,X,X,X
ILTZOJS,X,X,X,X,X,O,X,X,O,X,X
ILTZOSJ,X,X,X,X,O,O,X,X,X,X,X
ILTOJSZ,X,X,X,X,X,O,O,O,X,X,X
ILTOJZS,X,X,X,X,X,O,O,O,O,X,X
ILTOSJZ,X,X,X,X,X,O,X,O,X,X,X
ILTOSZJ,X,X,X,X,X,O,X,O,X,X,X
ILTOZJS,X,X,X,X,X,O,X,O,O,X,X
ILTOZSJ,X,X,X,X,X,O,X,O,X,X,X
ILJTSZO,X,X,X,X,X,O,O,X,X,X,X
ILJTSOZ,X,X,X,X,X,O,O,X,X,X,X
ILJTZSO,X,X,X,X,X,O,O,X,X,X,X
ILJTZOS,X,X,X,X,X,O,O,X,O,X,X
ILJTOSZ,X,X,X,X,X,O,O,X,X,X,X
ILJTOZS,X,X,X,X,X,O,O,X,O,X,X
ILJSTZO,X,X,X,X,X,O,O,X,X,X,X
ILJSTOZ,X,X,X,X,X,O,O,X,X,X,X
ILJSZTO,X,X,O,X,O,X,O,X,X,X,X
ILJSZOT,X,X,O,X,O,X,O,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,O,X,X,X,X
ILJSOZT,X,X,O,X,O,X,O,X,X,X,X
ILJZTSO,X,X,X,X,O,X,O,X,X,X,X
ILJZTOS,X,X,O,X,X,X,O,X,O,X,X
ILJZSTO,X,X,O,X,O,X,O,X,X,X,X
ILJZSOT,X,X,O,X,O,X,O,X,X,X,X
ILJZOTS,X,X,O,X,X,X,O,X,O,X,O
ILJZOST,X,X,O,X,X,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,X,O,O,X,X,X,O
ILJOTZS,X,X,X,X,X,O,O,X,O,X,O
ILJOSTZ,X,X,X,X,X,X,O,X,X,X,X
ILJOSZT,X,X,O,X,X,X,O,X,X,X,X
ILJOZTS,X,X,O,X,X,X,O,X,O,X,X
ILJOZST,X,X,O,X,X,X,O,X,X,X,X
ILSTJZO,X,X,X,X,X,O,X,X,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,X,X,X,X
ILSTZJO,X,X,X,X,O,O,X,X,X,X,X
ILSTZOJ,X,X,X,X,O,O,X,X,X,X,X
ILSTOJZ,X,X,X,X,X,O,X,O,X,X,X
ILSTOZJ,X,X,X,X,O,O,X,O,X,X,X
ILSJTZO,X,X,X,X,X,O,O,X,X,X,X
ILSJTOZ,X,X,X,X,X,O,O,X,X,X,X
ILSJZTO,X,X,O,X,O,X,O,X,X,X,X
ILSJZOT,X,X,O,X,O,X,O,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,O,X,X,X,X
ILSJOZT,X,X,O,X,O,X,O,X,X,X,X
ILSZTJO,X,X,O,X,O,O,X,X,X,X,X
ILSZTOJ,X,X,X,X,O,O,X,X,X,X,X
ILSZJTO,X,X,O,X,O,X,X,X,X,X,X
ILSZJOT,X,X,O,X,O,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,O,X,X,X,X,X,X
ILSZOJT,X,X,O,X,O,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,O,X,O,X,X,X
ILSOTZJ,X,X,X,X,O,O,X,O,X,X,X
ILSOJTZ,X,X,X,X,X,X,O,X,X,X,X
ILSOJZT,X,X,O,X,O,X,O,X,X,X,X
ILSOZTJ,X,X,X,X,O,X,X,X,X,X,X
ILSOZJT,X,X,O,X,O,X,X,X,X,X,X
ILZTJSO,X,X,X,X,O,O,X,X,X,X,X
ILZTJOS,X,X,O,X,X,O,X,X,O,X,X
ILZTSJO,X,X,O,X,O,O,X,X,X,X,X
ILZTSOJ,X,X,X,X,O,O,X,X,X,X,X
ILZTOJS,X,X,X,X,X,O,X,X,O,X,X
ILZTOSJ,X,X,X,X,O,O,X,X,X,X,X
ILZJTSO,X,X,X,X,O,X,O,X,X,X,X
ILZJTOS,X,X,O,X,X,X,O,X,O,X,X
ILZJSTO,X,X,O,X,O,X,O,X,X,X,X
ILZJSOT,X,X,O,X,O,X,O,X,X,X,X
ILZJOTS,X,X,O,X,X,X,O,X,O,X,O
ILZJOST,X,X,O,X,X,X,O,X,X,X,X
ILZSTJO,X,X,O,X,O,O,X,X,X,X,X
ILZSTOJ,X,X,X,X,O,O,X,X,X,X,X
ILZSJTO,X,X,O,X,O,X,X,X,X,X,X
ILZSJOT,X,X,O,X,O,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,O,X,X,X,X,X,X
ILZSOJT,X,X,O,X,O,X,X,X,X,X,X
ILZOTJS,X,X,X,X,X,O,X,X,O,X,X
ILZOTSJ,X,X,X,X,O,O,X,X,X,X,X
ILZOJTS,X,X,O,X,X,X,O,X,O,X,O
ILZOJST,X,X,O,X,X,X,O,X,X,X,X
ILZOSTJ,X,X,X,X,O,X,X,X,X,X,X
ILZOSJT,X,X,O,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,O,O,O,X,X,X
ILOTJZS,X,X,X,X,X,O,O,O,O,X,X
ILOTSJZ,X,X,X,X,X,O,X,O,X,X,X
ILOTSZJ,X,X,X,X,X,O,X,O,X,X,X
ILOTZJS,X,X,X,X,X,O,X,O,O,X,X
ILOTZSJ,X,X,X,X,X,O,X,O,X,X,X
ILOJTSZ,X,X,X,X,X,O,O,O,X,X,O
ILOJTZS,X,X,X,X,X,O,O,O,O,X,O
ILOJSTZ,X,X,X,X,X,X,O,X,X,X,X
ILOJSZT,X,X,O,X,X,X,O,X,X,X,X
ILOJZTS,X,X,O,X,X,X,O,X,O,X,X
ILOJZST,X,X,O,X,X,X,O,X,X,X,X
ILOSTJZ,X,X,X,X,X,O,X,O,X,X,X
ILOSTZJ,X,X,X,X,O,O,X,O,X,X,X
ILOSJTZ,X,X,X,X,X,X,O,X,X,X,X
ILOSJZT,X,X,O,X,O,X,O,X,X,X,X
ILOSZTJ,X,X,X,X,O,X,X,X,X,X,X
ILOSZJT,X,X,O,X,O,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,O,X,O,O,X,X
ILOZTSJ,X,X,X,X,O,O,X,O,X,X,X
ILOZJTS,X,X,O,X,X,X,O,X,O,X,O
ILOZJST,X,X,O,X,X,X,O,X,X,X,X
ILOZSTJ,X,X,X,X,O,X,X,X,X,X,X
ILOZSJT,X,X,O,X,O,X,X,X,X,X,X
IJTLSZO,X,X,X,X,X,O,O,X,X,X,X
IJTLSOZ,X,X,X,X,X,O,O,X,X,X,X
IJTLZSO,X,X,X,X,X,O,O,X,X,X,X
IJTLZOS,X,X,X,X,X,O,O,X,O,X,X
IJTLOSZ,X,X,X,X,X,O,O,X,X,X,X
IJTLOZS,X,X,X,X,X,O,O,X,O,X,X
IJTSLZO,X,X,X,O,X,O,O,X,X,X,X
IJTSLOZ,X,X,X,O,X,O,O,X,X,X,X
IJTSZLO,X,X,X,O,X,O,X,X,X,X,X
IJTSZOL,X,X,X,O,X,X,X,X,O,X,X
IJTSOLZ,X,X,X,O,X,X,O,X,X,X,X
IJTSOZL,X,X,X,O,X,X,X,X,O,X,X
IJTZLSO,X,X,X,O,X,O,O,X,X,X,X
IJTZLOS,X,X,X,X,X,O,O,X,O,X,X
IJTZSLO,X,X,X,O,X,O,X,X,X,X,X
IJTZSOL,X,X,X,O,X,X,X,X,O,X,X
IJTZOLS,X,X,X,X,X,X,O,X,O,X,X
IJTZOSL,X,X,X,O,X,X,X,X,O,X,X
IJTOLSZ,X,X,X,X,X,X,O,X,X,X,X
IJTOLZS,X,X,X,X,X,X,O,X,O,X,X
IJTOSLZ,X,X,X,X,X,X,O,X,X,X,X
IJTOSZL,X,X,X,X,X,X,X,X,O,X,X
IJTOZLS,X,X,X,X,X,X,O,X,O,X,X
IJTOZSL,X,X,X,X,X,X,X,X,O,X,X
IJLTSZO,X,X,X,X,X,O,O,X,X,X,X
IJLTSOZ,X,X,X,X,X,O,O,X,X,X,X
IJLTZSO,X,X,X,X,X,O,O,X,X,X,X
IJLTZOS,X,X,X,X,X,O,O,X,O,X,X
IJLTOSZ,X,X,X,X,X,O,O,X,X,X,X
IJLTOZS,X,X,X,X,X,O,O,X,O,X,X
IJLSTZO,X,X,X,X,X,O,O,X,X,X,X
IJLSTOZ,X,X,X,X,X,O,O,X,X,X,X
IJLSZTO,X,X,O,X,O,X,O,X,X,X,X
IJLSZOT,X,X,O,X,O,X,O,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,O,X,X,X,X
IJLSOZT,X,X,O,X,O,X,O,X,X,X,X
IJLZTSO,X,X,X,X,O,X,O,X,X,X,X
IJLZTOS,X,X,O,X,X,X,O,X,O,X,X
IJLZSTO,X,X,O,X,O,X,O,X,X,X,X
IJLZSOT,X,X,O,X,O,X,O,X,X,X,X
IJLZOTS,X,X,O,X,X,X,O,X,O,X,O
IJLZOST,X,X,O,X,X,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,X,O,O,X,X,X,O
IJLOTZS,X,X,X,X,X,O,O,X,O,X,O
IJLOSTZ,X,X,X,X,X,X,O,X,X,X,X
IJLOSZT,X,X,O,X,X,X,O,X,X,X,X
IJLOZTS,X,X,O,X,X,X,O,X,O,X,X
IJLOZST,X,X,O,X,X,X,O,X,X,X,X
IJSTLZO,X,O,X,O,X,O,O,X,X,X,X
IJSTLOZ,X,X,X,O,X,O,O,X,X,X,X
IJSTZLO,X,O,X,O,X,O,X,X,X,X,X
IJSTZOL,X,O,X,O,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,O,X,X,O,X,X,X,X
IJSTOZL,X,O,X,O,X,X,X,X,O,X,X
IJSLTZO,X,O,X,X,X,O,O,X,X,X,X
IJSLTOZ,X,X,X,X,X,O,O,X,X,X,X
IJSLZTO,O,O,O,X,O,X,O,X,X,X,X
IJSLZOT,O,X,O,X,O,X,O,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,O,X,X,X,X
IJSLOZT,X,X,O,X,O,X,O,X,X,X,X
IJSZTLO,O,O,O,O,O,O,X,X,X,X,X
IJSZTOL,O,O,X,O,O,X,X,X,O,X,X
IJSZLTO,O,O,O,O,O,X,X,X,X,X,X
IJSZLOT,O,X,O,O,O,X,X,X,X,X,X
IJSZOTL,O,O,X,O,O,X,X,X,O,X,X
IJSZOLT,O,O,O,O,O,X,X,X,X,X,X
IJSOTLZ,X,O,X,O,X,X,O,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X,O,X,X
IJSOLTZ,X,O,X,X,X,X,O,X,X,X,X
IJSOLZT,O,O,X,X,O,X,O,X,X,X,X
IJSOZTL,O,O,X,O,O,X,X,X,O,X,X
IJSOZLT,O,O,X,O,O,X,X,X,X,X,X
IJZTLSO,X,X,X,O,O,X,O,X,X,X,X
IJZTLOS,X,X,O,X,X,X,O,X,O,X,X
IJZTSLO,O,O,X,O,O,X,X,X,X,X,X
IJZTSOL,O,O,X,O,O,X,X,X,O,X,X
IJZTOLS,O,O,X,X,X,X,O,X,O,X,X
IJZTOSL,X,O,X,O,X,X,X,X,O,X,X
IJZLTSO,X,X,X,O,O,X,O,X,X,X,X
IJZLTOS,X,X,O,X,X,X,O,X,O,X,X
IJZLSTO,O,X,O,O,O,X,O,X,X,X,X
IJZLSOT,O,X,O,O,O,X,O,X,X,X,X
IJZLOTS,O,X,O,X,X,X,O,X,O,X,X
IJZLOST,O,X,O,X,X,X,O,X,X,X,X
IJZSTLO,O,O,O,O,O,X,X,X,X,X,X
IJZSTOL,O,O,X,O,O,X,X,X,O,X,X
IJZSLTO,O,O,O,O,O,X,X,X,X,X,X
IJZSLOT,O,X,O,O,O,X,X,X,X,X,X
IJZSOTL,O,O,X,O,O,X,X,X,O,X,X
IJZSOLT,O,O,O,O,O,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,O,X,O,X,X
IJZOTSL,X,O,X,O,X,X,X,X,O,X,X
IJZOLTS,O,O,O,X,X,X,O,X,O,X,X
IJZOLST,O,X,O,X,X,X,O,X,X,X,X
IJZOSTL,O,O,X,O,X,X,X,X,O,X,X
IJZOSLT,O,O,X,O,X,X,X,X,X,X,X
IJOTLSZ,X,X,X,X,X,X,O,X,X,X,X
IJOTLZS,X,O,X,X,X,X,O,X,O,X,X
IJOTSLZ,X,O,X,X,X,X,O,X,X,X,X
IJOTSZL,X,O,X,X,X,X,X,X,O,X,X
IJOTZLS,X,O,X,X,X,X,O,X,O,X,X
IJOTZSL,X,O,X,X,X,X,X,X,O,X,X
IJOLTSZ,X,X,X,X,X,X,O,X,X,X,O
IJOLTZS,X,O,X,X,X,X,O,X,O,X,O
IJOLSTZ,X,X,X,X,X,X,O,X,X,X,X
IJOLSZT,O,X,X,X,X,X,O,X,X,X,X
IJOLZTS,O,O,X,X,X,X,O,X,O,X,X
IJOLZST,O,X,X,X,X,X,O,X,X,X,X
IJOSTLZ,X,O,X,X,X,X,O,X,X,X,X
IJOSTZL,X,O,X,X,X,X,X,X,O,X,X
IJOSLTZ,X,O,X,X,X,X,O,X,X,X,X
IJOSLZT,O,O,X,X,X,X,O,X,X,X,X
IJOSZTL,O,O,X,X,X,X,X,X,O,X,X
IJOSZLT,O,O,X,X,X,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,X,O,X,O,X,X
IJOZTSL,X,O,X,X,X,X,X,X,O,X,X
IJOZLTS,O,O,X,X,X,X,O,X,O,X,X
IJOZLST,O,X,X,X,X,X,O,X,X,X,X
IJOZSTL,O,O,X,X,X,X,X,X,O,X,X
IJOZSLT,O,O,X,X,X,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,O,X,X,X,X,X
ISTLJOZ,X,X,X,X,X,O,X,X,X,X,X
ISTLZJO,X,X,X,X,O,O,X,X,X,X,X
ISTLZOJ,X,X,X,X,O,O,X,X,X,X,X
ISTLOJZ,X,X,X,X,X,O,X,X,X,X,X
ISTLOZJ,X,X,X,X,O,O,X,X,X,X,X
ISTJLZO,X,O,X,O,X,O,X,X,X,X,X
ISTJLOZ,X,X,X,O,X,O,X,X,X,X,X
ISTJZLO,X,O,X,O,X,O,X,X,X,X,X
ISTJZOL,X,O,X,O,X,X,X,X,O,X,X
ISTJOLZ,X,X,X,O,X,X,X,X,X,X,X
ISTJOZL,X,O,X,O,X,X,X,X,O,X,X
ISTZLJO,X,X,X,X,O,O,X,X,X,X,X
ISTZLOJ,X,X,X,X,O,O,X,X,X,X,X
ISTZJLO,X,O,X,X,O,O,X,X,X,X,X
ISTZJOL,X,O,X,X,O,X,X,X,O,X,X
ISTZOLJ,X,X,X,X,O,O,X,X,X,X,X
ISTZOJL,X,X,X,X,O,X,X,X,O,X,X
ISTOLJZ,X,X,X,X,X,O,X,X,X,X,X
ISTOLZJ,X,X,X,X,O,O,X,X,X,X,X
ISTOJLZ,X,X,X,O,X,X,X,X,X,X,X
ISTOJZL,X,O,X,O,X,X,X,X,O,X,X
ISTOZLJ,X,X,X,X,O,O,X,X,X,X,X
ISTOZJL,X,X,X,X,O,X,X,X,O,X,X
ISLTJZO,X,O,X,X,X,O,X,X,X,X,X
ISLTJOZ,X,X,X,X,X,O,X,X,X,X,X
ISLTZJO,X,X,X,X,O,O,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,O,X,X,X,X,X
ISLTOJZ,X,X,X,X,X,O,X,X,X,X,X
ISLTOZJ,X,X,X,X,O,O,X,X,X,X,X
ISLJTZO,X,O,X,X,X,O,O,X,X,X,X
ISLJTOZ,X,X,X,X,X,O,O,X,X,X,X
ISLJZTO,O,O,O,X,O,X,O,X,X,X,X
ISLJZOT,O,X,O,X,O,X,O,X,X,X,X
ISLJOTZ,X,X,X,X,X,X,O,X,X,X,X
ISLJOZT,X,X,O,X,O,X,O,X,X,X,X
ISLZTJO,O,X,O,X,O,O,X,X,X,X,X
ISLZTOJ,O,X,X,X,O,O,X,X,X,X,X
ISLZJTO,O,X,O,X,O,X,X,X,X,X,X
ISLZJOT,O,X,O,X,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,O,X,X,X,X,X,X
ISLZOJT,O,X,O,X,O,X,X,X,X,X,X
ISLOTJZ,X,X,X,X,X,O,X,X,X,X,X
ISLOTZJ,X,X,X,X,O,O,X,X,X,X,X
ISLOJTZ,X,X,X,X,X,X,O,X,X,X,X
ISLOJZT,O,X,O,X,O,X,O,X,X,X,X
ISLOZTJ,O,X,X,X,O,X,X,X,X,X,X
ISLOZJT,O,X,O,X,O,X,X,X,X,X,X
ISJTLZO,X,O,X,O,X,O,O,X,X,X,X
ISJTLOZ,X,X,X,O,X,O,O,X,X,X,X
ISJTZLO,X,O,X,O,X,O,X,X,X,X,X
ISJTZOL,X,O,X,O,X,X,X,X,O,X,X
ISJTOLZ,X,X,X,O,X,X,O,X,X,X,X
ISJTOZL,X,O,X,O,X,X,X,X,O,X,X
ISJLTZO,X,O,X,X,X,O,O,X,X,X,X
ISJLTOZ,X,X,X,X,X,O,O,X,X,X,X
ISJLZTO,O,O,O,X,O,X,O,X,X,X,X
ISJLZOT,O,X,O,X,O,X,O,X,X,X,X
ISJLOTZ,X,X,X,X,X,X,O,X,X,X,X
ISJLOZT,X,X,O,X,O,X,O,X,X,X,X
ISJZTLO,O,O,O,O,O,O,X,X,X,X,X
ISJZTOL,O,O,X,O,O,X,X,X,O,X,X
ISJZLTO,O,O,O,O,O,X,X,X,X,X,X
ISJZLOT,O,X,O,O,O,X,X,X,X,X,X
ISJZOTL,O,O,X,O,O,X,X,X,O,X,X
ISJZOLT,O,O,O,O,O,X,X,X,X,X,X
ISJOTLZ,X,O,X,O,X,X,O,X,X,X,X
ISJOTZL,X,O,X,O,X,X,X,X,O,X,X
ISJOLTZ,X,O,X,X,X,X,O,X,X,X,X
ISJOLZT,O,O,X,X,O,X,O,X,X,X,X
ISJOZTL,O,O,X,O,O,X,X,X,O,X,X
ISJOZLT,O,O,X,O,O,X,X,X,X,X,X
ISZTLJO,O,X,O,X,O,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,O,O,X,X,X,X,X
ISZTJLO,O,O,O,X,O,O,X,X,X,X,X
ISZTJOL,O,O,X,X,O,X,X,X,O,X,X
ISZTOLJ,O,X,X,X,O,O,X,X,X,X,X
ISZTOJL,O,X,X,X,O,X,X,X,O,X,X
ISZLTJO,O,X,O,X,O,O,X,X,X,X,X
ISZLTOJ,O,X,X,X,O,O,X,X,X,X,X
ISZLJTO,O,X,O,X,O,X,X,X,X,X,X
ISZLJOT,O,X,O,X,O,X,X,X,X,X,X
ISZLOTJ,O,X,X,X,O,X,X,X,X,X,X
ISZLOJT,O,X,O,X,O,X,X,X,X,X,X
ISZJTLO,O,O,O,X,O,O,X,X,X,X,X
ISZJTOL,O,O,X,X,O,X,X,X,O,X,X
ISZJLTO,O,O,O,X,O,X,X,X,X,X,X
ISZJLOT,O,X,O,X,O,X,X,X,X,X,X
ISZJOTL,O,O,X,X,O,X,X,X,O,X,X
ISZJOLT,O,X,O,X,O,X,X,X,X,X,X
ISZOTLJ,O,X,X,X,O,O,X,X,X,X,X
ISZOTJL,O,X,X,X,O,X,X,X,O,X,X
ISZOLTJ,O,X,X,X,O,X,X,X,X,X,X
ISZOLJT,O,X,O,X,O,X,X,X,X,X,X
ISZOJTL,O,X,X,X,O,X,X,X,O,X,X
ISZOJLT,O,X,O,X,O,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,O,X,X,X,X,X
ISOTLZJ,X,X,X,X,O,O,X,X,X,X,X
ISOTJLZ,X,O,X,O,X,X,X,X,X,X,X
ISOTJZL,X,O,X,O,X,X,X,X,O,X,X
ISOTZLJ,X,X,X,X,O,O,X,X,X,X,X
ISOTZJL,X,O,X,X,O,X,X,X,O,X,X
ISOLTJZ,X,O,X,X,X,O,X,X,X,X,X
ISOLTZJ,X,X,X,X,O,O,X,X,X,X,X
ISOLJTZ,X,O,X,X,X,X,O,X,X,X,X
ISOLJZT,O,O,X,X,O,X,O,X,X,X,X
ISOLZTJ,O,X,X,X,O,X,X,X,X,X,X
ISOLZJT,O,X,X,X,O,X,X,X,X,X,X
ISOJTLZ,X,O,X,O,X,X,O,X,X,X,X
ISOJTZL,X,O,X,O,X,X,X,X,O,X,X
ISOJLTZ,X,O,X,X,X,X,O,X,X,X,X
ISOJLZT,O,O,X,X,O,X,O,X,X,X,X
ISOJZTL,O,O,X,O,O,X,X,X,O,X,X
ISOJZLT,O,O,X,O,O,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,O,X,X,X,O,X,X
ISOZLTJ,O,X,X,X,O,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,X,X,O,X,X,X,O,X,X
ISOZJLT,O,O,X,X,O,X,X,X,X,X,X
IZTLJSO,X,X,X,X,O,O,X,X,X,X,X
IZTLJOS,X,X,O,X,X,O,X,X,O,X,X
IZTLSJO,X,X,O,X,O,O,X,X,X,X,X
IZTLSOJ,X,X,X,X,O,O,X,X,X,O,X
IZTLOJS,X,X,X,X,X,O,X,X,O,X,X
IZTLOSJ,X,X,X,X,O,O,X,X,X,O,X
IZTJLSO,X,X,X,X,O,O,X,X,X,X,X
IZTJLOS,X,X,O,X,X,O,X,X,O,X,X
IZTJSLO,O,X,X,X,O,O,X,X,X,X,X
IZTJSOL,O,X,X,X,O,X,X,X,O,O,X
IZTJOLS,O,X,X,X,X,X,X,X,O,X,X
IZTJOSL,X,X,X,X,X,X,X,X,O,O,X
IZTSLJO,O,X,O,X,O,O,X,X,X,X,X
IZTSLOJ,O,X,X,X,O,O,X,X,X,O,X
IZTSJLO,O,X,O,X,O,O,X,X,X,X,X
IZTSJOL,O,X,X,X,O,X,X,X,O,O,X
IZTSOLJ,O,X,X,X,O,O,X,X,X,O,X
IZTSOJL,O,X,X,X,O,X,X,X,O,O,X
IZTOLJS,O,X,X,X,X,O,X,X,O,X,X
IZTOLSJ,X,X,X,X,O,O,X,X,X,O,X
IZTOJLS,O,X,X,X,X,X,X,X,O,X,X
IZTOJSL,X,X,X,X,X,X,X,X,O,O,X
IZTOSLJ,X,X,X,X,O,O,X,X,X,O,X
IZTOSJL,X,X,X,X,O,X,X,X,O,O,X
IZLTJSO,X,X,X,X,O,O,X,X,X,X,X
IZLTJOS,X,X,O,X,X,O,X,X,O,X,X
IZLTSJO,X,X,O,X,O,O,X,X,X,X,X
IZLTSOJ,X,X,X,X,O,O,X,X,X,O,X
IZLTOJS,X,X,X,X,X,O,X,X,O,X,X
IZLTOSJ,X,X,X,X,O,O,X,X,X,O,X
IZLJTSO,X,X,X,X,O,X,O,X,X,X,X
IZLJTOS,X,X,O,X,X,X,O,X,O,X,X
IZLJSTO,O,X,O,X,O,X,O,X,X,X,X
IZLJSOT,O,X,O,X,O,X,O,X,X,X,X
IZLJOTS,O,X,O,X,X,X,O,X,O,X,X
IZLJOST,O,X,O,X,X,X,O,X,X,X,X
IZLSTJO,O,X,O,X,O,O,X,X,X,X,X
IZLSTOJ,O,X,X,X,O,O,X,X,X,O,X
IZLSJTO,O,X,O,X,O,X,X,X,X,X,X
IZLSJOT,O,X,O,X,O,X,X,X,X,X,X
IZLSOTJ,O,X,X,X,O,X,X,X,X,X,X
IZLSOJT,O,X,O,X,O,X,X,X,X,X,X
IZLOTJS,O,X,X,X,X,O,X,X,O,X,X
IZLOTSJ,X,X,X,X,O,O,X,X,X,X,X
IZLOJTS,O,X,O,X,X,X,O,X,O,X,X
IZLOJST,O,X,O,X,X,X,O,X,X,X,X
IZLOSTJ,X,X,X,X,O,X,X,X,X,X,X
IZLOSJT,O,X,O,X,O,X,X,X,X,X,X
IZJTLSO,X,X,X,X,O,X,O,X,X,X,X
IZJTLOS,X,X,O,X,X,X,O,X,O,X,X
IZJTSLO,O,X,X,X,O,X,X,X,X,X,X
IZJTSOL,O,X,X,X,O,X,X,X,O,O,X
IZJTOLS,O,X,X,X,X,X,O,X,O,X,X
IZJTOSL,X,X,X,X,X,X,X,X,O,O,X
