sequence,v115@FhB8HeB8HeE8DeC8JeOEJvhF6lBxhBzkBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFlgB2pBxmBCnBzqBXsB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfB+lBxhBcsBXrBlrB,v115@FhB8HeB8HeE8DeC8Je0/IvhFxgBTiB2pBFrBXsBCrB,v115@FhB8HeB8HeE8DeC8Jei/IvhFFhBTiBcrBxpBXsBGqB,v115@FhB8HeB8HeE8DeC8JeKEJvhFzfBUhB1qBXnBGnBRwB,v115@FhB8HeB8HeE8DeC8JeT/IvhF1mB6nBxpBmrB/qBUrB,v115@FhB8HeB8HeE8DeC8Jex/IvhFXiBTkBSsBlqBmqB0rB,v115@FhB8HeB8HeE8DeC8JeOEJvhF8kBFmBTnB3lBCnBRwB,v115@FhB8HeB8HeE8DeC8Je3/IvhFTiBxlB2pBUrBFsBCrB,v115@FhB8HeB8HeE8DeC8Jex/IvhF0hBTkBSsBmqBlqBXsB
TIOZSJL,X,X,X,X,X,X,X,X,O,O,X
TLIJSZO,X,X,X,X,X,O,O,X,X,X,X
TLIJSOZ,X,X,X,X,X,O,O,X,X,X,X
TLIJZSO,X,X,X,X,X,O,O,X,X,X,X
TLIJZOS,X,X,X,X,X,O,O,X,X,X,X
TLIJOSZ,X,X,X,X,X,O,O,X,X,X,X
TLIJOZS,X,X,X,X,X,O,O,X,X,X,X
TLISJZO,X,X,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,X,X,O,X,X,X,X,X
TLISZJO,X,X,X,X,X,O,X,X,X,X,X
TLISZOJ,X,X,X,X,X,O,X,X,X,X,X
TLISOJZ,X,X,X,X,X,O,X,O,X,O,X
TLISOZJ,X,X,X,X,X,O,X,O,X,O,X
TLIZJSO,X,X,X,X,X,O,X,X,X,X,X
TLIZJOS,X,X,X,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,X,X,O,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,O,X,X,X,X,X
TLIZOJS,X,X,X,X,X,O,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,O,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,O,O,O,X,X,X
TLIOJZS,X,X,X,X,X,O,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,O,X,O,X
TLIOSZJ,X,X,X,X,X,O,X,O,X,O,X
TLIOZJS,X,X,X,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,O,X,O,X,X,X
TLJISZO,X,X,X,X,X,O,O,X,X,X,X
TLJISOZ,X,X,X,X,X,O,O,X,X,X,X
TLJIZSO,X,X,X,X,X,O,O,X,X,X,X
TLJIZOS,X,X,X,X,X,O,O,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,O,X,X,X,X
TLJIOZS,X,X,X,X,X,O,O,X,X,X,X
TLJSIZO,X,X,X,O,X,X,O,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,O,X,X,X,X
TLJSZIO,X,X,O,O,X,X,X,X,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,O,X,X,X
TLJSOZI,X,X,O,O,X,X,X,O,X,X,X
TLJZISO,X,X,X,O,X,O,O,X,X,X,X
TLJZIOS,X,X,O,X,X,O,O,X,X,X,X
TLJZSIO,X,X,O,O,X,X,X,X,X,X,X
TLJZSOI,X,X,O,O,X,X,X,X,X,X,X
TLJZOIS,X,X,O,X,X,O,X,X,X,X,O
TLJZOSI,X,X,O,X,X,X,X,X,X,X,O
TLJOISZ,X,X,X,X,X,O,O,O,X,X,O
TLJOIZS,X,X,X,X,X,O,O,O,X,X,O
TLJOSIZ,X,X,X,X,X,X,X,O,X,X,O
TLJOSZI,X,X,O,X,X,X,X,O,X,X,O
TLJOZIS,X,X,O,X,X,O,X,O,X,X,O
TLJOZSI,X,X,O,X,X,X,X,O,X,X,O
TLSIJZO,X,X,X,X,X,O,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,O,X,X,X,X,X
TLSIZJO,X,X,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,O,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,O,X,O,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,O,X,X,X
TLSJIZO,X,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,O,O,X,X,X,X,X,X,X
TLSJZOI,X,X,O,O,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,O,X,X,X
TLSJOZI,X,X,O,O,X,X,X,O,X,X,X
TLSZIJO,X,X,O,X,X,O,X,X,X,X,X
TLSZIOJ,X,X,X,X,X,O,X,X,X,X,X
TLSZJIO,X,X,O,X,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,O,X,O,X,X,X
TLSZOJI,X,X,O,X,X,X,X,O,X,X,X
TLSOIJZ,X,X,X,X,X,O,X,O,X,X,X
TLSOIZJ,X,X,X,X,X,O,X,O,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,O,X,X,X
TLSOJZI,X,X,O,O,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,X,X,O,X,O,X,X,X
TLSOZJI,X,X,O,X,X,X,X,O,X,X,X
TLZIJSO,X,X,X,X,X,O,X,X,X,X,X
TLZIJOS,X,X,O,X,X,O,X,X,X,X,X
TLZISJO,X,X,O,X,X,O,X,X,X,X,X
TLZISOJ,X,X,X,X,X,O,X,X,X,O,X
TLZIOJS,X,X,X,X,X,O,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,O,X,X,X,O,X
TLZJISO,X,X,X,X,X,O,X,X,X,X,X
TLZJIOS,X,X,O,X,X,O,X,X,X,X,X
TLZJSIO,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,X,X
TLZJOIS,X,X,O,X,X,O,X,X,X,X,O
TLZJOSI,X,X,O,X,X,X,X,X,X,X,O
TLZSIJO,X,X,O,X,X,O,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,O,X,X,X,X,X
TLZSJIO,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,O,X,O,X,X,X
TLZSOJI,X,X,O,X,X,X,X,O,X,X,X
TLZOIJS,X,X,X,X,X,O,X,O,X,X,X
TLZOISJ,X,X,X,X,X,O,X,O,X,O,X
TLZOJIS,X,X,O,X,X,O,X,O,X,X,O
TLZOJSI,X,X,O,X,X,X,X,O,X,X,O
TLZOSIJ,X,X,X,X,X,O,X,O,X,X,X
TLZOSJI,X,X,O,X,X,X,X,O,X,X,X
TLOIJSZ,X,X,X,X,X,O,X,O,X,X,X
TLOIJZS,X,X,X,X,X,O,X,O,X,X,X
TLOISJZ,X,X,X,X,X,O,X,O,X,O,X
TLOISZJ,X,X,X,X,X,O,X,O,X,O,X
TLOIZJS,X,X,X,X,X,O,X,O,X,X,X
TLOIZSJ,X,X,X,X,X,O,X,O,X,X,X
TLOJISZ,X,X,X,X,X,O,X,O,X,X,O
TLOJIZS,X,X,X,X,X,O,X,O,X,X,O
TLOJSIZ,X,X,X,X,X,X,X,O,X,X,O
TLOJSZI,X,X,O,X,X,X,X,O,X,X,O
TLOJZIS,X,X,O,X,X,O,X,O,X,X,O
TLOJZSI,X,X,O,X,X,X,X,O,X,X,O
TLOSIJZ,X,X,X,X,X,O,X,O,X,X,X
TLOSIZJ,X,X,X,X,X,O,X,O,X,X,X
TLOSJIZ,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,O,X,X,X,X,O,X,X,X
TLOSZIJ,X,X,X,X,X,O,X,O,X,X,X
TLOSZJI,X,X,O,X,X,X,X,O,X,X,X
TLOZIJS,X,X,X,X,X,O,X,O,X,X,X
TLOZISJ,X,X,X,X,X,O,X,O,X,O,X
TLOZJIS,X,X,O,X,X,O,X,O,X,X,O
TLOZJSI,X,X,O,X,X,X,X,O,X,X,O
TLOZSIJ,X,X,X,X,X,O,X,O,X,X,X
TLOZSJI,X,X,O,X,X,X,X,O,X,X,X
TJILSZO,X,X,X,X,X,O,O,X,X,X,X
TJILSOZ,X,X,X,X,X,O,O,X,X,X,X
TJILZSO,X,X,X,X,X,O,O,X,X,X,X
TJILZOS,X,X,X,X,X,O,O,X,O,X,X
TJILOSZ,X,X,X,X,X,O,O,X,X,X,X
TJILOZS,X,X,X,X,X,O,O,X,O,X,X
TJISLZO,X,X,X,O,X,O,O,X,X,X,X
TJISLOZ,X,X,X,O,X,O,O,X,X,X,X
TJISZLO,X,X,X,O,X,O,X,X,X,X,X
TJISZOL,X,X,X,O,X,X,X,X,O,X,X
TJISOLZ,X,X,X,O,X,X,O,X,X,O,X
TJISOZL,X,X,X,O,X,X,X,X,O,O,X
TJIZLSO,X,X,X,O,X,O,O,X,X,X,X
TJIZLOS,X,X,X,X,X,O,O,X,O,X,X
TJIZSLO,X,X,X,O,X,O,X,X,X,X,X
TJIZSOL,X,X,X,O,X,X,X,X,O,X,X
TJIZOLS,X,X,X,X,X,X,O,X,O,X,X
TJIZOSL,X,X,X,O,X,X,X,X,O,X,X
TJIOLSZ,X,X,X,X,X,X,O,X,X,X,X
TJIOLZS,X,X,X,X,X,X,O,X,O,X,X
TJIOSLZ,X,X,X,X,X,X,O,X,X,O,X
TJIOSZL,X,X,X,X,X,X,X,X,O,O,X
TJIOZLS,X,X,X,X,X,X,O,X,O,X,X
