sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
TSLOZIJ,O,O,O,O,O,X,X,X
TSLOZJI,O,O,O,O,O,O,X,X
TSJILZO,O,O,X,O,O,X,O,X
TSJILOZ,O,O,X,X,O,X,O,O
TSJIZLO,O,O,X,X,X,O,O,X
TSJIZOL,O,O,X,X,X,X,O,X
TSJIOLZ,O,O,X,X,O,X,O,O
TSJIOZL,O,O,X,X,O,X,O,X
TSJLIZO,O,O,O,O,O,X,X,X
TSJLIOZ,O,O,X,X,O,X,X,X
TSJLZIO,O,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,X,X,X,X
TSJLOIZ,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,O,O,X,X,X
TSJZILO,O,O,O,X,X,O,X,X
TSJZIOL,O,O,O,X,X,X,X,X
TSJZLIO,O,O,O,X,X,O,X,X
TSJZLOI,O,O,O,X,X,O,X,X
TSJZOIL,O,O,O,X,X,X,X,X
TSJZOLI,O,O,O,X,X,X,X,X
TSJOILZ,O,O,X,X,O,X,O,O
TSJOIZL,O,O,X,X,O,X,O,X
TSJOLIZ,O,O,X,X,O,X,X,X
TSJOLZI,O,O,O,O,O,X,X,X
TSJOZIL,O,O,O,X,O,X,X,X
TSJOZLI,O,O,O,X,O,X,X,X
TSZILJO,O,O,O,O,O,O,O,X
TSZILOJ,O,O,O,O,O,O,O,X
TSZIJLO,O,O,O,X,X,O,O,X
TSZIJOL,O,O,O,X,X,X,O,X
TSZIOLJ,O,O,O,X,O,X,O,X
TSZIOJL,O,O,O,X,O,X,O,X
TSZLIJO,O,O,O,O,O,O,X,X
TSZLIOJ,O,O,O,O,O,O,X,X
TSZLJIO,O,O,O,O,O,O,X,X
