sequence,v115@EhC8IeA8HeD8AeA8CeC8Jex/IvhFihBTkBOqBfsBln?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhFTgBihBfqBRnBUr?BFsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBimB3n?B1wB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBcqBKrBfs?BlsB,v115@EhC8IeA8HeD8AeA8CeC8Jem/IvhFRhBTkBfsBlnBiq?BUrB,v115@EhC8IeA8HeD8AeA8CeC8JeOEJvhF8kBzgBRnBiqBFs?B3rB,v115@EhC8IeA8HeD8AeA8CeC8JecFJvhFihBTkBRnBFrBXs?BmpB,v115@EhC8IeA8HeD8AeA8CeC8JeT/IvhFylBRnB0lBmpBFs?B3rB
IJOZTSL,O,X,X,X,X,X,X,X
IJOZLTS,O,X,X,X,X,O,X,O
IJOZLST,O,O,X,X,X,O,X,O
IJOZSTL,O,O,X,X,X,X,X,X
IJOZSLT,O,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,O,X,O,X
ISTLJOZ,X,O,X,X,O,X,O,X
ISTLZJO,X,O,X,O,X,O,O,X
ISTLZOJ,X,O,X,O,X,O,O,X
ISTLOJZ,X,O,X,X,O,X,O,X
ISTLOZJ,X,O,X,X,X,O,O,X
ISTJLZO,X,O,X,X,X,X,O,X
ISTJLOZ,X,O,X,X,X,X,O,O
ISTJZLO,X,O,X,X,X,O,O,X
ISTJZOL,X,O,X,X,X,X,O,X
ISTJOLZ,X,O,X,X,X,X,O,O
ISTJOZL,X,O,X,X,X,X,O,X
ISTZLJO,X,O,X,X,X,O,O,X
ISTZLOJ,X,O,X,X,X,O,O,X
ISTZJLO,X,O,X,X,X,O,O,X
ISTZJOL,X,O,X,X,X,X,O,X
ISTZOLJ,X,O,X,X,X,X,O,X
ISTZOJL,X,O,X,X,X,X,O,X
ISTOLJZ,X,O,X,X,O,X,O,X
ISTOLZJ,X,O,X,X,X,X,O,X
ISTOJLZ,X,O,X,X,O,X,O,X
ISTOJZL,X,O,X,X,O,X,O,X
ISTOZLJ,X,O,X,X,X,X,O,X
ISTOZJL,X,O,X,X,X,X,O,X
ISLTJZO,X,O,X,X,O,X,O,X
ISLTJOZ,X,O,X,X,O,X,O,X
ISLTZJO,X,O,X,O,X,X,O,X
ISLTZOJ,X,O,X,O,X,X,O,X
ISLTOJZ,X,O,X,X,O,X,O,X
ISLTOZJ,X,O,X,X,X,X,O,X
ISLJTZO,O,O,X,X,O,X,X,X
ISLJTOZ,O,O,X,X,O,X,X,X
ISLJZTO,O,O,X,O,O,X,X,X
ISLJZOT,O,O,X,O,O,X,X,X
ISLJOTZ,O,O,X,X,O,X,O,X
ISLJOZT,O,O,X,X,O,X,X,X
ISLZTJO,X,O,X,O,X,X,X,X
ISLZTOJ,X,O,X,O,X,X,X,X
ISLZJTO,X,O,X,O,O,X,X,X
ISLZJOT,X,O,X,O,O,O,X,X
ISLZOTJ,X,O,X,O,X,X,O,X
ISLZOJT,X,O,X,O,O,O,X,X
ISLOTJZ,O,O,X,X,O,X,O,X
ISLOTZJ,O,X,X,X,X,X,O,X
ISLOJTZ,O,O,X,X,O,X,O,X
ISLOJZT,O,O,X,X,O,X,X,X
ISLOZTJ,O,X,X,O,X,X,O,X
ISLOZJT,O,O,X,O,O,O,X,X
ISJTLZO,O,O,X,X,X,X,O,X
ISJTLOZ,O,O,X,X,X,X,O,O
ISJTZLO,X,O,X,X,X,O,O,X
ISJTZOL,X,O,X,X,X,X,O,X
ISJTOLZ,X,O,X,X,X,X,O,O
ISJTOZL,X,O,X,X,X,X,O,X
ISJLTZO,O,O,X,X,O,X,X,X
ISJLTOZ,O,O,X,X,O,X,X,X
ISJLZTO,O,O,X,O,O,X,X,X
ISJLZOT,O,O,X,O,O,X,X,X
ISJLOTZ,O,O,X,X,O,X,O,O
ISJLOZT,O,O,X,X,O,X,X,O
ISJZTLO,X,O,X,X,X,O,X,X
ISJZTOL,X,O,X,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X,X,X
ISJZLOT,O,O,X,X,X,O,X,X
ISJZOTL,X,O,X,X,X,X,X,X
ISJZOLT,X,O,X,X,X,X,X,X
ISJOTLZ,O,O,X,X,O,X,O,O
ISJOTZL,X,O,X,X,O,X,O,X
ISJOLTZ,O,O,X,X,O,X,O,O
ISJOLZT,O,O,X,X,O,X,X,O
ISJOZTL,X,O,X,X,O,X,X,X
ISJOZLT,O,O,X,X,O,X,X,X
ISZTLJO,X,O,O,X,X,O,O,X
ISZTLOJ,X,O,O,X,X,O,O,X
ISZTJLO,X,O,O,X,X,O,O,X
ISZTJOL,X,O,O,X,X,X,O,X
ISZTOLJ,X,O,O,X,X,X,O,X
ISZTOJL,X,O,O,X,X,X,O,X
ISZLTJO,X,O,X,O,X,X,X,X
ISZLTOJ,X,O,X,O,X,X,X,X
ISZLJTO,X,O,O,O,O,X,X,X
ISZLJOT,X,O,O,O,O,O,X,X
ISZLOTJ,X,O,X,O,X,X,O,X
ISZLOJT,X,O,O,O,O,O,X,X
ISZJTLO,X,O,O,X,X,O,X,X
ISZJTOL,X,O,O,X,X,X,X,X
ISZJLTO,X,O,O,X,X,X,X,X
ISZJLOT,X,O,O,X,X,O,X,X
ISZJOTL,X,O,O,X,X,X,X,X
ISZJOLT,X,O,O,X,X,X,X,X
ISZOTLJ,X,O,O,X,X,X,O,X
ISZOTJL,X,O,O,X,X,X,O,X
ISZOLTJ,X,O,X,X,X,X,O,X
ISZOLJT,X,O,O,X,O,X,X,X
ISZOJTL,X,O,O,X,O,X,X,X
ISZOJLT,X,O,O,X,O,X,X,X
ISOTLJZ,O,O,X,X,O,X,O,X
ISOTLZJ,O,O,X,X,X,X,O,X
ISOTJLZ,O,O,X,X,O,X,O,X
ISOTJZL,X,O,X,X,O,X,O,X
ISOTZLJ,X,O,X,X,X,X,O,X
ISOTZJL,X,O,X,X,X,X,O,X
ISOLTJZ,O,O,X,X,O,X,O,X
ISOLTZJ,O,X,X,X,X,X,O,X
ISOLJTZ,O,O,X,X,O,X,O,X
ISOLJZT,O,O,X,X,O,X,X,X
ISOLZTJ,O,X,X,O,X,X,O,X
ISOLZJT,O,O,X,O,O,X,X,X
ISOJTLZ,O,O,X,X,O,X,O,X
ISOJTZL,X,O,X,X,O,X,O,X
ISOJLTZ,O,O,X,X,O,X,O,X
ISOJLZT,O,O,X,X,O,X,X,X
ISOJZTL,X,O,X,X,O,X,X,X
ISOJZLT,O,O,X,X,O,X,X,X
ISOZTLJ,X,O,O,X,X,X,O,X
ISOZTJL,X,O,O,X,X,X,O,X
ISOZLTJ,O,O,X,X,X,X,O,X
ISOZLJT,O,O,O,X,O,X,X,X
ISOZJTL,X,O,O,X,O,X,X,X
ISOZJLT,O,O,O,X,O,X,X,X
IZTLJSO,X,O,O,O,X,O,X,X
IZTLJOS,X,O,O,X,X,O,X,X
IZTLSJO,X,O,O,O,X,O,X,X
IZTLSOJ,X,O,O,O,X,O,X,X
IZTLOJS,X,O,O,O,X,O,X,X
IZTLOSJ,X,O,O,O,X,O,X,X
IZTJLSO,O,O,O,O,X,O,X,X
IZTJLOS,X,O,O,O,X,O,X,O
IZTJSLO,O,O,O,X,X,O,X,X
IZTJSOL,O,O,O,X,X,X,X,X
IZTJOLS,O,O,O,O,X,O,X,O
IZTJOSL,O,O,O,X,X,X,X,X
IZTSLJO,O,O,O,X,X,O,X,X
IZTSLOJ,O,O,O,X,X,O,X,X
IZTSJLO,O,O,O,X,X,O,X,X
IZTSJOL,O,O,O,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X
IZTOLJS,X,O,O,O,X,O,X,X
IZTOLSJ,O,O,O,O,X,O,X,X
IZTOJLS,O,O,O,O,X,O,X,X
IZTOJSL,O,O,O,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X
IZLTJSO,X,O,X,O,X,O,X,X
IZLTJOS,X,X,X,O,X,O,X,X
IZLTSJO,X,O,X,O,X,O,X,X
IZLTSOJ,X,O,X,O,X,O,X,X
IZLTOJS,X,X,X,O,X,O,X,X
IZLTOSJ,X,X,X,O,X,O,X,X
IZLJTSO,O,O,O,O,X,O,X,X
IZLJTOS,O,X,O,O,X,O,X,X
IZLJSTO,O,O,O,O,X,X,X,X
IZLJSOT,O,O,O,O,X,O,X,X
IZLJOTS,O,X,O,O,X,O,X,X
IZLJOST,O,O,O,O,X,O,X,X
IZLSTJO,X,O,X,O,X,X,X,X
IZLSTOJ,X,O,X,O,X,X,X,X
IZLSJTO,X,O,X,O,X,X,X,X
IZLSJOT,X,O,X,O,X,O,X,X
IZLSOTJ,X,O,X,O,X,X,X,X
IZLSOJT,X,O,X,O,X,O,X,X
IZLOTJS,O,X,X,O,X,O,X,X
IZLOTSJ,O,X,X,O,X,X,X,X
IZLOJTS,O,X,O,O,X,O,X,X
IZLOJST,O,O,O,O,X,O,X,X
IZLOSTJ,O,O,X,O,X,X,X,X
IZLOSJT,O,O,X,O,X,O,X,X
IZJTLSO,O,O,O,O,X,O,X,X
IZJTLOS,O,O,O,O,X,O,X,O
IZJTSLO,O,O,O,X,X,O,X,X
IZJTSOL,O,O,O,X,X,X,X,X
IZJTOLS,O,O,O,O,X,O,X,O
IZJTOSL,O,O,O,X,X,X,X,X
IZJLTSO,O,O,O,O,X,O,X,X
IZJLTOS,O,X,O,O,X,O,X,X
IZJLSTO,O,O,O,O,X,X,X,X
IZJLSOT,O,O,O,O,X,O,X,X
IZJLOTS,O,X,O,O,X,O,X,O
IZJLOST,O,O,O,O,X,O,X,O
IZJSTLO,O,O,O,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,X,X
IZJSLTO,O,O,O,O,X,X,X,X
IZJSLOT,O,O,O,O,X,O,X,X
IZJSOTL,O,O,O,X,X,X,X,X
IZJSOLT,O,O,O,O,X,X,X,X
IZJOTLS,O,X,O,O,X,O,X,O
IZJOTSL,O,X,O,X,X,X,X,X
IZJOLTS,O,X,O,O,X,O,X,O
IZJOLST,O,O,O,O,X,O,X,O
IZJOSTL,O,O,O,X,X,X,X,X
IZJOSLT,O,O,O,O,X,X,X,X
IZSTLJO,X,O,O,X,X,O,O,X
IZSTLOJ,X,O,O,X,X,O,O,X
IZSTJLO,X,O,O,X,X,O,O,X
IZSTJOL,X,O,O,X,X,X,O,X
IZSTOLJ,X,O,O,X,X,X,O,X
IZSTOJL,X,O,O,X,X,X,O,X
IZSLTJO,X,O,X,X,X,X,X,X
IZSLTOJ,X,O,X,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X,X
IZSLJOT,O,O,O,X,X,O,X,X
IZSLOTJ,O,O,X,X,X,X,O,X
IZSLOJT,O,O,O,X,X,O,X,X
IZSJTLO,O,O,O,X,X,O,X,X
IZSJTOL,X,O,O,X,X,X,X,X
IZSJLTO,O,O,O,O,X,X,X,X
IZSJLOT,O,O,O,O,X,O,X,X
IZSJOTL,O,O,O,X,X,X,X,X
IZSJOLT,O,O,O,O,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,O,X
IZSOTJL,X,O,O,X,X,X,O,X
IZSOLTJ,O,O,X,X,X,X,O,X
IZSOLJT,O,O,O,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X
IZSOJLT,O,O,O,O,X,X,X,X
IZOTLJS,O,X,O,O,X,O,X,X
IZOTLSJ,O,X,O,O,X,O,X,X
IZOTJLS,O,X,O,O,X,O,X,X
IZOTJSL,O,X,O,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X
IZOLTJS,O,X,X,O,X,O,X,X
IZOLTSJ,O,X,X,O,X,X,X,X
IZOLJTS,O,X,O,O,X,O,X,X
IZOLJST,O,O,O,O,X,O,X,X
IZOLSTJ,O,O,X,O,X,X,X,X
IZOLSJT,O,O,X,O,X,O,X,X
IZOJTLS,O,X,O,O,X,O,X,X
IZOJTSL,O,X,O,X,X,X,X,X
IZOJLTS,O,X,O,O,X,O,X,X
IZOJLST,O,O,O,O,X,O,X,X
IZOJSTL,O,O,O,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,O,X
IZOSTJL,O,O,O,X,X,X,O,X
IZOSLTJ,O,O,X,X,X,X,O,X
IZOSLJT,O,O,O,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X
IZOSJLT,O,O,O,O,X,X,X,X
IOTLJSZ,O,O,X,X,O,X,X,X
IOTLJZS,O,X,X,X,O,O,X,X
IOTLSJZ,O,O,X,X,O,X,X,X
IOTLSZJ,O,O,X,O,O,O,X,X
IOTLZJS,X,X,O,O,O,O,X,X
IOTLZSJ,O,X,O,O,X,O,X,X
IOTJLSZ,O,O,X,X,O,X,X,O
IOTJLZS,O,X,X,X,O,X,X,O
IOTJSLZ,O,O,X,X,O,X,X,O
IOTJSZL,O,O,X,X,O,X,X,X
IOTJZLS,O,X,X,X,O,O,X,O
IOTJZSL,O,X,X,X,O,X,X,X
IOTSLJZ,O,O,X,X,O,X,O,X
IOTSLZJ,O,O,O,O,O,X,O,X
IOTSJLZ,O,O,X,X,O,X,O,X
IOTSJZL,O,O,X,X,O,X,O,X
IOTSZLJ,O,O,O,X,O,X,O,X
IOTSZJL,O,O,O,X,O,X,O,X
IOTZLJS,O,X,O,O,O,O,X,X
IOTZLSJ,O,X,O,O,X,O,X,X
IOTZJLS,O,X,O,O,O,O,X,X
IOTZJSL,O,X,O,X,O,X,X,X
IOTZSLJ,O,X,O,X,X,X,X,X
IOTZSJL,O,X,O,X,X,X,X,X
IOLTJSZ,O,X,X,X,O,X,X,X
IOLTJZS,O,X,X,X,O,X,X,X
IOLTSJZ,O,X,X,X,O,X,X,X
IOLTSZJ,O,X,X,O,O,X,X,X
IOLTZJS,X,X,X,O,O,O,X,X
IOLTZSJ,O,X,X,O,X,X,X,X
IOLJTSZ,O,X,X,X,O,X,X,X
IOLJTZS,O,X,X,X,O,X,X,X
IOLJSTZ,O,O,X,X,O,X,X,X
IOLJSZT,O,O,X,X,O,X,X,X
IOLJZTS,O,X,X,X,X,O,X,X
IOLJZST,O,X,X,X,X,O,X,X
IOLSTJZ,O,O,X,X,O,X,O,X
IOLSTZJ,O,X,X,X,X,X,O,X
IOLSJTZ,O,O,X,X,O,X,O,X
IOLSJZT,O,O,X,X,O,X,X,X
IOLSZTJ,O,X,X,O,X,X,O,X
IOLSZJT,O,O,X,O,O,O,X,X
IOLZTJS,O,X,X,O,X,O,X,X
IOLZTSJ,O,X,X,O,X,X,X,X
IOLZJTS,O,X,X,O,X,O,X,X
IOLZJST,O,X,X,O,X,O,X,X
IOLZSTJ,O,X,X,O,X,X,X,X
IOLZSJT,O,X,X,O,X,O,X,X
IOJTLSZ,O,O,X,X,O,X,X,O
IOJTLZS,O,X,X,X,O,X,X,O
IOJTSLZ,O,O,X,X,O,X,X,O
IOJTSZL,O,O,X,X,O,X,X,X
IOJTZLS,O,X,X,X,O,O,X,O
IOJTZSL,O,X,X,X,O,X,X,X
IOJLTSZ,O,X,X,X,O,X,X,O
IOJLTZS,O,X,X,X,O,X,X,O
IOJLSTZ,O,O,X,X,O,X,X,O
IOJLSZT,O,O,X,X,O,X,X,O
IOJLZTS,O,X,X,X,X,X,X,O
IOJLZST,O,X,X,X,X,X,X,O
IOJSTLZ,O,O,X,X,O,X,O,O
IOJSTZL,O,O,X,X,O,X,O,X
IOJSLTZ,O,O,X,X,O,X,O,O
IOJSLZT,O,O,X,X,O,X,X,O
IOJSZTL,O,O,X,X,O,X,X,X
IOJSZLT,O,O,X,X,O,X,X,X
IOJZTLS,O,X,X,X,X,O,X,O
IOJZTSL,O,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,O,X,O
IOJZLST,O,O,X,X,X,O,X,O
IOJZSTL,O,O,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,O,X,O,X
IOSTLZJ,O,O,X,X,X,X,O,X
IOSTJLZ,O,O,X,X,O,X,O,X
IOSTJZL,O,O,X,X,O,X,O,X
IOSTZLJ,O,O,X,X,X,X,O,X
IOSTZJL,O,O,X,X,X,X,O,X
IOSLTJZ,O,O,X,X,O,X,O,X
IOSLTZJ,O,X,X,X,X,X,O,X
IOSLJTZ,O,O,X,X,O,X,O,X
IOSLJZT,O,O,X,X,O,X,X,X
IOSLZTJ,O,X,X,O,X,X,O,X
IOSLZJT,O,O,X,O,O,X,X,X
IOSJTLZ,O,O,X,X,O,X,O,X
IOSJTZL,O,O,X,X,O,X,O,X
IOSJLTZ,O,O,X,X,O,X,O,X
IOSJLZT,O,O,X,X,O,X,X,X
IOSJZTL,O,O,X,X,O,X,X,X
IOSJZLT,O,O,X,X,O,X,X,X
IOSZTLJ,O,O,O,X,X,X,O,X
IOSZTJL,O,O,O,X,X,X,O,X
IOSZLTJ,O,O,X,X,X,X,O,X
IOSZLJT,O,O,O,X,O,X,X,X
IOSZJTL,X,O,O,X,O,X,X,X
IOSZJLT,O,O,O,X,O,X,X,X
IOZTLJS,O,X,O,O,X,O,X,X
IOZTLSJ,O,X,O,O,X,O,X,X
IOZTJLS,O,X,O,O,X,O,X,X
IOZTJSL,O,X,O,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X
IOZLTJS,O,X,X,O,X,O,X,X
IOZLTSJ,O,X,X,O,X,X,X,X
IOZLJTS,O,X,O,O,X,O,X,X
IOZLJST,O,O,O,O,X,O,X,X
IOZLSTJ,O,O,X,O,X,X,X,X
IOZLSJT,O,O,X,O,X,O,X,X
IOZJTLS,O,X,O,O,X,O,X,X
IOZJTSL,O,X,O,X,X,X,X,X
IOZJLTS,O,X,O,O,X,O,X,X
IOZJLST,O,O,O,O,X,O,X,X
IOZJSTL,O,O,O,X,X,X,X,X
IOZJSLT,O,O,O,O,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,O,X
IOZSTJL,O,O,O,X,X,X,O,X
IOZSLTJ,O,O,X,X,X,X,O,X
IOZSLJT,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,O,X,X,X,X
LTIJSZO,X,O,X,X,O,X,X,X
LTIJSOZ,X,O,X,X,O,X,X,O
LTIJZSO,X,O,O,X,O,O,X,X
LTIJZOS,X,X,O,X,O,O,X,O
LTIJOSZ,X,O,X,X,O,X,X,O
LTIJOZS,X,X,X,X,O,O,X,O
LTISJZO,X,O,X,O,O,X,X,X
LTISJOZ,X,O,X,X,O,X,X,X
LTISZJO,X,O,O,O,O,O,X,X
LTISZOJ,X,O,O,O,O,O,X,X
LTISOJZ,X,O,X,X,O,X,X,X
LTISOZJ,X,O,X,O,O,O,X,X
LTIZJSO,X,O,O,O,O,O,X,X
LTIZJOS,X,X,O,O,O,O,X,X
LTIZSJO,X,O,O,O,X,O,X,X
LTIZSOJ,X,O,O,O,X,O,X,X
LTIZOJS,X,X,O,O,O,O,X,X
LTIZOSJ,X,X,O,O,X,O,X,X
LTIOJSZ,X,O,X,X,O,X,X,X
LTIOJZS,X,X,X,X,O,O,X,X
LTIOSJZ,X,O,X,X,O,X,X,X
LTIOSZJ,X,O,X,O,O,O,X,X
LTIOZJS,X,X,O,O,O,O,X,X
LTIOZSJ,X,X,O,O,X,O,X,X
LTJISZO,O,O,X,X,O,X,X,X
LTJISOZ,O,O,X,X,O,X,X,O
LTJIZSO,O,O,O,X,O,O,X,X
LTJIZOS,X,X,O,X,O,O,X,O
LTJIOSZ,X,O,X,X,O,X,X,O
LTJIOZS,X,X,X,X,O,O,X,O
LTJSIZO,O,O,X,O,O,X,X,X
LTJSIOZ,O,O,X,X,O,X,X,X
LTJSZIO,O,O,X,O,O,X,X,X
LTJSZOI,O,O,X,O,X,X,X,X
LTJSOIZ,O,O,X,X,O,X,X,X
LTJSOZI,O,O,X,O,O,X,X,X
LTJZISO,O,O,O,O,O,O,X,X
LTJZIOS,X,O,O,X,O,O,X,X
LTJZSIO,O,O,O,O,O,O,X,X
LTJZSOI,O,O,X,O,X,O,X,X
LTJZOIS,O,X,O,O,X,O,X,X
LTJZOSI,O,O,O,O,X,O,X,X
LTJOISZ,O,X,X,X,O,X,X,O
LTJOIZS,O,X,X,X,O,X,X,O
LTJOSIZ,O,X,X,X,O,X,X,X
LTJOSZI,O,X,X,O,O,X,X,X
LTJOZIS,O,X,O,O,O,O,X,X
LTJOZSI,O,X,O,O,O,O,X,X
LTSIJZO,O,O,O,O,O,X,O,X
LTSIJOZ,O,O,X,X,O,X,O,X
LTSIZJO,X,O,O,O,O,O,O,X
LTSIZOJ,X,O,O,O,O,O,O,X
LTSIOJZ,O,O,X,X,O,X,O,X
LTSIOZJ,O,O,O,O,O,O,O,X
LTSJIZO,O,O,O,O,O,X,X,X
LTSJIOZ,O,O,X,X,O,X,X,X
LTSJZIO,O,O,O,O,O,X,X,X
LTSJZOI,O,O,O,O,X,X,X,X
LTSJOIZ,O,O,X,X,O,X,X,X
LTSJOZI,O,O,O,O,O,X,X,X
LTSZIJO,X,O,O,O,O,O,X,X
LTSZIOJ,X,O,O,O,O,O,X,X
LTSZJIO,O,O,O,O,O,O,X,X
LTSZJOI,O,O,O,O,X,O,X,X
LTSZOIJ,O,O,O,O,O,X,X,X
LTSZOJI,O,O,O,O,O,O,X,X
LTSOIJZ,O,O,X,X,O,X,O,X
LTSOIZJ,O,O,O,O,O,X,O,X
LTSOJIZ,O,O,X,X,O,X,X,X
LTSOJZI,O,O,O,O,O,X,X,X
LTSOZIJ,O,O,O,O,O,X,X,X
LTSOZJI,O,O,O,O,O,O,X,X
LTZIJSO,X,O,O,O,O,O,X,X
LTZIJOS,X,O,O,O,O,O,X,X
LTZISJO,X,O,O,O,X,O,X,X
LTZISOJ,X,O,O,O,X,O,X,X
LTZIOJS,X,O,O,O,O,O,X,X
LTZIOSJ,X,O,O,O,X,O,X,X
LTZJISO,O,O,O,O,O,O,X,X
LTZJIOS,X,O,O,O,O,O,X,X
LTZJSIO,O,O,O,O,O,O,X,X
LTZJSOI,O,O,O,O,X,O,X,X
LTZJOIS,O,X,O,O,X,O,X,X
LTZJOSI,O,O,O,O,X,O,X,X
LTZSIJO,O,O,O,O,O,O,X,X
LTZSIOJ,O,O,O,O,O,O,X,X
LTZSJIO,O,O,O,O,O,O,X,X
LTZSJOI,O,O,O,O,X,O,X,X
LTZSOIJ,O,O,O,O,O,X,X,X
LTZSOJI,O,O,O,O,O,O,X,X
LTZOIJS,X,X,O,O,O,O,X,X
LTZOISJ,O,X,O,O,X,O,X,X
LTZOJIS,O,X,O,O,O,O,X,X
LTZOJSI,O,O,O,O,O,O,X,X
LTZOSIJ,O,O,O,O,O,X,X,X
LTZOSJI,O,O,O,O,O,O,X,X
LTOIJSZ,O,X,X,X,O,X,X,X
LTOIJZS,O,X,X,X,O,O,X,X
LTOISJZ,O,X,X,X,O,X,X,X
LTOISZJ,O,X,X,O,O,O,X,X
LTOIZJS,X,X,O,O,O,O,X,X
LTOIZSJ,O,X,O,O,X,O,X,X
LTOJISZ,O,X,X,X,O,X,X,X
LTOJIZS,O,X,X,X,O,X,X,X
LTOJSIZ,O,X,X,X,O,X,X,X
LTOJSZI,O,X,X,O,O,X,X,X
LTOJZIS,O,X,O,O,O,O,X,X
LTOJZSI,O,X,O,O,O,O,X,X
LTOSIJZ,O,X,X,X,O,X,O,X
LTOSIZJ,O,X,O,O,O,X,O,X
LTOSJIZ,O,X,X,X,O,X,X,X
LTOSJZI,O,X,O,O,O,X,X,X
LTOSZIJ,O,X,O,O,O,X,X,X
LTOSZJI,O,X,O,O,O,O,X,X
LTOZIJS,X,X,O,O,O,O,X,X
LTOZISJ,O,X,O,O,X,O,X,X
LTOZJIS,O,X,O,O,O,O,X,X
LTOZJSI,O,X,O,O,O,O,X,X
LTOZSIJ,O,X,O,O,O,X,X,X
LTOZSJI,O,X,O,O,O,O,X,X
LITJSZO,X,O,X,X,O,X,X,X
LITJSOZ,X,O,X,X,O,X,X,O
LITJZSO,X,O,X,X,O,O,X,X
LITJZOS,X,X,X,X,O,O,X,O
LITJOSZ,X,O,X,X,O,X,X,O
LITJOZS,X,X,X,X,O,O,X,O
LITSJZO,X,O,X,O,O,X,X,X
LITSJOZ,X,O,X,X,O,X,X,X
LITSZJO,X,O,X,O,O,O,X,X
LITSZOJ,X,O,X,O,O,O,X,X
LITSOJZ,X,O,X,X,O,X,X,X
LITSOZJ,X,O,X,O,O,O,X,X
LITZJSO,X,O,X,O,O,O,X,X
LITZJOS,X,X,X,O,O,O,X,X
LITZSJO,X,O,X,O,X,O,X,X
LITZSOJ,X,O,X,O,X,O,X,X
LITZOJS,X,X,X,O,O,O,X,X
LITZOSJ,X,X,X,O,X,O,X,X
LITOJSZ,X,O,X,X,O,X,X,X
LITOJZS,X,X,X,X,O,O,X,X
LITOSJZ,X,O,X,X,O,X,X,X
LITOSZJ,X,O,X,O,O,O,X,X
LITOZJS,X,X,X,O,O,O,X,X
LITOZSJ,X,X,X,O,X,O,X,X
LIJTSZO,X,O,X,X,O,X,X,X
LIJTSOZ,X,O,X,X,O,X,X,O
LIJTZSO,X,O,X,X,O,O,X,X
LIJTZOS,X,X,X,X,O,O,X,O
LIJTOSZ,X,O,X,X,O,X,X,O
LIJTOZS,X,X,X,X,O,X,X,O
LIJSTZO,X,O,X,X,O,X,X,X
LIJSTOZ,X,O,X,X,O,X,X,X
LIJSZTO,X,O,X,X,O,X,X,X
LIJSZOT,X,O,X,X,O,X,X,X
LIJSOTZ,X,O,X,X,O,X,X,O
LIJSOZT,X,O,X,X,O,X,X,O
LIJZTSO,X,O,X,O,X,O,X,X
LIJZTOS,X,X,X,O,X,O,X,X
LIJZSTO,X,O,X,O,X,X,X,X
LIJZSOT,X,O,X,O,X,O,X,X
LIJZOTS,X,X,X,O,X,O,X,O
LIJZOST,X,O,X,O,X,O,X,O
LIJOTSZ,X,X,X,X,X,X,X,O
LIJOTZS,X,X,X,X,X,X,X,O
LIJOSTZ,X,O,X,X,X,X,X,O
LIJOSZT,X,O,X,X,X,X,X,O
LIJOZTS,X,X,X,X,X,O,X,O
LIJOZST,X,X,X,X,X,O,X,O
LISTJZO,X,O,X,X,O,X,O,X
LISTJOZ,X,O,X,X,O,X,O,X
LISTZJO,X,O,X,O,X,X,O,X
LISTZOJ,X,O,X,O,X,X,O,X
LISTOJZ,X,O,X,X,O,X,O,X
LISTOZJ,X,O,X,X,X,X,O,X
LISJTZO,X,O,X,X,O,X,X,X
LISJTOZ,X,O,X,X,O,X,X,X
LISJZTO,X,O,X,O,O,X,X,X
LISJZOT,X,O,X,O,O,X,X,X
LISJOTZ,X,O,X,X,O,X,O,X
LISJOZT,X,O,X,X,O,X,X,X
LISZTJO,X,O,X,O,X,X,X,X
LISZTOJ,X,O,X,O,X,X,X,X
LISZJTO,X,O,X,O,O,X,X,X
LISZJOT,X,O,X,O,O,O,X,X
LISZOTJ,X,O,X,O,X,X,O,X
LISZOJT,X,O,X,O,O,O,X,X
LISOTJZ,X,O,X,X,O,X,O,X
LISOTZJ,X,X,X,X,X,X,O,X
LISOJTZ,X,O,X,X,O,X,O,X
LISOJZT,X,O,X,X,O,X,X,X
LISOZTJ,X,X,X,O,X,X,O,X
LISOZJT,X,O,X,O,O,O,X,X
LIZTJSO,X,O,X,O,X,O,X,X
LIZTJOS,X,X,X,O,X,O,X,X
LIZTSJO,X,O,X,O,X,O,X,X
LIZTSOJ,X,O,X,O,X,O,X,X
