sequence,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8KeCAJvhFlhB3iB?5oBTlBerB8sB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhFRhBGjB?FmB6sB/tB0qB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8KefFJvhF6lB0hB?5oBerBznBlsB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhFWmB3iB?5oB8sBlqBirB,v115@9gA8IeA8IeB8CeB8CeC8BeB8AeA8Kez/IvhF0hBeoB?5oBlqBfrB6sB
LTSIZJO,O,O,X,X,X
LTSIZOJ,O,O,X,X,X
LTSIOJZ,X,O,X,X,X
LTSIOZJ,X,O,X,X,X
LTSJIZO,X,O,X,X,X
LTSJIOZ,X,O,X,X,X
LTSJZIO,X,O,X,X,X
LTSJZOI,X,O,X,X,X
LTSJOIZ,X,O,X,X,X
LTSJOZI,X,O,X,X,X
LTSZIJO,O,O,X,X,X
LTSZIOJ,O,O,X,X,X
LTSZJIO,O,O,X,X,X
LTSZJOI,X,O,X,X,X
LTSZOIJ,O,O,X,X,X
LTSZOJI,X,O,X,X,X
LTSOIJZ,X,O,X,X,X
LTSOIZJ,X,O,X,X,X
LTSOJIZ,X,O,X,X,X
LTSOJZI,X,O,X,X,X
LTSOZIJ,X,O,X,X,X
LTSOZJI,X,O,X,X,X
LTZIJSO,O,O,X,O,X
LTZIJOS,O,O,X,O,X
LTZISJO,O,O,X,O,X
LTZISOJ,O,O,X,O,X
LTZIOJS,X,O,X,O,X
LTZIOSJ,O,O,X,O,X
LTZJISO,O,O,X,O,X
LTZJIOS,O,O,X,O,X
LTZJSIO,O,O,X,O,X
LTZJSOI,O,O,X,O,X
LTZJOIS,O,O,X,O,X
LTZJOSI,O,O,X,O,X
LTZSIJO,O,O,X,O,X
LTZSIOJ,O,O,X,O,X
LTZSJIO,O,O,X,O,X
LTZSJOI,O,O,X,O,X
LTZSOIJ,O,O,X,O,X
LTZSOJI,X,O,X,O,X
LTZOIJS,X,O,X,O,X
LTZOISJ,O,O,X,O,X
LTZOJIS,X,O,X,O,X
LTZOJSI,X,O,X,O,X
LTZOSIJ,O,O,X,O,X
LTZOSJI,X,O,X,O,X
LTOIJSZ,X,O,X,X,O
LTOIJZS,X,X,X,O,O
LTOISJZ,X,O,X,X,X
LTOISZJ,X,O,X,X,X
LTOIZJS,X,X,X,O,X
LTOIZSJ,O,O,X,O,X
LTOJISZ,X,O,X,X,O
LTOJIZS,X,X,X,O,O
LTOJSIZ,X,O,X,X,X
LTOJSZI,X,O,X,X,X
LTOJZIS,X,X,X,O,X
LTOJZSI,X,X,X,O,X
LTOSIJZ,X,O,X,X,X
LTOSIZJ,X,O,X,X,X
LTOSJIZ,X,O,X,X,X
LTOSJZI,X,O,X,X,X
LTOSZIJ,X,O,X,X,X
LTOSZJI,X,O,X,X,X
LTOZIJS,X,O,X,O,X
LTOZISJ,O,O,X,O,X
LTOZJIS,X,O,X,O,X
LTOZJSI,X,O,X,O,X
LTOZSIJ,O,O,X,O,X
LTOZSJI,X,O,X,O,X
LITJSZO,O,O,X,X,O
LITJSOZ,X,O,X,X,O
LITJZSO,O,X,X,O,O
LITJZOS,O,X,X,O,O
LITJOSZ,O,O,X,X,O
LITJOZS,O,X,X,O,O
LITSJZO,X,O,X,X,X
LITSJOZ,X,O,X,X,X
LITSZJO,O,O,X,X,X
LITSZOJ,O,O,X,X,X
LITSOJZ,X,O,X,X,X
LITSOZJ,X,O,X,X,X
LITZJSO,O,X,X,O,X
LITZJOS,O,X,X,O,X
LITZSJO,O,O,X,O,X
LITZSOJ,O,O,X,O,X
LITZOJS,X,X,X,O,X
LITZOSJ,O,O,X,O,X
LITOJSZ,X,O,X,X,O
LITOJZS,X,X,X,O,O
LITOSJZ,X,O,X,X,X
LITOSZJ,X,O,X,X,X
LITOZJS,X,X,X,O,X
LITOZSJ,O,O,X,O,X
LIJTSZO,O,O,X,X,O
LIJTSOZ,X,O,X,X,O
LIJTZSO,O,X,X,X,O
LIJTZOS,O,X,X,X,O
LIJTOSZ,O,O,X,X,O
LIJTOZS,O,X,X,X,O
LIJSTZO,O,O,O,X,X
LIJSTOZ,X,O,O,X,X
LIJSZTO,O,O,O,X,X
LIJSZOT,O,O,O,X,X
LIJSOTZ,X,O,O,X,X
LIJSOZT,X,O,O,X,X
LIJZTSO,O,X,X,X,X
LIJZTOS,O,X,X,X,X
LIJZSTO,O,O,O,X,X
LIJZSOT,O,O,O,X,X
LIJZOTS,O,X,X,X,X
LIJZOST,O,O,O,X,X
LIJOTSZ,O,X,X,X,O
LIJOTZS,O,X,X,X,O
LIJOSTZ,O,O,O,X,X
LIJOSZT,O,O,O,X,X
LIJOZTS,O,X,X,X,X
LIJOZST,O,X,O,X,X
LISTJZO,X,O,O,X,X
LISTJOZ,X,O,O,X,X
LISTZJO,O,O,X,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,X,O,O,X,X
LISTOZJ,X,O,X,X,X
LISJTZO,O,O,O,X,X
LISJTOZ,X,O,O,X,X
LISJZTO,O,O,O,X,X
LISJZOT,O,O,O,X,X
LISJOTZ,X,O,O,X,X
LISJOZT,X,O,O,X,X
LISZTJO,O,O,X,X,X
LISZTOJ,O,O,X,X,X
LISZJTO,O,O,O,X,X
LISZJOT,O,O,O,X,X
LISZOTJ,O,O,X,X,X
LISZOJT,O,O,O,X,X
LISOTJZ,X,O,O,X,X
LISOTZJ,X,O,X,X,X
LISOJTZ,X,O,O,X,X
LISOJZT,X,O,O,X,X
LISOZTJ,X,O,X,X,X
LISOZJT,X,O,O,X,X
LIZTJSO,O,O,X,O,X
LIZTJOS,O,O,X,O,X
LIZTSJO,O,O,X,O,X
LIZTSOJ,O,O,X,O,X
LIZTOJS,X,O,X,O,X
LIZTOSJ,O,O,X,O,X
LIZJTSO,O,X,X,X,X
LIZJTOS,O,X,X,X,X
LIZJSTO,O,O,O,X,X
LIZJSOT,O,O,O,X,X
LIZJOTS,O,X,X,X,X
LIZJOST,O,O,O,X,X
LIZSTJO,O,O,X,O,X
LIZSTOJ,O,O,X,O,X
LIZSJTO,O,O,X,X,X
LIZSJOT,O,O,X,X,X
LIZSOTJ,O,O,X,O,X
LIZSOJT,O,O,X,X,X
LIZOTJS,O,O,X,O,X
LIZOTSJ,O,O,X,O,X
LIZOJTS,O,X,X,X,X
LIZOJST,O,O,O,X,X
LIZOSTJ,O,O,X,O,X
LIZOSJT,O,O,X,X,X
LIOTJSZ,O,O,X,X,O
LIOTJZS,O,X,X,O,O
LIOTSJZ,X,O,X,X,X
LIOTSZJ,X,O,X,X,X
LIOTZJS,O,X,X,O,X
LIOTZSJ,O,O,X,O,X
LIOJTSZ,O,X,X,X,O
LIOJTZS,O,X,X,X,O
LIOJSTZ,O,O,O,X,X
LIOJSZT,O,O,O,X,X
LIOJZTS,O,X,X,X,X
LIOJZST,O,X,O,X,X
LIOSTJZ,X,O,O,X,X
LIOSTZJ,X,O,X,X,X
LIOSJTZ,O,O,O,X,X
LIOSJZT,O,O,O,X,X
LIOSZTJ,O,O,X,X,X
LIOSZJT,O,O,O,X,X
LIOZTJS,O,O,X,O,X
LIOZTSJ,O,O,X,O,X
LIOZJTS,O,X,X,X,X
LIOZJST,O,O,O,X,X
LIOZSTJ,O,O,X,O,X
LIOZSJT,O,O,X,X,X
LJTISZO,O,O,X,X,O
LJTISOZ,X,O,X,X,O
LJTIZSO,O,X,X,X,O
LJTIZOS,O,X,X,X,O
LJTIOSZ,O,O,X,X,O
LJTIOZS,O,X,X,X,O
LJTSIZO,O,O,X,X,X
LJTSIOZ,X,O,X,X,X
LJTSZIO,O,O,X,X,X
LJTSZOI,O,O,X,X,X
LJTSOIZ,X,O,X,X,X
LJTSOZI,X,O,X,X,X
LJTZISO,O,X,X,X,X
LJTZIOS,O,X,X,X,X
LJTZSIO,O,X,X,X,X
LJTZSOI,O,X,X,X,X
LJTZOIS,O,X,X,X,X
LJTZOSI,O,X,X,X,X
LJTOISZ,O,O,X,X,O
LJTOIZS,O,X,X,X,O
LJTOSIZ,O,O,X,X,X
LJTOSZI,O,O,X,X,X
LJTOZIS,O,X,X,X,X
LJTOZSI,O,X,X,X,X
LJITSZO,O,O,X,X,O
LJITSOZ,X,O,X,X,O
LJITZSO,O,X,X,X,O
LJITZOS,O,X,X,X,O
LJITOSZ,O,O,X,X,O
LJITOZS,O,X,X,X,O
LJISTZO,O,O,O,X,X
LJISTOZ,X,O,O,X,X
LJISZTO,O,O,O,X,X
LJISZOT,O,O,O,X,X
LJISOTZ,X,O,O,X,X
LJISOZT,X,O,O,X,X
LJIZTSO,O,X,X,X,X
LJIZTOS,O,X,X,X,X
LJIZSTO,O,O,O,X,X
LJIZSOT,O,O,O,X,X
LJIZOTS,O,X,X,X,X
LJIZOST,O,O,O,X,X
LJIOTSZ,O,X,X,X,O
LJIOTZS,O,X,X,X,O
LJIOSTZ,O,O,O,X,X
LJIOSZT,O,O,O,X,X
LJIOZTS,O,X,X,X,X
LJIOZST,O,X,O,X,X
LJSTIZO,O,O,O,X,X
LJSTIOZ,X,O,O,X,X
LJSTZIO,O,O,O,X,X
LJSTZOI,O,O,O,X,X
LJSTOIZ,X,O,O,X,X
LJSTOZI,X,O,O,X,X
LJSITZO,O,O,O,X,X
LJSITOZ,X,O,O,X,X
LJSIZTO,O,O,O,X,X
LJSIZOT,O,O,O,X,X
LJSIOTZ,X,O,O,X,X
LJSIOZT,X,O,O,X,X
LJSZTIO,O,O,O,X,X
LJSZTOI,O,O,O,X,X
LJSZITO,O,O,O,X,X
LJSZIOT,O,O,O,X,X
LJSZOTI,O,O,O,X,X
LJSZOIT,O,O,O,X,X
LJSOTIZ,X,O,O,X,X
LJSOTZI,X,O,O,X,X
LJSOITZ,X,O,O,X,X
LJSOIZT,X,O,O,X,X
LJSOZTI,X,O,O,X,X
LJSOZIT,X,O,O,X,X
LJZTISO,O,O,X,X,X
LJZTIOS,O,O,X,X,X
LJZTSIO,O,O,X,X,X
LJZTSOI,O,O,X,X,X
LJZTOIS,O,O,X,X,X
LJZTOSI,O,O,X,X,X
LJZITSO,O,X,X,X,X
LJZITOS,O,X,X,X,X
LJZISTO,O,O,O,X,X
LJZISOT,O,O,O,X,X
LJZIOTS,O,X,X,X,X
LJZIOST,O,O,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,O,O,X,X
LJZSIOT,O,O,O,X,X
LJZSOTI,O,O,O,X,X
LJZSOIT,O,O,O,X,X
LJZOTIS,O,O,X,X,X
LJZOTSI,O,O,X,X,X
LJZOITS,O,X,X,X,X
LJZOIST,O,O,O,X,X
LJZOSTI,O,O,O,X,X
LJZOSIT,O,O,O,X,X
LJOTISZ,O,O,X,X,O
LJOTIZS,O,X,X,X,O
LJOTSIZ,O,O,X,X,X
LJOTSZI,O,O,X,X,X
LJOTZIS,O,X,X,X,X
LJOTZSI,O,X,X,X,X
LJOITSZ,O,X,X,X,O
LJOITZS,O,X,X,X,O
LJOISTZ,O,O,O,X,X
LJOISZT,O,O,O,X,X
LJOIZTS,O,X,X,X,X
LJOIZST,O,X,O,X,X
LJOSTIZ,O,O,O,X,X
LJOSTZI,O,O,O,X,X
LJOSITZ,O,O,O,X,X
LJOSIZT,O,O,O,X,X
LJOSZTI,O,O,O,X,X
LJOSZIT,O,O,O,X,X
LJOZTIS,O,O,X,X,X
LJOZTSI,O,O,X,X,X
LJOZITS,O,X,X,X,X
LJOZIST,O,O,O,X,X
LJOZSTI,O,O,O,X,X
LJOZSIT,O,O,O,X,X
LSTIJZO,X,O,O,X,X
LSTIJOZ,X,O,O,X,X
LSTIZJO,O,O,X,X,X
LSTIZOJ,O,O,X,X,X
LSTIOJZ,X,O,O,X,X
LSTIOZJ,X,O,X,X,X
LSTJIZO,X,O,O,X,X
LSTJIOZ,X,O,O,X,X
LSTJZIO,X,O,O,X,X
LSTJZOI,X,O,O,X,X
LSTJOIZ,X,O,O,X,X
LSTJOZI,X,O,O,X,X
LSTZIJO,O,O,X,X,X
LSTZIOJ,O,O,X,X,X
LSTZJIO,O,O,X,X,X
LSTZJOI,X,O,X,X,X
LSTZOIJ,O,O,X,X,X
LSTZOJI,X,O,X,X,X
LSTOIJZ,X,O,O,X,X
LSTOIZJ,X,O,X,X,X
LSTOJIZ,X,O,O,X,X
LSTOJZI,X,O,O,X,X
LSTOZIJ,X,O,X,X,X
LSTOZJI,X,O,X,X,X
LSITJZO,X,O,O,X,X
LSITJOZ,X,O,O,X,X
LSITZJO,O,O,X,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,X,O,O,X,X
LSITOZJ,X,O,X,X,X
LSIJTZO,O,O,O,X,X
LSIJTOZ,X,O,O,X,X
LSIJZTO,O,O,O,X,X
LSIJZOT,O,O,O,X,X
LSIJOTZ,X,O,O,X,X
LSIJOZT,X,O,O,X,X
LSIZTJO,O,O,X,X,X
LSIZTOJ,O,O,X,X,X
LSIZJTO,O,O,O,X,X
LSIZJOT,O,O,O,X,X
LSIZOTJ,O,O,X,X,X
LSIZOJT,O,O,O,X,X
LSIOTJZ,X,O,O,X,X
LSIOTZJ,X,O,X,X,X
LSIOJTZ,X,O,O,X,X
LSIOJZT,X,O,O,X,X
LSIOZTJ,X,O,X,X,X
LSIOZJT,X,O,O,X,X
LSJTIZO,O,O,O,X,X
LSJTIOZ,X,O,O,X,X
LSJTZIO,O,O,O,X,X
LSJTZOI,O,O,O,X,X
LSJTOIZ,X,O,O,X,X
LSJTOZI,X,O,O,X,X
LSJITZO,O,O,O,X,X
LSJITOZ,X,O,O,X,X
LSJIZTO,O,O,O,X,X
LSJIZOT,O,O,O,X,X
LSJIOTZ,X,O,O,X,X
LSJIOZT,X,O,O,X,X
LSJZTIO,O,O,O,X,X
LSJZTOI,O,O,O,X,X
LSJZITO,O,O,O,X,X
LSJZIOT,O,O,O,X,X
LSJZOTI,O,O,O,X,X
LSJZOIT,O,O,O,X,X
LSJOTIZ,X,O,O,X,X
LSJOTZI,X,O,O,X,X
LSJOITZ,X,O,O,X,X
LSJOIZT,X,O,O,X,X
LSJOZTI,X,O,O,X,X
LSJOZIT,X,O,O,X,X
LSZTIJO,O,O,X,X,X
LSZTIOJ,O,O,X,X,X
LSZTJIO,O,O,X,X,X
LSZTJOI,O,O,X,X,X
LSZTOIJ,O,O,X,X,X
LSZTOJI,X,O,X,X,X
LSZITJO,O,O,X,X,X
LSZITOJ,O,O,X,X,X
LSZIJTO,O,O,O,X,X
LSZIJOT,O,O,O,X,X
LSZIOTJ,O,O,X,X,X
LSZIOJT,O,O,O,X,X
LSZJTIO,O,O,O,X,X
LSZJTOI,O,O,O,X,X
LSZJITO,O,O,O,X,X
LSZJIOT,O,O,O,X,X
LSZJOTI,O,O,O,X,X
LSZJOIT,O,O,O,X,X
LSZOTIJ,O,O,X,X,X
LSZOTJI,X,O,X,X,X
LSZOITJ,O,O,X,X,X
LSZOIJT,O,O,O,X,X
LSZOJTI,O,O,O,X,X
LSZOJIT,O,O,O,X,X
LSOTIJZ,X,O,O,X,X
LSOTIZJ,X,O,X,X,X
LSOTJIZ,X,O,O,X,X
LSOTJZI,X,O,O,X,X
LSOTZIJ,X,O,X,X,X
LSOTZJI,X,O,X,X,X
LSOITJZ,X,O,O,X,X
LSOITZJ,X,O,X,X,X
LSOIJTZ,X,O,O,X,X
LSOIJZT,X,O,O,X,X
LSOIZTJ,X,O,X,X,X
LSOIZJT,X,O,O,X,X
LSOJTIZ,X,O,O,X,X
LSOJTZI,X,O,O,X,X
LSOJITZ,X,O,O,X,X
LSOJIZT,X,O,O,X,X
LSOJZTI,X,O,O,X,X
LSOJZIT,X,O,O,X,X
LSOZTIJ,X,O,X,X,X
LSOZTJI,X,O,X,X,X
LSOZITJ,X,O,X,X,X
LSOZIJT,X,O,O,X,X
LSOZJTI,X,O,O,X,X
LSOZJIT,X,O,O,X,X
LZTIJSO,O,O,X,O,X
LZTIJOS,O,O,X,O,X
LZTISJO,O,O,X,O,X
LZTISOJ,O,O,X,O,X
LZTIOJS,X,O,X,O,X
LZTIOSJ,O,O,X,O,X
LZTJISO,O,O,X,O,X
LZTJIOS,O,O,X,O,X
LZTJSIO,O,O,X,O,X
LZTJSOI,O,O,X,O,X
LZTJOIS,O,O,X,O,X
LZTJOSI,O,O,X,O,X
LZTSIJO,O,O,X,O,X
LZTSIOJ,O,O,X,O,X
LZTSJIO,O,O,X,O,X
LZTSJOI,O,O,X,O,X
LZTSOIJ,O,O,X,O,X
LZTSOJI,X,O,X,O,X
LZTOIJS,X,O,X,O,X
LZTOISJ,O,O,X,O,X
LZTOJIS,X,O,X,O,X
LZTOJSI,X,O,X,O,X
LZTOSIJ,O,O,X,O,X
LZTOSJI,X,O,X,O,X
LZITJSO,O,O,X,O,X
LZITJOS,O,O,X,O,X
LZITSJO,O,O,X,O,X
LZITSOJ,O,O,X,O,X
LZITOJS,X,O,X,O,X
LZITOSJ,O,O,X,O,X
LZIJTSO,O,X,X,X,X
LZIJTOS,O,X,X,X,X
LZIJSTO,O,O,O,X,X
LZIJSOT,O,O,O,X,X
LZIJOTS,O,X,X,X,X
LZIJOST,O,O,O,X,X
LZISTJO,O,O,X,O,X
LZISTOJ,O,O,X,O,X
LZISJTO,O,O,X,X,X
LZISJOT,O,O,X,X,X
LZISOTJ,O,O,X,O,X
LZISOJT,O,O,X,X,X
LZIOTJS,O,O,X,O,X
LZIOTSJ,O,O,X,O,X
LZIOJTS,O,X,X,X,X
LZIOJST,O,O,O,X,X
LZIOSTJ,O,O,X,O,X
LZIOSJT,O,O,X,X,X
LZJTISO,O,O,X,X,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,O,X,X,X
LZJTSOI,O,O,X,X,X
LZJTOIS,O,O,X,X,X
LZJTOSI,O,O,X,X,X
LZJITSO,O,X,X,X,X
LZJITOS,O,X,X,X,X
LZJISTO,O,O,O,X,X
LZJISOT,O,O,O,X,X
LZJIOTS,O,X,X,X,X
LZJIOST,O,O,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,O,O,X,X
LZJSIOT,O,O,O,X,X
LZJSOTI,O,O,O,X,X
LZJSOIT,O,O,O,X,X
LZJOTIS,O,O,X,X,X
LZJOTSI,O,O,X,X,X
LZJOITS,O,X,X,X,X
LZJOIST,O,O,O,X,X
LZJOSTI,O,O,O,X,X
LZJOSIT,O,O,O,X,X
LZSTIJO,O,O,X,O,X
LZSTIOJ,O,O,X,O,X
LZSTJIO,O,O,X,O,X
LZSTJOI,O,O,X,O,X
LZSTOIJ,O,O,X,O,X
LZSTOJI,X,O,X,O,X
LZSITJO,O,O,X,O,X
LZSITOJ,O,O,X,O,X
LZSIJTO,O,O,X,X,X
LZSIJOT,O,O,X,X,X
LZSIOTJ,O,O,X,O,X
LZSIOJT,O,O,X,X,X
LZSJTIO,O,O,X,X,X
LZSJTOI,O,O,X,X,X
LZSJITO,O,O,X,X,X
LZSJIOT,O,O,X,X,X
LZSJOTI,O,O,X,X,X
LZSJOIT,O,O,X,X,X
LZSOTIJ,O,O,X,O,X
LZSOTJI,O,O,X,O,X
LZSOITJ,O,O,X,O,X
LZSOIJT,O,O,X,X,X
LZSOJTI,O,O,X,X,X
LZSOJIT,O,O,X,X,X
LZOTIJS,O,O,X,O,X
LZOTISJ,O,O,X,O,X
LZOTJIS,O,O,X,O,X
LZOTJSI,O,O,X,O,X
LZOTSIJ,O,O,X,O,X
LZOTSJI,O,O,X,O,X
LZOITJS,O,O,X,O,X
LZOITSJ,O,O,X,O,X
LZOIJTS,O,X,X,X,X
LZOIJST,O,O,O,X,X
LZOISTJ,O,O,X,O,X
LZOISJT,O,O,X,X,X
LZOJTIS,O,O,X,X,X
LZOJTSI,O,O,X,X,X
LZOJITS,O,X,X,X,X
LZOJIST,O,O,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,O,O,X,O,X
LZOSTJI,O,O,X,O,X
LZOSITJ,O,O,X,O,X
LZOSIJT,O,O,X,X,X
LZOSJTI,O,O,X,X,X
LZOSJIT,O,O,X,X,X
LOTIJSZ,O,O,X,X,O
LOTIJZS,O,X,X,O,O
LOTISJZ,X,O,X,X,X
LOTISZJ,X,O,X,X,X
LOTIZJS,O,X,X,O,X
LOTIZSJ,O,O,X,O,X
LOTJISZ,O,O,X,X,O
LOTJIZS,O,X,X,O,O
LOTJSIZ,O,O,X,X,X
LOTJSZI,O,O,X,X,X
LOTJZIS,O,X,X,O,X
LOTJZSI,O,X,X,O,X
LOTSIJZ,X,O,X,X,X
LOTSIZJ,X,O,X,X,X
LOTSJIZ,X,O,X,X,X
LOTSJZI,X,O,X,X,X
LOTSZIJ,X,O,X,X,X
LOTSZJI,X,O,X,X,X
LOTZIJS,O,O,X,O,X
LOTZISJ,O,O,X,O,X
LOTZJIS,O,O,X,O,X
LOTZJSI,O,O,X,O,X
LOTZSIJ,O,O,X,O,X
LOTZSJI,O,O,X,O,X
LOITJSZ,O,O,X,X,O
LOITJZS,O,X,X,O,O
LOITSJZ,X,O,X,X,X
LOITSZJ,X,O,X,X,X
LOITZJS,O,X,X,O,X
LOITZSJ,O,O,X,O,X
LOIJTSZ,O,X,X,X,O
LOIJTZS,O,X,X,X,O
LOIJSTZ,O,O,O,X,X
LOIJSZT,O,O,O,X,X
LOIJZTS,O,X,X,X,X
LOIJZST,O,X,O,X,X
LOISTJZ,X,O,O,X,X
LOISTZJ,X,O,X,X,X
LOISJTZ,O,O,O,X,X
LOISJZT,O,O,O,X,X
LOISZTJ,O,O,X,X,X
LOISZJT,O,O,O,X,X
LOIZTJS,O,O,X,O,X
LOIZTSJ,O,O,X,O,X
LOIZJTS,O,X,X,X,X
LOIZJST,O,O,O,X,X
LOIZSTJ,O,O,X,O,X
LOIZSJT,O,O,X,X,X
LOJTISZ,O,O,X,X,O
LOJTIZS,O,X,X,X,O
LOJTSIZ,O,O,X,X,X
LOJTSZI,O,O,X,X,X
LOJTZIS,O,X,X,X,X
LOJTZSI,O,X,X,X,X
LOJITSZ,O,X,X,X,O
LOJITZS,O,X,X,X,O
LOJISTZ,O,O,O,X,X
LOJISZT,O,O,O,X,X
LOJIZTS,O,X,X,X,X
LOJIZST,O,X,O,X,X
LOJSTIZ,O,O,O,X,X
LOJSTZI,O,O,O,X,X
LOJSITZ,O,O,O,X,X
LOJSIZT,O,O,O,X,X
LOJSZTI,O,O,O,X,X
LOJSZIT,O,O,O,X,X
LOJZTIS,O,O,X,X,X
LOJZTSI,O,O,X,X,X
LOJZITS,O,X,X,X,X
LOJZIST,O,O,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,O,O,X,X
LOSTIZJ,X,O,X,X,X
LOSTJIZ,X,O,O,X,X
LOSTJZI,X,O,O,X,X
LOSTZIJ,X,O,X,X,X
LOSTZJI,X,O,X,X,X
LOSITJZ,X,O,O,X,X
LOSITZJ,X,O,X,X,X
LOSIJTZ,O,O,O,X,X
LOSIJZT,O,O,O,X,X
LOSIZTJ,O,O,X,X,X
LOSIZJT,O,O,O,X,X
LOSJTIZ,O,O,O,X,X
LOSJTZI,O,O,O,X,X
LOSJITZ,O,O,O,X,X
LOSJIZT,O,O,O,X,X
LOSJZTI,O,O,O,X,X
LOSJZIT,O,O,O,X,X
LOSZTIJ,O,O,X,X,X
LOSZTJI,O,O,X,X,X
LOSZITJ,O,O,X,X,X
LOSZIJT,O,O,O,X,X
LOSZJTI,O,O,O,X,X
LOSZJIT,O,O,O,X,X
LOZTIJS,O,O,X,O,X
LOZTISJ,O,O,X,O,X
LOZTJIS,O,O,X,O,X
LOZTJSI,O,O,X,O,X
LOZTSIJ,O,O,X,O,X
LOZTSJI,O,O,X,O,X
LOZITJS,O,O,X,O,X
LOZITSJ,O,O,X,O,X
LOZIJTS,O,X,X,X,X
LOZIJST,O,O,O,X,X
LOZISTJ,O,O,X,O,X
LOZISJT,O,O,X,X,X
LOZJTIS,O,O,X,X,X
LOZJTSI,O,O,X,X,X
LOZJITS,O,X,X,X,X
LOZJIST,O,O,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,O,X,O,X
LOZSTJI,O,O,X,O,X
LOZSITJ,O,O,X,O,X
LOZSIJT,O,O,X,X,X
LOZSJTI,O,O,X,X,X
LOZSJIT,O,O,X,X,X
JTILSZO,O,X,X,X,O
JTILSOZ,X,X,X,X,O
JTILZSO,O,X,X,O,O
JTILZOS,O,X,X,O,O
JTILOSZ,O,X,X,X,O
JTILOZS,O,X,X,O,O
JTISLZO,O,X,O,X,O
JTISLOZ,X,O,O,X,O
JTISZLO,O,X,O,O,O
JTISZOL,O,O,O,O,O
JTISOLZ,O,O,O,X,O
JTISOZL,O,O,O,O,O
JTIZLSO,O,X,X,O,O
JTIZLOS,O,X,X,O,O
JTIZSLO,O,X,O,O,O
JTIZSOL,O,X,O,O,O
JTIZOLS,O,X,X,O,O
JTIZOSL,O,X,O,O,O
JTIOLSZ,O,X,X,X,O
JTIOLZS,O,X,X,O,O
JTIOSLZ,O,O,O,X,O
JTIOSZL,O,O,O,O,O
JTIOZLS,O,X,X,O,O
JTIOZSL,O,X,O,O,O
JTLISZO,O,O,X,X,O
JTLISOZ,X,O,X,X,O
JTLIZSO,O,X,X,O,O
JTLIZOS,O,X,X,O,O
JTLIOSZ,O,O,X,X,O
JTLIOZS,O,X,X,O,O
JTLSIZO,O,O,X,X,X
JTLSIOZ,X,O,X,X,X
JTLSZIO,O,O,X,X,X
JTLSZOI,O,O,X,X,X
JTLSOIZ,X,O,X,X,X
JTLSOZI,X,O,X,X,X
JTLZISO,O,X,X,O,X
JTLZIOS,O,X,X,O,X
JTLZSIO,O,X,X,O,X
JTLZSOI,O,X,X,O,X
JTLZOIS,O,X,X,O,X
JTLZOSI,O,X,X,O,X
JTLOISZ,O,O,X,X,O
JTLOIZS,O,X,X,O,O
JTLOSIZ,O,O,X,X,X
JTLOSZI,O,O,X,X,X
JTLOZIS,O,X,X,O,X
JTLOZSI,O,X,X,O,X
JTSILZO,O,X,O,X,O
JTSILOZ,X,O,O,X,O
JTSIZLO,O,X,O,O,O
JTSIZOL,O,O,O,O,O
JTSIOLZ,O,O,O,X,O
JTSIOZL,O,O,O,O,O
JTSLIZO,O,O,O,X,X
JTSLIOZ,X,O,O,X,X
JTSLZIO,O,O,O,X,X
JTSLZOI,O,O,O,X,X
JTSLOIZ,X,O,O,X,X
JTSLOZI,X,O,O,X,X
JTSZILO,O,X,O,O,X
JTSZIOL,O,O,O,O,X
JTSZLIO,O,X,O,O,X
JTSZLOI,O,X,O,O,X
JTSZOIL,O,O,O,O,X
JTSZOLI,O,X,O,O,X
JTSOILZ,O,O,O,X,O
JTSOIZL,O,O,O,O,O
JTSOLIZ,O,O,O,X,X
JTSOLZI,O,O,O,X,X
JTSOZIL,O,O,O,O,X
JTSOZLI,O,X,O,O,X
JTZILSO,O,X,X,O,O
JTZILOS,O,X,X,O,O
JTZISLO,O,X,O,O,O
JTZISOL,O,X,O,O,O
JTZIOLS,O,X,X,O,O
JTZIOSL,O,X,O,O,O
JTZLISO,O,X,X,O,X
JTZLIOS,O,X,X,O,X
JTZLSIO,O,X,X,O,X
JTZLSOI,O,X,X,O,X
JTZLOIS,O,X,X,O,X
JTZLOSI,O,X,X,O,X
JTZSILO,O,X,O,O,X
JTZSIOL,O,X,O,O,X
JTZSLIO,O,X,O,O,X
JTZSLOI,O,X,O,O,X
JTZSOIL,O,X,O,O,X
JTZSOLI,O,X,O,O,X
