sequence,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBfmB6mB0?iBesBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFukB3gB1mB0?iBiqBzrB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBGhBUmBi?nBFqBXsB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFFgB6mB0iBf?qBzlBesB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFXhB0iBzkBa?sBGrBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8Jei/IvhFRhB1nBcpBO?qBXmBzrB
TOJSZIL,O,O,X,O,X,O
TOJSZLI,O,O,X,O,X,O
TOJZILS,O,O,O,O,X,O
TOJZISL,O,O,O,O,X,O
TOJZLIS,O,O,O,O,X,O
TOJZLSI,O,O,O,O,X,O
TOJZSIL,O,O,O,O,X,O
TOJZSLI,O,O,O,O,X,O
TOSILJZ,O,O,X,O,X,X
TOSILZJ,O,O,O,O,X,O
TOSIJLZ,O,O,X,O,X,O
TOSIJZL,O,O,X,O,X,O
TOSIZLJ,O,O,X,O,X,O
TOSIZJL,O,O,O,O,X,O
TOSLIJZ,O,O,X,O,X,X
TOSLIZJ,O,O,O,O,X,O
TOSLJIZ,O,O,X,O,X,O
TOSLJZI,O,O,X,O,X,O
TOSLZIJ,O,O,O,O,X,O
TOSLZJI,O,O,O,O,X,O
TOSJILZ,O,O,X,O,X,O
TOSJIZL,O,O,X,O,X,O
TOSJLIZ,O,O,X,O,X,O
TOSJLZI,O,O,X,O,X,O
TOSJZIL,O,O,X,O,X,O
TOSJZLI,O,O,X,O,X,O
TOSZILJ,O,O,X,O,X,O
TOSZIJL,O,O,O,O,X,O
TOSZLIJ,O,O,X,O,X,O
TOSZLJI,O,O,X,O,X,O
TOSZJIL,O,O,O,O,X,O
TOSZJLI,O,O,O,O,X,O
TOZILJS,O,O,O,X,O,O
TOZILSJ,X,O,O,X,O,O
TOZIJLS,O,O,O,X,X,O
TOZIJSL,O,O,O,X,X,O
TOZISLJ,O,O,X,X,X,O
TOZISJL,O,O,O,X,X,O
TOZLIJS,O,O,O,X,O,O
TOZLISJ,X,O,O,X,O,O
TOZLJIS,O,O,O,X,O,O
TOZLJSI,O,O,O,X,O,O
TOZLSIJ,X,O,O,X,O,O
TOZLSJI,X,O,O,X,X,O
TOZJILS,O,O,O,X,X,O
TOZJISL,O,O,O,X,X,O
TOZJLIS,O,O,O,X,X,O
TOZJLSI,O,O,O,X,X,O
TOZJSIL,O,O,O,X,X,O
TOZJSLI,O,O,O,X,X,O
TOZSILJ,O,O,X,X,X,O
TOZSIJL,O,O,O,X,X,O
TOZSLIJ,O,O,X,X,X,O
TOZSLJI,O,O,X,X,X,O
TOZSJIL,O,O,O,X,X,O
TOZSJLI,O,O,O,X,X,O
ITLJSZO,O,O,X,X,O,X
ITLJSOZ,O,O,X,X,O,X
ITLJZSO,O,O,O,X,O,O
ITLJZOS,O,O,O,X,O,O
ITLJOSZ,O,O,X,X,O,X
ITLJOZS,O,O,O,X,O,X
ITLSJZO,O,O,X,X,O,X
ITLSJOZ,O,O,X,X,O,X
ITLSZJO,O,O,O,X,O,O
ITLSZOJ,O,O,O,X,O,O
ITLSOJZ,O,O,X,X,X,X
ITLSOZJ,O,O,O,X,O,X
ITLZJSO,O,O,O,X,O,O
ITLZJOS,O,O,O,X,O,O
ITLZSJO,X,O,O,X,O,O
ITLZSOJ,X,O,O,X,O,O
ITLZOJS,O,O,O,X,O,O
ITLZOSJ,X,O,O,X,O,O
ITLOJSZ,O,O,X,X,O,X
ITLOJZS,O,O,O,X,O,X
ITLOSJZ,O,O,X,X,X,X
ITLOSZJ,O,O,O,X,O,X
ITLOZJS,O,O,O,X,O,X
ITLOZSJ,X,O,O,X,O,X
ITJLSZO,O,O,X,O,O,X
ITJLSOZ,O,O,X,O,O,X
ITJLZSO,O,O,O,O,O,O
ITJLZOS,O,O,O,O,O,O
ITJLOSZ,O,O,X,O,O,X
ITJLOZS,O,O,O,O,O,X
ITJSLZO,O,X,X,O,X,O
ITJSLOZ,O,X,X,O,X,X
ITJSZLO,O,X,X,O,X,O
ITJSZOL,O,X,X,O,X,O
ITJSOLZ,O,X,X,O,X,X
ITJSOZL,O,X,X,O,X,O
ITJZLSO,O,O,O,O,X,O
ITJZLOS,O,O,O,O,X,O
ITJZSLO,O,X,O,O,X,O
ITJZSOL,O,X,O,O,X,O
ITJZOLS,O,O,O,O,X,O
ITJZOSL,O,O,O,O,X,X
ITJOLSZ,O,O,X,O,O,X
ITJOLZS,O,O,O,O,O,X
ITJOSLZ,O,O,X,O,X,X
ITJOSZL,O,O,X,O,X,X
ITJOZLS,O,O,O,O,X,O
ITJOZSL,O,O,O,O,X,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,X,X,O,X,X
ITSLZJO,O,X,O,O,X,O
ITSLZOJ,O,X,O,X,X,O
ITSLOJZ,O,X,X,O,X,X
ITSLOZJ,O,X,O,O,X,X
ITSJLZO,O,X,X,O,X,O
ITSJLOZ,O,X,X,O,X,X
ITSJZLO,O,X,X,O,X,O
ITSJZOL,O,X,X,O,X,O
ITSJOLZ,O,X,X,O,X,X
ITSJOZL,O,X,X,O,X,O
ITSZLJO,O,X,X,O,X,O
ITSZLOJ,O,X,X,X,X,O
ITSZJLO,O,X,O,O,X,O
ITSZJOL,O,X,O,O,X,O
ITSZOLJ,O,X,X,O,X,O
ITSZOJL,O,X,O,O,X,X
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,O,O,X,X
ITSOJLZ,O,X,X,O,X,X
ITSOJZL,O,X,X,O,X,X
ITSOZLJ,O,X,X,O,X,O
ITSOZJL,O,X,O,O,X,X
ITZLJSO,O,O,O,X,O,O
ITZLJOS,O,O,O,X,O,O
ITZLSJO,X,O,O,X,O,O
ITZLSOJ,X,O,O,X,O,O
ITZLOJS,O,O,O,X,O,O
ITZLOSJ,X,O,O,X,O,O
ITZJLSO,O,O,O,O,X,O
ITZJLOS,O,O,O,O,X,O
ITZJSLO,O,X,O,O,X,O
ITZJSOL,O,X,O,O,X,O
ITZJOLS,O,O,O,O,X,O
ITZJOSL,O,O,O,O,X,X
ITZSLJO,O,X,X,O,X,O
ITZSLOJ,O,X,X,X,X,O
ITZSJLO,O,X,O,O,X,O
ITZSJOL,O,X,O,O,X,O
ITZSOLJ,O,X,X,X,X,O
ITZSOJL,O,X,O,O,X,X
ITZOLJS,O,O,O,X,O,O
ITZOLSJ,X,O,O,X,O,O
ITZOJLS,O,O,O,X,X,O
ITZOJSL,O,O,O,X,X,X
ITZOSLJ,O,O,X,X,X,X
ITZOSJL,O,O,O,X,X,X
ITOLJSZ,O,O,X,O,O,X
ITOLJZS,O,O,O,O,O,X
ITOLSJZ,O,O,X,O,X,X
ITOLSZJ,O,O,O,O,O,X
ITOLZJS,O,O,O,X,O,X
ITOLZSJ,X,O,O,X,O,X
ITOJLSZ,O,O,X,O,O,X
ITOJLZS,O,O,O,O,O,X
ITOJSLZ,O,O,X,O,X,X
ITOJSZL,O,O,X,O,X,X
ITOJZLS,O,O,O,O,X,O
ITOJZSL,O,O,O,O,X,X
ITOSLJZ,O,O,X,O,X,X
ITOSLZJ,O,O,O,O,X,X
ITOSJLZ,O,O,X,O,X,X
ITOSJZL,O,O,X,O,X,X
ITOSZLJ,O,O,X,O,X,O
ITOSZJL,O,O,O,O,X,X
ITOZLJS,O,O,O,X,O,O
ITOZLSJ,X,O,O,X,O,O
ITOZJLS,O,O,O,X,X,O
ITOZJSL,O,O,O,X,X,X
ITOZSLJ,O,O,X,X,X,X
ITOZSJL,O,O,O,X,X,X
ILTJSZO,O,O,X,X,O,X
ILTJSOZ,O,O,X,X,O,X
ILTJZSO,O,O,O,X,O,X
ILTJZOS,O,O,O,X,O,X
ILTJOSZ,O,O,X,X,O,X
ILTJOZS,O,O,O,X,O,X
ILTSJZO,O,O,X,X,O,X
ILTSJOZ,O,O,X,X,O,X
ILTSZJO,O,O,O,X,O,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,O,O,X,O,X
ILTZJSO,O,O,O,X,O,X
ILTZJOS,O,O,O,X,O,X
ILTZSJO,X,O,O,X,O,X
ILTZSOJ,X,O,O,X,O,X
ILTZOJS,O,O,O,X,O,X
ILTZOSJ,X,O,O,X,O,X
ILTOJSZ,O,O,X,X,O,X
ILTOJZS,O,O,O,X,O,X
ILTOSJZ,O,O,X,X,X,X
ILTOSZJ,O,O,O,X,O,X
ILTOZJS,O,O,O,X,O,X
ILTOZSJ,X,O,O,X,O,X
ILJTSZO,O,O,X,O,O,X
ILJTSOZ,O,O,X,O,O,X
ILJTZSO,O,O,O,O,O,X
ILJTZOS,O,O,O,O,O,X
ILJTOSZ,O,O,X,O,O,X
ILJTOZS,O,O,O,O,O,X
ILJSTZO,O,O,X,O,O,X
ILJSTOZ,O,O,X,O,O,X
ILJSZTO,O,O,X,O,O,X
ILJSZOT,O,O,X,O,O,X
ILJSOTZ,O,O,X,O,O,X
ILJSOZT,O,O,X,O,O,X
ILJZTSO,O,O,O,O,O,X
ILJZTOS,O,O,O,O,O,X
ILJZSTO,O,O,O,O,O,X
ILJZSOT,O,O,X,O,O,X
ILJZOTS,X,O,O,O,O,X
ILJZOST,O,O,X,O,O,X
ILJOTSZ,X,O,X,O,O,X
ILJOTZS,X,O,X,O,O,X
ILJOSTZ,O,O,X,O,O,X
ILJOSZT,O,O,X,O,O,X
ILJOZTS,X,O,X,O,O,X
ILJOZST,O,O,X,O,O,X
ILSTJZO,O,O,X,O,O,X
ILSTJOZ,O,O,X,O,O,X
ILSTZJO,O,O,O,O,O,X
ILSTZOJ,O,O,O,X,O,X
ILSTOJZ,O,O,X,O,X,X
ILSTOZJ,O,O,O,O,O,X
ILSJTZO,O,O,X,O,O,X
ILSJTOZ,O,O,X,O,O,X
ILSJZTO,O,O,X,O,O,X
ILSJZOT,O,O,X,O,O,X
ILSJOTZ,O,O,X,O,O,X
ILSJOZT,O,O,X,O,O,X
ILSZTJO,O,O,O,O,O,X
ILSZTOJ,O,O,O,X,O,X
ILSZJTO,O,O,O,O,O,X
ILSZJOT,O,O,X,O,O,X
ILSZOTJ,X,O,X,X,O,X
ILSZOJT,X,O,X,X,O,X
ILSOTJZ,O,O,X,O,X,X
ILSOTZJ,O,O,X,O,O,X
ILSOJTZ,O,O,X,O,O,X
ILSOJZT,O,O,X,O,O,X
ILSOZTJ,X,O,X,O,O,X
ILSOZJT,X,O,X,O,O,X
ILZTJSO,O,O,O,X,O,X
ILZTJOS,O,O,O,X,O,X
ILZTSJO,X,O,O,X,O,X
ILZTSOJ,X,O,O,X,O,X
ILZTOJS,O,O,O,X,O,X
ILZTOSJ,X,O,O,X,O,X
ILZJTSO,O,O,O,O,O,X
ILZJTOS,O,O,O,O,O,X
ILZJSTO,O,O,O,O,O,X
ILZJSOT,O,O,X,O,O,X
ILZJOTS,X,O,O,O,O,X
ILZJOST,O,O,X,O,O,X
ILZSTJO,X,O,O,O,O,X
ILZSTOJ,X,O,O,X,O,X
ILZSJTO,X,O,O,O,O,X
ILZSJOT,X,O,X,O,O,X
ILZSOTJ,X,O,X,X,O,X
ILZSOJT,X,O,X,X,O,X
ILZOTJS,X,O,O,X,O,X
ILZOTSJ,X,O,O,X,O,X
ILZOJTS,X,O,O,X,O,X
ILZOJST,X,O,X,X,O,X
ILZOSTJ,X,O,X,X,O,X
ILZOSJT,X,O,X,X,O,X
ILOTJSZ,X,O,X,O,O,X
ILOTJZS,X,O,O,O,O,X
ILOTSJZ,X,O,X,O,X,X
ILOTSZJ,X,O,O,O,O,X
ILOTZJS,X,O,O,X,O,X
ILOTZSJ,X,O,O,X,O,X
ILOJTSZ,X,O,X,O,O,X
ILOJTZS,X,O,X,O,O,X
ILOJSTZ,X,O,X,O,O,X
ILOJSZT,X,O,X,O,O,X
ILOJZTS,X,O,X,O,O,X
ILOJZST,X,O,X,O,O,X
ILOSTJZ,X,O,X,O,X,X
ILOSTZJ,X,O,X,O,O,X
ILOSJTZ,X,O,X,O,O,X
ILOSJZT,X,O,X,O,O,X
ILOSZTJ,X,O,X,O,O,X
ILOSZJT,X,O,X,O,O,X
ILOZTJS,X,O,O,X,O,X
ILOZTSJ,X,O,O,X,O,X
ILOZJTS,X,O,O,O,O,X
ILOZJST,X,O,X,O,O,X
ILOZSTJ,X,O,X,O,O,X
ILOZSJT,X,O,X,O,O,X
IJTLSZO,O,O,X,O,O,X
IJTLSOZ,O,O,X,O,O,X
IJTLZSO,O,O,O,O,O,O
IJTLZOS,O,O,O,O,O,O
IJTLOSZ,O,O,X,O,O,X
IJTLOZS,O,O,O,O,O,X
IJTSLZO,O,X,X,O,X,O
IJTSLOZ,O,X,X,O,X,X
IJTSZLO,O,X,X,O,X,O
IJTSZOL,O,X,X,O,X,O
IJTSOLZ,O,X,X,O,X,X
IJTSOZL,O,X,X,O,X,O
IJTZLSO,O,O,O,O,X,O
IJTZLOS,O,O,O,O,X,O
IJTZSLO,O,X,O,O,X,O
IJTZSOL,O,X,O,O,X,O
IJTZOLS,O,O,O,O,X,O
IJTZOSL,O,O,O,O,X,X
IJTOLSZ,O,O,X,O,O,X
IJTOLZS,O,O,O,O,O,X
IJTOSLZ,O,O,X,O,X,X
IJTOSZL,O,O,X,O,X,X
IJTOZLS,O,O,O,O,X,O
IJTOZSL,O,O,O,O,X,X
IJLTSZO,O,O,X,O,O,X
IJLTSOZ,O,O,X,O,O,X
IJLTZSO,O,O,O,O,O,X
IJLTZOS,O,O,O,O,O,X
IJLTOSZ,O,O,X,O,O,X
IJLTOZS,O,O,O,O,O,X
IJLSTZO,O,O,X,O,O,X
IJLSTOZ,O,O,X,O,O,X
IJLSZTO,O,O,X,O,O,X
IJLSZOT,O,O,X,O,O,X
IJLSOTZ,O,O,X,O,O,X
IJLSOZT,O,O,X,O,O,X
IJLZTSO,O,O,O,O,O,X
IJLZTOS,O,O,O,O,O,X
IJLZSTO,O,O,O,O,O,X
IJLZSOT,O,O,X,O,O,X
IJLZOTS,X,O,O,O,O,X
IJLZOST,O,O,X,O,O,X
IJLOTSZ,X,O,X,O,O,X
IJLOTZS,X,O,X,O,O,X
IJLOSTZ,O,O,X,O,O,X
IJLOSZT,O,O,X,O,O,X
IJLOZTS,X,O,X,O,O,X
IJLOZST,O,O,X,O,O,X
IJSTLZO,O,X,X,O,X,O
IJSTLOZ,O,X,X,O,X,X
IJSTZLO,O,X,X,O,X,O
IJSTZOL,O,X,X,O,X,O
IJSTOLZ,O,X,X,O,X,X
IJSTOZL,O,X,X,O,X,O
IJSLTZO,O,O,X,O,O,X
IJSLTOZ,O,O,X,O,O,X
IJSLZTO,O,O,X,O,O,X
IJSLZOT,O,O,X,O,O,X
IJSLOTZ,O,O,X,O,O,X
IJSLOZT,O,O,X,O,O,X
IJSZTLO,O,X,X,O,X,O
IJSZTOL,O,X,X,O,X,O
IJSZLTO,O,O,X,O,X,O
IJSZLOT,O,X,X,O,X,X
IJSZOTL,O,O,X,O,X,X
IJSZOLT,O,O,X,O,X,X
IJSOTLZ,O,O,X,O,X,X
IJSOTZL,O,O,X,O,X,X
IJSOLTZ,O,O,X,O,O,X
IJSOLZT,O,O,X,O,O,X
IJSOZTL,O,O,X,O,X,X
IJSOZLT,O,O,X,O,X,X
IJZTLSO,O,O,O,O,X,O
IJZTLOS,O,O,O,O,X,O
IJZTSLO,O,X,O,O,X,O
IJZTSOL,O,X,O,O,X,O
IJZTOLS,O,O,O,O,X,O
IJZTOSL,O,O,O,O,X,X
IJZLTSO,O,O,O,O,O,O
IJZLTOS,O,O,O,O,O,O
IJZLSTO,O,O,O,O,O,O
IJZLSOT,O,O,X,O,O,X
IJZLOTS,X,O,O,O,O,O
IJZLOST,O,O,X,O,O,X
IJZSTLO,O,X,O,O,X,O
IJZSTOL,O,X,O,O,X,O
IJZSLTO,O,O,O,O,X,O
IJZSLOT,O,X,X,O,X,X
IJZSOTL,O,O,X,O,X,X
IJZSOLT,O,O,X,O,X,X
IJZOTLS,O,O,O,O,X,O
IJZOTSL,O,O,O,O,X,O
IJZOLTS,X,O,O,O,O,O
IJZOLST,O,O,X,O,O,X
IJZOSTL,O,O,X,O,X,X
IJZOSLT,O,O,X,O,X,X
IJOTLSZ,O,O,X,O,O,X
IJOTLZS,O,O,X,O,O,O
IJOTSLZ,O,O,X,O,X,O
IJOTSZL,O,O,X,O,X,O
IJOTZLS,O,O,X,O,X,O
IJOTZSL,O,O,X,O,X,O
IJOLTSZ,X,O,X,O,O,X
IJOLTZS,X,O,X,O,O,X
IJOLSTZ,O,O,X,O,O,X
IJOLSZT,O,O,X,O,O,X
IJOLZTS,X,O,X,O,O,X
IJOLZST,O,O,X,O,O,X
IJOSTLZ,O,O,X,O,X,X
IJOSTZL,O,O,X,O,X,X
IJOSLTZ,O,O,X,O,O,X
IJOSLZT,O,O,X,O,O,X
IJOSZTL,O,O,X,O,X,X
IJOSZLT,O,O,X,O,X,X
IJOZTLS,O,O,X,O,X,O
IJOZTSL,O,O,X,O,X,O
IJOZLTS,X,O,X,O,O,O
IJOZLST,O,O,X,O,O,X
IJOZSTL,O,O,X,O,X,X
IJOZSLT,O,O,X,O,X,X
ISTLJZO,O,X,X,O,X,X
ISTLJOZ,O,X,X,O,X,X
ISTLZJO,O,X,O,O,X,O
ISTLZOJ,O,X,O,X,X,O
ISTLOJZ,O,X,X,O,X,X
ISTLOZJ,O,X,O,O,X,X
ISTJLZO,O,X,X,O,X,O
ISTJLOZ,O,X,X,O,X,X
ISTJZLO,O,X,X,O,X,O
ISTJZOL,O,X,X,O,X,O
ISTJOLZ,O,X,X,O,X,X
ISTJOZL,O,X,X,O,X,O
ISTZLJO,O,X,X,O,X,O
ISTZLOJ,O,X,X,X,X,O
ISTZJLO,O,X,O,O,X,O
ISTZJOL,O,X,O,O,X,O
ISTZOLJ,O,X,X,O,X,O
ISTZOJL,O,X,O,O,X,X
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,O,O,X,X
ISTOJLZ,O,X,X,O,X,X
ISTOJZL,O,X,X,O,X,X
ISTOZLJ,O,X,X,O,X,O
ISTOZJL,O,X,O,O,X,X
ISLTJZO,O,O,X,O,O,X
ISLTJOZ,O,O,X,O,O,X
ISLTZJO,O,O,O,O,O,X
ISLTZOJ,O,O,O,X,O,X
ISLTOJZ,O,O,X,O,X,X
ISLTOZJ,O,O,O,O,O,X
ISLJTZO,O,O,X,O,O,X
ISLJTOZ,O,O,X,O,O,X
ISLJZTO,O,O,X,O,O,X
ISLJZOT,O,O,X,O,O,X
ISLJOTZ,O,O,X,O,O,X
ISLJOZT,O,O,X,O,O,X
ISLZTJO,O,O,O,O,O,X
ISLZTOJ,O,O,O,X,O,X
ISLZJTO,O,O,O,O,O,X
ISLZJOT,O,O,X,O,O,X
ISLZOTJ,X,O,X,X,O,X
ISLZOJT,X,O,X,X,O,X
ISLOTJZ,O,O,X,O,X,X
ISLOTZJ,O,O,X,O,O,X
ISLOJTZ,O,O,X,O,O,X
ISLOJZT,O,O,X,O,O,X
ISLOZTJ,X,O,X,O,O,X
ISLOZJT,X,O,X,O,O,X
ISJTLZO,O,X,X,O,X,O
ISJTLOZ,O,X,X,O,X,X
ISJTZLO,O,X,X,O,X,O
ISJTZOL,O,X,X,O,X,O
ISJTOLZ,O,X,X,O,X,X
ISJTOZL,O,X,X,O,X,O
ISJLTZO,O,O,X,O,O,X
ISJLTOZ,O,O,X,O,O,X
ISJLZTO,O,O,X,O,O,X
ISJLZOT,O,O,X,O,O,X
ISJLOTZ,O,O,X,O,O,X
ISJLOZT,O,O,X,O,O,X
ISJZTLO,O,X,X,O,X,O
ISJZTOL,O,X,X,O,X,O
ISJZLTO,O,O,X,O,X,O
ISJZLOT,O,X,X,O,X,X
ISJZOTL,O,O,X,O,X,X
ISJZOLT,O,O,X,O,X,X
ISJOTLZ,O,O,X,O,X,X
ISJOTZL,O,O,X,O,X,X
ISJOLTZ,O,O,X,O,O,X
ISJOLZT,O,O,X,O,O,X
ISJOZTL,O,O,X,O,X,X
ISJOZLT,O,O,X,O,X,X
ISZTLJO,O,X,X,O,X,O
ISZTLOJ,O,X,X,X,X,O
ISZTJLO,O,X,O,O,X,O
ISZTJOL,O,X,O,O,X,O
ISZTOLJ,O,X,X,O,X,O
ISZTOJL,O,X,O,O,X,X
ISZLTJO,O,O,X,O,O,O
ISZLTOJ,O,O,X,X,O,O
ISZLJTO,O,O,X,O,O,X
ISZLJOT,O,X,X,O,O,X
ISZLOTJ,X,X,X,X,O,X
ISZLOJT,X,X,X,X,O,X
ISZJTLO,O,X,O,O,X,O
ISZJTOL,O,X,O,O,X,O
ISZJLTO,O,O,O,O,X,O
ISZJLOT,O,X,X,O,X,X
ISZJOTL,O,O,X,O,X,X
ISZJOLT,O,O,X,O,X,X
ISZOTLJ,X,O,X,O,X,X
ISZOTJL,X,O,X,O,X,X
ISZOLTJ,X,O,X,O,O,X
ISZOLJT,X,O,X,O,O,X
ISZOJTL,X,O,X,O,X,X
ISZOJLT,X,O,X,O,X,X
ISOTLJZ,O,O,X,O,X,X
ISOTLZJ,O,O,X,O,X,X
ISOTJLZ,O,O,X,O,X,X
ISOTJZL,O,O,X,O,X,X
ISOTZLJ,O,O,X,O,X,X
ISOTZJL,O,O,X,O,X,X
ISOLTJZ,O,O,X,O,X,X
ISOLTZJ,O,O,X,O,O,X
ISOLJTZ,O,O,X,O,O,X
ISOLJZT,O,O,X,O,O,X
ISOLZTJ,X,O,X,O,O,X
ISOLZJT,X,O,X,O,O,X
ISOJTLZ,O,O,X,O,X,X
ISOJTZL,O,O,X,O,X,X
ISOJLTZ,O,O,X,O,O,X
ISOJLZT,O,O,X,O,O,X
ISOJZTL,O,O,X,O,X,X
ISOJZLT,O,O,X,O,X,X
ISOZTLJ,X,O,X,O,X,X
ISOZTJL,X,O,X,O,X,X
ISOZLTJ,X,O,X,O,O,X
ISOZLJT,X,O,X,O,O,X
ISOZJTL,X,O,X,O,X,X
ISOZJLT,X,O,X,O,X,X
IZTLJSO,O,O,O,X,O,O
IZTLJOS,O,O,O,X,O,O
IZTLSJO,X,O,O,X,O,O
IZTLSOJ,X,O,O,X,O,O
IZTLOJS,O,O,O,X,O,O
IZTLOSJ,X,O,O,X,O,O
IZTJLSO,O,O,O,O,X,O
IZTJLOS,O,O,O,O,X,O
IZTJSLO,O,X,O,O,X,O
IZTJSOL,O,X,O,O,X,O
IZTJOLS,O,O,O,O,X,O
IZTJOSL,O,O,O,O,X,X
IZTSLJO,O,X,X,O,X,O
IZTSLOJ,O,X,X,X,X,O
IZTSJLO,O,X,O,O,X,O
IZTSJOL,O,X,O,O,X,O
IZTSOLJ,O,X,X,X,X,O
IZTSOJL,O,X,O,O,X,X
IZTOLJS,O,O,O,X,O,O
IZTOLSJ,X,O,O,X,O,O
IZTOJLS,O,O,O,X,X,O
IZTOJSL,O,O,O,X,X,X
IZTOSLJ,O,O,X,X,X,X
IZTOSJL,O,O,O,X,X,X
IZLTJSO,O,O,O,X,O,O
IZLTJOS,O,O,O,X,O,O
IZLTSJO,X,O,O,X,O,O
IZLTSOJ,X,O,O,X,O,O
IZLTOJS,O,O,O,X,O,O
IZLTOSJ,X,O,O,X,O,O
IZLJTSO,O,O,O,O,O,O
IZLJTOS,O,O,O,O,O,O
IZLJSTO,O,O,O,O,O,O
IZLJSOT,O,O,X,O,O,X
IZLJOTS,X,O,O,O,O,O
IZLJOST,O,O,X,O,O,X
IZLSTJO,X,O,O,O,O,O
IZLSTOJ,X,O,O,X,O,O
IZLSJTO,X,O,O,O,O,X
IZLSJOT,X,O,X,O,O,X
IZLSOTJ,X,O,X,X,O,X
IZLSOJT,X,O,X,X,O,X
IZLOTJS,X,O,O,X,O,O
IZLOTSJ,X,O,O,X,O,O
IZLOJTS,X,O,O,X,O,O
IZLOJST,X,O,X,X,O,X
IZLOSTJ,X,O,X,X,O,X
IZLOSJT,X,O,X,X,O,X
IZJTLSO,O,O,O,O,X,O
IZJTLOS,O,O,O,O,X,O
IZJTSLO,O,X,O,O,X,O
IZJTSOL,O,X,O,O,X,O
IZJTOLS,O,O,O,O,X,O
IZJTOSL,O,O,O,O,X,X
IZJLTSO,O,O,O,O,O,O
IZJLTOS,O,O,O,O,O,O
IZJLSTO,O,O,O,O,O,O
IZJLSOT,O,O,X,O,O,X
IZJLOTS,X,O,O,O,O,O
IZJLOST,O,O,X,O,O,X
IZJSTLO,O,X,O,O,X,O
IZJSTOL,O,X,O,O,X,O
IZJSLTO,O,O,O,O,X,O
IZJSLOT,O,X,X,O,X,X
IZJSOTL,O,O,X,O,X,X
IZJSOLT,O,O,X,O,X,X
IZJOTLS,O,O,O,O,X,O
IZJOTSL,O,O,O,O,X,O
IZJOLTS,X,O,O,O,O,O
IZJOLST,O,O,X,O,O,X
IZJOSTL,O,O,X,O,X,X
IZJOSLT,O,O,X,O,X,X
IZSTLJO,O,X,X,O,X,O
IZSTLOJ,O,X,X,X,X,O
IZSTJLO,O,X,O,O,X,O
IZSTJOL,O,X,O,O,X,O
IZSTOLJ,O,X,X,O,X,O
IZSTOJL,O,X,O,O,X,X
IZSLTJO,O,O,X,O,O,O
IZSLTOJ,O,O,X,X,O,O
IZSLJTO,O,O,X,O,O,X
IZSLJOT,O,X,X,O,O,X
IZSLOTJ,X,X,X,X,O,X
IZSLOJT,X,X,X,X,O,X
IZSJTLO,O,X,O,O,X,O
IZSJTOL,O,X,O,O,X,O
IZSJLTO,O,O,O,O,X,O
IZSJLOT,O,X,X,O,X,X
IZSJOTL,O,O,X,O,X,X
IZSJOLT,O,O,X,O,X,X
IZSOTLJ,X,O,X,O,X,X
IZSOTJL,X,O,X,O,X,X
IZSOLTJ,X,O,X,O,O,X
IZSOLJT,X,O,X,O,O,X
IZSOJTL,X,O,X,O,X,X
IZSOJLT,X,O,X,O,X,X
IZOTLJS,O,O,O,X,O,O
IZOTLSJ,X,O,X,X,O,O
IZOTJLS,O,O,O,X,X,O
IZOTJSL,O,O,O,X,X,O
IZOTSLJ,X,O,X,X,X,O
IZOTSJL,O,O,O,X,X,O
IZOLTJS,X,O,X,X,O,O
IZOLTSJ,X,O,X,X,O,O
IZOLJTS,X,O,X,O,O,O
IZOLJST,X,O,X,O,O,X
IZOLSTJ,X,O,X,O,O,X
IZOLSJT,X,O,X,O,O,X
IZOJTLS,O,O,O,O,X,O
IZOJTSL,O,O,O,O,X,O
IZOJLTS,X,O,O,O,O,O
IZOJLST,O,O,X,O,O,X
IZOJSTL,O,O,X,O,X,X
IZOJSLT,O,O,X,O,X,X
IZOSTLJ,X,O,X,O,X,X
IZOSTJL,X,O,X,O,X,X
IZOSLTJ,X,O,X,O,O,X
IZOSLJT,X,O,X,O,O,X
IZOSJTL,X,O,X,O,X,X
IZOSJLT,X,O,X,O,X,X
IOTLJSZ,O,O,X,O,O,X
IOTLJZS,O,O,O,O,O,O
IOTLSJZ,O,O,X,O,X,X
IOTLSZJ,O,O,O,O,O,O
IOTLZJS,O,O,O,X,O,O
IOTLZSJ,X,O,O,X,O,O
IOTJLSZ,O,O,X,O,O,X
IOTJLZS,O,O,O,O,O,O
IOTJSLZ,O,O,X,O,X,O
IOTJSZL,O,O,X,O,X,O
IOTJZLS,O,O,O,O,X,O
IOTJZSL,O,O,O,O,X,O
IOTSLJZ,O,O,X,O,X,X
IOTSLZJ,O,O,O,O,X,O
IOTSJLZ,O,O,X,O,X,O
IOTSJZL,O,O,X,O,X,O
IOTSZLJ,O,O,X,O,X,O
IOTSZJL,O,O,O,O,X,O
