sequence,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB3iBqrBd?tBmmBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gBmiBdsBf?tB6rBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8Jex/IvhFXhBziBSwBm?sBdsB0pB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhF0gB6mB2sBd?tBXsBRvB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRsB8qB+rBN?sBatBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFumB9nBZoBy?wB8qBXqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRsB/pB+rBN?sBatBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeT/IvhFRiB0mBdtBS?vBXsBmqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JeCBJvhFRsB/pBOsBd?tBTrBUqB,v115@GhA8BeA8FeF8DeB8FeA8AeA8JezAJvhFRiB+rBNsBa?tB/pBUqB
TLZOSJI,O,O,X,X,X,X,X,O,X,X
TLOIJSZ,O,X,X,X,X,O,X,X,X,X
TLOIJZS,O,X,X,X,X,O,X,X,X,X
TLOISJZ,O,X,X,X,X,O,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,O,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,O,X,X,X,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X
TLOJSIZ,X,X,X,X,X,O,X,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,O,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X,X,X,X
TLOSJIZ,X,O,X,X,X,O,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,X,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,X,O,X,X
TLOZJIS,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,X,X,X,X,X,X,O,X,X
TLOZSIJ,O,O,X,X,X,X,X,O,X,X
TLOZSJI,O,O,X,X,X,X,X,O,X,X
TJILSZO,O,X,O,X,X,O,X,X,X,O
TJILSOZ,O,X,O,X,X,O,X,X,X,O
TJILZSO,O,X,O,X,X,O,X,X,X,O
TJILZOS,O,X,O,X,X,O,X,X,X,O
TJILOSZ,O,X,O,X,X,O,X,X,X,O
TJILOZS,O,X,O,X,X,O,X,X,X,O
TJISLZO,O,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,X,X,X,X,X
TJISZOL,O,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,X,X,X,X,X,X,X
TJIZLSO,O,X,X,O,X,X,X,X,X,X
TJIZLOS,O,X,X,O,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,O,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,X,O,X,X,X,O
TJIOLZS,O,X,O,X,X,O,X,X,X,O
TJIOSLZ,O,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,O,X,X,O,X,X,X,O
TJLISOZ,X,X,O,X,X,O,X,X,X,O
TJLIZSO,X,X,O,X,X,O,X,X,X,O
TJLIZOS,X,X,O,X,X,O,X,X,X,O
TJLIOSZ,X,X,O,X,X,O,X,X,X,O
TJLIOZS,X,X,O,X,X,O,X,X,X,O
TJLSIZO,X,X,O,X,X,O,X,X,X,O
TJLSIOZ,X,X,O,X,X,O,X,X,X,O
TJLSZIO,X,X,O,X,X,X,X,X,X,O
TJLSZOI,O,X,O,X,X,X,X,X,X,O
TJLSOIZ,X,X,O,X,X,O,X,X,X,O
TJLSOZI,O,X,O,X,X,X,X,X,X,O
TJLZISO,X,X,O,X,X,O,X,X,X,O
TJLZIOS,X,X,O,X,X,O,X,X,X,O
TJLZSIO,X,X,O,X,X,X,X,X,X,O
TJLZSOI,O,X,O,X,X,X,X,X,X,O
TJLZOIS,X,X,O,X,X,O,X,X,X,O
TJLZOSI,O,X,O,X,X,X,X,X,X,O
TJLOISZ,X,X,O,X,X,O,X,X,X,O
TJLOIZS,X,X,O,X,X,O,X,X,X,O
TJLOSIZ,X,X,O,X,X,O,X,X,X,O
TJLOSZI,O,X,O,X,X,X,X,X,X,O
TJLOZIS,X,X,O,X,X,O,X,X,X,O
TJLOZSI,O,X,O,X,X,X,X,X,X,O
TJSILZO,O,O,X,X,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X
TJSLIZO,X,O,X,X,X,X,X,X,X,O
TJSLIOZ,X,O,X,X,X,X,X,X,X,O
TJSLZIO,X,O,X,X,X,X,X,X,X,O
TJSLZOI,O,O,X,X,X,X,X,X,X,O
TJSLOIZ,X,O,X,X,X,X,X,X,X,O
TJSLOZI,O,O,X,X,X,X,X,X,X,O
TJSZILO,O,O,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X
TJSZLIO,X,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,X,X,X,X,X,X,X,O
TJSOLZI,O,O,X,X,X,X,X,X,X,O
TJSOZIL,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X,X,X
TJZILSO,O,X,X,O,X,X,X,X,X,X
TJZILOS,O,X,X,O,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,X,X
TJZISOL,O,X,X,X,X,X,X,X,X,X
TJZIOLS,O,X,X,O,X,X,X,X,X,X
TJZIOSL,O,X,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,O,X,X,X,X,X,O
TJZLIOS,X,X,X,O,X,X,X,X,X,O
TJZLSIO,X,X,X,O,X,X,X,O,X,O
TJZLSOI,O,X,X,O,X,X,X,O,X,O
TJZLOIS,X,X,X,O,X,X,X,X,X,O
TJZLOSI,O,X,X,O,X,X,X,O,X,O
TJZSILO,O,O,X,X,X,X,X,O,X,X
TJZSIOL,O,O,X,X,X,X,X,O,X,X
TJZSLIO,X,O,X,X,X,X,X,O,X,X
TJZSLOI,O,O,X,X,X,X,X,O,X,X
TJZSOIL,O,O,X,X,X,X,X,O,X,X
TJZSOLI,O,O,X,X,X,X,X,O,X,X
TJZOILS,O,X,X,O,X,X,X,X,X,X
TJZOISL,O,X,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,O,X,X,X,X,X,O
TJZOLSI,O,X,X,O,X,X,X,O,X,O
TJZOSIL,O,O,X,X,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,X,O,X,X
TJOILSZ,O,X,O,X,X,O,X,X,X,O
TJOILZS,O,X,O,X,X,O,X,X,X,O
TJOISLZ,O,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,O,X,X,O,X,X,X,O
TJOLIZS,X,X,O,X,X,O,X,X,X,O
TJOLSIZ,X,X,O,X,X,O,X,X,X,O
TJOLSZI,O,X,O,X,X,X,X,X,X,O
TJOLZIS,X,X,O,X,X,O,X,X,X,O
TJOLZSI,O,X,O,X,X,X,X,X,X,O
TJOSILZ,O,O,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,X,O,X,X,X,X,X,X,X,O
TJOSLZI,O,O,X,X,X,X,X,X,X,O
TJOSZIL,O,O,X,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X,X,X
TJOZILS,O,X,X,O,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,O,X,X,X,X,X,O
TJOZLSI,O,X,X,O,X,X,X,O,X,O
TJOZSIL,O,O,X,X,X,X,X,O,X,X
TJOZSLI,O,O,X,X,X,X,X,O,X,X
TSILJZO,O,O,X,X,X,O,X,X,X,X
TSILJOZ,O,O,X,X,X,O,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,O,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X
TSLIJZO,O,O,X,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,O,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X
TSLJIZO,X,O,X,X,X,O,X,X,X,X
TSLJIOZ,X,O,X,X,X,O,X,X,X,X
TSLJZIO,X,O,X,X,X,X,X,X,X,X
TSLJZOI,O,O,X,X,X,X,X,X,X,X
TSLJOIZ,X,O,X,X,X,O,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X,X
TSLZJIO,X,O,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,O,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X
TSLOJIZ,X,O,X,X,X,O,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,X,X,X,X,X,X
TSJIZOL,O,O,X,X,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X,X,X
TSJLIZO,X,O,X,X,X,X,X,X,X,X
TSJLIOZ,X,O,X,X,X,X,X,X,X,X
TSJLZIO,X,O,X,X,X,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,X,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,X,X,X,X
TSJZLIO,X,O,X,X,X,X,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,O,X,X
TSZILOJ,O,O,X,X,X,X,X,O,X,X
TSZIJLO,O,O,X,X,X,X,X,O,X,X
TSZIJOL,O,O,X,X,X,X,X,O,X,X
TSZIOLJ,O,O,X,X,X,X,X,O,X,X
TSZIOJL,O,O,X,X,X,X,X,O,X,X
TSZLIJO,O,O,X,X,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,X,O,X,X
TSZLJIO,X,O,X,X,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,X,X,O,X,X
TSZJILO,O,O,X,X,X,X,X,O,X,X
TSZJIOL,O,O,X,X,X,X,X,O,X,X
TSZJLIO,X,O,X,X,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,X,X,O,X,X
TSZJOIL,O,O,X,X,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,X,X,O,X,X
TSZOILJ,O,O,X,X,X,X,X,O,X,X
TSZOIJL,O,O,X,X,X,X,X,O,X,X
TSZOLIJ,O,O,X,X,X,X,X,O,X,X
TSZOLJI,O,O,X,X,X,X,X,O,X,X
TSZOJIL,O,O,X,X,X,X,X,O,X,X
TSZOJLI,O,O,X,X,X,X,X,O,X,X
TSOILJZ,O,O,X,X,X,O,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X
