sequence,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFzfBfmBenBF?jB0qB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBFjBz?mBimBWwB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFflB0gBenBF?jBzqB6rB,v115@OhA8AeA8AeA8EeC8AeB8CeD8JeZEJvhFWlBzhBFjB8?qBilB3rB
TLIJZOS,O,X,X,X
TLIJOSZ,X,O,O,X
TLIJOZS,O,X,X,X
TLISJZO,X,O,X,X
TLISJOZ,X,O,O,X
TLISZJO,X,O,X,O
TLISZOJ,X,O,X,O
TLISOJZ,X,O,O,X
TLISOZJ,X,O,O,O
TLIZJSO,O,X,X,O
TLIZJOS,O,X,X,X
TLIZSJO,O,X,X,O
TLIZSOJ,O,X,X,O
TLIZOJS,O,X,X,X
TLIZOSJ,O,X,X,X
TLIOJSZ,X,X,O,X
TLIOJZS,O,X,X,X
TLIOSJZ,X,O,O,X
TLIOSZJ,X,O,O,X
TLIOZJS,O,X,X,X
TLIOZSJ,O,X,X,X
TLJISZO,X,O,X,X
TLJISOZ,X,O,O,X
TLJIZSO,O,X,X,O
TLJIZOS,O,X,X,X
TLJIOSZ,X,O,O,X
TLJIOZS,O,X,X,X
TLJSIZO,X,O,X,X
TLJSIOZ,X,O,O,X
TLJSZIO,X,O,X,X
TLJSZOI,X,O,X,X
TLJSOIZ,X,O,O,X
TLJSOZI,X,O,O,X
TLJZISO,O,X,X,O
TLJZIOS,O,X,X,X
TLJZSIO,O,X,X,O
TLJZSOI,O,X,X,O
TLJZOIS,O,X,X,X
TLJZOSI,O,X,X,X
TLJOISZ,X,O,O,X
TLJOIZS,O,X,X,X
TLJOSIZ,X,O,O,X
TLJOSZI,X,O,O,X
TLJOZIS,O,X,X,X
TLJOZSI,O,X,X,X
TLSIJZO,X,O,X,X
TLSIJOZ,X,O,O,X
TLSIZJO,X,O,X,O
TLSIZOJ,X,O,X,O
TLSIOJZ,X,O,O,X
TLSIOZJ,X,O,O,O
TLSJIZO,X,O,X,X
TLSJIOZ,X,O,O,X
TLSJZIO,X,O,X,X
TLSJZOI,X,O,X,X
TLSJOIZ,X,O,O,X
TLSJOZI,X,O,O,X
TLSZIJO,X,O,X,O
TLSZIOJ,X,O,X,O
TLSZJIO,X,O,X,O
TLSZJOI,X,O,X,O
TLSZOIJ,X,O,X,O
TLSZOJI,X,X,X,O
TLSOIJZ,X,O,O,X
TLSOIZJ,X,O,O,O
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,X,O,O,O
TLSOZJI,X,X,O,O
TLZIJSO,O,X,X,O
TLZIJOS,O,X,X,X
TLZISJO,O,X,X,O
TLZISOJ,O,X,X,O
TLZIOJS,O,X,X,X
TLZIOSJ,O,X,X,X
TLZJISO,O,X,X,O
TLZJIOS,O,X,X,X
TLZJSIO,O,X,X,O
TLZJSOI,O,X,X,O
TLZJOIS,O,X,X,X
TLZJOSI,O,X,X,X
TLZSIJO,O,X,X,O
TLZSIOJ,O,X,X,O
TLZSJIO,O,X,X,O
TLZSJOI,O,X,X,O
TLZSOIJ,O,X,X,O
TLZSOJI,O,X,X,O
TLZOIJS,O,X,X,X
TLZOISJ,O,X,X,X
TLZOJIS,O,X,X,X
TLZOJSI,O,X,X,X
TLZOSIJ,O,X,X,X
TLZOSJI,O,X,X,X
TLOIJSZ,X,X,O,X
TLOIJZS,O,X,X,X
TLOISJZ,X,O,O,X
TLOISZJ,X,O,O,X
TLOIZJS,O,X,X,X
TLOIZSJ,O,X,X,X
TLOJISZ,X,X,O,X
TLOJIZS,O,X,X,X
TLOJSIZ,X,X,O,X
TLOJSZI,X,X,O,X
TLOJZIS,O,X,X,X
TLOJZSI,O,X,X,X
TLOSIJZ,X,O,O,X
TLOSIZJ,X,O,O,X
TLOSJIZ,X,O,O,X
TLOSJZI,X,O,O,X
TLOSZIJ,X,O,O,X
TLOSZJI,X,X,O,X
TLOZIJS,O,X,X,X
TLOZISJ,O,X,X,X
TLOZJIS,O,X,X,X
TLOZJSI,O,X,X,X
TLOZSIJ,O,X,X,X
TLOZSJI,O,X,X,X
TJILSZO,X,O,X,X
TJILSOZ,X,O,O,X
TJILZSO,O,X,X,O
TJILZOS,O,X,X,X
TJILOSZ,X,O,O,X
TJILOZS,O,X,X,X
TJISLZO,X,O,X,X
TJISLOZ,X,O,O,X
TJISZLO,O,O,X,O
TJISZOL,O,O,O,O
TJISOLZ,X,O,O,X
TJISOZL,O,O,O,O
TJIZLSO,O,X,X,O
TJIZLOS,O,X,X,X
TJIZSLO,O,O,X,O
TJIZSOL,O,O,O,O
TJIZOLS,O,X,X,X
TJIZOSL,O,O,O,O
TJIOLSZ,X,O,O,X
TJIOLZS,O,X,X,X
TJIOSLZ,X,O,O,X
TJIOSZL,O,O,O,X
TJIOZLS,O,X,X,X
TJIOZSL,O,O,O,O
TJLISZO,X,O,X,X
TJLISOZ,X,O,O,X
TJLIZSO,O,X,X,O
TJLIZOS,O,X,X,X
TJLIOSZ,X,O,O,X
TJLIOZS,O,X,X,X
TJLSIZO,X,O,X,X
TJLSIOZ,X,O,O,X
TJLSZIO,X,O,X,X
TJLSZOI,X,O,X,X
TJLSOIZ,X,O,O,X
TJLSOZI,X,O,O,X
TJLZISO,O,X,X,O
TJLZIOS,O,X,X,X
TJLZSIO,O,X,X,O
TJLZSOI,O,X,X,O
TJLZOIS,O,X,X,X
TJLZOSI,O,X,X,X
TJLOISZ,X,O,O,X
TJLOIZS,O,X,X,X
TJLOSIZ,X,O,O,X
TJLOSZI,X,O,O,X
TJLOZIS,O,X,X,X
TJLOZSI,O,X,X,X
TJSILZO,X,O,X,X
TJSILOZ,X,O,O,X
TJSIZLO,O,O,X,O
TJSIZOL,O,O,O,O
TJSIOLZ,X,O,O,X
TJSIOZL,O,O,O,O
TJSLIZO,X,O,X,X
TJSLIOZ,X,O,O,X
TJSLZIO,X,O,X,X
TJSLZOI,X,O,X,X
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,O,X
TJSZILO,O,O,X,O
TJSZIOL,O,O,O,O
TJSZLIO,O,O,X,O
TJSZLOI,O,O,X,O
TJSZOIL,O,O,O,O
TJSZOLI,O,O,O,O
TJSOILZ,X,O,O,X
TJSOIZL,O,O,O,O
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,O,X
TJSOZIL,O,O,O,O
TJSOZLI,O,O,O,O
TJZILSO,O,X,X,O
TJZILOS,O,X,X,X
TJZISLO,O,O,X,O
TJZISOL,O,O,O,O
TJZIOLS,O,X,X,X
TJZIOSL,O,O,O,O
TJZLISO,O,X,X,O
TJZLIOS,O,X,X,X
TJZLSIO,O,X,X,O
TJZLSOI,O,X,X,O
TJZLOIS,O,X,X,X
TJZLOSI,O,X,X,X
TJZSILO,O,O,X,O
TJZSIOL,O,O,O,O
TJZSLIO,O,O,X,O
TJZSLOI,O,O,X,O
TJZSOIL,O,O,O,O
TJZSOLI,O,O,O,O
TJZOILS,O,X,X,X
TJZOISL,O,O,O,O
TJZOLIS,O,X,X,X
TJZOLSI,O,X,X,X
TJZOSIL,O,O,O,O
TJZOSLI,O,O,O,O
TJOILSZ,X,O,O,X
TJOILZS,O,X,X,X
TJOISLZ,X,O,O,X
TJOISZL,O,O,O,X
TJOIZLS,O,X,X,X
TJOIZSL,O,O,O,O
TJOLISZ,X,O,O,X
TJOLIZS,O,X,X,X
TJOLSIZ,X,O,O,X
TJOLSZI,X,O,O,X
TJOLZIS,O,X,X,X
TJOLZSI,O,X,X,X
TJOSILZ,X,O,O,X
TJOSIZL,O,O,O,X
TJOSLIZ,X,O,O,X
TJOSLZI,X,O,O,X
TJOSZIL,O,O,O,X
TJOSZLI,O,O,O,X
TJOZILS,O,X,X,X
TJOZISL,O,O,O,O
TJOZLIS,O,X,X,X
TJOZLSI,O,X,X,X
TJOZSIL,O,O,O,O
TJOZSLI,O,O,O,O
TSILJZO,X,O,X,X
TSILJOZ,X,O,O,X
TSILZJO,X,O,X,O
TSILZOJ,X,O,X,O
TSILOJZ,X,O,O,X
TSILOZJ,X,O,O,O
TSIJLZO,X,O,X,X
TSIJLOZ,X,O,O,X
TSIJZLO,O,O,X,O
TSIJZOL,O,O,O,O
TSIJOLZ,X,O,O,X
TSIJOZL,O,O,O,O
TSIZLJO,O,O,X,O
TSIZLOJ,O,O,X,O
TSIZJLO,O,O,X,O
TSIZJOL,O,O,O,O
TSIZOLJ,O,O,O,O
TSIZOJL,O,O,O,O
TSIOLJZ,X,O,O,X
TSIOLZJ,X,O,O,O
TSIOJLZ,X,O,O,X
TSIOJZL,O,O,O,O
TSIOZLJ,O,O,O,O
TSIOZJL,O,O,O,O
TSLIJZO,X,O,X,X
TSLIJOZ,X,O,O,X
TSLIZJO,X,O,X,O
TSLIZOJ,X,O,X,O
TSLIOJZ,X,O,O,X
TSLIOZJ,X,O,O,O
TSLJIZO,X,O,X,X
TSLJIOZ,X,O,O,X
TSLJZIO,X,O,X,X
TSLJZOI,X,O,X,X
TSLJOIZ,X,O,O,X
TSLJOZI,X,O,O,X
TSLZIJO,X,O,X,O
TSLZIOJ,X,O,X,O
TSLZJIO,X,O,X,O
TSLZJOI,X,O,X,O
TSLZOIJ,X,O,X,O
TSLZOJI,X,X,X,O
TSLOIJZ,X,O,O,X
TSLOIZJ,X,O,O,O
TSLOJIZ,X,O,O,X
TSLOJZI,X,O,O,X
TSLOZIJ,X,O,O,O
TSLOZJI,X,X,O,O
TSJILZO,X,O,X,X
TSJILOZ,X,O,O,X
TSJIZLO,O,O,X,O
TSJIZOL,O,O,O,O
TSJIOLZ,X,O,O,X
TSJIOZL,O,O,O,O
TSJLIZO,X,O,X,X
TSJLIOZ,X,O,O,X
TSJLZIO,X,O,X,X
TSJLZOI,X,O,X,X
TSJLOIZ,X,O,O,X
TSJLOZI,X,O,O,X
TSJZILO,O,O,X,O
TSJZIOL,O,O,O,O
TSJZLIO,O,O,X,O
TSJZLOI,O,O,X,O
TSJZOIL,O,O,O,O
TSJZOLI,O,O,O,O
TSJOILZ,X,O,O,X
TSJOIZL,O,O,O,O
TSJOLIZ,X,O,O,X
TSJOLZI,X,O,O,X
TSJOZIL,O,O,O,O
TSJOZLI,O,O,O,O
TSZILJO,O,O,X,O
TSZILOJ,O,O,X,O
TSZIJLO,O,O,X,O
TSZIJOL,O,O,O,O
TSZIOLJ,O,O,O,O
TSZIOJL,O,O,O,O
TSZLIJO,O,O,X,O
TSZLIOJ,O,O,X,O
TSZLJIO,O,O,X,O
TSZLJOI,O,O,X,O
TSZLOIJ,O,O,X,O
TSZLOJI,O,X,X,O
TSZJILO,O,O,X,O
TSZJIOL,O,O,O,O
TSZJLIO,O,O,X,O
TSZJLOI,O,O,X,O
TSZJOIL,O,O,O,O
TSZJOLI,O,O,O,O
TSZOILJ,O,O,O,O
TSZOIJL,O,O,O,O
TSZOLIJ,O,O,O,O
TSZOLJI,O,X,O,O
TSZOJIL,O,O,O,O
TSZOJLI,O,O,O,O
TSOILJZ,X,O,O,X
TSOILZJ,X,O,O,O
TSOIJLZ,X,O,O,X
TSOIJZL,O,O,O,O
TSOIZLJ,O,O,O,O
TSOIZJL,O,O,O,O
TSOLIJZ,X,O,O,X
TSOLIZJ,X,O,O,O
TSOLJIZ,X,O,O,X
TSOLJZI,X,O,O,X
TSOLZIJ,X,O,O,O
TSOLZJI,X,X,O,O
TSOJILZ,X,O,O,X
TSOJIZL,O,O,O,O
TSOJLIZ,X,O,O,X
TSOJLZI,X,O,O,X
TSOJZIL,O,O,O,O
TSOJZLI,O,O,O,O
TSOZILJ,O,O,O,O
TSOZIJL,O,O,O,O
TSOZLIJ,O,O,O,O
TSOZLJI,O,X,O,O
TSOZJIL,O,O,O,O
TSOZJLI,O,O,O,O
TZILJSO,O,X,X,O
TZILJOS,O,X,X,X
TZILSJO,O,X,X,O
TZILSOJ,O,X,X,O
TZILOJS,O,X,X,X
TZILOSJ,O,X,X,X
TZIJLSO,O,X,X,O
TZIJLOS,O,X,X,X
TZIJSLO,O,O,X,O
TZIJSOL,O,O,O,O
TZIJOLS,O,X,X,X
TZIJOSL,O,O,O,O
TZISLJO,O,O,X,O
TZISLOJ,O,O,X,O
TZISJLO,O,O,X,O
TZISJOL,O,O,O,O
TZISOLJ,O,O,O,O
TZISOJL,O,O,O,O
TZIOLJS,O,X,X,X
TZIOLSJ,O,X,X,X
TZIOJLS,O,X,X,X
TZIOJSL,O,X,O,O
TZIOSLJ,O,O,O,O
TZIOSJL,O,O,O,O
TZLIJSO,O,X,X,O
TZLIJOS,O,X,X,X
TZLISJO,O,X,X,O
TZLISOJ,O,X,X,O
TZLIOJS,O,X,X,X
TZLIOSJ,O,X,X,X
TZLJISO,O,X,X,O
TZLJIOS,O,X,X,X
TZLJSIO,O,X,X,O
TZLJSOI,O,X,X,O
TZLJOIS,O,X,X,X
TZLJOSI,O,X,X,X
TZLSIJO,O,X,X,O
TZLSIOJ,O,X,X,O
TZLSJIO,O,X,X,O
TZLSJOI,O,X,X,O
TZLSOIJ,O,X,X,O
TZLSOJI,O,X,X,O
TZLOIJS,O,X,X,X
TZLOISJ,O,X,X,X
TZLOJIS,O,X,X,X
TZLOJSI,O,X,X,X
TZLOSIJ,O,X,X,X
TZLOSJI,O,X,X,X
TZJILSO,O,X,X,O
TZJILOS,O,X,X,X
TZJISLO,O,O,X,O
TZJISOL,O,O,O,O
TZJIOLS,O,X,X,X
TZJIOSL,O,O,O,O
TZJLISO,O,X,X,O
TZJLIOS,O,X,X,X
TZJLSIO,O,X,X,O
TZJLSOI,O,X,X,O
TZJLOIS,O,X,X,X
TZJLOSI,O,X,X,X
TZJSILO,O,O,X,O
TZJSIOL,O,O,O,O
TZJSLIO,O,O,X,O
TZJSLOI,O,O,X,O
TZJSOIL,O,O,O,O
TZJSOLI,O,O,O,O
TZJOILS,O,X,X,X
TZJOISL,O,O,O,O
TZJOLIS,O,X,X,X
TZJOLSI,O,X,X,X
TZJOSIL,O,O,O,O
TZJOSLI,O,O,O,O
TZSILJO,O,O,X,O
TZSILOJ,O,O,X,O
TZSIJLO,O,O,X,O
TZSIJOL,O,O,O,O
TZSIOLJ,O,O,O,O
TZSIOJL,O,O,O,O
TZSLIJO,O,O,X,O
TZSLIOJ,O,O,X,O
TZSLJIO,O,O,X,O
TZSLJOI,O,O,X,O
TZSLOIJ,O,O,X,O
TZSLOJI,O,X,X,O
TZSJILO,O,O,X,O
TZSJIOL,O,O,O,O
TZSJLIO,O,O,X,O
TZSJLOI,O,O,X,O
TZSJOIL,O,O,O,O
TZSJOLI,O,O,O,O
TZSOILJ,O,O,O,O
TZSOIJL,O,O,O,O
TZSOLIJ,O,O,O,O
TZSOLJI,O,X,O,O
TZSOJIL,O,O,O,O
TZSOJLI,O,O,O,O
TZOILJS,O,X,X,X
TZOILSJ,O,X,X,X
TZOIJLS,O,X,X,X
TZOIJSL,O,X,O,O
TZOISLJ,O,O,O,O
TZOISJL,O,O,O,O
TZOLIJS,O,X,X,X
TZOLISJ,O,X,X,X
TZOLJIS,O,X,X,X
TZOLJSI,O,X,X,X
TZOLSIJ,O,X,X,X
TZOLSJI,O,X,X,X
TZOJILS,O,X,X,X
TZOJISL,O,X,O,O
TZOJLIS,O,X,X,X
TZOJLSI,O,X,X,X
TZOJSIL,O,X,O,O
TZOJSLI,O,X,O,O
TZOSILJ,O,O,O,O
TZOSIJL,O,O,O,O
TZOSLIJ,O,O,O,O
TZOSLJI,O,X,O,O
TZOSJIL,O,O,O,O
TZOSJLI,O,O,O,O
TOILJSZ,X,X,O,X
TOILJZS,O,X,X,X
TOILSJZ,X,O,O,X
TOILSZJ,X,O,O,X
TOILZJS,O,X,X,X
TOILZSJ,O,X,X,X
TOIJLSZ,X,O,O,X
TOIJLZS,O,X,X,X
TOIJSLZ,X,O,O,X
TOIJSZL,O,O,O,X
TOIJZLS,O,X,X,X
TOIJZSL,O,O,O,O
TOISLJZ,X,O,O,X
TOISLZJ,X,O,O,O
TOISJLZ,X,O,O,X
TOISJZL,O,O,O,O
TOISZLJ,O,O,O,O
TOISZJL,O,O,O,O
TOIZLJS,O,X,X,X
TOIZLSJ,O,X,X,X
TOIZJLS,O,X,X,X
TOIZJSL,O,X,O,O
TOIZSLJ,O,O,O,O
TOIZSJL,O,O,O,O
TOLIJSZ,X,X,O,X
TOLIJZS,O,X,X,X
TOLISJZ,X,O,O,X
TOLISZJ,X,O,O,X
TOLIZJS,O,X,X,X
TOLIZSJ,O,X,X,X
TOLJISZ,X,X,O,X
TOLJIZS,O,X,X,X
TOLJSIZ,X,X,O,X
TOLJSZI,X,X,O,X
TOLJZIS,O,X,X,X
TOLJZSI,O,X,X,X
TOLSIJZ,X,O,O,X
TOLSIZJ,X,O,O,X
TOLSJIZ,X,O,O,X
TOLSJZI,X,O,O,X
TOLSZIJ,X,O,O,X
TOLSZJI,X,X,O,X
TOLZIJS,O,X,X,X
TOLZISJ,O,X,X,X
TOLZJIS,O,X,X,X
TOLZJSI,O,X,X,X
TOLZSIJ,O,X,X,X
TOLZSJI,O,X,X,X
TOJILSZ,X,O,O,X
TOJILZS,O,X,X,X
TOJISLZ,X,O,O,X
TOJISZL,O,O,O,X
TOJIZLS,O,X,X,X
TOJIZSL,O,O,O,O
TOJLISZ,X,O,O,X
TOJLIZS,O,X,X,X
TOJLSIZ,X,O,O,X
TOJLSZI,X,O,O,X
TOJLZIS,O,X,X,X
TOJLZSI,O,X,X,X
TOJSILZ,X,O,O,X
TOJSIZL,O,O,O,X
TOJSLIZ,X,O,O,X
TOJSLZI,X,O,O,X
TOJSZIL,O,O,O,X
TOJSZLI,O,O,O,X
TOJZILS,O,X,X,X
TOJZISL,O,O,O,O
TOJZLIS,O,X,X,X
TOJZLSI,O,X,X,X
TOJZSIL,O,O,O,O
TOJZSLI,O,O,O,O
TOSILJZ,X,O,O,X
TOSILZJ,X,O,O,O
TOSIJLZ,X,O,O,X
TOSIJZL,O,O,O,O
TOSIZLJ,O,O,O,O
TOSIZJL,O,O,O,O
TOSLIJZ,X,O,O,X
TOSLIZJ,X,O,O,O
TOSLJIZ,X,O,O,X
TOSLJZI,X,O,O,X
TOSLZIJ,X,O,O,O
TOSLZJI,X,X,O,O
TOSJILZ,X,O,O,X
TOSJIZL,O,O,O,O
TOSJLIZ,X,O,O,X
TOSJLZI,X,O,O,X
TOSJZIL,O,O,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,O,O,O
TOSZIJL,O,O,O,O
TOSZLIJ,O,O,O,O
TOSZLJI,O,X,O,O
TOSZJIL,O,O,O,O
TOSZJLI,O,O,O,O
TOZILJS,O,X,X,X
TOZILSJ,O,X,X,X
TOZIJLS,O,X,X,X
TOZIJSL,O,X,O,O
TOZISLJ,O,O,O,O
TOZISJL,O,O,O,O
TOZLIJS,O,X,X,X
TOZLISJ,O,X,X,X
TOZLJIS,O,X,X,X
TOZLJSI,O,X,X,X
TOZLSIJ,O,X,X,X
TOZLSJI,O,X,X,X
TOZJILS,O,X,X,X
TOZJISL,O,X,O,O
TOZJLIS,O,X,X,X
TOZJLSI,O,X,X,X
TOZJSIL,O,X,O,O
TOZJSLI,O,X,O,O
TOZSILJ,O,O,O,O
TOZSIJL,O,O,O,O
TOZSLIJ,O,O,O,O
TOZSLJI,O,X,O,O
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,X,O,X,X
ITLJSOZ,X,O,O,X
ITLJZSO,O,X,X,O
ITLJZOS,O,X,X,X
ITLJOSZ,X,O,O,X
ITLJOZS,O,X,X,X
ITLSJZO,X,O,X,X
ITLSJOZ,X,O,O,X
ITLSZJO,X,O,X,O
ITLSZOJ,X,O,X,O
ITLSOJZ,X,O,O,X
ITLSOZJ,X,O,O,O
ITLZJSO,O,X,X,O
ITLZJOS,O,X,X,X
ITLZSJO,O,X,X,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,X,X
ITLZOSJ,O,X,X,X
ITLOJSZ,X,X,O,X
ITLOJZS,O,X,X,X
ITLOSJZ,X,O,O,X
ITLOSZJ,X,O,O,X
ITLOZJS,O,X,X,X
ITLOZSJ,O,X,X,X
ITJLSZO,X,O,X,X
ITJLSOZ,X,O,O,X
ITJLZSO,O,X,X,O
ITJLZOS,O,X,X,X
ITJLOSZ,X,O,O,X
ITJLOZS,O,X,X,X
ITJSLZO,X,O,X,X
ITJSLOZ,X,O,O,X
ITJSZLO,O,O,X,O
ITJSZOL,O,O,O,O
ITJSOLZ,X,O,O,X
ITJSOZL,O,O,O,O
ITJZLSO,O,X,X,O
ITJZLOS,O,X,X,X
ITJZSLO,O,O,X,O
ITJZSOL,O,O,O,O
ITJZOLS,O,X,X,X
ITJZOSL,O,O,O,O
ITJOLSZ,X,O,O,X
ITJOLZS,O,X,X,X
ITJOSLZ,X,O,O,X
ITJOSZL,O,O,O,X
ITJOZLS,O,X,X,X
ITJOZSL,O,O,O,O
ITSLJZO,X,O,X,X
ITSLJOZ,X,O,O,X
ITSLZJO,X,O,X,O
ITSLZOJ,X,O,X,O
ITSLOJZ,X,O,O,X
ITSLOZJ,X,O,O,O
ITSJLZO,X,O,X,X
ITSJLOZ,X,O,O,X
ITSJZLO,O,O,X,O
ITSJZOL,O,O,O,O
ITSJOLZ,X,O,O,X
ITSJOZL,O,O,O,O
ITSZLJO,O,O,X,O
ITSZLOJ,O,O,X,O
ITSZJLO,O,O,X,O
ITSZJOL,O,O,O,O
ITSZOLJ,O,O,O,O
ITSZOJL,O,O,O,O
ITSOLJZ,X,O,O,X
ITSOLZJ,X,O,O,O
ITSOJLZ,X,O,O,X
ITSOJZL,O,O,O,O
ITSOZLJ,O,O,O,O
ITSOZJL,O,O,O,O
ITZLJSO,O,X,X,O
ITZLJOS,O,X,X,X
ITZLSJO,O,X,X,O
ITZLSOJ,O,X,X,O
ITZLOJS,O,X,X,X
ITZLOSJ,O,X,X,X
ITZJLSO,O,X,X,O
ITZJLOS,O,X,X,X
ITZJSLO,O,O,X,O
ITZJSOL,O,O,O,O
ITZJOLS,O,X,X,X
ITZJOSL,O,O,O,O
ITZSLJO,O,O,X,O
ITZSLOJ,O,O,X,O
ITZSJLO,O,O,X,O
ITZSJOL,O,O,O,O
ITZSOLJ,O,O,O,O
ITZSOJL,O,O,O,O
ITZOLJS,O,X,X,X
ITZOLSJ,O,X,X,X
ITZOJLS,O,X,X,X
ITZOJSL,O,X,O,O
ITZOSLJ,O,O,O,O
ITZOSJL,O,O,O,O
ITOLJSZ,X,X,O,X
ITOLJZS,O,X,X,X
ITOLSJZ,X,O,O,X
ITOLSZJ,X,O,O,X
ITOLZJS,O,X,X,X
ITOLZSJ,O,X,X,X
ITOJLSZ,X,O,O,X
ITOJLZS,O,X,X,X
ITOJSLZ,X,O,O,X
ITOJSZL,O,O,O,X
ITOJZLS,O,X,X,X
ITOJZSL,O,O,O,O
ITOSLJZ,X,O,O,X
ITOSLZJ,X,O,O,O
ITOSJLZ,X,O,O,X
ITOSJZL,O,O,O,O
ITOSZLJ,O,O,O,O
ITOSZJL,O,O,O,O
ITOZLJS,O,X,X,X
ITOZLSJ,O,X,X,X
ITOZJLS,O,X,X,X
ITOZJSL,O,X,O,O
ITOZSLJ,O,O,O,O
ITOZSJL,O,O,O,O
ILTJSZO,X,O,X,X
