sequence,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBcmBZoB6?sBXnBWwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhF6lB/mBRiBm?nBVwB0sB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFxgBqqB/rBF?nB8sBmsB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFVmBGiBZoB/?sB0lBSwB,v115@GhA8BeA8FeD8FeD8CeA8BeA8JeT/IvhFlgBWnBZoB8?qB6sB3rB
LTSIOZJ,X,O,O,O,X
LTSJIZO,O,X,X,O,X
LTSJIOZ,O,O,X,O,X
LTSJZIO,O,O,X,O,X
LTSJZOI,O,O,X,O,X
LTSJOIZ,O,O,X,O,X
LTSJOZI,O,O,X,O,X
LTSZIJO,X,O,O,O,X
LTSZIOJ,X,O,O,O,X
LTSZJIO,X,O,O,O,X
LTSZJOI,X,O,O,O,X
LTSZOIJ,X,O,O,O,X
LTSZOJI,X,O,O,O,X
LTSOIJZ,O,O,X,O,X
LTSOIZJ,X,O,O,O,X
LTSOJIZ,O,O,X,O,X
LTSOJZI,O,O,X,O,X
LTSOZIJ,X,O,O,O,X
LTSOZJI,X,O,O,O,X
LTZIJSO,O,O,X,X,X
LTZIJOS,O,O,X,X,X
LTZISJO,X,O,O,O,X
LTZISOJ,X,O,O,O,X
LTZIOJS,O,O,X,X,X
LTZIOSJ,X,O,O,O,X
LTZJISO,O,O,X,X,X
LTZJIOS,O,O,X,X,X
LTZJSIO,O,O,X,X,X
LTZJSOI,O,O,X,X,X
LTZJOIS,O,O,X,X,X
LTZJOSI,O,O,X,X,X
LTZSIJO,X,O,O,O,X
LTZSIOJ,X,O,O,O,X
LTZSJIO,X,O,O,O,X
LTZSJOI,X,O,O,O,X
LTZSOIJ,X,O,O,O,X
LTZSOJI,X,O,O,O,X
LTZOIJS,O,O,X,X,X
LTZOISJ,X,O,O,O,X
LTZOJIS,O,O,X,X,X
LTZOJSI,O,O,X,X,X
LTZOSIJ,X,O,O,O,X
LTZOSJI,X,O,O,O,X
LTOIJSZ,O,X,X,O,X
LTOIJZS,O,X,X,X,X
LTOISJZ,O,O,X,O,X
LTOISZJ,X,O,O,O,X
LTOIZJS,O,O,X,X,X
LTOIZSJ,X,O,O,O,X
LTOJISZ,O,X,X,O,X
LTOJIZS,O,X,X,X,X
LTOJSIZ,O,O,X,O,X
LTOJSZI,O,O,X,O,X
LTOJZIS,O,O,X,X,X
LTOJZSI,O,O,X,X,X
LTOSIJZ,O,O,X,O,X
LTOSIZJ,X,O,O,O,X
LTOSJIZ,O,O,X,O,X
LTOSJZI,O,O,X,O,X
LTOSZIJ,X,O,O,O,X
LTOSZJI,X,O,O,O,X
LTOZIJS,O,O,X,X,X
LTOZISJ,X,O,O,O,X
LTOZJIS,O,O,X,X,X
LTOZJSI,O,O,X,X,X
LTOZSIJ,X,O,O,O,X
LTOZSJI,X,O,O,O,X
LITJSZO,O,X,X,O,X
LITJSOZ,O,X,X,O,X
LITJZSO,O,X,X,X,X
LITJZOS,O,X,X,X,X
LITJOSZ,O,X,X,O,X
LITJOZS,O,X,X,X,X
LITSJZO,O,X,X,O,X
LITSJOZ,O,X,X,O,X
LITSZJO,X,X,O,O,X
LITSZOJ,X,X,O,O,X
LITSOJZ,O,X,X,O,X
LITSOZJ,X,X,O,O,X
LITZJSO,O,X,X,X,X
LITZJOS,O,X,X,X,X
LITZSJO,X,X,O,O,X
LITZSOJ,X,X,O,O,X
LITZOJS,O,X,X,X,X
LITZOSJ,X,X,O,O,X
LITOJSZ,O,X,X,O,X
LITOJZS,O,X,X,X,X
LITOSJZ,O,X,X,O,X
LITOSZJ,X,X,O,O,X
LITOZJS,O,X,X,X,X
LITOZSJ,X,X,O,O,X
LIJTSZO,O,X,X,O,X
LIJTSOZ,O,X,X,O,X
LIJTZSO,O,X,X,X,X
LIJTZOS,O,X,X,X,X
LIJTOSZ,O,X,X,O,X
LIJTOZS,O,X,X,X,X
LIJSTZO,O,X,X,O,X
LIJSTOZ,O,X,X,O,X
LIJSZTO,O,X,O,O,X
LIJSZOT,O,X,O,O,X
LIJSOTZ,O,X,X,O,X
LIJSOZT,O,X,O,O,X
LIJZTSO,O,X,X,X,X
LIJZTOS,O,X,X,X,X
LIJZSTO,O,X,O,X,X
LIJZSOT,O,X,O,X,X
LIJZOTS,O,X,X,X,X
LIJZOST,O,X,O,X,X
LIJOTSZ,O,X,X,O,X
LIJOTZS,O,X,X,X,X
LIJOSTZ,O,X,X,O,X
LIJOSZT,O,X,O,O,X
LIJOZTS,O,X,X,X,X
LIJOZST,O,X,O,X,X
LISTJZO,O,X,X,O,X
LISTJOZ,O,X,X,O,X
LISTZJO,X,X,O,O,X
LISTZOJ,X,X,O,O,X
LISTOJZ,O,X,X,O,X
LISTOZJ,X,X,O,O,X
LISJTZO,O,X,X,O,X
LISJTOZ,O,X,X,O,X
LISJZTO,O,X,O,O,O
LISJZOT,O,X,O,O,O
LISJOTZ,O,X,X,O,X
LISJOZT,O,X,O,O,O
LISZTJO,X,X,O,O,O
LISZTOJ,X,X,O,O,O
LISZJTO,X,X,O,O,O
LISZJOT,X,X,O,O,O
LISZOTJ,X,X,O,O,O
LISZOJT,X,X,O,O,O
LISOTJZ,O,X,X,O,X
LISOTZJ,X,X,O,O,X
LISOJTZ,O,X,X,O,X
LISOJZT,O,X,O,O,O
LISOZTJ,X,X,O,O,O
LISOZJT,X,X,O,O,O
LIZTJSO,O,O,X,X,X
LIZTJOS,O,O,X,X,X
LIZTSJO,X,O,O,O,X
LIZTSOJ,X,O,O,O,X
LIZTOJS,O,O,X,X,X
LIZTOSJ,X,O,O,O,X
LIZJTSO,O,O,X,X,X
LIZJTOS,O,O,X,X,X
LIZJSTO,O,X,O,X,X
LIZJSOT,O,X,O,X,X
LIZJOTS,O,O,X,X,X
LIZJOST,O,X,O,X,X
LIZSTJO,X,X,O,O,X
LIZSTOJ,X,X,O,O,X
LIZSJTO,X,X,O,O,X
LIZSJOT,X,X,O,O,X
LIZSOTJ,X,X,O,O,X
LIZSOJT,X,X,O,O,X
LIZOTJS,O,O,X,X,X
LIZOTSJ,X,O,O,O,X
LIZOJTS,O,O,X,X,X
LIZOJST,O,X,O,X,X
LIZOSTJ,X,X,O,O,X
LIZOSJT,X,X,O,O,X
LIOTJSZ,O,X,X,O,X
LIOTJZS,O,X,X,X,X
LIOTSJZ,O,X,X,O,X
LIOTSZJ,X,X,O,O,X
LIOTZJS,O,X,X,X,X
LIOTZSJ,X,X,O,O,X
LIOJTSZ,O,X,X,O,X
LIOJTZS,O,X,X,X,X
LIOJSTZ,O,X,X,O,X
LIOJSZT,O,X,O,O,X
LIOJZTS,O,X,X,X,X
LIOJZST,O,X,O,X,X
LIOSTJZ,O,X,X,O,X
LIOSTZJ,X,X,O,O,X
LIOSJTZ,O,X,X,O,X
LIOSJZT,O,X,O,O,O
LIOSZTJ,X,X,O,O,O
LIOSZJT,X,X,O,O,O
LIOZTJS,O,O,X,X,X
LIOZTSJ,X,O,O,O,X
LIOZJTS,O,O,X,X,X
LIOZJST,O,X,O,X,X
LIOZSTJ,X,X,O,O,X
LIOZSJT,X,X,O,O,X
LJTISZO,O,X,X,O,X
LJTISOZ,O,X,X,O,X
LJTIZSO,O,X,X,X,X
LJTIZOS,O,X,X,X,X
LJTIOSZ,O,X,X,O,X
LJTIOZS,O,X,X,X,X
LJTSIZO,O,X,X,O,X
LJTSIOZ,O,X,X,O,X
LJTSZIO,O,X,X,O,X
LJTSZOI,O,X,X,O,X
LJTSOIZ,O,X,X,O,X
LJTSOZI,O,X,X,O,X
LJTZISO,O,X,X,X,X
LJTZIOS,O,X,X,X,X
LJTZSIO,O,X,X,X,X
LJTZSOI,O,X,X,X,X
LJTZOIS,O,X,X,X,X
LJTZOSI,O,X,X,X,X
LJTOISZ,O,X,X,O,X
LJTOIZS,O,X,X,X,X
LJTOSIZ,O,X,X,O,X
LJTOSZI,O,X,X,O,X
LJTOZIS,O,X,X,X,X
LJTOZSI,O,X,X,X,X
LJITSZO,O,X,X,O,X
LJITSOZ,O,X,X,O,X
LJITZSO,O,X,X,X,X
LJITZOS,O,X,X,X,X
LJITOSZ,O,X,X,O,X
LJITOZS,O,X,X,X,X
LJISTZO,O,X,X,O,X
LJISTOZ,O,X,X,O,X
LJISZTO,O,X,O,O,X
LJISZOT,O,X,O,O,X
LJISOTZ,O,X,X,O,X
LJISOZT,O,X,O,O,X
LJIZTSO,O,X,X,X,X
LJIZTOS,O,X,X,X,X
LJIZSTO,O,X,O,X,X
LJIZSOT,O,X,O,X,X
LJIZOTS,O,X,X,X,X
LJIZOST,O,X,O,X,X
LJIOTSZ,O,X,X,O,X
LJIOTZS,O,X,X,X,X
LJIOSTZ,O,X,X,O,X
LJIOSZT,O,X,O,O,X
LJIOZTS,O,X,X,X,X
LJIOZST,O,X,O,X,X
LJSTIZO,O,X,X,O,X
LJSTIOZ,O,X,X,O,X
LJSTZIO,O,X,X,O,X
LJSTZOI,O,X,X,O,X
LJSTOIZ,O,X,X,O,X
LJSTOZI,O,X,X,O,X
LJSITZO,O,X,X,O,X
LJSITOZ,O,X,X,O,X
LJSIZTO,O,X,O,O,X
LJSIZOT,O,X,O,O,X
LJSIOTZ,O,X,X,O,X
LJSIOZT,O,X,O,O,X
LJSZTIO,O,X,O,O,X
LJSZTOI,O,X,O,O,X
LJSZITO,O,X,O,O,X
LJSZIOT,O,X,O,O,X
LJSZOTI,O,X,O,O,X
LJSZOIT,O,X,O,O,X
LJSOTIZ,O,X,X,O,X
LJSOTZI,O,X,X,O,X
LJSOITZ,O,X,X,O,X
LJSOIZT,O,X,O,O,X
LJSOZTI,O,X,O,O,X
LJSOZIT,O,X,O,O,X
LJZTISO,O,O,X,X,X
LJZTIOS,O,O,X,X,X
LJZTSIO,O,O,X,X,X
LJZTSOI,O,O,X,X,X
LJZTOIS,O,O,X,X,X
LJZTOSI,O,O,X,X,X
LJZITSO,O,O,X,X,X
LJZITOS,O,O,X,X,X
LJZISTO,O,X,O,X,X
LJZISOT,O,X,O,X,X
LJZIOTS,O,O,X,X,X
LJZIOST,O,X,O,X,X
LJZSTIO,O,O,O,X,X
LJZSTOI,O,O,O,X,X
LJZSITO,O,X,O,X,X
LJZSIOT,O,X,O,X,X
LJZSOTI,O,O,O,X,X
LJZSOIT,O,X,O,X,X
LJZOTIS,O,O,X,X,X
LJZOTSI,O,O,X,X,X
LJZOITS,O,O,X,X,X
LJZOIST,O,X,O,X,X
LJZOSTI,O,O,O,X,X
LJZOSIT,O,X,O,X,X
LJOTISZ,O,X,X,O,X
LJOTIZS,O,X,X,X,X
LJOTSIZ,O,X,X,O,X
LJOTSZI,O,X,X,O,X
LJOTZIS,O,X,X,X,X
LJOTZSI,O,X,X,X,X
LJOITSZ,O,X,X,O,X
LJOITZS,O,X,X,X,X
LJOISTZ,O,X,X,O,X
LJOISZT,O,X,O,O,X
LJOIZTS,O,X,X,X,X
LJOIZST,O,X,O,X,X
LJOSTIZ,O,X,X,O,X
LJOSTZI,O,X,X,O,X
LJOSITZ,O,X,X,O,X
LJOSIZT,O,X,O,O,X
LJOSZTI,O,X,O,O,X
LJOSZIT,O,X,O,O,X
LJOZTIS,O,O,X,X,X
LJOZTSI,O,O,X,X,X
LJOZITS,O,O,X,X,X
LJOZIST,O,X,O,X,X
LJOZSTI,O,O,O,X,X
LJOZSIT,O,X,O,X,X
LSTIJZO,O,X,X,O,X
LSTIJOZ,O,X,X,O,X
LSTIZJO,X,X,O,O,X
LSTIZOJ,X,X,O,O,X
LSTIOJZ,O,X,X,O,X
LSTIOZJ,X,X,O,O,X
LSTJIZO,O,X,X,O,X
LSTJIOZ,O,X,X,O,X
LSTJZIO,O,X,X,O,X
LSTJZOI,O,X,X,O,X
LSTJOIZ,O,X,X,O,X
LSTJOZI,O,X,X,O,X
LSTZIJO,X,X,O,O,X
LSTZIOJ,X,X,O,O,X
LSTZJIO,X,X,O,O,X
LSTZJOI,X,X,O,O,X
LSTZOIJ,X,X,O,O,X
LSTZOJI,X,X,O,O,X
LSTOIJZ,O,X,X,O,X
LSTOIZJ,X,X,O,O,X
LSTOJIZ,O,X,X,O,X
LSTOJZI,O,X,X,O,X
LSTOZIJ,X,X,O,O,X
LSTOZJI,X,X,O,O,X
LSITJZO,O,X,X,O,X
LSITJOZ,O,X,X,O,X
LSITZJO,X,X,O,O,X
LSITZOJ,X,X,O,O,X
LSITOJZ,O,X,X,O,X
LSITOZJ,X,X,O,O,X
LSIJTZO,O,X,X,O,X
LSIJTOZ,O,X,X,O,X
LSIJZTO,O,X,O,O,O
LSIJZOT,O,X,O,O,O
LSIJOTZ,O,X,X,O,X
LSIJOZT,O,X,O,O,O
LSIZTJO,X,X,O,O,O
LSIZTOJ,X,X,O,O,O
LSIZJTO,X,X,O,O,O
LSIZJOT,X,X,O,O,O
LSIZOTJ,X,X,O,O,O
LSIZOJT,X,X,O,O,O
LSIOTJZ,O,X,X,O,X
LSIOTZJ,X,X,O,O,X
LSIOJTZ,O,X,X,O,X
LSIOJZT,O,X,O,O,O
LSIOZTJ,X,X,O,O,O
LSIOZJT,X,X,O,O,O
LSJTIZO,O,X,X,O,X
LSJTIOZ,O,X,X,O,X
LSJTZIO,O,X,X,O,X
LSJTZOI,O,X,X,O,X
LSJTOIZ,O,X,X,O,X
LSJTOZI,O,X,X,O,X
LSJITZO,O,X,X,O,X
LSJITOZ,O,X,X,O,X
LSJIZTO,O,X,O,O,O
LSJIZOT,O,X,O,O,O
LSJIOTZ,O,X,X,O,X
LSJIOZT,O,X,O,O,O
LSJZTIO,O,X,O,O,O
LSJZTOI,O,X,O,O,O
LSJZITO,O,X,O,O,O
LSJZIOT,O,X,O,O,O
LSJZOTI,O,X,O,O,O
LSJZOIT,O,X,O,O,O
LSJOTIZ,O,X,X,O,X
LSJOTZI,O,X,X,O,X
LSJOITZ,O,X,X,O,X
LSJOIZT,O,X,O,O,O
LSJOZTI,O,X,O,O,O
LSJOZIT,O,X,O,O,O
LSZTIJO,X,O,O,O,O
LSZTIOJ,X,O,O,O,O
LSZTJIO,X,O,O,O,O
LSZTJOI,X,O,O,O,O
LSZTOIJ,X,O,O,O,O
LSZTOJI,X,O,O,O,O
LSZITJO,X,X,O,O,O
LSZITOJ,X,X,O,O,O
LSZIJTO,X,X,O,O,O
LSZIJOT,X,X,O,O,O
LSZIOTJ,X,X,O,O,O
LSZIOJT,X,X,O,O,O
LSZJTIO,X,O,O,O,O
LSZJTOI,X,O,O,O,O
LSZJITO,X,X,O,O,O
LSZJIOT,X,X,O,O,O
LSZJOTI,X,O,O,O,O
LSZJOIT,X,X,O,O,O
LSZOTIJ,X,O,O,O,O
LSZOTJI,X,O,O,O,O
LSZOITJ,X,X,O,O,O
LSZOIJT,X,X,O,O,O
LSZOJTI,X,O,O,O,O
LSZOJIT,X,X,O,O,O
LSOTIJZ,O,X,X,O,X
LSOTIZJ,X,X,O,O,X
LSOTJIZ,O,X,X,O,X
LSOTJZI,O,X,X,O,X
LSOTZIJ,X,X,O,O,X
LSOTZJI,X,X,O,O,X
LSOITJZ,O,X,X,O,X
LSOITZJ,X,X,O,O,X
LSOIJTZ,O,X,X,O,X
LSOIJZT,O,X,O,O,O
LSOIZTJ,X,X,O,O,O
LSOIZJT,X,X,O,O,O
LSOJTIZ,O,X,X,O,X
LSOJTZI,O,X,X,O,X
LSOJITZ,O,X,X,O,X
LSOJIZT,O,X,O,O,O
LSOJZTI,O,X,O,O,O
LSOJZIT,O,X,O,O,O
LSOZTIJ,X,O,O,O,O
LSOZTJI,X,O,O,O,O
LSOZITJ,X,X,O,O,O
LSOZIJT,X,X,O,O,O
LSOZJTI,X,O,O,O,O
LSOZJIT,X,X,O,O,O
LZTIJSO,O,O,X,X,X
LZTIJOS,O,O,X,X,X
LZTISJO,X,O,O,O,X
LZTISOJ,X,O,O,O,X
LZTIOJS,O,O,X,X,X
LZTIOSJ,X,O,O,O,X
LZTJISO,O,O,X,X,X
LZTJIOS,O,O,X,X,X
LZTJSIO,O,O,X,X,X
LZTJSOI,O,O,X,X,X
LZTJOIS,O,O,X,X,X
LZTJOSI,O,O,X,X,X
LZTSIJO,X,O,O,O,X
LZTSIOJ,X,O,O,O,X
LZTSJIO,X,O,O,O,X
LZTSJOI,X,O,O,O,X
LZTSOIJ,X,O,O,O,X
LZTSOJI,X,O,O,O,X
LZTOIJS,O,O,X,X,X
LZTOISJ,X,O,O,O,X
LZTOJIS,O,O,X,X,X
LZTOJSI,O,O,X,X,X
LZTOSIJ,X,O,O,O,X
LZTOSJI,X,O,O,O,X
LZITJSO,O,O,X,X,X
LZITJOS,O,O,X,X,X
LZITSJO,X,O,O,O,X
LZITSOJ,X,O,O,O,X
LZITOJS,O,O,X,X,X
LZITOSJ,X,O,O,O,X
LZIJTSO,O,O,X,X,X
LZIJTOS,O,O,X,X,X
LZIJSTO,O,X,O,X,X
LZIJSOT,O,X,O,X,X
LZIJOTS,O,O,X,X,X
LZIJOST,O,X,O,X,X
LZISTJO,X,X,O,O,X
LZISTOJ,X,X,O,O,X
LZISJTO,X,X,O,O,X
LZISJOT,X,X,O,O,X
LZISOTJ,X,X,O,O,X
LZISOJT,X,X,O,O,X
LZIOTJS,O,O,X,X,X
LZIOTSJ,X,O,O,O,X
LZIOJTS,O,O,X,X,X
LZIOJST,O,X,O,X,X
LZIOSTJ,X,X,O,O,X
LZIOSJT,X,X,O,O,X
LZJTISO,O,O,X,X,X
LZJTIOS,O,O,X,X,X
LZJTSIO,O,O,X,X,X
LZJTSOI,O,O,X,X,X
LZJTOIS,O,O,X,X,X
LZJTOSI,O,O,X,X,X
LZJITSO,O,O,X,X,X
LZJITOS,O,O,X,X,X
LZJISTO,O,X,O,X,X
LZJISOT,O,X,O,X,X
LZJIOTS,O,O,X,X,X
LZJIOST,O,X,O,X,X
LZJSTIO,O,O,O,X,X
LZJSTOI,O,O,O,X,X
LZJSITO,O,X,O,X,X
LZJSIOT,O,X,O,X,X
LZJSOTI,O,O,O,X,X
LZJSOIT,O,X,O,X,X
LZJOTIS,O,O,X,X,X
LZJOTSI,O,O,X,X,X
LZJOITS,O,O,X,X,X
LZJOIST,O,X,O,X,X
LZJOSTI,O,O,O,X,X
LZJOSIT,O,X,O,X,X
LZSTIJO,X,O,O,O,X
LZSTIOJ,X,O,O,O,X
LZSTJIO,X,O,O,O,X
LZSTJOI,X,O,O,O,X
LZSTOIJ,X,O,O,O,X
LZSTOJI,X,O,O,O,X
LZSITJO,X,X,O,O,X
LZSITOJ,X,X,O,O,X
LZSIJTO,X,X,O,O,X
LZSIJOT,X,X,O,O,X
LZSIOTJ,X,X,O,O,X
LZSIOJT,X,X,O,O,X
LZSJTIO,X,O,O,O,X
LZSJTOI,X,O,O,O,X
LZSJITO,X,X,O,O,X
LZSJIOT,X,X,O,O,X
LZSJOTI,X,O,O,O,X
LZSJOIT,X,X,O,O,X
LZSOTIJ,X,O,O,O,X
LZSOTJI,X,O,O,O,X
LZSOITJ,X,X,O,O,X
LZSOIJT,X,X,O,O,X
LZSOJTI,X,O,O,O,X
LZSOJIT,X,X,O,O,X
LZOTIJS,O,O,X,X,X
LZOTISJ,X,O,O,O,X
LZOTJIS,O,O,X,X,X
LZOTJSI,O,O,X,X,X
LZOTSIJ,X,O,O,O,X
LZOTSJI,X,O,O,O,X
LZOITJS,O,O,X,X,X
LZOITSJ,X,O,O,O,X
LZOIJTS,O,O,X,X,X
LZOIJST,O,X,O,X,X
LZOISTJ,X,X,O,O,X
LZOISJT,X,X,O,O,X
LZOJTIS,O,O,X,X,X
LZOJTSI,O,O,X,X,X
LZOJITS,O,O,X,X,X
LZOJIST,O,X,O,X,X
LZOJSTI,O,O,O,X,X
LZOJSIT,O,X,O,X,X
LZOSTIJ,X,O,O,O,X
LZOSTJI,X,O,O,O,X
LZOSITJ,X,X,O,O,X
LZOSIJT,X,X,O,O,X
LZOSJTI,X,O,O,O,X
LZOSJIT,X,X,O,O,X
LOTIJSZ,O,X,X,O,X
LOTIJZS,O,X,X,X,X
LOTISJZ,O,O,X,O,X
LOTISZJ,X,O,O,O,X
LOTIZJS,O,O,X,X,X
LOTIZSJ,X,O,O,O,X
LOTJISZ,O,X,X,O,X
LOTJIZS,O,X,X,X,X
LOTJSIZ,O,O,X,O,X
LOTJSZI,O,O,X,O,X
LOTJZIS,O,O,X,X,X
LOTJZSI,O,O,X,X,X
LOTSIJZ,O,O,X,O,X
LOTSIZJ,X,O,O,O,X
LOTSJIZ,O,O,X,O,X
LOTSJZI,O,O,X,O,X
LOTSZIJ,X,O,O,O,X
LOTSZJI,X,O,O,O,X
LOTZIJS,O,O,X,X,X
LOTZISJ,X,O,O,O,X
LOTZJIS,O,O,X,X,X
LOTZJSI,O,O,X,X,X
LOTZSIJ,X,O,O,O,X
LOTZSJI,X,O,O,O,X
LOITJSZ,O,X,X,O,X
LOITJZS,O,X,X,X,X
LOITSJZ,O,X,X,O,X
LOITSZJ,X,X,O,O,X
LOITZJS,O,X,X,X,X
LOITZSJ,X,X,O,O,X
LOIJTSZ,O,X,X,O,X
LOIJTZS,O,X,X,X,X
LOIJSTZ,O,X,X,O,X
LOIJSZT,O,X,O,O,X
LOIJZTS,O,X,X,X,X
LOIJZST,O,X,O,X,X
LOISTJZ,O,X,X,O,X
LOISTZJ,X,X,O,O,X
LOISJTZ,O,X,X,O,X
LOISJZT,O,X,O,O,O
LOISZTJ,X,X,O,O,O
LOISZJT,X,X,O,O,O
LOIZTJS,O,O,X,X,X
LOIZTSJ,X,O,O,O,X
LOIZJTS,O,O,X,X,X
LOIZJST,O,X,O,X,X
LOIZSTJ,X,X,O,O,X
LOIZSJT,X,X,O,O,X
LOJTISZ,O,X,X,O,X
LOJTIZS,O,X,X,X,X
LOJTSIZ,O,X,X,O,X
LOJTSZI,O,X,X,O,X
LOJTZIS,O,X,X,X,X
LOJTZSI,O,X,X,X,X
LOJITSZ,O,X,X,O,X
LOJITZS,O,X,X,X,X
LOJISTZ,O,X,X,O,X
LOJISZT,O,X,O,O,X
LOJIZTS,O,X,X,X,X
LOJIZST,O,X,O,X,X
LOJSTIZ,O,X,X,O,X
LOJSTZI,O,X,X,O,X
LOJSITZ,O,X,X,O,X
LOJSIZT,O,X,O,O,X
LOJSZTI,O,X,O,O,X
LOJSZIT,O,X,O,O,X
LOJZTIS,O,O,X,X,X
LOJZTSI,O,O,X,X,X
LOJZITS,O,O,X,X,X
LOJZIST,O,X,O,X,X
LOJZSTI,O,O,O,X,X
LOJZSIT,O,X,O,X,X
LOSTIJZ,O,X,X,O,X
LOSTIZJ,X,X,O,O,X
LOSTJIZ,O,X,X,O,X
LOSTJZI,O,X,X,O,X
LOSTZIJ,X,X,O,O,X
LOSTZJI,X,X,O,O,X
LOSITJZ,O,X,X,O,X
LOSITZJ,X,X,O,O,X
LOSIJTZ,O,X,X,O,X
LOSIJZT,O,X,O,O,O
LOSIZTJ,X,X,O,O,O
LOSIZJT,X,X,O,O,O
LOSJTIZ,O,X,X,O,X
LOSJTZI,O,X,X,O,X
LOSJITZ,O,X,X,O,X
LOSJIZT,O,X,O,O,O
LOSJZTI,O,X,O,O,O
LOSJZIT,O,X,O,O,O
LOSZTIJ,X,O,O,O,O
LOSZTJI,X,O,O,O,O
LOSZITJ,X,X,O,O,O
LOSZIJT,X,X,O,O,O
LOSZJTI,X,O,O,O,O
LOSZJIT,X,X,O,O,O
LOZTIJS,O,O,X,X,X
LOZTISJ,X,O,O,O,X
LOZTJIS,O,O,X,X,X
LOZTJSI,O,O,X,X,X
LOZTSIJ,X,O,O,O,X
LOZTSJI,X,O,O,O,X
LOZITJS,O,O,X,X,X
LOZITSJ,X,O,O,O,X
LOZIJTS,O,O,X,X,X
LOZIJST,O,X,O,X,X
LOZISTJ,X,X,O,O,X
LOZISJT,X,X,O,O,X
LOZJTIS,O,O,X,X,X
LOZJTSI,O,O,X,X,X
LOZJITS,O,O,X,X,X
LOZJIST,O,X,O,X,X
LOZJSTI,O,O,O,X,X
LOZJSIT,O,X,O,X,X
LOZSTIJ,X,O,O,O,X
LOZSTJI,X,O,O,O,X
LOZSITJ,X,X,O,O,X
LOZSIJT,X,X,O,O,X
LOZSJTI,X,O,O,O,X
LOZSJIT,X,X,O,O,X
JTILSZO,O,X,X,X,X
JTILSOZ,O,X,X,X,X
JTILZSO,O,X,X,X,X
JTILZOS,O,X,X,X,X
JTILOSZ,O,X,X,X,X
JTILOZS,O,X,X,X,X
JTISLZO,O,X,X,X,X
JTISLOZ,O,X,X,X,X
JTISZLO,O,X,X,X,X
JTISZOL,O,X,X,X,X
JTISOLZ,O,X,X,X,X
JTISOZL,O,X,X,X,X
JTIZLSO,O,X,X,X,X
JTIZLOS,O,X,X,X,X
JTIZSLO,O,X,X,X,X
JTIZSOL,O,X,X,X,X
JTIZOLS,O,X,X,X,X
JTIZOSL,O,X,X,X,X
JTIOLSZ,O,X,X,X,X
JTIOLZS,O,X,X,X,X
JTIOSLZ,O,X,X,X,X
JTIOSZL,O,X,X,X,X
JTIOZLS,O,X,X,X,X
JTIOZSL,O,X,X,X,X
JTLISZO,O,X,X,X,X
JTLISOZ,O,X,X,X,X
JTLIZSO,O,X,X,X,X
JTLIZOS,O,X,X,X,X
JTLIOSZ,O,X,X,X,X
JTLIOZS,O,X,X,X,X
JTLSIZO,O,X,X,X,X
JTLSIOZ,O,O,X,X,X
JTLSZIO,O,O,X,X,X
JTLSZOI,O,O,X,X,X
JTLSOIZ,O,O,X,X,X
JTLSOZI,O,O,X,X,X
JTLZISO,O,O,X,X,X
JTLZIOS,O,O,X,X,X
JTLZSIO,O,O,X,X,X
JTLZSOI,O,O,X,X,X
JTLZOIS,O,O,X,X,X
JTLZOSI,O,O,X,X,X
JTLOISZ,O,X,X,X,X
JTLOIZS,O,X,X,X,X
JTLOSIZ,O,O,X,X,X
JTLOSZI,O,O,X,X,X
JTLOZIS,O,O,X,X,X
JTLOZSI,O,O,X,X,X
JTSILZO,O,X,X,X,X
JTSILOZ,O,O,X,X,X
JTSIZLO,O,X,X,X,X
JTSIZOL,O,X,X,X,X
JTSIOLZ,O,O,X,X,X
JTSIOZL,O,X,X,X,X
JTSLIZO,O,X,X,X,X
JTSLIOZ,O,O,X,X,X
JTSLZIO,O,O,X,X,X
JTSLZOI,O,O,X,X,X
JTSLOIZ,O,O,X,X,X
JTSLOZI,O,O,X,X,X
JTSZILO,O,O,X,X,X
JTSZIOL,O,O,X,X,X
JTSZLIO,O,O,X,X,X
JTSZLOI,O,O,X,X,X
JTSZOIL,O,O,X,X,X
JTSZOLI,O,O,X,X,X
JTSOILZ,O,O,X,X,X
JTSOIZL,O,X,X,X,X
JTSOLIZ,O,O,X,X,X
JTSOLZI,O,O,X,X,X
JTSOZIL,O,O,X,X,X
JTSOZLI,O,O,X,X,X
JTZILSO,O,O,X,X,X
JTZILOS,O,O,X,X,X
JTZISLO,O,O,X,X,X
JTZISOL,O,O,X,X,X
JTZIOLS,O,O,X,X,X
JTZIOSL,O,O,X,X,X
JTZLISO,O,O,X,X,X
JTZLIOS,O,O,X,X,X
JTZLSIO,O,O,X,X,X
JTZLSOI,O,O,X,X,X
JTZLOIS,O,O,X,X,X
JTZLOSI,O,O,X,X,X
JTZSILO,O,O,X,X,X
JTZSIOL,O,O,X,X,X
JTZSLIO,O,O,X,X,X
JTZSLOI,O,O,X,X,X
JTZSOIL,O,O,X,X,X
JTZSOLI,O,O,X,X,X
JTZOILS,O,O,X,X,X
JTZOISL,O,O,X,X,X
JTZOLIS,O,O,X,X,X
JTZOLSI,O,O,X,X,X
