sequence,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgBxhB6oBFnB8s?BzpB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBCjBmkB/sBTo?B0pB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBGjBikB/sBUo?BzpB,v115@KhB8HeC8DeA8BeD8AeB8JeXAJvhFxhBTjB2pBFnBCt?B0pB,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgB0hBSoBzpBxs?BlsB,v115@KhB8HeC8DeA8BeD8AeB8JeT/IvhF0hBxiBypBGoBls?BXqB,v115@KhB8HeC8DeA8BeD8AeB8JeFAJvhF0hBTjBmpBxsB/p?B6sB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBSoBTkBeqB/s?BUtB
TSOIJZL,X,X,O,X,X,X,X,X
TSOIZLJ,X,O,O,X,X,X,X,X
TSOIZJL,X,O,O,X,X,X,X,X
TSOLIJZ,X,O,O,O,X,X,X,X
TSOLIZJ,X,O,O,O,X,X,X,X
TSOLJIZ,X,O,O,O,X,X,X,O
TSOLJZI,X,O,O,O,X,X,X,O
TSOLZIJ,X,O,O,O,X,X,X,X
TSOLZJI,X,O,O,O,X,X,X,X
TSOJILZ,X,O,X,O,X,X,X,O
TSOJIZL,X,X,O,X,X,X,X,O
TSOJLIZ,X,O,O,O,X,X,X,O
TSOJLZI,X,O,O,O,X,X,X,O
TSOJZIL,X,O,O,X,X,X,X,O
TSOJZLI,X,O,O,X,X,X,X,O
TSOZILJ,X,O,O,X,X,X,X,X
TSOZIJL,X,O,O,X,X,X,X,X
TSOZLIJ,X,O,O,X,X,X,X,X
TSOZLJI,X,O,O,X,X,X,X,X
TSOZJIL,X,O,O,X,X,X,X,X
TSOZJLI,X,O,O,X,X,X,X,X
TZILJSO,O,X,X,O,X,O,X,X
TZILJOS,O,X,X,O,X,O,X,X
TZILSJO,O,O,X,O,X,X,X,X
TZILSOJ,O,O,X,O,X,X,X,X
TZILOJS,O,X,X,O,O,O,X,X
TZILOSJ,O,X,X,O,O,X,X,X
TZIJLSO,O,O,X,O,X,O,O,X
TZIJLOS,O,X,X,O,X,O,O,X
TZIJSLO,O,O,X,O,X,O,O,X
TZIJSOL,O,O,X,X,X,X,O,X
TZIJOLS,O,X,X,X,X,O,O,X
TZIJOSL,O,O,X,X,X,X,O,X
TZISLJO,O,O,O,O,X,X,X,X
TZISLOJ,O,O,X,O,X,X,X,X
TZISJLO,O,O,O,O,X,X,X,X
TZISJOL,O,O,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,O,X,X,X,X,X
TZIOLJS,O,X,X,X,O,X,X,X
TZIOLSJ,O,X,X,X,O,X,X,X
TZIOJLS,O,X,X,X,O,X,O,X
TZIOJSL,O,X,X,X,O,X,O,X
TZIOSLJ,O,O,X,X,O,X,X,X
TZIOSJL,O,O,X,X,O,X,X,X
TZLIJSO,O,X,X,O,X,O,X,X
TZLIJOS,O,X,X,O,X,O,X,X
TZLISJO,O,O,O,O,X,X,X,X
TZLISOJ,O,O,O,O,X,X,X,X
TZLIOJS,O,X,X,O,X,O,X,X
TZLIOSJ,O,X,X,O,X,X,X,X
TZLJISO,O,O,X,O,X,O,X,X
TZLJIOS,O,X,X,O,X,O,X,X
TZLJSIO,O,O,X,O,X,O,X,X
TZLJSOI,O,O,X,O,X,O,X,X
TZLJOIS,O,X,X,O,X,O,X,X
TZLJOSI,O,X,X,O,X,O,X,X
TZLSIJO,O,O,O,O,X,X,X,X
TZLSIOJ,O,O,O,O,X,X,X,X
TZLSJIO,O,O,O,O,X,O,X,X
TZLSJOI,O,O,O,O,X,O,X,X
TZLSOIJ,O,O,O,O,X,X,X,X
TZLSOJI,O,O,O,O,X,O,X,X
TZLOIJS,O,X,X,O,X,O,X,X
TZLOISJ,O,X,X,O,X,X,X,X
TZLOJIS,O,X,X,O,X,O,X,X
TZLOJSI,O,X,X,O,X,O,X,X
TZLOSIJ,O,X,X,O,X,X,X,X
TZLOSJI,O,X,X,O,X,O,X,X
TZJILSO,O,O,X,O,X,O,O,X
TZJILOS,O,X,X,O,X,O,O,X
