sequence,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgBxhB6oBFnB8s?BzpB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBCjBmkB/sBTo?B0pB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBGjBikB/sBUo?BzpB,v115@KhB8HeC8DeA8BeD8AeB8JeXAJvhFxhBTjB2pBFnBCt?B0pB,v115@KhB8HeC8DeA8BeD8AeB8JeOEJvhFXgB0hBSoBzpBxs?BlsB,v115@KhB8HeC8DeA8BeD8AeB8JeT/IvhF0hBxiBypBGoBls?BXqB,v115@KhB8HeC8DeA8BeD8AeB8JeFAJvhF0hBTjBmpBxsB/p?B6sB,v115@KhB8HeC8DeA8BeD8AeB8Jex/IvhFlhBSoBTkBeqB/s?BUtB
ISTJOZL,X,X,X,X,X,X,X,O
ISTZLJO,O,O,O,O,X,X,X,X
ISTZLOJ,X,O,O,O,X,X,X,X
ISTZJLO,O,O,O,O,X,X,X,X
ISTZJOL,X,O,O,X,X,X,X,X
ISTZOLJ,X,O,O,X,X,X,X,X
ISTZOJL,X,O,O,X,X,X,X,X
ISTOLJZ,X,O,O,O,X,X,X,X
ISTOLZJ,X,O,O,O,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X,X
ISTOJZL,X,X,O,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,X,X
ISTOZJL,X,O,O,X,X,X,X,X
ISLTJZO,O,O,O,O,X,X,X,X
ISLTJOZ,X,O,X,O,X,X,X,O
ISLTZJO,X,O,O,O,X,X,X,X
ISLTZOJ,X,O,O,O,X,X,X,X
ISLTOJZ,X,O,X,O,X,X,X,X
ISLTOZJ,X,O,O,O,X,X,X,X
ISLJTZO,O,O,O,O,X,X,X,X
ISLJTOZ,X,O,X,O,X,X,X,O
ISLJZTO,O,X,O,X,X,X,X,X
ISLJZOT,O,X,O,X,X,X,X,X
ISLJOTZ,X,X,X,O,X,X,X,O
ISLJOZT,O,X,X,X,X,X,X,O
ISLZTJO,O,O,O,X,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X,X
ISLZJTO,O,O,O,X,X,X,X,X
ISLZJOT,O,O,O,X,X,X,X,X
ISLZOTJ,X,O,O,X,O,X,X,X
ISLZOJT,O,X,O,X,O,X,X,X
ISLOTJZ,O,O,X,O,O,X,X,X
ISLOTZJ,X,O,O,O,O,X,X,X
ISLOJTZ,O,O,X,O,O,X,X,X
ISLOJZT,O,X,X,X,O,X,X,X
ISLOZTJ,X,O,O,X,O,X,X,X
ISLOZJT,O,X,O,X,O,X,X,X
ISJTLZO,O,O,X,O,X,X,O,X
ISJTLOZ,X,O,X,O,X,X,O,O
ISJTZLO,O,X,O,O,X,X,O,X
ISJTZOL,X,X,O,X,X,X,O,X
ISJTOLZ,X,O,X,O,X,X,O,O
ISJTOZL,X,X,X,X,X,X,O,O
ISJLTZO,O,O,X,O,X,X,O,X
ISJLTOZ,X,O,X,O,X,X,O,O
ISJLZTO,O,X,X,X,X,X,O,X
ISJLZOT,O,X,X,X,X,X,O,X
ISJLOTZ,X,X,X,O,X,X,O,O
ISJLOZT,O,X,X,X,X,X,O,O
ISJZTLO,O,X,O,O,X,X,O,X
ISJZTOL,O,X,O,X,X,X,O,X
ISJZLTO,O,X,O,X,X,X,O,X
ISJZLOT,O,X,X,X,X,X,O,X
ISJZOTL,X,X,O,X,X,X,O,X
ISJZOLT,O,X,X,X,X,X,O,X
ISJOTLZ,X,O,X,O,X,X,O,O
ISJOTZL,X,X,X,X,X,X,O,O
ISJOLTZ,X,O,X,X,X,X,O,O
ISJOLZT,O,X,X,X,X,X,O,O
ISJOZTL,X,X,X,X,X,X,O,O
ISJOZLT,O,X,X,X,X,X,O,O
ISZTLJO,O,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,O,X,X,X,X
ISZTJLO,O,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X,X
ISZLJTO,O,O,O,X,X,X,X,X
ISZLJOT,O,O,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,O,X,X,X
ISZLOJT,O,O,O,X,O,X,X,X
ISZJTLO,O,O,O,O,X,X,O,X
ISZJTOL,O,O,O,X,X,X,O,X
ISZJLTO,O,O,O,X,X,X,O,X
ISZJLOT,O,O,O,X,X,X,O,X
ISZJOTL,X,O,O,X,X,X,O,X
ISZJOLT,O,O,O,X,X,X,O,X
ISZOTLJ,O,O,O,X,O,X,X,X
ISZOTJL,O,O,O,X,O,X,X,X
ISZOLTJ,O,O,O,X,O,X,X,X
ISZOLJT,O,O,O,X,O,X,X,X
ISZOJTL,O,O,O,X,O,X,O,X
ISZOJLT,O,O,O,X,O,X,O,X
ISOTLJZ,O,O,O,O,O,X,X,X
ISOTLZJ,X,O,O,O,O,X,X,X
ISOTJLZ,O,O,X,O,O,X,X,X
ISOTJZL,O,X,O,X,O,X,X,X
ISOTZLJ,O,O,O,X,O,X,X,X
ISOTZJL,O,O,O,X,O,X,X,X
ISOLTJZ,O,O,O,X,O,X,X,X
ISOLTZJ,X,O,O,X,O,X,X,X
ISOLJTZ,O,O,O,X,O,X,X,X
ISOLJZT,O,X,O,X,O,X,X,X
ISOLZTJ,O,O,O,X,O,X,X,X
ISOLZJT,O,O,O,X,O,X,X,X
ISOJTLZ,O,O,X,O,O,X,O,X
ISOJTZL,O,X,O,X,O,X,O,X
ISOJLTZ,O,O,X,X,O,X,O,X
ISOJLZT,O,X,X,X,O,X,O,X
ISOJZTL,O,X,O,X,O,X,O,X
ISOJZLT,O,X,O,X,O,X,O,X
ISOZTLJ,O,O,O,X,O,X,X,X
ISOZTJL,O,O,O,X,O,X,X,X
ISOZLTJ,O,O,O,X,O,X,X,X
ISOZLJT,O,O,O,X,O,X,X,X
ISOZJTL,O,O,O,X,O,X,O,X
ISOZJLT,O,O,O,X,O,X,O,X
IZTLJSO,O,X,X,O,X,O,X,X
IZTLJOS,O,X,X,O,X,O,X,X
IZTLSJO,O,O,X,O,X,X,X,X
IZTLSOJ,O,O,X,O,X,X,X,X
IZTLOJS,O,X,X,O,O,O,X,X
IZTLOSJ,O,X,X,O,O,X,X,X
IZTJLSO,O,O,X,O,X,O,O,X
IZTJLOS,O,X,X,O,X,O,O,X
IZTJSLO,O,O,X,O,X,O,O,X
IZTJSOL,O,O,X,X,X,X,O,X
IZTJOLS,O,X,X,X,X,O,O,X
IZTJOSL,O,O,X,X,X,X,O,X
IZTSLJO,O,O,O,O,X,X,X,X
IZTSLOJ,O,O,X,O,X,X,X,X
IZTSJLO,O,O,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X,X
IZTSOJL,O,O,O,X,X,X,X,X
IZTOLJS,O,X,X,X,O,X,X,X
IZTOLSJ,O,X,X,X,O,X,X,X
IZTOJLS,O,X,X,X,O,X,O,X
IZTOJSL,O,X,X,X,O,X,O,X
IZTOSLJ,O,O,X,X,O,X,X,X
IZTOSJL,O,O,X,X,O,X,X,X
IZLTJSO,O,X,X,X,X,O,X,X
IZLTJOS,O,X,X,X,X,O,X,X
IZLTSJO,O,O,X,X,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X,X
IZLTOJS,O,X,X,X,O,O,X,X
IZLTOSJ,O,X,X,X,O,X,X,X
IZLJTSO,O,X,X,X,X,X,O,X
IZLJTOS,O,X,X,X,X,X,O,X
IZLJSTO,O,X,X,X,X,X,O,X
IZLJSOT,O,X,X,X,X,X,O,X
IZLJOTS,O,X,X,X,O,O,O,X
IZLJOST,O,X,X,X,O,X,O,X
IZLSTJO,O,O,X,X,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X,X
IZLSJTO,O,O,X,X,X,X,X,X
IZLSJOT,O,X,X,X,X,X,X,X
IZLSOTJ,O,O,X,X,O,X,X,X
IZLSOJT,O,O,X,X,O,X,X,X
IZLOTJS,O,X,X,X,O,O,X,X
IZLOTSJ,O,X,X,X,O,X,X,X
IZLOJTS,O,X,X,X,O,O,O,X
IZLOJST,O,X,X,X,O,X,O,X
IZLOSTJ,O,O,X,X,O,X,X,X
IZLOSJT,O,O,X,X,O,X,X,X
IZJTLSO,O,O,X,O,X,X,O,X
IZJTLOS,O,X,X,O,X,X,O,X
IZJTSLO,O,O,X,O,X,X,O,X
IZJTSOL,O,O,X,X,X,X,O,X
IZJTOLS,O,X,X,X,X,X,O,X
IZJTOSL,O,O,X,X,X,X,O,X
IZJLTSO,O,O,X,X,X,X,O,X
IZJLTOS,O,X,X,X,X,X,O,X
IZJLSTO,O,O,X,X,X,X,O,X
IZJLSOT,O,O,X,X,X,X,O,X
IZJLOTS,O,X,X,X,O,O,O,X
IZJLOST,O,O,X,X,O,X,O,X
IZJSTLO,O,O,X,O,X,X,O,X
IZJSTOL,O,O,X,X,X,X,O,X
IZJSLTO,O,O,X,X,X,X,O,X
IZJSLOT,O,O,X,X,X,X,O,X
IZJSOTL,X,O,X,X,X,X,O,X
IZJSOLT,O,O,X,X,X,X,O,X
IZJOTLS,O,X,X,X,O,X,O,X
IZJOTSL,O,O,X,X,O,X,O,X
IZJOLTS,O,X,X,X,O,X,O,X
IZJOLST,O,O,X,X,O,X,O,X
IZJOSTL,O,O,X,X,O,X,O,X
IZJOSLT,O,O,X,X,O,X,O,X
IZSTLJO,O,O,O,O,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X,X
IZSLJOT,O,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,X,X
IZSLOJT,O,O,X,X,O,X,X,X
IZSJTLO,O,O,O,O,X,X,O,X
IZSJTOL,O,O,O,X,X,X,O,X
IZSJLTO,O,O,O,X,X,X,O,X
IZSJLOT,O,O,X,X,X,X,O,X
IZSJOTL,X,O,O,X,X,X,O,X
IZSJOLT,O,O,X,X,X,X,O,X
IZSOTLJ,O,O,X,X,O,X,X,X
IZSOTJL,O,O,O,X,O,X,X,X
IZSOLTJ,O,O,X,X,O,X,X,X
IZSOLJT,O,O,X,X,O,X,X,X
IZSOJTL,O,O,O,X,O,X,O,X
IZSOJLT,O,O,X,X,O,X,O,X
IZOTLJS,O,X,X,X,O,X,X,X
IZOTLSJ,O,X,X,X,O,X,X,X
IZOTJLS,O,X,X,X,O,X,O,X
IZOTJSL,O,X,X,X,O,X,O,X
IZOTSLJ,O,O,X,X,O,X,X,X
IZOTSJL,O,O,X,X,O,X,X,X
IZOLTJS,O,X,X,X,O,X,X,X
IZOLTSJ,O,X,X,X,O,X,X,X
IZOLJTS,O,X,X,X,O,X,O,X
IZOLJST,O,X,X,X,O,X,O,X
IZOLSTJ,O,O,X,X,O,X,X,X
IZOLSJT,O,O,X,X,O,X,X,X
IZOJTLS,O,X,X,X,O,X,O,X
IZOJTSL,O,O,X,X,O,X,O,X
IZOJLTS,O,X,X,X,O,X,O,X
IZOJLST,O,O,X,X,O,X,O,X
IZOJSTL,O,O,X,X,O,X,O,X
IZOJSLT,O,O,X,X,O,X,O,X
IZOSTLJ,O,O,X,X,O,X,X,X
IZOSTJL,O,O,X,X,O,X,X,X
IZOSLTJ,O,O,X,X,O,X,X,X
IZOSLJT,O,O,X,X,O,X,X,X
IZOSJTL,O,O,X,X,O,X,O,X
IZOSJLT,O,O,X,X,O,X,O,X
IOTLJSZ,O,X,O,O,O,X,X,X
IOTLJZS,X,X,X,O,O,X,X,X
IOTLSJZ,O,X,O,O,O,X,X,X
IOTLSZJ,X,X,O,O,O,X,X,X
IOTLZJS,X,X,X,O,O,X,X,X
IOTLZSJ,X,X,O,O,O,X,X,X
IOTJLSZ,O,X,X,O,O,X,O,X
IOTJLZS,X,X,X,O,O,X,O,X
IOTJSLZ,O,X,X,O,O,X,O,X
IOTJSZL,O,X,O,X,O,X,O,X
IOTJZLS,O,X,X,X,O,X,O,X
IOTJZSL,O,X,X,X,O,X,O,X
IOTSLJZ,O,O,O,O,O,X,X,X
IOTSLZJ,X,O,O,O,O,X,X,X
IOTSJLZ,O,O,X,O,O,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X
IOTSZLJ,O,O,O,X,O,X,X,X
IOTSZJL,O,X,O,X,O,X,X,X
IOTZLJS,O,X,X,X,O,X,X,X
IOTZLSJ,O,X,X,X,O,X,X,X
IOTZJLS,O,X,X,X,O,X,O,X
IOTZJSL,O,X,X,X,O,X,O,X
IOTZSLJ,O,X,O,X,O,X,X,X
IOTZSJL,O,X,O,X,O,X,X,X
IOLTJSZ,O,X,O,X,O,X,X,X
IOLTJZS,X,X,X,X,O,X,X,X
IOLTSJZ,O,X,O,X,O,X,X,X
IOLTSZJ,X,X,O,X,O,X,X,X
IOLTZJS,X,X,X,X,O,X,X,X
IOLTZSJ,X,X,O,X,O,X,X,X
IOLJTSZ,O,X,O,X,O,X,O,X
IOLJTZS,X,X,X,X,O,X,O,X
IOLJSTZ,O,X,O,X,O,X,O,X
IOLJSZT,O,X,O,X,O,X,O,X
IOLJZTS,O,X,X,X,O,X,O,X
IOLJZST,O,X,X,X,O,X,O,X
IOLSTJZ,O,O,O,X,O,X,X,X
IOLSTZJ,X,O,O,X,O,X,X,X
IOLSJTZ,O,O,O,X,O,X,X,X
IOLSJZT,O,X,O,X,O,X,X,X
IOLSZTJ,O,O,O,X,O,X,X,X
IOLSZJT,O,X,O,X,O,X,X,X
IOLZTJS,O,X,X,X,O,X,X,X
IOLZTSJ,O,X,O,X,O,X,X,X
IOLZJTS,O,X,X,X,O,X,O,X
IOLZJST,O,X,X,X,O,X,O,X
IOLZSTJ,O,X,O,X,O,X,X,X
IOLZSJT,O,X,O,X,O,X,X,X
IOJTLSZ,O,X,X,O,O,X,O,X
IOJTLZS,X,X,X,O,O,X,O,X
IOJTSLZ,O,X,X,O,O,X,O,X
IOJTSZL,O,X,O,X,O,X,O,X
IOJTZLS,O,X,X,X,O,X,O,X
IOJTZSL,O,X,X,X,O,X,O,X
IOJLTSZ,O,X,X,X,O,X,O,X
IOJLTZS,X,X,X,X,O,X,O,X
IOJLSTZ,O,X,X,X,O,X,O,X
IOJLSZT,O,X,X,X,O,X,O,X
IOJLZTS,O,X,X,X,O,X,O,X
IOJLZST,O,X,X,X,O,X,O,X
IOJSTLZ,O,O,X,O,O,X,O,X
IOJSTZL,O,X,O,X,O,X,O,X
IOJSLTZ,O,O,X,X,O,X,O,X
IOJSLZT,O,X,X,X,O,X,O,X
IOJSZTL,O,X,O,X,O,X,O,X
IOJSZLT,O,X,O,X,O,X,O,X
IOJZTLS,O,X,X,X,O,X,O,X
IOJZTSL,O,X,X,X,O,X,O,X
IOJZLTS,O,X,X,X,O,X,O,X
IOJZLST,O,X,X,X,O,X,O,X
IOJZSTL,O,X,X,X,O,X,O,X
IOJZSLT,O,X,X,X,O,X,O,X
IOSTLJZ,O,O,O,O,O,X,X,X
IOSTLZJ,X,O,O,O,O,X,X,X
IOSTJLZ,O,O,X,O,O,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X
IOSTZLJ,O,O,O,X,O,X,X,X
IOSTZJL,O,O,O,X,O,X,X,X
IOSLTJZ,O,O,O,X,O,X,X,X
IOSLTZJ,X,O,O,X,O,X,X,X
IOSLJTZ,O,O,O,X,O,X,X,X
IOSLJZT,O,X,O,X,O,X,X,X
IOSLZTJ,O,O,O,X,O,X,X,X
IOSLZJT,O,O,O,X,O,X,X,X
IOSJTLZ,O,O,X,O,O,X,O,X
IOSJTZL,O,X,O,X,O,X,O,X
IOSJLTZ,O,O,X,X,O,X,O,X
IOSJLZT,O,X,X,X,O,X,O,X
IOSJZTL,O,X,O,X,O,X,O,X
IOSJZLT,O,X,O,X,O,X,O,X
IOSZTLJ,O,O,O,X,O,X,X,X
IOSZTJL,O,O,O,X,O,X,X,X
IOSZLTJ,O,O,O,X,O,X,X,X
IOSZLJT,O,O,O,X,O,X,X,X
IOSZJTL,O,O,O,X,O,X,O,X
IOSZJLT,O,O,O,X,O,X,O,X
IOZTLJS,O,X,X,X,O,X,X,X
IOZTLSJ,O,X,X,X,O,X,X,X
IOZTJLS,O,X,X,X,O,X,O,X
IOZTJSL,O,X,X,X,O,X,O,X
IOZTSLJ,O,O,O,X,O,X,X,X
IOZTSJL,O,O,O,X,O,X,X,X
IOZLTJS,O,X,X,X,O,X,X,X
IOZLTSJ,O,X,X,X,O,X,X,X
IOZLJTS,O,X,X,X,O,X,O,X
IOZLJST,O,X,X,X,O,X,O,X
IOZLSTJ,O,O,X,X,O,X,X,X
IOZLSJT,O,O,X,X,O,X,X,X
IOZJTLS,O,X,X,X,O,X,O,X
IOZJTSL,O,O,X,X,O,X,O,X
IOZJLTS,O,X,X,X,O,X,O,X
IOZJLST,O,O,X,X,O,X,O,X
IOZJSTL,O,O,X,X,O,X,O,X
IOZJSLT,O,O,X,X,O,X,O,X
IOZSTLJ,O,O,O,X,O,X,X,X
IOZSTJL,O,O,O,X,O,X,X,X
IOZSLTJ,O,O,O,X,O,X,X,X
IOZSLJT,O,O,O,X,O,X,X,X
IOZSJTL,O,O,O,X,O,X,O,X
IOZSJLT,O,O,O,X,O,X,O,X
LTIJSZO,O,X,O,O,X,O,X,X
LTIJSOZ,X,X,X,O,X,O,X,X
LTIJZSO,X,X,X,O,X,O,X,X
LTIJZOS,X,X,X,O,X,O,X,X
LTIJOSZ,X,X,X,O,X,O,X,X
LTIJOZS,X,X,X,O,X,O,X,X
LTISJZO,O,O,O,O,X,X,X,X
LTISJOZ,X,O,X,O,X,X,X,X
LTISZJO,X,O,O,O,X,X,X,X
LTISZOJ,X,O,O,O,X,X,X,X
LTISOJZ,X,O,X,O,X,X,X,X
LTISOZJ,X,O,O,O,X,X,X,X
LTIZJSO,X,X,X,O,X,O,X,X
LTIZJOS,X,X,X,O,X,O,X,X
LTIZSJO,X,X,O,O,X,X,X,X
LTIZSOJ,X,X,O,O,X,X,X,X
LTIZOJS,X,X,X,O,X,O,X,X
LTIZOSJ,X,X,X,O,X,X,X,X
LTIOJSZ,O,X,X,O,X,O,X,X
LTIOJZS,X,X,X,O,X,O,X,X
LTIOSJZ,O,X,X,O,X,X,X,X
LTIOSZJ,X,X,O,O,X,X,X,X
LTIOZJS,X,X,X,O,X,O,X,X
LTIOZSJ,X,X,X,O,X,X,X,X
LTJISZO,O,X,O,O,X,O,X,X
LTJISOZ,X,X,X,O,X,O,X,X
LTJIZSO,X,X,X,O,X,O,X,X
LTJIZOS,X,X,X,O,X,O,X,X
LTJIOSZ,X,X,X,O,X,O,X,X
LTJIOZS,X,X,X,O,X,O,X,X
LTJSIZO,O,X,O,O,X,O,X,X
LTJSIOZ,X,X,X,O,X,O,X,O
LTJSZIO,O,X,O,O,X,O,X,X
LTJSZOI,O,X,O,O,X,O,X,O
LTJSOIZ,X,X,X,O,X,O,X,O
LTJSOZI,X,X,X,O,X,O,X,O
LTJZISO,O,X,X,O,X,O,X,X
LTJZIOS,O,X,X,O,X,O,X,X
LTJZSIO,O,X,X,O,X,O,X,X
LTJZSOI,O,X,X,O,X,O,X,X
LTJZOIS,O,X,X,O,X,O,X,X
LTJZOSI,O,X,X,O,X,O,X,X
LTJOISZ,X,X,X,O,X,O,X,O
LTJOIZS,X,X,X,O,X,O,X,X
LTJOSIZ,X,X,X,O,X,O,X,O
LTJOSZI,X,X,X,O,X,O,X,O
LTJOZIS,X,X,X,O,X,O,X,X
LTJOZSI,X,X,X,O,X,O,X,X
LTSIJZO,O,O,O,O,X,X,X,X
LTSIJOZ,X,O,X,O,X,X,X,O
LTSIZJO,X,O,O,O,X,X,X,X
LTSIZOJ,X,O,O,O,X,X,X,X
LTSIOJZ,X,O,X,O,X,X,X,X
LTSIOZJ,X,O,O,O,X,X,X,X
LTSJIZO,O,O,O,O,X,O,X,X
LTSJIOZ,X,O,X,O,X,O,X,O
LTSJZIO,O,O,O,O,X,O,X,X
LTSJZOI,O,O,O,O,X,O,X,O
LTSJOIZ,X,X,X,O,X,O,X,O
LTSJOZI,X,X,X,O,X,O,X,O
LTSZIJO,O,O,O,O,X,X,X,X
LTSZIOJ,O,O,O,O,X,X,X,X
LTSZJIO,O,O,O,O,X,O,X,X
LTSZJOI,O,O,O,O,X,O,X,O
LTSZOIJ,O,O,O,O,X,X,X,X
LTSZOJI,O,O,O,O,X,O,X,X
LTSOIJZ,X,O,O,O,X,X,X,X
LTSOIZJ,X,O,O,O,X,X,X,X
LTSOJIZ,X,O,O,O,X,O,X,O
LTSOJZI,X,O,O,O,X,O,X,O
LTSOZIJ,X,O,O,O,X,X,X,X
LTSOZJI,X,O,O,O,X,O,X,X
LTZIJSO,O,X,X,O,X,O,X,X
LTZIJOS,O,X,X,O,X,O,X,X
LTZISJO,O,O,O,O,X,X,X,X
LTZISOJ,O,O,O,O,X,X,X,X
LTZIOJS,O,X,X,O,X,O,X,X
LTZIOSJ,O,X,X,O,X,X,X,X
LTZJISO,O,O,X,O,X,O,X,X
LTZJIOS,O,X,X,O,X,O,X,X
LTZJSIO,O,O,X,O,X,O,X,X
LTZJSOI,O,O,X,O,X,O,X,X
LTZJOIS,O,X,X,O,X,O,X,X
LTZJOSI,O,X,X,O,X,O,X,X
LTZSIJO,O,O,O,O,X,X,X,X
LTZSIOJ,O,O,O,O,X,X,X,X
LTZSJIO,O,O,O,O,X,O,X,X
LTZSJOI,O,O,O,O,X,O,X,X
LTZSOIJ,O,O,O,O,X,X,X,X
LTZSOJI,O,O,O,O,X,O,X,X
LTZOIJS,O,X,X,O,X,O,X,X
LTZOISJ,O,X,X,O,X,X,X,X
LTZOJIS,O,X,X,O,X,O,X,X
LTZOJSI,O,X,X,O,X,O,X,X
LTZOSIJ,O,X,X,O,X,X,X,X
LTZOSJI,O,X,X,O,X,O,X,X
LTOIJSZ,O,X,O,O,X,O,X,X
LTOIJZS,X,X,X,O,X,O,X,X
LTOISJZ,O,X,O,O,X,X,X,X
LTOISZJ,X,X,O,O,X,X,X,X
LTOIZJS,X,X,X,O,X,O,X,X
LTOIZSJ,X,X,O,O,X,X,X,X
LTOJISZ,O,X,O,O,X,O,X,X
LTOJIZS,X,X,X,O,X,O,X,X
LTOJSIZ,O,X,O,O,X,O,X,X
LTOJSZI,O,X,O,O,X,O,X,X
LTOJZIS,O,X,X,O,X,O,X,X
LTOJZSI,O,X,X,O,X,O,X,X
LTOSIJZ,O,X,O,O,X,X,X,X
LTOSIZJ,X,X,O,O,X,X,X,X
LTOSJIZ,O,X,O,O,X,O,X,X
LTOSJZI,O,X,O,O,X,O,X,X
LTOSZIJ,O,X,O,O,X,X,X,X
LTOSZJI,O,X,O,O,X,O,X,X
LTOZIJS,O,X,X,O,X,O,X,X
LTOZISJ,O,X,O,O,X,X,X,X
LTOZJIS,O,X,X,O,X,O,X,X
LTOZJSI,O,X,X,O,X,O,X,X
LTOZSIJ,O,X,O,O,X,X,X,X
LTOZSJI,O,X,O,O,X,O,X,X
LITJSZO,O,X,O,O,X,O,X,X
LITJSOZ,X,X,X,O,X,O,X,X
LITJZSO,X,X,X,O,X,O,X,X
LITJZOS,X,X,X,O,X,O,X,X
LITJOSZ,X,X,X,O,X,O,X,X
LITJOZS,X,X,X,O,X,O,X,X
LITSJZO,O,O,O,O,X,X,X,X
LITSJOZ,X,O,X,O,X,X,X,X
LITSZJO,X,O,O,O,X,X,X,X
LITSZOJ,X,O,O,O,X,X,X,X
LITSOJZ,X,O,X,O,X,X,X,X
LITSOZJ,X,O,O,O,X,X,X,X
LITZJSO,X,X,X,O,X,O,X,X
LITZJOS,X,X,X,O,X,O,X,X
LITZSJO,X,X,O,O,X,X,X,X
LITZSOJ,X,X,O,O,X,X,X,X
LITZOJS,X,X,X,O,O,O,X,X
LITZOSJ,X,X,X,O,O,X,X,X
LITOJSZ,O,X,X,O,O,O,X,X
LITOJZS,X,X,X,O,O,O,X,X
LITOSJZ,O,X,X,O,O,X,X,X
LITOSZJ,X,X,O,O,O,X,X,X
LITOZJS,X,X,X,O,O,O,X,X
LITOZSJ,X,X,X,O,O,X,X,X
LIJTSZO,O,X,O,O,X,X,O,X
LIJTSOZ,X,X,X,O,X,X,O,X
LIJTZSO,X,X,X,O,X,X,O,X
LIJTZOS,X,X,X,O,X,X,O,X
LIJTOSZ,X,X,X,O,X,X,O,X
LIJTOZS,X,X,X,O,X,X,O,X
LIJSTZO,O,X,O,O,X,X,O,X
LIJSTOZ,X,X,X,O,X,X,O,X
LIJSZTO,O,X,O,X,X,X,O,X
LIJSZOT,O,X,O,X,X,X,O,X
LIJSOTZ,X,X,X,O,X,X,O,X
LIJSOZT,O,X,X,X,X,X,O,X
LIJZTSO,O,X,X,X,X,X,O,X
LIJZTOS,O,X,X,X,X,X,O,X
LIJZSTO,O,X,X,X,X,X,O,X
LIJZSOT,O,X,X,X,X,X,O,X
LIJZOTS,X,X,X,X,O,O,O,X
LIJZOST,O,X,X,X,O,X,O,X
LIJOTSZ,O,X,X,O,O,X,O,X
LIJOTZS,X,X,X,O,O,X,O,X
LIJOSTZ,O,X,X,O,O,X,O,X
LIJOSZT,O,X,X,X,O,X,O,X
LIJOZTS,X,X,X,X,O,O,O,X
LIJOZST,O,X,X,X,O,X,O,X
LISTJZO,O,O,O,O,X,X,X,X
LISTJOZ,X,O,X,O,X,X,X,X
LISTZJO,X,O,O,O,X,X,X,X
LISTZOJ,X,O,O,O,X,X,X,X
LISTOJZ,X,O,X,O,X,X,X,X
LISTOZJ,X,O,O,O,X,X,X,X
LISJTZO,O,O,O,O,X,X,X,X
LISJTOZ,X,O,X,O,X,X,X,X
LISJZTO,O,X,O,X,X,X,X,X
LISJZOT,O,X,O,X,X,X,X,X
LISJOTZ,X,X,X,O,X,X,X,X
LISJOZT,O,X,X,X,X,X,X,X
LISZTJO,O,O,O,X,X,X,X,X
LISZTOJ,O,O,O,X,X,X,X,X
LISZJTO,O,X,O,X,X,X,X,X
LISZJOT,O,X,O,X,X,X,X,X
LISZOTJ,X,X,O,X,O,X,X,X
LISZOJT,O,X,O,X,O,X,X,X
LISOTJZ,O,O,X,O,O,X,X,X
LISOTZJ,X,O,O,O,O,X,X,X
LISOJTZ,O,O,X,O,O,X,X,X
LISOJZT,O,X,X,X,O,X,X,X
LISOZTJ,X,O,O,X,O,X,X,X
LISOZJT,O,X,O,X,O,X,X,X
LIZTJSO,O,X,X,X,X,O,X,X
LIZTJOS,O,X,X,X,X,O,X,X
LIZTSJO,O,X,O,X,X,X,X,X
LIZTSOJ,O,X,O,X,X,X,X,X
LIZTOJS,O,X,X,X,O,O,X,X
LIZTOSJ,O,X,X,X,O,X,X,X
LIZJTSO,O,X,X,X,X,X,O,X
LIZJTOS,O,X,X,X,X,X,O,X
LIZJSTO,O,X,X,X,X,X,O,X
LIZJSOT,O,X,X,X,X,X,O,X
LIZJOTS,O,X,X,X,O,O,O,X
LIZJOST,O,X,X,X,O,X,O,X
LIZSTJO,O,X,O,X,X,X,X,X
LIZSTOJ,O,X,O,X,X,X,X,X
LIZSJTO,O,X,O,X,X,X,X,X
LIZSJOT,O,X,O,X,X,X,X,X
LIZSOTJ,O,X,O,X,O,X,X,X
LIZSOJT,O,X,O,X,O,X,X,X
LIZOTJS,O,X,X,X,O,O,X,X
LIZOTSJ,O,X,X,X,O,X,X,X
