sequence,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhF3g?BGiB5oBimBTqBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFGh?BTiB5oBilB3qBUsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Kel/IvhFTi?B5oBOqBXmBUsBCrB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhFXh?B5oBFnBOqBCrBTsB,v115@FhA8AeA8GeA8AeB8EeB8AeB8BeB8BeA8Ke0/IvhF/m?BGiB5oB1qBKsBTqB
TZLOJIS,X,X,X,X,X
TZLOJSI,X,X,X,X,X
TZLOSIJ,X,X,X,X,X
TZLOSJI,X,X,X,X,X
TZJILSO,O,X,X,X,X
TZJILOS,X,X,X,X,X
TZJISLO,X,X,X,X,X
TZJISOL,X,X,O,X,X
TZJIOLS,O,X,X,X,X
TZJIOSL,O,O,O,X,X
TZJLISO,O,X,X,X,X
TZJLIOS,X,X,X,X,X
TZJLSIO,O,X,X,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,X,X,X,X
TZJLOSI,X,X,X,X,X
TZJSILO,X,X,X,X,X
TZJSIOL,X,X,O,X,X
TZJSLIO,X,X,X,X,X
TZJSLOI,X,X,X,X,X
TZJSOIL,X,X,O,X,X
TZJSOLI,X,X,X,X,X
TZJOILS,O,X,X,X,X
TZJOISL,O,O,O,X,X
TZJOLIS,O,X,X,X,X
TZJOLSI,O,X,X,X,X
TZJOSIL,O,X,O,X,X
TZJOSLI,X,X,X,X,X
TZSILJO,X,O,X,O,X
TZSILOJ,X,O,X,X,X
TZSIJLO,X,X,X,X,X
TZSIJOL,X,O,X,X,X
TZSIOLJ,X,O,X,X,X
TZSIOJL,X,O,X,X,X
TZSLIJO,X,O,X,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,X,O,X,X,X
TZSLJOI,X,O,X,X,X
TZSLOIJ,X,O,X,X,X
TZSLOJI,X,O,X,X,X
TZSJILO,X,X,X,X,X
TZSJIOL,X,O,X,X,X
TZSJLIO,X,X,X,X,X
TZSJLOI,X,X,X,X,X
TZSJOIL,X,O,X,X,X
TZSJOLI,X,X,X,X,X
TZSOILJ,X,O,X,X,X
TZSOIJL,X,O,X,X,X
TZSOLIJ,X,O,X,X,X
TZSOLJI,X,O,X,X,X
TZSOJIL,X,O,X,X,X
TZSOJLI,X,X,X,X,X
TZOILJS,O,X,X,X,X
TZOILSJ,O,X,X,X,X
TZOIJLS,O,X,X,X,X
TZOIJSL,O,O,O,X,X
TZOISLJ,O,O,X,X,X
TZOISJL,O,O,X,X,X
TZOLIJS,O,X,X,X,X
TZOLISJ,O,X,X,X,X
TZOLJIS,O,X,X,X,X
TZOLJSI,O,X,X,X,X
TZOLSIJ,O,X,X,X,X
TZOLSJI,O,X,X,X,X
TZOJILS,O,X,X,X,X
TZOJISL,O,O,O,X,X
TZOJLIS,O,X,X,X,X
TZOJLSI,O,X,X,X,X
TZOJSIL,O,X,O,X,X
TZOJSLI,X,X,X,X,X
TZOSILJ,O,O,X,X,X
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,O,X,X,X
TZOSLJI,O,O,X,X,X
TZOSJIL,O,O,X,X,X
TZOSJLI,X,X,X,X,X
TOILJSZ,O,X,X,X,X
TOILJZS,X,X,X,X,X
TOILSJZ,O,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,O,X,X,X,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,O,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,X,X,X,X,X
TOISLJZ,O,O,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,O,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,O,X,X,X,X
TOISZJL,O,X,X,X,X
TOIZLJS,O,X,X,X,X
TOIZLSJ,O,X,X,X,X
TOIZJLS,O,X,X,X,X
TOIZJSL,O,X,X,X,X
TOIZSLJ,O,X,X,X,X
TOIZSJL,O,X,X,X,X
TOLIJSZ,O,X,X,X,X
TOLIJZS,X,X,X,X,X
TOLISJZ,O,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,X,X,X,X
TOLIZSJ,X,X,X,X,X
TOLJISZ,O,X,X,X,X
TOLJIZS,X,X,X,X,X
TOLJSIZ,O,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,X,X,X
TOLJZSI,X,X,X,X,X
TOLSIJZ,O,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,O,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,X,X,X,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,X
TOLZJSI,X,X,X,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,O,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,X,X,X,X,X
TOJLISZ,O,X,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,O,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,O,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,X,X,X
TOJZISL,X,X,X,X,X
TOJZLIS,X,X,X,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,X,X,X,X,X
TOJZSLI,X,X,X,X,X
TOSILJZ,O,O,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,O,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,O,X,X,X,X
TOSIZJL,O,X,X,X,X
TOSLIJZ,O,O,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,O,O,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,O,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,O,X,X,X,X
TOSZIJL,O,X,X,X,X
TOSZLIJ,O,X,X,X,X
TOSZLJI,O,X,X,X,X
TOSZJIL,O,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,O,X,X,X,X
TOZILSJ,O,X,X,X,X
TOZIJLS,O,X,X,X,X
TOZIJSL,O,X,X,X,X
TOZISLJ,O,X,X,X,X
TOZISJL,O,X,X,X,X
TOZLIJS,O,X,X,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,X,X,X,X
TOZLJSI,O,X,X,X,X
TOZLSIJ,O,X,X,X,X
TOZLSJI,O,X,X,X,X
TOZJILS,O,X,X,X,X
TOZJISL,O,X,X,X,X
TOZJLIS,O,X,X,X,X
TOZJLSI,O,X,X,X,X
TOZJSIL,O,X,X,X,X
TOZJSLI,X,X,X,X,X
TOZSILJ,O,X,X,X,X
TOZSIJL,O,X,X,X,X
TOZSLIJ,O,X,X,X,X
TOZSLJI,O,X,X,X,X
TOZSJIL,O,X,X,X,X
TOZSJLI,X,X,X,X,X
ITLJSZO,O,X,X,X,X
