sequence,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeOEJvhFlgBUiB5oBz?kBKrBfsB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kei/IvhF3gBUiB5oB1?pBOrBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeT/IvhF0gBlhB5oBy?pBXnB2wB,v115@EhB8IeA8DeA8CeB8AeD8CeB8Kel/IvhF3gBUiB5oB2?pBTmBywB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflBUiB5oBF?mBzrBmqB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gB5oBF?nBTrBmrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB5oBUmBF?nBmqBzrB,v115@EhB8IeA8DeA8CeB8AeD8CeB8KeKEJvhFflB0gBlhB5?oBOsBTrB
TZJSOLI,X,O,O,X,X,X,X,X
TZJOILS,X,O,O,O,X,X,X,X
TZJOISL,X,O,X,O,X,X,X,X
TZJOLIS,X,O,O,O,X,X,X,X
TZJOLSI,X,O,O,O,X,X,X,X
TZJOSIL,X,O,X,O,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,O,X
TZSILOJ,O,O,O,O,X,X,O,X
TZSIJLO,O,O,O,O,X,X,X,X
TZSIJOL,X,O,X,O,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,X,X
TZSIOJL,O,O,X,O,X,X,X,X
TZSLIJO,O,O,O,O,X,X,O,X
TZSLIOJ,O,O,O,O,X,X,O,X
TZSLJIO,O,O,O,X,X,X,O,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,O,X,X,X,O,X
TZSLOJI,O,O,O,X,X,X,X,X
TZSJILO,O,O,O,O,X,X,X,X
TZSJIOL,X,O,X,O,X,X,X,X
TZSJLIO,O,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,X,O,X,O,X,X,X,X
TZSJOLI,X,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X
TZSOIJL,O,O,X,O,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,X,X,X
TZOILSJ,O,O,O,X,X,X,O,X
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,O,O,O,X,X,X,O,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,O,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X
TOILJSZ,O,O,X,X,O,O,X,O
TOILJZS,O,O,X,X,O,X,X,X
TOILSJZ,O,O,X,X,O,O,X,O
TOILSZJ,O,O,X,X,O,O,O,O
TOILZJS,O,O,X,X,O,X,X,X
TOILZSJ,O,O,X,X,O,O,O,O
TOIJLSZ,O,O,X,X,O,O,X,O
TOIJLZS,O,O,X,X,O,X,X,X
TOIJSLZ,O,O,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,X,O,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X
TOISLJZ,O,O,X,X,O,O,X,O
TOISLZJ,O,O,X,X,O,O,X,O
TOISJLZ,O,O,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X
TOISZLJ,O,O,X,X,O,X,X,X
TOISZJL,O,O,X,X,X,X,X,X
TOIZLJS,O,O,X,X,O,X,X,X
TOIZLSJ,O,O,X,X,O,O,O,O
TOIZJLS,O,O,X,X,O,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,O,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,X,O,O,X,O
TOLIJZS,O,O,X,X,O,X,X,X
TOLISJZ,O,O,X,X,O,O,X,O
TOLISZJ,O,O,X,X,O,O,O,O
TOLIZJS,O,O,X,X,O,X,X,X
TOLIZSJ,O,O,X,X,O,O,O,O
TOLJISZ,O,O,X,X,O,O,X,O
TOLJIZS,O,O,X,X,O,X,X,X
TOLJSIZ,O,O,X,X,O,O,X,O
TOLJSZI,O,O,X,X,O,O,X,O
TOLJZIS,O,O,X,X,O,X,X,X
TOLJZSI,O,O,X,X,O,X,X,X
TOLSIJZ,O,O,X,X,O,O,X,O
TOLSIZJ,O,O,X,X,O,O,O,O
TOLSJIZ,O,O,X,X,O,O,X,O
TOLSJZI,O,O,X,X,O,O,X,O
TOLSZIJ,O,O,X,X,O,O,O,O
TOLSZJI,O,O,X,X,O,O,X,O
TOLZIJS,O,O,X,X,O,X,X,X
TOLZISJ,O,O,X,X,O,O,O,O
TOLZJIS,O,O,X,X,O,X,X,X
TOLZJSI,O,O,X,X,O,X,X,X
TOLZSIJ,O,O,X,X,O,O,O,O
TOLZSJI,O,O,X,X,O,O,X,O
TOJILSZ,O,O,X,X,O,O,X,O
TOJILZS,O,O,X,X,O,X,X,X
TOJISLZ,O,O,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,X,O,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X
TOJLISZ,O,O,X,X,O,O,X,O
TOJLIZS,O,O,X,X,O,X,X,X
TOJLSIZ,O,O,X,X,O,O,X,O
TOJLSZI,O,O,X,X,O,O,X,O
TOJLZIS,O,O,X,X,O,X,X,X
TOJLZSI,O,O,X,X,O,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X
TOJSLIZ,O,O,X,X,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,X,O,X,X,X
TOJZISL,O,O,X,X,X,X,X,X
TOJZLIS,O,O,X,X,O,X,X,X
TOJZLSI,O,O,X,X,O,X,X,X
TOJZSIL,O,O,X,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X,X
TOSILJZ,O,O,X,X,O,O,X,O
TOSILZJ,O,O,X,X,O,O,X,O
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,O,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,O,O,X,O
TOSLIZJ,O,O,X,X,O,O,X,O
TOSLJIZ,O,O,X,X,O,O,X,O
TOSLJZI,O,O,X,X,O,O,X,O
TOSLZIJ,O,O,X,X,O,O,X,O
TOSLZJI,O,O,X,X,O,O,X,O
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X
TOSJLIZ,O,O,X,X,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,O,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,X,O,X,X,X
TOSZLJI,O,O,X,X,O,X,X,X
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X
TOZILJS,O,O,X,X,O,X,X,X
TOZILSJ,O,O,X,X,O,O,O,O
TOZIJLS,O,O,X,X,O,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,X,O,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,X,X,O,X,X,X
TOZLISJ,O,O,X,X,O,O,O,O
TOZLJIS,O,O,X,X,O,X,X,X
TOZLJSI,O,O,X,X,O,X,X,X
TOZLSIJ,O,O,X,X,O,O,O,O
TOZLSJI,O,O,X,X,O,O,X,O
TOZJILS,O,O,X,X,O,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,X,X,O,X,X,X
TOZJLSI,O,O,X,X,O,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,O,O,X,X,O,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,O,X,X,X
TOZSLJI,O,O,X,X,O,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X
ITLJSZO,O,O,O,O,X,O,O,O
ITLJSOZ,O,O,O,O,X,X,X,O
ITLJZSO,O,O,O,O,X,X,O,O
ITLJZOS,X,O,O,O,X,X,X,X
ITLJOSZ,O,O,O,O,X,X,X,O
ITLJOZS,O,O,O,O,X,X,X,O
ITLSJZO,O,O,O,O,X,O,O,O
ITLSJOZ,O,O,O,O,X,X,X,O
ITLSZJO,O,O,O,O,X,O,O,O
ITLSZOJ,O,O,O,O,X,O,O,O
ITLSOJZ,O,O,O,X,O,O,X,O
ITLSOZJ,O,O,O,O,O,O,O,O
ITLZJSO,O,O,O,O,X,X,O,X
ITLZJOS,X,O,O,O,X,X,X,X
ITLZSJO,O,O,O,O,X,O,O,X
ITLZSOJ,O,O,O,O,X,O,O,X
ITLZOJS,O,O,O,X,X,X,X,X
ITLZOSJ,O,O,O,X,X,X,O,X
ITLOJSZ,O,O,O,O,O,O,X,O
ITLOJZS,O,O,O,O,O,X,X,X
ITLOSJZ,O,O,O,O,O,O,X,O
ITLOSZJ,O,O,O,O,O,O,O,O
ITLOZJS,O,O,O,O,O,X,X,X
ITLOZSJ,O,O,O,O,O,O,O,O
ITJLSZO,O,O,O,O,X,O,O,O
ITJLSOZ,O,O,O,O,X,X,X,O
ITJLZSO,O,O,O,O,X,X,O,O
ITJLZOS,X,O,O,O,X,X,X,X
ITJLOSZ,O,O,O,O,X,X,X,O
ITJLOZS,O,O,O,O,X,X,X,O
ITJSLZO,O,O,O,O,X,X,X,O
ITJSLOZ,O,O,O,O,X,X,X,O
ITJSZLO,O,O,O,O,X,X,X,X
ITJSZOL,X,O,O,O,X,X,X,X
ITJSOLZ,X,O,O,O,X,X,X,X
ITJSOZL,X,O,O,O,X,X,X,X
ITJZLSO,O,O,O,O,X,X,O,O
ITJZLOS,X,O,O,O,X,X,X,X
ITJZSLO,O,O,O,O,X,X,X,X
ITJZSOL,X,O,O,O,X,X,X,X
ITJZOLS,X,O,O,O,X,X,X,X
ITJZOSL,X,O,X,O,X,X,X,X
ITJOLSZ,O,O,X,O,X,X,X,O
ITJOLZS,O,O,X,O,X,X,X,O
ITJOSLZ,O,O,X,O,X,X,X,O
ITJOSZL,X,O,X,O,X,X,X,X
ITJOZLS,O,O,X,O,X,X,X,O
ITJOZSL,X,O,X,O,X,X,X,X
ITSLJZO,O,O,O,O,X,O,O,X
ITSLJOZ,O,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,X,O,O,X
ITSLZOJ,O,O,O,O,X,O,O,X
ITSLOJZ,O,O,O,X,X,X,X,X
ITSLOZJ,O,O,O,O,X,O,O,X
ITSJLZO,O,O,O,O,X,X,X,X
ITSJLOZ,O,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,X,X,X
ITSJZOL,X,O,O,O,X,X,X,X
ITSJOLZ,X,O,O,O,X,X,X,X
ITSJOZL,X,O,O,O,X,X,X,X
ITSZLJO,O,O,O,O,X,X,O,X
ITSZLOJ,O,O,O,O,X,X,O,X
ITSZJLO,O,O,O,O,X,X,X,X
ITSZJOL,X,O,X,O,X,X,X,X
ITSZOLJ,O,O,O,O,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X
ITSOLJZ,O,O,O,X,X,X,X,X
ITSOLZJ,O,O,O,O,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X,X
ITSOJZL,O,O,X,X,X,X,X,X
ITSOZLJ,O,O,O,O,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X
ITZLJSO,O,O,O,O,X,X,O,X
ITZLJOS,X,O,O,O,X,X,X,X
ITZLSJO,O,O,O,O,X,O,O,X
ITZLSOJ,O,O,O,O,X,O,O,X
ITZLOJS,O,O,O,X,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,O,X
ITZJLSO,O,O,O,O,X,X,O,X
ITZJLOS,X,O,O,O,X,X,X,X
ITZJSLO,O,O,O,O,X,X,X,X
ITZJSOL,X,O,O,O,X,X,X,X
ITZJOLS,X,O,O,O,X,X,X,X
ITZJOSL,X,O,X,O,X,X,X,X
ITZSLJO,O,O,O,O,X,X,O,X
ITZSLOJ,O,O,O,O,X,X,O,X
ITZSJLO,O,O,O,O,X,X,X,X
ITZSJOL,X,O,X,O,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X
ITZSOJL,O,O,X,O,X,X,X,X
ITZOLJS,O,O,O,X,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,O,X
ITZOJLS,O,O,X,X,X,X,X,X
ITZOJSL,O,O,X,X,X,X,X,X
ITZOSLJ,O,O,X,X,X,X,X,X
ITZOSJL,O,O,X,X,X,X,X,X
ITOLJSZ,O,O,X,X,O,O,X,O
ITOLJZS,O,O,X,X,O,X,X,X
ITOLSJZ,O,O,X,X,O,O,X,O
ITOLSZJ,O,O,X,X,O,O,O,O
ITOLZJS,O,O,X,X,O,X,X,X
ITOLZSJ,O,O,X,X,O,O,O,O
ITOJLSZ,O,O,X,X,O,O,X,O
ITOJLZS,O,O,X,X,O,X,X,X
ITOJSLZ,O,O,X,X,X,X,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,O,X,X,X
ITOJZSL,O,O,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,O,O,X,O
ITOSLZJ,O,O,X,X,O,O,X,O
ITOSJLZ,O,O,X,X,X,X,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,O,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,O,X,X,X
ITOZLSJ,O,O,X,X,O,O,O,O
ITOZJLS,O,O,X,X,O,X,X,X
ITOZJSL,O,O,X,X,X,X,X,X
ITOZSLJ,O,O,X,X,O,X,X,X
ITOZSJL,O,O,X,X,X,X,X,X
ILTJSZO,O,O,O,O,X,O,O,O
ILTJSOZ,O,O,O,O,X,X,X,O
ILTJZSO,O,O,O,O,X,X,O,O
ILTJZOS,X,O,O,O,X,X,X,X
ILTJOSZ,O,O,O,O,X,X,X,O
ILTJOZS,O,O,O,O,X,X,X,O
ILTSJZO,O,O,O,O,X,O,O,O
ILTSJOZ,O,O,O,O,X,X,X,O
ILTSZJO,O,O,O,O,X,O,O,O
ILTSZOJ,O,O,O,O,X,O,O,O
ILTSOJZ,O,O,O,X,O,O,X,O
ILTSOZJ,O,O,O,O,O,O,O,O
ILTZJSO,O,O,O,O,X,X,O,X
ILTZJOS,X,O,O,O,X,X,X,X
ILTZSJO,O,O,O,O,X,O,O,X
ILTZSOJ,O,O,O,O,X,O,O,X
ILTZOJS,O,O,O,X,X,X,X,X
ILTZOSJ,O,O,O,X,X,X,O,X
ILTOJSZ,O,O,O,O,O,O,X,O
ILTOJZS,O,O,O,O,O,X,X,X
ILTOSJZ,O,O,O,O,O,O,X,O
ILTOSZJ,O,O,O,O,O,O,O,O
ILTOZJS,O,O,O,O,O,X,X,X
ILTOZSJ,O,O,O,O,O,O,O,O
ILJTSZO,O,O,O,O,X,O,O,O
ILJTSOZ,O,O,O,O,X,X,X,O
ILJTZSO,O,O,O,O,X,X,O,O
ILJTZOS,X,O,O,O,X,X,X,X
ILJTOSZ,O,O,O,O,X,X,X,O
ILJTOZS,O,O,O,O,X,X,X,O
ILJSTZO,O,O,O,O,X,O,O,O
ILJSTOZ,O,O,O,O,X,X,X,O
ILJSZTO,O,O,O,O,X,O,O,O
ILJSZOT,O,X,O,O,X,O,X,O
ILJSOTZ,O,X,O,O,O,O,X,O
ILJSOZT,O,X,O,O,O,O,X,O
ILJZTSO,O,O,O,O,X,X,O,O
ILJZTOS,X,O,O,O,X,X,X,X
ILJZSTO,O,O,O,O,X,X,O,O
ILJZSOT,O,X,O,O,X,X,X,O
ILJZOTS,X,X,O,O,X,X,X,O
ILJZOST,X,X,O,O,X,X,X,O
ILJOTSZ,O,X,O,O,O,O,X,O
ILJOTZS,O,X,O,O,O,X,X,O
ILJOSTZ,O,X,O,O,O,O,X,O
ILJOSZT,O,X,O,O,O,O,X,O
ILJOZTS,O,X,O,O,O,X,X,O
ILJOZST,O,X,O,O,O,X,X,O
ILSTJZO,O,O,O,O,X,O,O,O
ILSTJOZ,O,O,O,O,X,X,X,O
ILSTZJO,O,O,O,O,X,O,O,O
ILSTZOJ,O,O,O,O,X,O,O,O
ILSTOJZ,O,O,O,X,O,O,X,O
ILSTOZJ,O,O,O,O,O,O,O,O
ILSJTZO,O,O,O,O,X,O,O,O
ILSJTOZ,O,O,O,O,X,X,X,O
ILSJZTO,O,O,O,O,X,O,O,O
ILSJZOT,O,X,O,O,X,O,X,O
ILSJOTZ,O,X,O,O,O,O,X,O
ILSJOZT,O,X,O,O,O,O,X,O
ILSZTJO,O,O,O,O,X,O,O,O
ILSZTOJ,O,O,O,O,X,O,O,O
ILSZJTO,O,X,O,O,X,O,O,O
ILSZJOT,O,X,O,O,X,O,X,O
ILSZOTJ,O,X,O,O,O,O,O,O
ILSZOJT,O,X,O,O,O,O,X,O
ILSOTJZ,O,O,O,O,O,O,X,O
ILSOTZJ,O,O,O,O,O,O,O,O
ILSOJTZ,O,X,O,O,O,O,X,O
ILSOJZT,O,X,O,O,O,O,X,O
ILSOZTJ,O,O,O,O,O,O,O,O
ILSOZJT,O,X,O,O,O,O,X,O
ILZTJSO,O,O,O,O,X,X,O,X
ILZTJOS,X,X,O,O,X,X,X,X
ILZTSJO,O,O,O,O,X,O,O,X
ILZTSOJ,O,O,O,O,X,O,O,X
ILZTOJS,O,X,O,X,X,X,X,X
ILZTOSJ,O,O,O,X,X,X,O,X
ILZJTSO,O,X,O,O,X,X,O,O
ILZJTOS,X,X,O,O,X,X,X,X
ILZJSTO,O,X,O,O,X,X,O,O
ILZJSOT,O,X,O,O,X,X,X,O
ILZJOTS,X,X,O,O,X,X,X,O
ILZJOST,X,X,O,O,X,X,X,O
ILZSTJO,O,O,O,O,X,O,O,O
ILZSTOJ,O,O,O,O,X,O,O,O
ILZSJTO,O,X,O,O,X,O,O,O
ILZSJOT,O,X,O,O,X,O,X,O
ILZSOTJ,O,X,O,O,O,O,O,O
ILZSOJT,O,X,O,O,O,O,X,O
ILZOTJS,O,X,O,O,O,X,X,X
ILZOTSJ,O,X,O,O,O,O,O,O
ILZOJTS,O,X,O,O,O,X,X,X
ILZOJST,O,X,O,O,O,X,X,X
ILZOSTJ,O,X,O,O,O,O,O,O
ILZOSJT,O,X,O,O,O,O,X,O
ILOTJSZ,O,O,O,O,O,O,X,O
ILOTJZS,O,O,O,O,O,X,X,X
ILOTSJZ,O,O,O,O,O,O,X,O
ILOTSZJ,O,O,O,O,O,O,O,O
ILOTZJS,O,O,O,O,O,X,X,X
ILOTZSJ,O,O,O,O,O,O,O,O
ILOJTSZ,O,O,O,O,O,O,X,O
ILOJTZS,O,O,O,O,O,X,X,O
ILOJSTZ,O,O,O,O,O,O,X,O
ILOJSZT,O,O,O,O,O,O,X,O
ILOJZTS,O,O,O,O,O,X,X,O
ILOJZST,O,O,O,O,O,X,X,O
ILOSTJZ,O,O,O,O,O,O,X,O
ILOSTZJ,O,O,O,O,O,O,O,O
ILOSJTZ,O,X,O,O,O,O,X,O
ILOSJZT,O,X,O,O,O,O,X,O
ILOSZTJ,O,O,O,O,O,O,O,O
ILOSZJT,O,X,O,O,O,O,X,O
ILOZTJS,O,O,O,O,O,X,X,X
ILOZTSJ,O,O,O,O,O,O,O,O
ILOZJTS,O,X,O,O,O,X,X,X
ILOZJST,O,X,O,O,O,X,X,X
ILOZSTJ,O,O,O,O,O,O,O,O
ILOZSJT,O,X,O,O,O,O,X,O
IJTLSZO,O,O,O,O,X,O,O,O
IJTLSOZ,O,O,O,O,X,X,X,O
IJTLZSO,O,O,O,O,X,X,O,O
IJTLZOS,X,O,O,O,X,X,X,X
IJTLOSZ,O,O,O,O,X,X,X,O
IJTLOZS,O,O,O,O,X,X,X,O
IJTSLZO,O,O,O,O,X,X,X,O
IJTSLOZ,O,O,O,O,X,X,X,O
IJTSZLO,O,O,O,O,X,X,X,X
IJTSZOL,X,O,O,O,X,X,X,X
IJTSOLZ,X,O,O,O,X,X,X,X
IJTSOZL,X,O,O,O,X,X,X,X
IJTZLSO,O,O,O,O,X,X,O,O
IJTZLOS,X,O,O,O,X,X,X,X
IJTZSLO,O,O,O,O,X,X,X,X
IJTZSOL,X,O,O,O,X,X,X,X
IJTZOLS,X,O,O,O,X,X,X,X
IJTZOSL,X,O,X,O,X,X,X,X
IJTOLSZ,O,O,X,O,X,X,X,O
IJTOLZS,O,O,X,O,X,X,X,O
IJTOSLZ,O,O,X,O,X,X,X,O
IJTOSZL,X,O,X,O,X,X,X,X
IJTOZLS,O,O,X,O,X,X,X,O
IJTOZSL,X,O,X,O,X,X,X,X
IJLTSZO,O,O,O,O,X,O,O,O
IJLTSOZ,O,O,O,O,X,X,X,O
IJLTZSO,O,O,O,O,X,X,O,O
IJLTZOS,X,O,O,O,X,X,X,X
IJLTOSZ,O,O,O,O,X,X,X,O
IJLTOZS,O,O,O,O,X,X,X,O
IJLSTZO,O,O,O,O,X,O,O,O
IJLSTOZ,O,O,O,O,X,X,X,O
IJLSZTO,O,O,O,O,X,O,O,O
IJLSZOT,O,X,O,O,X,O,X,O
IJLSOTZ,O,X,O,O,O,O,X,O
IJLSOZT,O,X,O,O,O,O,X,O
IJLZTSO,O,O,O,O,X,X,O,O
IJLZTOS,X,O,O,O,X,X,X,X
IJLZSTO,O,O,O,O,X,X,O,O
IJLZSOT,O,X,O,O,X,X,X,O
IJLZOTS,X,X,O,O,X,X,X,O
IJLZOST,X,X,O,O,X,X,X,O
IJLOTSZ,O,X,O,O,O,O,X,O
IJLOTZS,O,X,O,O,O,X,X,O
IJLOSTZ,O,X,O,O,O,O,X,O
IJLOSZT,O,X,O,O,O,O,X,O
IJLOZTS,O,X,O,O,O,X,X,O
IJLOZST,O,X,O,O,O,X,X,O
IJSTLZO,O,O,O,O,X,X,X,O
IJSTLOZ,O,O,O,O,X,X,X,O
IJSTZLO,O,O,O,O,X,X,X,X
IJSTZOL,X,O,O,O,X,X,X,X
IJSTOLZ,X,O,O,O,X,X,X,X
IJSTOZL,X,O,O,O,X,X,X,X
IJSLTZO,O,O,O,O,X,X,X,O
IJSLTOZ,O,O,O,O,X,X,X,O
IJSLZTO,O,O,O,O,X,X,X,O
IJSLZOT,O,X,O,O,X,X,X,O
IJSLOTZ,O,X,O,O,X,X,X,O
IJSLOZT,O,X,O,O,X,X,X,O
IJSZTLO,O,O,O,O,X,X,X,X
IJSZTOL,X,O,O,O,X,X,X,X
IJSZLTO,O,O,O,O,X,X,X,X
IJSZLOT,O,X,O,O,X,X,X,X
IJSZOTL,O,O,O,O,X,X,X,X
IJSZOLT,O,X,O,X,X,X,X,X
IJSOTLZ,O,O,O,O,X,X,X,O
IJSOTZL,O,O,O,O,X,X,X,X
IJSOLTZ,O,X,O,O,X,X,X,O
IJSOLZT,O,X,O,O,X,X,X,O
IJSOZTL,O,O,O,O,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X,X
IJZTLSO,O,O,O,O,X,X,O,O
IJZTLOS,X,O,O,O,X,X,X,X
IJZTSLO,O,O,O,O,X,X,X,X
IJZTSOL,X,O,O,O,X,X,X,X
IJZTOLS,X,O,O,O,X,X,X,X
IJZTOSL,X,O,X,O,X,X,X,X
IJZLTSO,O,O,O,O,X,X,O,O
IJZLTOS,X,O,O,O,X,X,X,X
IJZLSTO,O,O,O,O,X,X,O,O
IJZLSOT,O,X,O,O,X,X,X,O
IJZLOTS,X,X,O,O,X,X,X,O
IJZLOST,X,X,O,O,X,X,X,O
IJZSTLO,O,O,O,O,X,X,X,X
IJZSTOL,X,O,O,O,X,X,X,X
IJZSLTO,O,O,O,O,X,X,X,X
IJZSLOT,O,X,O,O,X,X,X,X
IJZSOTL,O,O,O,O,X,X,X,X
IJZSOLT,O,X,O,X,X,X,X,X
IJZOTLS,X,O,O,O,X,X,X,O
IJZOTSL,O,O,X,O,X,X,X,X
IJZOLTS,X,X,O,O,X,X,X,O
IJZOLST,O,X,O,O,X,X,X,O
IJZOSTL,O,O,O,O,X,X,X,X
IJZOSLT,O,X,O,X,X,X,X,X
IJOTLSZ,O,O,X,O,O,O,X,O
IJOTLZS,O,O,X,O,O,X,X,O
IJOTSLZ,O,O,X,O,X,X,X,O
IJOTSZL,O,O,X,O,X,X,X,X
IJOTZLS,O,O,X,O,O,X,X,O
IJOTZSL,O,O,X,O,X,X,X,X
IJOLTSZ,O,O,O,O,O,O,X,O
IJOLTZS,O,O,O,O,O,X,X,O
IJOLSTZ,O,O,O,O,O,O,X,O
IJOLSZT,O,O,O,O,O,O,X,O
IJOLZTS,O,O,O,O,O,X,X,O
IJOLZST,O,O,O,O,O,X,X,O
IJOSTLZ,O,O,O,O,X,X,X,O
IJOSTZL,O,O,O,O,X,X,X,X
IJOSLTZ,O,O,O,O,X,X,X,O
IJOSLZT,O,O,O,O,X,X,X,O
IJOSZTL,O,O,O,O,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X,X
IJOZTLS,O,O,O,O,O,X,X,O
IJOZTSL,O,O,X,O,X,X,X,X
IJOZLTS,O,O,O,O,O,X,X,O
IJOZLST,O,O,O,O,O,X,X,O
IJOZSTL,O,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,O,O,O,X,O,O,X
ISTLJOZ,O,O,O,O,X,X,X,X
ISTLZJO,O,O,O,O,X,O,O,X
ISTLZOJ,O,O,O,O,X,O,O,X
ISTLOJZ,O,O,O,X,X,X,X,X
ISTLOZJ,O,O,O,O,X,O,O,X
ISTJLZO,O,O,O,O,X,X,X,X
ISTJLOZ,O,O,O,O,X,X,X,X
ISTJZLO,O,O,O,O,X,X,X,X
ISTJZOL,X,O,O,O,X,X,X,X
ISTJOLZ,X,O,O,O,X,X,X,X
ISTJOZL,X,O,O,O,X,X,X,X
ISTZLJO,O,O,O,O,X,X,O,X
ISTZLOJ,O,O,O,O,X,X,O,X
ISTZJLO,O,O,O,O,X,X,X,X
ISTZJOL,X,O,X,O,X,X,X,X
ISTZOLJ,O,O,O,O,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X
ISTOLJZ,O,O,O,X,X,X,X,X
ISTOLZJ,O,O,O,O,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X,X
ISTOJZL,O,O,X,X,X,X,X,X
ISTOZLJ,O,O,O,O,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X
