sequence,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFylBzhBGjB3nBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFRhBSnBTjBUmBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFfmB0hBxiBCoBFq?BzrB,v115@HhB8HeA8GeD8AeB8BeC8Jem/IvhFzgBfnBxiBCoBFq?B0rB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhFXiBTjBmlBcsB6r?BFqB,v115@HhB8HeA8GeD8AeB8BeC8Jex/IvhF0hBTjBmlBSsBFq?BXsB,v115@HhB8HeA8GeD8AeB8BeC8Je3AJvhFTjBlmBcsBRqBmp?BCsB
TISJOZL,O,O,O,X,O,O,X
TISZLJO,O,O,O,X,O,X,X
TISZLOJ,O,O,O,X,O,X,O
TISZJLO,O,O,O,X,O,X,X
TISZJOL,O,O,O,X,O,X,O
TISZOLJ,O,O,X,X,O,X,O
TISZOJL,O,O,O,X,O,X,O
TISOLJZ,O,O,O,X,X,O,X
TISOLZJ,O,O,O,X,X,X,X
TISOJLZ,O,O,O,X,X,O,X
TISOJZL,O,O,O,X,O,O,X
TISOZLJ,O,O,O,X,O,X,O
TISOZJL,O,O,O,X,O,X,O
TIZLJSO,O,O,X,O,O,O,X
TIZLJOS,O,O,X,O,O,O,X
TIZLSJO,O,O,X,O,O,X,X
TIZLSOJ,O,O,X,O,O,X,O
TIZLOJS,O,O,X,O,O,O,X
TIZLOSJ,O,O,X,O,O,X,O
TIZJLSO,O,O,X,O,O,O,X
TIZJLOS,O,O,X,O,O,O,X
TIZJSLO,O,O,X,O,O,O,X
TIZJSOL,O,O,X,O,O,O,O
TIZJOLS,O,O,X,O,O,O,X
TIZJOSL,O,O,X,O,O,O,O
TIZSLJO,O,O,X,O,O,X,X
TIZSLOJ,O,O,X,O,O,X,O
TIZSJLO,O,O,X,O,O,X,X
TIZSJOL,O,O,X,O,O,X,O
TIZSOLJ,O,O,X,O,O,X,O
TIZSOJL,O,O,X,O,O,X,O
TIZOLJS,O,O,X,O,O,O,X
TIZOLSJ,O,O,X,O,O,X,O
TIZOJLS,O,O,X,O,O,O,X
TIZOJSL,O,O,X,O,O,O,O
TIZOSLJ,O,O,X,O,O,X,O
TIZOSJL,O,O,X,O,O,X,O
TIOLJSZ,O,X,O,X,X,O,X
TIOLJZS,O,X,O,O,O,O,X
TIOLSJZ,O,X,O,X,X,O,X
TIOLSZJ,O,X,O,X,X,X,X
TIOLZJS,O,X,O,O,O,O,X
TIOLZSJ,O,X,O,O,O,X,X
TIOJLSZ,O,X,O,X,X,O,X
TIOJLZS,O,X,O,O,O,O,X
TIOJSLZ,O,O,O,X,X,O,X
TIOJSZL,O,O,O,X,O,O,X
TIOJZLS,O,O,X,O,O,O,X
TIOJZSL,O,O,X,O,O,O,X
TIOSLJZ,O,O,O,X,X,O,X
TIOSLZJ,O,O,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,X
TIOSJZL,O,O,O,X,O,O,X
TIOSZLJ,O,O,O,X,O,X,O
TIOSZJL,O,O,O,X,O,X,O
TIOZLJS,O,O,X,O,O,O,X
TIOZLSJ,O,O,X,O,O,X,O
TIOZJLS,O,O,X,O,O,O,X
TIOZJSL,O,O,X,O,O,O,O
TIOZSLJ,O,O,X,O,O,X,O
TIOZSJL,O,O,X,O,O,X,O
TLIJSZO,O,X,O,X,X,O,X
TLIJSOZ,O,X,O,X,X,O,X
TLIJZSO,O,X,O,O,O,O,X
TLIJZOS,O,X,O,O,O,O,X
TLIJOSZ,O,X,O,X,X,O,X
TLIJOZS,O,X,O,O,O,O,X
TLISJZO,O,X,O,X,X,O,X
TLISJOZ,O,X,O,X,X,O,X
TLISZJO,O,X,O,X,X,X,X
TLISZOJ,O,X,O,X,X,X,X
TLISOJZ,O,X,O,X,X,O,X
TLISOZJ,O,X,O,X,X,X,X
TLIZJSO,O,X,O,O,O,O,X
TLIZJOS,O,X,O,O,O,O,X
TLIZSJO,O,X,O,O,O,X,X
TLIZSOJ,O,X,O,O,O,X,X
TLIZOJS,O,X,O,O,O,O,X
TLIZOSJ,O,X,O,O,O,X,X
TLIOJSZ,O,X,O,X,X,O,X
TLIOJZS,O,X,O,O,O,O,X
TLIOSJZ,O,X,O,X,X,O,X
TLIOSZJ,O,X,O,X,X,X,X
TLIOZJS,O,X,O,O,O,O,X
TLIOZSJ,O,X,O,O,O,X,X
TLJISZO,O,X,O,X,X,O,X
TLJISOZ,O,X,O,X,X,O,X
TLJIZSO,O,X,O,O,O,O,X
TLJIZOS,O,X,O,O,O,O,X
TLJIOSZ,O,X,O,X,X,O,X
TLJIOZS,O,X,O,O,O,O,X
TLJSIZO,O,O,O,X,X,O,X
TLJSIOZ,O,O,O,X,X,O,X
TLJSZIO,O,O,O,O,X,O,X
TLJSZOI,O,O,O,O,X,O,X
TLJSOIZ,O,O,O,X,X,O,X
TLJSOZI,O,O,O,O,X,O,X
TLJZISO,O,O,O,O,O,O,X
TLJZIOS,O,O,O,O,O,O,X
TLJZSIO,O,O,O,O,O,O,X
TLJZSOI,O,O,O,O,O,O,X
TLJZOIS,O,O,O,O,O,O,X
TLJZOSI,O,O,O,O,O,O,X
TLJOISZ,O,X,O,X,X,O,X
TLJOIZS,O,X,O,O,O,O,X
TLJOSIZ,O,O,O,X,X,O,X
TLJOSZI,O,O,O,O,X,O,X
TLJOZIS,O,O,O,O,O,O,X
TLJOZSI,O,O,O,O,O,O,X
TLSIJZO,O,O,O,X,X,O,X
TLSIJOZ,O,O,O,X,X,O,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,O,O,X,X,O,X
TLSIOZJ,O,O,O,X,X,X,X
TLSJIZO,O,O,O,X,X,O,X
TLSJIOZ,O,O,O,X,X,O,X
TLSJZIO,O,O,O,O,X,O,X
TLSJZOI,O,O,O,O,X,O,X
TLSJOIZ,O,O,O,X,X,O,X
TLSJOZI,O,O,O,O,X,O,X
TLSZIJO,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,X
TLSZJIO,O,O,O,O,X,X,X
TLSZJOI,O,O,O,O,X,X,X
TLSZOIJ,O,O,O,O,X,X,X
TLSZOJI,O,O,O,O,X,X,X
TLSOIJZ,O,O,O,X,X,O,X
TLSOIZJ,O,O,O,X,X,X,X
TLSOJIZ,O,O,O,X,X,O,X
TLSOJZI,O,O,O,O,X,O,X
TLSOZIJ,O,O,O,O,X,X,X
TLSOZJI,O,O,O,O,X,X,X
TLZIJSO,O,O,O,O,O,O,X
TLZIJOS,O,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,X,X
TLZISOJ,O,O,O,O,O,X,X
TLZIOJS,O,O,O,O,O,O,X
TLZIOSJ,O,O,O,O,O,X,X
TLZJISO,O,O,O,O,O,O,X
TLZJIOS,O,O,O,O,O,O,X
TLZJSIO,O,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,O,X
TLZJOIS,O,O,O,O,O,O,X
TLZJOSI,O,O,O,O,O,O,X
TLZSIJO,O,O,O,O,O,X,X
TLZSIOJ,O,O,O,O,O,X,X
TLZSJIO,O,O,O,O,O,X,X
TLZSJOI,O,O,O,O,O,X,X
TLZSOIJ,O,O,O,O,O,X,X
TLZSOJI,O,O,O,O,O,X,X
TLZOIJS,O,O,O,O,O,O,X
TLZOISJ,O,O,O,O,O,X,X
TLZOJIS,O,O,O,O,O,O,X
TLZOJSI,O,O,O,O,O,O,X
TLZOSIJ,O,O,O,O,O,X,X
TLZOSJI,O,O,O,O,O,X,X
TLOIJSZ,O,X,O,X,X,O,X
TLOIJZS,O,X,O,O,O,O,X
TLOISJZ,O,X,O,X,X,O,X
TLOISZJ,O,X,O,X,X,X,X
TLOIZJS,O,X,O,O,O,O,X
TLOIZSJ,O,X,O,O,O,X,X
TLOJISZ,O,X,O,X,X,O,X
TLOJIZS,O,X,O,O,O,O,X
TLOJSIZ,O,O,O,X,X,O,X
TLOJSZI,O,O,O,O,X,O,X
TLOJZIS,O,O,O,O,O,O,X
TLOJZSI,O,O,O,O,O,O,X
TLOSIJZ,O,O,O,X,X,O,X
TLOSIZJ,O,O,O,X,X,X,X
TLOSJIZ,O,O,O,X,X,O,X
TLOSJZI,O,O,O,O,X,O,X
TLOSZIJ,O,O,O,O,X,X,X
TLOSZJI,O,O,O,O,X,X,X
TLOZIJS,O,O,O,O,O,O,X
TLOZISJ,O,O,O,O,O,X,X
TLOZJIS,O,O,O,O,O,O,X
TLOZJSI,O,O,O,O,O,O,X
TLOZSIJ,O,O,O,O,O,X,X
TLOZSJI,O,O,O,O,O,X,X
TJILSZO,O,X,O,X,X,O,X
TJILSOZ,O,X,O,X,X,O,X
TJILZSO,O,X,O,O,O,O,X
TJILZOS,O,X,O,O,O,O,X
TJILOSZ,O,X,O,X,X,O,X
TJILOZS,O,X,O,O,O,O,X
TJISLZO,O,O,O,X,X,O,X
TJISLOZ,O,O,O,X,X,O,X
TJISZLO,O,O,O,X,O,O,X
TJISZOL,O,O,O,X,O,O,X
TJISOLZ,O,O,O,X,X,O,X
TJISOZL,O,O,O,X,O,O,X
TJIZLSO,O,O,X,O,O,O,X
TJIZLOS,O,O,X,O,O,O,X
TJIZSLO,O,O,X,O,O,O,X
TJIZSOL,O,O,X,O,O,O,X
TJIZOLS,O,O,X,O,O,O,X
TJIZOSL,O,O,X,O,O,O,X
TJIOLSZ,O,X,O,X,X,O,X
TJIOLZS,O,X,O,O,O,O,X
TJIOSLZ,O,O,O,X,X,O,X
TJIOSZL,O,O,O,X,O,O,X
TJIOZLS,O,O,X,O,O,O,X
TJIOZSL,O,O,X,O,O,O,X
TJLISZO,O,X,O,X,X,O,X
TJLISOZ,O,X,O,X,X,O,X
TJLIZSO,O,X,O,O,O,O,X
TJLIZOS,O,X,O,O,O,O,X
TJLIOSZ,O,X,O,X,X,O,X
TJLIOZS,O,X,O,O,O,O,X
TJLSIZO,O,O,O,X,X,O,X
TJLSIOZ,O,O,O,X,X,O,X
TJLSZIO,O,O,O,O,X,O,X
TJLSZOI,O,O,O,O,X,O,X
TJLSOIZ,O,O,O,X,X,O,X
TJLSOZI,O,O,O,O,X,O,X
TJLZISO,O,O,O,O,O,O,X
TJLZIOS,O,O,O,O,O,O,X
TJLZSIO,O,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,O,X
TJLZOIS,O,O,O,O,O,O,X
TJLZOSI,O,O,O,O,O,O,X
TJLOISZ,O,X,O,X,X,O,X
TJLOIZS,O,X,O,O,O,O,X
TJLOSIZ,O,O,O,X,X,O,X
TJLOSZI,O,O,O,O,X,O,X
TJLOZIS,O,O,O,O,O,O,X
TJLOZSI,O,O,O,O,O,O,X
TJSILZO,O,O,O,X,X,O,X
TJSILOZ,O,O,O,X,X,O,X
TJSIZLO,O,O,O,X,O,O,X
TJSIZOL,O,O,O,X,O,O,X
TJSIOLZ,O,O,O,X,X,O,X
TJSIOZL,O,O,O,X,O,O,X
TJSLIZO,O,O,O,X,X,O,X
TJSLIOZ,O,O,O,X,X,O,X
TJSLZIO,O,O,O,O,X,O,X
TJSLZOI,O,O,O,O,X,O,X
TJSLOIZ,O,O,O,X,X,O,X
TJSLOZI,O,O,O,O,X,O,X
TJSZILO,O,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,O,X
TJSOILZ,O,O,O,X,X,O,X
TJSOIZL,O,O,O,X,O,O,X
TJSOLIZ,O,O,O,X,X,O,X
TJSOLZI,O,O,O,O,X,O,X
TJSOZIL,O,O,O,O,O,O,X
TJSOZLI,O,O,O,O,O,O,X
TJZILSO,O,O,X,O,O,O,X
TJZILOS,O,O,X,O,O,O,X
TJZISLO,O,O,X,O,O,O,X
TJZISOL,O,O,X,O,O,O,X
TJZIOLS,O,O,X,O,O,O,X
TJZIOSL,O,O,X,O,O,O,X
TJZLISO,O,O,O,O,O,O,X
TJZLIOS,O,O,O,O,O,O,X
TJZLSIO,O,O,O,O,O,O,X
TJZLSOI,O,O,O,O,O,O,X
TJZLOIS,O,O,O,O,O,O,X
TJZLOSI,O,O,O,O,O,O,X
TJZSILO,O,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,O,X
TJZSLIO,O,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,O,X
TJZOILS,O,O,X,O,O,O,X
TJZOISL,O,O,X,O,O,O,X
TJZOLIS,O,O,O,O,O,O,X
TJZOLSI,O,O,O,O,O,O,X
TJZOSIL,O,O,O,O,O,O,X
TJZOSLI,O,O,O,O,O,O,X
TJOILSZ,O,X,O,X,X,O,X
TJOILZS,O,X,O,O,O,O,X
TJOISLZ,O,O,O,X,X,O,X
TJOISZL,O,O,O,X,O,O,X
TJOIZLS,O,O,X,O,O,O,X
TJOIZSL,O,O,X,O,O,O,X
TJOLISZ,O,X,O,X,X,O,X
TJOLIZS,O,X,O,O,O,O,X
TJOLSIZ,O,O,O,X,X,O,X
TJOLSZI,O,O,O,O,X,O,X
TJOLZIS,O,O,O,O,O,O,X
TJOLZSI,O,O,O,O,O,O,X
TJOSILZ,O,O,O,X,X,O,X
TJOSIZL,O,O,O,X,O,O,X
TJOSLIZ,O,O,O,X,X,O,X
TJOSLZI,O,O,O,O,X,O,X
TJOSZIL,O,O,O,O,O,O,X
TJOSZLI,O,O,O,O,O,O,X
TJOZILS,O,O,X,O,O,O,X
TJOZISL,O,O,X,O,O,O,X
TJOZLIS,O,O,O,O,O,O,X
TJOZLSI,O,O,O,O,O,O,X
TJOZSIL,O,O,O,O,O,O,X
TJOZSLI,O,O,O,O,O,O,X
TSILJZO,O,O,O,X,X,O,X
TSILJOZ,O,O,O,X,X,O,X
TSILZJO,O,O,O,X,X,X,X
TSILZOJ,O,O,O,X,X,X,X
TSILOJZ,O,O,O,X,X,O,X
TSILOZJ,O,O,O,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X
TSIJLOZ,O,O,O,X,X,O,X
TSIJZLO,O,O,O,X,O,O,X
TSIJZOL,O,O,O,X,O,O,X
TSIJOLZ,O,O,O,X,X,O,X
TSIJOZL,O,O,O,X,O,O,X
TSIZLJO,O,O,O,X,O,X,X
TSIZLOJ,O,O,O,X,O,X,X
TSIZJLO,O,O,O,X,O,X,X
TSIZJOL,O,O,O,X,O,X,X
TSIZOLJ,O,O,X,X,O,X,X
TSIZOJL,O,O,O,X,O,X,X
TSIOLJZ,O,O,O,X,X,O,X
TSIOLZJ,O,O,O,X,X,X,X
TSIOJLZ,O,O,O,X,X,O,X
TSIOJZL,O,O,O,X,O,O,X
TSIOZLJ,O,O,O,X,O,X,X
TSIOZJL,O,O,O,X,O,X,X
TSLIJZO,O,O,O,X,X,O,X
TSLIJOZ,O,O,O,X,X,O,X
TSLIZJO,O,O,O,X,X,X,X
TSLIZOJ,O,O,O,X,X,X,X
TSLIOJZ,O,O,O,X,X,O,X
TSLIOZJ,O,O,O,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X
TSLJIOZ,O,O,O,X,X,O,X
TSLJZIO,O,O,O,O,X,O,X
TSLJZOI,O,O,O,O,X,O,X
TSLJOIZ,O,O,O,X,X,O,X
TSLJOZI,O,O,O,O,X,O,X
TSLZIJO,O,O,O,O,X,X,X
TSLZIOJ,O,O,O,O,X,X,X
TSLZJIO,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,X,X,X
TSLZOIJ,O,O,O,O,X,X,X
TSLZOJI,O,O,O,O,X,X,X
TSLOIJZ,O,O,O,X,X,O,X
TSLOIZJ,O,O,O,X,X,X,X
TSLOJIZ,O,O,O,X,X,O,X
TSLOJZI,O,O,O,O,X,O,X
TSLOZIJ,O,O,O,O,X,X,X
TSLOZJI,O,O,O,O,X,X,X
TSJILZO,O,O,O,X,X,O,X
TSJILOZ,O,O,O,X,X,O,X
TSJIZLO,O,O,O,X,O,O,X
TSJIZOL,O,O,O,X,O,O,X
TSJIOLZ,O,O,O,X,X,O,X
TSJIOZL,O,O,O,X,O,O,X
TSJLIZO,O,O,O,X,X,O,X
TSJLIOZ,O,O,O,X,X,O,X
TSJLZIO,O,O,O,O,X,O,X
TSJLZOI,O,O,O,O,X,O,X
TSJLOIZ,O,O,O,X,X,O,X
TSJLOZI,O,O,O,O,X,O,X
TSJZILO,O,O,O,O,O,O,X
TSJZIOL,O,O,O,O,O,O,X
TSJZLIO,O,O,O,O,O,O,X
TSJZLOI,O,O,O,O,O,O,X
TSJZOIL,O,O,O,O,O,O,X
TSJZOLI,O,O,O,O,O,O,X
TSJOILZ,O,O,O,X,X,O,X
TSJOIZL,O,O,O,X,O,O,X
TSJOLIZ,O,O,O,X,X,O,X
TSJOLZI,O,O,O,O,X,O,X
TSJOZIL,O,O,O,O,O,O,X
TSJOZLI,O,O,O,O,O,O,X
TSZILJO,O,O,O,O,O,X,X
TSZILOJ,O,O,O,O,O,X,X
TSZIJLO,O,O,O,O,O,X,X
TSZIJOL,O,O,O,O,O,X,X
TSZIOLJ,O,O,X,O,O,X,X
TSZIOJL,O,O,O,O,O,X,X
TSZLIJO,O,O,O,O,O,X,X
TSZLIOJ,O,O,O,O,O,X,X
TSZLJIO,O,O,O,O,O,X,X
TSZLJOI,O,O,O,O,O,X,X
TSZLOIJ,O,O,O,O,O,X,X
TSZLOJI,O,O,O,O,O,X,X
TSZJILO,O,O,O,O,O,X,X
TSZJIOL,O,O,O,O,O,X,X
TSZJLIO,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,O,X,X
TSZJOIL,O,O,O,O,O,X,X
TSZJOLI,O,O,O,O,O,X,X
TSZOILJ,O,O,O,O,O,X,X
TSZOIJL,O,O,O,O,O,X,X
TSZOLIJ,O,O,O,O,O,X,X
TSZOLJI,O,O,O,O,O,X,X
TSZOJIL,O,O,O,O,O,X,X
TSZOJLI,O,O,O,O,O,X,X
TSOILJZ,O,O,O,X,X,O,X
TSOILZJ,O,O,O,X,X,X,X
TSOIJLZ,O,O,O,X,X,O,X
TSOIJZL,O,O,O,X,O,O,X
TSOIZLJ,O,O,O,X,O,X,X
TSOIZJL,O,O,O,X,O,X,X
TSOLIJZ,O,O,O,X,X,O,X
TSOLIZJ,O,O,O,X,X,X,X
TSOLJIZ,O,O,O,X,X,O,X
TSOLJZI,O,O,O,O,X,O,X
TSOLZIJ,O,O,O,O,X,X,X
TSOLZJI,O,O,O,O,X,X,X
TSOJILZ,O,O,O,X,X,O,X
TSOJIZL,O,O,O,X,O,O,X
TSOJLIZ,O,O,O,X,X,O,X
TSOJLZI,O,O,O,O,X,O,X
TSOJZIL,O,O,O,O,O,O,X
TSOJZLI,O,O,O,O,O,O,X
TSOZILJ,O,O,O,O,O,X,X
TSOZIJL,O,O,O,O,O,X,X
TSOZLIJ,O,O,O,O,O,X,X
TSOZLJI,O,O,O,O,O,X,X
TSOZJIL,O,O,O,O,O,X,X
TSOZJLI,O,O,O,O,O,X,X
TZILJSO,O,O,X,O,O,O,X
TZILJOS,O,O,X,O,O,O,X
TZILSJO,O,O,X,O,O,X,X
TZILSOJ,O,O,X,O,O,X,O
TZILOJS,O,O,X,O,O,O,X
TZILOSJ,O,O,X,O,O,X,O
TZIJLSO,O,O,X,O,O,O,X
TZIJLOS,O,O,X,O,O,O,X
TZIJSLO,O,O,X,O,O,O,X
TZIJSOL,O,O,X,O,O,O,O
TZIJOLS,O,O,X,O,O,O,X
TZIJOSL,O,O,X,O,O,O,O
TZISLJO,O,O,X,O,O,X,X
TZISLOJ,O,O,X,O,O,X,O
TZISJLO,O,O,X,O,O,X,X
TZISJOL,O,O,X,O,O,X,O
TZISOLJ,O,O,X,O,O,X,O
TZISOJL,O,O,X,O,O,X,O
TZIOLJS,O,O,X,O,O,O,X
TZIOLSJ,O,O,X,O,O,X,O
TZIOJLS,O,O,X,O,O,O,X
TZIOJSL,O,O,X,O,O,O,O
TZIOSLJ,O,O,X,O,O,X,O
TZIOSJL,O,O,X,O,O,X,O
TZLIJSO,O,O,O,O,O,O,X
TZLIJOS,O,O,O,O,O,O,X
TZLISJO,O,O,O,O,O,X,X
TZLISOJ,O,O,O,O,O,X,O
TZLIOJS,O,O,O,O,O,O,X
TZLIOSJ,O,O,O,O,O,X,O
TZLJISO,O,O,O,O,O,O,X
TZLJIOS,O,O,O,O,O,O,X
TZLJSIO,O,O,O,O,O,O,X
TZLJSOI,O,O,O,O,O,O,X
TZLJOIS,O,O,O,O,O,O,X
TZLJOSI,O,O,O,O,O,O,X
TZLSIJO,O,O,O,O,O,X,X
TZLSIOJ,O,O,O,O,O,X,X
TZLSJIO,O,O,O,O,O,X,X
TZLSJOI,O,O,O,O,O,X,X
TZLSOIJ,O,O,O,O,O,X,O
TZLSOJI,O,O,O,O,O,X,X
TZLOIJS,O,O,O,O,O,O,X
TZLOISJ,O,O,O,O,O,X,O
TZLOJIS,O,O,O,O,O,O,X
TZLOJSI,O,O,O,O,O,O,X
TZLOSIJ,O,O,O,O,O,X,O
TZLOSJI,O,O,O,O,O,X,X
TZJILSO,O,O,X,O,O,O,X
TZJILOS,O,O,X,O,O,O,X
TZJISLO,O,O,X,O,O,O,X
TZJISOL,O,O,X,O,O,O,O
TZJIOLS,O,O,X,O,O,O,X
TZJIOSL,O,O,X,O,O,O,O
TZJLISO,O,O,O,O,O,O,X
TZJLIOS,O,O,O,O,O,O,X
TZJLSIO,O,O,O,O,O,O,X
TZJLSOI,O,O,O,O,O,O,X
TZJLOIS,O,O,O,O,O,O,X
TZJLOSI,O,O,O,O,O,O,X
TZJSILO,O,O,O,O,O,O,X
TZJSIOL,O,O,O,O,O,O,X
TZJSLIO,O,O,O,O,O,O,X
TZJSLOI,O,O,O,O,O,O,X
TZJSOIL,O,O,O,O,O,O,O
TZJSOLI,O,O,O,O,O,O,X
TZJOILS,O,O,X,O,O,O,X
TZJOISL,O,O,X,O,O,O,O
TZJOLIS,O,O,O,O,O,O,X
TZJOLSI,O,O,O,O,O,O,X
TZJOSIL,O,O,O,O,O,O,O
TZJOSLI,O,O,O,O,O,O,X
TZSILJO,O,O,O,O,O,X,X
TZSILOJ,O,O,O,O,O,X,O
TZSIJLO,O,O,O,O,O,X,X
TZSIJOL,O,O,O,O,O,X,O
TZSIOLJ,O,O,X,O,O,X,O
TZSIOJL,O,O,O,O,O,X,O
TZSLIJO,O,O,O,O,O,X,X
TZSLIOJ,O,O,O,O,O,X,X
TZSLJIO,O,O,O,O,O,X,X
TZSLJOI,O,O,O,O,O,X,X
TZSLOIJ,O,O,O,O,O,X,O
TZSLOJI,O,O,O,O,O,X,X
TZSJILO,O,O,O,O,O,X,X
TZSJIOL,O,O,O,O,O,X,X
TZSJLIO,O,O,O,O,O,X,X
TZSJLOI,O,O,O,O,O,X,X
TZSJOIL,O,O,O,O,O,X,O
TZSJOLI,O,O,O,O,O,X,X
TZSOILJ,O,O,O,O,O,X,O
TZSOIJL,O,O,O,O,O,X,O
TZSOLIJ,O,O,O,O,O,X,O
TZSOLJI,O,O,O,O,O,X,X
TZSOJIL,O,O,O,O,O,X,O
TZSOJLI,O,O,O,O,O,X,X
TZOILJS,O,O,X,O,O,O,X
TZOILSJ,O,O,X,O,O,X,O
TZOIJLS,O,O,X,O,O,O,X
TZOIJSL,O,O,X,O,O,O,O
TZOISLJ,O,O,X,O,O,X,O
TZOISJL,O,O,X,O,O,X,O
TZOLIJS,O,O,O,O,O,O,X
TZOLISJ,O,O,O,O,O,X,O
TZOLJIS,O,O,O,O,O,O,X
TZOLJSI,O,O,O,O,O,O,X
TZOLSIJ,O,O,O,O,O,X,O
TZOLSJI,O,O,O,O,O,X,X
TZOJILS,O,O,X,O,O,O,X
TZOJISL,O,O,X,O,O,O,O
TZOJLIS,O,O,O,O,O,O,X
TZOJLSI,O,O,O,O,O,O,X
TZOJSIL,O,O,O,O,O,O,O
TZOJSLI,O,O,O,O,O,O,X
TZOSILJ,O,O,O,O,O,X,O
TZOSIJL,O,O,O,O,O,X,O
TZOSLIJ,O,O,O,O,O,X,O
TZOSLJI,O,O,O,O,O,X,X
TZOSJIL,O,O,O,O,O,X,O
TZOSJLI,O,O,O,O,O,X,X
TOILJSZ,O,X,O,X,X,O,X
TOILJZS,O,X,O,O,O,O,X
