sequence,v115@ThB8BeA8AeB8AeB8BeE8JeZEJvhFukB1lB0hB6nBTj?BXrB
TOIJSZL,X
TOIJZLS,O
TOIJZSL,X
TOISLJZ,X
TOISLZJ,X
TOISJLZ,X
TOISJZL,X
TOISZLJ,X
TOISZJL,X
TOIZLJS,O
TOIZLSJ,X
TOIZJLS,O
TOIZJSL,X
TOIZSLJ,X
TOIZSJL,X
TOLIJSZ,X
TOLIJZS,O
TOLISJZ,X
TOLISZJ,X
TOLIZJS,O
TOLIZSJ,X
TOLJISZ,X
TOLJIZS,O
TOLJSIZ,X
TOLJSZI,X
TOLJZIS,O
TOLJZSI,X
TOLSIJZ,X
TOLSIZJ,X
TOLSJIZ,X
TOLSJZI,X
TOLSZIJ,X
TOLSZJI,X
TOLZIJS,O
TOLZISJ,X
TOLZJIS,O
TOLZJSI,X
TOLZSIJ,X
TOLZSJI,X
TOJILSZ,X
TOJILZS,O
TOJISLZ,X
TOJISZL,X
TOJIZLS,O
TOJIZSL,X
TOJLISZ,X
TOJLIZS,O
TOJLSIZ,X
TOJLSZI,X
TOJLZIS,O
TOJLZSI,X
TOJSILZ,X
TOJSIZL,X
TOJSLIZ,X
TOJSLZI,X
TOJSZIL,X
TOJSZLI,X
TOJZILS,O
TOJZISL,X
TOJZLIS,O
TOJZLSI,X
TOJZSIL,X
TOJZSLI,X
TOSILJZ,X
TOSILZJ,X
TOSIJLZ,X
TOSIJZL,X
TOSIZLJ,X
TOSIZJL,X
TOSLIJZ,X
TOSLIZJ,X
TOSLJIZ,X
TOSLJZI,X
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,O
TOZILSJ,X
TOZIJLS,O
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,O
TOZLISJ,X
TOZLJIS,O
TOZLJSI,X
TOZLSIJ,X
TOZLSJI,X
TOZJILS,O
TOZJISL,X
TOZJLIS,O
TOZJLSI,X
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,X
ITLJSOZ,X
ITLJZSO,X
ITLJZOS,O
ITLJOSZ,X
ITLJOZS,O
ITLSJZO,X
ITLSJOZ,X
ITLSZJO,X
ITLSZOJ,X
ITLSOJZ,X
ITLSOZJ,X
ITLZJSO,X
ITLZJOS,O
ITLZSJO,X
ITLZSOJ,X
ITLZOJS,O
ITLZOSJ,X
ITLOJSZ,X
ITLOJZS,O
ITLOSJZ,X
ITLOSZJ,X
ITLOZJS,O
ITLOZSJ,X
ITJLSZO,X
ITJLSOZ,X
ITJLZSO,X
ITJLZOS,O
ITJLOSZ,X
ITJLOZS,O
ITJSLZO,X
ITJSLOZ,X
ITJSZLO,X
ITJSZOL,X
ITJSOLZ,X
ITJSOZL,X
ITJZLSO,X
ITJZLOS,O
ITJZSLO,X
ITJZSOL,X
ITJZOLS,O
ITJZOSL,X
ITJOLSZ,X
ITJOLZS,O
ITJOSLZ,X
ITJOSZL,X
ITJOZLS,O
ITJOZSL,X
ITSLJZO,X
ITSLJOZ,X
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,X
ITSLOZJ,X
ITSJLZO,X
ITSJLOZ,X
ITSJZLO,X
ITSJZOL,X
ITSJOLZ,X
ITSJOZL,X
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,X
ITZLJOS,O
ITZLSJO,X
ITZLSOJ,X
ITZLOJS,O
ITZLOSJ,X
ITZJLSO,X
ITZJLOS,O
ITZJSLO,X
ITZJSOL,X
ITZJOLS,O
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,O
ITZOLSJ,X
ITZOJLS,O
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,X
ITOLJZS,O
ITOLSJZ,X
ITOLSZJ,X
ITOLZJS,O
ITOLZSJ,X
ITOJLSZ,X
ITOJLZS,O
ITOJSLZ,X
ITOJSZL,X
ITOJZLS,O
ITOJZSL,X
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,X
ITOSJZL,X
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,O
ITOZLSJ,X
ITOZJLS,O
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,X
ILTJSOZ,X
ILTJZSO,X
ILTJZOS,O
ILTJOSZ,X
ILTJOZS,O
ILTSJZO,X
ILTSJOZ,X
ILTSZJO,X
ILTSZOJ,X
ILTSOJZ,X
ILTSOZJ,X
ILTZJSO,X
ILTZJOS,O
ILTZSJO,X
ILTZSOJ,X
ILTZOJS,O
ILTZOSJ,X
ILTOJSZ,X
ILTOJZS,O
ILTOSJZ,X
ILTOSZJ,X
ILTOZJS,O
ILTOZSJ,X
ILJTSZO,X
ILJTSOZ,X
ILJTZSO,X
ILJTZOS,O
ILJTOSZ,X
ILJTOZS,O
ILJSTZO,O
ILJSTOZ,O
ILJSZTO,X
ILJSZOT,X
ILJSOTZ,O
ILJSOZT,X
ILJZTSO,X
ILJZTOS,X
ILJZSTO,X
ILJZSOT,X
ILJZOTS,X
ILJZOST,X
ILJOTSZ,X
ILJOTZS,O
ILJOSTZ,O
ILJOSZT,X
ILJOZTS,X
ILJOZST,X
ILSTJZO,O
ILSTJOZ,O
ILSTZJO,O
ILSTZOJ,O
ILSTOJZ,O
ILSTOZJ,O
ILSJTZO,O
ILSJTOZ,O
ILSJZTO,X
ILSJZOT,X
ILSJOTZ,O
ILSJOZT,X
ILSZTJO,O
ILSZTOJ,O
ILSZJTO,X
ILSZJOT,X
ILSZOTJ,O
ILSZOJT,X
ILSOTJZ,O
ILSOTZJ,O
ILSOJTZ,O
ILSOJZT,X
ILSOZTJ,O
ILSOZJT,X
ILZTJSO,X
ILZTJOS,O
ILZTSJO,X
ILZTSOJ,X
ILZTOJS,O
ILZTOSJ,X
ILZJTSO,X
ILZJTOS,X
ILZJSTO,X
ILZJSOT,X
ILZJOTS,X
ILZJOST,X
ILZSTJO,X
ILZSTOJ,X
ILZSJTO,X
ILZSJOT,X
ILZSOTJ,X
ILZSOJT,X
ILZOTJS,O
ILZOTSJ,X
ILZOJTS,X
ILZOJST,X
ILZOSTJ,X
ILZOSJT,X
ILOTJSZ,X
ILOTJZS,O
ILOTSJZ,X
ILOTSZJ,X
ILOTZJS,O
ILOTZSJ,X
ILOJTSZ,X
ILOJTZS,O
ILOJSTZ,O
ILOJSZT,X
ILOJZTS,X
ILOJZST,X
ILOSTJZ,O
ILOSTZJ,O
ILOSJTZ,O
ILOSJZT,X
ILOSZTJ,O
ILOSZJT,X
ILOZTJS,O
ILOZTSJ,X
ILOZJTS,X
ILOZJST,X
ILOZSTJ,X
ILOZSJT,X
IJTLSZO,X
IJTLSOZ,X
IJTLZSO,X
IJTLZOS,O
