sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TLZJOIS,O,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,O,O,X,X
TLZSIJO,O,O,O,O,O,O,O,X
TLZSIOJ,O,O,X,O,O,O,O,X
TLZSJIO,O,O,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O,O,X
TLZSOIJ,O,O,X,O,O,O,O,X
TLZSOJI,O,O,X,O,O,O,O,X
TLZOIJS,O,O,X,O,O,O,O,X
TLZOISJ,O,O,X,O,O,O,X,X
TLZOJIS,O,O,X,O,O,O,X,X
TLZOJSI,O,O,X,O,O,O,X,X
TLZOSIJ,O,O,X,O,X,O,O,X
TLZOSJI,O,O,X,O,X,O,O,X
TLOIJSZ,X,X,O,O,O,X,O,X
TLOIJZS,X,X,O,O,O,O,O,X
TLOISJZ,O,O,O,O,X,X,O,X
TLOISZJ,O,O,X,O,X,O,O,X
TLOIZJS,O,O,X,O,X,O,O,X
TLOIZSJ,O,O,X,O,X,O,X,X
TLOJISZ,X,X,O,O,O,X,O,X
TLOJIZS,X,X,O,O,O,O,O,X
TLOJSIZ,O,X,O,O,O,X,O,X
TLOJSZI,O,X,O,O,O,X,O,X
TLOJZIS,O,X,O,O,O,O,X,X
TLOJZSI,O,X,O,O,O,O,X,X
TLOSIJZ,O,O,O,O,X,X,O,X
TLOSIZJ,O,O,X,O,X,O,O,X
TLOSJIZ,O,O,O,O,O,X,O,X
TLOSJZI,O,O,O,O,O,X,O,X
TLOSZIJ,O,O,X,O,O,O,O,X
TLOSZJI,O,O,X,O,O,O,O,X
TLOZIJS,O,O,X,O,O,O,O,X
TLOZISJ,O,O,X,O,O,O,X,X
TLOZJIS,O,O,X,O,O,O,X,X
TLOZJSI,O,O,X,O,O,O,X,X
TLOZSIJ,O,O,X,O,X,O,O,X
TLOZSJI,O,O,X,O,X,O,O,X
TJILSZO,X,O,O,O,O,X,X,O
TJILSOZ,X,O,O,O,O,X,O,X
TJILZSO,X,O,O,O,O,O,X,X
TJILZOS,X,O,O,O,O,O,O,X
TJILOSZ,X,X,O,O,O,X,O,X
TJILOZS,X,X,O,O,O,O,O,X
TJISLZO,X,O,O,O,O,X,X,O
TJISLOZ,X,O,O,O,O,X,O,X
TJISZLO,X,O,X,O,O,X,X,O
TJISZOL,X,O,X,O,O,X,X,O
TJISOLZ,X,O,O,O,O,X,O,X
TJISOZL,X,O,X,O,O,X,X,X
TJIZLSO,X,O,O,O,O,X,X,X
TJIZLOS,X,X,O,O,O,X,O,X
TJIZSLO,X,O,X,O,O,X,X,X
TJIZSOL,X,O,X,O,X,X,X,X
TJIZOLS,X,X,O,O,O,X,O,X
TJIZOSL,X,O,X,O,O,X,X,X
TJIOLSZ,X,X,O,O,O,X,O,X
TJIOLZS,X,X,O,O,O,O,O,X
TJIOSLZ,X,X,O,O,O,X,O,X
TJIOSZL,X,X,X,O,O,X,X,X
TJIOZLS,X,X,O,O,O,X,O,X
TJIOZSL,X,X,X,O,O,X,X,X
TJLISZO,X,O,O,O,O,X,X,O
TJLISOZ,X,O,O,O,O,X,O,X
TJLIZSO,X,O,O,O,O,O,X,X
TJLIZOS,X,O,O,O,O,O,O,X
TJLIOSZ,X,X,O,O,O,X,O,X
TJLIOZS,X,X,O,O,O,O,O,X
TJLSIZO,X,O,O,O,O,X,O,O
TJLSIOZ,O,O,O,O,O,X,O,X
TJLSZIO,O,O,O,O,O,X,O,O
TJLSZOI,O,O,O,O,O,X,O,O
TJLSOIZ,O,O,O,O,O,X,O,X
TJLSOZI,O,O,O,O,O,X,O,O
TJLZISO,O,O,O,O,O,O,X,X
TJLZIOS,O,O,O,O,O,O,X,X
TJLZSIO,O,O,O,O,O,O,X,O
TJLZSOI,O,O,O,O,O,O,X,O
TJLZOIS,O,O,O,O,O,O,X,X
TJLZOSI,O,O,O,O,O,O,X,X
TJLOISZ,X,X,O,O,O,X,O,X
TJLOIZS,X,X,O,O,O,O,O,X
TJLOSIZ,O,X,O,O,O,X,O,X
TJLOSZI,O,X,O,O,O,X,O,O
TJLOZIS,O,X,O,O,O,O,X,X
TJLOZSI,O,X,O,O,O,O,X,X
TJSILZO,X,O,O,O,O,X,O,O
TJSILOZ,O,O,O,O,O,X,O,X
TJSIZLO,X,O,X,O,O,X,O,O
TJSIZOL,X,O,X,O,O,X,O,O
TJSIOLZ,O,O,O,O,O,X,O,X
TJSIOZL,X,O,X,O,O,X,O,X
TJSLIZO,X,O,O,O,O,X,O,O
TJSLIOZ,O,O,O,O,O,X,O,X
TJSLZIO,O,O,O,O,O,X,O,O
TJSLZOI,O,O,O,O,O,X,O,O
TJSLOIZ,O,O,O,O,O,X,O,X
TJSLOZI,O,O,O,O,O,X,O,O
TJSZILO,O,O,X,O,O,X,O,O
TJSZIOL,O,O,X,O,O,X,O,O
TJSZLIO,O,O,O,O,O,X,O,O
TJSZLOI,O,O,O,O,O,X,O,O
TJSZOIL,O,O,X,O,O,X,O,O
TJSZOLI,O,O,O,O,O,X,O,O
TJSOILZ,O,O,O,O,O,X,O,X
TJSOIZL,X,O,X,O,O,X,O,X
TJSOLIZ,O,O,O,O,O,X,O,X
TJSOLZI,O,O,O,O,O,X,O,O
TJSOZIL,O,O,X,O,O,X,O,O
TJSOZLI,O,O,O,O,O,X,O,O
TJZILSO,O,O,O,O,O,O,X,X
TJZILOS,O,O,O,O,O,O,X,X
TJZISLO,O,O,X,O,O,X,X,X
TJZISOL,O,O,X,O,O,X,X,X
TJZIOLS,O,X,O,O,O,O,X,X
TJZIOSL,O,O,X,O,O,X,X,X
TJZLISO,O,O,O,O,O,O,X,X
TJZLIOS,O,O,O,O,O,O,X,X
TJZLSIO,O,O,O,O,O,O,X,O
TJZLSOI,O,O,O,O,O,O,X,O
TJZLOIS,O,O,O,O,O,O,X,X
TJZLOSI,O,O,O,O,O,O,X,X
TJZSILO,O,O,X,O,O,X,X,O
TJZSIOL,O,O,X,O,O,X,X,O
TJZSLIO,O,O,O,O,O,O,X,O
TJZSLOI,O,O,O,O,O,O,X,O
TJZSOIL,O,O,X,O,O,X,X,O
TJZSOLI,O,O,O,O,O,O,X,O
TJZOILS,O,X,O,O,O,O,X,X
TJZOISL,O,O,X,O,O,X,X,X
TJZOLIS,O,O,O,O,O,O,X,X
TJZOLSI,O,O,O,O,O,O,X,X
TJZOSIL,O,O,X,O,O,X,X,X
TJZOSLI,O,O,O,O,O,O,X,X
TJOILSZ,X,X,O,O,O,X,O,X
TJOILZS,X,X,O,O,O,O,O,X
TJOISLZ,X,X,O,O,O,X,O,X
TJOISZL,X,X,X,O,O,X,X,X
TJOIZLS,X,X,O,O,O,X,O,X
TJOIZSL,X,X,X,O,O,X,X,X
TJOLISZ,X,X,O,O,O,X,O,X
TJOLIZS,X,X,O,O,O,O,O,X
TJOLSIZ,O,X,O,O,O,X,O,X
TJOLSZI,O,X,O,O,O,X,O,O
TJOLZIS,O,X,O,O,O,O,X,X
TJOLZSI,O,X,O,O,O,O,X,X
TJOSILZ,O,X,O,O,O,X,O,X
TJOSIZL,X,X,X,O,O,X,O,X
