sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
IJSZTOL,X,O,X,O,X,X,X,O
IJSZLTO,X,X,X,O,X,X,X,O
IJSZLOT,X,O,X,O,X,X,X,O
IJSZOTL,X,O,X,O,X,X,X,O
IJSZOLT,X,O,X,O,X,X,X,O
IJSOTLZ,X,O,O,O,O,X,X,X
IJSOTZL,X,O,X,O,O,X,X,X
IJSOLTZ,X,X,O,O,O,X,X,X
IJSOLZT,X,O,X,O,X,X,X,O
IJSOZTL,X,O,X,O,X,X,X,O
IJSOZLT,X,O,X,X,X,X,X,O
IJZTLSO,X,X,O,O,O,X,X,X
IJZTLOS,X,X,O,O,O,X,X,X
IJZTSLO,X,X,X,O,O,X,X,X
IJZTSOL,X,O,X,O,O,X,X,X
IJZTOLS,X,X,O,O,O,X,X,X
IJZTOSL,X,X,X,O,O,X,X,X
IJZLTSO,X,X,O,O,O,X,X,X
IJZLTOS,X,X,O,O,O,X,X,X
IJZLSTO,X,X,X,O,O,X,X,X
IJZLSOT,X,O,X,O,O,X,X,X
IJZLOTS,X,X,O,O,O,X,X,X
IJZLOST,X,X,X,O,O,X,X,X
IJZSTLO,X,X,X,O,O,X,X,X
IJZSTOL,X,O,X,O,O,X,X,X
IJZSLTO,X,X,X,O,O,X,X,X
IJZSLOT,X,O,X,O,O,X,X,X
IJZSOTL,X,O,X,O,O,X,X,X
IJZSOLT,X,O,X,O,O,X,X,X
IJZOTLS,X,X,O,O,O,X,X,X
IJZOTSL,X,X,X,O,O,X,X,X
IJZOLTS,X,X,O,O,O,X,X,X
IJZOLST,X,X,X,O,O,X,X,X
IJZOSTL,X,O,X,O,O,X,X,X
IJZOSLT,X,O,X,O,O,X,X,X
IJOTLSZ,X,X,O,O,O,X,X,X
IJOTLZS,X,X,O,O,O,O,X,X
IJOTSLZ,X,X,O,O,O,X,X,X
IJOTSZL,X,X,X,O,O,X,X,X
IJOTZLS,X,X,O,O,O,X,X,X
IJOTZSL,X,X,X,O,O,X,X,X
IJOLTSZ,X,X,O,O,O,X,X,X
IJOLTZS,X,X,O,O,O,X,X,X
IJOLSTZ,X,X,O,O,O,X,X,X
IJOLSZT,X,X,X,O,O,X,X,X
IJOLZTS,X,X,O,O,O,X,X,X
IJOLZST,X,X,X,O,O,X,X,X
IJOSTLZ,X,X,O,O,O,X,X,X
IJOSTZL,X,X,X,O,O,X,X,X
IJOSLTZ,X,X,O,O,O,X,X,X
IJOSLZT,X,X,X,O,O,X,X,X
IJOSZTL,X,X,X,O,O,X,X,X
IJOSZLT,X,X,X,X,O,X,X,X
IJOZTLS,X,X,O,O,O,X,X,X
IJOZTSL,X,X,X,O,O,X,X,X
IJOZLTS,X,X,O,O,O,X,X,X
IJOZLST,X,X,X,O,O,X,X,X
IJOZSTL,X,X,X,O,O,X,X,X
IJOZSLT,X,X,X,X,O,X,X,X
ISTLJZO,X,O,O,X,O,X,O,O
ISTLJOZ,O,O,O,X,O,X,O,X
ISTLZJO,O,O,O,X,O,O,O,O
ISTLZOJ,O,O,X,X,O,O,O,X
ISTLOJZ,O,O,O,X,X,X,O,X
ISTLOZJ,O,O,X,X,X,O,O,X
ISTJLZO,X,O,O,X,O,X,O,O
ISTJLOZ,O,O,O,X,O,X,O,X
ISTJZLO,X,O,X,X,O,X,O,O
ISTJZOL,X,O,X,X,O,X,O,O
ISTJOLZ,O,O,O,X,O,X,O,X
ISTJOZL,X,O,X,X,O,X,O,X
ISTZLJO,O,O,X,X,O,X,O,O
ISTZLOJ,O,O,X,X,O,X,O,X
ISTZJLO,O,O,X,X,O,X,O,O
ISTZJOL,O,O,X,X,O,X,O,O
ISTZOLJ,O,O,X,X,O,X,O,X
ISTZOJL,O,O,X,X,O,X,O,X
ISTOLJZ,O,O,X,X,X,X,O,X
ISTOLZJ,O,O,X,X,X,O,O,X
ISTOJLZ,O,O,X,X,O,X,O,X
ISTOJZL,X,O,X,X,O,X,O,X
ISTOZLJ,O,O,X,X,O,X,O,X
ISTOZJL,O,O,X,X,O,X,O,X
ISLTJZO,X,O,X,X,O,X,O,O
ISLTJOZ,O,O,X,X,O,X,O,X
ISLTZJO,O,O,X,X,O,X,O,O
ISLTZOJ,O,O,X,X,O,X,O,X
ISLTOJZ,O,O,X,X,X,X,O,X
ISLTOZJ,O,O,X,X,X,X,O,X
ISLJTZO,X,X,O,X,O,X,O,O
ISLJTOZ,O,X,O,X,O,X,O,X
ISLJZTO,X,O,X,X,X,X,O,O
ISLJZOT,X,O,X,X,X,X,X,O
ISLJOTZ,X,X,O,X,O,X,O,X
ISLJOZT,X,O,X,X,X,X,X,O
ISLZTJO,O,O,X,X,X,X,O,O
ISLZTOJ,O,O,X,X,X,X,O,X
ISLZJTO,O,O,X,X,X,X,O,O
ISLZJOT,O,O,X,X,X,X,X,O
ISLZOTJ,O,O,X,X,X,X,X,X
ISLZOJT,X,O,X,X,X,X,X,O
ISLOTJZ,O,O,X,X,X,X,O,X
ISLOTZJ,O,O,X,X,X,X,O,X
ISLOJTZ,X,X,X,X,X,X,O,X
ISLOJZT,X,O,X,X,X,X,X,O
ISLOZTJ,X,O,X,X,X,X,X,X
ISLOZJT,X,O,X,X,X,X,X,O
ISJTLZO,X,O,O,X,O,X,O,O
ISJTLOZ,O,O,O,X,O,X,O,X
ISJTZLO,X,O,X,X,O,X,O,O
ISJTZOL,X,O,X,X,O,X,O,O
ISJTOLZ,O,O,O,X,O,X,O,X
ISJTOZL,X,O,X,X,O,X,O,X
ISJLTZO,X,X,O,X,O,X,O,O
ISJLTOZ,O,X,O,X,O,X,O,X
ISJLZTO,X,O,X,X,X,X,O,O
ISJLZOT,X,O,X,X,X,X,X,O
ISJLOTZ,X,X,O,X,O,X,O,X
ISJLOZT,X,O,X,X,X,X,X,O
ISJZTLO,X,X,X,X,X,X,O,O
ISJZTOL,X,O,X,X,X,X,O,O
ISJZLTO,X,X,X,X,X,X,O,O
ISJZLOT,X,O,X,X,X,X,X,O
ISJZOTL,X,O,X,X,X,X,X,O
ISJZOLT,X,O,X,X,X,X,X,O
ISJOTLZ,X,O,O,X,O,X,O,X
ISJOTZL,X,O,X,X,O,X,O,X
ISJOLTZ,X,X,O,X,O,X,O,X
ISJOLZT,X,O,X,X,X,X,X,O
ISJOZTL,X,O,X,X,X,X,X,O
ISJOZLT,X,O,X,X,X,X,X,O
ISZTLJO,O,O,X,X,X,X,O,O
ISZTLOJ,O,O,X,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,O,O
ISZTJOL,O,O,X,X,X,X,O,O
ISZTOLJ,O,O,X,X,X,X,O,X
ISZTOJL,O,O,X,X,X,X,O,X
ISZLTJO,O,O,X,X,X,X,O,O
ISZLTOJ,O,O,X,X,X,X,O,X
ISZLJTO,O,O,X,X,X,X,O,O
ISZLJOT,O,O,X,X,X,X,X,O
ISZLOTJ,O,O,X,X,X,X,X,X
ISZLOJT,X,O,X,X,X,X,X,O
ISZJTLO,O,O,X,X,X,X,O,O
ISZJTOL,O,O,X,X,X,X,O,O
ISZJLTO,O,O,X,X,X,X,O,O
ISZJLOT,O,O,X,X,X,X,X,O
ISZJOTL,O,O,X,X,X,X,X,O
ISZJOLT,O,O,X,X,X,X,X,O
ISZOTLJ,O,O,X,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X,X
ISZOLTJ,O,O,X,X,X,X,X,X
ISZOLJT,X,O,X,X,X,X,X,O
ISZOJTL,X,O,X,X,X,X,X,O
ISZOJLT,X,O,X,X,X,X,X,O
ISOTLJZ,O,O,X,X,X,X,O,X
ISOTLZJ,O,O,X,X,X,O,O,X
ISOTJLZ,O,O,X,X,O,X,O,X
ISOTJZL,X,O,X,X,O,X,O,X
ISOTZLJ,O,O,X,X,O,X,O,X
ISOTZJL,X,O,X,X,O,X,O,X
ISOLTJZ,O,O,X,X,X,X,O,X
ISOLTZJ,O,O,X,X,X,X,O,X
ISOLJTZ,X,X,X,X,X,X,O,X
ISOLJZT,X,O,X,X,X,X,X,O
ISOLZTJ,X,O,X,X,X,X,X,X
ISOLZJT,X,O,X,X,X,X,X,O
ISOJTLZ,X,O,X,X,O,X,O,X
ISOJTZL,X,O,X,X,O,X,O,X
ISOJLTZ,X,X,X,X,O,X,O,X
ISOJLZT,X,O,X,X,X,X,X,O
ISOJZTL,X,O,X,X,X,X,X,O
ISOJZLT,X,O,X,X,X,X,X,O
ISOZTLJ,X,O,X,X,X,X,X,X
ISOZTJL,X,O,X,X,X,X,X,X
ISOZLTJ,X,O,X,X,X,X,X,X
ISOZLJT,X,O,X,X,X,X,X,O
ISOZJTL,X,O,X,X,X,X,X,O
ISOZJLT,X,O,X,X,X,X,X,O
IZTLJSO,O,O,O,O,O,O,X,X
IZTLJOS,O,O,O,O,O,O,X,X
IZTLSJO,O,O,O,O,O,O,X,X
IZTLSOJ,O,O,X,O,O,O,X,X
IZTLOJS,O,O,X,O,O,O,X,X
IZTLOSJ,O,O,X,O,O,O,X,X
IZTJLSO,O,O,O,X,O,O,X,X
IZTJLOS,O,O,O,X,O,O,X,X
IZTJSLO,O,O,X,X,O,X,X,X
IZTJSOL,O,O,X,X,O,X,X,X
IZTJOLS,O,X,O,X,O,O,X,X
IZTJOSL,O,O,X,X,O,X,X,X
IZTSLJO,O,O,X,X,O,X,X,X
IZTSLOJ,O,O,X,X,O,X,X,X
IZTSJLO,O,O,X,X,O,X,X,X
IZTSJOL,O,O,X,X,O,X,X,X
IZTSOLJ,O,O,X,X,O,X,X,X
IZTSOJL,O,O,X,X,O,X,X,X
IZTOLJS,O,X,X,O,O,O,X,X
IZTOLSJ,O,X,X,O,O,O,X,X
IZTOJLS,O,X,X,O,O,O,X,X
IZTOJSL,O,O,X,X,O,X,X,X
IZTOSLJ,O,O,X,O,O,X,X,X
IZTOSJL,O,O,X,X,O,X,X,X
IZLTJSO,O,O,X,O,O,X,X,X
IZLTJOS,O,X,X,O,O,X,X,X
IZLTSJO,O,O,X,O,O,X,X,X
IZLTSOJ,O,O,X,O,O,X,X,X
IZLTOJS,O,X,X,O,O,X,X,X
IZLTOSJ,O,X,X,O,O,X,X,X
IZLJTSO,O,O,O,O,O,X,X,X
IZLJTOS,O,X,O,O,O,X,X,X
IZLJSTO,O,O,X,O,O,X,X,X
IZLJSOT,O,O,X,O,O,X,X,X
IZLJOTS,X,X,O,O,O,O,X,X
IZLJOST,O,O,X,O,O,X,X,X
IZLSTJO,O,O,X,O,O,X,X,X
IZLSTOJ,O,O,X,O,O,X,X,X
IZLSJTO,O,O,X,O,O,X,X,X
IZLSJOT,O,O,X,O,O,X,X,X
IZLSOTJ,O,O,X,O,O,X,X,X
IZLSOJT,X,O,X,O,O,X,X,X
IZLOTJS,X,X,X,O,O,X,X,X
IZLOTSJ,X,X,X,O,O,X,X,X
IZLOJTS,X,X,X,O,O,O,X,X
IZLOJST,X,O,X,O,O,X,X,X
IZLOSTJ,O,O,X,O,O,X,X,X
IZLOSJT,X,O,X,O,O,X,X,X
IZJTLSO,O,O,O,O,O,O,X,X
IZJTLOS,O,O,O,O,O,O,X,X
IZJTSLO,O,O,X,O,O,X,X,X
IZJTSOL,O,O,X,O,O,X,X,X
IZJTOLS,O,X,O,O,O,O,X,X
IZJTOSL,O,O,X,O,O,X,X,X
IZJLTSO,O,O,O,O,O,X,X,X
IZJLTOS,O,X,O,O,O,X,X,X
IZJLSTO,O,O,X,O,O,X,X,X
IZJLSOT,O,O,X,O,O,X,X,X
IZJLOTS,X,X,O,O,O,O,X,X
IZJLOST,O,O,X,O,O,X,X,X
IZJSTLO,O,O,X,O,O,X,X,X
IZJSTOL,O,O,X,O,O,X,X,X
IZJSLTO,O,O,X,O,O,X,X,X
IZJSLOT,O,O,X,O,O,X,X,X
IZJSOTL,O,O,X,O,O,X,X,X
IZJSOLT,O,O,X,O,O,X,X,X
IZJOTLS,X,X,O,O,O,O,X,X
IZJOTSL,X,X,X,O,O,X,X,X
IZJOLTS,X,X,O,O,O,O,X,X
IZJOLST,O,X,X,O,O,X,X,X
IZJOSTL,O,O,X,O,O,X,X,X
IZJOSLT,O,O,X,O,O,X,X,X
IZSTLJO,O,O,X,X,O,X,X,X
IZSTLOJ,O,O,X,X,O,X,X,X
IZSTJLO,O,O,X,X,O,X,X,X
IZSTJOL,O,O,X,X,O,X,X,X
IZSTOLJ,O,O,X,X,O,X,X,X
IZSTOJL,O,O,X,X,O,X,X,X
IZSLTJO,O,O,X,X,O,X,X,X
IZSLTOJ,O,O,X,X,O,X,X,X
IZSLJTO,O,O,X,X,O,X,X,X
IZSLJOT,O,O,X,X,O,X,X,X
IZSLOTJ,O,O,X,X,O,X,X,X
IZSLOJT,X,O,X,X,O,X,X,X
IZSJTLO,O,O,X,X,O,X,X,X
IZSJTOL,O,O,X,X,O,X,X,X
IZSJLTO,O,O,X,X,O,X,X,X
IZSJLOT,O,O,X,X,O,X,X,X
IZSJOTL,O,O,X,X,O,X,X,X
IZSJOLT,O,O,X,X,O,X,X,X
IZSOTLJ,O,O,X,X,O,X,X,X
IZSOTJL,O,O,X,X,O,X,X,X
IZSOLTJ,O,O,X,X,O,X,X,X
IZSOLJT,X,O,X,X,O,X,X,X
IZSOJTL,X,O,X,X,O,X,X,X
IZSOJLT,X,O,X,X,O,X,X,X
IZOTLJS,X,X,X,O,O,O,X,X
IZOTLSJ,X,X,X,O,O,O,X,X
IZOTJLS,X,X,X,O,O,O,X,X
IZOTJSL,X,X,X,O,O,X,X,X
IZOTSLJ,X,X,X,O,O,X,X,X
IZOTSJL,X,X,X,X,O,X,X,X
IZOLTJS,X,X,X,O,O,X,X,X
IZOLTSJ,X,X,X,O,O,X,X,X
IZOLJTS,X,X,X,O,O,O,X,X
IZOLJST,X,X,X,O,O,X,X,X
IZOLSTJ,O,X,X,O,O,X,X,X
IZOLSJT,X,X,X,O,O,X,X,X
IZOJTLS,X,X,X,O,O,O,X,X
IZOJTSL,X,X,X,O,O,X,X,X
IZOJLTS,X,X,X,O,O,O,X,X
IZOJLST,X,X,X,O,O,X,X,X
IZOJSTL,X,O,X,O,O,X,X,X
IZOJSLT,X,O,X,O,O,X,X,X
IZOSTLJ,O,X,X,O,O,X,X,X
IZOSTJL,O,O,X,X,O,X,X,X
IZOSLTJ,O,X,X,O,O,X,X,X
IZOSLJT,X,O,X,O,O,X,X,X
IZOSJTL,X,O,X,O,O,X,X,X
IZOSJLT,X,O,X,O,O,X,X,X
IOTLJSZ,X,X,O,O,O,X,X,X
IOTLJZS,X,X,O,O,O,O,X,X
IOTLSJZ,X,O,O,O,X,X,X,X
IOTLSZJ,X,O,X,O,X,O,X,X
IOTLZJS,X,O,X,O,X,O,X,X
IOTLZSJ,X,O,X,O,X,O,X,X
IOTJLSZ,X,X,O,O,O,X,X,X
IOTJLZS,X,X,O,O,O,O,X,X
IOTJSLZ,X,X,O,O,O,X,X,X
IOTJSZL,X,X,X,O,O,X,X,X
IOTJZLS,X,X,O,O,O,X,X,X
IOTJZSL,X,X,X,O,O,X,X,X
IOTSLJZ,X,O,X,O,X,X,X,X
IOTSLZJ,X,O,X,O,X,O,X,X
IOTSJLZ,X,O,X,X,O,X,X,X
IOTSJZL,X,O,X,X,O,X,X,X
IOTSZLJ,X,O,X,X,O,X,X,X
IOTSZJL,X,O,X,X,O,X,X,X
IOTZLJS,X,X,X,O,O,O,X,X
IOTZLSJ,X,X,X,O,X,O,X,X
IOTZJLS,X,X,X,X,O,O,X,X
IOTZJSL,X,O,X,X,O,X,X,X
IOTZSLJ,X,O,X,X,O,X,X,X
IOTZSJL,X,O,X,X,O,X,X,X
IOLTJSZ,X,X,X,O,O,X,X,X
IOLTJZS,X,X,X,O,O,O,X,X
IOLTSJZ,X,X,X,O,X,X,X,X
IOLTSZJ,X,X,X,O,X,O,X,X
IOLTZJS,X,X,X,O,X,O,X,X
IOLTZSJ,X,X,X,O,X,O,X,X
IOLJTSZ,X,X,O,O,O,X,X,X
IOLJTZS,X,X,O,O,O,X,X,X
IOLJSTZ,X,X,O,O,O,X,X,X
IOLJSZT,X,X,X,O,O,X,X,X
IOLJZTS,X,X,O,O,O,X,X,X
IOLJZST,X,X,X,O,O,X,X,X
IOLSTJZ,X,X,X,O,X,X,X,X
IOLSTZJ,X,O,X,O,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,X
IOLSJZT,X,O,X,O,X,X,X,X
IOLSZTJ,X,O,X,O,X,X,X,X
IOLSZJT,X,O,X,O,X,X,X,X
IOLZTJS,X,X,X,O,O,X,X,X
IOLZTSJ,X,X,X,O,X,X,X,X
IOLZJTS,X,X,X,O,O,O,X,X
IOLZJST,X,O,X,O,O,X,X,X
IOLZSTJ,X,O,X,O,O,X,X,X
IOLZSJT,X,O,X,O,O,X,X,X
IOJTLSZ,X,X,O,O,O,X,X,X
IOJTLZS,X,X,O,O,O,O,X,X
IOJTSLZ,X,X,O,O,O,X,X,X
IOJTSZL,X,X,X,O,O,X,X,X
IOJTZLS,X,X,O,O,O,X,X,X
IOJTZSL,X,X,X,O,O,X,X,X
IOJLTSZ,X,X,O,O,O,X,X,X
IOJLTZS,X,X,O,O,O,X,X,X
IOJLSTZ,X,X,O,O,O,X,X,X
IOJLSZT,X,X,X,O,O,X,X,X
IOJLZTS,X,X,O,O,O,X,X,X
IOJLZST,X,X,X,O,O,X,X,X
IOJSTLZ,X,X,O,O,O,X,X,X
IOJSTZL,X,X,X,O,O,X,X,X
IOJSLTZ,X,X,O,O,O,X,X,X
IOJSLZT,X,X,X,O,O,X,X,X
IOJSZTL,X,X,X,O,O,X,X,X
IOJSZLT,X,X,X,X,O,X,X,X
IOJZTLS,X,X,O,O,O,X,X,X
IOJZTSL,X,X,X,O,O,X,X,X
IOJZLTS,X,X,O,O,O,X,X,X
IOJZLST,X,X,X,O,O,X,X,X
IOJZSTL,X,X,X,O,O,X,X,X
IOJZSLT,X,X,X,X,O,X,X,X
IOSTLJZ,X,O,X,O,X,X,X,X
IOSTLZJ,X,O,X,O,X,O,X,X
IOSTJLZ,X,O,X,X,O,X,X,X
IOSTJZL,X,O,X,X,O,X,X,X
IOSTZLJ,X,O,X,X,O,X,X,X
IOSTZJL,X,O,X,X,O,X,X,X
IOSLTJZ,X,O,X,O,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,X,X
IOSLJTZ,X,X,X,O,X,X,X,X
IOSLJZT,X,O,X,O,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,X,X
IOSLZJT,X,O,X,O,X,X,X,X
IOSJTLZ,X,O,X,O,O,X,X,X
IOSJTZL,X,O,X,O,O,X,X,X
IOSJLTZ,X,X,X,O,O,X,X,X
IOSJLZT,X,O,X,O,O,X,X,X
IOSJZTL,X,O,X,O,O,X,X,X
IOSJZLT,X,O,X,X,O,X,X,X
IOSZTLJ,X,O,X,X,O,X,X,X
IOSZTJL,X,O,X,X,O,X,X,X
IOSZLTJ,X,O,X,X,O,X,X,X
IOSZLJT,X,O,X,X,O,X,X,X
IOSZJTL,X,O,X,X,O,X,X,X
IOSZJLT,X,O,X,X,O,X,X,X
IOZTLJS,X,X,X,O,O,O,X,X
IOZTLSJ,X,X,X,O,X,O,X,X
IOZTJLS,X,X,X,X,O,O,X,X
IOZTJSL,X,X,X,X,O,X,X,X
IOZTSLJ,X,X,X,X,O,X,X,X
IOZTSJL,X,X,X,X,O,X,X,X
IOZLTJS,X,X,X,O,O,X,X,X
IOZLTSJ,X,X,X,O,X,X,X,X
IOZLJTS,X,X,X,O,O,O,X,X
IOZLJST,X,X,X,O,O,X,X,X
IOZLSTJ,X,X,X,O,O,X,X,X
IOZLSJT,X,X,X,O,O,X,X,X
IOZJTLS,X,X,X,O,O,O,X,X
IOZJTSL,X,X,X,O,O,X,X,X
IOZJLTS,X,X,X,O,O,O,X,X
IOZJLST,X,X,X,O,O,X,X,X
IOZJSTL,X,O,X,O,O,X,X,X
IOZJSLT,X,O,X,X,O,X,X,X
IOZSTLJ,X,X,X,X,O,X,X,X
IOZSTJL,X,O,X,X,O,X,X,X
IOZSLTJ,X,X,X,X,O,X,X,X
IOZSLJT,X,O,X,X,O,X,X,X
IOZSJTL,X,O,X,X,O,X,X,X
IOZSJLT,X,O,X,X,O,X,X,X
LTIJSZO,X,O,O,O,O,X,X,X
LTIJSOZ,X,O,O,O,O,X,O,X
LTIJZSO,X,O,O,O,O,O,X,X
LTIJZOS,X,O,O,O,O,O,O,X
LTIJOSZ,X,X,O,O,O,X,O,X
LTIJOZS,X,X,O,O,O,O,O,X
LTISJZO,X,O,O,O,O,X,O,X
LTISJOZ,O,O,O,O,O,X,O,X
LTISZJO,O,O,O,O,O,O,O,X
LTISZOJ,O,O,X,O,O,O,O,X
LTISOJZ,O,O,O,O,X,X,O,X
LTISOZJ,O,O,X,O,X,O,O,X
LTIZJSO,O,O,O,O,O,O,X,X
LTIZJOS,O,O,O,O,O,O,O,X
LTIZSJO,O,O,O,O,O,O,X,X
LTIZSOJ,O,O,X,O,O,O,X,X
LTIZOJS,O,O,X,O,O,O,O,X
LTIZOSJ,O,O,X,O,O,O,X,X
LTIOJSZ,X,X,O,O,X,X,O,X
LTIOJZS,X,X,O,O,X,O,O,X
LTIOSJZ,O,O,O,O,X,X,O,X
LTIOSZJ,O,O,X,O,X,O,O,X
LTIOZJS,O,O,X,O,X,O,O,X
LTIOZSJ,O,O,X,O,X,O,X,X
LTJISZO,X,O,O,O,O,X,X,O
LTJISOZ,X,O,O,O,O,X,O,X
LTJIZSO,X,O,O,O,O,O,X,X
LTJIZOS,X,O,O,O,O,O,O,X
LTJIOSZ,X,X,O,O,O,X,O,X
LTJIOZS,X,X,O,O,O,O,O,X
LTJSIZO,X,O,O,O,O,X,O,O
LTJSIOZ,O,O,O,O,O,X,O,X
LTJSZIO,O,O,O,O,O,X,O,O
LTJSZOI,O,O,O,O,O,X,O,O
LTJSOIZ,O,O,O,O,O,X,O,X
LTJSOZI,O,O,O,O,O,X,O,O
LTJZISO,O,O,O,O,O,O,X,X
LTJZIOS,O,O,O,O,O,O,X,X
LTJZSIO,O,O,O,O,O,O,X,O
LTJZSOI,O,O,O,O,O,O,X,O
LTJZOIS,O,O,O,O,O,O,X,X
LTJZOSI,O,O,O,O,O,O,X,X
LTJOISZ,X,X,O,O,O,X,O,X
LTJOIZS,X,X,O,O,O,O,O,X
LTJOSIZ,O,X,O,O,O,X,O,X
LTJOSZI,O,X,O,O,O,X,O,O
LTJOZIS,O,X,O,O,O,O,X,X
LTJOZSI,O,X,O,O,O,O,X,X
LTSIJZO,X,O,O,O,O,X,O,O
LTSIJOZ,O,O,O,O,O,X,O,X
LTSIZJO,O,O,O,O,O,O,O,O
LTSIZOJ,O,O,X,O,O,O,O,X
LTSIOJZ,O,O,O,O,X,X,O,X
LTSIOZJ,O,O,X,O,X,O,O,X
LTSJIZO,X,O,O,O,O,X,O,O
LTSJIOZ,O,O,O,O,O,X,O,X
LTSJZIO,O,O,O,O,O,X,O,O
LTSJZOI,O,O,O,O,O,X,O,O
LTSJOIZ,O,O,O,O,O,X,O,X
LTSJOZI,O,O,O,O,O,X,O,O
LTSZIJO,O,O,O,O,O,O,O,O
LTSZIOJ,O,O,X,O,O,O,O,X
LTSZJIO,O,O,O,O,O,O,O,O
LTSZJOI,O,O,O,O,O,O,O,O
LTSZOIJ,O,O,X,O,O,O,O,X
LTSZOJI,O,O,X,O,O,O,O,X
LTSOIJZ,O,O,O,O,X,X,O,X
LTSOIZJ,O,O,X,O,X,O,O,X
LTSOJIZ,O,O,O,O,O,X,O,X
LTSOJZI,O,O,O,O,O,X,O,X
LTSOZIJ,O,O,X,O,O,O,O,X
LTSOZJI,O,O,X,O,O,O,O,X
LTZIJSO,O,O,O,O,O,O,X,X
LTZIJOS,O,O,O,O,O,O,O,X
LTZISJO,O,O,O,O,O,O,X,X
LTZISOJ,O,O,X,O,O,O,X,X
LTZIOJS,O,O,X,O,O,O,O,X
LTZIOSJ,O,O,X,O,O,O,X,X
LTZJISO,O,O,O,O,O,O,X,X
LTZJIOS,O,O,O,O,O,O,X,X
LTZJSIO,O,O,O,O,O,O,X,X
LTZJSOI,O,O,O,O,O,O,X,X
LTZJOIS,O,O,O,O,O,O,X,X
LTZJOSI,O,O,O,O,O,O,X,X
LTZSIJO,O,O,O,O,O,O,O,X
LTZSIOJ,O,O,X,O,O,O,O,X
LTZSJIO,O,O,O,O,O,O,O,X
LTZSJOI,O,O,O,O,O,O,O,X
LTZSOIJ,O,O,X,O,O,O,O,X
LTZSOJI,O,O,X,O,O,O,O,X
LTZOIJS,O,O,X,O,O,O,O,X
LTZOISJ,O,O,X,O,O,O,X,X
LTZOJIS,O,O,X,O,O,O,X,X
LTZOJSI,O,O,X,O,O,O,X,X
LTZOSIJ,O,O,X,O,X,O,O,X
LTZOSJI,O,O,X,O,X,O,O,X
LTOIJSZ,X,X,O,O,O,X,O,X
LTOIJZS,X,X,O,O,O,O,O,X
LTOISJZ,O,O,O,O,X,X,O,X
LTOISZJ,O,O,X,O,X,O,O,X
LTOIZJS,O,O,X,O,X,O,O,X
LTOIZSJ,O,O,X,O,X,O,X,X
LTOJISZ,X,X,O,O,O,X,O,X
LTOJIZS,X,X,O,O,O,O,O,X
LTOJSIZ,O,X,O,O,O,X,O,X
LTOJSZI,O,X,O,O,O,X,O,X
LTOJZIS,O,X,O,O,O,O,X,X
LTOJZSI,O,X,O,O,O,O,X,X
LTOSIJZ,O,O,O,O,X,X,O,X
LTOSIZJ,O,O,X,O,X,O,O,X
LTOSJIZ,O,O,O,O,O,X,O,X
LTOSJZI,O,O,O,O,O,X,O,X
LTOSZIJ,O,O,X,O,O,O,O,X
LTOSZJI,O,O,X,O,O,O,O,X
LTOZIJS,O,O,X,O,O,O,O,X
LTOZISJ,O,O,X,O,O,O,X,X
LTOZJIS,O,O,X,O,O,O,X,X
LTOZJSI,O,O,X,O,O,O,X,X
LTOZSIJ,O,O,X,O,X,O,O,X
LTOZSJI,O,O,X,O,X,O,O,X
LITJSZO,X,O,O,O,O,X,X,X
LITJSOZ,X,O,O,O,O,X,O,X
LITJZSO,X,O,O,O,O,O,X,X
LITJZOS,X,O,O,O,O,O,O,X
LITJOSZ,X,X,O,O,O,X,O,X
LITJOZS,X,X,O,O,O,O,O,X
LITSJZO,X,O,O,O,O,X,O,X
LITSJOZ,O,O,O,O,O,X,O,X
LITSZJO,O,O,O,O,O,O,O,X
LITSZOJ,O,O,X,O,O,O,O,X
LITSOJZ,O,O,O,O,X,X,O,X
LITSOZJ,O,O,X,O,X,O,O,X
LITZJSO,O,O,O,O,O,O,X,X
LITZJOS,O,O,O,O,O,O,O,X
LITZSJO,O,O,O,O,O,O,X,X
LITZSOJ,O,O,X,O,O,O,X,X
LITZOJS,O,O,X,O,O,O,O,X
LITZOSJ,O,O,X,O,O,O,X,X
LITOJSZ,X,X,O,O,X,X,O,X
LITOJZS,X,X,O,O,X,O,O,X
