sequence,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjB6pBOpBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjBOpB6pBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je/EJvhFalBThB?xiBlnB2uBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?KpBfqBlnBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je2EJvhFThBxiB?lnB3kByuBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?VsBipB0pB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jei/IvhFThBxiB?cpBeqBVsB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeTBJvhFxiBikB?lnB3pBUsBmpB
TIOJLZS,X,X,X,X,O,O,O,X
TIOJSLZ,O,O,O,X,X,X,X,X
TIOJSZL,O,O,O,X,X,X,O,X
TIOJZLS,X,X,X,X,X,X,O,X
TIOJZSL,X,O,O,X,X,X,O,X
TIOSLJZ,O,O,X,O,O,X,X,X
TIOSLZJ,O,O,X,O,X,O,X,O
TIOSJLZ,O,O,O,X,X,X,X,X
TIOSJZL,O,O,O,X,X,X,O,X
TIOSZLJ,O,O,X,X,X,X,X,X
TIOSZJL,O,O,X,X,X,X,X,X
TIOZLJS,X,X,X,X,O,O,X,X
TIOZLSJ,O,X,X,O,X,O,X,X
TIOZJLS,X,X,X,X,X,X,O,X
TIOZJSL,X,O,O,X,X,X,O,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,O,O,O,O,X,X,X,X
TLIJSOZ,X,X,O,O,O,O,X,X
TLIJZSO,X,X,X,X,X,O,O,X
TLIJZOS,X,X,X,X,O,O,O,X
TLIJOSZ,O,O,O,O,O,O,X,X
TLIJOZS,X,X,X,X,O,O,O,X
TLISJZO,O,O,X,O,X,O,X,X
TLISJOZ,X,X,X,O,O,O,X,X
TLISZJO,O,O,X,O,X,O,X,X
TLISZOJ,O,X,X,O,X,O,X,X
TLISOJZ,O,X,X,O,O,O,X,X
TLISOZJ,O,X,X,O,X,O,X,X
TLIZJSO,X,X,X,X,X,O,X,X
TLIZJOS,X,X,X,X,O,O,X,X
TLIZSJO,O,X,X,O,X,O,X,X
TLIZSOJ,O,X,X,O,X,O,X,X
TLIZOJS,X,X,X,X,O,O,X,X
TLIZOSJ,O,X,X,O,X,O,X,X
TLIOJSZ,O,O,O,O,O,O,X,X
TLIOJZS,X,X,X,X,O,O,O,X
TLIOSJZ,O,O,X,O,O,O,X,X
TLIOSZJ,O,O,X,O,X,O,X,X
TLIOZJS,X,X,X,X,O,O,X,X
TLIOZSJ,O,X,X,O,X,O,X,X
TLJISZO,O,O,O,O,X,O,X,X
TLJISOZ,X,X,O,O,O,O,X,X
TLJIZSO,X,X,X,X,X,O,O,X
TLJIZOS,X,X,X,X,O,O,O,X
TLJIOSZ,O,O,O,O,O,O,X,X
TLJIOZS,X,X,X,X,O,O,O,X
TLJSIZO,O,O,O,O,X,O,X,X
TLJSIOZ,X,X,O,O,O,O,X,X
TLJSZIO,O,O,O,O,X,O,X,X
TLJSZOI,X,X,O,O,X,O,X,X
TLJSOIZ,X,X,O,O,O,O,X,X
TLJSOZI,X,X,O,O,O,O,X,X
TLJZISO,X,X,X,X,O,O,O,X
TLJZIOS,X,X,X,X,O,O,O,X
TLJZSIO,X,X,X,X,O,O,O,X
TLJZSOI,X,X,X,X,O,O,O,X
TLJZOIS,X,X,X,X,O,O,O,X
TLJZOSI,X,X,X,X,O,O,O,X
TLJOISZ,O,O,O,O,O,O,X,X
TLJOIZS,X,X,X,X,O,O,O,X
TLJOSIZ,O,O,O,O,O,O,X,X
TLJOSZI,O,O,O,O,O,O,X,X
TLJOZIS,X,X,X,X,O,O,O,X
TLJOZSI,X,X,X,X,O,O,O,X
TLSIJZO,O,O,X,O,X,O,X,X
TLSIJOZ,X,X,X,O,O,O,X,X
TLSIZJO,O,O,X,O,X,O,X,X
TLSIZOJ,O,X,X,O,X,O,X,X
TLSIOJZ,O,X,X,O,O,O,X,X
TLSIOZJ,O,X,X,O,X,O,X,O
TLSJIZO,O,O,X,O,X,O,X,X
TLSJIOZ,X,X,X,O,O,O,X,X
TLSJZIO,O,O,X,O,X,O,X,X
TLSJZOI,X,X,X,O,X,O,X,X
TLSJOIZ,X,X,X,O,O,O,X,X
TLSJOZI,X,X,X,O,O,O,X,O
TLSZIJO,O,O,X,O,X,O,X,X
TLSZIOJ,O,X,X,O,X,O,X,X
TLSZJIO,O,O,X,O,X,O,X,X
TLSZJOI,X,X,X,O,X,O,X,X
TLSZOIJ,O,X,X,O,X,O,X,O
TLSZOJI,X,X,X,O,X,O,X,O
TLSOIJZ,O,X,X,O,O,O,X,X
TLSOIZJ,O,X,X,O,X,O,X,O
TLSOJIZ,O,X,X,O,O,O,X,X
TLSOJZI,O,X,X,O,O,O,X,O
TLSOZIJ,O,X,X,O,X,O,X,O
TLSOZJI,O,X,X,O,X,O,X,O
TLZIJSO,X,X,X,O,O,O,X,X
TLZIJOS,X,X,X,O,O,O,X,X
TLZISJO,O,X,X,O,O,O,X,X
TLZISOJ,O,X,X,O,O,O,X,X
TLZIOJS,X,X,X,O,O,O,X,X
TLZIOSJ,O,X,X,O,O,O,X,X
TLZJISO,X,X,X,O,O,O,X,X
TLZJIOS,X,X,X,O,O,O,X,X
TLZJSIO,X,X,X,O,O,O,X,X
TLZJSOI,X,X,X,O,O,O,X,X
TLZJOIS,X,X,X,O,O,O,X,X
TLZJOSI,X,X,X,O,O,O,X,X
TLZSIJO,O,X,X,O,O,O,X,X
TLZSIOJ,O,X,X,O,O,O,X,X
TLZSJIO,O,X,X,O,O,O,X,X
TLZSJOI,X,X,X,O,O,O,X,X
TLZSOIJ,O,X,X,O,O,O,X,X
TLZSOJI,X,X,X,O,O,O,X,X
TLZOIJS,X,X,X,O,O,O,X,X
TLZOISJ,O,X,X,O,O,O,X,X
TLZOJIS,X,X,X,O,O,O,X,X
TLZOJSI,X,X,X,O,O,O,X,X
TLZOSIJ,O,X,X,O,O,O,X,X
TLZOSJI,O,X,X,O,O,O,X,X
TLOIJSZ,O,O,O,O,O,O,X,X
TLOIJZS,X,X,X,X,O,O,O,X
TLOISJZ,O,O,X,O,O,O,X,X
TLOISZJ,O,O,X,O,X,O,X,X
TLOIZJS,X,X,X,X,O,O,X,X
TLOIZSJ,O,X,X,O,X,O,X,X
TLOJISZ,O,O,O,O,O,O,X,X
TLOJIZS,X,X,X,X,O,O,O,X
TLOJSIZ,O,O,O,O,O,O,X,X
TLOJSZI,O,O,O,O,O,O,X,X
TLOJZIS,X,X,X,X,O,O,O,X
TLOJZSI,X,X,X,X,O,O,O,X
TLOSIJZ,O,O,X,O,O,O,X,X
TLOSIZJ,O,O,X,O,X,O,X,O
TLOSJIZ,O,O,X,O,O,O,X,X
TLOSJZI,O,O,X,O,O,O,X,O
TLOSZIJ,O,O,X,O,X,O,X,O
TLOSZJI,O,O,X,O,X,O,X,O
TLOZIJS,X,X,X,O,O,O,X,X
TLOZISJ,O,X,X,O,O,O,X,X
TLOZJIS,X,X,X,O,O,O,X,X
TLOZJSI,X,X,X,O,O,O,X,X
TLOZSIJ,O,X,X,O,O,O,X,X
TLOZSJI,O,X,X,O,O,O,X,X
TJILSZO,O,O,O,O,X,X,X,X
TJILSOZ,X,X,O,O,O,X,X,X
TJILZSO,X,X,X,X,X,O,O,X
TJILZOS,X,X,X,X,O,O,O,X
TJILOSZ,O,O,O,O,O,X,X,X
TJILOZS,X,X,X,X,O,O,O,X
TJISLZO,O,O,O,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,O,X
TJISZOL,X,O,O,X,X,X,O,X
TJISOLZ,X,O,O,X,X,X,X,X
TJISOZL,X,O,O,X,X,X,O,X
TJIZLSO,X,X,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,O,X
TJIZSLO,X,O,O,X,X,X,O,X
TJIZSOL,X,O,O,X,X,X,O,X
TJIZOLS,X,X,X,X,X,X,O,X
TJIZOSL,X,O,O,X,X,X,O,X
TJIOLSZ,O,O,O,O,O,X,X,X
TJIOLZS,X,X,X,X,O,O,O,X
TJIOSLZ,O,O,O,X,X,X,X,X
TJIOSZL,O,O,O,X,X,X,O,X
TJIOZLS,X,X,X,X,X,X,O,X
TJIOZSL,X,O,O,X,X,X,O,X
TJLISZO,O,O,O,O,X,X,X,X
TJLISOZ,X,X,O,O,O,X,X,X
TJLIZSO,X,X,X,X,X,O,O,X
TJLIZOS,X,X,X,X,O,O,O,X
TJLIOSZ,O,O,O,O,O,X,X,X
TJLIOZS,X,X,X,X,O,O,O,X
TJLSIZO,O,O,O,O,X,O,X,X
TJLSIOZ,X,X,O,O,O,O,X,X
TJLSZIO,O,O,O,O,X,O,X,X
TJLSZOI,X,X,O,O,X,O,X,X
TJLSOIZ,X,X,O,O,O,O,X,X
TJLSOZI,X,X,O,O,O,O,X,X
TJLZISO,X,X,X,X,X,O,O,X
TJLZIOS,X,X,X,X,O,O,O,X
TJLZSIO,X,X,X,X,X,O,O,X
TJLZSOI,X,X,X,X,X,O,O,X
TJLZOIS,X,X,X,X,O,O,O,X
TJLZOSI,X,X,X,X,O,O,O,X
TJLOISZ,O,O,O,O,O,X,X,X
TJLOIZS,X,X,X,X,O,O,O,X
TJLOSIZ,O,O,O,O,O,O,X,X
TJLOSZI,O,O,O,O,O,O,X,X
TJLOZIS,X,X,X,X,O,O,O,X
TJLOZSI,X,X,X,X,O,O,O,X
TJSILZO,O,O,O,X,X,X,X,X
TJSILOZ,X,X,O,X,X,X,X,X
TJSIZLO,O,O,O,X,X,X,O,X
TJSIZOL,X,O,O,X,X,X,O,X
TJSIOLZ,X,O,O,X,X,X,X,X
TJSIOZL,X,O,O,X,X,X,O,X
TJSLIZO,O,O,O,X,X,X,X,X
TJSLIOZ,X,X,O,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X
TJSLOIZ,X,X,O,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,O
TJSZILO,O,O,O,X,X,X,O,X
TJSZIOL,X,O,O,X,X,X,O,X
TJSZLIO,O,O,O,X,X,X,O,X
TJSZLOI,X,X,O,X,X,X,O,X
TJSZOIL,X,O,O,X,X,X,O,X
TJSZOLI,X,X,O,X,X,X,O,X
TJSOILZ,X,O,O,X,X,X,X,X
TJSOIZL,X,O,O,X,X,X,O,X
TJSOLIZ,X,O,O,X,X,X,X,X
TJSOLZI,X,O,O,X,X,X,X,O
TJSOZIL,X,O,O,X,X,X,O,X
TJSOZLI,X,O,O,X,X,X,O,X
TJZILSO,X,X,O,X,X,X,O,X
TJZILOS,X,X,O,X,X,X,O,X
TJZISLO,X,O,O,X,X,X,O,X
TJZISOL,X,O,O,X,X,X,O,X
TJZIOLS,X,X,O,X,X,X,O,X
TJZIOSL,X,O,O,X,X,X,O,X
TJZLISO,X,X,O,X,X,X,O,X
TJZLIOS,X,X,O,X,X,X,O,X
TJZLSIO,X,X,O,X,X,X,O,X
TJZLSOI,X,X,O,X,X,X,O,X
TJZLOIS,X,X,O,X,X,X,O,X
TJZLOSI,X,X,O,X,X,X,O,X
TJZSILO,X,O,O,X,X,X,O,X
TJZSIOL,X,O,O,X,X,X,O,X
TJZSLIO,X,O,O,X,X,X,O,X
TJZSLOI,X,X,O,X,X,X,O,X
TJZSOIL,X,O,O,X,X,X,O,X
TJZSOLI,X,X,O,X,X,X,O,X
TJZOILS,X,X,O,X,X,X,O,X
TJZOISL,X,O,O,X,X,X,O,X
TJZOLIS,X,X,O,X,X,X,O,X
TJZOLSI,X,X,O,X,X,X,O,X
TJZOSIL,X,O,O,X,X,X,O,X
TJZOSLI,X,O,O,X,X,X,O,X
TJOILSZ,O,O,O,O,O,X,X,X
TJOILZS,X,X,X,X,O,O,O,X
TJOISLZ,O,O,O,X,X,X,X,X
TJOISZL,O,O,O,X,X,X,O,X
TJOIZLS,X,X,X,X,X,X,O,X
TJOIZSL,X,O,O,X,X,X,O,X
TJOLISZ,O,O,O,O,O,X,X,X
TJOLIZS,X,X,X,X,O,O,O,X
TJOLSIZ,O,O,O,O,O,O,X,X
TJOLSZI,O,O,O,O,O,O,X,X
TJOLZIS,X,X,X,X,O,O,O,X
TJOLZSI,X,X,X,X,O,O,O,X
TJOSILZ,O,O,O,X,X,X,X,X
TJOSIZL,O,O,O,X,X,X,O,X
TJOSLIZ,O,O,O,X,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X,O
TJOSZIL,O,O,O,X,X,X,O,X
TJOSZLI,O,O,O,X,X,X,O,X
TJOZILS,X,X,O,X,X,X,O,X
TJOZISL,X,O,O,X,X,X,O,X
TJOZLIS,X,X,O,X,X,X,O,X
TJOZLSI,X,X,O,X,X,X,O,X
TJOZSIL,X,O,O,X,X,X,O,X
TJOZSLI,X,O,O,X,X,X,O,X
TSILJZO,O,O,X,O,X,X,X,X
TSILJOZ,X,X,X,O,O,X,X,X
TSILZJO,O,O,X,O,X,O,X,X
TSILZOJ,O,X,X,O,X,O,X,X
TSILOJZ,O,X,X,O,O,X,X,X
TSILOZJ,O,X,X,O,X,O,X,O
TSIJLZO,O,O,O,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,X,X
TSIJZLO,O,O,O,X,X,X,O,X
TSIJZOL,X,O,O,X,X,X,O,X
TSIJOLZ,X,O,O,X,X,X,X,X
TSIJOZL,X,O,O,X,X,X,O,X
TSIZLJO,O,O,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,O,O,X,X,X
TSIOLZJ,O,O,X,O,X,O,X,O
TSIOJLZ,O,O,O,X,X,X,X,X
TSIOJZL,O,O,O,X,X,X,O,X
TSIOZLJ,O,O,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,O,O,X,O,X,O,X,X
TSLIJOZ,X,X,X,O,O,O,X,X
TSLIZJO,O,O,X,O,X,O,X,X
TSLIZOJ,O,X,X,O,X,O,X,X
TSLIOJZ,O,X,X,O,O,O,X,X
TSLIOZJ,O,X,X,O,X,O,X,O
TSLJIZO,O,O,X,O,X,O,X,X
TSLJIOZ,X,X,X,O,O,O,X,X
TSLJZIO,O,O,X,O,X,O,X,X
TSLJZOI,X,X,X,O,X,O,X,X
TSLJOIZ,X,X,X,O,O,O,X,X
TSLJOZI,X,X,X,O,O,O,X,O
TSLZIJO,O,O,X,O,X,O,X,O
TSLZIOJ,O,X,X,O,X,O,X,O
TSLZJIO,O,O,X,O,X,O,X,O
TSLZJOI,X,X,X,O,X,O,X,O
TSLZOIJ,O,X,X,O,X,O,X,O
TSLZOJI,X,X,X,O,X,O,X,O
TSLOIJZ,O,X,X,O,O,O,X,X
TSLOIZJ,O,X,X,O,X,O,X,O
TSLOJIZ,O,X,X,O,O,O,X,X
TSLOJZI,O,X,X,O,O,O,X,O
TSLOZIJ,O,X,X,O,X,O,X,O
TSLOZJI,O,X,X,O,X,O,X,O
TSJILZO,O,O,O,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,X,X
TSJIZLO,O,O,O,X,X,X,O,X
TSJIZOL,X,O,O,X,X,X,O,X
TSJIOLZ,X,O,O,X,X,X,X,X
TSJIOZL,X,O,O,X,X,X,O,X
TSJLIZO,O,O,O,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X,X
TSJLZOI,X,X,O,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X,X,X
TSJLOZI,X,X,O,X,X,X,X,O
TSJZILO,O,O,O,X,X,X,O,X
TSJZIOL,X,O,O,X,X,X,O,X
TSJZLIO,O,O,O,X,X,X,O,X
TSJZLOI,X,X,O,X,X,X,O,X
TSJZOIL,X,O,O,X,X,X,O,X
TSJZOLI,X,X,O,X,X,X,O,X
TSJOILZ,X,O,O,X,X,X,X,X
TSJOIZL,X,O,O,X,X,X,O,X
TSJOLIZ,X,O,O,X,X,X,X,X
TSJOLZI,X,O,O,X,X,X,X,O
TSJOZIL,X,O,O,X,X,X,O,X
TSJOZLI,X,O,O,X,X,X,O,X
TSZILJO,O,O,X,X,X,X,X,O
TSZILOJ,O,X,X,X,X,X,X,O
TSZIJLO,O,O,X,X,X,X,X,O
TSZIJOL,X,O,X,X,X,X,X,O
TSZIOLJ,O,X,X,X,X,X,X,O
TSZIOJL,X,O,X,X,X,X,X,O
TSZLIJO,O,O,X,X,X,X,X,O
TSZLIOJ,O,X,X,X,X,X,X,O
TSZLJIO,O,O,X,X,X,X,X,O
TSZLJOI,X,X,X,X,X,X,X,O
TSZLOIJ,O,X,X,X,X,X,X,O
TSZLOJI,X,X,X,X,X,X,X,O
TSZJILO,O,O,X,X,X,X,X,O
TSZJIOL,X,O,X,X,X,X,X,O
TSZJLIO,O,O,X,X,X,X,X,O
TSZJLOI,X,X,X,X,X,X,X,O
TSZJOIL,X,O,X,X,X,X,X,O
TSZJOLI,X,X,X,X,X,X,X,O
TSZOILJ,O,X,X,X,X,X,X,O
TSZOIJL,X,O,X,X,X,X,X,O
TSZOLIJ,O,X,X,X,X,X,X,O
TSZOLJI,X,X,X,X,X,X,X,O
TSZOJIL,X,O,X,X,X,X,X,O
TSZOJLI,X,X,X,X,X,X,X,O
TSOILJZ,O,O,X,O,O,X,X,X
TSOILZJ,O,O,X,O,X,O,X,O
TSOIJLZ,O,O,O,X,X,X,X,X
TSOIJZL,O,O,O,X,X,X,O,X
TSOIZLJ,O,O,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,O,O,X,O,O,O,X,X
TSOLIZJ,O,O,X,O,X,O,X,O
TSOLJIZ,O,O,X,O,O,O,X,X
TSOLJZI,O,O,X,O,O,O,X,O
TSOLZIJ,O,O,X,O,X,O,X,O
TSOLZJI,O,O,X,O,X,O,X,O
TSOJILZ,O,O,O,X,X,X,X,X
TSOJIZL,O,O,O,X,X,X,O,X
TSOJLIZ,O,O,O,X,X,X,X,X
TSOJLZI,O,O,O,X,X,X,X,O
TSOJZIL,O,O,O,X,X,X,O,X
TSOJZLI,O,O,O,X,X,X,O,X
TSOZILJ,O,O,X,X,X,X,X,O
TSOZIJL,O,O,X,X,X,X,X,O
TSOZLIJ,O,O,X,X,X,X,X,O
TSOZLJI,O,O,X,X,X,X,X,O
TSOZJIL,O,O,X,X,X,X,X,O
TSOZJLI,O,O,X,X,X,X,X,O
TZILJSO,X,X,O,O,O,O,X,X
TZILJOS,X,X,O,O,O,O,X,X
TZILSJO,O,X,X,O,O,O,X,O
TZILSOJ,O,X,X,O,O,O,X,O
TZILOJS,X,X,O,O,O,O,X,X
TZILOSJ,O,X,X,O,O,O,X,O
TZIJLSO,X,X,O,O,O,X,O,X
TZIJLOS,X,X,O,O,O,X,O,X
TZIJSLO,X,O,O,X,X,X,O,O
TZIJSOL,X,O,O,X,X,X,O,O
TZIJOLS,X,X,O,O,O,X,O,X
TZIJOSL,X,O,O,X,X,X,O,O
TZISLJO,O,O,X,O,O,X,X,O
TZISLOJ,O,X,X,O,O,X,X,O
TZISJLO,O,O,O,X,X,X,X,O
TZISJOL,X,O,O,X,X,X,X,O
TZISOLJ,O,X,X,O,O,X,X,O
TZISOJL,X,O,O,X,X,X,X,O
TZIOLJS,X,X,O,O,O,O,X,X
TZIOLSJ,O,X,X,O,O,O,X,O
TZIOJLS,X,X,O,O,O,X,O,X
TZIOJSL,X,O,O,X,X,X,O,O
TZIOSLJ,O,O,X,O,O,X,X,O
TZIOSJL,O,O,O,X,X,X,X,O
TZLIJSO,X,X,O,O,O,O,X,X
TZLIJOS,X,X,O,O,O,O,X,X
TZLISJO,O,X,X,O,O,O,X,O
TZLISOJ,O,X,X,O,O,O,X,O
TZLIOJS,X,X,O,O,O,O,X,X
TZLIOSJ,O,X,X,O,O,O,X,O
TZLJISO,X,X,O,O,O,O,X,X
TZLJIOS,X,X,O,O,O,O,X,X
TZLJSIO,X,X,O,O,O,O,X,X
TZLJSOI,X,X,O,O,O,O,X,X
TZLJOIS,X,X,O,O,O,O,X,X
TZLJOSI,X,X,O,O,O,O,X,X
TZLSIJO,O,X,X,O,O,O,X,O
TZLSIOJ,O,X,X,O,O,O,X,O
TZLSJIO,O,X,X,O,O,O,X,O
TZLSJOI,X,X,X,O,O,O,X,O
TZLSOIJ,O,X,X,O,O,O,X,O
TZLSOJI,X,X,X,O,O,O,X,O
TZLOIJS,X,X,O,O,O,O,X,X
TZLOISJ,O,X,X,O,O,O,X,O
TZLOJIS,X,X,O,O,O,O,X,X
TZLOJSI,X,X,O,O,O,O,X,X
TZLOSIJ,O,X,X,O,O,O,X,O
TZLOSJI,O,X,X,O,O,O,X,O
TZJILSO,X,X,O,O,O,X,O,X
TZJILOS,X,X,O,O,O,X,O,X
TZJISLO,X,O,O,X,X,X,O,O
TZJISOL,X,O,O,X,X,X,O,O
TZJIOLS,X,X,O,O,O,X,O,X
TZJIOSL,X,O,O,X,X,X,O,O
TZJLISO,X,X,O,O,O,X,O,X
TZJLIOS,X,X,O,O,O,X,O,X
TZJLSIO,X,X,O,O,O,X,O,X
TZJLSOI,X,X,O,O,O,X,O,X
TZJLOIS,X,X,O,O,O,X,O,X
TZJLOSI,X,X,O,O,O,X,O,X
TZJSILO,X,O,O,X,X,X,O,O
TZJSIOL,X,O,O,X,X,X,O,O
