sequence,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhB0mB6sBlp?B2wB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFxgBymB0lB+sBlp?B3rB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBamBUiBWsBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF2lBRhBfsB6sBlp?BUrB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBRhBKrBGnBlp?BUsB,v115@EhC8HeB8HeC8AeB8DeB8Je2EJvhFRgBUiBfrB6rBlp?BTsB,v115@EhC8HeB8HeC8AeB8DeB8JeOEJvhFXgBlhBUmBTnBCq?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFmgBqmB/nB0lBlp?BxwB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhFigBfrBxmBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeRAJvhFUiBypBGrBTsB/p?BFrB,v115@EhC8HeB8HeC8AeB8DeB8Jel/IvhFclB/pBxmBGrBTs?BirB,v115@EhC8HeB8HeC8AeB8DeB8JeT/IvhF/lBxmBarBUnBlp?BWxB,v115@EhC8HeB8HeC8AeB8DeB8JeSFJvhF/pBxmBmkBlmBUr?BTsB
TISJLOZ,O,X,O,O,X,O,X,O,O,X,X,O,X
TISJZLO,O,X,O,X,X,O,X,O,O,X,X,X,X
TISJZOL,O,X,O,O,X,O,X,O,O,X,X,O,X
TISJOLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TISJOZL,O,X,O,O,X,O,X,O,O,X,X,O,X
TISZLJO,X,X,O,X,X,O,X,O,X,X,X,X,X
TISZLOJ,X,X,O,X,X,O,X,O,O,X,X,X,X
TISZJLO,X,X,O,X,X,O,X,O,X,X,X,X,X
TISZJOL,X,X,O,O,X,O,X,O,X,X,X,X,X
TISZOLJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TISZOJL,O,X,O,O,X,O,X,O,X,X,X,X,X
TISOLJZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TISOLZJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TISOJLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TISOJZL,O,X,O,O,X,O,X,O,O,X,X,O,X
TISOZLJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TISOZJL,O,X,O,O,X,O,X,O,X,X,X,X,X
TIZLJSO,X,O,X,O,X,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,O,O,X,O,O,X,X,X,X,X
TIZLSOJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TIZLOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TIZJLSO,X,O,O,O,O,X,O,X,X,X,X,X,X
TIZJLOS,X,O,O,O,O,X,X,X,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZJOLS,X,O,O,O,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZSLJO,X,X,O,O,X,X,O,O,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TIZSJLO,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZSJOL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TIZSOJL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,O,X,X,O,X,X,X,X,X
TIZOJLS,X,O,O,O,O,X,X,X,X,X,X,X,X
TIZOJSL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,X,X,O,X,X,X,X,X
TIZOSJL,X,O,O,O,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TIOLJZS,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOLSJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TIOLSZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TIOLZJS,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,O,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TIOJLZS,O,X,O,O,X,O,O,X,X,X,X,X,X
TIOJSLZ,O,O,O,O,X,O,O,O,O,X,X,O,X
TIOJSZL,O,O,O,O,X,O,O,O,O,X,X,O,X
TIOJZLS,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOJZSL,O,O,O,O,X,O,O,O,X,X,X,O,X
TIOSLJZ,O,X,O,O,O,O,O,O,O,X,X,X,X
TIOSLZJ,O,X,O,X,O,O,O,O,O,X,X,X,X
TIOSJLZ,O,X,O,O,O,O,O,O,O,X,X,O,X
TIOSJZL,O,X,O,O,X,O,O,O,O,X,X,O,X
TIOSZLJ,O,X,O,X,O,O,O,O,O,X,X,X,X
TIOSZJL,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOZLJS,X,O,X,O,X,O,O,X,X,X,X,X,X
TIOZLSJ,X,O,X,O,O,O,O,O,X,X,X,X,X
TIOZJLS,X,O,O,O,O,O,O,X,X,X,X,X,X
TIOZJSL,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOZSLJ,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOZSJL,X,O,O,O,X,O,O,O,X,X,X,X,X
TLIJSZO,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIJSOZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TLIJZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIJOZS,O,X,O,X,X,X,O,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,X,O,O,O,X,X,X,X
TLISJOZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLISZJO,X,X,O,O,O,X,O,O,X,X,X,X,X
TLISZOJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLISOJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLISOZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLIZJSO,X,X,X,O,X,O,O,X,X,X,X,X,X
TLIZJOS,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,X,O,O,O,O,O,X,X,X,X,X
TLIZSOJ,X,X,X,O,O,O,O,O,X,X,X,X,X
TLIZOJS,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLIOJZS,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLIOSZJ,O,X,O,O,O,X,O,O,O,X,X,X,X
TLIOZJS,X,X,X,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,O,X,O,O,X,X,X,X,X
TLJISZO,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJISOZ,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJIZSO,O,X,X,X,X,O,O,X,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,O,X,O,O,X,X,X,X,O,X
TLJIOZS,O,X,X,O,X,O,O,X,X,X,X,X,X
TLJSIZO,O,O,X,O,X,O,O,X,O,X,X,X,X
TLJSIOZ,O,O,X,O,O,O,O,X,O,X,X,O,X
TLJSZIO,O,O,X,O,O,O,O,X,O,X,X,X,X
TLJSZOI,O,O,X,O,O,O,O,X,O,X,X,X,X
TLJSOIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TLJSOZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLJZISO,O,O,X,O,X,O,O,X,X,X,X,X,X
TLJZIOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJZSOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLJOISZ,O,X,X,O,X,O,X,X,X,X,X,O,X
TLJOIZS,O,X,X,O,X,O,X,X,X,X,X,X,X
TLJOSIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TLJOSZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TLJOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X
TLJOZSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,O,O,X,O,X,X,X,X
TLSIJOZ,O,X,O,O,O,O,O,X,O,X,X,X,X
TLSIZJO,X,X,O,O,O,O,O,X,X,X,X,X,X
TLSIZOJ,O,X,O,O,O,O,O,X,O,X,X,X,X
TLSIOJZ,O,X,O,O,O,O,O,X,O,X,X,X,X
TLSIOZJ,O,X,O,O,O,O,O,X,O,X,X,X,X
TLSJIZO,O,X,X,O,X,O,O,X,O,X,X,X,X
TLSJIOZ,O,X,X,O,O,O,O,X,O,X,X,O,X
TLSJZIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TLSJZOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLSJOIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TLSJOZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TLSZIJO,X,X,X,O,O,O,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,O,O,X,X,O,X,X,X,X
TLSZJIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TLSZJOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLSZOIJ,O,X,X,O,O,O,X,X,O,X,X,X,X
TLSZOJI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLSOIJZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TLSOIZJ,O,X,O,O,O,O,X,X,O,X,X,X,X
TLSOJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TLSOJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TLSOZIJ,O,X,X,O,O,O,X,X,O,X,X,X,X
TLSOZJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TLZIJSO,X,O,X,O,X,O,O,X,X,X,X,X,X
TLZIJOS,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZISOJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TLZIOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZJISO,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZJIOS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZJSOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZJOIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZSIJO,X,X,X,O,O,O,O,X,X,X,X,X,X
TLZSIOJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZSJIO,O,X,X,O,O,O,O,X,O,X,X,X,X
TLZSJOI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLZSOIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZSOJI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLZOIJS,X,O,X,O,X,X,X,X,X,X,X,X,X
TLZOISJ,X,O,X,O,O,X,X,X,X,X,X,X,X
TLZOJIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,O,O,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLZOSJI,O,X,X,O,O,O,O,X,O,X,X,X,X
TLOIJSZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,O,O,X,X,O,O,X,X,X,X
TLOISZJ,O,X,O,O,O,X,X,O,O,X,X,X,X
TLOIZJS,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,O,O,X,O,X,X,X,X,X
TLOJISZ,O,X,X,O,X,O,X,X,X,O,X,O,X
TLOJIZS,O,X,X,O,X,O,X,X,X,O,X,X,X
TLOJSIZ,O,O,X,O,O,O,X,X,O,O,X,O,X
TLOJSZI,O,O,X,O,O,O,X,X,O,O,X,X,X
TLOJZIS,O,O,X,O,X,O,X,X,X,O,X,X,X
TLOJZSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TLOSIJZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TLOSIZJ,O,X,O,O,O,O,X,X,O,X,X,X,X
TLOSJIZ,O,X,X,O,O,O,X,X,O,X,X,O,X
TLOSJZI,O,X,X,O,O,O,X,X,O,X,X,X,X
TLOSZIJ,O,X,X,O,O,O,X,X,O,X,X,X,X
TLOSZJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TLOZIJS,X,O,X,O,X,O,X,X,X,X,X,X,X
TLOZISJ,X,O,X,O,O,O,X,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,O,X,X,X,O,X,X,X
TLOZJSI,O,O,X,O,O,O,X,X,X,O,X,X,X
TLOZSIJ,O,O,X,O,O,O,X,X,O,X,X,X,X
TLOZSJI,O,X,X,O,O,O,X,X,O,X,X,X,X
TJILSZO,O,X,O,O,X,O,O,X,X,X,X,X,X
TJILSOZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TJILZSO,O,X,O,X,X,O,O,X,X,X,X,X,X
TJILZOS,O,X,O,X,X,X,O,X,X,X,X,X,X
TJILOSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TJILOZS,O,X,O,O,X,O,O,X,X,X,X,X,X
TJISLZO,O,O,O,X,X,O,X,O,O,X,X,X,X
TJISLOZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TJISZLO,O,O,O,X,X,O,X,O,O,X,X,X,X
TJISZOL,O,O,O,O,X,O,X,O,O,X,X,O,X
TJISOLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TJISOZL,O,O,O,O,X,O,X,O,O,X,X,O,X
TJIZLSO,X,O,O,O,X,X,O,X,X,X,X,X,X
TJIZLOS,X,O,O,O,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,O,O,X,O,O,O,X,X,X,X,X
TJIZSOL,O,O,O,O,X,O,O,O,X,X,X,O,X
TJIZOLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TJIZOSL,O,O,O,O,X,O,O,O,X,X,X,O,X
TJIOLSZ,O,X,O,O,X,O,O,X,X,X,X,O,X
TJIOLZS,O,X,O,O,X,O,O,X,X,X,X,X,X
TJIOSLZ,O,O,O,O,X,O,O,O,O,X,X,O,X
TJIOSZL,O,O,O,O,X,O,O,O,O,X,X,O,X
TJIOZLS,X,O,O,O,X,O,O,X,X,X,X,X,X
TJIOZSL,O,O,O,O,X,O,O,O,X,X,X,O,X
TJLISZO,O,X,X,O,X,O,O,X,X,X,X,X,X
TJLISOZ,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLIZSO,O,X,X,X,X,O,O,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,O,X,X,O,X,O,O,X,X,X,X,O,X
TJLIOZS,O,X,X,O,X,O,O,X,X,X,X,X,X
TJLSIZO,O,O,X,O,X,O,O,X,O,X,X,X,X
TJLSIOZ,O,O,X,O,O,O,O,X,O,X,X,O,X
TJLSZIO,O,O,X,O,O,O,O,X,O,X,X,X,X
TJLSZOI,O,O,X,O,O,O,O,X,O,X,X,X,X
TJLSOIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJLSOZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJLZISO,O,O,X,O,X,O,O,X,X,X,X,X,X
TJLZIOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLZSOI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLZOIS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJLZOSI,O,O,X,O,O,O,O,X,X,X,X,X,X
TJLOISZ,O,X,X,O,X,O,X,X,X,X,X,O,X
TJLOIZS,O,X,X,O,X,O,X,X,X,X,X,X,X
TJLOSIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJLOSZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJLOZIS,O,O,X,O,X,O,X,X,X,X,X,X,X
TJLOZSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJSILZO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJSILOZ,O,O,O,O,X,O,X,X,O,X,X,O,X
TJSIZLO,O,O,O,X,X,O,X,X,O,X,X,X,X
TJSIZOL,O,O,O,O,X,O,X,X,O,X,X,O,X
TJSIOLZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TJSIOZL,O,O,O,O,X,O,X,X,O,X,X,O,X
TJSLIZO,O,O,X,O,X,O,X,X,O,X,X,X,X
TJSLIOZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJSLZIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSLZOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSLOIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJSLOZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSZILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TJSZIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJSZLIO,O,O,X,O,X,O,X,X,O,X,X,X,X
TJSZLOI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJSZOIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJSZOLI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJSOILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TJSOIZL,O,O,O,O,X,O,X,X,O,X,X,O,X
TJSOLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJSOLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJSOZIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJSOZLI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJZILSO,X,O,X,O,O,X,X,X,X,X,X,X,X
TJZILOS,X,O,X,O,O,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,O,X,O,X,X,X,X,X,X,X
TJZISOL,O,O,X,O,X,O,X,X,X,X,X,O,X
TJZIOLS,X,O,X,O,O,O,X,X,X,X,X,X,X
TJZIOSL,O,O,X,O,X,O,X,X,X,X,X,O,X
TJZLISO,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZLIOS,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZLSIO,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZLSOI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZLOIS,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZLOSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZSILO,O,O,X,O,X,O,X,X,O,X,X,X,X
TJZSIOL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJZSLIO,O,O,X,O,O,O,X,X,O,X,X,X,X
TJZSLOI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJZSOIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJZSOLI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJZOILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TJZOISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TJZOLIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZOLSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJZOSIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJZOSLI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJOILSZ,O,X,O,O,X,O,X,X,X,X,X,O,X
TJOILZS,O,X,O,O,X,O,X,X,X,X,X,X,X
TJOISLZ,O,O,O,O,X,O,X,O,O,X,X,O,X
TJOISZL,O,O,O,O,X,O,X,O,O,X,X,O,X
TJOIZLS,X,O,O,O,X,O,X,X,X,X,X,X,X
TJOIZSL,O,O,O,O,X,O,X,O,X,X,X,O,X
TJOLISZ,O,X,X,O,X,O,X,X,X,X,X,O,X
TJOLIZS,O,X,X,O,X,O,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJOLSZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJOLZIS,O,O,X,O,X,O,X,X,X,X,X,X,X
TJOLZSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJOSILZ,O,O,O,O,O,O,X,X,O,X,X,O,X
TJOSIZL,O,O,O,O,X,O,X,X,O,X,X,O,X
TJOSLIZ,O,O,X,O,O,O,X,X,O,X,X,O,X
TJOSLZI,O,O,X,O,O,O,X,X,O,X,X,X,X
TJOSZIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJOSZLI,O,O,X,O,X,O,X,X,O,X,X,X,X
TJOZILS,X,O,X,O,O,O,X,X,X,X,X,X,X
TJOZISL,O,O,X,O,X,O,X,X,X,X,X,O,X
TJOZLIS,O,O,X,O,O,O,X,X,X,X,X,X,X
TJOZLSI,O,O,X,O,O,O,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,X,O,X,X,O,X,X,O,X
TJOZSLI,O,O,X,O,O,O,X,X,O,X,X,X,X
TSILJZO,O,X,O,X,X,O,X,O,O,X,X,X,X
TSILJOZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TSILZJO,X,X,O,X,O,O,X,O,X,X,X,X,X
TSILZOJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TSILOJZ,O,X,O,O,O,O,X,O,O,X,X,X,X
TSILOZJ,O,X,O,X,O,O,X,O,O,X,X,X,X
TSIJLZO,O,X,O,X,X,O,X,O,O,X,X,X,X
TSIJLOZ,O,X,O,O,X,O,X,O,O,X,X,O,X
TSIJZLO,O,X,O,X,X,O,X,O,O,X,X,X,X
TSIJZOL,O,X,O,O,X,O,X,O,O,X,X,O,X
TSIJOLZ,O,X,O,O,O,O,X,O,O,X,X,O,X
TSIJOZL,O,X,O,O,X,O,X,O,O,X,X,O,X
