sequence,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigB3hBFjBc?qBOsBTrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigBFiBXjBc?qBOrBzrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjBllBc?rBesBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBGlBK?rBfsBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjB0lBm?mBzpB1wB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBClBO?rBXqBzrB
TISJZLO,O,O,X,X,O,O
TISJZOL,O,O,X,X,O,O
TISJOLZ,O,X,X,X,O,X
TISJOZL,O,O,X,X,O,O
TISZLJO,O,O,X,O,O,O
TISZLOJ,O,O,X,O,O,O
TISZJLO,O,O,X,X,O,X
TISZJOL,O,O,X,X,O,X
TISZOLJ,O,O,X,O,O,X
TISZOJL,O,O,X,X,O,X
TISOLJZ,X,X,X,O,O,O
TISOLZJ,O,O,X,O,O,O
TISOJLZ,X,O,X,X,O,O
TISOJZL,O,O,X,X,O,O
TISOZLJ,O,O,X,O,O,O
TISOZJL,O,O,X,X,O,X
TIZLJSO,O,O,O,X,O,X
TIZLJOS,O,O,O,X,O,X
TIZLSJO,O,O,X,X,O,X
TIZLSOJ,O,O,X,X,O,X
TIZLOJS,O,O,X,X,X,X
TIZLOSJ,O,O,X,X,X,X
TIZJLSO,O,O,O,X,O,O
TIZJLOS,O,O,O,X,O,X
TIZJSLO,O,O,O,X,O,O
TIZJSOL,O,O,O,X,O,O
TIZJOLS,O,O,O,X,O,X
TIZJOSL,O,O,O,X,O,O
TIZSLJO,O,O,X,O,O,O
TIZSLOJ,O,O,X,O,O,O
TIZSJLO,O,O,X,X,O,X
TIZSJOL,O,O,X,X,O,X
TIZSOLJ,O,O,X,O,O,X
TIZSOJL,O,O,X,X,X,X
TIZOLJS,O,O,X,X,X,X
TIZOLSJ,O,O,X,X,X,X
TIZOJLS,O,O,X,X,X,X
TIZOJSL,O,O,X,X,X,X
TIZOSLJ,O,O,X,O,X,O
TIZOSJL,O,O,X,X,X,X
TIOLJSZ,X,X,X,O,O,X
TIOLJZS,X,X,X,O,O,X
TIOLSJZ,X,X,X,O,O,X
TIOLSZJ,O,O,X,O,O,X
TIOLZJS,O,O,X,X,O,X
TIOLZSJ,O,O,X,O,O,X
TIOJLSZ,O,O,X,O,O,X
TIOJLZS,O,O,X,O,O,O
TIOJSLZ,O,O,X,O,O,O
TIOJSZL,O,O,X,X,O,O
TIOJZLS,O,O,X,O,O,O
TIOJZSL,O,O,X,X,O,O
TIOSLJZ,X,X,X,O,O,O
TIOSLZJ,O,O,X,O,O,O
TIOSJLZ,X,O,X,X,O,O
TIOSJZL,O,O,X,X,O,O
TIOSZLJ,O,O,X,O,O,O
TIOSZJL,O,O,X,X,O,X
TIOZLJS,O,O,X,X,O,X
TIOZLSJ,O,O,X,X,O,X
TIOZJLS,O,O,X,X,O,X
TIOZJSL,O,O,X,X,O,X
TIOZSLJ,O,O,X,O,O,O
TIOZSJL,O,O,X,X,O,X
TLIJSZO,O,X,O,O,X,X
TLIJSOZ,X,X,X,O,X,X
TLIJZSO,O,X,O,O,X,X
TLIJZOS,O,X,O,X,X,X
TLIJOSZ,O,X,X,O,X,X
TLIJOZS,O,X,X,X,X,X
TLISJZO,X,X,O,O,X,X
TLISJOZ,X,X,X,O,X,X
TLISZJO,X,X,X,O,X,X
TLISZOJ,X,X,X,O,X,X
TLISOJZ,X,X,X,O,X,X
TLISOZJ,X,X,X,O,X,X
TLIZJSO,O,X,O,X,X,X
TLIZJOS,O,X,O,X,X,X
TLIZSJO,O,X,X,O,X,X
TLIZSOJ,O,X,X,O,X,X
TLIZOJS,O,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X
TLIOJSZ,X,X,X,O,X,X
TLIOJZS,X,X,X,O,X,X
TLIOSJZ,X,X,X,O,X,X
TLIOSZJ,O,X,X,O,X,X
TLIOZJS,O,X,X,X,X,X
TLIOZSJ,O,X,X,O,X,X
TLJISZO,O,X,O,O,O,X
TLJISOZ,X,X,X,O,O,X
TLJIZSO,O,X,O,O,O,O
TLJIZOS,O,X,O,X,O,X
TLJIOSZ,O,X,X,O,O,X
TLJIOZS,O,X,X,X,O,X
TLJSIZO,O,X,O,O,O,O
TLJSIOZ,X,X,X,O,O,O
TLJSZIO,O,X,O,O,O,O
TLJSZOI,O,X,O,O,O,O
TLJSOIZ,X,X,X,O,O,O
TLJSOZI,X,X,O,O,O,O
TLJZISO,O,X,O,O,O,O
TLJZIOS,O,X,O,X,O,X
TLJZSIO,O,X,O,O,O,O
TLJZSOI,O,X,O,O,O,O
TLJZOIS,O,X,O,X,O,X
TLJZOSI,O,X,O,X,O,X
TLJOISZ,O,X,X,O,O,X
TLJOIZS,O,X,X,O,O,X
TLJOSIZ,O,X,X,O,O,X
TLJOSZI,O,X,O,O,O,X
TLJOZIS,O,X,O,O,O,X
TLJOZSI,O,X,O,O,O,X
TLSIJZO,X,X,O,O,O,O
TLSIJOZ,X,X,X,O,O,O
TLSIZJO,X,X,X,O,O,O
TLSIZOJ,X,X,X,O,O,O
TLSIOJZ,X,X,X,O,O,O
TLSIOZJ,X,X,X,O,O,O
TLSJIZO,X,X,O,O,O,O
TLSJIOZ,X,X,X,O,O,O
TLSJZIO,X,X,O,O,O,O
TLSJZOI,X,X,O,O,O,O
TLSJOIZ,X,X,X,O,O,O
TLSJOZI,X,X,O,O,O,O
TLSZIJO,X,X,X,O,O,O
TLSZIOJ,X,X,X,O,O,O
TLSZJIO,X,X,O,O,O,O
TLSZJOI,X,X,O,O,O,O
TLSZOIJ,X,X,X,O,O,O
TLSZOJI,X,X,X,O,O,O
TLSOIJZ,X,X,X,O,O,O
TLSOIZJ,X,X,X,O,O,O
TLSOJIZ,X,X,X,O,O,O
TLSOJZI,X,X,O,O,O,O
TLSOZIJ,X,X,X,O,O,O
TLSOZJI,X,X,X,O,O,O
TLZIJSO,O,X,O,X,O,X
TLZIJOS,O,X,O,X,O,X
TLZISJO,O,X,X,O,O,X
TLZISOJ,O,X,X,O,O,X
TLZIOJS,O,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X
TLZJISO,O,X,O,O,O,O
TLZJIOS,O,X,O,X,O,X
TLZJSIO,O,X,O,O,O,O
TLZJSOI,O,X,O,O,O,O
TLZJOIS,O,X,O,X,O,X
TLZJOSI,O,X,O,X,O,X
TLZSIJO,O,X,X,O,O,O
TLZSIOJ,O,X,X,O,O,O
TLZSJIO,O,X,O,O,O,O
TLZSJOI,O,X,O,O,O,X
TLZSOIJ,O,X,X,O,O,O
TLZSOJI,O,X,X,O,O,X
TLZOIJS,O,X,X,X,X,X
TLZOISJ,O,X,X,O,X,X
TLZOJIS,O,X,O,O,O,X
TLZOJSI,O,X,O,O,O,X
TLZOSIJ,O,X,X,O,O,O
TLZOSJI,O,X,X,O,O,O
TLOIJSZ,X,X,X,O,O,X
TLOIJZS,X,X,X,O,O,X
TLOISJZ,X,X,X,O,O,X
TLOISZJ,O,X,X,O,O,X
TLOIZJS,O,X,X,X,O,X
TLOIZSJ,O,X,X,O,O,X
TLOJISZ,X,X,X,O,O,X
TLOJIZS,X,X,X,O,O,O
TLOJSIZ,X,X,X,O,O,O
TLOJSZI,X,X,O,O,O,O
TLOJZIS,X,X,O,O,O,O
TLOJZSI,X,X,O,O,O,O
TLOSIJZ,X,X,X,O,O,O
TLOSIZJ,O,X,X,O,O,O
TLOSJIZ,X,X,X,O,O,O
TLOSJZI,X,X,O,O,O,O
TLOSZIJ,O,X,X,O,O,O
TLOSZJI,O,X,X,O,O,O
TLOZIJS,O,X,X,X,O,X
TLOZISJ,O,X,X,O,O,X
TLOZJIS,O,X,O,O,O,X
TLOZJSI,O,X,O,O,O,X
TLOZSIJ,O,X,X,O,O,O
TLOZSJI,O,X,X,O,O,O
TJILSZO,O,O,O,O,O,X
TJILSOZ,X,X,X,O,O,X
TJILZSO,O,O,O,O,O,O
TJILZOS,O,O,O,X,O,X
TJILOSZ,O,X,X,O,O,X
TJILOZS,O,X,X,X,O,X
TJISLZO,O,O,O,O,O,O
TJISLOZ,X,X,X,O,O,O
TJISZLO,O,O,O,X,O,O
TJISZOL,O,O,O,X,O,O
TJISOLZ,O,X,O,X,O,X
TJISOZL,O,O,O,X,O,O
TJIZLSO,O,O,O,O,O,O
TJIZLOS,O,O,O,X,O,X
TJIZSLO,O,O,O,X,O,O
TJIZSOL,O,O,O,X,O,O
TJIZOLS,O,O,O,X,O,X
TJIZOSL,O,O,O,X,O,O
TJIOLSZ,O,X,O,O,O,X
TJIOLZS,O,X,X,X,O,X
TJIOSLZ,O,X,O,X,O,X
TJIOSZL,O,O,O,X,O,X
TJIOZLS,O,O,O,X,O,X
TJIOZSL,O,O,O,X,O,O
TJLISZO,O,O,O,O,O,X
TJLISOZ,X,X,X,O,O,X
TJLIZSO,O,O,O,O,O,O
TJLIZOS,O,O,O,X,O,X
TJLIOSZ,O,X,X,O,O,X
TJLIOZS,O,X,X,X,O,X
TJLSIZO,O,O,O,O,O,O
TJLSIOZ,X,X,X,O,O,O
TJLSZIO,O,O,O,O,O,O
TJLSZOI,O,O,O,O,O,O
TJLSOIZ,X,X,X,O,O,O
TJLSOZI,X,X,O,O,O,O
TJLZISO,O,O,O,O,O,O
TJLZIOS,O,O,O,X,O,X
TJLZSIO,O,O,O,O,O,O
TJLZSOI,O,O,O,O,O,O
TJLZOIS,O,O,O,X,O,X
TJLZOSI,O,O,O,X,O,X
TJLOISZ,O,X,X,O,O,X
TJLOIZS,O,X,X,O,O,X
TJLOSIZ,O,X,X,O,O,X
TJLOSZI,O,X,O,O,O,X
TJLOZIS,O,X,O,O,O,X
TJLOZSI,O,X,O,O,O,X
TJSILZO,O,O,O,O,O,O
TJSILOZ,X,X,X,O,O,O
TJSIZLO,O,O,O,X,O,O
TJSIZOL,O,O,O,X,O,O
TJSIOLZ,O,X,O,X,O,X
TJSIOZL,O,O,O,X,O,O
TJSLIZO,O,O,O,O,O,O
TJSLIOZ,X,X,X,O,O,O
TJSLZIO,O,O,O,O,O,O
TJSLZOI,O,O,O,O,O,O
TJSLOIZ,X,X,X,O,O,O
TJSLOZI,X,X,O,O,O,O
TJSZILO,O,O,O,X,O,O
TJSZIOL,O,O,O,X,O,O
TJSZLIO,O,O,O,O,O,O
TJSZLOI,O,O,O,O,O,O
TJSZOIL,O,O,O,X,O,O
TJSZOLI,O,O,O,O,O,O
TJSOILZ,O,X,O,X,O,O
TJSOIZL,O,O,O,X,O,O
TJSOLIZ,O,X,O,O,O,O
TJSOLZI,O,X,O,O,O,O
TJSOZIL,O,O,O,X,O,O
TJSOZLI,O,O,O,O,O,O
TJZILSO,O,O,O,O,O,O
TJZILOS,O,O,O,X,O,X
TJZISLO,O,O,O,X,O,O
TJZISOL,O,O,O,X,O,O
TJZIOLS,O,O,O,X,O,X
TJZIOSL,O,O,O,X,O,O
TJZLISO,O,O,O,O,O,O
TJZLIOS,O,O,O,X,O,X
TJZLSIO,O,O,O,O,O,O
TJZLSOI,O,O,O,O,O,O
TJZLOIS,O,O,O,X,O,X
TJZLOSI,O,O,O,X,O,X
TJZSILO,O,O,O,X,O,O
TJZSIOL,O,O,O,X,O,O
TJZSLIO,O,O,O,O,O,O
TJZSLOI,O,O,O,O,O,O
TJZSOIL,O,O,O,X,O,O
TJZSOLI,O,O,O,O,O,O
TJZOILS,O,O,O,X,O,X
TJZOISL,O,O,O,X,O,O
TJZOLIS,O,O,O,X,O,X
TJZOLSI,O,O,O,X,O,X
TJZOSIL,O,O,O,X,O,O
TJZOSLI,O,O,O,O,O,O
TJOILSZ,O,X,O,O,O,X
TJOILZS,O,X,O,O,O,O
TJOISLZ,O,X,O,O,O,O
TJOISZL,O,O,O,X,O,O
TJOIZLS,O,O,O,O,O,O
TJOIZSL,O,O,O,X,O,O
TJOLISZ,O,X,O,O,O,X
TJOLIZS,O,X,O,O,O,O
TJOLSIZ,O,X,O,O,O,O
TJOLSZI,O,X,O,O,O,O
TJOLZIS,O,X,O,O,O,O
TJOLZSI,O,X,O,O,O,O
TJOSILZ,O,X,O,O,O,O
TJOSIZL,O,O,O,X,O,O
TJOSLIZ,O,X,O,O,O,O
TJOSLZI,O,X,O,O,O,O
TJOSZIL,O,O,O,X,O,O
TJOSZLI,O,O,O,O,O,O
TJOZILS,O,O,O,O,O,O
TJOZISL,O,O,O,X,O,O
TJOZLIS,O,O,O,O,O,O
TJOZLSI,O,O,O,O,O,O
TJOZSIL,O,O,O,X,O,O
TJOZSLI,O,O,O,O,O,O
TSILJZO,X,O,O,O,O,O
TSILJOZ,X,X,X,O,O,O
TSILZJO,X,O,X,O,O,O
TSILZOJ,X,O,X,O,O,O
TSILOJZ,X,X,X,O,O,O
TSILOZJ,X,O,X,O,O,O
TSIJLZO,O,O,O,X,O,O
TSIJLOZ,X,X,X,X,O,O
TSIJZLO,O,O,O,X,O,O
TSIJZOL,O,O,O,X,O,O
TSIJOLZ,O,X,O,X,O,X
TSIJOZL,O,O,O,X,O,O
TSIZLJO,O,O,X,O,O,O
TSIZLOJ,O,O,X,O,O,O
TSIZJLO,O,O,X,X,O,X
TSIZJOL,O,O,X,X,O,X
TSIZOLJ,O,O,X,O,O,X
TSIZOJL,O,O,X,X,O,X
TSIOLJZ,X,X,O,O,O,O
TSIOLZJ,O,O,X,O,O,O
TSIOJLZ,X,O,O,X,O,O
TSIOJZL,O,O,O,X,O,O
TSIOZLJ,O,O,X,O,O,O
TSIOZJL,O,O,X,X,O,X
TSLIJZO,X,O,O,O,O,O
TSLIJOZ,X,X,X,O,O,O
TSLIZJO,X,O,X,O,O,O
TSLIZOJ,X,O,X,O,O,O
TSLIOJZ,X,X,X,O,O,O
TSLIOZJ,X,O,X,O,O,O
TSLJIZO,X,O,O,O,O,O
TSLJIOZ,X,X,X,O,O,O
TSLJZIO,X,O,O,O,O,O
TSLJZOI,X,O,O,O,O,O
TSLJOIZ,X,X,X,O,O,O
TSLJOZI,X,X,O,O,O,O
TSLZIJO,X,O,X,O,O,O
TSLZIOJ,X,O,X,O,O,O
TSLZJIO,X,O,O,O,O,O
TSLZJOI,X,X,O,O,O,O
TSLZOIJ,X,O,X,O,O,O
TSLZOJI,X,X,X,O,O,O
TSLOIJZ,X,X,X,O,O,O
TSLOIZJ,X,O,X,O,O,O
TSLOJIZ,X,X,X,O,O,O
TSLOJZI,X,X,O,O,O,O
TSLOZIJ,X,O,X,O,O,O
TSLOZJI,X,O,X,O,O,O
TSJILZO,O,O,O,O,O,O
TSJILOZ,X,X,X,O,O,O
TSJIZLO,O,O,O,X,O,O
TSJIZOL,O,O,O,X,O,O
TSJIOLZ,O,X,O,X,O,X
TSJIOZL,O,O,O,X,O,O
TSJLIZO,O,O,O,O,O,O
TSJLIOZ,X,X,X,O,O,O
TSJLZIO,O,O,O,O,O,O
TSJLZOI,O,O,O,O,O,O
TSJLOIZ,X,X,X,O,O,O
TSJLOZI,X,X,O,O,O,O
TSJZILO,O,O,O,X,O,O
TSJZIOL,O,O,O,X,O,O
TSJZLIO,O,O,O,O,O,O
TSJZLOI,O,O,O,O,O,O
TSJZOIL,O,O,O,X,O,O
TSJZOLI,O,O,O,O,O,O
TSJOILZ,O,X,O,X,O,O
TSJOIZL,O,O,O,X,O,O
TSJOLIZ,O,X,O,O,O,O
TSJOLZI,O,X,O,O,O,O
TSJOZIL,O,O,O,X,O,O
TSJOZLI,O,O,O,O,O,O
TSZILJO,O,O,X,O,O,O
TSZILOJ,O,O,X,O,O,O
TSZIJLO,O,O,X,X,O,X
TSZIJOL,O,O,X,X,O,X
TSZIOLJ,O,O,X,O,O,X
TSZIOJL,O,O,X,X,O,X
TSZLIJO,O,O,X,O,O,O
TSZLIOJ,O,O,X,O,O,O
TSZLJIO,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O
TSZLOIJ,O,O,X,O,O,O
TSZLOJI,O,O,X,O,O,O
TSZJILO,O,O,O,X,O,O
TSZJIOL,O,O,O,X,O,O
TSZJLIO,O,O,O,O,O,O
TSZJLOI,O,O,O,O,O,O
TSZJOIL,O,O,O,X,O,O
TSZJOLI,O,O,O,O,O,O
TSZOILJ,O,O,X,O,O,O
TSZOIJL,O,O,X,X,O,X
TSZOLIJ,O,O,X,O,O,O
TSZOLJI,O,O,X,O,O,O
TSZOJIL,O,O,X,X,O,O
TSZOJLI,O,O,X,O,O,O
TSOILJZ,X,X,O,O,O,O
TSOILZJ,O,O,X,O,O,O
TSOIJLZ,X,O,O,X,O,O
TSOIJZL,O,O,O,X,O,O
TSOIZLJ,O,O,X,O,O,O
TSOIZJL,O,O,X,X,O,X
TSOLIJZ,X,X,O,O,O,O
TSOLIZJ,O,O,X,O,O,O
TSOLJIZ,X,X,O,O,O,O
TSOLJZI,X,X,O,O,O,O
TSOLZIJ,O,O,X,O,O,O
TSOLZJI,O,O,O,O,O,O
TSOJILZ,X,O,O,O,O,O
TSOJIZL,O,O,O,X,O,O
TSOJLIZ,X,O,O,O,O,O
TSOJLZI,X,O,O,O,O,O
TSOJZIL,O,O,O,X,O,O
TSOJZLI,O,O,O,O,O,O
TSOZILJ,O,O,X,O,O,O
TSOZIJL,O,O,X,X,O,X
TSOZLIJ,O,O,X,O,O,O
TSOZLJI,O,O,O,O,O,O
TSOZJIL,O,O,X,X,O,O
TSOZJLI,O,O,O,O,O,O
TZILJSO,O,O,O,X,O,X
TZILJOS,O,O,O,X,O,X
TZILSJO,O,O,X,X,O,X
TZILSOJ,O,O,X,X,O,X
TZILOJS,O,O,X,X,X,X
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,O,O,X,O,O
TZIJLOS,O,O,O,X,O,X
TZIJSLO,O,O,O,X,O,O
TZIJSOL,O,O,O,X,O,O
TZIJOLS,O,O,O,X,O,X
TZIJOSL,O,O,O,X,O,O
TZISLJO,O,O,X,O,O,O
TZISLOJ,O,O,X,O,O,O
TZISJLO,O,O,X,X,O,X
TZISJOL,O,O,X,X,O,X
TZISOLJ,O,O,X,O,O,X
TZISOJL,O,O,X,X,X,X
TZIOLJS,O,O,X,X,X,X
TZIOLSJ,O,O,X,X,X,X
TZIOJLS,O,O,X,X,X,X
TZIOJSL,O,O,X,X,X,X
TZIOSLJ,O,O,X,O,X,O
TZIOSJL,O,O,X,X,X,X
TZLIJSO,O,O,O,X,O,X
TZLIJOS,O,O,O,X,O,X
TZLISJO,O,O,X,O,O,X
TZLISOJ,O,O,X,O,O,X
TZLIOJS,O,O,X,X,X,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,O,O,O,O,O
TZLJIOS,O,O,O,X,O,X
TZLJSIO,O,O,O,O,O,O
TZLJSOI,O,O,O,O,O,O
TZLJOIS,O,O,O,X,O,X
TZLJOSI,O,O,O,X,O,X
TZLSIJO,O,O,X,O,O,O
TZLSIOJ,O,O,X,O,O,O
TZLSJIO,O,O,O,O,O,O
TZLSJOI,O,O,O,O,O,X
TZLSOIJ,O,O,X,O,O,O
TZLSOJI,O,O,X,O,O,X
TZLOIJS,O,O,X,X,X,X
TZLOISJ,O,O,X,O,X,X
TZLOJIS,O,O,O,O,O,X
TZLOJSI,O,O,O,O,O,X
TZLOSIJ,O,O,X,O,O,O
TZLOSJI,O,O,X,O,O,O
TZJILSO,O,O,O,O,O,O
TZJILOS,O,O,O,X,O,X
TZJISLO,O,O,O,X,O,O
TZJISOL,O,O,O,X,O,O
TZJIOLS,O,O,O,X,O,X
TZJIOSL,O,O,O,X,O,O
TZJLISO,O,O,O,O,O,O
TZJLIOS,O,O,O,X,O,X
TZJLSIO,O,O,O,O,O,O
TZJLSOI,O,O,O,O,O,O
TZJLOIS,O,O,O,X,O,X
TZJLOSI,O,O,O,X,O,X
TZJSILO,O,O,O,X,O,O
TZJSIOL,O,O,O,X,O,O
TZJSLIO,O,O,O,O,O,O
TZJSLOI,O,O,O,O,O,O
TZJSOIL,O,O,O,X,O,O
TZJSOLI,O,O,O,O,O,O
TZJOILS,O,O,O,X,O,X
TZJOISL,O,O,O,X,O,O
TZJOLIS,O,O,O,X,O,X
TZJOLSI,O,O,O,X,O,X
TZJOSIL,O,O,O,X,O,O
TZJOSLI,O,O,O,O,O,O
TZSILJO,O,O,X,O,O,O
TZSILOJ,O,O,X,O,O,O
TZSIJLO,O,O,X,X,O,X
TZSIJOL,O,O,X,X,O,X
TZSIOLJ,O,O,X,O,O,X
TZSIOJL,O,O,X,X,O,X
TZSLIJO,O,O,X,O,O,O
TZSLIOJ,O,O,X,O,O,O
TZSLJIO,O,O,O,O,O,O
TZSLJOI,O,O,O,O,O,O
TZSLOIJ,O,O,X,O,O,O
TZSLOJI,O,O,X,O,O,O
TZSJILO,O,O,O,X,O,O
TZSJIOL,O,O,O,X,O,O
TZSJLIO,O,O,O,O,O,O
TZSJLOI,O,O,O,O,O,O
TZSJOIL,O,O,O,X,O,O
TZSJOLI,O,O,O,O,O,O
TZSOILJ,O,O,X,O,O,O
TZSOIJL,O,O,X,X,O,X
TZSOLIJ,O,O,X,O,O,O
TZSOLJI,O,O,X,O,O,O
TZSOJIL,O,O,X,X,O,O
TZSOJLI,O,O,X,O,O,O
TZOILJS,O,O,O,X,O,X
TZOILSJ,O,O,X,X,O,X
TZOIJLS,O,O,O,X,O,X
TZOIJSL,O,O,O,X,O,X
TZOISLJ,O,O,X,O,O,O
TZOISJL,O,O,X,X,O,X
TZOLIJS,O,O,O,X,O,X
TZOLISJ,O,O,X,O,O,X
TZOLJIS,O,O,O,O,O,X
TZOLJSI,O,O,O,O,O,X
TZOLSIJ,O,O,X,O,O,O
TZOLSJI,O,O,O,O,O,O
TZOJILS,O,O,O,O,O,O
TZOJISL,O,O,O,X,O,O
TZOJLIS,O,O,O,O,O,O
TZOJLSI,O,O,O,O,O,O
TZOJSIL,O,O,O,X,O,O
TZOJSLI,O,O,O,O,O,O
TZOSILJ,O,O,X,O,O,O
TZOSIJL,O,O,X,X,O,X
TZOSLIJ,O,O,X,O,O,O
TZOSLJI,O,O,O,O,O,O
TZOSJIL,O,O,O,X,O,O
TZOSJLI,O,O,O,O,O,O
TOILJSZ,X,X,O,O,O,X
TOILJZS,X,X,O,O,O,X
TOILSJZ,X,X,O,O,O,X
TOILSZJ,O,O,X,O,O,X
TOILZJS,O,O,O,X,O,X
TOILZSJ,O,O,X,O,O,X
TOIJLSZ,O,O,O,O,O,X
TOIJLZS,O,O,O,O,O,O
TOIJSLZ,O,O,O,O,O,O
TOIJSZL,O,O,X,X,O,O
TOIJZLS,O,O,X,O,O,O
TOIJZSL,O,O,X,X,O,O
TOISLJZ,X,X,O,O,O,O
TOISLZJ,O,O,X,O,O,O
TOISJLZ,X,O,O,X,O,O
TOISJZL,O,O,X,X,O,O
TOISZLJ,O,O,X,O,O,O
TOISZJL,O,O,X,X,O,X
TOIZLJS,O,O,O,X,O,X
TOIZLSJ,O,O,X,X,O,X
TOIZJLS,O,O,O,X,O,X
TOIZJSL,O,O,O,X,O,X
TOIZSLJ,O,O,X,O,O,O
TOIZSJL,O,O,X,X,O,X
TOLIJSZ,X,X,O,O,O,X
TOLIJZS,X,X,O,O,O,X
TOLISJZ,X,X,O,O,O,X
TOLISZJ,O,O,X,O,O,X
TOLIZJS,O,O,O,X,O,X
TOLIZSJ,O,O,X,O,O,X
TOLJISZ,X,X,O,O,O,X
TOLJIZS,X,X,O,O,O,O
TOLJSIZ,X,X,O,O,O,O
TOLJSZI,X,X,O,O,O,O
TOLJZIS,X,X,O,O,O,O
TOLJZSI,X,X,O,O,O,O
TOLSIJZ,X,X,O,O,O,O
TOLSIZJ,O,O,X,O,O,O
TOLSJIZ,X,X,O,O,O,O
TOLSJZI,X,X,O,O,O,O
TOLSZIJ,O,O,X,O,O,O
TOLSZJI,O,O,O,O,O,O
TOLZIJS,O,O,O,X,O,X
TOLZISJ,O,O,X,O,O,X
TOLZJIS,O,O,O,O,O,X
TOLZJSI,O,O,O,O,O,X
TOLZSIJ,O,O,X,O,O,O
TOLZSJI,O,O,O,O,O,O
TOJILSZ,O,O,O,O,O,X
TOJILZS,O,O,O,O,O,O
TOJISLZ,O,O,O,O,O,O
TOJISZL,O,O,O,X,O,O
TOJIZLS,O,O,O,O,O,O
TOJIZSL,O,O,O,X,O,O
TOJLISZ,O,O,O,O,O,X
TOJLIZS,O,O,O,O,O,O
TOJLSIZ,O,O,O,O,O,O
TOJLSZI,O,O,O,O,O,O
TOJLZIS,O,O,O,O,O,O
TOJLZSI,O,O,O,O,O,O
TOJSILZ,O,O,O,O,O,O
TOJSIZL,O,O,O,X,O,O
TOJSLIZ,O,O,O,O,O,O
TOJSLZI,O,O,O,O,O,O
