sequence,v115@KhB8GeB8EeF8CeB8JeOEJvhF8kBRhBSnBTjBlrB3sB,v115@KhB8GeB8EeF8CeB8Je2EJvhFRhBSnBTjB3kB0rBlsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBRhBGjB1rB8sBXsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBxiB/sBFoB0rB,v115@KhB8GeB8EeF8CeB8Jei/IvhFRhBGjB3kBznBlrBUsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBCjBTkBXoBlrBUsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBcoBxrBXsBlsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhB3iBcoBTkB1rBSxB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBTkBFnBXoB0rBCtB
TIJZSLO,O,O,O,X,O,O,X,O,X
TIJZSOL,O,O,X,X,X,X,X,O,X
TIJZOLS,O,O,O,X,X,X,X,O,X
TIJZOSL,O,O,X,X,X,X,X,O,X
TIJOLSZ,X,O,O,X,O,O,X,X,X
TIJOLZS,O,O,O,X,X,X,X,O,X
TIJOSLZ,X,O,X,X,O,O,X,X,X
TIJOSZL,X,X,X,X,O,O,X,O,X
TIJOZLS,O,O,X,X,X,X,X,O,X
TIJOZSL,O,O,X,X,O,O,X,O,X
TISLJZO,O,X,X,O,O,O,X,X,X
TISLJOZ,O,O,O,O,O,O,X,X,X
TISLZJO,O,X,O,O,O,O,X,X,X
TISLZOJ,O,X,O,O,O,O,X,X,X
TISLOJZ,O,O,O,O,O,O,X,X,X
TISLOZJ,O,X,O,O,O,O,X,X,X
TISJLZO,O,X,X,O,O,O,X,X,X
TISJLOZ,O,O,O,O,O,O,X,X,X
TISJZLO,O,X,X,O,O,O,X,O,X
TISJZOL,O,X,X,X,X,X,X,O,X
TISJOLZ,O,O,X,O,O,O,X,X,X
TISJOZL,O,X,X,X,O,O,X,X,X
TISZLJO,O,X,O,O,O,O,X,O,X
TISZLOJ,O,X,O,O,O,O,X,O,X
TISZJLO,O,X,O,O,O,O,X,O,X
TISZJOL,O,X,X,X,X,X,X,O,X
TISZOLJ,O,X,X,X,O,O,X,O,X
TISZOJL,O,X,X,X,O,O,X,O,X
TISOLJZ,O,O,X,O,O,O,X,X,X
TISOLZJ,O,X,X,O,O,O,X,X,X
TISOJLZ,O,O,X,O,O,O,X,X,X
TISOJZL,O,X,X,X,O,O,X,O,X
TISOZLJ,O,X,X,X,O,O,X,O,X
TISOZJL,O,X,X,X,O,O,X,O,X
TIZLJSO,O,O,O,X,X,X,O,O,X
TIZLJOS,O,O,O,X,X,X,O,O,X
TIZLSJO,O,O,O,O,X,X,O,O,X
TIZLSOJ,O,O,O,O,X,X,O,O,O
TIZLOJS,O,O,O,X,X,X,O,O,O
TIZLOSJ,O,O,O,O,X,X,O,O,O
TIZJLSO,O,O,O,X,X,X,O,O,X
TIZJLOS,O,O,O,X,X,X,O,O,X
TIZJSLO,O,O,O,X,O,O,X,O,X
TIZJSOL,O,O,X,X,X,X,X,O,O
TIZJOLS,O,O,O,X,X,X,X,O,O
TIZJOSL,O,O,X,X,X,X,X,O,O
TIZSLJO,O,O,O,O,O,O,X,O,X
TIZSLOJ,O,O,O,O,O,O,X,O,O
TIZSJLO,O,O,O,O,O,O,X,O,X
TIZSJOL,O,O,X,X,X,X,X,O,O
TIZSOLJ,O,O,X,X,O,O,X,O,O
TIZSOJL,O,O,X,X,O,O,X,O,O
TIZOLJS,O,O,O,X,X,X,X,O,O
TIZOLSJ,O,O,O,X,X,X,X,O,O
TIZOJLS,O,O,O,X,X,X,X,O,O
TIZOJSL,O,O,X,X,O,O,X,O,O
TIZOSLJ,O,O,X,X,O,O,X,O,O
TIZOSJL,O,O,X,X,O,O,X,O,O
TIOLJSZ,X,O,O,O,O,O,X,O,X
TIOLJZS,O,O,O,X,X,X,X,O,X
TIOLSJZ,X,O,O,O,O,O,X,O,X
TIOLSZJ,O,X,O,O,O,O,X,O,X
TIOLZJS,O,O,O,X,X,X,X,O,X
TIOLZSJ,O,X,O,O,X,X,X,O,X
TIOJLSZ,X,O,O,X,O,O,X,O,X
TIOJLZS,O,O,O,X,X,X,X,O,X
TIOJSLZ,X,O,X,X,O,O,X,X,X
TIOJSZL,X,X,X,X,O,O,X,O,X
TIOJZLS,O,O,X,X,X,X,X,O,O
TIOJZSL,O,O,X,X,O,O,X,O,O
TIOSLJZ,O,O,X,O,O,O,X,X,X
TIOSLZJ,O,X,X,O,O,O,X,X,X
TIOSJLZ,O,O,X,O,O,O,X,X,X
TIOSJZL,O,X,X,X,O,O,X,O,X
TIOSZLJ,O,X,X,X,O,O,X,O,X
TIOSZJL,O,X,X,X,O,O,X,O,X
TIOZLJS,O,O,O,X,X,X,X,O,O
TIOZLSJ,O,O,O,X,X,X,X,O,O
TIOZJLS,O,O,O,X,X,X,X,O,O
TIOZJSL,O,O,X,X,O,O,X,O,O
TIOZSLJ,O,O,X,X,O,O,X,O,O
TIOZSJL,O,O,X,X,O,O,X,O,O
TLIJSZO,X,X,X,O,O,O,X,O,X
TLIJSOZ,X,O,O,O,O,O,X,X,X
TLIJZSO,O,X,O,X,X,X,O,O,X
TLIJZOS,O,O,O,X,X,X,O,O,X
TLIJOSZ,X,O,O,O,X,X,X,O,X
TLIJOZS,O,O,O,X,X,X,O,O,X
TLISJZO,X,X,X,O,O,O,X,O,X
TLISJOZ,X,O,O,O,O,O,X,X,X
TLISZJO,O,X,O,O,O,O,X,O,X
TLISZOJ,O,X,O,O,O,O,X,O,X
TLISOJZ,X,O,O,O,O,O,X,O,X
TLISOZJ,O,X,O,O,O,O,X,O,X
TLIZJSO,O,X,O,X,X,X,O,O,X
TLIZJOS,O,O,O,X,X,X,O,O,X
TLIZSJO,O,X,O,O,X,X,O,O,X
TLIZSOJ,O,X,O,O,X,X,O,O,X
TLIZOJS,O,O,O,X,X,X,O,O,X
TLIZOSJ,O,X,O,O,X,X,O,O,X
TLIOJSZ,X,O,O,O,O,O,X,O,X
TLIOJZS,O,O,O,X,X,X,O,O,X
TLIOSJZ,X,O,O,O,O,O,X,O,X
TLIOSZJ,O,X,O,O,O,O,X,O,X
TLIOZJS,O,O,O,X,X,X,O,O,X
TLIOZSJ,O,X,O,O,X,X,O,O,X
TLJISZO,X,X,X,O,O,O,X,O,X
TLJISOZ,X,O,O,O,O,O,X,X,X
TLJIZSO,O,X,O,X,X,X,O,O,X
TLJIZOS,O,O,O,X,X,X,O,O,X
TLJIOSZ,X,O,O,O,X,X,X,O,X
TLJIOZS,O,O,O,X,X,X,O,O,X
TLJSIZO,X,X,X,O,O,O,X,O,X
TLJSIOZ,X,O,O,O,O,O,X,X,X
TLJSZIO,X,X,X,O,O,O,X,O,X
TLJSZOI,X,X,X,O,X,X,X,O,X
TLJSOIZ,X,O,O,O,O,O,X,X,X
TLJSOZI,X,O,X,O,X,X,X,X,X
TLJZISO,O,O,O,X,X,X,O,O,X
TLJZIOS,O,O,O,X,X,X,O,O,X
TLJZSIO,O,O,O,O,X,X,X,O,X
TLJZSOI,O,O,O,O,X,X,X,O,X
TLJZOIS,O,O,O,X,X,X,O,O,X
TLJZOSI,O,O,O,O,X,X,X,O,X
TLJOISZ,X,O,O,O,X,X,X,O,X
TLJOIZS,O,O,O,X,X,X,O,O,X
TLJOSIZ,X,O,O,O,X,X,X,O,X
TLJOSZI,X,O,X,O,X,X,X,O,X
TLJOZIS,O,O,O,X,X,X,O,O,X
TLJOZSI,O,O,O,O,X,X,X,O,X
TLSIJZO,O,X,X,O,O,O,X,O,X
TLSIJOZ,O,O,O,O,O,O,X,X,X
TLSIZJO,O,X,O,O,O,O,X,O,X
TLSIZOJ,O,X,O,O,O,O,X,O,X
TLSIOJZ,O,O,O,O,O,O,X,O,X
TLSIOZJ,O,X,O,O,O,O,X,O,X
TLSJIZO,O,X,X,O,O,O,X,O,X
TLSJIOZ,O,O,O,O,O,O,X,X,X
TLSJZIO,O,X,X,O,O,O,X,O,X
TLSJZOI,O,X,X,O,X,X,X,O,X
TLSJOIZ,O,O,O,O,O,O,X,X,X
TLSJOZI,O,O,X,O,O,O,X,X,X
TLSZIJO,O,X,O,O,O,O,X,O,X
TLSZIOJ,O,X,O,O,O,O,X,O,X
TLSZJIO,O,X,O,O,O,O,X,O,X
TLSZJOI,O,X,O,O,X,X,X,O,X
TLSZOIJ,O,X,O,O,O,O,X,O,X
TLSZOJI,O,X,O,O,O,O,X,O,X
TLSOIJZ,O,O,O,O,O,O,X,O,X
TLSOIZJ,O,X,O,O,O,O,X,O,X
TLSOJIZ,O,O,O,O,O,O,X,O,X
TLSOJZI,O,O,X,O,O,O,X,O,X
TLSOZIJ,O,X,O,O,O,O,X,O,X
TLSOZJI,O,X,O,O,O,O,X,O,X
TLZIJSO,O,O,O,X,X,X,O,O,X
TLZIJOS,O,O,O,X,X,X,O,O,X
TLZISJO,O,O,O,O,X,X,O,O,X
TLZISOJ,O,O,O,O,X,X,O,O,X
TLZIOJS,O,O,O,X,X,X,O,O,X
TLZIOSJ,O,O,O,O,X,X,O,O,X
TLZJISO,O,O,O,X,X,X,O,O,X
TLZJIOS,O,O,O,X,X,X,O,O,X
TLZJSIO,O,O,O,O,X,X,X,O,X
TLZJSOI,O,O,O,O,X,X,X,O,X
TLZJOIS,O,O,O,X,X,X,O,O,X
TLZJOSI,O,O,O,O,X,X,X,O,X
TLZSIJO,O,O,O,O,X,X,X,O,X
TLZSIOJ,O,O,O,O,X,X,X,O,X
TLZSJIO,O,O,O,O,X,X,X,O,X
TLZSJOI,O,O,O,O,X,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,O,X
TLZSOJI,O,O,O,O,X,X,X,O,X
TLZOIJS,O,O,O,X,X,X,O,O,X
TLZOISJ,O,O,O,O,X,X,O,O,X
TLZOJIS,O,O,O,X,X,X,O,O,X
TLZOJSI,O,O,O,O,X,X,X,O,X
TLZOSIJ,O,O,O,O,X,X,X,O,X
TLZOSJI,O,O,O,O,X,X,X,O,X
TLOIJSZ,X,O,O,O,O,O,X,O,X
TLOIJZS,O,O,O,X,X,X,O,O,X
TLOISJZ,X,O,O,O,O,O,X,O,X
TLOISZJ,O,X,O,O,O,O,X,O,X
TLOIZJS,O,O,O,X,X,X,O,O,X
TLOIZSJ,O,X,O,O,X,X,O,O,X
TLOJISZ,X,O,O,O,O,O,X,O,X
TLOJIZS,O,O,O,X,X,X,O,O,X
TLOJSIZ,X,O,O,O,O,O,X,O,X
TLOJSZI,X,O,X,O,O,O,X,O,X
TLOJZIS,O,O,O,X,X,X,O,O,X
TLOJZSI,O,O,O,O,X,X,X,O,X
TLOSIJZ,O,O,O,O,O,O,X,O,X
TLOSIZJ,O,X,O,O,O,O,X,O,X
TLOSJIZ,O,O,O,O,O,O,X,O,X
TLOSJZI,O,O,X,O,O,O,X,O,X
TLOSZIJ,O,X,O,O,O,O,X,O,X
TLOSZJI,O,X,O,O,O,O,X,O,X
TLOZIJS,O,O,O,X,X,X,O,O,X
TLOZISJ,O,O,O,O,X,X,O,O,X
TLOZJIS,O,O,O,X,X,X,O,O,X
TLOZJSI,O,O,O,O,X,X,X,O,X
TLOZSIJ,O,O,O,O,X,X,X,O,X
TLOZSJI,O,O,O,O,X,X,X,O,X
TJILSZO,X,X,X,O,O,O,X,O,X
TJILSOZ,X,O,O,O,O,O,X,X,X
TJILZSO,O,X,O,X,X,X,O,O,X
TJILZOS,O,O,O,X,X,X,O,O,X
TJILOSZ,X,O,O,O,X,X,X,X,X
TJILOZS,O,O,O,X,X,X,O,O,X
TJISLZO,X,X,X,O,O,O,X,X,X
TJISLOZ,X,O,O,O,O,O,X,X,X
TJISZLO,X,X,X,O,O,O,X,O,X
TJISZOL,X,X,X,X,X,X,X,O,X
TJISOLZ,X,O,X,O,O,O,X,X,X
TJISOZL,X,X,X,X,O,O,X,X,X
TJIZLSO,O,O,O,X,X,X,O,O,X
TJIZLOS,O,O,O,X,X,X,O,O,X
TJIZSLO,O,O,O,X,O,O,X,O,X
TJIZSOL,O,O,X,X,X,X,X,O,X
TJIZOLS,O,O,O,X,X,X,X,O,X
TJIZOSL,O,O,X,X,X,X,X,O,X
TJIOLSZ,X,O,O,X,O,O,X,X,X
TJIOLZS,O,O,O,X,X,X,X,O,X
TJIOSLZ,X,O,X,X,O,O,X,X,X
TJIOSZL,X,X,X,X,O,O,X,O,X
TJIOZLS,O,O,X,X,X,X,X,O,X
TJIOZSL,O,O,X,X,O,O,X,O,X
TJLISZO,X,X,X,O,O,O,X,O,X
TJLISOZ,X,O,O,O,O,O,X,X,X
TJLIZSO,O,X,O,X,X,X,O,O,X
TJLIZOS,O,O,O,X,X,X,O,O,X
TJLIOSZ,X,O,O,O,X,X,X,O,X
TJLIOZS,O,O,O,X,X,X,O,O,X
TJLSIZO,X,X,X,O,O,O,X,O,X
TJLSIOZ,X,O,O,O,O,O,X,X,X
TJLSZIO,X,X,X,O,O,O,X,O,X
TJLSZOI,X,X,X,O,X,X,X,O,X
TJLSOIZ,X,O,O,O,O,O,X,X,X
TJLSOZI,X,O,X,O,X,X,X,X,X
TJLZISO,O,O,O,X,X,X,O,O,X
TJLZIOS,O,O,O,X,X,X,O,O,X
TJLZSIO,O,O,O,O,X,X,X,O,X
TJLZSOI,O,O,O,O,X,X,X,O,X
TJLZOIS,O,O,O,X,X,X,O,O,X
TJLZOSI,O,O,O,O,X,X,X,O,X
TJLOISZ,X,O,O,O,X,X,X,O,X
TJLOIZS,O,O,O,X,X,X,O,O,X
TJLOSIZ,X,O,O,O,X,X,X,O,X
TJLOSZI,X,O,X,O,X,X,X,O,X
TJLOZIS,O,O,O,X,X,X,O,O,X
TJLOZSI,O,O,O,O,X,X,X,O,X
TJSILZO,O,X,X,O,O,O,X,X,X
TJSILOZ,O,O,O,O,O,O,X,X,X
TJSIZLO,O,X,X,O,O,O,X,O,X
TJSIZOL,O,X,X,X,X,X,X,O,X
TJSIOLZ,O,O,X,O,O,O,X,X,X
TJSIOZL,O,X,X,X,O,O,X,X,X
TJSLIZO,O,X,X,O,O,O,X,O,X
TJSLIOZ,O,O,O,O,O,O,X,X,X
TJSLZIO,O,X,X,O,O,O,X,O,X
TJSLZOI,O,X,X,O,X,X,X,O,X
TJSLOIZ,O,O,O,O,O,O,X,X,X
TJSLOZI,O,O,X,O,O,O,X,X,X
TJSZILO,O,O,X,O,O,O,X,O,X
TJSZIOL,O,O,X,X,X,X,X,O,X
TJSZLIO,O,O,X,O,O,O,X,O,X
TJSZLOI,O,O,X,O,X,X,X,O,X
TJSZOIL,O,O,X,X,X,X,X,O,X
TJSZOLI,O,O,X,X,X,X,X,X,X
TJSOILZ,O,O,X,O,O,O,X,X,X
TJSOIZL,O,X,X,X,O,O,X,X,X
TJSOLIZ,O,O,X,O,O,O,X,X,X
TJSOLZI,O,O,X,O,O,O,X,X,X
TJSOZIL,O,O,X,X,O,O,X,X,X
TJSOZLI,O,O,X,X,O,O,X,X,X
TJZILSO,O,O,O,X,X,X,O,O,X
TJZILOS,O,O,O,X,X,X,O,O,X
TJZISLO,O,O,O,X,O,O,X,O,X
TJZISOL,O,O,X,X,X,X,X,O,X
TJZIOLS,O,O,O,X,X,X,X,O,X
TJZIOSL,O,O,X,X,X,X,X,O,X
TJZLISO,O,O,O,X,X,X,O,O,X
TJZLIOS,O,O,O,X,X,X,O,O,X
TJZLSIO,O,O,O,O,X,X,X,O,X
TJZLSOI,O,O,O,O,X,X,X,O,X
TJZLOIS,O,O,O,X,X,X,O,O,X
TJZLOSI,O,O,O,O,X,X,X,O,X
TJZSILO,O,O,O,O,O,O,X,O,X
TJZSIOL,O,O,X,O,X,X,X,O,X
TJZSLIO,O,O,O,O,O,O,X,O,X
TJZSLOI,O,O,O,O,X,X,X,O,X
TJZSOIL,O,O,X,O,X,X,X,O,X
TJZSOLI,O,O,X,O,X,X,X,O,X
TJZOILS,O,O,O,X,X,X,X,O,X
TJZOISL,O,O,X,X,X,X,X,O,X
TJZOLIS,O,O,O,X,X,X,X,O,X
TJZOLSI,O,O,O,X,X,X,X,O,X
TJZOSIL,O,O,X,X,X,X,X,O,X
TJZOSLI,O,O,X,X,X,X,X,O,X
TJOILSZ,X,O,O,X,O,O,X,O,X
TJOILZS,O,O,O,X,X,X,X,O,X
TJOISLZ,X,O,X,X,O,O,X,X,X
TJOISZL,X,X,X,X,O,O,X,O,X
TJOIZLS,O,O,X,X,X,X,X,O,X
TJOIZSL,O,O,X,X,O,O,X,O,X
TJOLISZ,X,O,O,X,O,O,X,O,X
TJOLIZS,O,O,O,X,X,X,X,O,X
TJOLSIZ,X,O,O,X,O,O,X,O,X
TJOLSZI,X,O,X,X,O,O,X,O,X
TJOLZIS,O,O,O,X,X,X,X,O,X
TJOLZSI,O,O,X,X,X,X,X,O,X
TJOSILZ,O,O,X,X,O,O,X,X,X
TJOSIZL,O,X,X,X,O,O,X,O,X
TJOSLIZ,O,O,X,X,O,O,X,O,X
TJOSLZI,O,O,X,X,O,O,X,O,X
TJOSZIL,O,O,X,X,O,O,X,O,X
TJOSZLI,O,O,X,X,O,O,X,O,X
TJOZILS,O,O,X,X,X,X,X,O,X
TJOZISL,O,O,X,X,O,O,X,O,X
TJOZLIS,O,O,X,X,X,X,X,O,X
TJOZLSI,O,O,X,X,X,X,X,O,X
TJOZSIL,O,O,X,X,O,O,X,O,X
TJOZSLI,O,O,X,X,O,O,X,O,X
TSILJZO,O,X,X,O,O,O,X,X,X
TSILJOZ,O,O,O,O,O,O,X,X,X
TSILZJO,O,X,O,O,O,O,X,X,X
TSILZOJ,O,X,O,O,O,O,X,X,X
TSILOJZ,O,O,O,O,O,O,X,X,X
TSILOZJ,O,X,O,O,O,O,X,X,X
TSIJLZO,O,X,X,O,O,O,X,X,X
TSIJLOZ,O,O,O,O,O,O,X,X,X
TSIJZLO,O,X,X,O,O,O,X,O,X
TSIJZOL,O,X,X,X,X,X,X,O,X
TSIJOLZ,O,O,X,O,O,O,X,X,X
TSIJOZL,O,X,X,X,O,O,X,X,X
TSIZLJO,O,X,O,O,O,O,X,O,X
TSIZLOJ,O,X,O,O,O,O,X,O,X
TSIZJLO,O,X,O,O,O,O,X,O,X
TSIZJOL,O,X,X,X,X,X,X,O,X
TSIZOLJ,O,X,X,X,O,O,X,O,X
TSIZOJL,O,X,X,X,O,O,X,O,X
TSIOLJZ,O,O,X,O,O,O,X,X,X
TSIOLZJ,O,X,X,O,O,O,X,X,X
TSIOJLZ,O,O,X,O,O,O,X,X,X
TSIOJZL,O,X,X,X,O,O,X,O,O
TSIOZLJ,O,X,X,X,O,O,X,O,X
TSIOZJL,O,X,X,X,O,O,X,O,X
TSLIJZO,O,X,X,O,O,O,X,O,X
TSLIJOZ,O,O,O,O,O,O,X,X,X
TSLIZJO,O,X,O,O,O,O,X,O,X
TSLIZOJ,O,X,O,O,O,O,X,O,X
TSLIOJZ,O,O,O,O,O,O,X,O,X
TSLIOZJ,O,X,O,O,O,O,X,O,X
TSLJIZO,O,X,X,O,O,O,X,O,X
TSLJIOZ,O,O,O,O,O,O,X,X,X
TSLJZIO,O,X,X,O,O,O,X,O,X
TSLJZOI,O,X,X,O,X,X,X,O,X
TSLJOIZ,O,O,O,O,O,O,X,X,X
TSLJOZI,O,O,X,O,O,O,X,X,X
TSLZIJO,O,X,O,O,O,O,X,O,X
TSLZIOJ,O,X,O,O,O,O,X,O,X
TSLZJIO,O,X,O,O,O,O,X,O,X
TSLZJOI,O,X,O,O,X,X,X,O,X
TSLZOIJ,O,X,O,O,O,O,X,O,X
TSLZOJI,O,X,O,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,O,O,X,O,X
TSLOIZJ,O,X,O,O,O,O,X,O,X
TSLOJIZ,O,O,O,O,O,O,X,O,X
TSLOJZI,O,O,X,O,O,O,X,O,O
TSLOZIJ,O,X,O,O,O,O,X,O,X
TSLOZJI,O,X,O,O,O,O,X,O,X
TSJILZO,O,X,X,O,O,O,X,X,X
TSJILOZ,O,O,O,O,O,O,X,X,X
TSJIZLO,O,X,X,O,O,O,X,O,X
TSJIZOL,O,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,X,O,O,O,X,X,X
TSJIOZL,O,X,X,X,O,O,X,X,X
TSJLIZO,O,X,X,O,O,O,X,O,X
TSJLIOZ,O,O,O,O,O,O,X,X,X
TSJLZIO,O,X,X,O,O,O,X,O,X
TSJLZOI,O,X,X,O,X,X,X,O,X
TSJLOIZ,O,O,O,O,O,O,X,X,X
TSJLOZI,O,O,X,O,O,O,X,X,X
TSJZILO,O,O,X,O,O,O,X,O,X
TSJZIOL,O,O,X,X,X,X,X,O,X
TSJZLIO,O,O,X,O,O,O,X,O,X
TSJZLOI,O,O,X,O,X,X,X,O,X
TSJZOIL,O,O,X,X,X,X,X,O,X
TSJZOLI,O,O,X,X,X,X,X,X,X
TSJOILZ,O,O,X,O,O,O,X,X,X
TSJOIZL,O,X,X,X,O,O,X,X,O
TSJOLIZ,O,O,X,O,O,O,X,X,X
TSJOLZI,O,O,X,O,O,O,X,X,O
TSJOZIL,O,O,X,X,O,O,X,X,O
TSJOZLI,O,O,X,X,O,O,X,X,O
TSZILJO,O,O,O,O,O,O,X,O,X
TSZILOJ,O,O,O,O,O,O,X,O,O
TSZIJLO,O,O,O,O,O,O,X,O,X
TSZIJOL,O,O,X,X,X,X,X,O,O
TSZIOLJ,O,O,X,X,O,O,X,O,O
TSZIOJL,O,O,X,X,O,O,X,O,O
TSZLIJO,O,O,O,O,O,O,X,O,X
TSZLIOJ,O,O,O,O,O,O,X,O,O
TSZLJIO,O,O,O,O,O,O,X,O,X
TSZLJOI,O,O,O,O,X,X,X,O,X
TSZLOIJ,O,O,O,O,O,O,X,O,O
TSZLOJI,O,O,O,O,O,O,X,O,O
TSZJILO,O,O,O,O,O,O,X,O,X
TSZJIOL,O,O,X,X,X,X,X,O,O
TSZJLIO,O,O,O,O,O,O,X,O,X
TSZJLOI,O,O,O,O,X,X,X,O,X
TSZJOIL,O,O,X,X,X,X,X,O,O
TSZJOLI,O,O,X,X,X,X,X,O,O
TSZOILJ,O,O,X,X,O,O,X,O,O
TSZOIJL,O,O,X,X,O,O,X,O,O
TSZOLIJ,O,O,X,X,O,O,X,O,O
TSZOLJI,O,O,X,X,O,O,X,O,O
TSZOJIL,O,O,X,X,O,O,X,O,O
TSZOJLI,O,O,X,X,O,O,X,O,O
TSOILJZ,O,O,X,O,O,O,X,X,X
TSOILZJ,O,X,X,O,O,O,X,X,X
TSOIJLZ,O,O,X,O,O,O,X,X,X
TSOIJZL,O,X,X,X,O,O,X,O,O
TSOIZLJ,O,X,X,X,O,O,X,O,X
TSOIZJL,O,X,X,X,O,O,X,O,X
TSOLIJZ,O,O,X,O,O,O,X,O,X
TSOLIZJ,O,X,X,O,O,O,X,O,X
TSOLJIZ,O,O,X,O,O,O,X,O,X
TSOLJZI,O,O,X,O,O,O,X,O,O
TSOLZIJ,O,X,X,O,O,O,X,O,X
TSOLZJI,O,X,X,O,O,O,X,O,X
TSOJILZ,O,O,X,O,O,O,X,X,X
TSOJIZL,O,X,X,X,O,O,X,O,O
TSOJLIZ,O,O,X,O,O,O,X,O,X
TSOJLZI,O,O,X,O,O,O,X,O,O
TSOJZIL,O,O,X,X,O,O,X,O,O
TSOJZLI,O,O,X,X,O,O,X,O,O
TSOZILJ,O,O,X,X,O,O,X,O,O
TSOZIJL,O,O,X,X,O,O,X,O,O
TSOZLIJ,O,O,X,X,O,O,X,O,O
TSOZLJI,O,O,X,X,O,O,X,O,O
TSOZJIL,O,O,X,X,O,O,X,O,O
TSOZJLI,O,O,X,X,O,O,X,O,O
TZILJSO,O,O,O,X,X,X,O,O,X
TZILJOS,O,O,O,X,X,X,O,O,X
TZILSJO,O,O,O,O,X,X,O,O,X
TZILSOJ,O,O,O,O,X,X,O,O,O
TZILOJS,O,O,O,X,X,X,O,O,O
TZILOSJ,O,O,O,O,X,X,O,O,O
TZIJLSO,O,O,O,X,X,X,O,O,X
TZIJLOS,O,O,O,X,X,X,O,O,X
TZIJSLO,O,O,O,X,O,O,X,O,X
TZIJSOL,O,O,X,X,X,X,X,O,O
TZIJOLS,O,O,O,X,X,X,X,O,O
TZIJOSL,O,O,X,X,X,X,X,O,O
TZISLJO,O,O,O,O,O,O,X,O,X
TZISLOJ,O,O,O,O,O,O,X,O,O
TZISJLO,O,O,O,O,O,O,X,O,X
TZISJOL,O,O,X,X,X,X,X,O,O
TZISOLJ,O,O,X,X,O,O,X,O,O
TZISOJL,O,O,X,X,O,O,X,O,O
TZIOLJS,O,O,O,X,X,X,X,O,O
TZIOLSJ,O,O,O,X,X,X,X,O,O
TZIOJLS,O,O,O,X,X,X,X,O,O
TZIOJSL,O,O,X,X,O,O,X,O,O
TZIOSLJ,O,O,X,X,O,O,X,O,O
TZIOSJL,O,O,X,X,O,O,X,O,O
