sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TLZSJOI,O,O,X,O,X
TLZSOIJ,O,O,O,O,X
TLZSOJI,O,O,O,O,X
TLZOIJS,O,O,O,X,X
TLZOISJ,O,O,X,O,X
TLZOJIS,O,O,O,O,X
TLZOJSI,O,O,O,O,X
TLZOSIJ,O,O,O,O,X
TLZOSJI,O,O,O,O,X
TLOIJSZ,O,X,O,X,X
TLOIJZS,O,X,O,O,X
TLOISJZ,O,X,O,X,X
TLOISZJ,O,X,O,O,X
TLOIZJS,O,X,O,X,X
TLOIZSJ,O,X,X,O,X
TLOJISZ,O,O,O,X,X
TLOJIZS,O,O,O,O,X
TLOJSIZ,O,O,O,X,X
TLOJSZI,O,O,O,X,X
TLOJZIS,O,O,O,O,X
TLOJZSI,O,O,O,O,X
TLOSIJZ,O,O,O,X,X
TLOSIZJ,O,O,O,O,X
TLOSJIZ,O,O,O,X,X
TLOSJZI,O,O,O,X,X
TLOSZIJ,O,O,O,O,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,O,O,X,X
TLOZISJ,O,O,X,O,X
TLOZJIS,O,O,O,O,X
TLOZJSI,O,O,O,O,X
TLOZSIJ,O,O,O,O,X
TLOZSJI,O,O,O,O,X
TJILSZO,X,O,O,O,X
TJILSOZ,X,O,O,X,X
TJILZSO,O,O,O,O,X
TJILZOS,O,O,O,O,X
TJILOSZ,X,O,O,X,X
TJILOZS,O,O,O,O,X
TJISLZO,O,O,O,O,X
TJISLOZ,O,O,O,X,X
TJISZLO,O,O,O,O,X
TJISZOL,O,X,X,O,X
TJISOLZ,O,O,O,X,X
TJISOZL,O,X,X,X,X
TJIZLSO,O,O,X,O,X
TJIZLOS,O,O,X,O,X
TJIZSLO,O,O,X,O,X
TJIZSOL,O,X,X,O,X
TJIZOLS,O,X,X,O,X
TJIZOSL,O,X,X,O,X
TJIOLSZ,O,O,O,X,X
TJIOLZS,O,O,O,O,X
TJIOSLZ,O,O,O,X,X
TJIOSZL,O,X,X,X,X
TJIOZLS,O,X,O,O,X
TJIOZSL,O,X,X,O,X
TJLISZO,X,O,O,O,X
TJLISOZ,X,O,O,X,X
TJLIZSO,O,O,O,O,X
TJLIZOS,O,O,O,O,X
TJLIOSZ,X,O,O,X,X
TJLIOZS,O,O,O,O,X
TJLSIZO,O,O,O,O,X
TJLSIOZ,O,O,O,X,X
TJLSZIO,O,O,O,O,X
TJLSZOI,O,O,X,O,X
TJLSOIZ,O,O,O,X,X
TJLSOZI,O,O,O,X,X
TJLZISO,O,O,O,O,X
TJLZIOS,O,O,O,O,X
TJLZSIO,O,O,O,O,X
TJLZSOI,O,O,X,O,X
TJLZOIS,O,O,X,O,X
TJLZOSI,O,O,X,O,X
TJLOISZ,O,O,O,X,X
TJLOIZS,O,O,O,O,X
TJLOSIZ,O,O,O,X,X
TJLOSZI,O,O,O,X,X
TJLOZIS,O,O,O,O,X
TJLOZSI,O,O,O,O,X
TJSILZO,O,O,O,O,X
TJSILOZ,O,O,O,X,X
TJSIZLO,O,O,O,O,X
TJSIZOL,O,X,X,O,X
TJSIOLZ,O,O,O,X,X
TJSIOZL,O,X,X,X,X
TJSLIZO,O,O,O,O,X
TJSLIOZ,O,O,O,X,X
TJSLZIO,O,O,O,O,X
TJSLZOI,O,O,X,O,X
TJSLOIZ,O,O,O,X,X
TJSLOZI,O,O,O,X,X
TJSZILO,O,O,O,O,X
TJSZIOL,O,O,X,O,X
TJSZLIO,O,O,O,O,X
TJSZLOI,O,O,X,O,X
TJSZOIL,O,O,X,O,X
TJSZOLI,O,O,X,O,X
TJSOILZ,O,O,O,X,X
TJSOIZL,O,X,X,X,X
TJSOLIZ,O,O,O,X,X
TJSOLZI,O,O,O,X,X
TJSOZIL,O,X,X,X,X
TJSOZLI,O,X,X,X,X
TJZILSO,O,O,X,O,X
TJZILOS,O,O,X,O,X
TJZISLO,O,O,X,O,X
TJZISOL,O,O,X,O,X
TJZIOLS,O,O,X,O,X
TJZIOSL,O,O,X,O,X
TJZLISO,O,O,O,O,X
TJZLIOS,O,O,O,O,X
TJZLSIO,O,O,O,O,X
TJZLSOI,O,O,X,O,X
TJZLOIS,O,O,X,O,X
TJZLOSI,O,O,X,O,X
TJZSILO,O,O,O,O,X
TJZSIOL,O,O,X,O,X
TJZSLIO,O,O,O,O,X
TJZSLOI,O,O,X,O,X
TJZSOIL,O,O,X,O,X
TJZSOLI,O,O,X,O,X
TJZOILS,O,O,O,O,X
TJZOISL,O,O,X,O,X
TJZOLIS,O,O,O,O,X
TJZOLSI,O,O,O,O,X
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,X,O,X
TJOILSZ,O,O,O,X,X
TJOILZS,O,O,O,O,X
TJOISLZ,O,O,O,X,X
TJOISZL,O,X,X,X,X
TJOIZLS,O,X,O,O,X
TJOIZSL,O,X,X,O,X
TJOLISZ,O,O,O,X,X
TJOLIZS,O,O,O,O,X
TJOLSIZ,O,O,O,X,X
TJOLSZI,O,O,O,X,X
TJOLZIS,O,O,O,O,X
TJOLZSI,O,O,O,O,X
TJOSILZ,O,O,O,X,X
TJOSIZL,O,X,X,X,X
TJOSLIZ,O,O,O,X,X
TJOSLZI,O,O,O,X,X
TJOSZIL,O,X,X,X,X
TJOSZLI,O,X,X,X,X
TJOZILS,O,X,O,O,X
TJOZISL,O,X,X,O,X
TJOZLIS,O,X,O,O,X
TJOZLSI,O,X,O,O,X
TJOZSIL,O,X,X,O,X
TJOZSLI,O,X,X,O,X
TSILJZO,O,O,O,O,X
TSILJOZ,O,O,O,X,X
TSILZJO,O,X,O,O,X
TSILZOJ,O,O,O,O,X
TSILOJZ,O,O,O,X,X
TSILOZJ,O,O,O,O,X
TSIJLZO,O,O,O,O,X
TSIJLOZ,O,O,O,X,X
TSIJZLO,O,O,O,O,X
TSIJZOL,O,X,X,O,X
TSIJOLZ,O,O,O,X,X
TSIJOZL,O,X,X,X,X
TSIZLJO,O,X,O,O,X
TSIZLOJ,O,O,O,O,X
TSIZJLO,O,X,O,O,X
TSIZJOL,O,X,X,O,X
TSIZOLJ,O,X,X,O,X
TSIZOJL,O,X,X,X,X
TSIOLJZ,O,X,O,X,X
TSIOLZJ,O,X,O,O,X
TSIOJLZ,O,X,O,X,X
TSIOJZL,O,X,X,X,X
TSIOZLJ,O,X,X,X,X
TSIOZJL,O,X,X,X,X
TSLIJZO,O,O,O,O,X
TSLIJOZ,O,O,O,X,X
TSLIZJO,O,X,O,O,X
TSLIZOJ,O,O,O,O,X
TSLIOJZ,O,O,O,X,X
TSLIOZJ,O,O,O,O,X
TSLJIZO,O,O,O,O,X
TSLJIOZ,O,O,O,X,X
TSLJZIO,O,O,O,O,X
TSLJZOI,O,O,X,O,X
TSLJOIZ,O,O,O,X,X
