sequence,v115@QhC8FeG8CeB8JeT/IvhFKlBRhBFjBUmBXsBGsB,v115@QhC8FeG8CeB8JeT/IvhFOlBFjBCmBxrB/sB0rB,v115@QhC8FeG8CeB8JeT/IvhFigBUiBFjB3lBxrBWxB,v115@QhC8FeG8CeB8JeT/IvhFxiB0lBlmB3nBilBWxB,v115@QhC8FeG8CeB8JeT/IvhFfnBxiBllBusBilB0rB
ITJSLOZ,X,O,O,X,X
ITJSZLO,X,X,O,X,X
ITJSZOL,X,X,O,X,X
ITJSOLZ,X,O,O,X,X
ITJSOZL,X,X,O,X,X
ITJZLSO,X,O,X,X,X
ITJZLOS,X,O,X,X,X
ITJZSLO,X,X,O,X,O
ITJZSOL,X,X,O,X,O
ITJZOLS,X,O,X,X,X
ITJZOSL,X,X,O,X,O
ITJOLSZ,X,O,X,X,X
ITJOLZS,X,O,X,X,X
ITJOSLZ,X,O,O,X,X
ITJOSZL,X,X,O,X,X
ITJOZLS,X,O,X,X,X
ITJOZSL,X,X,O,X,O
ITSLJZO,X,O,O,X,X
ITSLJOZ,X,O,O,X,X
ITSLZJO,O,X,O,X,X
ITSLZOJ,O,X,O,O,X
ITSLOJZ,X,O,O,X,X
ITSLOZJ,O,X,O,O,X
ITSJLZO,X,O,O,X,X
ITSJLOZ,X,O,O,X,X
ITSJZLO,X,X,O,X,X
ITSJZOL,X,X,O,O,X
ITSJOLZ,X,O,O,X,X
ITSJOZL,X,X,O,O,X
ITSZLJO,O,X,O,X,X
ITSZLOJ,O,X,O,O,X
ITSZJLO,O,X,O,X,X
ITSZJOL,X,X,O,O,X
ITSZOLJ,O,X,O,O,X
ITSZOJL,X,X,O,O,X
ITSOLJZ,X,O,O,X,X
ITSOLZJ,O,X,O,O,X
ITSOJLZ,X,O,O,X,X
ITSOJZL,X,X,O,O,X
ITSOZLJ,X,X,O,O,X
ITSOZJL,X,X,O,O,X
ITZLJSO,X,O,X,X,X
ITZLJOS,O,O,X,X,X
ITZLSJO,O,X,O,X,X
ITZLSOJ,O,X,O,X,X
ITZLOJS,O,O,X,X,X
ITZLOSJ,O,X,O,X,X
ITZJLSO,X,O,X,X,X
ITZJLOS,O,O,X,X,X
ITZJSLO,X,X,O,X,O
ITZJSOL,X,X,O,X,O
ITZJOLS,X,O,X,X,X
ITZJOSL,X,X,O,X,O
ITZSLJO,O,X,O,X,X
ITZSLOJ,O,X,O,O,X
ITZSJLO,O,X,O,X,O
ITZSJOL,X,X,O,O,O
ITZSOLJ,O,X,O,O,X
ITZSOJL,X,X,O,O,O
ITZOLJS,O,O,X,X,X
ITZOLSJ,O,X,O,X,X
ITZOJLS,X,O,X,X,X
ITZOJSL,X,X,O,X,O
ITZOSLJ,X,X,O,O,X
ITZOSJL,X,X,O,O,O
ITOLJSZ,X,O,X,X,X
ITOLJZS,X,O,X,X,X
ITOLSJZ,X,O,O,X,X
ITOLSZJ,O,X,O,X,X
ITOLZJS,O,O,X,X,X
ITOLZSJ,O,X,O,X,X
ITOJLSZ,X,O,X,X,X
ITOJLZS,X,O,X,X,X
ITOJSLZ,X,O,O,X,X
ITOJSZL,X,X,O,X,X
ITOJZLS,X,O,X,X,X
ITOJZSL,X,X,O,X,O
ITOSLJZ,X,O,O,X,X
ITOSLZJ,O,X,O,O,X
ITOSJLZ,X,O,O,X,X
ITOSJZL,X,X,O,O,X
ITOSZLJ,X,X,O,O,X
ITOSZJL,X,X,O,O,X
ITOZLJS,X,O,X,X,X
ITOZLSJ,X,X,O,X,X
ITOZJLS,X,O,X,X,X
ITOZJSL,X,X,O,X,O
ITOZSLJ,X,X,O,O,X
ITOZSJL,X,X,O,O,O
ILTJSZO,X,O,X,X,X
ILTJSOZ,X,O,X,X,X
ILTJZSO,X,O,X,X,X
ILTJZOS,X,O,X,X,X
ILTJOSZ,X,O,X,X,X
ILTJOZS,X,O,X,X,X
ILTSJZO,X,O,O,X,X
ILTSJOZ,X,O,O,X,X
ILTSZJO,O,X,O,X,X
ILTSZOJ,O,X,O,X,X
ILTSOJZ,X,O,O,X,X
ILTSOZJ,O,X,O,X,X
ILTZJSO,X,O,X,X,X
ILTZJOS,O,O,X,X,X
ILTZSJO,O,X,O,X,X
ILTZSOJ,O,X,O,X,X
ILTZOJS,O,O,X,X,X
ILTZOSJ,O,X,O,X,X
ILTOJSZ,X,O,X,X,X
ILTOJZS,X,O,X,X,X
ILTOSJZ,X,O,O,X,X
ILTOSZJ,O,X,O,X,X
ILTOZJS,O,O,X,X,X
ILTOZSJ,O,X,O,X,X
ILJTSZO,X,O,X,X,X
ILJTSOZ,X,O,X,X,X
ILJTZSO,X,O,X,X,X
ILJTZOS,X,O,X,X,X
ILJTOSZ,X,O,X,X,X
ILJTOZS,X,O,X,X,X
ILJSTZO,X,O,X,X,X
ILJSTOZ,X,O,X,X,X
ILJSZTO,X,O,X,X,X
ILJSZOT,X,O,X,X,X
ILJSOTZ,X,O,X,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,X,O,X,X,X
ILJZTOS,X,O,X,X,X
ILJZSTO,X,O,X,X,X
ILJZSOT,X,O,X,X,X
ILJZOTS,X,O,X,X,X
ILJZOST,X,O,X,X,X
ILJOTSZ,X,O,X,X,X
ILJOTZS,X,O,X,X,X
ILJOSTZ,X,O,X,X,X
ILJOSZT,X,O,X,X,X
ILJOZTS,X,O,X,X,X
ILJOZST,X,O,X,X,X
ILSTJZO,X,O,O,X,X
ILSTJOZ,X,O,O,X,X
ILSTZJO,O,X,O,X,X
ILSTZOJ,O,X,O,O,X
ILSTOJZ,X,O,O,X,X
ILSTOZJ,O,X,O,O,X
ILSJTZO,X,O,O,X,X
ILSJTOZ,X,O,O,X,X
ILSJZTO,X,O,O,X,X
ILSJZOT,X,O,O,X,X
ILSJOTZ,X,O,O,X,X
ILSJOZT,X,O,O,X,X
ILSZTJO,O,X,O,X,X
ILSZTOJ,O,X,O,O,X
ILSZJTO,O,X,O,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,O,X,O,O,X
ILSZOJT,O,X,O,X,X
ILSOTJZ,X,O,O,X,X
ILSOTZJ,O,X,O,O,X
ILSOJTZ,X,O,O,X,X
ILSOJZT,X,O,O,X,X
ILSOZTJ,O,X,O,O,X
ILSOZJT,O,X,O,X,X
ILZTJSO,X,O,X,X,X
ILZTJOS,O,O,X,X,X
ILZTSJO,O,X,O,X,X
ILZTSOJ,O,X,O,X,X
ILZTOJS,O,O,X,X,X
ILZTOSJ,O,X,O,X,X
ILZJTSO,X,O,X,X,X
ILZJTOS,O,O,X,X,X
ILZJSTO,O,O,X,X,X
ILZJSOT,O,O,X,X,X
ILZJOTS,O,O,X,X,X
ILZJOST,O,O,X,X,X
ILZSTJO,O,X,O,X,X
ILZSTOJ,O,X,O,O,X
ILZSJTO,O,X,O,X,X
ILZSJOT,O,X,O,X,X
ILZSOTJ,O,X,O,O,X
ILZSOJT,O,X,O,X,X
ILZOTJS,O,O,X,X,X
ILZOTSJ,O,X,O,X,X
ILZOJTS,O,O,X,X,X
ILZOJST,O,O,X,X,X
ILZOSTJ,O,X,O,O,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,X,O,X,X,X
ILOTJZS,X,O,X,X,X
ILOTSJZ,X,O,O,X,X
ILOTSZJ,O,X,O,X,X
ILOTZJS,O,O,X,X,X
ILOTZSJ,O,X,O,X,X
ILOJTSZ,X,O,X,X,X
ILOJTZS,X,O,X,X,X
ILOJSTZ,X,O,X,X,X
ILOJSZT,X,O,X,X,X
ILOJZTS,X,O,X,X,X
ILOJZST,X,O,X,X,X
ILOSTJZ,X,O,O,X,X
ILOSTZJ,O,X,O,O,X
ILOSJTZ,X,O,O,X,X
ILOSJZT,X,O,O,X,X
ILOSZTJ,O,X,O,O,X
ILOSZJT,O,X,O,X,X
ILOZTJS,O,O,X,X,X
ILOZTSJ,O,X,O,X,X
ILOZJTS,O,O,X,X,X
ILOZJST,O,O,X,X,X
ILOZSTJ,O,X,O,O,X
ILOZSJT,O,X,O,X,X
IJTLSZO,X,O,X,X,X
IJTLSOZ,X,O,X,X,X
IJTLZSO,X,O,X,X,X
IJTLZOS,X,O,X,X,X
IJTLOSZ,X,O,X,X,X
IJTLOZS,X,O,X,X,X
IJTSLZO,X,O,O,X,X
IJTSLOZ,X,O,O,X,X
IJTSZLO,X,X,O,X,X
IJTSZOL,X,X,O,X,X
IJTSOLZ,X,O,O,X,X
IJTSOZL,X,X,O,X,X
IJTZLSO,X,O,X,X,X
IJTZLOS,X,O,X,X,X
IJTZSLO,X,X,O,X,O
IJTZSOL,X,X,O,X,O
IJTZOLS,X,O,X,X,X
IJTZOSL,X,X,O,X,O
IJTOLSZ,X,O,X,X,X
IJTOLZS,X,O,X,X,X
IJTOSLZ,X,O,O,X,X
IJTOSZL,X,X,O,X,X
IJTOZLS,X,O,X,X,X
IJTOZSL,X,X,O,X,O
IJLTSZO,X,O,X,X,X
IJLTSOZ,X,O,X,X,X
IJLTZSO,X,O,X,X,X
IJLTZOS,X,O,X,X,X
IJLTOSZ,X,O,X,X,X
IJLTOZS,X,O,X,X,X
IJLSTZO,X,O,X,X,X
IJLSTOZ,X,O,X,X,X
IJLSZTO,X,O,X,X,X
IJLSZOT,X,O,X,X,X
IJLSOTZ,X,O,X,X,X
IJLSOZT,X,O,X,X,X
IJLZTSO,X,O,X,X,X
IJLZTOS,X,O,X,X,X
IJLZSTO,X,O,X,X,X
IJLZSOT,X,O,X,X,X
IJLZOTS,X,O,X,X,X
IJLZOST,X,O,X,X,X
IJLOTSZ,X,O,X,X,X
IJLOTZS,X,O,X,X,X
IJLOSTZ,X,O,X,X,X
IJLOSZT,X,O,X,X,X
IJLOZTS,X,O,X,X,X
IJLOZST,X,O,X,X,X
IJSTLZO,X,O,O,X,X
IJSTLOZ,X,O,O,X,X
IJSTZLO,X,X,O,X,X
IJSTZOL,X,X,O,O,X
IJSTOLZ,X,O,O,X,X
IJSTOZL,X,X,O,O,X
IJSLTZO,X,O,O,X,X
IJSLTOZ,X,O,O,X,X
IJSLZTO,X,O,O,X,X
IJSLZOT,X,O,O,X,X
IJSLOTZ,X,O,O,X,X
IJSLOZT,X,O,O,X,X
IJSZTLO,X,X,O,X,X
IJSZTOL,X,X,O,O,X
IJSZLTO,X,X,O,X,X
IJSZLOT,X,X,O,X,X
IJSZOTL,X,X,O,O,X
IJSZOLT,X,X,O,X,X
IJSOTLZ,X,O,O,X,X
IJSOTZL,X,X,O,O,X
IJSOLTZ,X,O,O,X,X
IJSOLZT,X,O,O,X,X
IJSOZTL,X,X,O,O,X
IJSOZLT,X,X,O,X,X
IJZTLSO,X,O,X,X,X
IJZTLOS,X,O,X,X,X
IJZTSLO,X,X,O,X,O
IJZTSOL,X,X,O,X,O
IJZTOLS,X,O,X,X,X
IJZTOSL,X,X,O,X,O
IJZLTSO,X,O,X,X,X
IJZLTOS,X,O,X,X,X
IJZLSTO,X,O,X,X,X
IJZLSOT,X,O,X,X,X
IJZLOTS,X,O,X,X,X
IJZLOST,X,O,X,X,X
IJZSTLO,X,X,O,X,O
IJZSTOL,X,X,O,O,O
IJZSLTO,X,X,O,X,O
IJZSLOT,X,X,O,X,O
IJZSOTL,X,X,O,O,O
IJZSOLT,X,X,O,X,O
IJZOTLS,X,O,X,X,X
IJZOTSL,X,X,O,X,O
IJZOLTS,X,O,X,X,X
IJZOLST,X,O,X,X,X
IJZOSTL,X,X,O,O,O
IJZOSLT,X,X,O,X,O
IJOTLSZ,X,O,X,X,X
IJOTLZS,X,O,X,X,X
IJOTSLZ,X,O,O,X,X
IJOTSZL,X,X,O,X,X
IJOTZLS,X,O,X,X,X
IJOTZSL,X,X,O,X,O
IJOLTSZ,X,O,X,X,X
IJOLTZS,X,O,X,X,X
IJOLSTZ,X,O,X,X,X
IJOLSZT,X,O,X,X,X
IJOLZTS,X,O,X,X,X
IJOLZST,X,O,X,X,X
IJOSTLZ,X,O,O,X,X
IJOSTZL,X,X,O,O,X
IJOSLTZ,X,O,O,X,X
IJOSLZT,X,O,O,X,X
IJOSZTL,X,X,O,O,X
IJOSZLT,X,X,O,X,X
IJOZTLS,X,O,X,X,X
IJOZTSL,X,X,O,X,O
IJOZLTS,X,O,X,X,X
IJOZLST,X,O,X,X,X
IJOZSTL,X,X,O,O,O
IJOZSLT,X,X,O,X,O
ISTLJZO,X,O,O,X,X
ISTLJOZ,X,O,O,X,X
ISTLZJO,O,X,O,X,X
ISTLZOJ,O,X,O,O,X
ISTLOJZ,X,O,O,X,X
ISTLOZJ,O,X,O,O,X
ISTJLZO,X,O,O,X,X
ISTJLOZ,X,O,O,X,X
ISTJZLO,X,X,O,X,X
ISTJZOL,X,X,O,O,X
ISTJOLZ,X,O,O,X,X
ISTJOZL,X,X,O,O,X
ISTZLJO,O,X,O,X,X
ISTZLOJ,O,X,O,O,X
ISTZJLO,O,X,O,X,X
ISTZJOL,X,X,O,O,X
ISTZOLJ,O,X,O,O,X
ISTZOJL,X,X,O,O,X
ISTOLJZ,X,O,O,X,X
ISTOLZJ,O,X,O,O,X
ISTOJLZ,X,O,O,X,X
ISTOJZL,X,X,O,O,X
ISTOZLJ,X,X,O,O,X
ISTOZJL,X,X,O,O,X
ISLTJZO,X,O,O,X,X
ISLTJOZ,X,O,O,X,X
ISLTZJO,O,X,O,X,X
ISLTZOJ,O,X,O,O,X
ISLTOJZ,X,O,O,X,X
ISLTOZJ,O,X,O,O,X
ISLJTZO,X,O,O,X,X
ISLJTOZ,X,O,O,X,X
ISLJZTO,X,O,O,X,X
ISLJZOT,X,O,O,X,X
ISLJOTZ,X,O,O,X,X
ISLJOZT,X,O,O,X,X
ISLZTJO,O,X,O,X,X
ISLZTOJ,O,X,O,O,X
ISLZJTO,O,X,O,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,O,X,O,O,X
ISLZOJT,O,X,O,X,X
ISLOTJZ,X,O,O,X,X
ISLOTZJ,O,X,O,O,X
ISLOJTZ,X,O,O,X,X
ISLOJZT,X,O,O,X,X
ISLOZTJ,O,X,O,O,X
ISLOZJT,O,X,O,X,X
ISJTLZO,X,O,O,X,X
ISJTLOZ,X,O,O,X,X
ISJTZLO,X,X,O,X,X
ISJTZOL,X,X,O,O,X
ISJTOLZ,X,O,O,X,X
ISJTOZL,X,X,O,O,X
ISJLTZO,X,O,O,X,X
ISJLTOZ,X,O,O,X,X
ISJLZTO,X,O,O,X,X
ISJLZOT,X,O,O,X,X
ISJLOTZ,X,O,O,X,X
ISJLOZT,X,O,O,X,X
ISJZTLO,X,X,O,X,X
ISJZTOL,X,X,O,O,X
ISJZLTO,X,X,O,X,X
ISJZLOT,X,X,O,X,X
ISJZOTL,X,X,O,O,X
ISJZOLT,X,X,O,X,X
ISJOTLZ,X,O,O,X,X
ISJOTZL,X,X,O,O,X
ISJOLTZ,X,O,O,X,X
ISJOLZT,X,O,O,X,X
ISJOZTL,X,X,O,O,X
ISJOZLT,X,X,O,X,X
ISZTLJO,O,X,O,X,X
ISZTLOJ,O,X,O,O,X
ISZTJLO,O,X,O,X,X
ISZTJOL,X,X,O,O,X
ISZTOLJ,O,X,O,O,X
ISZTOJL,X,X,O,O,X
ISZLTJO,O,X,O,X,X
ISZLTOJ,O,X,O,O,X
ISZLJTO,O,X,O,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,O,X,O,O,X
ISZLOJT,O,X,O,X,X
ISZJTLO,O,X,O,X,X
ISZJTOL,X,X,O,O,X
ISZJLTO,O,X,O,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,X,X,O,O,X
ISZJOLT,X,X,O,X,X
ISZOTLJ,O,X,O,O,X
ISZOTJL,X,X,O,O,X
ISZOLTJ,O,X,O,O,X
ISZOLJT,O,X,O,X,X
ISZOJTL,X,X,O,O,X
ISZOJLT,X,X,O,X,X
ISOTLJZ,X,O,O,X,X
ISOTLZJ,O,X,O,O,X
ISOTJLZ,X,O,O,X,X
ISOTJZL,X,X,O,O,X
ISOTZLJ,X,X,O,O,X
ISOTZJL,X,X,O,O,X
ISOLTJZ,X,O,O,X,X
ISOLTZJ,O,X,O,O,X
ISOLJTZ,X,O,O,X,X
ISOLJZT,X,O,O,X,X
ISOLZTJ,O,X,O,O,X
ISOLZJT,O,X,O,X,X
ISOJTLZ,X,O,O,X,X
ISOJTZL,X,X,O,O,X
ISOJLTZ,X,O,O,X,X
ISOJLZT,X,O,O,X,X
ISOJZTL,X,X,O,O,X
ISOJZLT,X,X,O,X,X
ISOZTLJ,X,X,O,O,X
ISOZTJL,X,X,O,O,X
ISOZLTJ,X,X,O,O,X
ISOZLJT,X,X,O,X,X
ISOZJTL,X,X,O,O,X
ISOZJLT,X,X,O,X,X
IZTLJSO,X,O,X,X,X
IZTLJOS,O,O,X,X,X
IZTLSJO,O,X,O,X,X
IZTLSOJ,O,X,O,X,X
IZTLOJS,O,O,X,X,X
IZTLOSJ,O,X,O,X,X
IZTJLSO,X,O,X,X,X
IZTJLOS,O,O,X,X,X
IZTJSLO,X,X,O,X,O
IZTJSOL,X,X,O,X,O
IZTJOLS,X,O,X,X,X
IZTJOSL,X,X,O,X,O
IZTSLJO,O,X,O,X,X
IZTSLOJ,O,X,O,O,X
IZTSJLO,O,X,O,X,O
IZTSJOL,X,X,O,O,O
IZTSOLJ,O,X,O,O,X
IZTSOJL,X,X,O,O,O
IZTOLJS,O,O,X,X,X
IZTOLSJ,O,X,O,X,X
IZTOJLS,X,O,X,X,X
IZTOJSL,X,X,O,X,O
IZTOSLJ,X,X,O,O,X
IZTOSJL,X,X,O,O,O
IZLTJSO,X,O,X,X,X
IZLTJOS,O,O,X,X,X
IZLTSJO,O,X,O,X,X
IZLTSOJ,O,X,O,X,X
IZLTOJS,O,O,X,X,X
IZLTOSJ,O,X,O,X,X
IZLJTSO,X,O,X,X,X
IZLJTOS,O,O,X,X,X
IZLJSTO,O,O,X,X,X
IZLJSOT,O,O,X,X,X
IZLJOTS,O,O,X,X,X
IZLJOST,O,O,X,X,X
IZLSTJO,O,X,O,X,X
IZLSTOJ,O,X,O,O,X
IZLSJTO,O,X,O,X,X
IZLSJOT,O,X,O,X,X
IZLSOTJ,O,X,O,O,X
IZLSOJT,O,X,O,X,X
IZLOTJS,O,O,X,X,X
IZLOTSJ,O,X,O,X,X
IZLOJTS,O,O,X,X,X
IZLOJST,O,O,X,X,X
IZLOSTJ,O,X,O,O,X
IZLOSJT,O,X,O,X,X
IZJTLSO,X,O,X,X,X
IZJTLOS,O,O,X,X,X
IZJTSLO,X,X,O,X,O
IZJTSOL,X,X,O,X,O
IZJTOLS,X,O,X,X,X
IZJTOSL,X,X,O,X,O
IZJLTSO,X,O,X,X,X
IZJLTOS,O,O,X,X,X
IZJLSTO,O,O,X,X,X
IZJLSOT,O,O,X,X,X
IZJLOTS,O,O,X,X,X
IZJLOST,O,O,X,X,X
IZJSTLO,O,X,O,X,O
IZJSTOL,X,X,O,O,O
IZJSLTO,O,X,O,X,O
IZJSLOT,O,X,O,X,O
IZJSOTL,X,X,O,O,O
IZJSOLT,X,X,O,X,O
IZJOTLS,X,O,X,X,X
IZJOTSL,X,X,O,X,O
IZJOLTS,X,O,X,X,X
IZJOLST,X,O,X,X,X
IZJOSTL,X,X,O,O,O
IZJOSLT,X,X,O,X,O
IZSTLJO,O,X,O,X,X
IZSTLOJ,O,X,O,O,X
IZSTJLO,O,X,O,X,O
IZSTJOL,X,X,O,O,O
IZSTOLJ,O,X,O,O,X
IZSTOJL,X,X,O,O,O
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,O,O,X
IZSLJTO,O,X,O,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,O,X,O,O,X
IZSLOJT,O,X,O,X,X
IZSJTLO,O,X,O,X,O
IZSJTOL,X,X,O,O,O
IZSJLTO,O,X,O,X,O
IZSJLOT,O,X,O,X,O
IZSJOTL,X,X,O,O,O
IZSJOLT,X,X,O,X,O
IZSOTLJ,O,X,O,O,X
IZSOTJL,X,X,O,O,O
IZSOLTJ,O,X,O,O,X
IZSOLJT,O,X,O,X,X
IZSOJTL,X,X,O,O,O
IZSOJLT,X,X,O,X,O
IZOTLJS,O,O,X,X,X
IZOTLSJ,O,X,O,X,X
IZOTJLS,X,O,X,X,X
IZOTJSL,X,X,O,X,O
IZOTSLJ,X,X,O,O,X
IZOTSJL,X,X,O,O,O
IZOLTJS,O,O,X,X,X
IZOLTSJ,O,X,O,X,X
IZOLJTS,O,O,X,X,X
IZOLJST,O,O,X,X,X
IZOLSTJ,O,X,O,O,X
IZOLSJT,O,X,O,X,X
IZOJTLS,X,O,X,X,X
IZOJTSL,X,X,O,X,O
IZOJLTS,X,O,X,X,X
IZOJLST,X,O,X,X,X
IZOJSTL,X,X,O,O,O
IZOJSLT,X,X,O,X,O
IZOSTLJ,O,X,O,O,X
IZOSTJL,X,X,O,O,O
IZOSLTJ,O,X,O,O,X
IZOSLJT,O,X,O,X,X
IZOSJTL,X,X,O,O,O
IZOSJLT,X,X,O,X,O
IOTLJSZ,X,O,X,X,X
IOTLJZS,X,O,X,X,X
IOTLSJZ,X,O,O,X,X
IOTLSZJ,O,X,O,X,X
IOTLZJS,O,O,X,X,X
IOTLZSJ,O,X,O,X,X
IOTJLSZ,X,O,X,X,X
IOTJLZS,X,O,X,X,X
IOTJSLZ,X,O,O,X,X
IOTJSZL,X,X,O,X,X
IOTJZLS,X,O,X,X,X
IOTJZSL,X,X,O,X,O
IOTSLJZ,X,O,O,X,X
IOTSLZJ,O,X,O,O,X
IOTSJLZ,X,O,O,X,X
IOTSJZL,X,X,O,O,X
IOTSZLJ,X,X,O,O,X
IOTSZJL,X,X,O,O,X
IOTZLJS,X,O,X,X,X
IOTZLSJ,X,X,O,X,X
IOTZJLS,X,O,X,X,X
IOTZJSL,X,X,O,X,O
IOTZSLJ,X,X,O,O,X
IOTZSJL,X,X,O,O,O
IOLTJSZ,X,O,X,X,X
IOLTJZS,X,O,X,X,X
IOLTSJZ,X,O,O,X,X
IOLTSZJ,O,X,O,X,X
IOLTZJS,O,O,X,X,X
IOLTZSJ,O,X,O,X,X
IOLJTSZ,X,O,X,X,X
IOLJTZS,X,O,X,X,X
IOLJSTZ,X,O,X,X,X
IOLJSZT,X,O,X,X,X
IOLJZTS,X,O,X,X,X
IOLJZST,X,O,X,X,X
IOLSTJZ,X,O,O,X,X
IOLSTZJ,O,X,O,O,X
IOLSJTZ,X,O,O,X,X
IOLSJZT,X,O,O,X,X
IOLSZTJ,O,X,O,O,X
IOLSZJT,O,X,O,X,X
IOLZTJS,O,O,X,X,X
IOLZTSJ,O,X,O,X,X
IOLZJTS,O,O,X,X,X
IOLZJST,O,O,X,X,X
IOLZSTJ,O,X,O,O,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,O,X,X,X
IOJTLZS,X,O,X,X,X
IOJTSLZ,X,O,O,X,X
IOJTSZL,X,X,O,X,X
IOJTZLS,X,O,X,X,X
IOJTZSL,X,X,O,X,O
IOJLTSZ,X,O,X,X,X
IOJLTZS,X,O,X,X,X
IOJLSTZ,X,O,X,X,X
IOJLSZT,X,O,X,X,X
IOJLZTS,X,O,X,X,X
IOJLZST,X,O,X,X,X
IOJSTLZ,X,O,O,X,X
IOJSTZL,X,X,O,O,X
IOJSLTZ,X,O,O,X,X
IOJSLZT,X,O,O,X,X
IOJSZTL,X,X,O,O,X
IOJSZLT,X,X,O,X,X
IOJZTLS,X,O,X,X,X
IOJZTSL,X,X,O,X,O
IOJZLTS,X,O,X,X,X
IOJZLST,X,O,X,X,X
IOJZSTL,X,X,O,O,O
IOJZSLT,X,X,O,X,O
IOSTLJZ,X,O,O,X,X
IOSTLZJ,O,X,O,O,X
IOSTJLZ,X,O,O,X,X
IOSTJZL,X,X,O,O,X
IOSTZLJ,X,X,O,O,X
IOSTZJL,X,X,O,O,X
IOSLTJZ,X,O,O,X,X
IOSLTZJ,O,X,O,O,X
IOSLJTZ,X,O,O,X,X
IOSLJZT,X,O,O,X,X
IOSLZTJ,O,X,O,O,X
IOSLZJT,O,X,O,X,X
IOSJTLZ,X,O,O,X,X
IOSJTZL,X,X,O,O,X
IOSJLTZ,X,O,O,X,X
IOSJLZT,X,O,O,X,X
IOSJZTL,X,X,O,O,X
IOSJZLT,X,X,O,X,X
IOSZTLJ,X,X,O,O,X
IOSZTJL,X,X,O,O,X
IOSZLTJ,X,X,O,O,X
IOSZLJT,X,X,O,X,X
IOSZJTL,X,X,O,O,X
IOSZJLT,X,X,O,X,X
IOZTLJS,X,O,X,X,X
IOZTLSJ,X,X,O,X,X
IOZTJLS,X,O,X,X,X
IOZTJSL,X,X,O,X,O
IOZTSLJ,X,X,O,O,X
IOZTSJL,X,X,O,O,O
IOZLTJS,X,O,X,X,X
IOZLTSJ,X,X,O,X,X
IOZLJTS,X,O,X,X,X
IOZLJST,X,O,X,X,X
IOZLSTJ,X,X,O,O,X
IOZLSJT,X,X,O,X,X
IOZJTLS,X,O,X,X,X
IOZJTSL,X,X,O,X,O
IOZJLTS,X,O,X,X,X
IOZJLST,X,O,X,X,X
IOZJSTL,X,X,O,O,O
IOZJSLT,X,X,O,X,O
IOZSTLJ,X,X,O,O,X
IOZSTJL,X,X,O,O,O
IOZSLTJ,X,X,O,O,X
IOZSLJT,X,X,O,X,X
IOZSJTL,X,X,O,O,O
IOZSJLT,X,X,O,X,O
LTIJSZO,X,O,X,X,X
LTIJSOZ,X,O,X,X,X
LTIJZSO,X,O,X,X,X
LTIJZOS,X,O,X,X,X
LTIJOSZ,X,O,X,X,X
LTIJOZS,X,O,X,X,X
LTISJZO,X,O,O,X,X
LTISJOZ,X,O,O,X,X
LTISZJO,O,X,O,X,X
LTISZOJ,O,X,O,X,X
LTISOJZ,X,O,O,X,X
LTISOZJ,O,X,O,X,X
LTIZJSO,X,O,X,X,X
LTIZJOS,O,O,X,X,X
LTIZSJO,O,X,O,X,X
LTIZSOJ,O,X,O,X,X
LTIZOJS,O,O,X,X,X
LTIZOSJ,O,X,O,X,X
LTIOJSZ,X,O,X,X,X
LTIOJZS,X,O,X,X,X
LTIOSJZ,X,O,O,X,X
LTIOSZJ,O,X,O,X,X
LTIOZJS,O,O,X,X,X
LTIOZSJ,O,X,O,X,X
LTJISZO,X,O,X,X,X
LTJISOZ,X,O,X,X,X
LTJIZSO,X,O,X,X,X
LTJIZOS,X,O,X,X,X
LTJIOSZ,X,O,X,X,X
LTJIOZS,X,O,X,X,X
LTJSIZO,X,O,X,X,X
LTJSIOZ,X,O,X,X,X
LTJSZIO,O,X,X,X,X
LTJSZOI,O,X,X,X,X
LTJSOIZ,X,O,X,X,X
LTJSOZI,O,X,X,X,X
LTJZISO,X,O,X,X,X
LTJZIOS,O,O,X,X,X
LTJZSIO,O,X,X,X,O
LTJZSOI,O,X,X,X,O
LTJZOIS,O,O,X,X,X
LTJZOSI,O,X,X,X,O
LTJOISZ,X,O,X,X,X
LTJOIZS,X,O,X,X,X
LTJOSIZ,X,O,X,X,X
LTJOSZI,O,X,X,X,X
LTJOZIS,O,O,X,X,X
LTJOZSI,O,X,X,X,O
LTSIJZO,X,O,O,X,X
LTSIJOZ,X,O,O,X,X
LTSIZJO,O,X,O,X,X
LTSIZOJ,O,X,O,X,X
LTSIOJZ,X,O,O,X,X
LTSIOZJ,O,X,O,X,X
LTSJIZO,X,O,O,X,X
LTSJIOZ,X,O,O,X,X
LTSJZIO,O,X,X,X,X
LTSJZOI,O,X,X,X,X
LTSJOIZ,X,O,O,X,X
LTSJOZI,O,X,X,X,X
LTSZIJO,O,X,O,X,X
LTSZIOJ,O,X,O,X,X
LTSZJIO,O,X,X,X,X
LTSZJOI,O,X,X,X,X
LTSZOIJ,O,X,O,X,X
