sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,O,X,X,X,X,O
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,O,X,X,X,X,X
ISZOTJL,O,O,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X,O
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,X,X,X,O,X,X,X
ISOTLZJ,X,X,X,O,X,X,X
ISOTJLZ,X,X,X,X,X,O,X
ISOTJZL,O,X,X,X,X,O,X
ISOTZLJ,O,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X
ISOLTJZ,X,X,O,O,X,X,X
ISOLTZJ,X,X,O,O,X,X,X
ISOLJTZ,X,X,O,O,X,X,X
ISOLJZT,X,O,O,X,X,X,X
ISOLZTJ,X,O,O,O,X,X,X
ISOLZJT,X,O,O,X,X,X,X
ISOJTLZ,X,X,X,X,X,O,X
ISOJTZL,O,X,X,X,X,O,X
ISOJLTZ,X,X,O,X,X,X,X
ISOJLZT,X,O,O,X,X,X,X
ISOJZTL,X,X,X,X,X,X,O
ISOJZLT,X,X,O,X,X,X,X
ISOZTLJ,O,O,X,X,X,X,X
ISOZTJL,O,O,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,O
ISOZJLT,O,O,O,X,X,X,X
IZTLJSO,O,O,X,X,O,X,X
IZTLJOS,O,O,X,X,O,X,X
IZTLSJO,O,O,X,X,X,X,X
IZTLSOJ,O,O,X,X,X,X,X
IZTLOJS,O,O,X,X,O,X,X
IZTLOSJ,O,O,X,X,X,X,X
IZTJLSO,O,O,X,X,O,X,X
IZTJLOS,O,O,X,X,O,X,X
IZTJSLO,O,O,X,X,X,X,X
IZTJSOL,O,O,X,X,X,X,X
IZTJOLS,O,O,X,X,X,O,X
IZTJOSL,O,O,X,X,X,O,X
IZTSLJO,O,O,X,X,X,X,X
IZTSLOJ,O,O,X,X,X,X,X
IZTSJLO,O,O,X,X,X,X,X
IZTSJOL,O,O,X,X,X,X,X
IZTSOLJ,O,O,X,X,X,X,X
IZTSOJL,O,O,X,X,X,X,X
IZTOLJS,O,O,X,X,X,X,X
IZTOLSJ,O,O,X,X,X,X,X
IZTOJLS,O,O,X,X,X,O,X
IZTOJSL,O,O,X,X,X,O,X
IZTOSLJ,O,O,X,X,X,X,X
IZTOSJL,O,O,X,X,X,X,X
IZLTJSO,O,O,O,X,O,X,X
IZLTJOS,O,O,X,X,O,X,X
IZLTSJO,O,O,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X,X
IZLTOJS,O,O,X,X,O,X,X
IZLTOSJ,O,O,X,X,X,X,X
IZLJTSO,O,O,O,X,O,X,X
IZLJTOS,O,O,X,X,O,X,X
IZLJSTO,O,O,O,X,O,X,X
IZLJSOT,O,O,O,X,O,X,X
IZLJOTS,O,O,X,X,O,X,X
IZLJOST,O,O,O,X,O,X,X
IZLSTJO,O,O,O,X,X,X,X
IZLSTOJ,O,O,X,X,X,X,X
IZLSJTO,O,O,O,X,X,X,X
IZLSJOT,O,O,O,X,X,X,X
IZLSOTJ,O,O,X,X,X,X,X
IZLSOJT,O,O,O,X,X,X,X
IZLOTJS,O,O,X,X,O,X,X
IZLOTSJ,O,O,X,X,X,X,X
IZLOJTS,O,O,X,X,O,X,X
IZLOJST,O,O,O,X,O,X,X
IZLOSTJ,O,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,X,X
IZJTLSO,O,O,X,X,O,X,X
IZJTLOS,O,O,X,X,O,X,X
IZJTSLO,O,O,X,X,X,X,X
IZJTSOL,O,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,O,X
IZJTOSL,O,O,X,X,X,O,X
IZJLTSO,O,O,O,X,O,X,X
IZJLTOS,O,O,X,X,O,X,X
IZJLSTO,O,O,O,X,O,X,X
IZJLSOT,O,O,O,X,O,X,X
IZJLOTS,O,O,X,X,O,X,X
IZJLOST,O,O,O,X,O,X,X
IZJSTLO,O,O,X,X,X,X,X
IZJSTOL,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,X,X
IZJSOTL,O,O,X,X,X,X,O
IZJSOLT,O,O,O,X,X,X,X
IZJOTLS,O,O,X,X,X,O,O
IZJOTSL,O,O,X,X,X,O,O
IZJOLTS,O,O,O,X,X,X,X
IZJOLST,O,O,O,X,X,X,X
IZJOSTL,O,O,X,X,X,X,O
IZJOSLT,O,O,O,X,X,X,X
IZSTLJO,O,O,X,X,X,X,X
IZSTLOJ,O,O,X,X,X,X,X
IZSTJLO,O,O,X,X,X,X,X
IZSTJOL,O,O,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X
IZSTOJL,O,O,X,X,X,X,X
IZSLTJO,O,O,O,X,X,X,X
IZSLTOJ,O,O,X,X,X,X,X
IZSLJTO,O,O,O,X,X,X,X
IZSLJOT,O,O,O,X,X,X,X
IZSLOTJ,O,O,X,X,X,X,X
IZSLOJT,O,O,O,X,X,X,X
IZSJTLO,O,O,X,X,X,X,X
IZSJTOL,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,X,X,X
IZSJLOT,O,O,O,X,X,X,X
IZSJOTL,O,O,X,X,X,X,O
IZSJOLT,O,O,O,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X
IZSOTJL,O,O,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,X
IZSOLJT,O,O,O,X,X,X,X
IZSOJTL,O,O,X,X,X,X,O
IZSOJLT,O,O,O,X,X,X,X
IZOTLJS,O,O,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X
IZOTJSL,O,O,X,X,X,O,X
IZOTSLJ,O,O,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X
IZOLTJS,O,O,O,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,X
IZOLJTS,O,O,O,X,X,X,X
IZOLJST,O,O,O,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X
IZOLSJT,O,O,O,X,X,X,X
IZOJTLS,O,O,X,X,X,O,O
IZOJTSL,O,O,X,X,X,O,O
IZOJLTS,O,O,O,X,X,X,X
IZOJLST,O,O,O,X,X,X,X
IZOJSTL,O,O,X,X,X,X,O
IZOJSLT,O,O,O,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X
IZOSTJL,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X
IZOSLJT,O,O,O,X,X,X,X
IZOSJTL,O,O,X,X,X,X,O
IZOSJLT,O,O,O,X,X,X,X
IOTLJSZ,X,X,X,O,O,O,X
IOTLJZS,X,X,X,O,O,O,X
IOTLSJZ,X,X,X,O,O,X,X
IOTLSZJ,X,X,X,O,X,X,X
IOTLZJS,X,X,X,O,O,X,X
IOTLZSJ,X,X,X,O,X,X,X
IOTJLSZ,X,X,X,X,O,O,X
IOTJLZS,X,X,X,X,O,O,X
IOTJSLZ,X,X,X,X,X,O,X
IOTJSZL,X,X,X,X,X,O,X
IOTJZLS,X,X,X,X,X,O,X
IOTJZSL,X,X,X,X,X,O,X
IOTSLJZ,X,X,X,O,X,X,X
IOTSLZJ,X,X,X,O,X,X,X
IOTSJLZ,X,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,O,X
IOTSZLJ,O,X,X,X,X,X,X
IOTSZJL,O,X,X,X,X,X,X
IOTZLJS,O,X,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,X,X
IOTZJLS,O,X,X,X,X,O,X
IOTZJSL,O,X,X,X,X,O,X
IOTZSLJ,O,X,X,X,X,X,X
IOTZSJL,O,X,X,X,X,X,X
IOLTJSZ,X,X,O,O,O,O,X
IOLTJZS,X,X,O,O,O,O,X
IOLTSJZ,X,X,O,O,O,X,X
IOLTSZJ,X,X,O,O,X,X,X
IOLTZJS,X,X,O,O,O,X,X
IOLTZSJ,X,X,O,O,X,X,X
IOLJTSZ,X,X,O,O,O,O,X
IOLJTZS,X,X,O,O,O,O,X
IOLJSTZ,X,X,O,O,O,X,X
IOLJSZT,X,X,O,X,O,X,X
IOLJZTS,X,X,O,X,O,X,X
IOLJZST,X,X,O,X,O,X,X
IOLSTJZ,X,X,O,O,O,X,X
IOLSTZJ,X,X,O,O,X,X,X
IOLSJTZ,X,X,O,O,O,X,X
IOLSJZT,X,O,O,X,O,X,X
IOLSZTJ,X,O,O,O,X,X,X
IOLSZJT,X,O,O,X,X,X,X
IOLZTJS,X,O,O,O,O,X,X
IOLZTSJ,X,O,O,O,X,X,X
IOLZJTS,X,O,O,X,O,X,X
IOLZJST,X,O,O,X,O,X,X
IOLZSTJ,X,O,O,O,X,X,X
IOLZSJT,X,O,O,X,X,X,X
IOJTLSZ,X,X,X,X,O,O,X
IOJTLZS,X,X,X,X,O,O,X
IOJTSLZ,X,X,X,X,X,O,X
IOJTSZL,X,X,X,X,X,O,X
IOJTZLS,X,X,X,X,X,O,X
IOJTZSL,X,X,X,X,X,O,X
IOJLTSZ,X,X,O,X,O,O,X
IOJLTZS,X,X,O,X,O,O,X
IOJLSTZ,X,X,O,X,O,X,X
IOJLSZT,X,X,O,X,O,X,X
IOJLZTS,X,X,O,X,O,X,X
IOJLZST,X,X,O,X,O,X,X
IOJSTLZ,X,X,X,X,X,O,X
IOJSTZL,X,X,X,X,X,O,X
IOJSLTZ,X,X,O,X,X,X,X
IOJSLZT,X,X,O,X,X,X,X
IOJSZTL,X,X,X,X,X,X,O
IOJSZLT,X,X,O,X,X,X,X
IOJZTLS,X,X,X,X,X,O,O
IOJZTSL,X,X,X,X,X,O,O
IOJZLTS,X,X,O,X,X,X,X
IOJZLST,X,X,O,X,X,X,X
IOJZSTL,X,X,X,X,X,X,O
IOJZSLT,X,X,O,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,X
IOSTLZJ,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,X,X,O,X
IOSTJZL,O,X,X,X,X,O,X
IOSTZLJ,O,X,X,X,X,X,X
IOSTZJL,O,X,X,X,X,X,X
IOSLTJZ,X,X,O,O,X,X,X
IOSLTZJ,X,X,O,O,X,X,X
IOSLJTZ,X,X,O,O,X,X,X
IOSLJZT,X,O,O,X,X,X,X
IOSLZTJ,X,O,O,O,X,X,X
IOSLZJT,X,O,O,X,X,X,X
IOSJTLZ,X,X,X,X,X,O,X
IOSJTZL,O,X,X,X,X,O,X
IOSJLTZ,X,X,O,X,X,X,X
IOSJLZT,X,O,O,X,X,X,X
IOSJZTL,X,X,X,X,X,X,O
IOSJZLT,X,X,O,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X
IOSZTJL,O,O,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X
IOSZJTL,O,O,X,X,X,X,O
IOSZJLT,O,O,O,X,X,X,X
IOZTLJS,O,O,X,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X
IOZTJLS,O,O,X,X,X,O,X
IOZTJSL,O,O,X,X,X,O,X
IOZTSLJ,O,O,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X
IOZLTJS,O,O,O,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X
IOZLJTS,O,O,O,X,X,X,X
IOZLJST,O,O,O,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X
IOZJTLS,O,O,X,X,X,O,O
IOZJTSL,O,O,X,X,X,O,O
IOZJLTS,O,O,O,X,X,X,X
IOZJLST,O,O,O,X,X,X,X
IOZJSTL,O,O,X,X,X,X,O
IOZJSLT,O,O,O,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X
IOZSTJL,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X
IOZSJTL,O,O,X,X,X,X,O
IOZSJLT,O,O,O,X,X,X,X
LTIJSZO,X,X,O,O,O,X,X
LTIJSOZ,X,X,X,O,O,X,X
LTIJZSO,X,X,O,O,O,X,X
LTIJZOS,X,X,X,O,O,X,X
LTIJOSZ,X,X,X,O,O,O,X
LTIJOZS,X,X,X,O,O,O,X
LTISJZO,O,O,O,O,O,X,X
LTISJOZ,X,X,X,O,O,X,X
LTISZJO,O,O,O,O,X,X,X
LTISZOJ,O,O,X,O,X,X,X
LTISOJZ,X,X,X,O,O,X,X
LTISOZJ,X,X,X,O,X,X,X
LTIZJSO,O,O,O,O,O,X,X
LTIZJOS,O,O,X,O,O,X,X
LTIZSJO,O,O,O,O,X,X,X
LTIZSOJ,O,O,X,O,X,X,X
LTIZOJS,O,O,X,O,O,X,X
LTIZOSJ,O,O,X,O,X,X,X
LTIOJSZ,X,X,X,O,O,O,X
LTIOJZS,X,X,X,O,O,O,X
LTIOSJZ,X,X,X,O,O,X,X
LTIOSZJ,X,X,X,O,X,X,X
LTIOZJS,X,X,X,O,O,X,X
LTIOZSJ,X,X,X,O,X,X,X
LTJISZO,X,X,O,O,O,X,X
LTJISOZ,X,X,X,O,O,X,X
LTJIZSO,X,X,O,O,O,X,X
LTJIZOS,X,X,X,O,O,X,X
LTJIOSZ,X,X,X,O,O,O,X
LTJIOZS,X,X,X,O,O,O,X
LTJSIZO,X,X,O,O,O,X,X
LTJSIOZ,X,X,X,O,O,X,X
LTJSZIO,X,X,O,O,X,X,X
LTJSZOI,X,X,O,O,X,X,X
LTJSOIZ,X,X,X,O,O,X,X
LTJSOZI,X,X,X,O,X,X,X
LTJZISO,X,X,O,O,O,X,X
LTJZIOS,X,X,X,O,O,X,X
LTJZSIO,X,X,O,O,X,X,X
LTJZSOI,X,X,O,O,X,X,X
LTJZOIS,X,X,X,O,O,X,X
LTJZOSI,X,X,X,O,X,X,X
LTJOISZ,X,X,X,O,O,O,X
LTJOIZS,X,X,X,O,O,O,X
LTJOSIZ,X,X,X,O,O,X,X
LTJOSZI,X,X,X,O,X,X,X
LTJOZIS,X,X,X,O,O,X,X
LTJOZSI,X,X,X,O,X,X,X
LTSIJZO,O,O,O,O,O,X,X
LTSIJOZ,X,X,X,O,O,X,X
LTSIZJO,O,O,O,O,X,X,X
LTSIZOJ,O,O,X,O,X,X,X
LTSIOJZ,X,X,X,O,O,X,X
LTSIOZJ,X,X,X,O,X,X,X
LTSJIZO,O,O,O,O,O,X,X
LTSJIOZ,X,X,X,O,O,X,X
LTSJZIO,O,O,O,O,X,X,X
LTSJZOI,O,O,O,O,X,X,X
LTSJOIZ,X,X,X,O,O,X,X
LTSJOZI,X,X,X,O,X,X,X
LTSZIJO,O,O,O,O,X,X,X
LTSZIOJ,O,O,X,O,X,X,X
LTSZJIO,O,O,O,O,X,X,X
LTSZJOI,O,O,O,O,X,X,X
LTSZOIJ,O,O,X,O,X,X,X
LTSZOJI,O,O,X,O,X,X,X
LTSOIJZ,X,X,X,O,O,X,X
LTSOIZJ,X,X,X,O,X,X,X
LTSOJIZ,X,X,X,O,O,X,X
LTSOJZI,X,X,X,O,X,X,X
LTSOZIJ,X,X,X,O,X,X,X
LTSOZJI,X,X,X,O,X,X,X
LTZIJSO,O,O,O,O,O,X,X
LTZIJOS,O,O,X,O,O,X,X
LTZISJO,O,O,O,O,X,X,X
LTZISOJ,O,O,X,O,X,X,X
LTZIOJS,O,O,X,O,O,X,X
LTZIOSJ,O,O,X,O,X,X,X
LTZJISO,O,O,O,O,O,X,X
LTZJIOS,O,O,X,O,O,X,X
LTZJSIO,O,O,O,O,X,X,X
LTZJSOI,O,O,O,O,X,X,X
LTZJOIS,O,O,X,O,O,X,X
LTZJOSI,O,O,X,O,X,X,X
LTZSIJO,O,O,O,O,X,X,X
LTZSIOJ,O,O,X,O,X,X,X
LTZSJIO,O,O,O,O,X,X,X
LTZSJOI,O,O,O,O,X,X,X
LTZSOIJ,O,O,X,O,X,X,X
LTZSOJI,O,O,X,O,X,X,X
LTZOIJS,O,O,X,O,O,X,X
LTZOISJ,O,O,X,O,X,X,X
LTZOJIS,O,O,X,O,O,X,X
LTZOJSI,O,O,X,O,X,X,X
LTZOSIJ,O,O,X,O,X,X,X
LTZOSJI,O,O,X,O,X,X,X
LTOIJSZ,X,X,X,O,O,O,X
LTOIJZS,X,X,X,O,O,O,X
LTOISJZ,X,X,X,O,O,X,X
LTOISZJ,X,X,X,O,X,X,X
LTOIZJS,X,X,X,O,O,X,X
LTOIZSJ,X,X,X,O,X,X,X
LTOJISZ,X,X,X,O,O,O,X
LTOJIZS,X,X,X,O,O,O,X
LTOJSIZ,X,X,X,O,O,X,X
LTOJSZI,X,X,X,O,X,X,X
LTOJZIS,X,X,X,O,O,X,X
LTOJZSI,X,X,X,O,X,X,X
LTOSIJZ,X,X,X,O,O,X,X
LTOSIZJ,X,X,X,O,X,X,X
LTOSJIZ,X,X,X,O,O,X,X
LTOSJZI,X,X,X,O,X,X,X
LTOSZIJ,X,X,X,O,X,X,X
LTOSZJI,X,X,X,O,X,X,X
LTOZIJS,X,X,X,O,O,X,X
LTOZISJ,X,X,X,O,X,X,X
LTOZJIS,X,X,X,O,O,X,X
LTOZJSI,X,X,X,O,X,X,X
LTOZSIJ,X,X,X,O,X,X,X
LTOZSJI,X,X,X,O,X,X,X
LITJSZO,X,X,O,O,O,X,X
LITJSOZ,X,X,X,O,O,X,X
LITJZSO,X,X,O,O,O,X,X
LITJZOS,X,X,X,O,O,X,X
LITJOSZ,X,X,X,O,O,O,X
LITJOZS,X,X,X,O,O,O,X
LITSJZO,O,O,O,O,O,X,X
LITSJOZ,X,X,X,O,O,X,X
LITSZJO,O,O,O,O,X,X,X
LITSZOJ,O,O,X,O,X,X,X
LITSOJZ,X,X,X,O,O,X,X
LITSOZJ,X,X,X,O,X,X,X
LITZJSO,O,O,O,O,O,X,X
LITZJOS,O,O,X,O,O,X,X
LITZSJO,O,O,O,O,X,X,X
LITZSOJ,O,O,X,O,X,X,X
LITZOJS,O,O,X,O,O,X,X
LITZOSJ,O,O,X,O,X,X,X
LITOJSZ,X,X,X,O,O,O,X
LITOJZS,X,X,X,O,O,O,X
LITOSJZ,X,X,X,O,O,X,X
LITOSZJ,X,X,X,O,X,X,X
LITOZJS,X,X,X,O,O,X,X
LITOZSJ,X,X,X,O,X,X,X
LIJTSZO,X,X,O,O,O,X,X
LIJTSOZ,X,X,X,O,O,X,X
LIJTZSO,X,X,O,O,O,X,X
LIJTZOS,X,X,X,O,O,X,X
LIJTOSZ,X,X,X,O,O,O,X
LIJTOZS,X,X,X,O,O,O,X
LIJSTZO,X,O,O,O,O,X,X
LIJSTOZ,X,X,X,O,O,X,X
LIJSZTO,X,O,O,X,O,X,X
LIJSZOT,X,O,O,X,O,X,X
LIJSOTZ,X,X,X,O,O,X,X
LIJSOZT,X,O,O,X,O,X,X
LIJZTSO,X,O,O,X,O,X,X
LIJZTOS,X,O,X,X,O,X,X
LIJZSTO,X,O,O,X,O,X,X
LIJZSOT,X,O,O,X,O,X,X
LIJZOTS,X,O,X,X,O,X,X
LIJZOST,X,O,O,X,O,X,X
LIJOTSZ,X,X,X,O,O,O,X
LIJOTZS,X,X,X,O,O,O,X
LIJOSTZ,X,X,X,O,O,X,X
LIJOSZT,X,X,O,X,O,X,X
LIJOZTS,X,X,X,X,O,X,X
LIJOZST,X,X,O,X,O,X,X
LISTJZO,O,O,O,O,O,X,X
LISTJOZ,X,X,X,O,O,X,X
LISTZJO,O,O,O,O,X,X,X
LISTZOJ,O,O,X,O,X,X,X
LISTOJZ,X,X,X,O,O,X,X
LISTOZJ,X,X,X,O,X,X,X
LISJTZO,O,O,O,O,O,X,X
LISJTOZ,X,X,X,O,O,X,X
LISJZTO,X,O,O,X,O,X,X
LISJZOT,X,O,O,X,O,X,X
LISJOTZ,X,X,X,O,O,X,X
LISJOZT,X,O,O,X,O,X,X
LISZTJO,O,O,O,O,X,X,X
LISZTOJ,O,O,X,O,X,X,X
LISZJTO,O,O,O,X,X,X,X
LISZJOT,O,O,O,X,X,X,X
LISZOTJ,O,O,X,O,X,X,X
LISZOJT,O,O,O,X,X,X,X
LISOTJZ,X,X,X,O,O,X,X
LISOTZJ,X,X,X,O,X,X,X
LISOJTZ,X,X,X,O,O,X,X
LISOJZT,X,O,O,X,O,X,X
LISOZTJ,X,O,X,O,X,X,X
LISOZJT,X,O,O,X,X,X,X
LIZTJSO,O,O,O,O,O,X,X
LIZTJOS,O,O,X,O,O,X,X
LIZTSJO,O,O,O,O,X,X,X
LIZTSOJ,O,O,X,O,X,X,X
LIZTOJS,O,O,X,O,O,X,X
LIZTOSJ,O,O,X,O,X,X,X
LIZJTSO,O,O,O,X,O,X,X
LIZJTOS,O,O,X,X,O,X,X
LIZJSTO,O,O,O,X,O,X,X
LIZJSOT,O,O,O,X,O,X,X
LIZJOTS,O,O,X,X,O,X,X
LIZJOST,O,O,O,X,O,X,X
LIZSTJO,O,O,O,O,X,X,X
LIZSTOJ,O,O,X,O,X,X,X
LIZSJTO,O,O,O,X,X,X,X
LIZSJOT,O,O,O,X,X,X,X
LIZSOTJ,O,O,X,O,X,X,X
LIZSOJT,O,O,O,X,X,X,X
LIZOTJS,O,O,X,O,O,X,X
LIZOTSJ,O,O,X,O,X,X,X
LIZOJTS,O,O,X,X,O,X,X
LIZOJST,O,O,O,X,O,X,X
LIZOSTJ,O,O,X,O,X,X,X
LIZOSJT,O,O,O,X,X,X,X
LIOTJSZ,X,X,X,O,O,O,X
LIOTJZS,X,X,X,O,O,O,X
LIOTSJZ,X,X,X,O,O,X,X
LIOTSZJ,X,X,X,O,X,X,X
LIOTZJS,X,X,X,O,O,X,X
LIOTZSJ,X,X,X,O,X,X,X
LIOJTSZ,X,X,X,O,O,O,X
LIOJTZS,X,X,X,O,O,O,X
LIOJSTZ,X,X,X,O,O,X,X
LIOJSZT,X,X,O,X,O,X,X
LIOJZTS,X,X,X,X,O,X,X
LIOJZST,X,X,O,X,O,X,X
LIOSTJZ,X,X,X,O,O,X,X
LIOSTZJ,X,X,X,O,X,X,X
LIOSJTZ,X,X,X,O,O,X,X
LIOSJZT,X,O,O,X,O,X,X
LIOSZTJ,X,O,X,O,X,X,X
LIOSZJT,X,O,O,X,X,X,X
LIOZTJS,X,O,X,O,O,X,X
LIOZTSJ,X,O,X,O,X,X,X
LIOZJTS,X,O,X,X,O,X,X
LIOZJST,X,O,O,X,O,X,X
LIOZSTJ,X,O,X,O,X,X,X
LIOZSJT,X,O,O,X,X,X,X
LJTISZO,X,X,O,O,O,X,X
LJTISOZ,X,X,X,O,O,X,X
LJTIZSO,X,X,O,O,O,X,X
LJTIZOS,X,X,X,O,O,X,X
LJTIOSZ,X,X,X,O,O,O,X
LJTIOZS,X,X,X,O,O,O,X
LJTSIZO,X,X,O,O,O,X,X
LJTSIOZ,X,X,X,O,O,X,X
LJTSZIO,X,X,O,O,X,X,X
LJTSZOI,X,X,O,O,X,X,X
LJTSOIZ,X,X,X,O,O,X,X
LJTSOZI,X,X,X,O,X,X,X
LJTZISO,X,X,O,O,O,X,X
LJTZIOS,X,X,X,O,O,X,X
LJTZSIO,X,X,O,O,X,X,X
LJTZSOI,X,X,O,O,X,X,X
LJTZOIS,X,X,X,O,O,X,X
LJTZOSI,X,X,X,O,X,X,X
LJTOISZ,X,X,X,O,O,O,X
LJTOIZS,X,X,X,O,O,O,X
LJTOSIZ,X,X,X,O,O,X,X
LJTOSZI,X,X,X,O,X,X,X
LJTOZIS,X,X,X,O,O,X,X
LJTOZSI,X,X,X,O,X,X,X
LJITSZO,X,X,O,O,O,X,X
LJITSOZ,X,X,X,O,O,X,X
LJITZSO,X,X,O,O,O,X,X
LJITZOS,X,X,X,O,O,X,X
LJITOSZ,X,X,X,O,O,O,X
LJITOZS,X,X,X,O,O,O,X
LJISTZO,X,O,O,O,O,X,X
LJISTOZ,X,X,X,O,O,X,X
LJISZTO,X,O,O,X,O,X,X
LJISZOT,X,O,O,X,O,X,X
LJISOTZ,X,X,X,O,O,X,X
LJISOZT,X,O,O,X,O,X,X
LJIZTSO,X,O,O,X,O,X,X
LJIZTOS,X,O,X,X,O,X,X
LJIZSTO,X,O,O,X,O,X,X
LJIZSOT,X,O,O,X,O,X,X
LJIZOTS,X,O,X,X,O,X,X
LJIZOST,X,O,O,X,O,X,X
LJIOTSZ,X,X,X,O,O,O,X
LJIOTZS,X,X,X,O,O,O,X
LJIOSTZ,X,X,X,O,O,X,X
LJIOSZT,X,X,O,X,O,X,X
LJIOZTS,X,X,X,X,O,X,X
LJIOZST,X,X,O,X,O,X,X
LJSTIZO,X,O,O,O,O,X,X
LJSTIOZ,X,X,X,O,O,X,X
LJSTZIO,X,O,O,O,X,X,X
LJSTZOI,X,O,O,O,X,X,X
LJSTOIZ,X,X,X,O,O,X,X
LJSTOZI,X,X,X,O,X,X,X
LJSITZO,X,O,O,O,O,X,X
LJSITOZ,X,X,X,O,O,X,X
LJSIZTO,X,O,O,X,O,X,X
LJSIZOT,X,O,O,X,O,X,X
LJSIOTZ,X,X,X,O,O,X,X
LJSIOZT,X,O,O,X,O,X,X
LJSZTIO,X,O,O,X,X,X,X
LJSZTOI,X,O,O,X,X,X,X
LJSZITO,X,O,O,X,X,X,X
LJSZIOT,X,O,O,X,X,X,X
LJSZOTI,X,O,O,X,X,X,O
LJSZOIT,X,O,O,X,X,X,X
LJSOTIZ,X,X,O,O,O,X,X
LJSOTZI,X,X,O,O,X,X,X
LJSOITZ,X,X,O,O,O,X,X
LJSOIZT,X,O,O,X,O,X,X
LJSOZTI,X,O,O,X,X,X,O
LJSOZIT,X,O,O,X,X,X,X
LJZTISO,X,O,O,X,O,X,X
LJZTIOS,X,O,X,X,O,X,X
LJZTSIO,X,O,O,X,X,X,X
LJZTSOI,X,O,O,X,X,X,X
LJZTOIS,X,O,X,X,O,X,X
LJZTOSI,X,O,X,X,X,X,X
LJZITSO,X,O,O,X,O,X,X
LJZITOS,X,O,X,X,O,X,X
LJZISTO,X,O,O,X,O,X,X
LJZISOT,X,O,O,X,O,X,X
LJZIOTS,X,O,X,X,O,X,X
LJZIOST,X,O,O,X,O,X,X
LJZSTIO,X,O,O,X,X,X,X
LJZSTOI,X,O,O,X,X,X,X
LJZSITO,X,O,O,X,X,X,X
LJZSIOT,X,O,O,X,X,X,X
LJZSOTI,X,O,O,X,X,X,O
LJZSOIT,X,O,O,X,X,X,X
LJZOTIS,X,O,O,X,O,X,O
LJZOTSI,X,O,O,X,X,X,O
LJZOITS,X,O,O,X,O,X,X
LJZOIST,X,O,O,X,O,X,X
LJZOSTI,X,O,O,X,X,X,O
LJZOSIT,X,O,O,X,X,X,X
LJOTISZ,X,X,O,O,O,O,X
LJOTIZS,X,X,O,O,O,O,X
LJOTSIZ,X,X,O,O,O,X,X
LJOTSZI,X,X,O,O,X,X,X
LJOTZIS,X,X,O,O,O,X,X
LJOTZSI,X,X,O,O,X,X,X
LJOITSZ,X,X,O,O,O,O,X
