sequence,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBFlBCl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFThBOnBXjBClBFl?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBOpBimBlk?BzrB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFxhBXjB1pByrBOp?B0rB,v115@QhA8CeA8CeC8AeD8BeC8JeZEJvhFqkBTgBUiBFjBmr?B/rB,v115@QhA8CeA8CeC8AeD8BeC8JeTAJvhFFjBOpBxmB0kB/r?BasB,v115@QhA8CeA8CeC8AeD8BeC8JecFJvhFxhBXjBTkBmrBlr?BipB
TLSOJZI,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X
TLSOZJI,X,X,X,O,X,X,X
TLZIJSO,O,O,O,O,O,X,X
TLZIJOS,O,O,X,O,O,X,X
TLZISJO,O,O,O,O,X,X,X
TLZISOJ,O,O,X,O,X,X,X
TLZIOJS,O,O,X,O,O,X,X
TLZIOSJ,O,O,X,O,X,X,X
TLZJISO,O,O,O,O,O,X,X
TLZJIOS,O,O,X,O,O,X,X
TLZJSIO,O,O,O,O,X,X,X
TLZJSOI,O,O,O,O,X,X,X
TLZJOIS,O,O,X,O,O,X,X
TLZJOSI,O,O,X,O,X,X,X
TLZSIJO,O,O,O,O,X,X,X
TLZSIOJ,O,O,X,O,X,X,X
TLZSJIO,O,O,O,O,X,X,X
TLZSJOI,O,O,O,O,X,X,X
TLZSOIJ,O,O,X,O,X,X,X
TLZSOJI,O,O,X,O,X,X,X
TLZOIJS,O,O,X,O,O,X,X
TLZOISJ,O,O,X,O,X,X,X
TLZOJIS,O,O,X,O,O,X,X
TLZOJSI,O,O,X,O,X,X,X
TLZOSIJ,O,O,X,O,X,X,X
TLZOSJI,O,O,X,O,X,X,X
TLOIJSZ,X,X,X,O,O,O,X
TLOIJZS,X,X,X,O,O,O,X
TLOISJZ,X,X,X,O,O,X,X
TLOISZJ,X,X,X,O,X,X,X
TLOIZJS,X,X,X,O,O,X,X
TLOIZSJ,X,X,X,O,X,X,X
TLOJISZ,X,X,X,O,O,O,X
