sequence,v115@NhA8HeB8BeA8BeH8Jei/IvhFRhBunBcoBFlBXmBTpB,v115@NhA8HeB8BeA8BeH8JeZEJvhFzfBfmBlhBunBcoBCqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFfmBlhBqnBTjBupBUqB,v115@NhA8HeB8BeA8BeH8JeZEJvhFCgBlhBWoB8pBzqBXtB
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,O,O,X,X
TSIZLOJ,X,O,X,X
TSIZJLO,O,O,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,X,X,X,X
TSLIJOZ,X,X,O,X
TSLIZJO,O,O,X,X
TSLIZOJ,X,O,X,X
TSLIOJZ,X,X,O,X
TSLIOZJ,X,O,X,X
TSLJIZO,X,X,X,X
TSLJIOZ,X,X,O,X
TSLJZIO,X,X,X,X
TSLJZOI,X,X,X,X
TSLJOIZ,X,X,O,X
TSLJOZI,X,X,X,X
TSLZIJO,O,O,X,X
TSLZIOJ,X,O,X,X
TSLZJIO,O,O,X,X
TSLZJOI,X,O,X,X
TSLZOIJ,X,O,X,X
TSLZOJI,X,O,X,X
TSLOIJZ,X,X,O,X
TSLOIZJ,X,O,X,X
TSLOJIZ,X,X,O,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,O,X,X
TSLOZJI,X,O,X,X
TSJILZO,X,X,X,X
TSJILOZ,X,X,O,X
TSJIZLO,X,X,X,X
TSJIZOL,X,X,X,X
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,X,X
TSJLIOZ,X,X,O,X
TSJLZIO,X,X,X,X
TSJLZOI,X,X,X,X
TSJLOIZ,X,X,O,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,X,X
TSJZIOL,X,X,X,X
TSJZLIO,X,X,X,X
TSJZLOI,X,X,X,X
TSJZOIL,X,X,X,X
TSJZOLI,X,X,X,X
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,O,O,X,X
TSZILOJ,X,O,X,X
TSZIJLO,O,O,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,X
TSZLIJO,O,O,X,X
TSZLIOJ,X,O,X,X
TSZLJIO,O,O,X,X
TSZLJOI,X,O,X,X
TSZLOIJ,X,O,X,X
TSZLOJI,X,O,X,X
TSZJILO,O,O,X,X
TSZJIOL,X,X,X,X
TSZJLIO,O,O,X,X
TSZJLOI,X,O,X,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,X,X,X,X
TSOLIZJ,X,X,X,X
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,X,X,X
TSOLZJI,X,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,O,X,X,X
TZILJOS,X,X,X,X
TZILSJO,X,X,X,X
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,O,X,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,O,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,O,X,X
TZISLOJ,X,O,X,X
TZISJLO,X,O,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,O,X,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,X,X,X
TZLISOJ,X,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,O,X,X,X
TZLJIOS,X,X,X,X
TZLJSIO,O,X,X,X
TZLJSOI,X,X,X,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,O,X,X,X
TZLSIOJ,X,X,X,X
TZLSJIO,O,X,X,X
TZLSJOI,X,X,X,X
TZLSOIJ,X,X,X,X
TZLSOJI,X,X,X,X
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,X,X,X,X
TZLOSJI,X,X,X,X
TZJILSO,O,X,X,X
TZJILOS,X,X,X,X
TZJISLO,X,O,X,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,O,X,X,X
TZJLIOS,X,X,X,X
TZJLSIO,O,X,X,X
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,O,O,X,X
TZJSIOL,X,X,X,X
TZJSLIO,O,O,X,X
TZJSLOI,X,O,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,O,O,X,X
TZSILOJ,X,O,X,X
TZSIJLO,O,O,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,X
TZSLIJO,O,O,X,X
TZSLIOJ,X,O,X,X
TZSLJIO,O,O,X,X
TZSLJOI,X,O,X,X
TZSLOIJ,X,O,X,X
TZSLOJI,X,O,X,X
TZSJILO,O,O,X,X
TZSJIOL,X,X,X,X
TZSJLIO,O,O,X,X
TZSJLOI,X,O,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,O
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,O
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,O
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,X,X
TOLSIZJ,X,X,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,X,X,X
TOLZSJI,X,X,X,X
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,X,X
TOJISZL,X,X,X,X
TOJIZLS,X,X,X,O
TOJIZSL,X,X,X,X
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,X,X,X,X
TOJSIZL,X,X,X,X
TOJSLIZ,X,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,X,X,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,O
TOJZISL,X,X,X,X
TOJZLIS,X,X,X,O
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,X
TOJZSLI,X,X,X,X
TOSILJZ,X,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,X,X,X,X
TOSLIZJ,X,X,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,X,X,X,X
TOSLZIJ,X,X,X,X
TOSLZJI,X,X,X,X
TOSJILZ,X,X,X,X
TOSJIZL,X,X,X,X
TOSJLIZ,X,X,X,X
TOSJLZI,X,X,X,X
TOSJZIL,X,X,X,X
TOSJZLI,X,X,X,X
TOSZILJ,X,X,X,X
TOSZIJL,X,X,X,X
TOSZLIJ,X,X,X,X
TOSZLJI,X,X,X,X
TOSZJIL,X,X,X,X
TOSZJLI,X,X,X,X
TOZILJS,X,X,X,O
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,O
TOZIJSL,X,X,X,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,O
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,O
TOZLJSI,X,X,X,X
TOZLSIJ,X,X,X,X
TOZLSJI,X,X,X,X
TOZJILS,X,X,X,O
TOZJISL,X,X,X,X
TOZJLIS,X,X,X,O
TOZJLSI,X,X,X,X
TOZJSIL,X,X,X,X
TOZJSLI,X,X,X,X
TOZSILJ,X,X,X,X
TOZSIJL,X,X,X,X
TOZSLIJ,X,X,X,X
TOZSLJI,X,X,X,X
TOZSJIL,X,X,X,X
TOZSJLI,X,X,X,X
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,O,X
ITLJZSO,X,X,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,O,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,X
ITLSJOZ,X,X,O,X
ITLSZJO,X,X,X,X
ITLSZOJ,X,X,X,X
ITLSOJZ,X,X,O,X
ITLSOZJ,X,X,X,X
ITLZJSO,O,X,X,X
ITLZJOS,X,X,X,X
ITLZSJO,X,X,X,X
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,X,X,X,X
ITLOJSZ,X,X,O,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,X,O,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,X,X,X
ITJLSOZ,X,X,O,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,O,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,O,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,X,X,X
ITJZSOL,X,X,X,X
