sequence,v115@PhC8HeC8BeF8JeT/IvhF/lBxiBimB1sBGmBUqB,v115@PhC8HeC8BeF8Je/EJvhFUgBxiBimB1sBGmBTqB,v115@PhC8HeC8BeF8Je2EJvhFXhBxiB1rB0nBClBTqB,v115@PhC8HeC8BeF8Je/EJvhFFgBSmBxiB0nB2rBTqB,v115@PhC8HeC8BeF8JeaGJvhFumBcnBxkBlkBXoBTqB,v115@PhC8HeC8BeF8Je2EJvhFRgBzlBCnBFnBXoBUqB,v115@PhC8HeC8BeF8Je/EJvhFRgBmlBCnBUnBFoBTqB,v115@PhC8HeC8BeF8JeeGJvhFxkBFnB0kBCnBXoBTqB
TZSILOJ,O,O,X,X,X,X,X,X
TZSIJLO,O,O,O,X,X,X,X,X
TZSIJOL,O,X,O,X,X,X,X,X
TZSIOLJ,O,O,O,O,X,X,X,X
TZSIOJL,O,O,O,O,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,O,X,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,O,O,X,X,X,X,X,X
TZSLOJI,O,O,X,X,X,X,X,X
TZSJILO,O,O,O,X,X,X,X,X
TZSJIOL,O,X,O,X,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X,X
TZSJOLI,O,X,O,X,X,X,X,X
TZSOILJ,O,O,O,O,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X
TZSOLIJ,O,O,O,O,X,X,X,X
TZSOLJI,O,O,O,O,X,X,X,X
TZSOJIL,O,O,O,O,X,X,X,X
TZSOJLI,O,O,O,O,X,X,X,X
TZOILJS,O,X,O,X,O,O,X,X
TZOILSJ,O,O,O,O,X,X,X,X
TZOIJLS,O,X,O,X,O,O,X,X
TZOIJSL,O,X,O,X,X,X,X,X
TZOISLJ,O,O,O,O,X,X,X,X
TZOISJL,O,O,O,O,X,X,X,X
TZOLIJS,O,X,O,X,O,O,X,X
TZOLISJ,O,O,O,O,X,X,X,X
TZOLJIS,O,X,O,X,O,O,X,X
TZOLJSI,O,X,O,X,X,O,X,X
TZOLSIJ,O,O,O,O,X,X,X,X
TZOLSJI,O,O,O,O,X,X,X,X
TZOJILS,O,X,O,X,O,O,X,X
TZOJISL,O,X,O,X,X,X,X,X
TZOJLIS,O,X,O,X,O,O,X,X
TZOJLSI,O,X,O,X,X,O,X,X
TZOJSIL,O,X,O,X,X,X,X,X
TZOJSLI,O,X,O,X,X,X,X,X
TZOSILJ,O,O,O,O,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,O,O,X,X,X,X
TZOSLJI,O,O,O,O,X,X,X,X
TZOSJIL,O,O,O,O,X,X,X,X
TZOSJLI,O,O,O,O,X,X,X,X
TOILJSZ,X,O,X,X,X,O,X,X
TOILJZS,O,X,X,X,O,O,X,X
TOILSJZ,X,O,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,X,X,X,O,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,O,X,O
TOIJLZS,O,X,X,X,O,O,X,O
TOIJSLZ,X,O,X,X,X,X,X,O
TOIJSZL,X,O,O,X,X,X,X,O
TOIJZLS,O,X,O,X,O,X,X,O
TOIJZSL,O,X,O,X,X,X,X,O
TOISLJZ,X,O,X,X,X,X,X,X
TOISLZJ,O,O,X,O,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X
TOISJZL,X,O,O,O,X,X,X,X
TOISZLJ,O,O,O,O,X,X,X,X
TOISZJL,O,O,O,O,X,X,X,X
TOIZLJS,O,X,O,X,O,X,X,X
TOIZLSJ,O,O,O,O,X,X,X,X
TOIZJLS,O,X,O,X,O,X,X,X
TOIZJSL,O,X,O,X,X,X,X,X
TOIZSLJ,O,O,O,O,X,X,X,X
TOIZSJL,O,O,O,O,X,X,X,X
TOLIJSZ,X,O,X,X,X,O,X,X
TOLIJZS,O,X,X,X,O,O,X,X
TOLISJZ,X,O,X,X,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,O,X,X,X,O,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,X,O,X,X,X,O,X,X
TOLJIZS,O,X,X,X,O,O,X,X
TOLJSIZ,X,O,X,X,X,O,O,X
TOLJSZI,X,O,O,X,X,O,O,X
TOLJZIS,O,X,O,X,O,O,X,X
TOLJZSI,O,X,O,X,X,O,X,X
TOLSIJZ,X,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,O,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,O,X
TOLSJZI,X,O,O,O,X,X,O,X
TOLSZIJ,O,O,O,O,X,X,X,X
TOLSZJI,O,O,O,O,X,X,X,X
TOLZIJS,O,X,O,X,O,X,X,X
TOLZISJ,O,O,O,O,X,X,X,X
TOLZJIS,O,X,O,X,O,X,X,X
TOLZJSI,O,X,O,X,X,X,X,X
TOLZSIJ,O,O,O,O,X,X,X,X
TOLZSJI,O,O,O,O,X,X,X,X
TOJILSZ,X,O,X,X,X,O,X,O
TOJILZS,O,X,X,X,O,O,X,O
TOJISLZ,X,O,X,X,X,X,X,O
TOJISZL,X,O,O,X,X,X,X,O
TOJIZLS,O,X,O,X,O,X,X,O
TOJIZSL,O,X,O,X,X,X,X,O
TOJLISZ,X,O,X,X,X,O,X,X
TOJLIZS,O,X,X,X,O,O,X,X
TOJLSIZ,X,O,X,X,X,O,O,X
TOJLSZI,X,O,O,X,X,O,O,X
TOJLZIS,O,X,O,X,O,O,X,X
TOJLZSI,O,X,O,X,X,O,X,X
TOJSILZ,X,O,X,X,X,X,O,X
TOJSIZL,X,O,O,X,X,X,X,X
TOJSLIZ,X,O,X,X,X,X,O,X
TOJSLZI,X,O,O,X,X,X,O,X
TOJSZIL,X,O,O,X,X,X,X,X
TOJSZLI,X,O,O,X,X,X,X,X
TOJZILS,O,X,O,X,O,X,X,X
TOJZISL,O,X,O,X,X,X,X,X
TOJZLIS,O,X,O,X,O,X,X,X
TOJZLSI,O,X,O,X,X,X,X,X
TOJZSIL,O,X,O,X,X,X,X,X
TOJZSLI,O,X,O,X,X,X,X,X
TOSILJZ,X,O,X,X,X,X,X,X
TOSILZJ,O,O,X,O,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,O,X
TOSIJZL,X,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,O,X,X,X,X
TOSIZJL,O,O,O,O,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,O,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,O,X
TOSLJZI,X,O,O,O,X,X,O,X
TOSLZIJ,O,O,O,O,X,X,X,X
TOSLZJI,O,O,O,O,X,X,X,X
TOSJILZ,X,O,X,X,X,X,O,X
TOSJIZL,X,O,O,O,X,X,X,X
TOSJLIZ,X,O,X,X,X,X,O,X
TOSJLZI,X,O,O,O,X,X,O,X
TOSJZIL,X,O,O,O,X,X,X,X
TOSJZLI,X,O,O,O,X,X,X,X
TOSZILJ,O,O,O,O,X,X,X,X
TOSZIJL,O,O,O,O,X,X,X,X
TOSZLIJ,O,O,O,O,X,X,X,X
TOSZLJI,O,O,O,O,X,X,X,X
TOSZJIL,O,O,O,O,X,X,X,X
TOSZJLI,O,O,O,O,X,X,X,X
TOZILJS,O,X,O,X,O,X,X,X
TOZILSJ,O,O,O,O,X,X,X,X
TOZIJLS,O,X,O,X,O,X,X,X
TOZIJSL,O,X,O,X,X,X,X,X
TOZISLJ,O,O,O,O,X,X,X,X
TOZISJL,O,O,O,O,X,X,X,X
TOZLIJS,O,X,O,X,O,X,X,X
TOZLISJ,O,O,O,O,X,X,X,X
TOZLJIS,O,X,O,X,O,X,X,X
TOZLJSI,O,X,O,X,X,X,X,X
TOZLSIJ,O,O,O,O,X,X,X,X
TOZLSJI,O,O,O,O,X,X,X,X
TOZJILS,O,X,O,X,O,X,X,X
TOZJISL,O,X,O,X,X,X,X,X
TOZJLIS,O,X,O,X,O,X,X,X
TOZJLSI,O,X,O,X,X,X,X,X
TOZJSIL,O,X,O,X,X,X,X,X
TOZJSLI,O,X,O,X,X,X,X,X
TOZSILJ,O,O,O,O,X,X,X,X
TOZSIJL,O,O,O,O,X,X,X,X
TOZSLIJ,O,O,O,O,X,X,X,X
TOZSLJI,O,O,O,O,X,X,X,X
TOZSJIL,O,O,O,O,X,X,X,X
TOZSJLI,O,O,O,O,X,X,X,X
ITLJSZO,X,O,X,X,X,X,X,O
ITLJSOZ,X,O,X,X,X,X,X,O
ITLJZSO,O,X,X,X,O,X,X,O
ITLJZOS,O,X,X,X,O,X,X,O
ITLJOSZ,X,O,X,X,X,X,X,O
ITLJOZS,O,X,X,X,X,X,X,O
ITLSJZO,X,O,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X
ITLZJSO,O,X,X,X,O,X,X,X
ITLZJOS,O,X,X,X,O,X,X,X
ITLZSJO,O,O,X,X,X,X,X,X
ITLZSOJ,O,O,X,X,X,X,X,X
ITLZOJS,O,X,X,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X
ITLOJZS,O,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X,X,X
ITJLSZO,X,O,X,X,X,X,X,O
ITJLSOZ,X,O,X,X,X,X,X,O
ITJLZSO,O,X,X,X,O,X,X,O
ITJLZOS,O,X,X,X,O,X,X,O
ITJLOSZ,X,O,X,X,X,X,X,O
ITJLOZS,O,X,X,X,X,X,X,O
ITJSLZO,X,O,X,X,X,X,X,O
ITJSLOZ,X,O,X,X,X,X,X,O
ITJSZLO,X,O,O,X,X,X,X,O
ITJSZOL,X,X,O,X,X,X,X,O
ITJSOLZ,X,O,X,X,X,X,X,O
ITJSOZL,X,O,X,X,X,X,X,O
ITJZLSO,O,X,O,X,O,X,X,O
ITJZLOS,O,X,X,X,O,X,X,O
ITJZSLO,O,X,O,X,X,X,X,O
ITJZSOL,O,X,O,X,X,X,X,O
ITJZOLS,O,X,X,X,X,X,X,O
ITJZOSL,O,X,O,X,X,X,X,O
ITJOLSZ,X,O,X,X,X,X,X,O
ITJOLZS,O,X,X,X,X,X,X,O
ITJOSLZ,X,O,X,X,X,X,X,O
ITJOSZL,X,O,X,X,X,X,X,O
ITJOZLS,O,X,X,X,X,X,X,O
ITJOZSL,O,X,X,X,X,X,X,O
ITSLJZO,X,O,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X,X
ITSJLZO,X,O,X,X,X,X,X,O
ITSJLOZ,X,O,X,X,X,X,X,O
ITSJZLO,X,O,O,X,X,X,X,O
ITSJZOL,X,X,O,X,X,X,X,O
ITSJOLZ,X,O,X,X,X,X,X,O
ITSJOZL,X,O,X,X,X,X,X,O
ITSZLJO,O,O,O,X,X,X,X,X
ITSZLOJ,O,O,X,X,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X,X
ITSZJOL,O,X,O,X,X,X,X,X
ITSZOLJ,O,O,X,O,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X,X
ITSOLZJ,O,O,X,O,X,X,X,X
ITSOJLZ,X,O,X,X,X,X,X,X
ITSOJZL,X,O,X,O,X,X,X,X
ITSOZLJ,O,O,X,O,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X
ITZLJSO,O,X,O,X,O,X,X,X
ITZLJOS,O,X,X,X,O,X,X,X
ITZLSJO,O,O,O,X,X,X,X,X
ITZLSOJ,O,O,X,X,X,X,X,X
ITZLOJS,O,X,O,X,X,X,X,X
ITZLOSJ,O,O,O,X,X,X,X,X
ITZJLSO,O,X,O,X,O,X,X,O
ITZJLOS,O,X,X,X,O,X,X,O
ITZJSLO,O,X,O,X,X,X,X,O
ITZJSOL,O,X,O,X,X,X,X,O
ITZJOLS,O,X,O,X,X,X,X,O
ITZJOSL,O,X,O,X,X,X,X,O
ITZSLJO,O,O,O,X,X,X,X,X
ITZSLOJ,O,O,X,X,X,X,X,X
ITZSJLO,O,O,O,X,X,X,X,X
ITZSJOL,O,X,O,X,X,X,X,X
ITZSOLJ,O,O,O,O,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X
ITZOLJS,O,X,O,X,X,X,X,X
ITZOLSJ,O,O,O,O,X,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X
ITZOJSL,O,X,O,X,X,X,X,X
ITZOSLJ,O,O,O,O,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X
ITOLJSZ,X,O,X,X,X,X,X,X
ITOLJZS,O,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,X,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,X,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,O
ITOJLZS,O,X,X,X,X,X,X,O
ITOJSLZ,X,O,X,X,X,X,X,O
ITOJSZL,X,O,O,X,X,X,X,O
ITOJZLS,O,X,O,X,X,X,X,O
ITOJZSL,O,X,O,X,X,X,X,O
ITOSLJZ,X,O,X,X,X,X,X,X
ITOSLZJ,O,O,X,O,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X
ITOSJZL,X,O,O,O,X,X,X,X
ITOSZLJ,O,O,O,O,X,X,X,X
ITOSZJL,O,O,O,O,X,X,X,X
ITOZLJS,O,X,O,X,X,X,X,X
ITOZLSJ,O,O,O,O,X,X,X,X
ITOZJLS,O,X,O,X,X,X,X,X
ITOZJSL,O,X,O,X,X,X,X,X
ITOZSLJ,O,O,O,O,X,X,X,X
ITOZSJL,O,O,O,O,X,X,X,X
ILTJSZO,X,O,X,X,X,X,X,O
ILTJSOZ,X,O,X,X,X,X,X,O
ILTJZSO,O,X,X,X,O,X,X,O
ILTJZOS,O,X,X,X,O,X,X,O
ILTJOSZ,X,O,X,X,X,X,X,O
ILTJOZS,O,X,X,X,X,X,X,O
ILTSJZO,X,O,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X
ILTSZJO,O,O,X,X,X,X,X,X
ILTSZOJ,O,O,X,X,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X
ILTSOZJ,O,O,X,X,X,X,X,X
ILTZJSO,O,X,X,X,O,X,X,X
ILTZJOS,O,X,X,X,O,X,X,X
ILTZSJO,O,O,X,X,X,X,X,X
ILTZSOJ,O,O,X,X,X,X,X,X
ILTZOJS,O,X,X,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X
ILTOJZS,O,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X
ILTOSZJ,O,O,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X,X,X
ILJTSZO,X,X,X,X,X,X,X,O
ILJTSOZ,X,X,X,X,X,X,X,O
ILJTZSO,X,X,X,X,O,X,X,O
ILJTZOS,X,X,X,X,O,X,X,O
ILJTOSZ,X,X,X,X,X,X,X,O
ILJTOZS,X,X,X,X,X,X,X,O
ILJSTZO,X,X,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,X,X,O,X
ILJSZTO,X,X,X,X,O,X,O,X
ILJSZOT,X,X,X,X,O,X,O,X
ILJSOTZ,X,X,X,X,X,X,O,X
ILJSOZT,X,X,X,X,X,X,O,X
ILJZTSO,X,X,O,X,O,X,X,X
ILJZTOS,X,X,X,X,O,X,X,X
ILJZSTO,X,X,X,X,O,X,X,X
ILJZSOT,X,X,X,X,O,X,X,X
ILJZOTS,X,X,X,X,O,O,X,X
ILJZOST,X,X,X,X,O,O,X,X
ILJOTSZ,X,X,X,X,X,O,X,X
ILJOTZS,X,X,X,X,O,O,X,X
ILJOSTZ,X,X,X,X,X,O,X,X
ILJOSZT,X,X,X,X,O,O,X,X
ILJOZTS,X,X,X,X,O,O,X,X
ILJOZST,X,X,X,X,O,O,X,X
ILSTJZO,X,O,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X
ILSTZJO,X,O,X,X,X,X,X,X
ILSTZOJ,X,O,X,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X
ILSTOZJ,X,O,X,X,X,X,X,X
ILSJTZO,X,X,X,X,X,X,O,X
ILSJTOZ,X,X,X,X,X,X,O,X
ILSJZTO,X,X,X,X,O,X,O,X
ILSJZOT,X,X,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,X,X,O,X
ILSJOZT,X,X,X,X,X,X,O,X
ILSZTJO,X,O,X,X,X,X,X,X
ILSZTOJ,X,O,X,X,X,X,X,X
ILSZJTO,X,X,X,X,O,X,X,X
ILSZJOT,X,X,X,X,O,X,X,X
ILSZOTJ,X,X,X,O,X,X,X,X
ILSZOJT,X,X,X,O,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X,X
ILSOTZJ,X,O,X,O,X,X,X,X
ILSOJTZ,X,X,X,X,X,X,O,X
ILSOJZT,X,X,X,X,X,X,O,X
ILSOZTJ,X,O,X,O,X,X,X,X
ILSOZJT,X,X,X,O,X,X,X,X
ILZTJSO,O,X,O,X,O,X,X,X
ILZTJOS,O,X,X,X,O,X,X,X
ILZTSJO,O,X,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X,X,X
ILZTOJS,O,X,O,X,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X,X
ILZJTSO,X,X,O,X,O,X,X,X
ILZJTOS,X,X,X,X,O,X,X,X
ILZJSTO,X,X,X,X,O,X,X,X
ILZJSOT,X,X,X,X,O,X,X,X
ILZJOTS,X,X,X,X,O,O,X,X
ILZJOST,X,X,X,X,O,O,X,X
ILZSTJO,O,X,X,X,X,X,X,X
ILZSTOJ,O,X,X,X,X,X,X,X
ILZSJTO,X,X,X,X,O,X,X,X
ILZSJOT,X,X,X,X,O,X,X,X
ILZSOTJ,O,X,X,O,X,X,X,X
ILZSOJT,X,X,X,O,X,X,X,X
ILZOTJS,O,X,X,X,O,O,X,X
ILZOTSJ,O,X,X,O,X,X,X,X
ILZOJTS,X,X,X,X,O,O,X,X
ILZOJST,X,X,X,O,O,O,X,X
ILZOSTJ,O,X,X,O,X,X,X,X
ILZOSJT,X,X,X,O,O,O,X,X
ILOTJSZ,X,O,X,X,X,O,X,X
ILOTJZS,O,X,X,X,O,O,X,X
ILOTSJZ,X,O,X,X,X,X,X,X
ILOTSZJ,O,O,X,X,X,X,X,X
ILOTZJS,O,X,X,X,O,X,X,X
ILOTZSJ,O,O,X,X,X,X,X,X
ILOJTSZ,X,X,X,X,X,O,X,X
ILOJTZS,X,X,X,X,O,O,X,X
ILOJSTZ,X,X,X,X,X,O,O,X
ILOJSZT,X,X,X,X,O,O,O,X
ILOJZTS,X,X,X,X,O,O,X,X
ILOJZST,X,X,X,X,O,O,X,X
ILOSTJZ,X,O,X,X,X,X,X,X
ILOSTZJ,X,O,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,X,O,O,X
ILOSJZT,X,X,X,X,O,O,O,X
ILOSZTJ,X,O,X,O,X,X,X,X
ILOSZJT,X,X,X,O,O,X,X,X
ILOZTJS,O,X,X,X,O,X,X,X
ILOZTSJ,O,X,X,O,X,X,X,X
ILOZJTS,X,X,X,X,O,O,X,X
ILOZJST,X,X,X,O,O,O,X,X
ILOZSTJ,O,X,X,O,X,X,X,X
ILOZSJT,X,X,X,O,O,X,X,X
IJTLSZO,X,O,X,X,X,X,X,O
IJTLSOZ,X,O,X,X,X,X,X,O
IJTLZSO,O,X,X,X,O,X,X,O
IJTLZOS,O,X,X,X,O,X,X,O
IJTLOSZ,X,O,X,X,X,X,X,O
IJTLOZS,O,X,X,X,X,X,X,O
IJTSLZO,X,O,X,X,X,X,X,O
IJTSLOZ,X,O,X,X,X,X,X,O
IJTSZLO,X,O,O,X,X,X,X,O
IJTSZOL,X,X,O,X,X,X,X,O
IJTSOLZ,X,O,X,X,X,X,X,O
IJTSOZL,X,O,X,X,X,X,X,O
IJTZLSO,O,X,O,X,O,X,X,O
IJTZLOS,O,X,X,X,O,X,X,O
IJTZSLO,O,X,O,X,X,X,X,O
IJTZSOL,O,X,O,X,X,X,X,O
IJTZOLS,O,X,X,X,X,O,X,O
IJTZOSL,O,X,O,X,X,X,X,O
IJTOLSZ,X,O,X,X,X,O,X,O
IJTOLZS,O,X,X,X,X,O,X,O
IJTOSLZ,X,O,X,X,X,X,X,O
IJTOSZL,X,O,X,X,X,X,X,O
IJTOZLS,O,X,X,X,X,X,X,O
IJTOZSL,O,X,X,X,X,X,X,O
IJLTSZO,X,X,X,X,X,X,X,O
IJLTSOZ,X,X,X,X,X,X,X,O
IJLTZSO,X,X,X,X,O,X,X,O
IJLTZOS,X,X,X,X,O,X,X,O
IJLTOSZ,X,X,X,X,X,X,X,O
IJLTOZS,X,X,X,X,X,X,X,O
IJLSTZO,X,X,X,X,X,X,O,X
IJLSTOZ,X,X,X,X,X,X,O,X
IJLSZTO,X,X,X,X,O,X,O,X
IJLSZOT,X,X,X,X,O,X,O,X
IJLSOTZ,X,X,X,X,X,X,O,X
IJLSOZT,X,X,X,X,X,X,O,X
IJLZTSO,X,X,O,X,O,X,X,X
IJLZTOS,X,X,X,X,O,X,X,X
IJLZSTO,X,X,X,X,O,X,X,X
IJLZSOT,X,X,X,X,O,X,X,X
IJLZOTS,X,X,X,X,O,O,X,X
IJLZOST,X,X,X,X,O,O,X,X
IJLOTSZ,X,X,X,X,X,O,X,X
IJLOTZS,X,X,X,X,O,O,X,X
IJLOSTZ,X,X,X,X,X,O,X,X
IJLOSZT,X,X,X,X,O,O,X,X
IJLOZTS,X,X,X,X,O,O,X,X
IJLOZST,X,X,X,X,O,O,X,X
IJSTLZO,X,O,X,X,X,X,O,O
IJSTLOZ,X,O,X,X,X,X,O,O
IJSTZLO,X,O,X,X,X,X,X,O
IJSTZOL,X,X,X,X,X,X,X,O
IJSTOLZ,X,O,X,X,X,X,X,O
IJSTOZL,X,O,X,X,X,X,X,O
IJSLTZO,X,X,X,X,X,X,O,X
IJSLTOZ,X,X,X,X,X,X,O,X
IJSLZTO,X,X,X,X,O,X,O,X
IJSLZOT,X,X,X,X,O,X,O,X
IJSLOTZ,X,X,X,X,X,X,O,X
IJSLOZT,X,X,X,X,X,X,O,X
IJSZTLO,X,O,O,X,X,X,X,X
IJSZTOL,X,X,O,X,X,X,X,X
IJSZLTO,X,X,X,X,O,X,O,X
IJSZLOT,X,X,X,X,O,X,O,X
IJSZOTL,X,X,X,O,X,X,X,X
IJSZOLT,X,X,X,O,X,O,X,X
IJSOTLZ,X,O,X,X,X,X,X,X
IJSOTZL,X,O,X,O,X,X,X,X
IJSOLTZ,X,X,X,X,X,O,O,X
IJSOLZT,X,X,X,X,X,O,O,X
IJSOZTL,X,O,X,O,X,X,X,X
IJSOZLT,X,X,X,O,X,X,X,X
IJZTLSO,O,X,O,X,O,X,X,O
IJZTLOS,O,X,X,X,O,X,X,O
IJZTSLO,O,X,O,X,X,X,X,O
IJZTSOL,O,X,O,X,X,X,X,O
IJZTOLS,O,X,O,X,X,O,X,O
IJZTOSL,O,X,O,X,X,X,X,O
IJZLTSO,X,X,O,X,O,X,X,X
IJZLTOS,X,X,X,X,O,X,X,X
IJZLSTO,X,X,X,X,O,X,X,X
IJZLSOT,X,X,X,X,O,X,X,X
IJZLOTS,X,X,X,X,O,O,X,X
IJZLOST,X,X,X,X,O,O,X,X
IJZSTLO,O,X,O,X,X,X,X,X
IJZSTOL,O,X,O,X,X,X,X,X
IJZSLTO,X,X,X,X,O,X,X,X
IJZSLOT,X,X,X,X,O,X,X,X
IJZSOTL,O,X,X,O,X,X,X,X
IJZSOLT,X,X,X,O,X,O,X,X
IJZOTLS,O,X,X,X,O,O,X,X
IJZOTSL,O,X,O,X,X,X,X,X
IJZOLTS,X,X,X,X,O,O,X,X
IJZOLST,X,X,X,O,O,O,X,X
IJZOSTL,O,X,X,O,X,X,X,X
IJZOSLT,X,X,X,O,O,O,X,X
IJOTLSZ,X,O,X,X,X,O,X,O
IJOTLZS,O,X,X,X,O,O,X,O
IJOTSLZ,X,O,X,X,X,X,X,O
IJOTSZL,X,O,X,X,X,X,X,O
IJOTZLS,O,X,X,X,O,X,X,O
IJOTZSL,O,X,X,X,X,X,X,O
IJOLTSZ,X,X,X,X,X,O,X,X
IJOLTZS,X,X,X,X,O,O,X,X
IJOLSTZ,X,X,X,X,X,O,X,X
IJOLSZT,X,X,X,X,O,O,X,X
IJOLZTS,X,X,X,X,O,O,X,X
IJOLZST,X,X,X,X,O,O,X,X
IJOSTLZ,X,O,X,X,X,X,X,X
IJOSTZL,X,O,X,O,X,X,X,X
IJOSLTZ,X,X,X,X,X,O,X,X
IJOSLZT,X,X,X,X,O,O,X,X
IJOSZTL,X,O,X,O,X,X,X,X
IJOSZLT,X,X,X,O,O,X,X,X
IJOZTLS,O,X,X,X,O,O,X,X
IJOZTSL,O,X,O,X,X,X,X,X
IJOZLTS,X,X,X,X,O,O,X,X
IJOZLST,X,X,X,O,O,O,X,X
IJOZSTL,O,X,X,O,X,X,X,X
IJOZSLT,X,X,X,O,O,O,X,X
ISTLJZO,X,O,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X,X
ISTJLZO,X,O,X,X,X,X,O,O
ISTJLOZ,X,O,X,X,X,X,O,O
ISTJZLO,X,O,X,X,X,X,X,O
ISTJZOL,X,X,X,X,X,X,X,O
ISTJOLZ,X,O,X,X,X,X,X,O
ISTJOZL,X,O,X,X,X,X,X,O
ISTZLJO,O,O,X,X,X,X,X,X
ISTZLOJ,O,O,X,X,X,X,X,X
ISTZJLO,O,O,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X,X
ISTZOLJ,O,O,X,O,X,X,X,X
ISTZOJL,O,O,X,O,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X,X
ISTOLZJ,O,O,X,O,X,X,X,X
ISTOJLZ,X,O,X,X,X,X,O,X
ISTOJZL,X,O,X,O,X,X,X,X
ISTOZLJ,O,O,X,O,X,X,X,X
ISTOZJL,O,O,X,O,X,X,X,X
ISLTJZO,X,O,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X
ISLTZJO,X,O,X,X,X,X,X,X
ISLTZOJ,X,O,X,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X,X
ISLTOZJ,X,O,X,X,X,X,X,X
ISLJTZO,X,X,X,X,X,X,O,X
ISLJTOZ,X,X,X,X,X,X,O,X
ISLJZTO,X,X,X,X,O,X,O,X
ISLJZOT,X,X,X,X,O,X,O,X
ISLJOTZ,X,X,X,X,X,X,O,X
ISLJOZT,X,X,X,X,X,X,O,X
