sequence,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BFhBaoB+qBcrBXsB,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BGhBaoBUmB1vBXsB
TSOZLIJ,X,O
TSOZLJI,X,O
TSOZJIL,X,O
TSOZJLI,X,O
TZILJSO,X,X
TZILJOS,X,O
TZILSJO,X,X
TZILSOJ,X,X
TZILOJS,X,O
TZILOSJ,X,X
TZIJLSO,X,X
TZIJLOS,X,O
TZIJSLO,X,X
TZIJSOL,X,X
TZIJOLS,X,O
TZIJOSL,X,X
TZISLJO,X,X
TZISLOJ,X,X
TZISJLO,X,X
TZISJOL,X,X
TZISOLJ,X,X
TZISOJL,X,X
TZIOLJS,X,O
TZIOLSJ,X,X
TZIOJLS,X,O
TZIOJSL,X,X
TZIOSLJ,X,X
TZIOSJL,X,X
TZLIJSO,X,X
TZLIJOS,X,O
TZLISJO,X,X
TZLISOJ,X,X
TZLIOJS,X,O
TZLIOSJ,X,X
TZLJISO,X,X
TZLJIOS,X,O
TZLJSIO,X,X
TZLJSOI,X,X
TZLJOIS,X,O
TZLJOSI,X,X
TZLSIJO,X,X
TZLSIOJ,X,X
TZLSJIO,X,X
TZLSJOI,X,X
TZLSOIJ,X,X
TZLSOJI,X,X
TZLOIJS,X,O
TZLOISJ,X,X
TZLOJIS,X,O
TZLOJSI,X,X
TZLOSIJ,X,X
TZLOSJI,X,X
TZJILSO,X,X
TZJILOS,X,O
TZJISLO,X,X
TZJISOL,X,X
TZJIOLS,X,O
TZJIOSL,X,X
TZJLISO,X,X
TZJLIOS,X,O
TZJLSIO,X,X
TZJLSOI,X,X
TZJLOIS,X,O
TZJLOSI,X,X
TZJSILO,X,X
TZJSIOL,X,X
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,O
TZJOISL,X,X
TZJOLIS,X,O
TZJOLSI,X,X
TZJOSIL,X,X
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,X
TZSIJOL,X,X
TZSIOLJ,X,X
TZSIOJL,X,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,X
TZSJIOL,X,X
TZSJLIO,X,X
