sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TJIOZLS,O,X,X,O,X,O
TJIOZSL,X,O,X,O,X,X
TJLISZO,X,X,X,X,X,O
TJLISOZ,X,X,X,X,X,O
TJLIZSO,X,X,X,X,X,O
TJLIZOS,X,X,X,X,X,O
TJLIOSZ,X,X,X,X,X,O
TJLIOZS,X,X,X,X,X,O
TJLSIZO,X,X,X,X,X,O
TJLSIOZ,X,X,X,X,X,O
TJLSZIO,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O
TJLSOZI,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O
TJLZIOS,X,X,X,X,X,O
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O
TJLOIZS,X,X,X,X,X,O
TJLOSIZ,X,X,X,X,X,O
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O
TJLOZSI,X,X,X,X,X,X
TJSILZO,O,O,X,X,X,O
TJSILOZ,X,O,X,X,X,O
TJSIZLO,O,O,X,O,X,X
TJSIZOL,O,O,X,O,X,X
TJSIOLZ,X,O,X,X,X,O
TJSIOZL,X,O,X,O,X,X
TJSLIZO,O,O,X,X,X,O
TJSLIOZ,X,O,X,X,X,O
