sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
IZJLSTO,O,O,O,O,O,X
IZJLSOT,O,O,X,X,O,X
IZJLOTS,O,X,X,X,X,O
IZJLOST,O,O,X,X,O,X
IZJSTLO,O,O,O,O,O,X
IZJSTOL,O,O,X,O,O,X
IZJSLTO,O,O,O,O,O,X
IZJSLOT,O,O,X,X,O,X
IZJSOTL,O,O,X,O,O,X
IZJSOLT,O,O,X,X,O,X
IZJOTLS,O,X,X,O,X,O
IZJOTSL,X,O,X,O,X,X
IZJOLTS,O,X,X,X,X,O
IZJOLST,O,O,X,X,O,X
IZJOSTL,O,O,X,O,X,X
IZJOSLT,O,O,X,X,X,X
IZSTLJO,O,X,O,O,O,X
IZSTLOJ,O,X,O,O,O,X
IZSTJLO,O,O,O,O,O,X
IZSTJOL,O,O,X,O,O,X
IZSTOLJ,O,X,O,O,O,X
IZSTOJL,O,O,X,O,O,X
IZSLTJO,O,X,O,O,O,X
IZSLTOJ,O,X,O,O,O,X
IZSLJTO,O,O,O,O,O,X
IZSLJOT,O,O,X,X,O,X
IZSLOTJ,O,X,O,X,O,X
IZSLOJT,O,O,O,X,O,X
IZSJTLO,O,O,O,O,O,X
IZSJTOL,O,O,X,O,O,X
IZSJLTO,O,O,O,O,O,X
IZSJLOT,O,O,X,X,O,X
IZSJOTL,O,O,X,O,O,X
IZSJOLT,O,O,X,X,O,X
IZSOTLJ,O,X,O,O,O,X
IZSOTJL,O,O,O,O,O,X
IZSOLTJ,O,X,O,X,O,X
IZSOLJT,O,O,O,X,O,X
IZSOJTL,O,O,O,O,O,X
IZSOJLT,O,O,O,X,O,X
IZOTLJS,O,X,X,O,X,O
IZOTLSJ,O,X,O,O,X,O
IZOTJLS,O,X,X,O,X,O
IZOTJSL,X,O,X,O,X,X
IZOTSLJ,O,X,O,O,X,X
IZOTSJL,O,O,O,O,X,X
IZOLTJS,O,X,X,X,X,O
IZOLTSJ,O,X,O,X,X,O
IZOLJTS,O,X,X,X,X,O
IZOLJST,O,O,O,X,O,X
IZOLSTJ,O,X,O,X,O,X
IZOLSJT,O,O,O,X,O,X
IZOJTLS,O,X,X,O,X,O
IZOJTSL,X,O,X,O,X,X
IZOJLTS,O,X,X,X,X,O
IZOJLST,O,O,O,X,O,X
IZOJSTL,O,O,O,O,X,X
IZOJSLT,O,O,O,X,X,X
IZOSTLJ,O,X,O,O,O,X
IZOSTJL,O,O,O,O,O,X
IZOSLTJ,O,X,O,X,O,X
IZOSLJT,O,O,O,X,O,X
IZOSJTL,O,O,O,O,O,X
IZOSJLT,O,O,O,X,O,X
IOTLJSZ,X,X,X,X,X,O
IOTLJZS,X,X,X,X,X,O
IOTLSJZ,X,X,O,X,X,O
IOTLSZJ,X,X,O,O,X,O
IOTLZJS,O,X,X,O,X,O
IOTLZSJ,O,X,O,O,X,O
IOTJLSZ,X,X,X,X,X,O
IOTJLZS,X,X,X,X,X,O
IOTJSLZ,X,O,X,X,X,O
IOTJSZL,X,O,X,O,X,X
IOTJZLS,O,X,X,O,X,O
IOTJZSL,X,O,X,O,X,X
IOTSLJZ,X,O,O,X,X,O
IOTSLZJ,O,X,O,O,X,O
IOTSJLZ,X,O,O,X,X,O
IOTSJZL,X,O,O,O,X,X
IOTSZLJ,O,X,O,O,X,X
IOTSZJL,O,O,O,O,X,X
IOTZLJS,O,X,X,O,X,O
IOTZLSJ,O,X,O,O,X,O
IOTZJLS,O,X,X,O,X,O
IOTZJSL,X,O,X,O,X,X
IOTZSLJ,O,X,O,O,X,X
IOTZSJL,O,O,O,O,X,X
IOLTJSZ,X,X,X,X,X,O
IOLTJZS,X,X,X,X,X,O
IOLTSJZ,X,X,O,X,X,O
IOLTSZJ,X,X,O,X,X,O
IOLTZJS,O,X,X,X,X,O
IOLTZSJ,O,X,O,X,X,O
IOLJTSZ,X,X,X,X,X,O
IOLJTZS,X,X,X,X,X,O
IOLJSTZ,X,O,O,X,X,O
IOLJSZT,X,O,O,X,X,X
IOLJZTS,X,X,X,X,X,O
IOLJZST,X,O,O,X,X,X
IOLSTJZ,X,O,O,X,X,O
IOLSTZJ,X,X,O,X,O,O
IOLSJTZ,X,O,O,X,X,O
IOLSJZT,X,O,O,X,O,X
IOLSZTJ,X,X,O,X,O,X
IOLSZJT,X,O,O,X,O,X
IOLZTJS,O,X,X,X,X,O
IOLZTSJ,O,X,O,X,X,O
IOLZJTS,O,X,X,X,X,O
IOLZJST,O,O,O,X,O,X
IOLZSTJ,O,X,O,X,O,X
IOLZSJT,O,O,O,X,O,X
IOJTLSZ,X,X,X,X,X,O
IOJTLZS,X,X,X,X,X,O
IOJTSLZ,X,O,X,X,X,O
IOJTSZL,X,O,X,X,X,X
IOJTZLS,O,X,X,X,X,O
IOJTZSL,X,O,X,X,X,X
IOJLTSZ,X,X,X,X,X,O
IOJLTZS,X,X,X,X,X,O
IOJLSTZ,X,O,O,X,X,O
IOJLSZT,X,O,O,X,X,X
IOJLZTS,X,X,X,X,X,O
IOJLZST,X,O,O,X,X,X
IOJSTLZ,X,O,O,X,X,O
IOJSTZL,X,O,O,X,X,X
IOJSLTZ,X,O,O,X,X,O
IOJSLZT,X,O,O,X,X,X
IOJSZTL,X,O,O,X,X,X
IOJSZLT,X,O,O,X,X,X
IOJZTLS,O,X,X,X,X,O
IOJZTSL,X,O,X,X,X,X
IOJZLTS,O,X,X,X,X,O
IOJZLST,O,O,O,X,X,X
IOJZSTL,O,O,O,X,X,X
IOJZSLT,O,O,O,X,X,X
IOSTLJZ,X,O,O,X,X,O
IOSTLZJ,O,X,O,O,O,O
IOSTJLZ,X,O,O,X,X,O
IOSTJZL,X,O,O,O,X,X
IOSTZLJ,O,X,O,O,O,X
IOSTZJL,O,O,O,O,O,X
IOSLTJZ,X,O,O,X,X,O
IOSLTZJ,O,X,O,X,O,O
IOSLJTZ,X,O,O,X,X,O
IOSLJZT,X,O,O,X,O,X
IOSLZTJ,O,X,O,X,O,X
IOSLZJT,O,O,O,X,O,X
IOSJTLZ,X,O,O,X,X,O
IOSJTZL,X,O,O,X,X,X
IOSJLTZ,X,O,O,X,X,O
IOSJLZT,X,O,O,X,O,X
IOSJZTL,X,O,O,X,O,X
IOSJZLT,X,O,O,X,O,X
IOSZTLJ,O,X,O,O,O,X
IOSZTJL,O,O,O,O,O,X
IOSZLTJ,O,X,O,X,O,X
IOSZLJT,O,O,O,X,O,X
IOSZJTL,O,O,O,O,O,X
IOSZJLT,O,O,O,X,O,X
IOZTLJS,O,X,X,O,X,O
IOZTLSJ,O,X,O,O,X,O
IOZTJLS,O,X,X,O,X,O
IOZTJSL,X,O,X,O,X,X
IOZTSLJ,O,X,O,O,X,X
IOZTSJL,O,O,O,O,X,X
IOZLTJS,O,X,X,X,X,O
IOZLTSJ,O,X,O,X,X,O
IOZLJTS,O,X,X,X,X,O
IOZLJST,O,O,O,X,O,X
IOZLSTJ,O,X,O,X,O,X
IOZLSJT,O,O,O,X,O,X
IOZJTLS,O,X,X,O,X,O
IOZJTSL,X,O,X,O,X,X
IOZJLTS,O,X,X,X,X,O
IOZJLST,O,O,O,X,O,X
IOZJSTL,O,O,O,O,X,X
IOZJSLT,O,O,O,X,X,X
IOZSTLJ,O,X,O,O,O,X
IOZSTJL,O,O,O,O,O,X
IOZSLTJ,O,X,O,X,O,X
IOZSLJT,O,O,O,X,O,X
IOZSJTL,O,O,O,O,O,X
IOZSJLT,O,O,O,X,O,X
LTIJSZO,X,X,X,X,X,O
LTIJSOZ,X,X,X,X,X,O
LTIJZSO,X,X,X,X,X,O
LTIJZOS,X,X,X,X,X,O
LTIJOSZ,X,X,X,X,X,O
LTIJOZS,X,X,X,X,X,O
LTISJZO,O,X,O,X,X,O
LTISJOZ,X,X,X,X,X,O
LTISZJO,O,X,O,O,O,O
LTISZOJ,O,X,O,O,O,O
LTISOJZ,X,X,O,X,X,O
LTISOZJ,O,X,O,O,O,O
LTIZJSO,X,X,X,O,O,O
LTIZJOS,O,X,X,O,X,O
LTIZSJO,X,X,O,O,O,O
LTIZSOJ,O,X,O,O,O,O
LTIZOJS,O,X,X,O,X,O
LTIZOSJ,O,X,X,O,X,O
LTIOJSZ,X,X,X,X,X,O
LTIOJZS,X,X,X,X,X,O
LTIOSJZ,X,X,O,X,X,O
LTIOSZJ,X,X,O,O,X,O
LTIOZJS,O,X,X,O,X,O
LTIOZSJ,O,X,O,O,X,O
LTJISZO,X,X,X,X,X,O
LTJISOZ,X,X,X,X,X,O
LTJIZSO,X,X,X,X,X,O
LTJIZOS,X,X,X,X,X,O
LTJIOSZ,X,X,X,X,X,O
LTJIOZS,X,X,X,X,X,O
LTJSIZO,X,X,X,X,X,O
LTJSIOZ,X,X,X,X,X,O
LTJSZIO,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O
LTJSOZI,X,X,X,X,X,X
LTJZISO,X,X,X,X,X,O
LTJZIOS,X,X,X,X,X,O
LTJZSIO,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,O
LTJZOSI,X,X,X,X,X,X
LTJOISZ,X,X,X,X,X,O
LTJOIZS,X,X,X,X,X,O
LTJOSIZ,X,X,X,X,X,O
LTJOSZI,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O
LTJOZSI,X,X,X,X,X,X
LTSIJZO,O,X,O,X,X,O
LTSIJOZ,X,X,X,X,X,O
LTSIZJO,O,X,O,O,O,O
LTSIZOJ,O,X,O,O,O,O
LTSIOJZ,X,X,O,X,X,O
LTSIOZJ,O,X,O,O,O,O
LTSJIZO,O,X,O,X,X,O
LTSJIOZ,X,X,X,X,X,O
LTSJZIO,O,X,O,X,X,X
LTSJZOI,O,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,O
LTSJOZI,X,X,X,X,X,X
LTSZIJO,O,X,O,O,O,X
LTSZIOJ,O,X,O,O,O,X
LTSZJIO,O,X,O,O,O,X
LTSZJOI,O,X,X,O,O,X
LTSZOIJ,O,X,O,O,O,X
LTSZOJI,O,X,X,O,O,X
LTSOIJZ,X,X,O,X,X,O
LTSOIZJ,O,X,O,O,O,O
LTSOJIZ,X,X,O,X,X,O
LTSOJZI,X,X,O,X,X,X
LTSOZIJ,O,X,O,O,O,X
LTSOZJI,O,X,O,O,O,X
LTZIJSO,X,X,X,O,O,O
LTZIJOS,O,X,X,O,X,O
LTZISJO,X,X,O,O,O,O
LTZISOJ,O,X,O,O,O,O
LTZIOJS,O,X,X,O,X,O
LTZIOSJ,O,X,X,O,X,O
LTZJISO,X,X,X,O,O,O
LTZJIOS,O,X,X,O,X,O
LTZJSIO,X,X,X,O,O,X
LTZJSOI,X,X,X,O,O,X
LTZJOIS,O,X,X,O,X,O
LTZJOSI,X,X,X,O,X,X
LTZSIJO,X,X,O,O,O,X
LTZSIOJ,O,X,O,O,O,X
LTZSJIO,X,X,O,O,O,X
LTZSJOI,X,X,X,O,O,X
LTZSOIJ,O,X,O,O,O,X
LTZSOJI,X,X,X,O,O,X
LTZOIJS,O,X,X,O,X,O
LTZOISJ,O,X,X,O,X,O
LTZOJIS,O,X,X,O,X,O
LTZOJSI,X,X,X,O,X,X
LTZOSIJ,O,X,X,O,X,X
LTZOSJI,X,X,X,O,X,X
LTOIJSZ,X,X,X,X,X,O
LTOIJZS,X,X,X,X,X,O
LTOISJZ,X,X,O,X,X,O
LTOISZJ,X,X,O,O,X,O
LTOIZJS,O,X,X,O,X,O
LTOIZSJ,O,X,O,O,X,O
LTOJISZ,X,X,X,X,X,O
LTOJIZS,X,X,X,X,X,O
LTOJSIZ,X,X,X,X,X,O
LTOJSZI,X,X,X,X,X,X
LTOJZIS,X,X,X,X,X,O
LTOJZSI,X,X,X,X,X,X
LTOSIJZ,X,X,O,X,X,O
LTOSIZJ,X,X,O,O,X,O
LTOSJIZ,X,X,O,X,X,O
LTOSJZI,X,X,O,X,X,X
LTOSZIJ,X,X,O,O,X,X
LTOSZJI,X,X,O,O,X,X
LTOZIJS,O,X,X,O,X,O
LTOZISJ,O,X,O,O,X,O
LTOZJIS,O,X,X,O,X,O
LTOZJSI,X,X,X,O,X,X
LTOZSIJ,O,X,O,O,X,X
LTOZSJI,X,X,O,O,X,X
LITJSZO,X,X,X,X,X,O
LITJSOZ,X,X,X,X,X,O
LITJZSO,X,X,X,X,X,O
LITJZOS,X,X,X,X,X,O
LITJOSZ,X,X,X,X,X,O
LITJOZS,X,X,X,X,X,O
LITSJZO,O,X,O,X,X,O
LITSJOZ,X,X,X,X,X,O
LITSZJO,O,X,O,O,O,O
LITSZOJ,O,X,O,O,O,O
LITSOJZ,X,X,O,X,X,O
LITSOZJ,O,X,O,O,O,O
LITZJSO,X,X,X,O,O,O
LITZJOS,O,X,X,O,X,O
LITZSJO,X,X,O,O,O,O
LITZSOJ,O,X,O,O,O,O
LITZOJS,O,X,X,O,X,O
LITZOSJ,O,X,X,O,X,O
LITOJSZ,X,X,X,X,X,O
LITOJZS,X,X,X,X,X,O
LITOSJZ,X,X,O,X,X,O
LITOSZJ,X,X,O,O,X,O
LITOZJS,O,X,X,O,X,O
LITOZSJ,O,X,O,O,X,O
LIJTSZO,X,X,X,X,X,O
LIJTSOZ,X,X,X,X,X,O
LIJTZSO,X,X,X,X,X,O
LIJTZOS,X,X,X,X,X,O
LIJTOSZ,X,X,X,X,X,O
LIJTOZS,X,X,X,X,X,O
LIJSTZO,X,O,O,X,X,O
LIJSTOZ,X,O,X,X,X,O
LIJSZTO,X,O,O,X,O,X
LIJSZOT,X,O,X,X,O,X
LIJSOTZ,X,O,O,X,X,O
LIJSOZT,X,O,O,X,O,X
LIJZTSO,X,X,X,X,O,O
LIJZTOS,X,X,X,X,X,O
LIJZSTO,X,O,O,X,O,X
LIJZSOT,X,O,X,X,O,X
LIJZOTS,X,X,X,X,X,O
LIJZOST,X,O,X,X,O,X
LIJOTSZ,X,X,X,X,X,O
LIJOTZS,X,X,X,X,X,O
LIJOSTZ,X,O,O,X,X,O
LIJOSZT,X,O,O,X,X,X
LIJOZTS,X,X,X,X,X,O
LIJOZST,X,O,O,X,X,X
LISTJZO,O,O,O,X,X,O
LISTJOZ,X,O,X,X,X,O
LISTZJO,O,X,O,O,O,O
LISTZOJ,O,X,O,O,O,O
LISTOJZ,X,O,O,X,X,O
LISTOZJ,O,X,O,O,O,O
LISJTZO,O,O,O,X,X,O
LISJTOZ,X,O,X,X,X,O
LISJZTO,O,O,O,X,O,X
LISJZOT,O,O,X,X,O,X
LISJOTZ,X,O,O,X,X,O
LISJOZT,X,O,O,X,O,X
LISZTJO,O,X,O,O,O,X
LISZTOJ,O,X,O,O,O,X
LISZJTO,O,O,O,O,O,X
LISZJOT,O,O,X,X,O,X
LISZOTJ,O,X,O,X,O,X
LISZOJT,O,O,O,X,O,X
LISOTJZ,X,O,O,X,X,O
LISOTZJ,O,X,O,X,O,O
LISOJTZ,X,O,O,X,X,O
LISOJZT,X,O,O,X,O,X
LISOZTJ,O,X,O,X,O,X
LISOZJT,O,O,O,X,O,X
LIZTJSO,X,X,X,O,O,O
LIZTJOS,O,X,X,O,X,O
LIZTSJO,O,X,O,O,O,O
LIZTSOJ,O,X,O,O,O,O
LIZTOJS,O,X,X,O,X,O
LIZTOSJ,O,X,X,O,X,O
LIZJTSO,X,X,X,O,O,O
LIZJTOS,O,X,X,O,X,O
LIZJSTO,O,O,O,O,O,X
LIZJSOT,O,O,X,X,O,X
LIZJOTS,O,X,X,X,X,O
LIZJOST,O,O,X,X,O,X
LIZSTJO,O,X,O,O,O,X
LIZSTOJ,O,X,O,O,O,X
LIZSJTO,O,O,O,O,O,X
LIZSJOT,O,O,X,X,O,X
LIZSOTJ,O,X,O,X,O,X
LIZSOJT,O,O,O,X,O,X
LIZOTJS,O,X,X,X,X,O
LIZOTSJ,O,X,O,X,X,O
LIZOJTS,O,X,X,X,X,O
LIZOJST,O,O,O,X,O,X
LIZOSTJ,O,X,O,X,O,X
LIZOSJT,O,O,O,X,O,X
LIOTJSZ,X,X,X,X,X,O
LIOTJZS,X,X,X,X,X,O
LIOTSJZ,X,X,O,X,X,O
LIOTSZJ,X,X,O,X,X,O
LIOTZJS,O,X,X,X,X,O
LIOTZSJ,O,X,O,X,X,O
LIOJTSZ,X,X,X,X,X,O
LIOJTZS,X,X,X,X,X,O
LIOJSTZ,X,O,O,X,X,O
LIOJSZT,X,O,O,X,X,X
LIOJZTS,X,X,X,X,X,O
LIOJZST,X,O,O,X,X,X
LIOSTJZ,X,O,O,X,X,O
LIOSTZJ,X,X,O,X,O,O
LIOSJTZ,X,O,O,X,X,O
LIOSJZT,X,O,O,X,O,X
LIOSZTJ,X,X,O,X,O,X
LIOSZJT,X,O,O,X,O,X
LIOZTJS,O,X,X,X,X,O
LIOZTSJ,O,X,O,X,X,O
LIOZJTS,O,X,X,X,X,O
LIOZJST,O,O,O,X,O,X
LIOZSTJ,O,X,O,X,O,X
LIOZSJT,O,O,O,X,O,X
LJTISZO,X,X,X,X,X,O
LJTISOZ,X,X,X,X,X,O
LJTIZSO,X,X,X,X,X,O
LJTIZOS,X,X,X,X,X,O
LJTIOSZ,X,X,X,X,X,O
LJTIOZS,X,X,X,X,X,O
LJTSIZO,X,X,X,X,X,O
LJTSIOZ,X,X,X,X,X,O
LJTSZIO,X,X,X,X,X,X
LJTSZOI,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,O
LJTSOZI,X,X,X,X,X,X
LJTZISO,X,X,X,X,X,O
LJTZIOS,X,X,X,X,X,O
LJTZSIO,X,X,X,X,X,X
LJTZSOI,X,X,X,X,X,X
LJTZOIS,X,X,X,X,X,O
LJTZOSI,X,X,X,X,X,X
LJTOISZ,X,X,X,X,X,O
LJTOIZS,X,X,X,X,X,O
LJTOSIZ,X,X,X,X,X,O
LJTOSZI,X,X,X,X,X,X
LJTOZIS,X,X,X,X,X,O
LJTOZSI,X,X,X,X,X,X
LJITSZO,X,X,X,X,X,O
LJITSOZ,X,X,X,X,X,O
LJITZSO,X,X,X,X,X,O
LJITZOS,X,X,X,X,X,O
LJITOSZ,X,X,X,X,X,O
LJITOZS,X,X,X,X,X,O
LJISTZO,X,O,O,X,X,O
LJISTOZ,X,O,X,X,X,O
LJISZTO,X,O,O,X,O,X
LJISZOT,X,O,X,X,O,X
LJISOTZ,X,O,O,X,X,O
LJISOZT,X,O,O,X,O,X
LJIZTSO,X,X,X,X,O,O
LJIZTOS,X,X,X,X,X,O
LJIZSTO,X,O,O,X,O,X
LJIZSOT,X,O,X,X,O,X
LJIZOTS,X,X,X,X,X,O
LJIZOST,X,O,X,X,O,X
LJIOTSZ,X,X,X,X,X,O
LJIOTZS,X,X,X,X,X,O
LJIOSTZ,X,O,O,X,X,O
LJIOSZT,X,O,O,X,X,X
LJIOZTS,X,X,X,X,X,O
LJIOZST,X,O,O,X,X,X
LJSTIZO,X,O,O,X,X,O
LJSTIOZ,X,O,X,X,X,O
LJSTZIO,X,O,O,X,X,X
LJSTZOI,X,O,X,X,X,X
LJSTOIZ,X,O,X,X,X,O
LJSTOZI,X,O,X,X,X,X
LJSITZO,X,O,O,X,X,O
LJSITOZ,X,O,X,X,X,O
LJSIZTO,X,O,O,X,O,X
LJSIZOT,X,O,X,X,O,X
LJSIOTZ,X,O,O,X,X,O
LJSIOZT,X,O,O,X,O,X
LJSZTIO,X,O,O,X,O,X
LJSZTOI,X,O,X,X,O,X
LJSZITO,X,O,O,X,O,X
LJSZIOT,X,O,X,X,O,X
LJSZOTI,X,O,X,X,O,X
LJSZOIT,X,O,X,X,O,X
LJSOTIZ,X,O,O,X,X,O
LJSOTZI,X,O,O,X,X,X
LJSOITZ,X,O,O,X,X,O
LJSOIZT,X,O,O,X,O,X
LJSOZTI,X,O,O,X,O,X
LJSOZIT,X,O,O,X,O,X
LJZTISO,X,X,X,X,O,O
LJZTIOS,X,X,X,X,X,O
LJZTSIO,X,X,X,X,O,X
LJZTSOI,X,X,X,X,O,X
LJZTOIS,X,X,X,X,X,O
LJZTOSI,X,X,X,X,X,X
LJZITSO,X,X,X,X,O,O
LJZITOS,X,X,X,X,X,O
LJZISTO,X,O,O,X,O,X
LJZISOT,X,O,X,X,O,X
LJZIOTS,X,X,X,X,X,O
LJZIOST,X,O,X,X,O,X
LJZSTIO,X,O,O,X,O,X
LJZSTOI,X,O,X,X,O,X
LJZSITO,X,O,O,X,O,X
LJZSIOT,X,O,X,X,O,X
LJZSOTI,X,O,X,X,O,X
LJZSOIT,X,O,X,X,O,X
LJZOTIS,X,X,X,X,X,O
LJZOTSI,X,X,X,X,X,X
LJZOITS,X,X,X,X,X,O
LJZOIST,X,O,X,X,O,X
LJZOSTI,X,O,X,X,O,X
LJZOSIT,X,O,X,X,O,X
LJOTISZ,X,X,X,X,X,O
LJOTIZS,X,X,X,X,X,O
LJOTSIZ,X,X,X,X,X,O
LJOTSZI,X,X,X,X,X,X
LJOTZIS,X,X,X,X,X,O
LJOTZSI,X,X,X,X,X,X
LJOITSZ,X,X,X,X,X,O
LJOITZS,X,X,X,X,X,O
LJOISTZ,X,O,O,X,X,O
LJOISZT,X,O,O,X,X,X
LJOIZTS,X,X,X,X,X,O
LJOIZST,X,O,O,X,X,X
LJOSTIZ,X,O,O,X,X,O
LJOSTZI,X,O,O,X,X,X
LJOSITZ,X,O,O,X,X,O
LJOSIZT,X,O,O,X,X,X
LJOSZTI,X,O,O,X,X,X
LJOSZIT,X,O,O,X,X,X
LJOZTIS,X,X,X,X,X,O
LJOZTSI,X,X,X,X,X,X
LJOZITS,X,X,X,X,X,O
LJOZIST,X,O,O,X,X,X
LJOZSTI,X,O,O,X,X,X
LJOZSIT,X,O,O,X,X,X
LSTIJZO,O,O,O,X,X,O
LSTIJOZ,X,O,X,X,X,O
LSTIZJO,O,X,O,O,O,O
LSTIZOJ,O,X,O,O,O,O
LSTIOJZ,X,O,O,X,X,O
LSTIOZJ,O,X,O,O,O,O
LSTJIZO,O,O,O,X,X,O
LSTJIOZ,X,O,X,X,X,O
LSTJZIO,O,O,O,X,X,X
LSTJZOI,O,O,X,X,X,X
LSTJOIZ,X,O,X,X,X,O
LSTJOZI,X,O,X,X,X,X
LSTZIJO,O,X,O,O,O,X
LSTZIOJ,O,X,O,O,O,X
LSTZJIO,O,X,O,O,O,X
LSTZJOI,O,X,X,O,O,X
LSTZOIJ,O,X,O,O,O,X
LSTZOJI,O,X,X,O,O,X
LSTOIJZ,X,O,O,X,X,O
LSTOIZJ,O,X,O,O,O,O
LSTOJIZ,X,O,O,X,X,O
LSTOJZI,X,O,O,X,X,X
LSTOZIJ,O,X,O,O,O,X
LSTOZJI,O,X,O,O,O,X
LSITJZO,O,O,O,X,X,O
LSITJOZ,X,O,X,X,X,O
LSITZJO,O,X,O,O,O,O
LSITZOJ,O,X,O,O,O,O
LSITOJZ,X,O,O,X,X,O
LSITOZJ,O,X,O,O,O,O
LSIJTZO,O,O,O,X,X,O
LSIJTOZ,X,O,X,X,X,O
LSIJZTO,O,O,O,X,O,X
LSIJZOT,O,O,X,X,O,X
LSIJOTZ,X,O,O,X,X,O
LSIJOZT,X,O,O,X,O,X
LSIZTJO,O,X,O,O,O,X
LSIZTOJ,O,X,O,O,O,X
LSIZJTO,O,O,O,O,O,X
LSIZJOT,O,O,X,X,O,X
LSIZOTJ,O,X,O,X,O,X
LSIZOJT,O,O,O,X,O,X
LSIOTJZ,X,O,O,X,X,O
LSIOTZJ,O,X,O,X,O,O
LSIOJTZ,X,O,O,X,X,O
LSIOJZT,X,O,O,X,O,X
LSIOZTJ,O,X,O,X,O,X
LSIOZJT,O,O,O,X,O,X
LSJTIZO,O,O,O,X,X,O
LSJTIOZ,X,O,X,X,X,O
LSJTZIO,O,O,O,X,X,X
LSJTZOI,O,O,X,X,X,X
LSJTOIZ,X,O,X,X,X,O
LSJTOZI,X,O,X,X,X,X
LSJITZO,O,O,O,X,X,O
LSJITOZ,X,O,X,X,X,O
LSJIZTO,O,O,O,X,O,X
LSJIZOT,O,O,X,X,O,X
LSJIOTZ,X,O,O,X,X,O
LSJIOZT,X,O,O,X,O,X
LSJZTIO,O,O,O,X,O,X
LSJZTOI,O,O,X,X,O,X
LSJZITO,O,O,O,X,O,X
LSJZIOT,O,O,X,X,O,X
LSJZOTI,O,O,X,X,O,X
LSJZOIT,O,O,X,X,O,X
LSJOTIZ,X,O,O,X,X,O
LSJOTZI,X,O,O,X,X,X
LSJOITZ,X,O,O,X,X,O
LSJOIZT,X,O,O,X,O,X
LSJOZTI,X,O,O,X,O,X
LSJOZIT,X,O,O,X,O,X
LSZTIJO,O,X,O,O,O,X
LSZTIOJ,O,X,O,O,O,X
LSZTJIO,O,X,O,O,O,X
LSZTJOI,O,X,X,O,O,X
LSZTOIJ,O,X,O,O,O,X
LSZTOJI,O,X,X,O,O,X
LSZITJO,O,X,O,O,O,X
LSZITOJ,O,X,O,O,O,X
LSZIJTO,O,O,O,O,O,X
LSZIJOT,O,O,X,X,O,X
LSZIOTJ,O,X,O,X,O,X
LSZIOJT,O,O,O,X,O,X
LSZJTIO,O,O,O,O,O,X
LSZJTOI,O,O,X,O,O,X
LSZJITO,O,O,O,O,O,X
LSZJIOT,O,O,X,X,O,X
LSZJOTI,O,O,X,X,O,X
LSZJOIT,O,O,X,X,O,X
LSZOTIJ,O,X,O,X,O,X
LSZOTJI,O,X,O,X,O,X
LSZOITJ,O,X,O,X,O,X
LSZOIJT,O,O,O,X,O,X
LSZOJTI,O,O,O,X,O,X
LSZOJIT,O,O,O,X,O,X
LSOTIJZ,X,O,O,X,X,O
LSOTIZJ,O,X,O,X,O,O
LSOTJIZ,X,O,O,X,X,O
LSOTJZI,X,O,O,X,X,X
LSOTZIJ,O,X,O,X,O,X
LSOTZJI,O,X,O,X,O,X
LSOITJZ,X,O,O,X,X,O
LSOITZJ,O,X,O,X,O,O
LSOIJTZ,X,O,O,X,X,O
LSOIJZT,X,O,O,X,O,X
LSOIZTJ,O,X,O,X,O,X
LSOIZJT,O,O,O,X,O,X
LSOJTIZ,X,O,O,X,X,O
LSOJTZI,X,O,O,X,X,X
LSOJITZ,X,O,O,X,X,O
LSOJIZT,X,O,O,X,O,X
LSOJZTI,X,O,O,X,O,X
LSOJZIT,X,O,O,X,O,X
LSOZTIJ,O,X,O,X,O,X
LSOZTJI,O,X,O,X,O,X
LSOZITJ,O,X,O,X,O,X
LSOZIJT,O,O,O,X,O,X
LSOZJTI,O,O,O,X,O,X
LSOZJIT,O,O,O,X,O,X
LZTIJSO,X,X,X,O,O,O
LZTIJOS,O,X,X,O,X,O
LZTISJO,O,X,O,O,O,O
LZTISOJ,O,X,O,O,O,O
LZTIOJS,O,X,X,O,X,O
LZTIOSJ,O,X,X,O,X,O
LZTJISO,X,X,X,O,O,O
LZTJIOS,O,X,X,O,X,O
LZTJSIO,X,X,X,O,O,X
LZTJSOI,X,X,X,O,O,X
LZTJOIS,O,X,X,O,X,O
LZTJOSI,X,X,X,O,X,X
LZTSIJO,O,X,O,O,O,X
LZTSIOJ,O,X,O,O,O,X
LZTSJIO,O,X,O,O,O,X
