sequence,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBFiB6oB8?qB+rBzsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBUiBGjB6?rBVtBzqB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFFhBXiBTjB0?lBWtBSwB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gBUiBFjBT?mBStBWwB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF3gB8nB+oBl?mBzqBCsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFXiB8nB+oBl?lBTrBCrB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhF8nB+oBllB3?mBzqBCsB,v115@+gB8HeA8IeB8CeA8DeB8CeD8JeZEJvhFFhBXiB8nB+?oB6qBTrB
TZJSOIL,O,O,O,O,X,O,O,X
TZJSOLI,O,O,O,X,X,X,X,X
TZJOILS,O,O,O,X,X,X,X,X
TZJOISL,O,O,O,O,X,O,O,X
TZJOLIS,O,O,O,X,X,X,X,X
TZJOLSI,O,O,O,X,X,X,X,X
TZJOSIL,O,O,O,O,X,O,O,X
TZJOSLI,O,O,O,X,X,X,X,X
TZSILJO,O,O,O,O,X,X,X,X
TZSILOJ,X,O,X,O,X,X,X,X
TZSIJLO,O,O,O,O,X,X,O,X
TZSIJOL,O,O,O,O,X,X,O,X
TZSIOLJ,O,O,X,O,X,X,X,X
TZSIOJL,O,O,O,O,X,X,X,X
TZSLIJO,O,O,O,O,X,X,X,X
TZSLIOJ,X,O,X,O,X,X,X,X
TZSLJIO,O,O,O,O,X,X,X,X
TZSLJOI,O,O,O,X,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,X,X
TZSLOJI,X,O,X,X,X,X,X,X
TZSJILO,O,O,O,O,X,X,O,X
TZSJIOL,O,O,O,O,X,X,O,X
TZSJLIO,O,O,O,O,X,X,O,X
TZSJLOI,O,O,O,X,X,X,X,X
TZSJOIL,O,O,O,O,X,X,O,X
TZSJOLI,O,O,O,X,X,X,X,X
TZSOILJ,O,O,X,O,X,X,X,X
TZSOIJL,O,O,O,O,X,X,X,X
TZSOLIJ,O,O,X,X,X,X,X,X
TZSOLJI,O,O,X,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X
TZOILJS,O,O,X,X,X,X,X,X
TZOILSJ,O,O,X,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,X
TZOIJSL,O,O,O,O,X,X,X,X
TZOISLJ,O,O,X,O,X,X,X,X
TZOISJL,O,O,O,O,X,X,X,X
TZOLIJS,O,O,X,X,X,X,X,X
TZOLISJ,O,O,X,X,X,X,X,X
TZOLJIS,O,O,X,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,X,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,O,O,O,X,X,X,X,X
TZOJISL,O,O,O,O,X,X,X,X
TZOJLIS,O,O,O,X,X,X,X,X
TZOJLSI,O,O,O,X,X,X,X,X
TZOJSIL,O,O,O,O,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X
TZOSILJ,O,O,X,O,X,X,X,X
TZOSIJL,O,O,O,O,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X
TOILJSZ,O,O,X,X,O,X,X,X
TOILJZS,O,O,X,X,O,O,X,O
TOILSJZ,O,O,X,X,O,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,O,X,X,X
TOIJLZS,O,O,X,X,O,O,X,O
TOIJSLZ,O,O,X,X,O,X,X,X
TOIJSZL,O,O,X,X,O,O,O,O
TOIJZLS,O,O,X,X,O,O,X,O
TOIJZSL,O,O,X,X,O,O,O,O
TOISLJZ,O,O,X,X,O,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,X,X,O,X,X,X
TOISJZL,O,O,X,X,O,O,O,O
TOISZLJ,O,O,X,X,X,X,X,X
TOISZJL,O,O,X,X,O,X,X,X
TOIZLJS,O,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,X,X,X
TOIZJLS,O,O,X,X,O,O,X,O
TOIZJSL,O,O,X,X,O,O,X,O
TOIZSLJ,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,X,O,X,X,X
TOLIJSZ,O,O,X,X,O,X,X,X
TOLIJZS,O,O,X,X,O,O,X,O
TOLISJZ,O,O,X,X,O,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,O,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,X,X,X
TOLJISZ,O,O,X,X,O,X,X,X
TOLJIZS,O,O,X,X,O,O,X,O
TOLJSIZ,O,O,X,X,O,X,X,X
TOLJSZI,O,O,X,X,O,X,X,X
TOLJZIS,O,O,X,X,O,O,X,O
TOLJZSI,O,O,X,X,O,O,X,O
TOLSIJZ,O,O,X,X,O,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,O,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X
TOLSZIJ,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,X,X,X,X
TOLZJIS,O,O,X,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X
TOLZSIJ,O,O,X,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,O,O,X,X,O,X,X,X
TOJILZS,O,O,X,X,O,O,X,O
TOJISLZ,O,O,X,X,O,X,X,X
TOJISZL,O,O,X,X,O,O,O,O
TOJIZLS,O,O,X,X,O,O,X,O
TOJIZSL,O,O,X,X,O,O,O,O
TOJLISZ,O,O,X,X,O,X,X,X
TOJLIZS,O,O,X,X,O,O,X,O
TOJLSIZ,O,O,X,X,O,X,X,X
TOJLSZI,O,O,X,X,O,X,X,X
TOJLZIS,O,O,X,X,O,O,X,O
TOJLZSI,O,O,X,X,O,O,X,O
TOJSILZ,O,O,X,X,O,X,X,X
TOJSIZL,O,O,X,X,O,O,O,O
TOJSLIZ,O,O,X,X,O,X,X,X
TOJSLZI,O,O,X,X,O,X,X,X
TOJSZIL,O,O,X,X,O,O,O,O
TOJSZLI,O,O,X,X,O,O,X,O
TOJZILS,O,O,X,X,O,O,X,O
TOJZISL,O,O,X,X,O,O,O,O
TOJZLIS,O,O,X,X,O,O,X,O
TOJZLSI,O,O,X,X,O,O,X,O
TOJZSIL,O,O,X,X,O,O,O,O
TOJZSLI,O,O,X,X,O,O,X,O
TOSILJZ,O,O,X,X,O,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,O,X,X,X
TOSIJZL,O,O,X,X,O,O,O,O
TOSIZLJ,O,O,X,X,X,X,X,X
TOSIZJL,O,O,X,X,O,X,X,X
TOSLIJZ,O,O,X,X,O,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,O,X,X,X
TOSLJZI,O,O,X,X,O,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,O,O,X,X,O,X,X,X
TOSJIZL,O,O,X,X,O,O,O,O
TOSJLIZ,O,O,X,X,O,X,X,X
TOSJLZI,O,O,X,X,O,X,X,X
TOSJZIL,O,O,X,X,O,O,O,O
TOSJZLI,O,O,X,X,O,O,X,O
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,O,X,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X
TOSZJIL,O,O,X,X,O,X,X,X
TOSZJLI,O,O,X,X,O,X,X,X
TOZILJS,O,O,X,X,X,X,X,X
TOZILSJ,O,O,X,X,X,X,X,X
TOZIJLS,O,O,X,X,O,O,X,O
TOZIJSL,O,O,X,X,O,O,X,O
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,O,X,X,X
TOZLIJS,O,O,X,X,X,X,X,X
TOZLISJ,O,O,X,X,X,X,X,X
TOZLJIS,O,O,X,X,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,X,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X
TOZJILS,O,O,X,X,O,O,X,O
TOZJISL,O,O,X,X,O,O,X,O
TOZJLIS,O,O,X,X,O,O,X,O
TOZJLSI,O,O,X,X,O,O,X,O
TOZJSIL,O,O,X,X,O,O,X,O
TOZJSLI,O,O,X,X,O,O,X,O
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,O,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,O,X,X,X
TOZSJLI,O,O,X,X,O,X,X,X
ITLJSZO,O,O,O,O,X,X,O,O
ITLJSOZ,X,O,O,O,X,X,X,X
ITLJZSO,O,O,O,O,X,O,O,O
ITLJZOS,O,O,O,O,X,X,X,O
ITLJOSZ,O,O,O,O,X,X,X,O
ITLJOZS,O,O,O,O,X,X,X,O
ITLSJZO,O,O,O,O,X,X,O,O
ITLSJOZ,X,O,O,O,X,X,X,X
ITLSZJO,O,O,O,O,X,X,X,X
ITLSZOJ,X,O,O,O,X,X,X,X
ITLSOJZ,X,O,O,O,X,X,X,X
ITLSOZJ,X,O,X,O,X,X,X,X
ITLZJSO,O,O,O,O,X,X,X,O
ITLZJOS,O,O,O,O,X,X,X,O
ITLZSJO,O,O,O,O,X,X,X,X
ITLZSOJ,X,O,O,O,X,X,X,X
ITLZOJS,X,O,O,O,X,X,X,X
ITLZOSJ,X,O,O,O,X,X,X,X
ITLOJSZ,O,O,X,O,X,X,X,O
ITLOJZS,O,O,X,O,X,X,X,O
ITLOSJZ,O,O,X,O,X,X,X,O
ITLOSZJ,X,O,X,O,X,X,X,X
ITLOZJS,O,O,X,O,X,X,X,O
ITLOZSJ,X,O,X,O,X,X,X,X
ITJLSZO,O,O,O,O,X,X,O,O
ITJLSOZ,X,O,O,O,X,X,X,X
ITJLZSO,O,O,O,O,X,O,O,O
ITJLZOS,O,O,O,O,X,X,X,O
ITJLOSZ,O,O,O,O,X,X,X,O
ITJLOZS,O,O,O,O,X,X,X,O
ITJSLZO,O,O,O,O,X,X,O,X
ITJSLOZ,X,O,O,O,X,X,X,X
ITJSZLO,O,O,O,O,X,O,O,X
ITJSZOL,O,O,O,O,X,O,O,X
ITJSOLZ,O,O,O,X,X,X,X,X
ITJSOZL,O,O,O,X,X,X,O,X
ITJZLSO,O,O,O,O,X,O,O,O
ITJZLOS,O,O,O,O,X,X,X,O
ITJZSLO,O,O,O,O,X,O,O,O
ITJZSOL,O,O,O,O,X,O,O,O
ITJZOLS,O,O,O,X,O,O,X,O
ITJZOSL,O,O,O,O,O,O,O,O
ITJOLSZ,O,O,O,O,O,X,X,X
ITJOLZS,O,O,O,O,O,O,X,O
ITJOSLZ,O,O,O,O,O,X,X,X
ITJOSZL,O,O,O,O,O,O,O,O
ITJOZLS,O,O,O,O,O,O,X,O
ITJOZSL,O,O,O,O,O,O,O,O
ITSLJZO,O,O,O,O,X,X,O,X
ITSLJOZ,X,O,O,O,X,X,X,X
ITSLZJO,O,O,O,O,X,X,X,X
ITSLZOJ,X,O,O,O,X,X,X,X
ITSLOJZ,X,O,O,O,X,X,X,X
ITSLOZJ,X,O,X,O,X,X,X,X
ITSJLZO,O,O,O,O,X,X,O,X
ITSJLOZ,X,O,O,O,X,X,X,X
ITSJZLO,O,O,O,O,X,O,O,X
ITSJZOL,O,O,O,O,X,O,O,X
ITSJOLZ,O,O,O,X,X,X,X,X
ITSJOZL,O,O,O,X,X,X,O,X
ITSZLJO,O,O,O,O,X,X,X,X
ITSZLOJ,X,O,X,O,X,X,X,X
ITSZJLO,O,O,O,O,X,X,O,X
ITSZJOL,O,O,O,O,X,X,O,X
ITSZOLJ,O,O,X,O,X,X,X,X
ITSZOJL,O,O,O,O,X,X,X,X
ITSOLJZ,O,O,X,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X,X
ITSOJZL,O,O,O,X,X,X,O,X
ITSOZLJ,O,O,X,X,X,X,X,X
ITSOZJL,O,O,X,X,X,X,X,X
ITZLJSO,O,O,O,O,X,X,X,X
ITZLJOS,O,O,O,O,X,X,X,X
ITZLSJO,O,O,O,O,X,X,X,X
ITZLSOJ,X,O,O,O,X,X,X,X
ITZLOJS,X,O,O,O,X,X,X,X
ITZLOSJ,X,O,O,O,X,X,X,X
ITZJLSO,O,O,O,O,X,O,O,X
ITZJLOS,O,O,O,O,X,X,X,X
ITZJSLO,O,O,O,O,X,O,O,X
ITZJSOL,O,O,O,O,X,O,O,X
ITZJOLS,O,O,O,X,X,X,X,X
ITZJOSL,O,O,O,O,X,O,O,X
ITZSLJO,O,O,O,O,X,X,X,X
ITZSLOJ,X,O,X,O,X,X,X,X
ITZSJLO,O,O,O,O,X,X,O,X
ITZSJOL,O,O,O,O,X,X,O,X
ITZSOLJ,O,O,X,O,X,X,X,X
ITZSOJL,O,O,O,O,X,X,X,X
ITZOLJS,O,O,X,X,X,X,X,X
ITZOLSJ,O,O,X,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,X
ITZOJSL,O,O,O,O,X,X,X,X
ITZOSLJ,O,O,X,O,X,X,X,X
ITZOSJL,O,O,O,O,X,X,X,X
ITOLJSZ,O,O,X,X,O,X,X,X
ITOLJZS,O,O,X,X,O,O,X,O
ITOLSJZ,O,O,X,X,O,X,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,O,X,X,X
ITOJLZS,O,O,X,X,O,O,X,O
ITOJSLZ,O,O,X,X,O,X,X,X
ITOJSZL,O,O,X,X,O,O,O,O
ITOJZLS,O,O,X,X,O,O,X,O
ITOJZSL,O,O,X,X,O,O,O,O
ITOSLJZ,O,O,X,X,O,X,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,O,X,X,X
ITOSJZL,O,O,X,X,O,O,O,O
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,O,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,O,O,X,O
ITOZJSL,O,O,X,X,O,O,X,O
ITOZSLJ,O,O,X,X,X,X,X,X
ITOZSJL,O,O,X,X,O,X,X,X
ILTJSZO,O,O,O,O,X,X,O,O
ILTJSOZ,X,O,O,O,X,X,X,X
ILTJZSO,O,O,O,O,X,O,O,O
ILTJZOS,O,O,O,O,X,X,X,O
ILTJOSZ,O,O,O,O,X,X,X,O
ILTJOZS,O,O,O,O,X,X,X,O
ILTSJZO,O,O,O,O,X,X,O,O
ILTSJOZ,X,O,O,O,X,X,X,X
ILTSZJO,O,O,O,O,X,X,X,X
ILTSZOJ,X,O,O,O,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X,X
ILTSOZJ,X,O,X,O,X,X,X,X
ILTZJSO,O,O,O,O,X,X,X,O
ILTZJOS,O,O,O,O,X,X,X,O
ILTZSJO,O,O,O,O,X,X,X,X
ILTZSOJ,X,O,O,O,X,X,X,X
ILTZOJS,X,O,O,O,X,X,X,X
ILTZOSJ,X,O,O,O,X,X,X,X
ILTOJSZ,O,O,X,O,X,X,X,O
ILTOJZS,O,O,X,O,X,X,X,O
ILTOSJZ,O,O,X,O,X,X,X,O
ILTOSZJ,X,O,X,O,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,O
ILTOZSJ,X,O,X,O,X,X,X,X
ILJTSZO,O,O,O,O,X,X,O,O
ILJTSOZ,X,O,O,O,X,X,X,X
ILJTZSO,O,O,O,O,X,O,O,O
ILJTZOS,O,O,O,O,X,X,X,O
ILJTOSZ,O,O,O,O,X,X,X,O
ILJTOZS,O,O,O,O,X,X,X,O
ILJSTZO,O,O,O,O,X,X,O,O
ILJSTOZ,X,O,O,O,X,X,X,X
ILJSZTO,O,O,O,O,X,X,O,O
ILJSZOT,O,X,O,O,X,X,X,O
ILJSOTZ,X,X,O,O,X,X,X,O
ILJSOZT,X,X,O,O,X,X,X,O
ILJZTSO,O,O,O,O,X,O,O,O
ILJZTOS,O,O,O,O,X,X,X,O
ILJZSTO,O,O,O,O,X,O,O,O
ILJZSOT,O,X,O,O,X,O,X,O
ILJZOTS,O,X,O,O,O,O,X,O
ILJZOST,O,X,O,O,O,O,X,O
ILJOTSZ,O,X,O,O,O,X,X,O
ILJOTZS,O,X,O,O,O,O,X,O
ILJOSTZ,O,X,O,O,O,X,X,O
ILJOSZT,O,X,O,O,O,X,X,O
ILJOZTS,O,X,O,O,O,O,X,O
ILJOZST,O,X,O,O,O,O,X,O
ILSTJZO,O,O,O,O,X,X,O,O
ILSTJOZ,X,O,O,O,X,X,X,X
ILSTZJO,O,O,O,O,X,X,X,X
ILSTZOJ,X,O,O,O,X,X,X,X
ILSTOJZ,X,O,O,O,X,X,X,X
ILSTOZJ,X,O,X,O,X,X,X,X
ILSJTZO,O,O,O,O,X,X,O,O
ILSJTOZ,X,O,O,O,X,X,X,X
ILSJZTO,O,O,O,O,X,X,O,O
ILSJZOT,O,X,O,O,X,X,X,O
ILSJOTZ,X,X,O,O,X,X,X,O
ILSJOZT,X,X,O,O,X,X,X,O
ILSZTJO,O,O,O,O,X,X,X,X
ILSZTOJ,X,O,O,O,X,X,X,X
ILSZJTO,O,O,O,O,X,X,X,X
ILSZJOT,O,X,O,O,X,X,X,X
ILSZOTJ,O,O,O,O,X,X,X,X
ILSZOJT,O,X,O,X,X,X,X,X
ILSOTJZ,X,O,O,O,X,X,X,O
ILSOTZJ,O,O,X,O,X,X,X,X
ILSOJTZ,X,X,O,O,X,X,X,O
ILSOJZT,O,X,O,O,X,X,X,O
ILSOZTJ,O,O,O,O,X,X,X,X
ILSOZJT,O,X,O,X,X,X,X,X
ILZTJSO,O,O,O,O,X,X,X,O
ILZTJOS,O,O,O,O,X,X,X,O
ILZTSJO,O,O,O,O,X,X,X,X
ILZTSOJ,X,O,O,O,X,X,X,X
ILZTOJS,X,O,O,O,X,X,X,X
ILZTOSJ,X,O,O,O,X,X,X,X
ILZJTSO,O,O,O,O,X,X,X,O
ILZJTOS,O,O,O,O,X,X,X,O
ILZJSTO,O,O,O,O,X,X,X,O
ILZJSOT,O,X,O,O,X,X,X,O
ILZJOTS,O,X,O,O,X,X,X,O
ILZJOST,O,X,O,O,X,X,X,O
ILZSTJO,O,O,O,O,X,X,X,X
ILZSTOJ,X,O,O,O,X,X,X,X
ILZSJTO,O,O,O,O,X,X,X,X
ILZSJOT,O,X,O,O,X,X,X,X
ILZSOTJ,O,O,O,O,X,X,X,X
ILZSOJT,O,X,O,X,X,X,X,X
ILZOTJS,O,O,O,O,X,X,X,O
ILZOTSJ,O,O,O,O,X,X,X,X
ILZOJTS,O,X,O,O,X,X,X,O
ILZOJST,O,X,O,O,X,X,X,O
ILZOSTJ,O,O,O,O,X,X,X,X
ILZOSJT,O,X,O,X,X,X,X,X
ILOTJSZ,O,O,X,O,O,X,X,O
ILOTJZS,O,O,X,O,O,O,X,O
ILOTSJZ,O,O,X,O,O,X,X,O
ILOTSZJ,O,O,X,O,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,O
ILOTZSJ,O,O,X,O,X,X,X,X
ILOJTSZ,O,O,O,O,O,X,X,O
ILOJTZS,O,O,O,O,O,O,X,O
ILOJSTZ,O,O,O,O,O,X,X,O
ILOJSZT,O,O,O,O,O,X,X,O
ILOJZTS,O,O,O,O,O,O,X,O
ILOJZST,O,O,O,O,O,O,X,O
ILOSTJZ,O,O,O,O,O,X,X,O
ILOSTZJ,O,O,X,O,X,X,X,X
ILOSJTZ,O,O,O,O,O,X,X,O
ILOSJZT,O,O,O,O,O,X,X,O
ILOSZTJ,O,O,O,O,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X
ILOZTJS,O,O,O,O,X,X,X,O
ILOZTSJ,O,O,O,O,X,X,X,X
ILOZJTS,O,O,O,O,X,X,X,O
ILOZJST,O,O,O,O,X,X,X,O
ILOZSTJ,O,O,O,O,X,X,X,X
ILOZSJT,O,O,O,X,X,X,X,X
IJTLSZO,O,O,O,O,X,X,O,O
IJTLSOZ,X,O,O,O,X,X,X,X
IJTLZSO,O,O,O,O,X,O,O,O
IJTLZOS,O,O,O,O,X,X,X,O
IJTLOSZ,O,O,O,O,X,X,X,O
IJTLOZS,O,O,O,O,X,X,X,O
IJTSLZO,O,O,O,O,X,X,O,X
IJTSLOZ,X,O,O,O,X,X,X,X
IJTSZLO,O,O,O,O,X,O,O,X
IJTSZOL,O,O,O,O,X,O,O,X
IJTSOLZ,O,O,O,X,X,X,X,X
IJTSOZL,O,O,O,X,X,X,O,X
IJTZLSO,O,O,O,O,X,O,O,O
IJTZLOS,O,O,O,O,X,X,X,O
IJTZSLO,O,O,O,O,X,O,O,O
IJTZSOL,O,O,O,O,X,O,O,O
IJTZOLS,O,O,O,X,O,O,X,O
IJTZOSL,O,O,O,O,O,O,O,O
IJTOLSZ,O,O,O,O,O,X,X,X
IJTOLZS,O,O,O,O,O,O,X,O
IJTOSLZ,O,O,O,O,O,X,X,X
IJTOSZL,O,O,O,O,O,O,O,O
IJTOZLS,O,O,O,O,O,O,X,O
IJTOZSL,O,O,O,O,O,O,O,O
IJLTSZO,O,O,O,O,X,X,O,O
IJLTSOZ,X,O,O,O,X,X,X,X
IJLTZSO,O,O,O,O,X,O,O,O
IJLTZOS,O,O,O,O,X,X,X,O
IJLTOSZ,O,O,O,O,X,X,X,O
IJLTOZS,O,O,O,O,X,X,X,O
IJLSTZO,O,O,O,O,X,X,O,O
IJLSTOZ,X,O,O,O,X,X,X,X
IJLSZTO,O,O,O,O,X,X,O,O
IJLSZOT,O,X,O,O,X,X,X,O
IJLSOTZ,X,X,O,O,X,X,X,O
IJLSOZT,X,X,O,O,X,X,X,O
IJLZTSO,O,O,O,O,X,O,O,O
IJLZTOS,O,O,O,O,X,X,X,O
IJLZSTO,O,O,O,O,X,O,O,O
IJLZSOT,O,X,O,O,X,O,X,O
IJLZOTS,O,X,O,O,O,O,X,O
IJLZOST,O,X,O,O,O,O,X,O
IJLOTSZ,O,X,O,O,O,X,X,O
IJLOTZS,O,X,O,O,O,O,X,O
IJLOSTZ,O,X,O,O,O,X,X,O
IJLOSZT,O,X,O,O,O,X,X,O
IJLOZTS,O,X,O,O,O,O,X,O
IJLOZST,O,X,O,O,O,O,X,O
IJSTLZO,O,O,O,O,X,X,O,X
IJSTLOZ,X,X,O,O,X,X,X,X
IJSTZLO,O,O,O,O,X,O,O,X
IJSTZOL,O,O,O,O,X,O,O,X
IJSTOLZ,O,X,O,X,X,X,X,X
IJSTOZL,O,O,O,X,X,X,O,X
IJSLTZO,O,X,O,O,X,X,O,O
IJSLTOZ,X,X,O,O,X,X,X,X
IJSLZTO,O,X,O,O,X,X,O,O
IJSLZOT,O,X,O,O,X,X,X,O
IJSLOTZ,X,X,O,O,X,X,X,O
IJSLOZT,X,X,O,O,X,X,X,O
IJSZTLO,O,O,O,O,X,O,O,O
IJSZTOL,O,O,O,O,X,O,O,O
IJSZLTO,O,X,O,O,X,O,O,O
IJSZLOT,O,X,O,O,X,O,X,O
IJSZOTL,O,X,O,O,O,O,O,O
IJSZOLT,O,X,O,O,O,O,X,O
IJSOTLZ,O,X,O,O,O,X,X,X
IJSOTZL,O,X,O,O,O,O,O,O
IJSOLTZ,O,X,O,O,O,X,X,X
IJSOLZT,O,X,O,O,O,X,X,X
IJSOZTL,O,X,O,O,O,O,O,O
IJSOZLT,O,X,O,O,O,O,X,O
IJZTLSO,O,O,O,O,X,O,O,O
IJZTLOS,O,O,O,O,X,X,X,O
IJZTSLO,O,O,O,O,X,O,O,O
IJZTSOL,O,O,O,O,X,O,O,O
IJZTOLS,O,O,O,X,O,O,X,O
IJZTOSL,O,O,O,O,O,O,O,O
IJZLTSO,O,O,O,O,X,O,O,O
IJZLTOS,O,O,O,O,X,X,X,O
IJZLSTO,O,O,O,O,X,O,O,O
IJZLSOT,O,X,O,O,X,O,X,O
IJZLOTS,O,X,O,O,O,O,X,O
IJZLOST,O,X,O,O,O,O,X,O
IJZSTLO,O,O,O,O,X,O,O,O
IJZSTOL,O,O,O,O,X,O,O,O
IJZSLTO,O,X,O,O,X,O,O,O
IJZSLOT,O,X,O,O,X,O,X,O
IJZSOTL,O,X,O,O,O,O,O,O
IJZSOLT,O,X,O,O,O,O,X,O
IJZOTLS,O,O,O,O,O,O,X,O
IJZOTSL,O,O,O,O,O,O,O,O
IJZOLTS,O,X,O,O,O,O,X,O
IJZOLST,O,X,O,O,O,O,X,O
IJZOSTL,O,O,O,O,O,O,O,O
IJZOSLT,O,X,O,O,O,O,X,O
IJOTLSZ,O,O,O,O,O,X,X,X
IJOTLZS,O,O,O,O,O,O,X,O
IJOTSLZ,O,O,O,O,O,X,X,X
IJOTSZL,O,O,O,O,O,O,O,O
IJOTZLS,O,O,O,O,O,O,X,O
IJOTZSL,O,O,O,O,O,O,O,O
IJOLTSZ,O,O,O,O,O,X,X,O
IJOLTZS,O,O,O,O,O,O,X,O
IJOLSTZ,O,O,O,O,O,X,X,O
IJOLSZT,O,O,O,O,O,X,X,O
IJOLZTS,O,O,O,O,O,O,X,O
IJOLZST,O,O,O,O,O,O,X,O
IJOSTLZ,O,O,O,O,O,X,X,X
IJOSTZL,O,O,O,O,O,O,O,O
IJOSLTZ,O,X,O,O,O,X,X,X
IJOSLZT,O,X,O,O,O,X,X,X
IJOSZTL,O,O,O,O,O,O,O,O
IJOSZLT,O,X,O,O,O,O,X,O
IJOZTLS,O,O,O,O,O,O,X,O
IJOZTSL,O,O,O,O,O,O,O,O
IJOZLTS,O,X,O,O,O,O,X,O
IJOZLST,O,X,O,O,O,O,X,O
IJOZSTL,O,O,O,O,O,O,O,O
IJOZSLT,O,X,O,O,O,O,X,O
ISTLJZO,O,O,O,O,X,X,O,X
ISTLJOZ,X,O,O,O,X,X,X,X
ISTLZJO,O,O,O,O,X,X,X,X
ISTLZOJ,X,O,O,O,X,X,X,X
ISTLOJZ,X,O,O,O,X,X,X,X
ISTLOZJ,X,O,X,O,X,X,X,X
ISTJLZO,O,O,O,O,X,X,O,X
ISTJLOZ,X,O,O,O,X,X,X,X
ISTJZLO,O,O,O,O,X,O,O,X
ISTJZOL,O,O,O,O,X,O,O,X
ISTJOLZ,O,O,O,X,X,X,X,X
ISTJOZL,O,O,O,X,X,X,O,X
ISTZLJO,O,O,O,O,X,X,X,X
ISTZLOJ,X,O,X,O,X,X,X,X
ISTZJLO,O,O,O,O,X,X,O,X
ISTZJOL,O,O,O,O,X,X,O,X
ISTZOLJ,O,O,X,O,X,X,X,X
ISTZOJL,O,O,O,O,X,X,X,X
ISTOLJZ,O,O,X,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X,X
ISTOJLZ,O,O,O,X,X,X,X,X
ISTOJZL,O,O,O,X,X,X,O,X
ISTOZLJ,O,O,X,X,X,X,X,X
