sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
TLJIOZS,X,O,X,X,X,O,X,X
TLJSIZO,O,O,O,X,O,O,X,X
TLJSIOZ,O,O,X,X,X,X,X,X
TLJSZIO,O,O,X,X,O,X,O,X
TLJSZOI,O,O,X,X,X,X,O,X
TLJSOIZ,O,O,X,X,X,X,X,X
TLJSOZI,O,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,X,O,O,X
TLJZIOS,O,O,X,X,X,O,X,X
TLJZSIO,O,O,O,X,X,X,X,X
TLJZSOI,O,O,O,X,X,X,X,X
TLJZOIS,O,O,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X,X,X
TLJOIZS,X,O,X,X,X,O,X,X
TLJOSIZ,X,O,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X
TLSIJZO,O,O,O,X,O,O,X,X
TLSIJOZ,O,O,X,X,X,X,X,X
TLSIZJO,O,O,O,O,O,O,X,X
TLSIZOJ,O,O,O,O,O,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X
TLSIOZJ,O,O,O,X,O,X,X,X
TLSJIZO,O,O,O,O,O,O,X,X
TLSJIOZ,O,O,X,X,X,X,X,X
TLSJZIO,O,O,X,O,O,X,O,X
TLSJZOI,O,O,X,O,X,X,O,X
TLSJOIZ,O,O,X,X,X,X,X,X
TLSJOZI,O,O,X,X,X,X,X,X
TLSZIJO,O,O,O,O,O,X,O,X
TLSZIOJ,O,O,O,O,O,X,O,X
TLSZJIO,O,X,X,O,O,X,O,X
TLSZJOI,O,X,X,O,X,X,O,X
TLSZOIJ,O,X,X,O,O,X,O,O
TLSZOJI,X,X,X,O,X,X,O,O
TLSOIJZ,O,X,X,X,X,X,X,X
TLSOIZJ,O,O,O,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,O,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X
TLZIJSO,O,O,O,X,X,O,O,X
TLZIJOS,O,O,X,X,X,O,X,X
TLZISJO,O,O,O,O,O,O,O,X
TLZISOJ,O,O,O,O,O,X,O,X
TLZIOJS,O,O,X,X,X,O,X,X
TLZIOSJ,O,O,X,X,X,X,O,X
TLZJISO,O,O,O,X,X,O,O,X
TLZJIOS,O,O,X,X,X,O,X,X
TLZJSIO,O,O,O,O,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X
TLZJOIS,O,O,X,X,X,X,X,X
TLZJOSI,X,O,X,X,X,X,X,X
TLZSIJO,O,O,O,O,O,X,O,X
TLZSIOJ,O,O,O,O,O,X,O,X
TLZSJIO,O,X,O,O,O,X,X,X
TLZSJOI,X,X,O,O,X,X,X,X
TLZSOIJ,O,X,O,O,O,X,X,O
TLZSOJI,X,X,O,O,X,X,X,O
TLZOIJS,O,O,X,X,X,X,X,X
TLZOISJ,O,O,X,X,X,X,O,X
TLZOJIS,O,O,X,X,X,X,X,X
TLZOJSI,O,O,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,O
TLZOSJI,O,O,X,O,X,X,X,O
TLOIJSZ,O,O,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,O,X,X
TLOISJZ,O,O,X,X,X,X,X,X
TLOISZJ,O,O,O,X,O,X,X,X
TLOIZJS,O,O,X,X,X,O,X,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,O,O,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,O,X,X
TLOJSIZ,O,O,X,X,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,O,X,X,X
TLOSJIZ,O,O,X,X,X,X,X,X
TLOSJZI,O,O,X,X,X,X,X,X
TLOSZIJ,O,O,X,X,O,X,X,X
TLOSZJI,O,O,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,X,X,X
TLOZISJ,O,O,X,X,X,X,O,X
TLOZJIS,O,O,X,X,X,X,X,X
TLOZJSI,O,O,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,X,X,X
TLOZSJI,O,O,X,X,X,X,X,X
TJILSZO,O,O,O,X,O,O,X,X
