sequence,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFUgBFhB6nB3?mBzpBWwB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFFgB0hB6nB3?lBWvBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFGgB6nB8pBl?mB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8Jei/IvhFclBxhB/rBG?nBTpB1vB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeZEJvhFclB6nBlmBu?pB3qBTrB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhF6nB0lBlmBX?lBTrBxuB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JeOEJvhFxgB6nBlmB3?pBUrBTqB,v115@FhB8AeA8FeB8FeA8AeB8FeD8JexAJvhF6nBTlB0pBX?rBOpBlrB
IJOSTLZ,O,O,X,O,X,X,X,X
IJOSTZL,O,O,X,O,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X,X
IJOSLZT,O,O,X,X,X,X,X,X
IJOSZTL,O,O,X,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X,X,X
IJOZTLS,O,O,X,X,X,O,X,X
IJOZTSL,O,O,X,X,X,X,X,X
IJOZLTS,O,O,X,X,X,O,X,X
IJOZLST,O,O,O,X,X,X,X,X
IJOZSTL,O,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X,X
ISTLJZO,O,O,O,X,O,O,X,X
ISTLJOZ,O,O,X,X,X,X,X,X
ISTLZJO,O,O,O,O,O,O,X,X
ISTLZOJ,O,O,O,O,O,X,X,X
ISTLOJZ,O,X,X,X,X,X,X,X
ISTLOZJ,O,O,O,X,O,X,X,X
ISTJLZO,O,O,O,O,O,O,X,X
ISTJLOZ,O,O,X,X,X,X,X,X
ISTJZLO,O,O,O,O,O,O,X,X
ISTJZOL,O,O,O,O,X,X,X,X
ISTJOLZ,O,O,X,X,X,X,X,X
ISTJOZL,O,O,X,O,X,X,X,X
ISTZLJO,O,O,O,O,O,O,X,X
ISTZLOJ,O,O,O,O,O,X,X,X
ISTZJLO,O,X,O,O,O,O,X,X
ISTZJOL,X,X,O,O,X,X,X,X
ISTZOLJ,O,X,O,O,O,X,X,X
ISTZOJL,X,X,O,X,X,X,X,X
ISTOLJZ,O,X,X,X,X,X,X,X
ISTOLZJ,O,O,O,O,O,X,X,X
ISTOJLZ,O,X,X,X,X,X,X,X
ISTOJZL,O,X,X,O,X,X,X,X
ISTOZLJ,O,O,O,O,O,X,X,X
ISTOZJL,O,X,O,O,X,X,X,X
ISLTJZO,O,O,O,X,O,O,X,X
ISLTJOZ,O,O,X,X,X,X,X,X
ISLTZJO,O,O,O,O,O,O,X,X
ISLTZOJ,O,O,O,O,O,X,X,X
ISLTOJZ,O,X,X,X,X,X,X,X
ISLTOZJ,O,O,O,X,O,X,X,X
ISLJTZO,O,O,O,X,O,O,X,X
ISLJTOZ,O,O,X,X,X,X,X,X
ISLJZTO,O,O,O,X,O,O,O,X
ISLJZOT,O,O,O,X,X,X,X,X
ISLJOTZ,O,O,X,X,X,X,X,X
ISLJOZT,O,O,X,X,X,X,X,X
ISLZTJO,O,O,O,X,O,O,O,X
ISLZTOJ,O,O,O,X,O,X,O,X
ISLZJTO,O,O,O,X,O,O,O,X
ISLZJOT,O,O,O,X,X,X,X,X
ISLZOTJ,O,O,O,X,O,X,X,O
ISLZOJT,O,O,O,X,X,X,X,O
ISLOTJZ,O,O,X,X,X,X,X,X
ISLOTZJ,O,O,O,O,O,X,X,X
ISLOJTZ,O,O,X,X,X,X,X,X
ISLOJZT,O,O,X,X,X,X,X,X
ISLOZTJ,O,O,O,X,O,X,X,X
ISLOZJT,O,O,O,X,X,X,X,X
ISJTLZO,O,O,O,O,O,O,X,X
ISJTLOZ,O,O,X,X,X,X,X,X
ISJTZLO,O,O,O,O,O,O,X,X
ISJTZOL,O,O,O,O,X,X,X,X
ISJTOLZ,O,O,X,O,X,X,X,X
ISJTOZL,O,O,X,O,X,X,X,X
ISJLTZO,O,O,O,O,O,O,X,X
ISJLTOZ,O,O,X,X,X,X,X,X
ISJLZTO,O,O,O,X,O,O,O,X
ISJLZOT,O,O,O,X,X,X,X,X
ISJLOTZ,O,O,X,O,X,X,X,X
ISJLOZT,O,O,X,X,X,X,X,X
ISJZTLO,O,O,O,O,O,O,O,X
ISJZTOL,O,O,O,O,X,X,O,X
ISJZLTO,O,O,O,X,O,O,O,X
ISJZLOT,O,O,O,X,X,X,X,X
ISJZOTL,O,O,O,O,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X,X
ISJOTLZ,O,O,X,O,X,X,X,X
ISJOTZL,O,O,X,O,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,X,X
ISJOLZT,O,O,X,X,X,X,X,X
ISJOZTL,O,O,X,O,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X
ISZTLJO,O,O,O,O,O,O,O,X
ISZTLOJ,O,O,O,O,O,X,O,X
ISZTJLO,O,X,O,O,O,O,O,X
ISZTJOL,X,X,O,X,X,X,O,X
ISZTOLJ,O,X,O,O,O,X,O,X
ISZTOJL,X,X,O,X,X,X,O,X
ISZLTJO,O,O,O,X,O,O,O,X
ISZLTOJ,O,O,O,X,O,X,O,X
ISZLJTO,O,O,O,X,O,O,O,X
ISZLJOT,O,O,O,X,X,X,X,X
ISZLOTJ,O,O,O,X,O,X,X,O
ISZLOJT,O,O,O,X,X,X,X,O
ISZJTLO,O,O,O,X,O,O,O,X
ISZJTOL,O,O,O,X,X,X,O,X
ISZJLTO,O,O,O,X,O,O,O,X
ISZJLOT,O,O,O,X,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X,X
ISZOTLJ,O,O,O,O,O,X,X,O
ISZOTJL,O,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,X,O,X,X,O
ISZOLJT,O,O,O,X,X,X,X,O
ISZOJTL,O,O,O,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X,O
ISOTLJZ,O,O,X,X,X,X,X,X
ISOTLZJ,O,O,O,O,O,X,X,X
ISOTJLZ,O,O,X,O,X,X,X,X
ISOTJZL,O,O,X,O,X,X,X,X
ISOTZLJ,O,O,O,O,O,X,X,X
ISOTZJL,O,O,O,O,X,X,X,X
ISOLTJZ,O,O,X,X,X,X,X,X
ISOLTZJ,O,O,O,O,O,X,X,X
ISOLJTZ,O,O,X,X,X,X,X,X
ISOLJZT,O,O,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,O,X,X,X
ISOLZJT,O,O,O,X,X,X,X,X
ISOJTLZ,O,O,X,O,X,X,X,X
ISOJTZL,O,O,X,O,X,X,X,X
ISOJLTZ,O,O,X,O,X,X,X,X
ISOJLZT,O,O,X,X,X,X,X,X
ISOJZTL,O,O,X,O,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X
ISOZTLJ,O,O,O,O,O,X,X,X
ISOZTJL,O,O,O,O,X,X,X,X
ISOZLTJ,O,O,O,X,O,X,X,X
ISOZLJT,O,O,O,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,X,X
IZTLJSO,O,O,O,X,X,O,O,X
IZTLJOS,O,O,X,X,X,O,X,X
IZTLSJO,O,O,O,X,O,O,O,X
IZTLSOJ,O,O,O,X,O,X,O,X
IZTLOJS,O,O,X,X,X,O,X,X
IZTLOSJ,O,O,X,X,X,X,O,X
IZTJLSO,O,O,O,X,X,O,O,X
IZTJLOS,O,O,X,X,X,O,X,X
IZTJSLO,O,O,O,X,X,O,O,X
IZTJSOL,O,O,O,X,X,X,O,X
IZTJOLS,O,O,X,X,X,O,X,X
IZTJOSL,X,O,X,X,X,X,X,X
IZTSLJO,O,O,O,X,O,O,O,X
IZTSLOJ,O,O,O,X,O,X,O,X
IZTSJLO,O,X,O,X,O,O,O,X
IZTSJOL,X,X,O,X,X,X,O,X
IZTSOLJ,O,X,O,X,O,X,O,X
IZTSOJL,X,X,O,X,X,X,O,X
IZTOLJS,O,O,X,X,X,O,X,X
IZTOLSJ,O,O,X,X,X,X,O,X
IZTOJLS,O,O,X,X,X,O,X,X
IZTOJSL,O,O,X,X,X,X,X,X
IZTOSLJ,O,O,X,X,X,X,O,X
IZTOSJL,O,O,X,X,X,X,O,X
IZLTJSO,O,O,O,X,X,O,O,X
IZLTJOS,O,O,X,X,X,O,X,X
IZLTSJO,O,O,O,X,O,O,O,X
IZLTSOJ,O,O,O,X,O,X,O,X
IZLTOJS,O,O,X,X,X,O,X,X
IZLTOSJ,O,O,X,X,X,X,O,X
IZLJTSO,O,O,O,X,X,O,X,X
IZLJTOS,O,O,X,X,X,O,X,X
IZLJSTO,O,O,O,X,X,O,X,X
IZLJSOT,O,O,O,X,X,X,X,X
IZLJOTS,O,O,X,X,X,O,X,X
IZLJOST,O,O,O,X,X,X,X,X
IZLSTJO,O,O,O,X,O,O,X,X
IZLSTOJ,O,O,O,X,O,X,X,X
IZLSJTO,O,O,O,X,O,O,X,X
IZLSJOT,O,O,O,X,X,X,X,X
IZLSOTJ,O,O,O,X,O,X,X,O
IZLSOJT,O,O,O,X,X,X,X,O
IZLOTJS,O,O,X,X,X,O,X,X
IZLOTSJ,O,O,X,X,X,X,X,X
IZLOJTS,O,O,X,X,X,O,X,X
IZLOJST,O,O,O,X,X,X,X,X
IZLOSTJ,O,O,O,X,X,X,X,O
IZLOSJT,O,O,O,X,X,X,X,O
IZJTLSO,O,O,O,X,X,O,X,X
IZJTLOS,O,O,X,X,X,O,X,X
IZJTSLO,O,O,O,X,X,O,X,X
IZJTSOL,O,O,O,X,X,X,X,X
IZJTOLS,O,O,X,X,X,O,X,X
IZJTOSL,X,O,X,X,X,X,X,X
IZJLTSO,O,O,O,X,X,O,X,X
IZJLTOS,O,O,X,X,X,O,X,X
IZJLSTO,O,O,O,X,X,O,X,X
IZJLSOT,O,O,O,X,X,X,X,X
IZJLOTS,O,O,X,X,X,O,X,X
IZJLOST,O,O,O,X,X,X,X,X
IZJSTLO,O,O,O,X,X,O,X,X
IZJSTOL,O,O,O,X,X,X,X,X
IZJSLTO,O,O,O,X,X,O,X,X
IZJSLOT,O,O,O,X,X,X,X,X
IZJSOTL,O,O,O,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,X,X
IZJOTLS,O,O,X,X,X,O,X,X
IZJOTSL,O,O,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,O,X,X
IZJOLST,O,O,O,X,X,X,X,X
IZJOSTL,O,O,O,X,X,X,X,X
IZJOSLT,O,O,O,X,X,X,X,X
IZSTLJO,O,O,O,X,O,O,X,X
IZSTLOJ,O,O,O,X,O,X,X,X
IZSTJLO,O,X,O,X,O,O,X,X
IZSTJOL,X,X,O,X,X,X,X,X
IZSTOLJ,O,X,O,X,O,X,X,X
IZSTOJL,X,X,O,X,X,X,X,X
IZSLTJO,O,O,O,X,O,O,X,X
IZSLTOJ,O,O,O,X,O,X,X,X
IZSLJTO,O,O,O,X,O,O,X,X
IZSLJOT,O,O,O,X,X,X,X,X
IZSLOTJ,O,O,O,X,O,X,X,O
IZSLOJT,O,O,O,X,X,X,X,O
IZSJTLO,O,O,O,X,O,O,X,X
IZSJTOL,O,O,O,X,X,X,X,X
IZSJLTO,O,O,O,X,O,O,X,X
IZSJLOT,O,O,O,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,X,X
IZSOTLJ,O,O,O,X,O,X,X,O
IZSOTJL,O,O,O,X,X,X,X,X
IZSOLTJ,O,O,O,X,O,X,X,O
IZSOLJT,O,O,O,X,X,X,X,O
IZSOJTL,O,O,O,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,X,O
IZOTLJS,O,O,X,X,X,O,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,O,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,O,O,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,O,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,O,O,X,X,X,O,X,X
IZOLJST,O,O,O,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,X,O
IZOLSJT,O,O,O,X,X,X,X,O
IZOJTLS,O,O,X,X,X,O,X,X
IZOJTSL,O,O,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,O,X,X
IZOJLST,O,O,O,X,X,X,X,X
IZOJSTL,O,O,O,X,X,X,X,X
IZOJSLT,O,O,O,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,O
IZOSTJL,O,O,O,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,X,O
IZOSLJT,O,O,O,X,X,X,X,O
IZOSJTL,O,O,O,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,X,O
IOTLJSZ,O,O,X,X,X,X,X,X
IOTLJZS,O,O,X,X,X,O,X,X
IOTLSJZ,O,O,X,X,X,X,X,X
IOTLSZJ,O,O,O,X,O,X,X,X
IOTLZJS,O,O,X,X,X,O,X,X
IOTLZSJ,O,O,X,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X
IOTJLZS,O,O,X,X,X,O,X,X
IOTJSLZ,O,O,X,X,X,X,X,X
IOTJSZL,O,O,X,X,X,X,X,X
IOTJZLS,O,O,X,X,X,O,X,X
IOTJZSL,O,O,X,X,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X
IOTSLZJ,O,O,O,O,O,X,X,X
IOTSJLZ,O,O,X,O,X,X,X,X
IOTSJZL,O,O,X,O,X,X,X,X
IOTSZLJ,O,O,O,O,O,X,X,X
IOTSZJL,O,O,O,O,X,X,X,X
IOTZLJS,O,O,X,X,X,O,X,X
IOTZLSJ,O,O,X,O,X,X,X,X
IOTZJLS,O,O,X,X,X,O,X,X
IOTZJSL,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,X,O,X,X,X,X
IOTZSJL,O,O,X,O,X,X,X,X
IOLTJSZ,O,O,X,X,X,X,X,X
IOLTJZS,O,O,X,X,X,O,X,X
IOLTSJZ,O,O,X,X,X,X,X,X
IOLTSZJ,O,O,O,X,O,X,X,X
IOLTZJS,O,O,X,X,X,O,X,X
IOLTZSJ,O,O,X,X,X,X,X,X
IOLJTSZ,O,O,X,X,X,X,X,X
IOLJTZS,O,O,X,X,X,O,X,X
IOLJSTZ,O,O,X,X,X,X,X,X
IOLJSZT,O,O,X,X,X,X,X,X
IOLJZTS,O,O,X,X,X,O,X,X
IOLJZST,O,O,O,X,X,X,X,X
IOLSTJZ,O,O,X,X,X,X,X,X
IOLSTZJ,O,O,O,X,O,X,X,X
IOLSJTZ,O,O,X,X,X,X,X,X
IOLSJZT,O,O,X,X,X,X,X,X
IOLSZTJ,O,O,O,X,O,X,X,X
IOLSZJT,O,O,O,X,X,X,X,X
IOLZTJS,O,O,X,X,X,O,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,O,O,X,X,X,O,X,X
IOLZJST,O,O,O,X,X,X,X,X
IOLZSTJ,O,O,O,X,X,X,X,X
IOLZSJT,O,O,O,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X
IOJTLZS,O,O,X,X,X,O,X,X
IOJTSLZ,O,O,X,O,X,X,X,X
IOJTSZL,O,O,X,O,X,X,X,X
IOJTZLS,O,O,X,X,X,O,X,X
IOJTZSL,O,O,X,X,X,X,X,X
IOJLTSZ,O,O,X,X,X,X,X,X
IOJLTZS,O,O,X,X,X,O,X,X
IOJLSTZ,O,O,X,O,X,X,X,X
IOJLSZT,O,O,X,X,X,X,X,X
IOJLZTS,O,O,X,X,X,O,X,X
IOJLZST,O,O,O,X,X,X,X,X
IOJSTLZ,O,O,X,O,X,X,X,X
IOJSTZL,O,O,X,O,X,X,X,X
IOJSLTZ,O,O,X,O,X,X,X,X
IOJSLZT,O,O,X,X,X,X,X,X
IOJSZTL,O,O,X,O,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X
IOJZTLS,O,O,X,X,X,O,X,X
IOJZTSL,O,O,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,O,X,X
IOJZLST,O,O,O,X,X,X,X,X
IOJZSTL,O,O,O,O,X,X,X,X
IOJZSLT,O,O,O,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,X
IOSTLZJ,O,O,O,O,O,X,X,X
IOSTJLZ,O,O,X,O,X,X,X,X
IOSTJZL,O,O,X,O,X,X,X,X
IOSTZLJ,O,O,O,O,O,X,X,X
IOSTZJL,O,O,O,O,X,X,X,X
IOSLTJZ,O,O,X,X,X,X,X,X
IOSLTZJ,O,O,O,O,O,X,X,X
IOSLJTZ,O,O,X,X,X,X,X,X
IOSLJZT,O,O,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,O,X,X,X
IOSLZJT,O,O,O,X,X,X,X,X
IOSJTLZ,O,O,X,O,X,X,X,X
IOSJTZL,O,O,X,O,X,X,X,X
IOSJLTZ,O,O,X,O,X,X,X,X
IOSJLZT,O,O,X,X,X,X,X,X
IOSJZTL,O,O,X,O,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X
IOSZTLJ,O,O,O,O,O,X,X,X
IOSZTJL,O,O,O,O,X,X,X,X
IOSZLTJ,O,O,O,X,O,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,X,X
IOZTLJS,O,O,X,X,X,O,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,O,X,X,X,O,X,X
IOZTJSL,O,O,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,O,O,X,X,X,X,X,X
IOZLTJS,O,O,X,X,X,O,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,O,X,X,X,O,X,X
IOZLJST,O,O,O,X,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,X,X
IOZJTLS,O,O,X,X,X,O,X,X
IOZJTSL,O,O,X,X,X,X,X,X
IOZJLTS,O,O,X,X,X,O,X,X
IOZJLST,O,O,O,X,X,X,X,X
IOZJSTL,O,O,O,X,X,X,X,X
IOZJSLT,O,O,O,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,X,X
LTIJSZO,O,O,O,X,O,O,X,X
LTIJSOZ,O,O,X,X,X,X,X,X
LTIJZSO,O,O,O,X,X,O,X,X
LTIJZOS,O,O,X,X,X,O,X,X
LTIJOSZ,X,O,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,O,X,X
LTISJZO,O,O,O,X,O,O,X,X
LTISJOZ,O,O,X,X,X,X,X,X
LTISZJO,O,O,O,X,O,O,X,X
LTISZOJ,O,O,O,X,O,X,X,X
LTISOJZ,O,X,X,X,X,X,X,X
LTISOZJ,O,O,O,X,O,X,X,X
LTIZJSO,O,O,O,X,X,O,O,X
LTIZJOS,O,O,X,X,X,O,X,X
LTIZSJO,O,O,O,X,O,O,O,X
LTIZSOJ,O,O,O,X,O,X,O,X
LTIZOJS,O,O,X,X,X,O,X,X
LTIZOSJ,O,O,X,X,X,X,O,X
LTIOJSZ,O,O,X,X,X,X,X,X
LTIOJZS,O,O,X,X,X,O,X,X
LTIOSJZ,O,O,X,X,X,X,X,X
LTIOSZJ,O,O,O,X,O,X,X,X
LTIOZJS,O,O,X,X,X,O,X,X
LTIOZSJ,O,O,X,X,X,X,X,X
LTJISZO,O,O,O,X,O,O,X,X
LTJISOZ,O,O,X,X,X,X,X,X
LTJIZSO,O,O,O,X,X,O,X,X
LTJIZOS,O,O,X,X,X,O,X,X
LTJIOSZ,X,O,X,X,X,X,X,X
LTJIOZS,X,O,X,X,X,O,X,X
LTJSIZO,O,O,O,X,O,O,X,X
LTJSIOZ,O,O,X,X,X,X,X,X
LTJSZIO,O,O,X,X,O,X,O,X
LTJSZOI,O,O,X,X,X,X,O,X
LTJSOIZ,O,O,X,X,X,X,X,X
LTJSOZI,O,O,X,X,X,X,X,X
LTJZISO,O,O,O,X,X,O,O,X
LTJZIOS,O,O,X,X,X,O,X,X
LTJZSIO,O,O,O,X,X,X,X,X
LTJZSOI,O,O,O,X,X,X,X,X
LTJZOIS,O,O,X,X,X,X,X,X
LTJZOSI,X,O,X,X,X,X,X,X
LTJOISZ,X,O,X,X,X,X,X,X
LTJOIZS,X,O,X,X,X,O,X,X
LTJOSIZ,X,O,X,X,X,X,X,X
LTJOSZI,X,O,X,X,X,X,X,X
LTJOZIS,X,O,X,X,X,X,X,X
LTJOZSI,X,O,X,X,X,X,X,X
LTSIJZO,O,O,O,X,O,O,X,X
LTSIJOZ,O,O,X,X,X,X,X,X
LTSIZJO,O,O,O,O,O,O,X,X
LTSIZOJ,O,O,O,O,O,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,X,O,X,X,X
LTSJIZO,O,O,O,O,O,O,X,X
LTSJIOZ,O,O,X,X,X,X,X,X
LTSJZIO,O,O,X,O,O,X,O,X
LTSJZOI,O,O,X,O,X,X,O,X
LTSJOIZ,O,O,X,X,X,X,X,X
LTSJOZI,O,O,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,X,O,X
LTSZIOJ,O,O,O,O,O,X,O,X
LTSZJIO,O,X,X,O,O,X,O,X
LTSZJOI,O,X,X,O,X,X,O,X
LTSZOIJ,O,X,X,O,O,X,O,O
LTSZOJI,X,X,X,O,X,X,O,O
LTSOIJZ,O,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,X
LTSOJZI,O,X,X,X,X,X,X,X
LTSOZIJ,O,O,X,X,O,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X
LTZIJSO,O,O,O,X,X,O,O,X
LTZIJOS,O,O,X,X,X,O,X,X
LTZISJO,O,O,O,O,O,O,O,X
LTZISOJ,O,O,O,O,O,X,O,X
LTZIOJS,O,O,X,X,X,O,X,X
LTZIOSJ,O,O,X,X,X,X,O,X
LTZJISO,O,O,O,X,X,O,O,X
LTZJIOS,O,O,X,X,X,O,X,X
LTZJSIO,O,O,O,O,X,X,X,X
LTZJSOI,O,O,O,O,X,X,X,X
LTZJOIS,O,O,X,X,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X
LTZSIJO,O,O,O,O,O,X,O,X
LTZSIOJ,O,O,O,O,O,X,O,X
LTZSJIO,O,X,O,O,O,X,X,X
LTZSJOI,X,X,O,O,X,X,X,X
LTZSOIJ,O,X,O,O,O,X,X,O
LTZSOJI,X,X,O,O,X,X,X,O
LTZOIJS,O,O,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,O,X
LTZOJIS,O,O,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X
LTZOSIJ,O,O,X,O,X,X,X,O
LTZOSJI,O,O,X,O,X,X,X,O
LTOIJSZ,O,O,X,X,X,X,X,X
LTOIJZS,O,O,X,X,X,O,X,X
LTOISJZ,O,O,X,X,X,X,X,X
LTOISZJ,O,O,O,X,O,X,X,X
LTOIZJS,O,O,X,X,X,O,X,X
LTOIZSJ,O,O,X,X,X,X,X,X
LTOJISZ,O,O,X,X,X,X,X,X
LTOJIZS,O,O,X,X,X,O,X,X
LTOJSIZ,O,O,X,X,X,X,X,X
LTOJSZI,O,O,X,X,X,X,X,X
LTOJZIS,O,O,X,X,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X,X
LTOSIJZ,O,O,X,X,X,X,X,X
LTOSIZJ,O,O,O,X,O,X,X,X
LTOSJIZ,O,O,X,X,X,X,X,X
LTOSJZI,O,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,O,X,X,X
LTOSZJI,O,O,X,X,X,X,X,X
LTOZIJS,O,O,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,O,X
LTOZJIS,O,O,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X
LTOZSIJ,O,O,X,X,X,X,X,X
LTOZSJI,O,O,X,X,X,X,X,X
LITJSZO,O,O,O,X,O,O,X,X
LITJSOZ,O,O,X,X,X,X,X,X
LITJZSO,O,O,O,X,X,O,X,X
LITJZOS,O,O,X,X,X,O,X,X
LITJOSZ,X,O,X,X,X,X,X,X
LITJOZS,X,O,X,X,X,O,X,X
LITSJZO,O,O,O,X,O,O,X,X
LITSJOZ,O,O,X,X,X,X,X,X
LITSZJO,O,O,O,X,O,O,X,X
LITSZOJ,O,O,O,X,O,X,X,X
LITSOJZ,O,X,X,X,X,X,X,X
LITSOZJ,O,O,O,X,O,X,X,X
LITZJSO,O,O,O,X,X,O,O,X
LITZJOS,O,O,X,X,X,O,X,X
LITZSJO,O,O,O,X,O,O,O,X
LITZSOJ,O,O,O,X,O,X,O,X
LITZOJS,O,O,X,X,X,O,X,X
LITZOSJ,O,O,X,X,X,X,O,X
LITOJSZ,O,O,X,X,X,X,X,X
LITOJZS,O,O,X,X,X,O,X,X
LITOSJZ,O,O,X,X,X,X,X,X
LITOSZJ,O,O,O,X,O,X,X,X
LITOZJS,O,O,X,X,X,O,X,X
LITOZSJ,O,O,X,X,X,X,X,X
LIJTSZO,O,O,O,X,O,O,X,X
LIJTSOZ,O,O,X,X,X,X,X,X
LIJTZSO,O,O,O,X,X,O,X,X
LIJTZOS,O,O,X,X,X,O,X,X
LIJTOSZ,X,O,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,O,X,X
LIJSTZO,O,O,O,X,O,O,X,X
LIJSTOZ,O,O,X,X,X,X,X,X
LIJSZTO,O,O,O,X,O,O,O,X
LIJSZOT,O,O,O,X,X,X,X,X
LIJSOTZ,O,O,X,X,X,X,X,X
LIJSOZT,O,O,X,X,X,X,X,X
LIJZTSO,O,O,O,X,X,O,X,X
LIJZTOS,O,O,X,X,X,O,X,X
LIJZSTO,O,O,O,X,X,O,X,X
LIJZSOT,O,O,O,X,X,X,X,X
LIJZOTS,O,O,X,X,X,O,X,X
LIJZOST,O,O,O,X,X,X,X,X
LIJOTSZ,O,O,X,X,X,X,X,X
LIJOTZS,O,O,X,X,X,O,X,X
LIJOSTZ,O,O,X,X,X,X,X,X
LIJOSZT,O,O,X,X,X,X,X,X
LIJOZTS,O,O,X,X,X,O,X,X
LIJOZST,O,O,O,X,X,X,X,X
LISTJZO,O,O,O,X,O,O,X,X
LISTJOZ,O,O,X,X,X,X,X,X
LISTZJO,O,O,O,X,O,O,X,X
LISTZOJ,O,O,O,X,O,X,X,X
LISTOJZ,O,X,X,X,X,X,X,X
LISTOZJ,O,O,O,X,O,X,X,X
LISJTZO,O,O,O,X,O,O,X,X
LISJTOZ,O,O,X,X,X,X,X,X
LISJZTO,O,O,O,X,O,O,O,X
LISJZOT,O,O,O,X,X,X,X,X
LISJOTZ,O,O,X,X,X,X,X,X
LISJOZT,O,O,X,X,X,X,X,X
LISZTJO,O,O,O,X,O,O,O,X
LISZTOJ,O,O,O,X,O,X,O,X
LISZJTO,O,O,O,X,O,O,O,X
LISZJOT,O,O,O,X,X,X,X,X
LISZOTJ,O,O,O,X,O,X,X,O
LISZOJT,O,O,O,X,X,X,X,O
LISOTJZ,O,O,X,X,X,X,X,X
