sequence,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFFiBTjBGlB0?mB3pByvB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeuEJvhFFhBXiBTjBy?uBRrB0qB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeSFJvhFxhBTjBmmBU?qBFrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeUBJvhFFiBTjBClB2?vBRrB3pB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjB3?pBFrBUqB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JeRAJvhFSmBOnBTjBU?lB1uBXrB,v115@9gA8IeA8FeA8BeA8FeC8EeE8JexAJvhFXiBTjBllBU?qBirB+pB
TLIJOZS,O,O,O,O,O,X,X
TLISJZO,X,O,X,X,O,X,X
TLISJOZ,X,O,X,X,O,X,X
TLISZJO,X,O,X,X,O,X,X
TLISZOJ,X,O,X,X,O,X,X
TLISOJZ,X,O,X,X,O,X,X
TLISOZJ,X,O,X,X,O,X,X
TLIZJSO,X,O,O,O,X,X,X
TLIZJOS,X,O,O,O,O,X,X
TLIZSJO,X,O,X,X,X,X,X
TLIZSOJ,X,O,X,X,X,X,X
TLIZOJS,X,O,O,O,O,X,X
TLIZOSJ,X,O,X,X,X,X,X
TLIOJSZ,O,O,O,O,O,X,X
TLIOJZS,O,O,O,O,O,X,X
TLIOSJZ,X,O,X,X,O,X,X
TLIOSZJ,X,O,X,X,O,X,X
TLIOZJS,X,O,O,O,O,X,X
TLIOZSJ,X,O,X,X,X,X,X
TLJISZO,X,O,X,O,O,X,X
TLJISOZ,O,O,O,O,O,X,X
TLJIZSO,O,O,O,O,X,X,X
TLJIZOS,O,O,O,O,O,X,X
TLJIOSZ,O,O,O,O,O,X,X
TLJIOZS,O,O,O,O,O,X,X
TLJSIZO,X,O,X,X,O,O,X
TLJSIOZ,O,O,O,X,O,O,X
TLJSZIO,X,X,X,X,O,O,X
TLJSZOI,X,O,X,X,O,O,X
TLJSOIZ,O,O,O,X,O,O,X
TLJSOZI,X,O,O,X,O,O,X
TLJZISO,O,X,O,X,X,O,X
TLJZIOS,O,X,O,X,O,O,X
TLJZSIO,O,X,O,X,O,O,X
TLJZSOI,O,X,O,X,O,O,X
TLJZOIS,O,X,O,X,O,O,X
TLJZOSI,O,X,O,X,O,O,X
TLJOISZ,O,O,O,O,O,X,X
TLJOIZS,O,O,O,O,O,X,X
TLJOSIZ,O,O,O,X,O,O,X
TLJOSZI,X,O,O,X,O,O,X
TLJOZIS,O,X,O,X,O,O,X
TLJOZSI,O,X,O,X,O,O,X
TLSIJZO,X,O,X,X,O,O,X
TLSIJOZ,X,O,X,X,O,O,X
TLSIZJO,X,O,X,X,O,O,X
TLSIZOJ,X,O,X,X,O,O,X
TLSIOJZ,X,O,X,X,O,O,X
TLSIOZJ,X,O,X,X,O,O,X
TLSJIZO,X,O,X,X,O,O,X
TLSJIOZ,O,O,O,X,O,O,X
TLSJZIO,X,X,X,X,O,O,X
TLSJZOI,X,O,X,X,O,O,X
TLSJOIZ,O,O,O,X,O,O,X
TLSJOZI,X,O,O,X,O,O,X
TLSZIJO,X,X,X,X,O,O,O
TLSZIOJ,O,X,X,X,O,O,O
TLSZJIO,O,X,X,X,O,O,O
TLSZJOI,O,O,X,X,O,O,O
TLSZOIJ,O,X,X,X,O,O,O
TLSZOJI,O,O,X,X,O,O,O
TLSOIJZ,X,O,X,X,O,O,X
TLSOIZJ,X,O,X,X,O,O,X
TLSOJIZ,O,O,O,X,O,O,X
TLSOJZI,X,O,O,X,O,O,X
TLSOZIJ,O,X,X,X,O,O,O
TLSOZJI,O,O,X,X,O,O,O
TLZIJSO,O,X,O,X,X,O,O
TLZIJOS,O,X,O,X,O,O,O
TLZISJO,X,X,X,X,X,O,O
TLZISOJ,O,X,X,X,X,O,O
TLZIOJS,O,X,O,X,O,O,O
TLZIOSJ,O,X,X,X,X,O,O
TLZJISO,O,X,O,X,X,O,O
TLZJIOS,O,X,O,X,O,O,O
TLZJSIO,O,X,O,X,O,O,O
TLZJSOI,O,X,O,X,O,O,O
TLZJOIS,O,X,O,X,O,O,O
TLZJOSI,O,X,O,X,O,O,O
TLZSIJO,X,X,X,X,O,O,O
TLZSIOJ,O,X,X,X,O,O,O
TLZSJIO,O,X,O,X,O,O,O
TLZSJOI,O,X,O,X,O,O,O
TLZSOIJ,O,X,X,X,O,O,O
TLZSOJI,O,X,O,X,O,O,O
TLZOIJS,O,X,O,X,O,O,O
TLZOISJ,O,X,X,X,X,O,O
TLZOJIS,O,X,O,X,O,O,O
TLZOJSI,O,X,O,X,O,O,O
TLZOSIJ,O,X,X,X,O,O,O
TLZOSJI,O,X,O,X,O,O,O
TLOIJSZ,O,O,O,O,O,X,X
TLOIJZS,O,O,O,O,O,X,X
TLOISJZ,X,O,X,X,O,X,X
TLOISZJ,X,O,X,X,O,X,X
TLOIZJS,X,O,O,O,O,X,X
TLOIZSJ,X,O,X,X,X,X,X
TLOJISZ,O,O,O,O,O,X,X
TLOJIZS,O,O,O,O,O,X,X
TLOJSIZ,O,O,O,X,O,O,X
TLOJSZI,X,O,O,X,O,O,X
TLOJZIS,O,X,O,X,O,O,X
TLOJZSI,O,X,O,X,O,O,X
TLOSIJZ,X,O,X,X,O,O,X
TLOSIZJ,X,O,X,X,O,O,X
TLOSJIZ,O,O,O,X,O,O,X
TLOSJZI,X,O,O,X,O,O,X
TLOSZIJ,O,X,X,X,O,O,O
TLOSZJI,O,O,X,X,O,O,O
TLOZIJS,O,X,O,X,O,O,O
TLOZISJ,O,X,X,X,X,O,O
TLOZJIS,O,X,O,X,O,O,O
TLOZJSI,O,X,O,X,O,O,O
TLOZSIJ,O,X,X,X,O,O,O
TLOZSJI,O,X,O,X,O,O,O
TJILSZO,X,X,X,O,O,X,X
TJILSOZ,X,X,O,O,O,X,X
TJILZSO,X,X,O,O,X,X,X
TJILZOS,X,X,O,O,O,X,X
TJILOSZ,X,X,O,O,O,X,X
TJILOZS,X,X,O,O,O,X,X
TJISLZO,X,X,X,O,O,O,X
TJISLOZ,X,X,O,O,O,O,X
TJISZLO,X,X,O,O,O,O,X
TJISZOL,X,X,O,O,O,O,X
TJISOLZ,X,X,O,O,O,O,X
TJISOZL,X,X,O,O,O,O,X
TJIZLSO,X,X,O,O,X,O,X
TJIZLOS,X,X,O,O,X,O,X
TJIZSLO,X,X,O,O,X,O,X
TJIZSOL,X,X,O,O,X,O,X
TJIZOLS,X,X,O,O,X,O,X
TJIZOSL,X,X,O,O,X,O,X
TJIOLSZ,X,X,O,O,O,X,X
TJIOLZS,X,X,O,O,O,X,X
TJIOSLZ,X,X,O,O,O,O,X
TJIOSZL,X,X,O,O,O,O,X
TJIOZLS,X,X,O,O,X,O,X
TJIOZSL,X,X,O,O,X,O,X
TJLISZO,X,X,X,O,O,X,X
TJLISOZ,O,X,O,O,O,X,X
TJLIZSO,X,X,O,O,X,X,X
TJLIZOS,O,X,O,O,O,X,X
TJLIOSZ,O,X,O,O,O,X,X
TJLIOZS,O,X,O,O,O,X,X
TJLSIZO,X,X,X,X,O,O,X
TJLSIOZ,O,X,O,X,O,O,X
TJLSZIO,X,X,X,X,O,O,X
TJLSZOI,X,X,X,X,O,O,X
TJLSOIZ,O,X,O,X,O,O,X
TJLSOZI,X,X,O,X,O,O,X
TJLZISO,X,X,O,X,X,O,X
TJLZIOS,O,X,O,X,O,O,X
TJLZSIO,X,X,O,X,O,O,X
TJLZSOI,X,X,O,X,O,O,X
TJLZOIS,O,X,O,O,O,O,X
TJLZOSI,X,X,O,X,O,O,X
TJLOISZ,O,X,O,O,O,X,X
TJLOIZS,O,X,O,O,O,X,X
TJLOSIZ,O,X,O,X,O,O,X
TJLOSZI,X,X,O,X,O,O,X
TJLOZIS,O,X,O,O,O,O,X
TJLOZSI,X,X,O,X,O,O,X
TJSILZO,X,X,X,O,O,O,X
TJSILOZ,O,X,O,O,O,O,X
TJSIZLO,X,X,O,O,O,O,X
TJSIZOL,O,X,O,O,O,O,X
TJSIOLZ,O,X,O,O,O,O,X
TJSIOZL,O,X,O,O,O,O,X
TJSLIZO,X,X,X,X,O,O,X
TJSLIOZ,O,X,O,X,O,O,X
TJSLZIO,X,X,X,X,O,O,X
TJSLZOI,X,X,X,X,O,O,X
TJSLOIZ,O,X,O,X,O,O,X
TJSLOZI,X,X,O,X,O,O,X
TJSZILO,O,X,O,X,O,O,X
TJSZIOL,O,X,O,X,O,O,X
TJSZLIO,O,X,O,X,O,O,X
TJSZLOI,O,X,O,X,O,O,X
TJSZOIL,O,X,O,X,O,O,X
TJSZOLI,O,X,O,X,O,O,X
TJSOILZ,O,X,O,O,O,O,X
TJSOIZL,O,X,O,O,O,O,X
TJSOLIZ,O,X,O,X,O,O,X
TJSOLZI,X,X,O,X,O,O,X
TJSOZIL,O,X,O,X,O,O,X
TJSOZLI,O,X,O,X,O,O,X
TJZILSO,X,X,O,O,X,O,X
TJZILOS,X,X,O,O,X,O,X
TJZISLO,X,X,O,O,X,O,X
TJZISOL,X,X,O,O,X,O,X
TJZIOLS,O,X,O,O,X,O,X
TJZIOSL,O,X,O,O,X,O,X
TJZLISO,O,X,O,X,X,O,X
TJZLIOS,O,X,O,X,O,O,X
TJZLSIO,O,X,O,X,O,O,X
TJZLSOI,O,X,O,X,O,O,X
TJZLOIS,O,X,O,X,O,O,X
TJZLOSI,O,X,O,X,O,O,X
TJZSILO,O,X,O,X,O,O,X
TJZSIOL,O,X,O,X,O,O,X
TJZSLIO,O,X,O,X,O,O,X
TJZSLOI,O,X,O,X,O,O,X
TJZSOIL,O,X,O,X,O,O,X
TJZSOLI,O,X,O,X,O,O,X
TJZOILS,O,X,O,O,X,O,X
TJZOISL,O,X,O,O,X,O,X
TJZOLIS,O,X,O,X,O,O,X
TJZOLSI,O,X,O,X,O,O,X
TJZOSIL,O,X,O,X,O,O,X
TJZOSLI,O,X,O,X,O,O,X
TJOILSZ,X,X,O,O,O,X,X
TJOILZS,X,X,O,O,O,X,X
TJOISLZ,X,X,O,O,O,O,X
TJOISZL,X,X,O,O,O,O,X
TJOIZLS,X,X,O,O,X,O,X
TJOIZSL,X,X,O,O,X,O,X
TJOLISZ,O,X,O,O,O,X,X
TJOLIZS,O,X,O,O,O,X,X
TJOLSIZ,O,X,O,X,O,O,X
TJOLSZI,X,X,O,X,O,O,X
TJOLZIS,O,X,O,O,O,O,X
TJOLZSI,X,X,O,X,O,O,X
TJOSILZ,O,X,O,O,O,O,X
TJOSIZL,O,X,O,O,O,O,X
TJOSLIZ,O,X,O,X,O,O,X
TJOSLZI,X,X,O,X,O,O,X
TJOSZIL,O,X,O,X,O,O,X
TJOSZLI,O,X,O,X,O,O,X
TJOZILS,O,X,O,O,X,O,X
TJOZISL,O,X,O,O,X,O,X
TJOZLIS,O,X,O,X,O,O,X
TJOZLSI,O,X,O,X,O,O,X
TJOZSIL,O,X,O,X,O,O,X
TJOZSLI,O,X,O,X,O,O,X
TSILJZO,X,O,X,X,O,O,X
TSILJOZ,X,O,X,X,O,O,X
TSILZJO,X,O,X,X,O,O,X
TSILZOJ,X,O,X,X,O,O,X
TSILOJZ,X,O,X,X,O,O,X
TSILOZJ,X,O,X,X,O,O,X
TSIJLZO,X,O,X,O,O,O,X
TSIJLOZ,O,O,O,O,O,O,X
TSIJZLO,X,X,O,O,O,O,X
TSIJZOL,O,X,O,O,O,O,X
TSIJOLZ,O,O,O,O,O,O,X
TSIJOZL,O,X,O,O,O,O,X
TSIZLJO,X,O,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,O,X
TSIZJLO,O,X,O,O,X,O,X
TSIZJOL,O,X,O,O,X,O,X
TSIZOLJ,O,O,X,X,X,O,X
TSIZOJL,O,X,O,O,X,O,X
TSIOLJZ,X,O,X,X,O,O,X
TSIOLZJ,X,O,X,X,O,O,X
TSIOJLZ,O,O,O,O,O,O,X
TSIOJZL,O,X,O,O,O,O,X
TSIOZLJ,O,O,X,X,X,O,X
TSIOZJL,O,X,O,O,X,O,X
TSLIJZO,X,O,X,X,O,O,X
TSLIJOZ,X,O,X,X,O,O,X
TSLIZJO,X,O,X,X,O,O,X
TSLIZOJ,X,O,X,X,O,O,X
TSLIOJZ,X,O,X,X,O,O,X
TSLIOZJ,X,O,X,X,O,O,X
TSLJIZO,X,O,X,X,O,O,X
TSLJIOZ,O,O,O,X,O,O,X
TSLJZIO,X,X,X,X,O,O,X
TSLJZOI,X,O,X,X,O,O,X
TSLJOIZ,O,O,O,X,O,O,X
TSLJOZI,X,O,O,X,O,O,X
TSLZIJO,X,X,X,X,O,O,O
TSLZIOJ,O,X,X,X,O,O,O
TSLZJIO,O,X,X,X,O,O,O
TSLZJOI,O,O,X,X,O,O,O
TSLZOIJ,O,X,X,X,O,O,O
TSLZOJI,O,O,X,X,O,O,O
TSLOIJZ,X,O,X,X,O,O,X
TSLOIZJ,X,O,X,X,O,O,X
TSLOJIZ,O,O,O,X,O,O,X
TSLOJZI,X,O,O,X,O,O,X
TSLOZIJ,O,X,X,X,O,O,O
TSLOZJI,O,O,X,X,O,O,O
TSJILZO,X,O,X,O,O,O,X
TSJILOZ,O,O,O,O,O,O,X
TSJIZLO,O,X,O,O,O,O,X
TSJIZOL,O,X,O,O,O,O,X
TSJIOLZ,O,O,O,O,O,O,X
TSJIOZL,O,X,O,O,O,O,X
TSJLIZO,X,X,X,X,O,O,X
TSJLIOZ,O,O,O,X,O,O,X
TSJLZIO,X,X,X,X,O,O,X
TSJLZOI,X,O,X,X,O,O,X
TSJLOIZ,O,O,O,X,O,O,X
TSJLOZI,X,O,O,X,O,O,X
TSJZILO,O,X,O,X,O,O,X
TSJZIOL,O,X,O,X,O,O,X
TSJZLIO,O,X,O,X,O,O,X
TSJZLOI,O,X,O,X,O,O,X
TSJZOIL,O,X,O,X,O,O,X
TSJZOLI,O,X,O,X,O,O,X
TSJOILZ,O,O,O,O,O,O,X
TSJOIZL,O,X,O,O,O,O,X
TSJOLIZ,O,O,O,X,O,O,X
TSJOLZI,X,O,O,X,O,O,X
TSJOZIL,O,X,O,X,O,O,X
TSJOZLI,O,X,O,X,O,O,X
TSZILJO,X,O,X,X,X,O,X
TSZILOJ,O,O,X,X,X,O,X
TSZIJLO,O,X,O,X,X,O,X
TSZIJOL,O,X,O,X,X,O,X
TSZIOLJ,O,O,X,X,X,O,X
TSZIOJL,O,X,O,X,X,O,X
TSZLIJO,X,X,X,X,O,O,O
TSZLIOJ,O,X,X,X,O,O,O
TSZLJIO,O,X,O,X,O,O,O
TSZLJOI,O,O,O,X,O,O,O
TSZLOIJ,O,X,X,X,O,O,O
TSZLOJI,O,O,O,X,O,O,O
TSZJILO,O,X,O,X,O,O,X
TSZJIOL,O,X,O,X,O,O,X
TSZJLIO,O,X,O,X,O,O,X
TSZJLOI,O,X,O,X,O,O,X
TSZJOIL,O,X,O,X,O,O,X
TSZJOLI,O,X,O,X,O,O,X
TSZOILJ,O,O,X,X,X,O,X
TSZOIJL,O,X,O,X,X,O,X
TSZOLIJ,O,X,X,X,O,O,O
TSZOLJI,O,O,O,X,O,O,O
TSZOJIL,O,X,O,X,O,O,X
TSZOJLI,O,X,O,X,O,O,X
TSOILJZ,X,O,X,X,O,O,X
TSOILZJ,X,O,X,X,O,O,X
TSOIJLZ,O,O,O,O,O,O,X
TSOIJZL,O,X,O,O,O,O,X
TSOIZLJ,O,O,X,X,X,O,X
TSOIZJL,O,X,O,O,X,O,X
TSOLIJZ,X,O,X,X,O,O,X
TSOLIZJ,X,O,X,X,O,O,X
TSOLJIZ,O,O,O,X,O,O,X
TSOLJZI,X,O,O,X,O,O,X
TSOLZIJ,O,X,X,X,O,O,O
TSOLZJI,O,O,X,X,O,O,O
TSOJILZ,O,O,O,O,O,O,X
TSOJIZL,O,X,O,O,O,O,X
TSOJLIZ,O,O,O,X,O,O,X
TSOJLZI,X,O,O,X,O,O,X
TSOJZIL,O,X,O,X,O,O,X
TSOJZLI,O,X,O,X,O,O,X
TSOZILJ,O,O,X,X,X,O,X
TSOZIJL,O,X,O,X,X,O,X
TSOZLIJ,O,X,X,X,O,O,O
TSOZLJI,O,O,O,X,O,O,O
TSOZJIL,O,X,O,X,O,O,X
TSOZJLI,O,X,O,X,O,O,X
TZILJSO,O,X,O,O,X,O,O
TZILJOS,O,X,O,O,X,O,O
TZILSJO,X,X,X,X,X,O,O
TZILSOJ,O,X,X,X,X,O,O
TZILOJS,O,X,O,O,X,O,O
TZILOSJ,O,X,X,X,X,O,O
TZIJLSO,X,X,O,O,X,O,X
TZIJLOS,X,X,O,O,X,O,X
TZIJSLO,X,X,O,O,X,O,X
TZIJSOL,X,X,O,O,X,O,X
TZIJOLS,O,X,O,O,X,O,X
TZIJOSL,O,X,O,O,X,O,X
TZISLJO,X,X,X,X,X,O,X
TZISLOJ,O,X,X,X,X,O,X
TZISJLO,O,X,O,O,X,O,X
TZISJOL,O,X,O,O,X,O,X
TZISOLJ,O,X,X,X,X,O,X
TZISOJL,O,X,O,O,X,O,X
TZIOLJS,O,X,O,O,X,O,O
TZIOLSJ,O,X,X,X,X,O,O
TZIOJLS,O,X,O,O,X,O,X
TZIOJSL,O,X,O,O,X,O,X
TZIOSLJ,O,X,X,X,X,O,X
TZIOSJL,O,X,O,O,X,O,X
TZLIJSO,O,X,O,X,X,O,O
TZLIJOS,O,X,O,X,O,O,O
TZLISJO,X,X,X,X,X,O,O
TZLISOJ,O,X,X,X,X,O,O
TZLIOJS,O,X,O,X,O,O,O
TZLIOSJ,O,X,X,X,X,O,O
TZLJISO,O,X,O,X,X,O,O
TZLJIOS,O,X,O,X,O,O,O
TZLJSIO,O,X,O,X,O,O,O
TZLJSOI,O,X,O,X,O,O,O
TZLJOIS,O,X,O,X,O,O,O
TZLJOSI,O,X,O,X,O,O,O
TZLSIJO,X,X,X,X,O,O,O
TZLSIOJ,O,X,X,X,O,O,O
TZLSJIO,O,X,O,X,O,O,O
TZLSJOI,O,X,O,X,O,O,O
TZLSOIJ,O,X,X,X,O,O,O
TZLSOJI,O,X,O,X,O,O,O
TZLOIJS,O,X,O,X,O,O,O
TZLOISJ,O,X,X,X,X,O,O
TZLOJIS,O,X,O,X,O,O,O
TZLOJSI,O,X,O,X,O,O,O
TZLOSIJ,O,X,X,X,O,O,O
TZLOSJI,O,X,O,X,O,O,O
TZJILSO,X,X,O,O,X,O,X
TZJILOS,X,X,O,O,X,O,X
TZJISLO,X,X,O,O,X,O,X
TZJISOL,X,X,O,O,X,O,X
TZJIOLS,O,X,O,O,X,O,X
TZJIOSL,O,X,O,O,X,O,X
TZJLISO,O,X,O,X,X,O,O
TZJLIOS,O,X,O,X,O,O,O
TZJLSIO,O,X,O,X,O,O,O
TZJLSOI,O,X,O,X,O,O,O
TZJLOIS,O,X,O,X,O,O,O
TZJLOSI,O,X,O,X,O,O,O
TZJSILO,O,X,O,X,O,O,X
TZJSIOL,O,X,O,X,O,O,X
TZJSLIO,O,X,O,X,O,O,X
TZJSLOI,O,X,O,X,O,O,X
TZJSOIL,O,X,O,X,O,O,X
TZJSOLI,O,X,O,X,O,O,X
TZJOILS,O,X,O,O,X,O,X
TZJOISL,O,X,O,O,X,O,X
TZJOLIS,O,X,O,X,O,O,O
TZJOLSI,O,X,O,X,O,O,O
TZJOSIL,O,X,O,X,O,O,X
TZJOSLI,O,X,O,X,O,O,X
TZSILJO,X,X,X,X,X,O,X
TZSILOJ,O,X,X,X,X,O,X
TZSIJLO,O,X,O,X,X,O,X
TZSIJOL,O,X,O,X,X,O,X
TZSIOLJ,O,X,X,X,X,O,X
TZSIOJL,O,X,O,X,X,O,X
TZSLIJO,X,X,X,X,O,O,O
TZSLIOJ,O,X,X,X,O,O,O
TZSLJIO,O,X,O,X,O,O,O
TZSLJOI,O,X,O,X,O,O,O
TZSLOIJ,O,X,X,X,O,O,O
TZSLOJI,O,X,O,X,O,O,O
TZSJILO,O,X,O,X,O,O,X
TZSJIOL,O,X,O,X,O,O,X
TZSJLIO,O,X,O,X,O,O,X
TZSJLOI,O,X,O,X,O,O,X
TZSJOIL,O,X,O,X,O,O,X
TZSJOLI,O,X,O,X,O,O,X
TZSOILJ,O,X,X,X,X,O,X
TZSOIJL,O,X,O,X,X,O,X
TZSOLIJ,O,X,X,X,O,O,O
TZSOLJI,O,X,O,X,O,O,O
TZSOJIL,O,X,O,X,O,O,X
TZSOJLI,O,X,O,X,O,O,X
TZOILJS,O,X,O,O,X,O,O
TZOILSJ,O,X,X,X,X,O,O
TZOIJLS,O,X,O,O,X,O,X
TZOIJSL,O,X,O,O,X,O,X
TZOISLJ,O,X,X,X,X,O,X
TZOISJL,O,X,O,O,X,O,X
TZOLIJS,O,X,O,X,O,O,O
TZOLISJ,O,X,X,X,X,O,O
TZOLJIS,O,X,O,X,O,O,O
TZOLJSI,O,X,O,X,O,O,O
TZOLSIJ,O,X,X,X,O,O,O
TZOLSJI,O,X,O,X,O,O,O
TZOJILS,O,X,O,O,X,O,X
TZOJISL,O,X,O,O,X,O,X
TZOJLIS,O,X,O,X,O,O,O
TZOJLSI,O,X,O,X,O,O,O
TZOJSIL,O,X,O,X,O,O,X
TZOJSLI,O,X,O,X,O,O,X
TZOSILJ,O,X,X,X,X,O,X
TZOSIJL,O,X,O,X,X,O,X
TZOSLIJ,O,X,X,X,O,O,O
TZOSLJI,O,X,O,X,O,O,O
TZOSJIL,O,X,O,X,O,O,X
