sequence,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBUiBzlB6tB3sBFtB,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBFiB6oBzlBUtB3sB,v115@MhA8DeC8BeB8CeF8NeT/IvhFmgBFiBXjB0lBStBxxB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBFjBRlB+tBzlB3sB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBGjBRlB/tBzlB1xB,v115@MhA8DeC8BeB8CeF8NeT/IvhFylBFiBGoB0lBXoBxxB
TLSZIOJ,X,X,X,X,O,X
TLSZJIO,X,X,X,X,O,X
TLSZJOI,O,X,X,X,O,X
TLSZOIJ,O,X,X,X,O,X
TLSZOJI,O,X,X,X,O,X
TLSOIJZ,O,X,X,X,O,O
TLSOIZJ,O,X,X,X,O,X
TLSOJIZ,O,X,X,X,O,X
TLSOJZI,O,X,X,X,O,X
TLSOZIJ,O,X,X,X,O,X
TLSOZJI,O,X,X,X,O,X
TLZIJSO,X,O,O,O,O,X
TLZIJOS,X,O,O,O,X,O
TLZISJO,X,X,O,X,O,X
TLZISOJ,X,X,O,X,O,X
TLZIOJS,X,O,O,X,X,O
TLZIOSJ,X,O,O,X,O,X
TLZJISO,X,O,O,O,O,X
TLZJIOS,X,O,O,O,X,X
TLZJSIO,X,O,X,O,O,X
TLZJSOI,X,O,X,X,O,X
TLZJOIS,O,O,O,O,X,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,X,X,X,X,O,X
TLZSIOJ,X,X,X,X,O,X
TLZSJIO,X,O,X,X,O,X
TLZSJOI,X,O,X,X,O,X
TLZSOIJ,X,O,X,X,O,X
TLZSOJI,X,O,X,X,O,X
TLZOIJS,O,O,O,X,X,O
TLZOISJ,X,O,O,X,O,X
TLZOJIS,O,O,O,X,X,X
TLZOJSI,O,O,X,X,X,X
TLZOSIJ,X,O,X,X,O,X
TLZOSJI,X,O,X,X,O,X
TLOIJSZ,O,X,O,X,X,O
TLOIJZS,O,O,O,X,X,O
TLOISJZ,O,X,O,X,O,O
TLOISZJ,O,X,O,X,O,X
TLOIZJS,O,O,O,X,X,O
TLOIZSJ,X,O,O,X,O,X
TLOJISZ,O,X,X,X,X,O
TLOJIZS,O,O,X,X,X,O
TLOJSIZ,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X
TLOJZIS,O,O,X,X,X,X
TLOJZSI,O,O,X,X,X,X
TLOSIJZ,O,X,X,X,O,O
TLOSIZJ,O,X,X,X,O,X
TLOSJIZ,O,X,X,X,O,X
TLOSJZI,O,X,X,X,O,X
TLOSZIJ,O,X,X,X,O,X
TLOSZJI,O,X,X,X,O,X
TLOZIJS,O,O,O,X,X,O
TLOZISJ,X,O,O,X,O,X
TLOZJIS,O,O,O,X,X,X
TLOZJSI,O,O,X,X,X,X
TLOZSIJ,X,O,X,X,O,X
TLOZSJI,X,O,X,X,O,X
TJILSZO,X,X,O,O,O,X
TJILSOZ,X,X,O,O,O,O
TJILZSO,X,O,O,O,O,X
TJILZOS,X,O,O,O,X,O
TJILOSZ,X,X,O,X,X,O
TJILOZS,X,X,O,O,X,O
TJISLZO,X,X,X,O,O,X
TJISLOZ,X,X,X,O,O,O
TJISZLO,X,O,X,O,O,X
TJISZOL,X,X,X,O,O,X
TJISOLZ,X,X,X,O,O,O
TJISOZL,X,X,X,O,O,X
TJIZLSO,X,O,O,O,O,X
TJIZLOS,X,O,O,O,X,O
TJIZSLO,X,O,O,O,O,X
TJIZSOL,X,X,O,X,O,X
TJIZOLS,X,O,O,O,X,O
TJIZOSL,X,O,O,X,X,X
TJIOLSZ,X,X,O,X,X,O
TJIOLZS,X,O,O,O,X,O
TJIOSLZ,X,X,X,X,X,O
TJIOSZL,X,O,X,X,X,X
TJIOZLS,X,O,O,O,X,O
TJIOZSL,X,O,O,X,X,X
TJLISZO,X,X,X,O,O,X
TJLISOZ,X,X,X,O,O,O
TJLIZSO,X,O,X,O,O,X
TJLIZOS,X,O,X,O,X,O
TJLIOSZ,X,X,X,X,X,O
TJLIOZS,X,X,X,O,X,O
TJLSIZO,X,X,X,O,O,X
TJLSIOZ,X,X,X,O,O,X
TJLSZIO,X,X,X,O,O,X
TJLSZOI,O,X,X,O,O,X
TJLSOIZ,O,X,X,O,O,X
TJLSOZI,O,X,X,O,O,X
TJLZISO,X,O,X,O,O,X
TJLZIOS,X,O,X,O,X,X
TJLZSIO,X,O,X,O,O,X
TJLZSOI,X,O,X,X,O,X
TJLZOIS,O,O,X,O,X,X
TJLZOSI,O,O,X,X,X,X
TJLOISZ,O,X,X,X,X,O
TJLOIZS,O,O,X,O,X,O
TJLOSIZ,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,O,O,X,X,X,X
TJSILZO,X,X,X,O,O,X
TJSILOZ,X,X,X,O,O,X
TJSIZLO,X,O,X,O,O,X
TJSIZOL,X,X,X,O,O,X
TJSIOLZ,X,X,X,O,O,X
TJSIOZL,X,X,X,O,O,X
TJSLIZO,X,X,X,O,O,X
TJSLIOZ,X,X,X,O,O,X
TJSLZIO,X,X,X,O,O,X
TJSLZOI,O,X,X,O,O,X
TJSLOIZ,O,X,X,O,O,X
TJSLOZI,O,X,X,O,O,X
TJSZILO,X,O,X,O,O,X
TJSZIOL,X,X,X,O,O,X
TJSZLIO,X,O,X,O,O,X
TJSZLOI,O,O,X,O,O,X
TJSZOIL,O,O,X,O,O,X
TJSZOLI,O,O,X,O,O,X
