sequence,v115@JhA8EeA8AeC8BeA8BeA8AeC8DeB8KeT/IvhF6lB0hB?liB5oBerBXsB,v115@JhA8EeA8AeC8BeA8BeA8AeC8DeB8KeT/IvhFlgBunB?5oB8qBasB3rB
ILJSTOZ,O,X
ILJSZTO,O,X
ILJSZOT,O,X
ILJSOTZ,O,X
ILJSOZT,O,X
ILJZTSO,X,X
ILJZTOS,O,O
ILJZSTO,X,X
ILJZSOT,X,X
ILJZOTS,O,O
ILJZOST,X,X
ILJOTSZ,X,X
ILJOTZS,O,X
ILJOSTZ,O,X
ILJOSZT,O,X
ILJOZTS,O,O
ILJOZST,X,X
ILSTJZO,O,X
ILSTJOZ,O,X
ILSTZJO,X,X
ILSTZOJ,X,X
ILSTOJZ,O,X
ILSTOZJ,X,X
ILSJTZO,O,X
ILSJTOZ,O,X
ILSJZTO,O,X
ILSJZOT,O,X
ILSJOTZ,O,X
ILSJOZT,O,X
ILSZTJO,X,X
ILSZTOJ,X,X
ILSZJTO,X,X
ILSZJOT,X,X
ILSZOTJ,X,X
ILSZOJT,X,X
ILSOTJZ,O,X
ILSOTZJ,X,X
ILSOJTZ,O,X
ILSOJZT,O,X
ILSOZTJ,X,X
ILSOZJT,X,X
ILZTJSO,X,X
ILZTJOS,X,O
ILZTSJO,X,X
ILZTSOJ,X,X
ILZTOJS,X,O
ILZTOSJ,X,X
ILZJTSO,X,X
ILZJTOS,X,O
ILZJSTO,X,X
ILZJSOT,X,X
ILZJOTS,X,O
ILZJOST,X,X
ILZSTJO,X,X
ILZSTOJ,X,X
ILZSJTO,X,X
ILZSJOT,X,X
ILZSOTJ,X,X
ILZSOJT,X,X
ILZOTJS,X,O
ILZOTSJ,X,X
ILZOJTS,X,O
ILZOJST,X,X
ILZOSTJ,X,X
ILZOSJT,X,X
ILOTJSZ,X,X
ILOTJZS,O,X
ILOTSJZ,X,X
ILOTSZJ,X,X
ILOTZJS,X,X
ILOTZSJ,X,X
ILOJTSZ,X,X
ILOJTZS,O,X
ILOJSTZ,O,X
ILOJSZT,O,X
ILOJZTS,O,O
ILOJZST,X,X
ILOSTJZ,O,X
ILOSTZJ,X,X
ILOSJTZ,O,X
ILOSJZT,O,X
ILOSZTJ,X,X
ILOSZJT,X,X
ILOZTJS,X,O
ILOZTSJ,X,X
ILOZJTS,X,O
ILOZJST,X,X
ILOZSTJ,X,X
ILOZSJT,X,X
IJTLSZO,X,X
IJTLSOZ,X,X
IJTLZSO,X,X
IJTLZOS,O,X
IJTLOSZ,X,X
IJTLOZS,O,X
IJTSLZO,X,X
IJTSLOZ,X,X
IJTSZLO,X,X
IJTSZOL,X,X
IJTSOLZ,X,X
IJTSOZL,X,X
IJTZLSO,X,X
IJTZLOS,O,X
IJTZSLO,X,X
IJTZSOL,X,X
