sequence,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBXhB?TiBeoBUsBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFUgBFhB?enBziB3sBSwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgB/mB?UiBaoBTsBWwB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBiiB?znBUsBGrBXrB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBaoB?zmB+sB8qB3rB,v115@GhA8AeA8GeA8AeD8DeA8AeB8EeB8JeZEJvhFFgBzhB?aoB+sB3rB8qB
TOJSLIZ,X,X,O,X,O,X
TOJSLZI,X,X,O,X,X,X
TOJSZIL,O,X,O,X,X,X
TOJSZLI,O,X,O,X,X,X
TOJZILS,O,X,X,O,O,X
TOJZISL,O,X,X,O,X,X
TOJZLIS,O,X,X,O,O,X
TOJZLSI,O,X,X,X,X,X
TOJZSIL,O,X,X,X,X,X
TOJZSLI,O,X,X,X,X,X
TOSILJZ,X,O,O,X,X,X
TOSILZJ,X,O,O,X,X,X
TOSIJLZ,X,O,O,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,X,O,O,O,X,X
TOSIZJL,O,O,O,O,X,X
TOSLIJZ,X,O,O,X,X,X
TOSLIZJ,X,O,O,X,X,X
TOSLJIZ,X,O,O,X,X,X
TOSLJZI,X,O,O,X,X,X
TOSLZIJ,X,O,O,X,X,X
TOSLZJI,X,O,O,X,X,X
TOSJILZ,X,O,O,X,X,X
TOSJIZL,O,O,O,X,X,X
TOSJLIZ,X,O,O,X,X,X
TOSJLZI,X,O,O,X,X,X
TOSJZIL,O,O,O,X,X,X
TOSJZLI,O,O,O,X,X,X
TOSZILJ,X,O,O,O,X,X
TOSZIJL,O,O,O,O,X,X
TOSZLIJ,X,O,O,O,X,X
TOSZLJI,X,O,O,X,X,X
TOSZJIL,O,O,O,X,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,X,X,X,O,X,X
TOZILSJ,X,X,O,O,X,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,X,O,X,X
TOZISLJ,X,O,O,O,X,X
TOZISJL,O,O,O,O,X,X
TOZLIJS,X,X,X,O,X,X
TOZLISJ,X,X,O,O,X,X
TOZLJIS,X,X,X,O,X,X
TOZLJSI,X,X,X,X,X,X
TOZLSIJ,X,X,O,O,X,X
TOZLSJI,X,X,O,X,X,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,X,O,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,X,X,X
TOZJSIL,O,X,X,X,X,X
TOZJSLI,O,X,X,X,X,X
TOZSILJ,X,O,O,O,X,X
TOZSIJL,O,O,O,O,X,X
TOZSLIJ,X,O,O,O,X,X
TOZSLJI,X,O,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,O,X,X,X,X,O
ITLJSOZ,X,X,X,X,O,O
ITLJZSO,O,X,X,X,X,X
ITLJZOS,O,X,X,X,O,X
ITLJOSZ,X,X,O,X,O,X
ITLJOZS,X,X,X,X,O,X
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,X,O,X,X,O,X
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,X,O,X,X,X,X
ITLSOJZ,X,O,O,X,X,X
ITLSOZJ,X,O,O,X,X,X
ITLZJSO,O,X,X,X,X,X
ITLZJOS,O,X,X,X,O,X
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,X,O,X,X,X,X
ITLZOJS,X,X,X,O,X,X
ITLZOSJ,X,X,O,O,X,X
ITLOJSZ,X,X,O,X,O,X
ITLOJZS,X,X,X,X,O,X
ITLOSJZ,X,X,O,X,X,X
ITLOSZJ,X,X,O,X,X,X
ITLOZJS,X,X,X,O,X,X
ITLOZSJ,X,X,O,O,X,X
ITJLSZO,O,X,X,X,X,O
ITJLSOZ,X,X,X,X,O,O
ITJLZSO,O,X,X,X,X,X
ITJLZOS,O,X,X,X,O,X
ITJLOSZ,X,X,O,X,O,X
ITJLOZS,X,X,X,X,O,X
ITJSLZO,O,O,X,X,X,O
ITJSLOZ,X,O,X,X,O,O
ITJSZLO,O,O,X,X,X,X
ITJSZOL,O,O,X,X,X,X
ITJSOLZ,X,O,O,X,O,O
ITJSOZL,O,O,O,X,X,X
ITJZLSO,O,X,X,X,X,X
ITJZLOS,O,X,X,X,O,X
ITJZSLO,O,O,X,X,X,X
ITJZSOL,O,O,X,X,X,X
ITJZOLS,O,X,X,O,O,X
ITJZOSL,O,X,X,O,X,X
ITJOLSZ,X,X,O,X,O,X
ITJOLZS,X,X,X,X,O,X
ITJOSLZ,X,X,O,X,O,X
ITJOSZL,O,X,O,X,X,X
ITJOZLS,O,X,X,O,O,X
ITJOZSL,O,X,X,O,X,X
ITSLJZO,O,O,X,X,X,X
ITSLJOZ,X,O,X,X,O,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,X,O,X,X,X,X
ITSLOJZ,X,O,O,X,X,X
ITSLOZJ,X,O,O,X,X,X
ITSJLZO,O,O,X,X,X,O
ITSJLOZ,X,O,X,X,O,O
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,X,X,X
ITSJOLZ,X,O,O,X,O,O
ITSJOZL,O,O,O,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,X,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,X,O,O,O,X,X
ITSZOJL,O,O,O,O,X,X
ITSOLJZ,X,O,O,X,X,X
ITSOLZJ,X,O,O,X,X,X
ITSOJLZ,X,O,O,X,X,O
ITSOJZL,O,O,O,X,X,X
ITSOZLJ,X,O,O,O,X,X
ITSOZJL,O,O,O,O,X,X
ITZLJSO,O,X,X,X,X,X
ITZLJOS,O,X,X,X,O,X
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,X,O,X,X,X,X
ITZLOJS,X,X,X,O,X,X
ITZLOSJ,X,X,O,O,X,X
ITZJLSO,O,X,X,X,X,X
ITZJLOS,O,X,X,X,O,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,X,X,O,O,X
ITZJOSL,O,X,X,O,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,X,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,X,O,O,O,X,X
ITZSOJL,O,O,O,O,X,X
ITZOLJS,X,X,X,O,X,X
ITZOLSJ,X,X,O,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,O,X,X
ITZOSLJ,X,O,O,O,X,X
ITZOSJL,O,O,O,O,X,X
ITOLJSZ,X,X,O,X,O,X
ITOLJZS,X,X,X,X,O,X
ITOLSJZ,X,X,O,X,X,X
ITOLSZJ,X,X,O,X,X,X
ITOLZJS,X,X,X,O,X,X
ITOLZSJ,X,X,O,O,X,X
ITOJLSZ,X,X,O,X,O,X
ITOJLZS,X,X,X,X,O,X
ITOJSLZ,X,X,O,X,O,X
ITOJSZL,O,X,O,X,X,X
ITOJZLS,O,X,X,O,O,X
ITOJZSL,O,X,X,O,X,X
ITOSLJZ,X,O,O,X,X,X
ITOSLZJ,X,O,O,X,X,X
ITOSJLZ,X,O,O,X,X,X
ITOSJZL,O,O,O,X,X,X
ITOSZLJ,X,O,O,O,X,X
ITOSZJL,O,O,O,O,X,X
ITOZLJS,X,X,X,O,X,X
ITOZLSJ,X,X,O,O,X,X
ITOZJLS,O,X,X,O,X,X
ITOZJSL,O,X,X,O,X,X
ITOZSLJ,X,O,O,O,X,X
ITOZSJL,O,O,O,O,X,X
ILTJSZO,O,X,X,X,X,O
ILTJSOZ,X,X,X,X,O,O
ILTJZSO,O,X,X,X,X,X
ILTJZOS,O,X,X,X,O,X
ILTJOSZ,X,X,O,X,O,X
ILTJOZS,X,X,X,X,O,X
ILTSJZO,O,O,X,X,X,X
ILTSJOZ,X,O,X,X,O,X
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,X,O,X,X,X,X
ILTSOJZ,X,O,O,X,X,X
ILTSOZJ,X,O,O,X,X,X
ILTZJSO,O,X,X,X,X,X
ILTZJOS,O,X,X,X,O,X
ILTZSJO,O,O,X,X,X,X
ILTZSOJ,X,O,X,X,X,X
ILTZOJS,X,X,X,O,X,X
ILTZOSJ,X,X,O,O,X,X
ILTOJSZ,X,X,O,X,O,X
ILTOJZS,X,X,X,X,O,X
ILTOSJZ,X,X,O,X,X,X
ILTOSZJ,X,X,O,X,X,X
ILTOZJS,X,X,X,O,X,X
ILTOZSJ,X,X,O,O,X,X
ILJTSZO,O,X,X,X,X,O
ILJTSOZ,X,X,X,X,O,O
ILJTZSO,O,X,X,X,X,X
ILJTZOS,O,X,X,X,O,X
ILJTOSZ,X,X,O,X,O,X
ILJTOZS,X,X,X,X,O,X
ILJSTZO,O,X,X,X,X,O
ILJSTOZ,X,X,X,X,O,O
ILJSZTO,O,X,X,X,X,O
ILJSZOT,O,X,X,X,X,O
ILJSOTZ,X,X,X,X,O,O
ILJSOZT,X,X,X,X,O,O
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,X,X,X,O,X
ILJZSTO,O,X,X,X,X,O
ILJZSOT,O,X,X,X,X,O
ILJZOTS,O,X,X,X,O,X
ILJZOST,O,X,X,X,O,X
ILJOTSZ,X,X,O,X,O,X
ILJOTZS,X,X,X,X,O,X
ILJOSTZ,X,X,O,X,O,O
ILJOSZT,X,X,O,X,O,O
ILJOZTS,X,X,X,X,O,X
ILJOZST,X,X,X,X,O,X
ILSTJZO,O,O,X,X,X,X
ILSTJOZ,X,O,X,X,O,X
ILSTZJO,O,O,X,X,X,X
ILSTZOJ,X,O,X,X,X,X
ILSTOJZ,X,O,O,X,X,X
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,O,O,X,X,X,O
ILSJTOZ,X,O,X,X,O,O
ILSJZTO,O,O,X,X,X,O
ILSJZOT,O,O,X,X,X,O
ILSJOTZ,X,O,X,X,O,O
ILSJOZT,X,O,X,X,O,O
ILSZTJO,O,O,X,X,X,X
ILSZTOJ,X,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X
ILSZJOT,O,O,X,X,X,X
ILSZOTJ,X,O,X,X,X,X
ILSZOJT,X,O,X,X,X,X
ILSOTJZ,X,O,O,X,X,X
ILSOTZJ,X,O,O,X,X,X
ILSOJTZ,X,O,O,X,X,O
ILSOJZT,X,O,O,X,X,O
ILSOZTJ,X,O,O,X,X,X
ILSOZJT,X,O,O,X,X,X
ILZTJSO,O,X,X,X,X,X
ILZTJOS,O,X,X,X,O,X
ILZTSJO,O,O,X,X,X,X
ILZTSOJ,X,O,X,X,X,X
ILZTOJS,X,X,X,O,X,X
ILZTOSJ,X,X,O,O,X,X
ILZJTSO,O,X,X,X,X,X
ILZJTOS,O,X,X,X,O,X
ILZJSTO,O,X,X,X,X,O
ILZJSOT,O,X,X,X,X,O
ILZJOTS,O,X,X,X,O,X
ILZJOST,O,X,X,X,O,X
ILZSTJO,O,O,X,X,X,X
ILZSTOJ,X,O,X,X,X,X
ILZSJTO,O,O,X,X,X,X
ILZSJOT,O,O,X,X,X,X
ILZSOTJ,X,O,X,X,X,X
ILZSOJT,X,O,X,X,X,X
ILZOTJS,X,X,X,O,X,X
ILZOTSJ,X,X,O,O,X,X
ILZOJTS,X,X,X,O,X,X
ILZOJST,X,X,X,O,X,X
ILZOSTJ,X,X,O,O,X,X
ILZOSJT,X,X,O,O,X,X
ILOTJSZ,X,X,O,X,O,X
ILOTJZS,X,X,X,X,O,X
ILOTSJZ,X,X,O,X,X,X
ILOTSZJ,X,X,O,X,X,X
ILOTZJS,X,X,X,O,X,X
ILOTZSJ,X,X,O,O,X,X
ILOJTSZ,X,X,O,X,O,X
ILOJTZS,X,X,X,X,O,X
ILOJSTZ,X,X,O,X,O,O
ILOJSZT,X,X,O,X,O,O
ILOJZTS,X,X,X,X,O,X
ILOJZST,X,X,X,X,O,X
ILOSTJZ,X,X,O,X,X,X
ILOSTZJ,X,X,O,X,X,X
ILOSJTZ,X,X,O,X,X,X
ILOSJZT,X,X,O,X,X,X
ILOSZTJ,X,X,O,X,X,X
ILOSZJT,X,X,O,X,X,X
ILOZTJS,X,X,X,O,X,X
ILOZTSJ,X,X,O,O,X,X
ILOZJTS,X,X,X,O,X,X
ILOZJST,X,X,X,O,X,X
ILOZSTJ,X,X,O,O,X,X
ILOZSJT,X,X,O,O,X,X
IJTLSZO,O,X,X,X,X,O
IJTLSOZ,X,X,X,X,O,O
IJTLZSO,O,X,X,X,X,X
IJTLZOS,O,X,X,X,O,X
IJTLOSZ,X,X,O,X,O,X
IJTLOZS,X,X,X,X,O,X
IJTSLZO,O,O,X,X,X,O
IJTSLOZ,X,O,X,X,O,O
IJTSZLO,O,O,X,X,X,X
IJTSZOL,O,O,X,X,X,X
IJTSOLZ,X,O,O,X,O,O
IJTSOZL,O,O,O,X,X,X
IJTZLSO,O,X,X,X,X,X
IJTZLOS,O,X,X,X,O,X
IJTZSLO,O,O,X,X,X,X
IJTZSOL,O,O,X,X,X,X
IJTZOLS,O,X,X,O,O,X
IJTZOSL,O,X,X,O,X,X
IJTOLSZ,X,X,O,X,O,X
IJTOLZS,X,X,X,X,O,X
IJTOSLZ,X,X,O,X,O,X
IJTOSZL,O,X,O,X,X,X
IJTOZLS,O,X,X,O,O,X
IJTOZSL,O,X,X,O,X,X
IJLTSZO,O,X,X,X,X,O
IJLTSOZ,X,X,X,X,O,O
IJLTZSO,O,X,X,X,X,X
IJLTZOS,O,X,X,X,O,X
IJLTOSZ,X,X,O,X,O,X
IJLTOZS,X,X,X,X,O,X
IJLSTZO,O,X,X,X,X,O
IJLSTOZ,X,X,X,X,O,O
IJLSZTO,O,X,X,X,X,O
IJLSZOT,O,X,X,X,X,O
IJLSOTZ,X,X,X,X,O,O
IJLSOZT,X,X,X,X,O,O
IJLZTSO,O,X,X,X,X,X
IJLZTOS,O,X,X,X,O,X
IJLZSTO,O,X,X,X,X,O
IJLZSOT,O,X,X,X,X,O
IJLZOTS,O,X,X,X,O,X
IJLZOST,O,X,X,X,O,X
IJLOTSZ,X,X,O,X,O,X
IJLOTZS,X,X,X,X,O,X
IJLOSTZ,X,X,O,X,O,O
IJLOSZT,X,X,O,X,O,O
IJLOZTS,X,X,X,X,O,X
IJLOZST,X,X,X,X,O,X
IJSTLZO,O,O,X,X,X,O
IJSTLOZ,X,O,X,X,O,O
IJSTZLO,O,O,X,X,X,X
IJSTZOL,O,O,X,X,X,X
IJSTOLZ,X,O,O,X,O,O
IJSTOZL,O,O,O,X,X,X
IJSLTZO,O,O,X,X,X,O
IJSLTOZ,X,O,X,X,O,O
IJSLZTO,O,O,X,X,X,O
IJSLZOT,O,O,X,X,X,O
IJSLOTZ,X,O,X,X,O,O
IJSLOZT,X,O,X,X,O,O
IJSZTLO,O,O,X,X,X,X
IJSZTOL,O,O,X,X,X,X
IJSZLTO,O,O,X,X,X,O
IJSZLOT,O,O,X,X,X,O
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,O,X,X,X,O
IJSOTLZ,X,O,O,X,O,O
IJSOTZL,O,O,O,X,X,X
IJSOLTZ,X,O,O,X,O,O
IJSOLZT,X,O,O,X,O,O
IJSOZTL,O,O,O,X,X,X
IJSOZLT,O,O,O,X,X,O
IJZTLSO,O,X,X,X,X,X
IJZTLOS,O,X,X,X,O,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,X,X,O,O,X
IJZTOSL,O,X,X,O,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,O,X
IJZLSTO,O,X,X,X,X,O
IJZLSOT,O,X,X,X,X,O
IJZLOTS,O,X,X,X,O,X
IJZLOST,O,X,X,X,O,X
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,O,X,X,X,X
IJZSLTO,O,O,X,X,X,O
IJZSLOT,O,O,X,X,X,O
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,X,X,X,O
IJZOTLS,O,X,X,O,O,X
IJZOTSL,O,X,X,O,X,X
IJZOLTS,O,X,X,O,O,X
IJZOLST,O,X,X,O,O,X
IJZOSTL,O,X,X,O,X,X
IJZOSLT,O,X,X,O,X,X
IJOTLSZ,X,X,O,X,O,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,X,O,X,O,X
IJOTSZL,O,X,O,X,X,X
IJOTZLS,O,X,X,O,O,X
IJOTZSL,O,X,X,O,X,X
IJOLTSZ,X,X,O,X,O,X
IJOLTZS,X,X,X,X,O,X
IJOLSTZ,X,X,O,X,O,O
IJOLSZT,X,X,O,X,O,O
IJOLZTS,X,X,X,X,O,X
IJOLZST,X,X,X,X,O,X
IJOSTLZ,X,X,O,X,O,O
IJOSTZL,O,X,O,X,X,X
IJOSLTZ,X,X,O,X,O,O
IJOSLZT,X,X,O,X,O,O
IJOSZTL,O,X,O,X,X,X
IJOSZLT,O,X,O,X,X,O
IJOZTLS,O,X,X,O,O,X
IJOZTSL,O,X,X,O,X,X
IJOZLTS,O,X,X,O,O,X
IJOZLST,O,X,X,O,O,X
IJOZSTL,O,X,X,O,X,X
IJOZSLT,O,X,X,O,X,X
ISTLJZO,O,O,X,X,X,X
ISTLJOZ,X,O,X,X,O,X
ISTLZJO,O,O,X,X,X,X
ISTLZOJ,X,O,X,X,X,X
ISTLOJZ,X,O,O,X,X,X
ISTLOZJ,X,O,O,X,X,X
ISTJLZO,O,O,X,X,X,O
ISTJLOZ,X,O,X,X,O,O
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,X
ISTJOLZ,X,O,O,X,O,O
ISTJOZL,O,O,O,X,X,X
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,X,O,X,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,X,X,X,X
ISTZOLJ,X,O,O,O,X,X
ISTZOJL,O,O,O,O,X,X
ISTOLJZ,X,O,O,X,X,X
ISTOLZJ,X,O,O,X,X,X
ISTOJLZ,X,O,O,X,X,O
ISTOJZL,O,O,O,X,X,X
ISTOZLJ,X,O,O,O,X,X
ISTOZJL,O,O,O,O,X,X
ISLTJZO,O,O,X,X,X,X
ISLTJOZ,X,O,X,X,O,X
ISLTZJO,O,O,X,X,X,X
ISLTZOJ,X,O,X,X,X,X
ISLTOJZ,X,O,O,X,X,X
ISLTOZJ,X,O,O,X,X,X
ISLJTZO,O,O,X,X,X,O
ISLJTOZ,X,O,X,X,O,O
ISLJZTO,O,O,X,X,X,O
ISLJZOT,O,O,X,X,X,O
ISLJOTZ,X,O,X,X,O,O
ISLJOZT,X,O,X,X,O,O
ISLZTJO,O,O,X,X,X,X
ISLZTOJ,X,O,X,X,X,X
ISLZJTO,O,O,X,X,X,X
ISLZJOT,O,O,X,X,X,X
ISLZOTJ,X,O,X,X,X,X
ISLZOJT,X,O,X,X,X,X
ISLOTJZ,X,O,O,X,X,X
ISLOTZJ,X,O,O,X,X,X
ISLOJTZ,X,O,O,X,X,O
ISLOJZT,X,O,O,X,X,O
ISLOZTJ,X,O,O,X,X,X
ISLOZJT,X,O,O,X,X,X
ISJTLZO,O,O,X,X,X,O
ISJTLOZ,X,O,X,X,O,O
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,X
ISJTOLZ,X,O,O,X,O,O
ISJTOZL,O,O,O,X,X,X
ISJLTZO,O,O,X,X,X,O
ISJLTOZ,X,O,X,X,O,O
ISJLZTO,O,O,X,X,X,O
ISJLZOT,O,O,X,X,X,O
ISJLOTZ,X,O,X,X,O,O
ISJLOZT,X,O,X,X,O,O
ISJZTLO,O,O,X,X,X,X
ISJZTOL,O,O,X,X,X,X
ISJZLTO,O,O,X,X,X,O
ISJZLOT,O,O,X,X,X,O
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,O,X,X,X,O
ISJOTLZ,X,O,O,X,O,O
ISJOTZL,O,O,O,X,X,X
ISJOLTZ,X,O,O,X,O,O
ISJOLZT,X,O,O,X,O,O
ISJOZTL,O,O,O,X,X,X
ISJOZLT,O,O,O,X,X,O
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,X,O,X,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,X,O,O,O,X,X
ISZTOJL,O,O,O,O,X,X
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,X,O,X,X,X,X
ISZLJTO,O,O,X,X,X,X
ISZLJOT,O,O,X,X,X,X
ISZLOTJ,X,O,X,X,X,X
ISZLOJT,X,O,X,X,X,X
ISZJTLO,O,O,X,X,X,X
ISZJTOL,O,O,X,X,X,X
ISZJLTO,O,O,X,X,X,O
ISZJLOT,O,O,X,X,X,O
ISZJOTL,O,O,X,X,X,X
ISZJOLT,O,O,X,X,X,O
ISZOTLJ,X,O,O,O,X,X
ISZOTJL,O,O,O,O,X,X
ISZOLTJ,X,O,O,O,X,X
ISZOLJT,X,O,O,O,X,X
ISZOJTL,O,O,O,O,X,X
ISZOJLT,O,O,O,O,X,O
ISOTLJZ,X,O,O,X,X,X
ISOTLZJ,X,O,O,X,X,X
ISOTJLZ,X,O,O,X,X,O
ISOTJZL,O,O,O,X,X,X
ISOTZLJ,X,O,O,O,X,X
ISOTZJL,O,O,O,O,X,X
ISOLTJZ,X,O,O,X,X,X
ISOLTZJ,X,O,O,X,X,X
ISOLJTZ,X,O,O,X,X,O
ISOLJZT,X,O,O,X,X,O
ISOLZTJ,X,O,O,X,X,X
ISOLZJT,X,O,O,X,X,X
ISOJTLZ,X,O,O,X,X,O
ISOJTZL,O,O,O,X,X,X
ISOJLTZ,X,O,O,X,X,O
ISOJLZT,X,O,O,X,X,O
ISOJZTL,O,O,O,X,X,X
ISOJZLT,O,O,O,X,X,O
ISOZTLJ,X,O,O,O,X,X
ISOZTJL,O,O,O,O,X,X
ISOZLTJ,X,O,O,O,X,X
ISOZLJT,X,O,O,O,X,X
ISOZJTL,O,O,O,O,X,X
ISOZJLT,O,O,O,O,X,O
IZTLJSO,O,X,X,X,X,X
IZTLJOS,O,X,X,X,O,X
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,X,O,X,X,X,X
IZTLOJS,X,X,X,O,X,X
IZTLOSJ,X,X,O,O,X,X
IZTJLSO,O,X,X,X,X,X
IZTJLOS,O,X,X,X,O,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,X,X,O,O,X
IZTJOSL,O,X,X,O,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,X,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,X,O,O,O,X,X
IZTSOJL,O,O,O,O,X,X
IZTOLJS,X,X,X,O,X,X
IZTOLSJ,X,X,O,O,X,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,X,O,X,X
IZTOSLJ,X,O,O,O,X,X
IZTOSJL,O,O,O,O,X,X
IZLTJSO,O,X,X,X,X,X
IZLTJOS,O,X,X,X,O,X
IZLTSJO,O,O,X,X,X,X
IZLTSOJ,X,O,X,X,X,X
IZLTOJS,X,X,X,O,X,X
IZLTOSJ,X,X,O,O,X,X
IZLJTSO,O,X,X,X,X,X
IZLJTOS,O,X,X,X,O,X
IZLJSTO,O,X,X,X,X,O
IZLJSOT,O,X,X,X,X,O
IZLJOTS,O,X,X,X,O,X
IZLJOST,O,X,X,X,O,X
IZLSTJO,O,O,X,X,X,X
IZLSTOJ,X,O,X,X,X,X
IZLSJTO,O,O,X,X,X,X
IZLSJOT,O,O,X,X,X,X
IZLSOTJ,X,O,X,X,X,X
IZLSOJT,X,O,X,X,X,X
IZLOTJS,X,X,X,O,X,X
IZLOTSJ,X,X,O,O,X,X
IZLOJTS,X,X,X,O,X,X
IZLOJST,X,X,X,O,X,X
IZLOSTJ,X,X,O,O,X,X
IZLOSJT,X,X,O,O,X,X
IZJTLSO,O,X,X,X,X,X
IZJTLOS,O,X,X,X,O,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,X,X,O,O,X
IZJTOSL,O,X,X,O,X,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,X,X,X,O,X
IZJLSTO,O,X,X,X,X,O
IZJLSOT,O,X,X,X,X,O
IZJLOTS,O,X,X,X,O,X
IZJLOST,O,X,X,X,O,X
IZJSTLO,O,O,X,X,X,X
IZJSTOL,O,O,X,X,X,X
IZJSLTO,O,O,X,X,X,O
IZJSLOT,O,O,X,X,X,O
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,X,X,X,O
IZJOTLS,O,X,X,O,O,X
IZJOTSL,O,X,X,O,X,X
IZJOLTS,O,X,X,O,O,X
IZJOLST,O,X,X,O,O,X
IZJOSTL,O,X,X,O,X,X
IZJOSLT,O,X,X,O,X,X
IZSTLJO,O,O,X,X,X,X
IZSTLOJ,X,O,X,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,X,O,O,O,X,X
IZSTOJL,O,O,O,O,X,X
IZSLTJO,O,O,X,X,X,X
IZSLTOJ,X,O,X,X,X,X
IZSLJTO,O,O,X,X,X,X
IZSLJOT,O,O,X,X,X,X
IZSLOTJ,X,O,X,X,X,X
IZSLOJT,X,O,X,X,X,X
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,X,X,X,X
IZSJLTO,O,O,X,X,X,O
IZSJLOT,O,O,X,X,X,O
IZSJOTL,O,O,X,X,X,X
IZSJOLT,O,O,X,X,X,O
IZSOTLJ,X,O,O,O,X,X
IZSOTJL,O,O,O,O,X,X
IZSOLTJ,X,O,O,O,X,X
IZSOLJT,X,O,O,O,X,X
IZSOJTL,O,O,O,O,X,X
IZSOJLT,O,O,O,O,X,O
IZOTLJS,X,X,X,O,X,X
IZOTLSJ,X,X,O,O,X,X
IZOTJLS,O,X,X,O,X,X
IZOTJSL,O,X,X,O,X,X
IZOTSLJ,X,O,O,O,X,X
IZOTSJL,O,O,O,O,X,X
IZOLTJS,X,X,X,O,X,X
IZOLTSJ,X,X,O,O,X,X
IZOLJTS,X,X,X,O,X,X
IZOLJST,X,X,X,O,X,X
IZOLSTJ,X,X,O,O,X,X
IZOLSJT,X,X,O,O,X,X
IZOJTLS,O,X,X,O,X,X
IZOJTSL,O,X,X,O,X,X
IZOJLTS,O,X,X,O,X,X
IZOJLST,O,X,X,O,X,X
IZOJSTL,O,X,X,O,X,X
IZOJSLT,O,X,X,O,X,X
IZOSTLJ,X,O,O,O,X,X
IZOSTJL,O,O,O,O,X,X
IZOSLTJ,X,O,O,O,X,X
IZOSLJT,X,O,O,O,X,X
IZOSJTL,O,O,O,O,X,X
IZOSJLT,O,O,O,O,X,X
IOTLJSZ,X,X,O,X,O,X
IOTLJZS,X,X,X,X,O,X
IOTLSJZ,X,X,O,X,X,X
IOTLSZJ,X,X,O,X,X,X
IOTLZJS,X,X,X,O,X,X
IOTLZSJ,X,X,O,O,X,X
IOTJLSZ,X,X,O,X,O,X
IOTJLZS,X,X,X,X,O,X
IOTJSLZ,X,X,O,X,O,X
IOTJSZL,O,X,O,X,X,X
IOTJZLS,O,X,X,O,O,X
IOTJZSL,O,X,X,O,X,X
IOTSLJZ,X,O,O,X,X,X
IOTSLZJ,X,O,O,X,X,X
