sequence,v115@RhD8FeE8BeC8Jei/IvhF8mBziB+oBRlBFmBXsB,v115@RhD8FeE8BeC8Jei/IvhFXiB8nB+oBRlBFmBzrB,v115@RhD8FeE8BeC8JeT/IvhFigBRmBGoBFnBXoB0rB,v115@RhD8FeE8BeC8JeT/IvhFxgBfoB6oBmlBFsB8rB,v115@RhD8FeE8BeC8Jei/IvhFzhBRlBFoBUmBGoBXsB,v115@RhD8FeE8BeC8JeT/IvhFXjBxlB8rBStBmlBFsB
TOSILJZ,X,X,X,O,O,X
TOSILZJ,X,X,X,X,O,X
TOSIJLZ,X,X,X,O,O,X
TOSIJZL,X,X,X,X,X,X
TOSIZLJ,X,X,X,X,O,X
TOSIZJL,X,X,X,X,X,X
TOSLIJZ,X,X,X,O,O,X
TOSLIZJ,X,X,X,X,O,X
TOSLJIZ,X,X,X,O,O,X
TOSLJZI,X,X,X,O,X,X
TOSLZIJ,X,X,X,X,O,X
TOSLZJI,X,X,X,O,X,X
TOSJILZ,X,X,X,O,O,X
TOSJIZL,X,X,X,X,X,X
TOSJLIZ,X,X,X,O,O,X
TOSJLZI,X,X,X,O,X,X
TOSJZIL,X,X,X,X,X,X
TOSJZLI,X,X,X,O,X,X
TOSZILJ,X,X,X,X,O,X
TOSZIJL,X,X,X,X,X,X
TOSZLIJ,X,X,X,X,O,X
TOSZLJI,X,X,X,O,X,X
TOSZJIL,X,X,X,X,X,X
TOSZJLI,X,X,X,O,X,X
TOZILJS,X,X,O,X,X,X
TOZILSJ,X,X,X,X,X,O
TOZIJLS,X,X,O,X,X,X
TOZIJSL,X,X,X,X,X,X
TOZISLJ,X,X,X,X,X,X
TOZISJL,X,X,X,X,X,X
TOZLIJS,X,X,O,X,X,X
TOZLISJ,X,X,X,X,X,O
TOZLJIS,X,X,O,X,X,X
TOZLJSI,X,X,X,X,X,X
TOZLSIJ,X,X,X,X,X,O
TOZLSJI,X,X,X,X,X,X
TOZJILS,X,X,O,X,X,X
TOZJISL,X,X,X,X,X,X
TOZJLIS,X,X,O,X,X,X
TOZJLSI,X,X,X,X,X,X
TOZJSIL,X,X,X,X,X,X
TOZJSLI,X,X,X,O,X,X
TOZSILJ,X,X,X,X,X,X
TOZSIJL,X,X,X,X,X,X
TOZSLIJ,X,X,X,X,X,X
TOZSLJI,X,X,X,O,X,X
TOZSJIL,X,X,X,X,X,X
TOZSJLI,X,X,X,O,X,X
ITLJSZO,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,O,X
ITLJZSO,X,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X
ITLJOSZ,O,X,O,X,X,X
ITLJOZS,X,O,O,X,X,X
ITLSJZO,O,X,X,X,X,X
ITLSJOZ,O,X,X,X,O,X
ITLSZJO,O,X,X,X,X,X
ITLSZOJ,X,X,X,X,O,X
ITLSOJZ,X,X,X,X,O,X
ITLSOZJ,X,X,X,X,O,X
ITLZJSO,X,X,X,X,X,X
ITLZJOS,X,X,X,X,X,X
ITLZSJO,X,X,X,X,X,X
ITLZSOJ,X,X,X,X,O,X
ITLZOJS,X,X,X,X,X,X
ITLZOSJ,X,X,X,X,X,X
ITLOJSZ,X,X,O,X,X,X
ITLOJZS,X,O,O,X,X,X
ITLOSJZ,X,X,X,X,O,X
ITLOSZJ,X,X,X,X,O,X
ITLOZJS,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X
ITJLSZO,O,X,X,X,X,X
ITJLSOZ,O,X,X,X,O,X
ITJLZSO,X,O,X,X,X,X
ITJLZOS,X,O,X,X,X,X
ITJLOSZ,O,X,O,X,X,X
ITJLOZS,X,O,O,X,X,X
ITJSLZO,O,X,X,O,X,X
ITJSLOZ,O,X,X,O,O,X
ITJSZLO,O,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X
ITJSOLZ,O,X,X,O,O,X
ITJSOZL,O,X,X,X,X,X
ITJZLSO,X,O,X,X,X,X
ITJZLOS,X,O,X,X,X,X
ITJZSLO,X,O,X,X,X,X
ITJZSOL,X,X,X,X,X,X
ITJZOLS,X,O,X,X,X,X
ITJZOSL,X,O,X,X,X,X
ITJOLSZ,O,X,O,X,X,X
ITJOLZS,X,O,O,X,X,X
ITJOSLZ,O,X,X,O,X,X
ITJOSZL,O,X,X,X,X,X
ITJOZLS,X,O,X,X,X,X
ITJOZSL,X,O,X,X,X,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,X,X,O,O,X
ITSLZJO,O,X,X,X,X,X
ITSLZOJ,X,X,X,X,O,X
ITSLOJZ,X,X,X,O,O,X
ITSLOZJ,X,X,X,X,O,X
ITSJLZO,O,X,X,O,X,X
ITSJLOZ,O,X,X,O,O,X
ITSJZLO,O,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X
ITSJOLZ,O,X,X,O,O,X
ITSJOZL,O,X,X,X,X,X
ITSZLJO,O,X,X,X,X,X
ITSZLOJ,X,X,X,X,O,X
ITSZJLO,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,X,X,X,X,O,X
ITSZOJL,X,X,X,X,X,X
ITSOLJZ,X,X,X,O,O,X
ITSOLZJ,X,X,X,X,O,X
ITSOJLZ,X,X,X,O,O,X
ITSOJZL,X,X,X,X,X,X
ITSOZLJ,X,X,X,X,O,X
ITSOZJL,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,O,O
ITZLOJS,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,X,O
ITZJLSO,X,X,X,X,X,X
ITZJLOS,X,X,X,X,X,X
ITZJSLO,X,X,X,X,X,X
ITZJSOL,X,X,X,X,X,X
ITZJOLS,X,X,X,X,X,X
ITZJOSL,X,X,X,X,X,X
ITZSLJO,X,X,X,X,X,X
ITZSLOJ,X,X,X,X,O,X
ITZSJLO,X,X,X,X,X,X
ITZSJOL,X,X,X,X,X,X
ITZSOLJ,X,X,X,X,O,X
ITZSOJL,X,X,X,X,X,X
ITZOLJS,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,O
ITZOJLS,X,X,X,X,X,X
ITZOJSL,X,X,X,X,X,X
ITZOSLJ,X,X,X,X,X,X
ITZOSJL,X,X,X,X,X,X
ITOLJSZ,X,X,O,X,X,X
ITOLJZS,X,O,O,X,X,X
ITOLSJZ,X,X,X,X,O,X
ITOLSZJ,X,X,X,X,O,X
ITOLZJS,X,X,X,X,X,X
ITOLZSJ,X,X,X,X,X,X
ITOJLSZ,X,X,O,X,X,X
ITOJLZS,X,O,O,X,X,X
ITOJSLZ,X,X,X,O,X,X
ITOJSZL,X,X,X,X,X,X
ITOJZLS,X,O,X,X,X,X
ITOJZSL,X,O,X,X,X,X
ITOSLJZ,X,X,X,O,O,X
ITOSLZJ,X,X,X,X,O,X
ITOSJLZ,X,X,X,O,O,X
ITOSJZL,X,X,X,X,X,X
ITOSZLJ,X,X,X,X,O,X
ITOSZJL,X,X,X,X,X,X
ITOZLJS,X,X,X,X,X,X
ITOZLSJ,X,X,X,X,X,O
ITOZJLS,X,X,X,X,X,X
ITOZJSL,X,X,X,X,X,X
ITOZSLJ,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X
ILTJSZO,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,O,X
ILTJZSO,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X
ILTJOSZ,O,X,O,X,X,X
ILTJOZS,X,O,O,X,X,X
ILTSJZO,O,X,X,X,X,X
ILTSJOZ,O,X,X,X,O,X
ILTSZJO,O,X,X,X,X,X
ILTSZOJ,X,X,X,X,O,X
ILTSOJZ,X,X,X,X,O,X
ILTSOZJ,X,X,X,X,O,X
ILTZJSO,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,X
ILTZSOJ,X,X,X,X,O,X
ILTZOJS,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,X,X
ILTOJSZ,X,X,O,X,X,X
ILTOJZS,X,O,O,X,X,X
ILTOSJZ,X,X,X,X,O,X
ILTOSZJ,X,X,X,X,O,X
ILTOZJS,X,X,X,X,X,X
ILTOZSJ,X,X,X,X,X,X
ILJTSZO,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,O,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,O,X,O,X,X,X
ILJTOZS,X,O,O,X,X,X
ILJSTZO,O,X,X,O,X,X
ILJSTOZ,O,X,X,O,O,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,O,O,X,X,X,X
ILJSOTZ,O,X,O,O,O,X
ILJSOZT,O,O,O,X,X,X
ILJZTSO,X,O,X,X,X,X
ILJZTOS,X,O,O,X,X,X
ILJZSTO,O,O,X,X,X,X
ILJZSOT,O,O,O,X,X,X
ILJZOTS,X,O,O,X,X,X
ILJZOST,O,O,O,X,X,X
ILJOTSZ,O,X,O,X,X,X
ILJOTZS,X,O,O,X,X,X
ILJOSTZ,O,X,O,O,X,X
ILJOSZT,O,O,O,X,X,X
ILJOZTS,X,O,O,X,X,X
ILJOZST,O,O,O,X,X,X
ILSTJZO,O,X,X,O,X,X
ILSTJOZ,O,X,X,O,O,X
ILSTZJO,O,X,X,X,X,X
ILSTZOJ,X,X,X,X,O,X
ILSTOJZ,X,X,X,O,O,X
ILSTOZJ,X,X,X,X,O,X
ILSJTZO,O,X,X,O,X,X
ILSJTOZ,O,X,X,O,O,X
ILSJZTO,O,O,X,X,X,X
ILSJZOT,O,O,X,X,X,X
ILSJOTZ,O,X,O,O,O,X
ILSJOZT,O,O,O,X,X,X
ILSZTJO,O,X,X,X,X,X
ILSZTOJ,X,X,X,X,O,O
ILSZJTO,O,X,X,X,X,X
ILSZJOT,O,X,X,X,X,O
ILSZOTJ,X,X,X,X,O,O
ILSZOJT,O,X,X,X,X,O
ILSOTJZ,X,X,X,O,O,X
ILSOTZJ,X,X,X,X,O,X
ILSOJTZ,O,X,O,O,O,X
ILSOJZT,O,O,O,X,X,X
ILSOZTJ,X,X,X,X,O,O
ILSOZJT,O,X,X,X,X,O
ILZTJSO,X,X,X,X,X,X
ILZTJOS,X,X,O,X,X,X
ILZTSJO,X,X,X,X,X,X
ILZTSOJ,X,X,X,X,O,O
ILZTOJS,X,X,O,X,X,X
ILZTOSJ,X,X,X,X,X,O
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,O,X,X,X
ILZJSTO,O,O,X,X,X,X
ILZJSOT,O,O,O,X,X,O
ILZJOTS,X,O,O,X,X,X
ILZJOST,O,O,O,X,X,O
ILZSTJO,O,X,X,X,X,X
ILZSTOJ,X,X,X,X,O,O
ILZSJTO,O,X,X,X,X,X
ILZSJOT,O,X,O,X,X,O
ILZSOTJ,X,X,X,X,O,O
ILZSOJT,O,X,O,X,X,O
ILZOTJS,X,X,O,X,X,X
ILZOTSJ,X,X,X,X,X,O
ILZOJTS,X,O,O,X,X,X
ILZOJST,X,O,O,X,X,O
ILZOSTJ,X,X,X,X,X,O
ILZOSJT,X,X,O,X,X,O
ILOTJSZ,X,X,O,X,X,X
ILOTJZS,X,O,O,X,X,X
ILOTSJZ,X,X,X,X,O,X
ILOTSZJ,X,X,X,X,O,X
ILOTZJS,X,X,X,X,X,X
ILOTZSJ,X,X,X,X,X,X
ILOJTSZ,O,X,O,X,X,X
ILOJTZS,X,O,O,X,X,X
ILOJSTZ,O,X,O,O,X,X
ILOJSZT,O,O,O,X,X,X
ILOJZTS,X,O,O,X,X,X
ILOJZST,O,O,O,X,X,X
ILOSTJZ,X,X,X,O,O,X
ILOSTZJ,X,X,X,X,O,X
ILOSJTZ,O,X,O,O,O,X
ILOSJZT,O,O,O,X,X,X
ILOSZTJ,X,X,X,X,O,O
ILOSZJT,O,X,X,X,X,O
ILOZTJS,X,X,O,X,X,X
ILOZTSJ,X,X,X,X,X,O
ILOZJTS,X,O,O,X,X,X
ILOZJST,X,O,O,X,X,O
ILOZSTJ,X,X,X,X,X,O
ILOZSJT,X,X,O,X,X,O
IJTLSZO,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,O,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,O,X,O,X,X,X
IJTLOZS,X,O,O,X,X,X
IJTSLZO,O,X,X,O,X,X
IJTSLOZ,O,X,X,O,O,X
IJTSZLO,O,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X
IJTSOLZ,O,X,X,O,O,X
IJTSOZL,O,X,X,X,X,X
IJTZLSO,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X
IJTZSLO,X,O,X,X,X,X
IJTZSOL,X,X,X,X,X,X
IJTZOLS,X,O,X,X,X,X
IJTZOSL,X,O,X,X,X,X
IJTOLSZ,O,X,O,X,X,X
IJTOLZS,X,O,O,X,X,X
IJTOSLZ,O,X,X,O,X,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,X,O,X,X,X,X
IJTOZSL,X,O,X,X,X,X
IJLTSZO,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,O,X
IJLTZSO,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,O,X,O,X,X,X
IJLTOZS,X,O,O,X,X,X
IJLSTZO,O,X,X,O,X,X
IJLSTOZ,O,X,X,O,O,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,O,O,X,X,X,X
IJLSOTZ,O,X,O,O,O,X
IJLSOZT,O,O,O,X,X,X
IJLZTSO,X,O,X,X,X,X
IJLZTOS,X,O,O,X,X,X
IJLZSTO,O,O,X,X,X,X
IJLZSOT,O,O,O,X,X,X
IJLZOTS,X,O,O,X,X,X
IJLZOST,O,O,O,X,X,X
IJLOTSZ,O,X,O,X,X,X
IJLOTZS,X,O,O,X,X,X
IJLOSTZ,O,X,O,O,X,X
IJLOSZT,O,O,O,X,X,X
IJLOZTS,X,O,O,X,X,X
IJLOZST,O,O,O,X,X,X
IJSTLZO,O,X,X,O,X,X
IJSTLOZ,O,X,X,O,O,X
IJSTZLO,O,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X
IJSTOLZ,O,X,X,O,O,X
IJSTOZL,O,X,X,X,X,X
IJSLTZO,O,X,X,O,X,X
IJSLTOZ,O,X,X,O,O,X
IJSLZTO,O,O,X,X,X,X
IJSLZOT,O,O,X,X,X,X
IJSLOTZ,O,X,O,O,O,X
IJSLOZT,O,O,O,X,X,X
IJSZTLO,O,O,X,X,X,X
IJSZTOL,O,X,X,X,X,X
IJSZLTO,O,O,X,X,X,X
IJSZLOT,O,O,X,X,X,X
IJSZOTL,O,O,X,X,X,X
IJSZOLT,O,O,X,X,X,X
IJSOTLZ,O,X,X,O,O,X
IJSOTZL,O,X,X,X,X,X
IJSOLTZ,O,X,O,O,O,X
IJSOLZT,O,O,O,X,X,X
IJSOZTL,O,O,X,X,X,X
IJSOZLT,O,O,X,X,X,X
IJZTLSO,X,O,X,X,X,X
IJZTLOS,X,O,O,X,X,X
IJZTSLO,X,O,X,X,X,X
IJZTSOL,X,X,X,X,X,X
IJZTOLS,X,O,O,X,X,X
IJZTOSL,X,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,X,O,O,X,X,X
IJZLSTO,O,O,X,X,X,X
IJZLSOT,O,O,O,X,X,O
IJZLOTS,X,O,O,X,X,X
IJZLOST,O,O,O,X,X,O
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,X,X,X,X,X
IJZSLTO,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X
IJZSOTL,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,X
IJZOTLS,X,O,O,X,X,X
IJZOTSL,X,O,X,X,X,X
IJZOLTS,X,O,O,X,X,X
IJZOLST,O,O,O,X,X,O
IJZOSTL,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,X
IJOTLSZ,O,X,O,X,X,X
IJOTLZS,X,O,O,X,X,X
IJOTSLZ,O,X,X,O,X,X
IJOTSZL,O,X,X,X,X,X
IJOTZLS,X,O,X,X,X,X
IJOTZSL,X,O,X,X,X,X
IJOLTSZ,O,X,O,X,X,X
IJOLTZS,X,O,O,X,X,X
IJOLSTZ,O,X,O,O,X,X
IJOLSZT,O,O,O,X,X,X
IJOLZTS,X,O,O,X,X,X
IJOLZST,O,O,O,X,X,X
IJOSTLZ,O,X,X,O,X,X
IJOSTZL,O,X,X,X,X,X
IJOSLTZ,O,X,O,O,X,X
IJOSLZT,O,O,O,X,X,X
IJOSZTL,O,O,X,X,X,X
IJOSZLT,O,O,X,X,X,X
IJOZTLS,X,O,O,X,X,X
IJOZTSL,X,O,X,X,X,X
IJOZLTS,X,O,O,X,X,X
IJOZLST,O,O,O,X,X,O
IJOZSTL,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,X
ISTLJZO,O,X,X,O,X,X
ISTLJOZ,O,X,X,O,O,X
ISTLZJO,O,X,X,X,X,X
ISTLZOJ,X,X,X,X,O,X
ISTLOJZ,X,X,X,O,O,X
ISTLOZJ,X,X,X,X,O,X
ISTJLZO,O,X,X,O,X,X
ISTJLOZ,O,X,X,O,O,X
ISTJZLO,O,X,X,X,X,X
ISTJZOL,O,X,X,X,X,X
ISTJOLZ,O,X,X,O,O,X
ISTJOZL,O,X,X,X,X,X
ISTZLJO,O,X,X,X,X,X
ISTZLOJ,X,X,X,X,O,X
ISTZJLO,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,X,X,X,X,O,X
ISTZOJL,X,X,X,X,X,X
ISTOLJZ,X,X,X,O,O,X
ISTOLZJ,X,X,X,X,O,X
ISTOJLZ,X,X,X,O,O,X
ISTOJZL,X,X,X,X,X,X
ISTOZLJ,X,X,X,X,O,X
ISTOZJL,X,X,X,X,X,X
ISLTJZO,O,X,X,O,X,X
ISLTJOZ,O,X,X,O,O,X
ISLTZJO,O,X,X,X,X,X
ISLTZOJ,X,X,X,X,O,X
ISLTOJZ,X,X,X,O,O,X
ISLTOZJ,X,X,X,X,O,X
ISLJTZO,O,X,X,O,X,X
ISLJTOZ,O,X,X,O,O,X
ISLJZTO,O,O,X,X,X,X
ISLJZOT,O,O,X,X,X,X
ISLJOTZ,O,X,O,O,O,X
ISLJOZT,O,O,O,X,X,X
ISLZTJO,O,X,X,X,X,X
ISLZTOJ,X,X,X,X,O,X
ISLZJTO,O,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X
ISLZOTJ,X,X,X,X,O,X
ISLZOJT,O,X,X,X,X,X
ISLOTJZ,X,X,X,O,O,X
ISLOTZJ,X,X,X,X,O,X
ISLOJTZ,O,X,O,O,O,X
ISLOJZT,O,O,O,X,X,X
ISLOZTJ,X,X,X,X,O,X
ISLOZJT,O,X,X,X,X,X
ISJTLZO,O,X,X,O,X,X
ISJTLOZ,O,X,X,O,O,X
ISJTZLO,O,X,X,X,X,X
ISJTZOL,O,X,X,X,X,X
ISJTOLZ,O,X,X,O,O,X
ISJTOZL,O,X,X,X,X,X
ISJLTZO,O,X,X,O,X,X
ISJLTOZ,O,X,X,O,O,X
ISJLZTO,O,O,X,X,X,X
ISJLZOT,O,O,X,X,X,X
ISJLOTZ,O,X,O,O,O,X
ISJLOZT,O,O,O,X,X,X
ISJZTLO,O,O,X,X,X,X
ISJZTOL,O,X,X,X,X,X
ISJZLTO,O,O,X,X,X,X
ISJZLOT,O,O,X,X,X,X
ISJZOTL,O,O,X,X,X,X
ISJZOLT,O,O,X,X,X,X
ISJOTLZ,O,X,X,O,O,X
ISJOTZL,O,X,X,X,X,X
ISJOLTZ,O,X,O,O,O,X
ISJOLZT,O,O,O,X,X,X
ISJOZTL,O,O,X,X,X,X
ISJOZLT,O,O,X,X,X,X
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,X,X,X,X,O,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,X
ISZTOJL,X,X,X,X,X,X
ISZLTJO,O,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,O
ISZLJTO,O,X,X,X,X,X
ISZLJOT,O,X,X,X,X,O
ISZLOTJ,X,X,X,X,O,O
ISZLOJT,O,X,X,X,X,O
ISZJTLO,O,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X
ISZOTLJ,X,X,X,X,O,X
ISZOTJL,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,O
ISZOLJT,O,X,X,X,X,O
ISZOJTL,O,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X
ISOTLJZ,X,X,X,O,O,X
ISOTLZJ,X,X,X,X,O,X
ISOTJLZ,X,X,X,O,O,X
ISOTJZL,X,X,X,X,X,X
ISOTZLJ,X,X,X,X,O,X
ISOTZJL,X,X,X,X,X,X
ISOLTJZ,X,X,X,O,O,X
ISOLTZJ,X,X,X,X,O,X
ISOLJTZ,O,X,O,O,O,X
ISOLJZT,O,O,O,X,X,X
ISOLZTJ,X,X,X,X,O,X
ISOLZJT,O,X,X,X,X,X
ISOJTLZ,O,X,X,O,O,X
ISOJTZL,O,X,X,X,X,X
ISOJLTZ,O,X,O,O,O,X
ISOJLZT,O,O,O,X,X,X
ISOJZTL,O,O,X,X,X,X
ISOJZLT,O,O,X,X,X,X
ISOZTLJ,X,X,X,X,O,X
ISOZTJL,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,O
ISOZLJT,O,X,X,X,X,O
ISOZJTL,O,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X
IZTLJOS,X,X,O,X,X,X
IZTLSJO,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,O,O
IZTLOJS,X,X,O,X,X,X
IZTLOSJ,X,X,X,X,X,O
IZTJLSO,X,X,X,X,X,X
IZTJLOS,X,X,O,X,X,X
IZTJSLO,X,X,X,X,X,X
IZTJSOL,X,X,X,X,X,X
IZTJOLS,X,X,O,X,X,X
IZTJOSL,X,X,X,X,X,X
IZTSLJO,X,X,X,X,X,X
IZTSLOJ,X,X,X,X,O,X
IZTSJLO,X,X,X,X,X,X
IZTSJOL,X,X,X,X,X,X
IZTSOLJ,X,X,X,X,O,X
IZTSOJL,X,X,X,X,X,X
IZTOLJS,X,X,O,X,X,X
IZTOLSJ,X,X,X,X,X,O
IZTOJLS,X,X,O,X,X,X
IZTOJSL,X,X,X,X,X,X
IZTOSLJ,X,X,X,X,X,X
IZTOSJL,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X
IZLTSJO,X,X,X,X,X,X
IZLTSOJ,X,X,X,X,O,O
IZLTOJS,X,X,O,X,X,X
IZLTOSJ,X,X,X,X,X,O
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,O,X,X,X
IZLJSTO,O,O,X,X,X,X
IZLJSOT,O,O,O,X,X,O
IZLJOTS,X,O,O,X,X,X
IZLJOST,O,O,O,X,X,O
IZLSTJO,O,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,O
IZLSJTO,O,X,X,X,X,X
IZLSJOT,O,X,O,X,X,O
IZLSOTJ,X,X,X,X,O,O
IZLSOJT,O,X,O,X,X,O
IZLOTJS,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,X,O
IZLOJTS,X,O,O,X,X,X
IZLOJST,X,O,O,X,X,O
IZLOSTJ,X,X,X,X,X,O
IZLOSJT,X,X,O,X,X,O
IZJTLSO,X,O,X,X,X,X
IZJTLOS,X,O,O,X,X,X
IZJTSLO,X,O,X,X,X,X
IZJTSOL,X,X,X,X,X,X
IZJTOLS,X,O,O,X,X,X
IZJTOSL,X,O,X,X,X,X
IZJLTSO,X,O,X,X,X,X
IZJLTOS,X,O,O,X,X,X
IZJLSTO,O,O,X,X,X,X
IZJLSOT,O,O,O,X,X,O
IZJLOTS,X,O,O,X,X,X
IZJLOST,O,O,O,X,X,O
IZJSTLO,O,O,X,X,X,X
IZJSTOL,O,X,X,X,X,X
IZJSLTO,O,O,X,X,X,X
IZJSLOT,O,O,O,X,X,X
IZJSOTL,O,O,X,X,X,X
IZJSOLT,O,O,O,X,X,X
IZJOTLS,X,O,O,X,X,X
IZJOTSL,X,O,X,X,X,X
IZJOLTS,X,O,O,X,X,X
IZJOLST,O,O,O,X,X,O
IZJOSTL,O,O,X,X,X,X
IZJOSLT,O,O,O,X,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,X
IZSTOJL,X,X,X,X,X,X
IZSLTJO,O,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O
IZSLJTO,O,X,X,X,X,X
IZSLJOT,O,X,O,X,X,O
IZSLOTJ,X,X,X,X,O,O
IZSLOJT,O,X,O,X,X,O
IZSJTLO,O,X,X,X,X,X
IZSJTOL,O,X,X,X,X,X
IZSJLTO,O,X,X,X,X,X
IZSJLOT,O,X,O,X,X,X
IZSJOTL,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X
IZSOTLJ,X,X,X,X,O,X
IZSOTJL,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,O
IZSOLJT,O,X,O,X,X,O
IZSOJTL,O,X,X,X,X,X
IZSOJLT,O,X,O,X,X,X
IZOTLJS,X,X,O,X,X,X
IZOTLSJ,X,X,X,X,X,O
IZOTJLS,X,X,O,X,X,X
IZOTJSL,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,X
IZOLTJS,X,X,O,X,X,X
IZOLTSJ,X,X,X,X,X,O
IZOLJTS,X,O,O,X,X,X
IZOLJST,X,O,O,X,X,O
IZOLSTJ,X,X,X,X,X,O
IZOLSJT,X,X,O,X,X,O
IZOJTLS,X,O,O,X,X,X
IZOJTSL,X,O,X,X,X,X
IZOJLTS,X,O,O,X,X,X
IZOJLST,X,O,O,X,X,O
IZOJSTL,X,O,X,X,X,X
IZOJSLT,X,O,O,X,X,X
IZOSTLJ,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,O
IZOSLJT,X,X,O,X,X,O
IZOSJTL,X,X,X,X,X,X
IZOSJLT,X,X,O,X,X,X
IOTLJSZ,X,X,O,X,X,X
IOTLJZS,X,O,O,X,X,X
IOTLSJZ,X,X,X,X,O,X
IOTLSZJ,X,X,X,X,O,X
IOTLZJS,X,X,X,X,X,X
IOTLZSJ,X,X,X,X,X,X
IOTJLSZ,X,X,O,X,X,X
IOTJLZS,X,O,O,X,X,X
IOTJSLZ,X,X,X,O,X,X
IOTJSZL,X,X,X,X,X,X
IOTJZLS,X,O,X,X,X,X
IOTJZSL,X,O,X,X,X,X
IOTSLJZ,X,X,X,O,O,X
IOTSLZJ,X,X,X,X,O,X
IOTSJLZ,X,X,X,O,O,X
IOTSJZL,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,O,X
IOTSZJL,X,X,X,X,X,X
IOTZLJS,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,O
IOTZJLS,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X
IOTZSLJ,X,X,X,X,X,X
IOTZSJL,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,X
IOLTJZS,X,O,O,X,X,X
IOLTSJZ,X,X,X,X,O,X
IOLTSZJ,X,X,X,X,O,X
IOLTZJS,X,X,X,X,X,X
