sequence,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhFXhBxiBCnBTqB2w?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBxiBqsBTqBmr?B3rB,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhF6mBxiBzlB2vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeGAJvhFThBxiBKqBFrBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeaFJvhFzgB+mBxiB1vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFRhBXmB6sB2vBzr?BFtB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBTiBWsBiqBXt?BRwB,v115@9gA8IeB8FeD8FeD8GeA8JeRAJvhFOqBlmBcsBzqBCs?BXtB
TISLJOZ,X,X,O,O,O,X,X,X
TISLZJO,X,X,O,O,O,X,X,X
TISLZOJ,X,X,X,O,X,X,X,X
TISLOJZ,X,X,O,O,O,X,X,X
TISLOZJ,X,X,X,O,X,X,X,X
TISJLZO,O,X,O,O,O,X,X,X
TISJLOZ,O,X,O,O,O,X,X,X
TISJZLO,O,X,O,X,O,X,X,X
TISJZOL,X,X,O,X,O,X,X,X
TISJOLZ,O,X,O,X,O,X,X,X
TISJOZL,X,X,O,X,O,X,X,X
TISZLJO,O,X,O,X,O,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,O,X,X,X
TISZJOL,O,X,O,X,O,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,O,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X
TISOJLZ,O,X,O,X,O,X,X,X
TISOJZL,O,X,O,X,O,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,O,X
TIZLJOS,O,O,X,X,O,X,O,X
TIZLSJO,O,X,X,X,O,X,O,X
TIZLSOJ,O,O,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,X,O,X
TIZLOSJ,O,O,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,O,X
TIZJLOS,O,O,X,X,O,X,O,X
TIZJSLO,O,X,O,X,X,X,X,X
TIZJSOL,O,X,O,X,X,X,X,X
TIZJOLS,O,O,O,X,O,X,O,X
TIZJOSL,O,O,X,X,X,X,X,X
TIZSLJO,O,X,O,X,O,X,O,X
TIZSLOJ,O,O,X,X,X,X,X,X
TIZSJLO,O,X,O,X,O,X,X,X
TIZSJOL,O,X,O,X,O,X,X,X
TIZSOLJ,O,O,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,X,O,X
TIZOLSJ,O,O,X,X,X,X,X,X
TIZOJLS,O,O,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,X,X,X,X,X,X
TIZOSJL,O,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,O,X,X,X
TIOLJZS,O,O,X,X,O,X,X,X
TIOLSJZ,O,X,X,X,O,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X
TIOJLSZ,O,X,O,X,O,X,X,X
TIOJLZS,O,O,O,X,O,X,X,X
TIOJSLZ,O,X,O,X,O,X,X,X
TIOJSZL,O,O,O,X,O,X,X,X
TIOJZLS,O,O,O,X,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,O,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X
TIOZLJS,O,O,X,X,X,X,X,X
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X
TIOZSLJ,O,O,X,X,X,X,X,X
TIOZSJL,O,O,X,X,X,X,X,X
TLIJSZO,O,X,O,O,O,X,O,X
TLIJSOZ,O,X,O,O,O,X,O,X
TLIJZSO,O,X,X,X,X,X,O,X
TLIJZOS,X,X,X,O,O,X,O,X
TLIJOSZ,O,O,O,O,O,X,O,X
TLIJOZS,X,O,O,O,O,X,O,X
TLISJZO,X,X,O,O,O,X,O,X
TLISJOZ,X,X,O,O,O,X,O,X
TLISZJO,X,X,O,O,O,X,O,X
TLISZOJ,X,X,X,O,X,X,X,X
TLISOJZ,X,X,O,O,O,X,X,X
TLISOZJ,X,X,X,O,X,X,X,X
TLIZJSO,O,X,X,X,X,X,O,X
TLIZJOS,O,O,X,O,O,X,O,X
TLIZSJO,O,X,X,X,O,X,O,X
TLIZSOJ,O,O,X,X,X,X,X,X
TLIZOJS,O,O,X,O,X,X,O,X
TLIZOSJ,O,O,X,X,X,X,X,X
TLIOJSZ,O,O,X,O,O,X,O,X
TLIOJZS,O,O,X,O,O,X,O,X
TLIOSJZ,O,X,X,O,O,X,X,X
TLIOSZJ,O,X,X,O,X,X,X,X
TLIOZJS,O,O,X,O,X,X,O,X
TLIOZSJ,O,O,X,X,X,X,X,X
TLJISZO,O,X,O,O,O,X,O,X
TLJISOZ,O,X,O,O,O,X,O,X
TLJIZSO,O,X,X,X,X,X,O,X
TLJIZOS,X,X,X,O,O,X,O,X
TLJIOSZ,O,O,O,O,O,X,O,X
TLJIOZS,X,O,O,O,O,X,O,X
TLJSIZO,O,X,O,O,O,X,X,X
TLJSIOZ,O,X,O,O,O,X,X,X
TLJSZIO,O,X,O,O,O,X,X,X
TLJSZOI,O,X,X,O,O,O,X,X
TLJSOIZ,O,X,O,O,O,X,X,X
TLJSOZI,O,X,O,O,O,X,X,X
TLJZISO,O,X,X,X,X,X,O,X
TLJZIOS,X,X,X,O,O,X,O,X
TLJZSIO,O,X,X,O,O,X,X,X
TLJZSOI,O,X,X,O,O,O,X,X
TLJZOIS,X,X,X,O,O,X,X,X
TLJZOSI,X,X,X,O,O,X,X,X
TLJOISZ,O,O,O,O,O,X,X,X
TLJOIZS,X,O,O,O,O,X,X,X
TLJOSIZ,O,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X
TLJOZIS,X,O,O,O,O,X,X,X
TLJOZSI,X,O,O,O,O,X,X,X
TLSIJZO,X,X,O,O,O,X,O,X
TLSIJOZ,X,X,O,O,O,X,O,X
TLSIZJO,X,X,O,O,O,X,O,X
TLSIZOJ,X,X,X,O,X,X,X,X
TLSIOJZ,X,X,O,O,O,X,X,X
TLSIOZJ,X,X,X,O,X,X,X,X
TLSJIZO,X,X,O,O,O,X,X,X
TLSJIOZ,X,X,O,O,O,X,X,X
TLSJZIO,X,X,O,O,O,X,X,X
TLSJZOI,X,X,X,O,O,X,X,X
TLSJOIZ,X,X,O,O,O,X,X,X
TLSJOZI,X,X,O,O,O,X,X,X
TLSZIJO,X,X,O,O,O,X,O,X
TLSZIOJ,X,X,X,O,X,X,X,X
TLSZJIO,X,X,X,O,O,X,X,X
TLSZJOI,X,X,X,O,O,X,X,X
TLSZOIJ,X,X,X,O,X,X,X,X
TLSZOJI,X,X,X,O,O,X,X,X
TLSOIJZ,X,X,O,O,O,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,O,O,X,X,X
TLSOJZI,X,X,X,O,O,X,X,X
TLSOZIJ,X,X,X,O,X,X,X,X
TLSOZJI,X,X,X,O,O,X,X,X
TLZIJSO,O,X,X,X,X,X,O,X
TLZIJOS,O,O,X,O,O,X,O,X
TLZISJO,O,X,X,X,O,X,O,X
TLZISOJ,O,O,X,X,X,X,X,X
TLZIOJS,O,O,X,O,X,X,O,X
TLZIOSJ,O,O,X,X,X,X,X,X
TLZJISO,O,X,X,X,X,X,O,X
TLZJIOS,O,O,X,O,O,X,O,X
TLZJSIO,O,X,X,O,O,X,X,X
TLZJSOI,O,X,X,O,O,O,X,X
TLZJOIS,O,X,X,O,O,X,X,X
TLZJOSI,O,X,X,O,O,X,X,X
TLZSIJO,O,X,X,O,O,X,O,X
TLZSIOJ,O,O,X,O,X,X,X,X
TLZSJIO,O,X,X,O,O,X,X,X
TLZSJOI,O,X,X,O,O,X,X,X
TLZSOIJ,O,X,X,O,X,X,X,X
TLZSOJI,X,X,X,O,O,X,X,X
TLZOIJS,O,O,X,O,X,X,O,X
TLZOISJ,O,O,X,X,X,X,X,X
TLZOJIS,O,O,X,O,O,X,X,X
TLZOJSI,O,O,X,O,O,O,X,X
TLZOSIJ,O,O,X,O,X,X,X,X
TLZOSJI,O,O,X,O,O,X,X,X
TLOIJSZ,O,O,X,O,O,X,O,X
TLOIJZS,O,O,X,O,O,X,O,X
TLOISJZ,O,X,X,O,O,X,X,X
TLOISZJ,O,X,X,O,X,X,X,X
TLOIZJS,O,O,X,O,X,X,O,X
TLOIZSJ,O,O,X,X,X,X,X,X
TLOJISZ,O,O,X,O,O,X,X,X
TLOJIZS,O,O,X,O,O,X,X,X
TLOJSIZ,O,O,X,O,O,O,X,X
TLOJSZI,O,O,X,O,O,O,X,X
TLOJZIS,O,O,X,O,O,X,X,X
TLOJZSI,O,O,X,O,O,O,X,X
TLOSIJZ,O,X,X,O,O,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X
TLOSJIZ,O,X,X,O,O,O,X,X
TLOSJZI,O,X,X,O,O,O,X,X
TLOSZIJ,O,X,X,O,X,X,X,X
TLOSZJI,X,X,X,O,O,X,X,X
TLOZIJS,O,O,X,O,X,X,O,X
TLOZISJ,O,O,X,X,X,X,X,X
TLOZJIS,O,O,X,O,O,X,X,X
TLOZJSI,O,O,X,O,O,O,X,X
TLOZSIJ,O,O,X,O,X,X,X,X
TLOZSJI,O,O,X,O,O,X,X,X
TJILSZO,O,X,O,O,O,X,X,X
TJILSOZ,O,X,O,O,O,X,X,X
TJILZSO,O,X,X,X,X,X,X,X
TJILZOS,X,X,X,O,O,X,X,X
TJILOSZ,O,X,O,O,O,X,X,X
TJILOZS,O,X,O,O,O,X,X,X
TJISLZO,O,X,O,O,O,X,X,X
TJISLOZ,O,X,O,O,O,X,X,X
TJISZLO,O,X,O,X,O,X,X,X
TJISZOL,X,X,O,X,O,X,X,X
TJISOLZ,O,X,O,X,O,X,X,X
TJISOZL,X,X,O,X,O,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,O,X,X,X
TJIZSLO,O,X,O,X,X,X,X,X
TJIZSOL,O,X,O,X,X,X,X,X
TJIZOLS,O,X,O,X,O,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X
TJIOLSZ,O,X,O,X,O,X,X,X
TJIOLZS,O,O,O,X,O,X,X,X
TJIOSLZ,O,X,O,X,O,X,X,X
TJIOSZL,O,O,O,X,O,X,X,X
TJIOZLS,O,O,O,X,O,X,X,O
TJIOZSL,O,O,X,X,X,X,X,O
TJLISZO,O,X,O,O,O,X,X,X
TJLISOZ,O,X,O,O,O,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X
TJLIZOS,X,X,X,O,O,X,X,X
TJLIOSZ,O,O,O,O,O,X,X,X
TJLIOZS,O,O,O,O,O,X,X,X
TJLSIZO,O,X,O,O,O,X,X,X
TJLSIOZ,O,X,O,O,O,X,X,X
TJLSZIO,O,X,O,O,O,X,X,X
TJLSZOI,O,X,X,O,O,O,X,X
TJLSOIZ,O,X,O,O,O,X,X,X
TJLSOZI,O,X,O,O,O,X,X,X
TJLZISO,O,X,X,X,X,X,X,X
TJLZIOS,X,X,X,O,O,X,X,X
TJLZSIO,O,X,X,O,O,X,X,X
TJLZSOI,O,X,X,O,O,O,X,X
TJLZOIS,X,X,X,O,O,X,X,X
TJLZOSI,X,X,X,O,O,X,X,X
TJLOISZ,O,O,O,O,O,X,X,X
TJLOIZS,O,O,O,O,O,X,X,X
TJLOSIZ,O,O,O,O,O,X,X,X
TJLOSZI,O,O,O,O,O,X,X,X
TJLOZIS,O,O,O,O,O,X,X,X
TJLOZSI,O,O,O,O,O,X,X,X
TJSILZO,O,X,O,O,O,X,X,X
TJSILOZ,O,X,O,O,O,X,X,X
TJSIZLO,O,X,O,X,O,X,X,X
TJSIZOL,X,X,O,X,O,X,X,X
TJSIOLZ,O,X,O,X,O,X,X,X
TJSIOZL,X,X,O,X,O,X,X,X
TJSLIZO,O,X,O,X,O,X,X,X
TJSLIOZ,O,X,O,X,O,X,X,X
TJSLZIO,O,X,O,X,O,X,X,X
TJSLZOI,O,X,X,X,O,O,X,X
TJSLOIZ,O,X,O,X,O,X,X,X
TJSLOZI,O,X,O,X,O,X,X,X
TJSZILO,O,X,O,X,O,X,X,X
TJSZIOL,X,X,O,X,O,X,X,X
TJSZLIO,O,X,O,X,O,X,X,X
TJSZLOI,O,X,X,X,O,O,X,X
TJSZOIL,X,X,O,X,O,X,X,X
TJSZOLI,X,X,O,X,O,O,X,X
TJSOILZ,O,X,O,X,O,X,X,X
TJSOIZL,X,X,O,X,O,X,X,X
TJSOLIZ,O,X,O,X,O,O,X,X
TJSOLZI,O,X,O,X,O,O,X,X
TJSOZIL,X,X,O,X,O,X,X,X
TJSOZLI,X,X,O,X,O,O,X,X
TJZILSO,O,X,X,X,X,X,X,X
TJZILOS,O,X,X,X,O,X,X,X
TJZISLO,O,X,O,X,X,X,X,X
TJZISOL,O,X,O,X,X,X,X,X
TJZIOLS,O,X,O,X,O,X,X,O
TJZIOSL,O,X,X,X,X,X,X,O
TJZLISO,O,X,X,X,X,X,X,X
TJZLIOS,O,X,X,X,O,X,X,X
TJZLSIO,O,X,X,X,O,X,X,X
TJZLSOI,O,X,X,X,O,O,X,X
TJZLOIS,O,X,X,X,O,X,X,O
TJZLOSI,O,X,X,X,O,X,X,O
TJZSILO,O,X,O,X,O,X,X,X
TJZSIOL,O,X,O,X,O,X,X,X
TJZSLIO,O,X,O,X,O,X,X,X
TJZSLOI,O,X,X,X,O,O,X,X
TJZSOIL,O,X,O,X,O,X,X,O
TJZSOLI,X,X,O,X,O,O,X,O
TJZOILS,O,X,O,X,O,X,X,O
TJZOISL,O,X,X,X,X,X,X,O
TJZOLIS,O,X,O,X,O,X,X,O
TJZOLSI,O,X,O,X,O,O,X,O
TJZOSIL,O,X,O,X,O,X,X,O
TJZOSLI,O,X,O,X,O,O,X,O
TJOILSZ,O,O,O,X,O,X,X,X
TJOILZS,O,O,O,X,O,X,X,X
TJOISLZ,O,X,O,X,O,X,X,X
TJOISZL,O,O,O,X,O,X,X,X
TJOIZLS,O,O,O,X,O,X,X,O
TJOIZSL,O,O,X,X,X,X,X,O
TJOLISZ,O,O,O,X,O,X,X,X
TJOLIZS,O,O,O,X,O,X,X,X
TJOLSIZ,O,O,O,X,O,O,X,X
TJOLSZI,O,O,O,X,O,O,X,X
TJOLZIS,O,O,O,X,O,X,X,X
TJOLZSI,O,O,O,X,O,O,X,X
TJOSILZ,O,X,O,X,O,X,X,X
TJOSIZL,O,O,O,X,O,X,X,X
TJOSLIZ,O,O,O,X,O,O,X,X
TJOSLZI,O,O,O,X,O,O,X,X
TJOSZIL,O,O,O,X,O,X,X,X
TJOSZLI,O,O,O,X,O,O,X,X
TJOZILS,O,O,O,X,O,X,X,O
TJOZISL,O,O,X,X,X,X,X,O
TJOZLIS,O,O,O,X,O,X,X,O
TJOZLSI,O,O,O,X,O,O,X,O
TJOZSIL,O,O,O,X,O,X,X,O
TJOZSLI,O,O,O,X,O,O,X,O
TSILJZO,X,X,O,O,O,X,X,X
TSILJOZ,X,X,O,O,O,X,X,X
TSILZJO,X,X,O,O,O,X,X,X
TSILZOJ,X,X,X,O,X,X,X,X
TSILOJZ,X,X,O,O,O,X,X,X
TSILOZJ,X,X,X,O,X,X,X,X
TSIJLZO,O,X,O,O,O,X,X,X
TSIJLOZ,O,X,O,O,O,X,X,X
TSIJZLO,O,X,O,X,O,X,X,X
TSIJZOL,X,X,O,X,O,X,X,X
TSIJOLZ,O,X,O,X,O,X,X,X
TSIJOZL,X,X,O,X,O,X,X,X
TSIZLJO,O,X,O,X,O,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X
TSIZJLO,O,X,O,X,O,X,X,X
TSIZJOL,O,X,O,X,O,X,X,X
TSIZOLJ,O,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,O,X,X,X
TSIOLZJ,O,X,X,X,X,X,X,X
TSIOJLZ,O,X,O,X,O,X,X,X
TSIOJZL,O,X,O,X,O,X,X,X
TSIOZLJ,O,X,X,X,X,X,X,X
TSIOZJL,O,X,X,X,X,X,X,X
TSLIJZO,X,X,O,O,O,X,X,X
TSLIJOZ,X,X,O,O,O,X,X,X
TSLIZJO,X,X,O,O,O,X,X,X
TSLIZOJ,X,X,X,O,X,X,X,X
TSLIOJZ,X,X,O,O,O,X,X,X
TSLIOZJ,X,X,X,O,X,X,X,X
TSLJIZO,X,X,O,O,O,X,X,X
TSLJIOZ,X,X,O,O,O,X,X,X
TSLJZIO,X,X,O,O,O,X,X,X
TSLJZOI,X,X,X,O,O,X,X,X
TSLJOIZ,X,X,O,O,O,X,X,X
TSLJOZI,X,X,O,O,O,X,X,X
TSLZIJO,X,X,O,O,O,X,X,X
TSLZIOJ,X,X,X,O,X,X,X,X
TSLZJIO,X,X,X,O,O,X,X,X
TSLZJOI,X,X,X,O,O,X,X,X
TSLZOIJ,X,X,X,O,X,X,X,X
TSLZOJI,X,X,X,O,O,X,X,X
TSLOIJZ,X,X,O,O,O,X,X,X
TSLOIZJ,X,X,X,O,X,X,X,X
TSLOJIZ,X,X,X,O,O,X,X,X
TSLOJZI,X,X,X,O,O,X,X,X
TSLOZIJ,X,X,X,O,X,X,X,X
TSLOZJI,X,X,X,O,O,X,X,X
TSJILZO,O,X,O,O,O,X,X,X
TSJILOZ,O,X,O,O,O,X,X,X
TSJIZLO,O,X,O,X,O,X,X,X
TSJIZOL,X,X,O,X,O,X,X,X
TSJIOLZ,O,X,O,X,O,X,X,X
TSJIOZL,X,X,O,X,O,X,X,X
TSJLIZO,O,X,O,X,O,X,X,X
TSJLIOZ,O,X,O,X,O,X,X,X
TSJLZIO,O,X,O,X,O,X,X,X
TSJLZOI,O,X,X,X,O,X,X,X
TSJLOIZ,O,X,O,X,O,X,X,X
TSJLOZI,O,X,O,X,O,X,X,X
TSJZILO,O,X,O,X,O,X,X,X
TSJZIOL,X,X,O,X,O,X,X,X
TSJZLIO,O,X,O,X,O,X,X,X
TSJZLOI,O,X,X,X,O,X,X,X
TSJZOIL,X,X,O,X,O,X,X,X
TSJZOLI,X,X,O,X,O,X,X,X
TSJOILZ,O,X,O,X,O,X,X,X
TSJOIZL,X,X,O,X,O,X,X,X
TSJOLIZ,O,X,O,X,O,X,X,X
TSJOLZI,O,X,O,X,O,X,X,X
TSJOZIL,X,X,O,X,O,X,X,X
TSJOZLI,X,X,O,X,O,X,X,X
TSZILJO,O,X,O,X,O,X,X,X
TSZILOJ,O,X,X,X,X,X,X,X
TSZIJLO,O,X,O,X,O,X,X,X
TSZIJOL,O,X,O,X,O,X,X,X
TSZIOLJ,O,X,X,X,X,X,X,X
TSZIOJL,O,X,X,X,X,X,X,X
TSZLIJO,O,X,O,X,O,X,X,X
TSZLIOJ,O,X,X,X,X,X,X,X
TSZLJIO,O,X,X,X,O,X,X,X
TSZLJOI,O,X,X,X,O,X,X,X
TSZLOIJ,O,X,X,X,X,X,X,X
TSZLOJI,X,X,X,X,O,X,X,X
TSZJILO,O,X,O,X,O,X,X,X
TSZJIOL,O,X,O,X,O,X,X,X
TSZJLIO,O,X,O,X,O,X,X,X
TSZJLOI,O,X,X,X,O,X,X,X
TSZJOIL,O,X,O,X,O,X,X,X
TSZJOLI,X,X,O,X,O,X,X,X
TSZOILJ,O,X,X,X,X,X,X,X
TSZOIJL,O,X,X,X,X,X,X,X
TSZOLIJ,O,X,X,X,X,X,X,X
TSZOLJI,O,X,X,X,O,X,X,X
TSZOJIL,O,X,X,X,O,X,X,X
TSZOJLI,O,X,X,X,O,X,X,X
TSOILJZ,O,X,O,X,O,X,X,X
TSOILZJ,O,X,X,X,X,X,X,X
TSOIJLZ,O,X,O,X,O,X,X,X
TSOIJZL,O,X,O,X,O,X,X,X
TSOIZLJ,O,X,X,X,X,X,X,X
TSOIZJL,O,X,X,X,X,X,X,X
TSOLIJZ,O,X,O,X,O,X,X,X
TSOLIZJ,O,X,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,O,X,X,X
TSOLJZI,O,X,X,X,O,X,X,X
TSOLZIJ,O,X,X,X,X,X,X,X
TSOLZJI,X,X,X,X,O,X,X,X
TSOJILZ,O,X,O,X,O,X,X,X
TSOJIZL,O,X,O,X,O,X,X,X
TSOJLIZ,O,X,O,X,O,X,X,X
TSOJLZI,O,X,O,X,O,X,X,X
TSOJZIL,O,X,O,X,O,X,X,X
TSOJZLI,O,X,O,X,O,X,X,X
TSOZILJ,O,X,X,X,X,X,X,X
TSOZIJL,O,X,X,X,X,X,X,X
TSOZLIJ,O,X,X,X,X,X,X,X
TSOZLJI,O,X,X,X,O,X,X,X
TSOZJIL,O,X,X,X,O,X,X,X
TSOZJLI,O,X,X,X,O,X,X,X
TZILJSO,O,X,X,X,X,X,O,X
TZILJOS,O,O,X,X,O,X,O,X
TZILSJO,O,X,X,X,O,X,O,X
TZILSOJ,O,O,X,X,X,X,X,X
TZILOJS,O,O,X,X,X,X,O,X
TZILOSJ,O,O,X,X,X,X,X,X
TZIJLSO,O,X,X,X,X,X,O,X
TZIJLOS,O,O,X,X,O,X,O,X
TZIJSLO,O,X,O,X,X,X,X,X
TZIJSOL,O,X,O,X,X,X,X,X
TZIJOLS,O,O,O,X,O,X,O,O
TZIJOSL,O,O,X,X,X,X,X,O
TZISLJO,O,X,O,X,O,X,O,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,X,O,X,O,X,X,X
TZISJOL,O,X,O,X,O,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,O,O,X,X,X,X,O,X
TZIOLSJ,O,O,X,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,O
TZIOJSL,O,O,X,X,X,X,X,O
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X
TZLIJSO,O,X,X,X,X,X,O,X
TZLIJOS,O,O,X,X,O,X,O,X
TZLISJO,O,X,X,X,O,X,O,X
TZLISOJ,O,O,X,X,X,X,X,X
TZLIOJS,O,O,X,X,X,X,O,X
TZLIOSJ,O,O,X,X,X,X,X,X
TZLJISO,O,X,X,X,X,X,O,X
TZLJIOS,O,O,X,X,O,X,O,X
TZLJSIO,O,X,X,X,O,X,X,X
TZLJSOI,O,X,X,X,O,O,X,X
TZLJOIS,O,X,X,X,O,X,X,O
TZLJOSI,O,X,X,X,O,X,X,O
TZLSIJO,O,X,X,X,O,X,O,X
TZLSIOJ,O,O,X,X,X,X,X,X
TZLSJIO,O,X,X,X,O,X,X,X
TZLSJOI,O,X,X,X,O,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,O,X,X,X
TZLOIJS,O,O,X,X,X,X,O,X
TZLOISJ,O,O,X,X,X,X,X,X
TZLOJIS,O,O,X,X,O,X,X,O
TZLOJSI,O,O,X,X,O,O,X,O
TZLOSIJ,O,O,X,X,X,X,X,X
TZLOSJI,O,O,X,X,O,X,X,X
TZJILSO,O,X,X,X,X,X,O,X
TZJILOS,O,O,X,X,O,X,O,X
TZJISLO,O,X,O,X,X,X,X,X
TZJISOL,O,X,O,X,X,X,X,X
TZJIOLS,O,O,O,X,O,X,X,O
TZJIOSL,O,O,X,X,X,X,X,O
TZJLISO,O,X,X,X,X,X,O,X
TZJLIOS,O,O,X,X,O,X,O,X
TZJLSIO,O,X,X,X,O,X,X,X
TZJLSOI,O,X,X,X,O,O,X,X
TZJLOIS,O,X,X,X,O,X,X,O
TZJLOSI,O,X,X,X,O,X,X,O
TZJSILO,O,X,O,X,O,X,X,X
TZJSIOL,O,X,O,X,O,X,X,X
TZJSLIO,O,X,O,X,O,X,X,X
TZJSLOI,O,X,X,X,O,O,X,X
TZJSOIL,O,X,O,X,O,X,X,O
TZJSOLI,X,X,O,X,O,O,X,O
TZJOILS,O,O,O,X,O,X,X,O
