sequence,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?XiBysBzqBWxB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?urBinBzqB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?qqB/rBmnBTsB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?uqBinBTrB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFhB?qrB/sBmnBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBThB?qqB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBFiB?XmBysBWxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgBqqB?TmB/sBmnB0rB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhF0hBllB?inBTrB3sBGqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgBfnB?VrBmnBSxBzqB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFUgB1mB?zlB2sBSwB3sB,v115@GhA8AeA8EeC8AeB8FeA8AeB8EeB8JeZEJvhFFgB0hB?zlB2sBSwB3sB
TLSIZJO,X,X,O,X,X,O,X,X,X,O,O,X
TLSIZOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLSIOJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLSIOZJ,X,X,O,X,X,O,X,O,X,O,X,X
TLSJIZO,X,X,O,O,X,O,X,X,X,O,X,X
TLSJIOZ,X,X,X,X,X,X,X,O,X,X,X,X
TLSJZIO,X,X,O,O,X,O,X,X,X,O,X,X
TLSJZOI,X,X,X,X,X,O,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,O,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,O,X,X,O,X,X,X,O,O,X
TLSZIOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLSZJIO,X,X,O,X,X,O,X,X,X,O,X,X
TLSZJOI,X,X,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,X,X,O,X,X,O,X,O,X,O,X,X
TLSZOJI,X,X,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLSOIZJ,X,X,O,X,X,O,X,O,X,O,X,X
TLSOJIZ,X,X,O,X,X,X,X,O,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,O,X,X,O,X,O,X,O,X,X
TLSOZJI,X,X,O,X,X,O,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,O,O,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X,O,X
TLZISJO,X,X,O,X,X,O,X,X,X,O,O,X
TLZISOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X,O,X
TLZIOSJ,X,X,O,X,X,X,X,X,O,O,O,X
TLZJISO,X,X,X,X,X,X,X,X,X,O,O,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X,O,X
TLZJSIO,X,X,X,X,X,X,X,X,X,O,X,X
TLZJSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,X,O,X,X,X,O,O,X
TLZSIOJ,X,X,O,X,X,O,X,O,X,O,O,X
TLZSJIO,X,X,O,X,X,O,X,X,X,O,X,X
TLZSJOI,X,X,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,O,X,O,X,O,X,X
TLZSOJI,X,X,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X,O,X
TLZOISJ,X,X,O,X,X,X,X,X,X,O,O,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,X,X,X,O,X,X
TLZOSJI,X,X,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,O,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,O
TLOISJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLOISZJ,X,X,O,X,X,O,X,O,X,O,X,O
TLOIZJS,X,X,X,X,X,X,X,X,X,X,O,O
TLOIZSJ,X,X,O,X,X,X,X,X,O,O,O,O
TLOJISZ,X,X,O,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,O
TLOJSIZ,X,X,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,X,O
TLOJZSI,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIJZ,X,X,O,X,X,X,X,O,X,X,X,X
TLOSIZJ,X,X,O,X,X,O,X,O,X,O,X,O
TLOSJIZ,X,X,O,X,X,X,X,O,X,X,X,X
TLOSJZI,X,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,X,O,X,X,O,X,O,X,O,X,O
TLOSZJI,X,X,O,X,X,O,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X,O,O
TLOZISJ,X,X,O,X,X,X,X,X,O,O,O,O
TLOZJIS,X,X,X,X,X,X,X,X,X,X,X,O
TLOZJSI,X,X,X,X,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,X,X,X,O,X,O
TLOZSJI,X,X,O,X,X,X,X,X,X,X,X,X
TJILSZO,X,X,O,O,X,O,O,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJILZSO,X,O,X,O,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X,X,X,X,X
TJILOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,O,X,O,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJISZLO,O,O,X,O,X,X,O,X,X,X,X,X
TJISZOL,O,O,X,O,X,X,O,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,X,O,X,X,X,X,X
TJIZLSO,O,O,X,O,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,O,X,X,X,X,X,X,X,X
TJIZSLO,O,O,X,O,X,X,O,X,X,X,X,X
TJIZSOL,O,O,X,O,X,X,O,X,X,X,X,X
TJIZOLS,X,X,X,O,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,O,X,O,X,X,X
TJIOLSZ,O,X,O,X,X,X,X,X,X,X,X,X
TJIOLZS,O,O,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,O,X,O,X,X,O,X,X,X,X,X
TJIOZLS,O,O,X,O,X,X,X,X,X,X,X,X
TJIOZSL,O,O,X,O,X,X,O,X,O,X,X,X
TJLISZO,X,X,O,O,X,O,O,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJLIZSO,X,O,X,O,X,X,O,X,X,X,X,X
TJLIZOS,X,X,X,O,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,O,X,X,X,X,X,X,X,X
TJLSIZO,X,X,O,O,X,O,O,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJLSZIO,X,X,O,O,X,O,O,X,X,X,X,X
TJLSZOI,X,X,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,X,O,X,O,X,X,O,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,O,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,O,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,X,X,X,X,X,X,X,X
TJLOSIZ,X,X,O,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,O,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X
TJSILZO,O,X,X,O,X,O,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJSIZLO,O,O,X,O,X,X,O,X,X,X,X,X
TJSIZOL,O,O,X,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,O,X,X,O,X,X,X,X,X
TJSLIZO,O,X,X,O,X,O,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,X,O,X,X,X,X
TJSLZIO,O,X,X,O,X,O,O,X,X,X,X,X
TJSLZOI,X,X,X,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X,X,O,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,O,X,X,X,X,X
TJSZIOL,O,O,X,O,X,X,O,X,X,X,X,X
TJSZLIO,O,X,X,O,X,X,O,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,O,X,X,O,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,O,X,X,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,O,O,X,O,X,X,O,X,X,X,X,X
TJZILOS,X,X,X,O,X,X,X,X,X,X,X,X
TJZISLO,O,O,X,O,X,X,O,X,X,X,X,X
TJZISOL,O,O,X,O,X,X,O,X,X,X,X,X
TJZIOLS,X,X,X,O,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,O,X,X,O,X,O,X,X,X
TJZLISO,O,O,X,O,X,X,O,X,X,X,X,X
TJZLIOS,X,X,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,O,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,O,O,X,O,X,X,O,X,X,X,X,X
TJZSIOL,O,O,X,O,X,X,O,X,X,X,X,X
TJZSLIO,O,X,X,O,X,X,O,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,X,O,X,X,O,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,O,X,X,X,X,X,X,X,X
TJZOISL,O,O,X,O,X,X,O,X,X,X,X,X
TJZOLIS,X,X,X,O,X,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,O,X,X,O,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,O,X,O,X,X,X,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,O,X,X,X,X,X
TJOIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TJOIZSL,O,O,X,O,X,X,O,X,O,X,X,X
TJOLISZ,O,X,O,X,X,X,X,X,X,X,X,X
TJOLIZS,O,O,X,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,O,X,O,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X,X,X,X,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZISL,O,O,X,O,X,X,O,X,O,X,X,X
TJOZLIS,O,O,X,O,X,X,X,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X,X,X,X,X,X,X
TJOZSIL,O,O,X,O,X,X,O,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X,X,X
TSILJZO,X,X,O,O,O,O,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,X,O,X,X,X,X
TSILZJO,O,X,O,X,O,O,X,X,X,X,X,X
TSILZOJ,O,X,O,X,O,O,X,O,X,X,X,X
TSILOJZ,X,X,O,X,O,X,X,O,X,X,X,X
TSILOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSIJLZO,O,O,X,O,X,O,O,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,X,O,X,X,X,X
TSIJZLO,O,O,X,O,X,X,O,X,X,X,X,X
TSIJZOL,O,O,X,O,X,X,O,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,O,X,X,O,X,X,X,X,X
TSIZLJO,O,X,O,X,O,O,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,O,O,X,O,X,X,X,X
TSIZJLO,O,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,O,O,X,O,X,X,X,X,X,X,X,X
TSIZOLJ,O,X,X,X,O,O,X,X,O,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X,O,X,X,X
TSIOLJZ,X,X,O,X,O,X,X,O,X,X,X,X
TSIOLZJ,O,X,O,X,O,O,X,O,O,X,X,X
TSIOJLZ,X,O,X,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,X,X,X,X,O,X,X,X
TSIOZLJ,O,X,X,X,O,X,X,X,O,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,O,X,X,X
TSLIJZO,X,X,O,O,O,O,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,X,O,X,X,X,X
TSLIZJO,O,X,O,X,O,O,X,X,X,X,X,X
TSLIZOJ,O,X,O,X,O,O,X,O,X,X,X,X
TSLIOJZ,X,X,O,X,O,X,X,O,X,X,X,X
TSLIOZJ,X,X,O,X,O,O,X,O,X,X,X,X
TSLJIZO,X,X,O,O,O,O,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,X,O,X,X,X,X
