sequence,v115@QhD8EeF8DeB8JeT/IvhF2lBRhBFjBfsB6sBUrB,v115@QhD8EeF8DeB8JeT/IvhF/lBRhBFjB0mB6sB2wB,v115@QhD8EeF8DeB8JeT/IvhFmgBqmB/nBFjB0lBxwB,v115@QhD8EeF8DeB8JeT/IvhF2lBRhBfsBlnBUrBCtB,v115@QhD8EeF8DeB8JeT/IvhF/lBRhB0mBlnB2wBCtB
TLOIJSZ,O,O,X,X,X
TLOIJZS,X,O,X,X,X
TLOISJZ,O,O,O,X,X
TLOISZJ,O,O,O,X,X
TLOIZJS,O,X,X,X,X
TLOIZSJ,O,X,O,X,X
TLOJISZ,O,O,X,X,X
TLOJIZS,O,O,X,X,X
TLOJSIZ,O,O,X,X,X
TLOJSZI,O,O,X,X,O
TLOJZIS,O,O,X,X,X
TLOJZSI,O,O,X,X,O
TLOSIJZ,O,O,X,X,X
TLOSIZJ,O,O,X,X,X
TLOSJIZ,O,O,X,X,X
TLOSJZI,O,O,X,O,O
TLOSZIJ,O,O,X,X,X
TLOSZJI,O,O,X,X,X
TLOZIJS,O,X,X,X,X
TLOZISJ,O,X,X,X,X
TLOZJIS,O,O,X,X,X
TLOZJSI,O,O,X,X,X
TLOZSIJ,O,O,X,X,X
TLOZSJI,O,O,X,X,X
TJILSZO,O,O,X,X,X
TJILSOZ,O,O,X,X,X
TJILZSO,X,O,X,X,X
TJILZOS,X,O,X,X,X
TJILOSZ,O,O,X,X,X
TJILOZS,O,O,X,X,X
TJISLZO,X,O,O,X,X
TJISLOZ,O,O,O,X,X
TJISZLO,X,O,O,X,O
TJISZOL,O,O,O,X,O
TJISOLZ,O,O,O,X,X
TJISOZL,O,O,O,X,O
TJIZLSO,O,X,X,X,X
TJIZLOS,O,X,X,X,X
TJIZSLO,O,O,O,O,O
TJIZSOL,O,O,O,O,O
TJIZOLS,O,X,X,X,X
TJIZOSL,O,O,O,O,O
TJIOLSZ,O,O,X,X,X
TJIOLZS,O,O,X,X,X
TJIOSLZ,O,O,O,X,X
TJIOSZL,O,O,O,X,O
TJIOZLS,O,X,X,X,X
TJIOZSL,O,O,O,O,O
TJLISZO,O,O,X,X,X
TJLISOZ,O,O,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,O,O,X,X,X
TJLIOZS,O,O,X,X,X
TJLSIZO,O,O,X,X,X
TJLSIOZ,O,O,X,X,X
TJLSZIO,O,O,X,X,O
TJLSZOI,O,O,X,X,O
TJLSOIZ,O,O,X,X,X
TJLSOZI,O,O,X,X,O
TJLZISO,O,O,X,X,X
TJLZIOS,O,O,X,X,X
TJLZSIO,O,O,X,X,O
TJLZSOI,O,O,X,X,O
TJLZOIS,O,O,X,X,X
TJLZOSI,O,O,X,X,O
TJLOISZ,O,O,X,X,X
TJLOIZS,O,O,X,X,X
TJLOSIZ,O,O,X,X,X
TJLOSZI,O,O,X,X,O
TJLOZIS,O,O,X,X,X
TJLOZSI,O,O,X,X,O
TJSILZO,X,O,X,X,X
TJSILOZ,O,O,X,X,X
TJSIZLO,X,O,X,X,O
TJSIZOL,O,O,X,X,O
TJSIOLZ,O,O,X,X,X
TJSIOZL,O,O,X,O,O
TJSLIZO,O,O,X,X,X
TJSLIOZ,O,O,X,X,X
TJSLZIO,O,O,X,X,O
TJSLZOI,O,O,X,X,O
TJSLOIZ,O,O,X,X,X
TJSLOZI,O,O,X,O,O
TJSZILO,O,O,X,X,O
TJSZIOL,O,O,X,X,O
TJSZLIO,O,O,X,X,O
TJSZLOI,O,O,X,X,O
TJSZOIL,O,O,X,O,O
TJSZOLI,O,O,X,O,O
TJSOILZ,O,O,X,X,X
TJSOIZL,O,O,X,O,O
TJSOLIZ,O,O,X,X,X
TJSOLZI,O,O,X,O,O
TJSOZIL,O,O,X,O,O
TJSOZLI,O,O,X,O,O
TJZILSO,O,X,X,X,X
TJZILOS,O,X,X,X,X
TJZISLO,O,O,X,O,O
TJZISOL,O,O,X,O,O
TJZIOLS,O,X,X,X,X
TJZIOSL,O,O,X,O,O
TJZLISO,O,O,X,X,X
TJZLIOS,O,O,X,X,X
TJZLSIO,O,O,X,X,O
TJZLSOI,O,O,X,X,O
TJZLOIS,O,O,X,X,X
TJZLOSI,O,O,X,X,O
TJZSILO,O,O,X,O,O
TJZSIOL,O,O,X,O,O
TJZSLIO,O,O,X,O,O
TJZSLOI,O,O,X,O,O
TJZSOIL,O,O,X,O,O
TJZSOLI,O,O,X,O,O
TJZOILS,O,X,X,X,X
TJZOISL,O,O,X,O,O
TJZOLIS,O,O,X,X,X
TJZOLSI,O,O,X,X,O
TJZOSIL,O,O,X,O,O
TJZOSLI,O,O,X,O,O
TJOILSZ,O,O,X,X,X
TJOILZS,O,O,X,X,X
TJOISLZ,O,O,O,X,X
TJOISZL,O,O,O,X,O
TJOIZLS,O,X,X,X,X
TJOIZSL,O,O,O,O,O
TJOLISZ,O,O,X,X,X
TJOLIZS,O,O,X,X,X
TJOLSIZ,O,O,X,X,X
TJOLSZI,O,O,X,X,O
TJOLZIS,O,O,X,X,X
TJOLZSI,O,O,X,X,O
TJOSILZ,O,O,X,X,X
TJOSIZL,O,O,X,O,O
TJOSLIZ,O,O,X,X,X
TJOSLZI,O,O,X,O,O
TJOSZIL,O,O,X,O,O
TJOSZLI,O,O,X,O,O
TJOZILS,O,X,X,X,X
TJOZISL,O,O,X,O,O
TJOZLIS,O,O,X,X,X
TJOZLSI,O,O,X,X,O
TJOZSIL,O,O,X,O,O
TJOZSLI,O,O,X,O,O
TSILJZO,X,O,O,X,X
TSILJOZ,O,O,O,X,X
TSILZJO,X,X,O,X,X
TSILZOJ,X,O,O,X,X
TSILOJZ,O,O,O,X,X
TSILOZJ,X,O,O,X,X
TSIJLZO,X,O,O,X,X
TSIJLOZ,O,O,O,X,X
TSIJZLO,X,O,O,X,O
TSIJZOL,O,O,O,X,O
TSIJOLZ,O,O,O,X,X
TSIJOZL,O,O,O,O,O
TSIZLJO,X,X,O,X,X
TSIZLOJ,X,X,O,X,X
TSIZJLO,X,X,O,X,X
TSIZJOL,O,X,O,X,X
TSIZOLJ,X,O,O,X,X
TSIZOJL,O,O,O,X,X
TSIOLJZ,O,O,O,X,X
TSIOLZJ,X,O,O,X,X
TSIOJLZ,O,O,O,X,X
TSIOJZL,O,O,O,O,O
TSIOZLJ,X,O,O,X,X
TSIOZJL,O,O,O,X,X
TSLIJZO,O,O,X,X,X
TSLIJOZ,O,O,X,X,X
TSLIZJO,O,X,X,X,X
TSLIZOJ,O,O,X,X,X
TSLIOJZ,O,O,X,X,X
TSLIOZJ,O,O,X,X,X
TSLJIZO,O,O,X,X,X
TSLJIOZ,O,O,X,X,X
TSLJZIO,O,O,X,X,O
TSLJZOI,O,O,X,X,O
TSLJOIZ,O,O,X,X,X
TSLJOZI,O,O,X,O,O
TSLZIJO,O,X,X,X,X
TSLZIOJ,O,O,X,X,X
TSLZJIO,O,O,X,X,X
TSLZJOI,O,O,X,X,X
TSLZOIJ,O,O,X,X,X
TSLZOJI,O,O,X,X,X
TSLOIJZ,O,O,X,X,X
TSLOIZJ,O,O,X,X,X
TSLOJIZ,O,O,X,X,X
TSLOJZI,O,O,X,O,O
TSLOZIJ,O,O,X,X,X
TSLOZJI,O,O,X,X,X
TSJILZO,X,O,X,X,X
TSJILOZ,O,O,X,X,X
TSJIZLO,X,O,X,X,O
TSJIZOL,O,O,X,X,O
TSJIOLZ,O,O,X,X,X
TSJIOZL,O,O,X,O,O
TSJLIZO,O,O,X,X,X
TSJLIOZ,O,O,X,X,X
TSJLZIO,O,O,X,X,O
TSJLZOI,O,O,X,X,O
TSJLOIZ,O,O,X,X,X
TSJLOZI,O,O,X,O,O
TSJZILO,O,O,X,X,O
TSJZIOL,O,O,X,X,O
TSJZLIO,O,O,X,X,O
TSJZLOI,O,O,X,X,O
TSJZOIL,O,O,X,O,O
TSJZOLI,O,O,X,O,O
TSJOILZ,O,O,X,X,X
TSJOIZL,O,O,X,O,O
TSJOLIZ,O,O,X,X,X
TSJOLZI,O,O,X,O,O
TSJOZIL,O,O,X,O,O
TSJOZLI,O,O,X,O,O
TSZILJO,O,X,X,X,X
TSZILOJ,O,X,X,X,X
TSZIJLO,O,X,X,X,X
TSZIJOL,O,X,X,X,X
TSZIOLJ,O,O,X,X,X
TSZIOJL,O,O,X,X,X
TSZLIJO,O,X,X,X,X
TSZLIOJ,O,O,X,X,X
TSZLJIO,O,O,X,X,X
TSZLJOI,O,O,X,X,X
TSZLOIJ,O,O,X,X,X
TSZLOJI,O,O,X,X,X
TSZJILO,O,O,X,X,O
TSZJIOL,O,O,X,X,O
TSZJLIO,O,O,X,X,O
TSZJLOI,O,O,X,X,O
TSZJOIL,O,O,X,O,O
TSZJOLI,O,O,X,O,O
TSZOILJ,O,O,X,X,X
TSZOIJL,O,O,X,X,X
TSZOLIJ,O,O,X,X,X
TSZOLJI,O,O,X,X,X
TSZOJIL,O,O,X,O,O
TSZOJLI,O,O,X,O,O
TSOILJZ,O,O,O,X,X
TSOILZJ,X,O,O,X,X
TSOIJLZ,O,O,O,X,X
TSOIJZL,O,O,O,O,O
TSOIZLJ,X,O,O,X,X
TSOIZJL,O,O,O,X,X
TSOLIJZ,O,O,X,X,X
TSOLIZJ,O,O,X,X,X
TSOLJIZ,O,O,X,X,X
TSOLJZI,O,O,X,O,O
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,O,X,X,X
TSOJILZ,O,O,X,X,X
TSOJIZL,O,O,X,O,O
TSOJLIZ,O,O,X,X,X
TSOJLZI,O,O,X,O,O
TSOJZIL,O,O,X,O,O
TSOJZLI,O,O,X,O,O
TSOZILJ,O,O,X,X,X
TSOZIJL,O,O,X,X,X
TSOZLIJ,O,O,X,X,X
TSOZLJI,O,O,X,X,X
TSOZJIL,O,O,X,O,O
TSOZJLI,O,O,X,O,O
TZILJSO,O,X,O,X,X
TZILJOS,O,X,O,X,X
TZILSJO,O,X,O,X,X
TZILSOJ,O,X,O,X,X
TZILOJS,O,X,O,X,X
TZILOSJ,O,X,O,X,X
TZIJLSO,O,X,O,X,X
TZIJLOS,O,X,O,X,X
TZIJSLO,O,X,O,X,X
TZIJSOL,O,X,O,X,X
TZIJOLS,O,X,O,X,X
TZIJOSL,O,X,O,X,X
TZISLJO,O,X,O,X,X
TZISLOJ,O,X,O,X,X
TZISJLO,O,X,O,X,X
TZISJOL,O,X,O,X,X
TZISOLJ,O,X,O,X,X
TZISOJL,O,X,O,X,X
TZIOLJS,O,X,O,X,X
TZIOLSJ,O,X,O,X,X
TZIOJLS,O,X,O,X,X
TZIOJSL,O,X,O,X,X
TZIOSLJ,O,X,O,X,X
TZIOSJL,O,X,O,X,X
TZLIJSO,O,X,X,X,X
TZLIJOS,O,X,X,X,X
TZLISJO,O,X,X,X,X
TZLISOJ,O,X,X,X,X
TZLIOJS,O,X,X,X,X
TZLIOSJ,O,X,X,X,X
TZLJISO,O,O,X,X,X
TZLJIOS,O,O,X,X,X
TZLJSIO,O,O,X,X,X
TZLJSOI,O,O,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,X,X,X
TZLSIJO,O,X,X,X,X
TZLSIOJ,O,O,X,X,X
TZLSJIO,O,O,X,X,X
TZLSJOI,O,O,X,X,X
TZLSOIJ,O,O,X,X,X
TZLSOJI,O,O,X,X,X
TZLOIJS,O,X,X,X,X
TZLOISJ,O,X,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,O,X,X,X
TZLOSIJ,O,O,X,X,X
TZLOSJI,O,O,X,X,X
TZJILSO,O,X,O,X,X
TZJILOS,O,X,O,X,X
TZJISLO,O,O,X,O,O
TZJISOL,O,O,X,O,O
TZJIOLS,O,X,O,X,X
TZJIOSL,O,O,X,O,O
TZJLISO,O,O,X,X,X
TZJLIOS,O,O,X,X,X
TZJLSIO,O,O,X,X,O
TZJLSOI,O,O,X,X,O
TZJLOIS,O,O,X,X,X
TZJLOSI,O,O,X,X,O
TZJSILO,O,O,X,O,O
TZJSIOL,O,O,X,O,O
TZJSLIO,O,O,X,O,O
TZJSLOI,O,O,X,O,O
TZJSOIL,O,O,X,O,O
TZJSOLI,O,O,X,O,O
TZJOILS,O,X,O,X,X
TZJOISL,O,O,X,O,O
TZJOLIS,O,O,X,X,X
TZJOLSI,O,O,X,X,O
TZJOSIL,O,O,X,O,O
TZJOSLI,O,O,X,O,O
TZSILJO,O,X,X,O,X
TZSILOJ,O,X,X,O,X
TZSIJLO,O,X,X,O,X
TZSIJOL,O,X,X,O,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,O,X,O,X
TZSLIJO,O,X,X,O,X
TZSLIOJ,O,O,X,O,X
TZSLJIO,O,O,X,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,X,O,X
TZSLOJI,O,O,X,O,X
TZSJILO,O,O,X,O,O
TZSJIOL,O,O,X,O,O
TZSJLIO,O,O,X,O,O
TZSJLOI,O,O,X,O,O
TZSJOIL,O,O,X,O,O
TZSJOLI,O,O,X,O,O
TZSOILJ,O,O,X,O,X
TZSOIJL,O,O,X,O,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,O,X,O,O
TZSOJLI,O,O,X,O,O
TZOILJS,O,X,O,X,X
TZOILSJ,O,X,O,X,X
TZOIJLS,O,X,O,X,X
TZOIJSL,O,X,O,X,X
TZOISLJ,O,X,O,X,X
TZOISJL,O,X,O,X,X
TZOLIJS,O,X,X,X,X
TZOLISJ,O,X,X,X,X
TZOLJIS,O,O,X,X,X
TZOLJSI,O,O,X,X,X
TZOLSIJ,O,O,X,X,X
TZOLSJI,O,O,X,X,X
TZOJILS,O,X,O,X,X
TZOJISL,O,O,X,O,O
TZOJLIS,O,O,X,X,X
TZOJLSI,O,O,X,X,O
TZOJSIL,O,O,X,O,O
TZOJSLI,O,O,X,O,O
TZOSILJ,O,O,X,O,X
TZOSIJL,O,O,X,O,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,X,O,O
TZOSJLI,O,O,X,O,O
TOILJSZ,O,O,X,X,X
TOILJZS,X,O,X,X,X
TOILSJZ,O,O,O,X,X
TOILSZJ,O,O,O,X,X
TOILZJS,O,X,O,X,X
TOILZSJ,O,X,O,X,X
TOIJLSZ,O,O,X,X,X
TOIJLZS,O,O,X,X,X
TOIJSLZ,O,O,O,X,X
TOIJSZL,O,O,O,X,O
TOIJZLS,O,X,X,X,X
TOIJZSL,O,O,O,X,O
TOISLJZ,O,O,O,X,X
TOISLZJ,X,O,O,X,X
TOISJLZ,O,O,O,X,X
TOISJZL,O,O,O,O,O
TOISZLJ,X,O,O,X,X
TOISZJL,O,O,O,X,X
TOIZLJS,O,X,O,X,X
TOIZLSJ,O,X,O,X,X
TOIZJLS,O,X,O,X,X
TOIZJSL,O,X,O,X,X
TOIZSLJ,O,X,O,X,X
TOIZSJL,O,X,O,X,X
TOLIJSZ,O,O,X,X,X
TOLIJZS,X,O,X,X,X
TOLISJZ,O,O,O,X,X
TOLISZJ,O,O,O,X,X
TOLIZJS,O,X,X,X,X
TOLIZSJ,O,X,O,X,X
TOLJISZ,O,O,X,X,X
TOLJIZS,O,O,X,X,X
TOLJSIZ,O,O,X,X,X
TOLJSZI,O,O,X,X,O
TOLJZIS,O,O,X,X,X
TOLJZSI,O,O,X,X,O
TOLSIJZ,O,O,X,X,X
TOLSIZJ,O,O,X,X,X
TOLSJIZ,O,O,X,X,X
TOLSJZI,O,O,X,O,O
TOLSZIJ,O,O,X,X,X
TOLSZJI,O,O,X,X,X
TOLZIJS,O,X,X,X,X
TOLZISJ,O,X,X,X,X
TOLZJIS,O,O,X,X,X
TOLZJSI,O,O,X,X,X
TOLZSIJ,O,O,X,X,X
TOLZSJI,O,O,X,X,X
TOJILSZ,O,O,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,O,O,O,X,X
TOJISZL,O,O,O,X,O
TOJIZLS,O,X,X,X,X
TOJIZSL,O,O,O,O,O
TOJLISZ,O,O,X,X,X
TOJLIZS,O,O,X,X,X
TOJLSIZ,O,O,X,X,X
TOJLSZI,O,O,X,X,O
TOJLZIS,O,O,X,X,X
TOJLZSI,O,O,X,X,O
TOJSILZ,O,O,X,X,X
TOJSIZL,O,O,X,O,O
TOJSLIZ,O,O,X,X,X
TOJSLZI,O,O,X,O,O
TOJSZIL,O,O,X,O,O
TOJSZLI,O,O,X,O,O
TOJZILS,O,X,X,X,X
TOJZISL,O,O,X,O,O
TOJZLIS,O,O,X,X,X
TOJZLSI,O,O,X,X,O
TOJZSIL,O,O,X,O,O
TOJZSLI,O,O,X,O,O
TOSILJZ,O,O,O,X,X
TOSILZJ,X,O,O,X,X
TOSIJLZ,O,O,O,X,X
TOSIJZL,O,O,O,O,O
TOSIZLJ,X,O,O,X,X
TOSIZJL,O,O,O,X,X
TOSLIJZ,O,O,X,X,X
TOSLIZJ,O,O,X,X,X
TOSLJIZ,O,O,X,X,X
TOSLJZI,O,O,X,O,O
TOSLZIJ,O,O,X,X,X
TOSLZJI,O,O,X,X,X
TOSJILZ,O,O,X,X,X
TOSJIZL,O,O,X,O,O
TOSJLIZ,O,O,X,X,X
TOSJLZI,O,O,X,O,O
TOSJZIL,O,O,X,O,O
TOSJZLI,O,O,X,O,O
TOSZILJ,O,O,X,X,X
TOSZIJL,O,O,X,X,X
TOSZLIJ,O,O,X,X,X
TOSZLJI,O,O,X,X,X
TOSZJIL,O,O,X,O,O
TOSZJLI,O,O,X,O,O
TOZILJS,O,X,O,X,X
TOZILSJ,O,X,O,X,X
TOZIJLS,O,X,O,X,X
TOZIJSL,O,X,O,X,X
TOZISLJ,O,X,O,X,X
TOZISJL,O,X,O,X,X
TOZLIJS,O,X,X,X,X
TOZLISJ,O,X,X,X,X
TOZLJIS,O,O,X,X,X
TOZLJSI,O,O,X,X,X
TOZLSIJ,O,O,X,X,X
TOZLSJI,O,O,X,X,X
TOZJILS,O,X,O,X,X
TOZJISL,O,O,X,O,O
TOZJLIS,O,O,X,X,X
TOZJLSI,O,O,X,X,O
TOZJSIL,O,O,X,O,O
TOZJSLI,O,O,X,O,O
TOZSILJ,O,O,X,O,X
TOZSIJL,O,O,X,O,X
TOZSLIJ,O,O,X,O,X
TOZSLJI,O,O,X,O,X
TOZSJIL,O,O,X,O,O
TOZSJLI,O,O,X,O,O
ITLJSZO,O,O,X,X,X
ITLJSOZ,O,O,X,X,X
ITLJZSO,X,O,X,X,X
ITLJZOS,X,O,X,X,X
ITLJOSZ,O,O,X,X,X
ITLJOZS,X,O,X,X,X
ITLSJZO,O,O,O,X,X
ITLSJOZ,O,O,O,X,X
ITLSZJO,O,X,O,X,X
ITLSZOJ,O,O,O,X,X
ITLSOJZ,O,O,O,X,X
ITLSOZJ,O,O,O,X,X
ITLZJSO,O,X,O,X,X
ITLZJOS,O,X,O,X,X
ITLZSJO,O,X,O,X,X
ITLZSOJ,O,X,O,X,X
ITLZOJS,O,X,O,X,X
ITLZOSJ,O,X,O,X,X
