sequence,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF0gBxhBeqBFnBCr?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFOlBxhBUmBFnBSv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmhBqnBxlBlqBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFlgBeqB8qBRsBfs?B6sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGlBTmBVv?B3sB,v115@FhB8HeD8GeB8CeB8BeB8Jei/IvhFRhBcnBGmBlqB3s?BzpB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF2lBlhBcnBxqB3s?BSvB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFylBGiBlqBRsBUs?BXqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFGiByqBRsBXqBUs?BlqB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhFmgBSnBlqBRsBXq?BUsB,v115@FhB8HeD8GeB8CeB8BeB8JeT/IvhF/lBRhBqnB2rBVv?BUsB
TIJSLZO,X,X,X,X,X,O,X,X,X,O,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,O,X
TIJSZLO,X,X,X,X,X,O,O,X,X,O,X
TIJSZOL,X,X,X,X,X,O,O,X,X,O,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,O,X
TIJSOZL,X,X,X,X,X,X,O,X,X,O,X
TIJZLSO,X,X,O,O,X,X,X,O,X,O,X
TIJZLOS,X,X,O,O,X,X,X,O,X,X,X
TIJZSLO,X,X,X,O,X,X,X,O,X,O,X
TIJZSOL,X,X,X,O,X,X,X,O,X,O,X
TIJZOLS,X,X,O,O,X,X,X,O,X,X,X
TIJZOSL,X,X,X,O,X,X,X,O,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,O,X
TIJOLZS,X,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,O,X
TIJOSZL,X,X,X,X,X,X,O,X,X,O,X
TIJOZLS,X,X,O,O,X,X,X,O,X,X,X
TIJOZSL,X,X,X,O,X,X,X,O,X,X,X
TISLJZO,X,X,X,X,X,O,X,X,X,O,X
TISLJOZ,X,X,X,X,X,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,O,X,O,X,O,X
TISLZOJ,X,X,X,X,X,O,X,O,X,O,X
TISLOJZ,X,X,X,X,X,X,X,X,X,O,X
TISLOZJ,X,X,X,X,X,X,X,O,X,O,X
TISJLZO,X,X,X,X,X,O,X,X,X,O,X
TISJLOZ,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,X,X,X,X,O,O,X,X,O,X
TISJZOL,X,X,X,X,X,O,O,X,X,O,X
TISJOLZ,X,X,X,X,X,X,X,X,X,O,X
TISJOZL,X,X,X,X,X,X,O,X,X,O,X
TISZLJO,X,X,O,X,X,O,O,O,X,O,X
TISZLOJ,X,X,O,X,X,O,O,O,X,O,X
TISZJLO,X,X,X,X,X,O,O,O,X,O,X
TISZJOL,X,X,X,X,X,O,O,O,X,O,X
TISZOLJ,X,X,O,X,X,O,O,O,X,O,X
TISZOJL,X,X,X,X,X,O,O,O,X,O,X
TISOLJZ,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,X,X,O,X,O,X
TISOJLZ,X,X,X,X,X,X,X,X,X,O,X
TISOJZL,X,X,X,X,X,X,O,X,X,O,X
TISOZLJ,X,X,O,X,X,X,O,O,X,O,X
TISOZJL,X,X,X,X,X,X,O,O,X,O,X
TIZLJSO,X,X,O,X,X,X,X,O,X,O,X
TIZLJOS,X,X,O,X,X,X,X,O,X,X,X
TIZLSJO,X,X,O,X,X,X,X,O,X,O,X
TIZLSOJ,X,X,O,X,X,X,X,O,X,O,X
TIZLOJS,X,X,O,X,X,X,X,O,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,O,X,X,X
TIZJLSO,X,X,O,O,X,X,X,O,X,O,X
TIZJLOS,X,X,O,O,X,X,X,O,X,X,X
TIZJSLO,X,X,X,O,X,X,X,O,X,O,X
TIZJSOL,X,X,X,O,X,X,X,O,X,O,X
TIZJOLS,X,X,O,O,X,X,X,O,X,X,X
TIZJOSL,X,X,X,O,X,X,X,O,X,X,X
TIZSLJO,X,X,O,X,X,X,X,O,X,O,X
TIZSLOJ,X,X,O,X,X,X,X,O,X,O,X
TIZSJLO,X,X,X,X,X,X,X,O,X,O,X
TIZSJOL,X,X,X,X,X,X,X,O,X,O,X
TIZSOLJ,X,X,O,X,X,X,X,O,X,O,X
TIZSOJL,X,X,X,X,X,X,X,O,X,O,X
TIZOLJS,X,X,O,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,O,X,X,X,X,O,X,X,X
TIZOJLS,X,X,O,O,X,X,X,O,X,X,X
TIZOJSL,X,X,X,O,X,X,X,O,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,O,X,X,X
TIZOSJL,X,X,X,X,X,X,X,O,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,X,X,O,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,X,X,O,O,O,X
TIOLZJS,X,X,O,X,X,X,X,O,O,X,X
TIOLZSJ,X,X,O,X,X,X,X,O,O,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,O,X
TIOJSZL,X,X,X,X,X,X,O,X,X,O,X
TIOJZLS,X,X,O,O,X,X,X,O,X,X,X
TIOJZSL,X,X,X,O,X,X,X,O,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,X,X,X,O,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,O,X
TIOSJZL,X,X,X,X,X,X,O,X,X,O,X
TIOSZLJ,X,X,O,X,X,X,O,O,X,O,X
TIOSZJL,X,X,X,X,X,X,O,O,X,O,X
TIOZLJS,X,X,O,X,X,X,X,O,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,O,X,X,X
TIOZJLS,X,X,O,O,X,X,X,O,X,X,X
TIOZJSL,X,X,X,O,X,X,X,O,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,X,X,X,O,X,X,X
TLIJSZO,O,X,X,X,X,O,X,X,X,O,X
TLIJSOZ,O,X,X,X,X,X,X,X,X,O,X
TLIJZSO,O,X,X,X,X,X,X,O,X,O,X
TLIJZOS,O,X,X,X,X,X,X,O,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,O,X
TLIJOZS,O,X,X,X,X,X,X,O,X,X,X
TLISJZO,O,X,X,X,X,O,X,X,X,O,X
TLISJOZ,O,X,X,X,X,X,X,X,X,O,X
TLISZJO,X,X,X,X,X,O,X,O,O,O,X
TLISZOJ,X,X,X,X,X,O,X,O,O,O,X
TLISOJZ,O,X,X,X,X,X,X,X,X,O,X
TLISOZJ,X,X,X,X,X,X,X,O,O,O,X
TLIZJSO,O,X,O,X,X,X,X,O,O,O,X
TLIZJOS,O,X,O,X,X,X,X,O,O,X,X
TLIZSJO,X,X,O,X,X,X,X,O,O,O,X
TLIZSOJ,X,X,O,X,X,X,X,O,O,O,X
TLIZOJS,O,X,O,X,X,X,X,O,O,X,X
TLIZOSJ,X,X,O,X,X,X,X,O,O,X,X
TLIOJSZ,O,X,X,X,X,X,X,X,X,O,X
TLIOJZS,O,X,X,X,X,X,X,O,X,X,X
TLIOSJZ,O,X,X,X,X,X,X,X,X,O,X
TLIOSZJ,X,X,X,X,X,X,X,O,O,O,X
TLIOZJS,O,X,O,X,X,X,X,O,O,X,X
TLIOZSJ,X,X,O,X,X,X,X,O,O,X,X
TLJISZO,O,X,X,X,X,O,X,X,X,O,O
TLJISOZ,O,X,X,X,X,X,X,X,X,O,O
TLJIZSO,O,X,X,X,X,X,X,O,X,O,X
TLJIZOS,O,X,X,X,X,X,X,O,X,X,X
TLJIOSZ,O,X,X,X,X,X,X,X,X,O,O
TLJIOZS,O,X,X,X,X,X,X,O,X,X,X
TLJSIZO,O,X,X,X,X,O,X,X,X,X,O
TLJSIOZ,O,X,X,X,X,X,X,X,X,X,O
TLJSZIO,O,X,X,X,X,O,X,X,X,X,O
TLJSZOI,O,X,X,X,X,O,X,X,X,X,O
TLJSOIZ,O,X,X,X,X,X,X,X,X,X,O
TLJSOZI,O,X,X,X,X,O,X,X,X,X,O
TLJZISO,O,X,X,X,X,X,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,O,X,X,X,X,O
TLJZSOI,O,X,X,X,X,O,X,X,X,X,O
TLJZOIS,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X,O
TLJOISZ,O,X,X,X,X,X,X,X,X,X,O
TLJOIZS,O,X,X,X,X,X,X,O,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,O
TLJOSZI,O,X,X,X,X,O,X,X,X,X,O
TLJOZIS,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X,X,O
TLSIJZO,O,X,X,X,X,O,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,O,X,O,X,X,X
TLSIZOJ,O,X,X,X,X,O,X,O,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X,O,X,X,X
TLSJIZO,O,X,X,X,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,O,X,X,X,X,X
TLSJZOI,O,X,X,X,X,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,X,X,O,X,X,X,X,X
TLSZIOJ,O,X,X,X,O,O,X,X,X,X,X
TLSZJIO,O,X,X,X,X,O,X,X,X,X,X
TLSZJOI,O,X,X,X,X,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,O,O,X,X,X,X,X
TLSZOJI,O,X,X,X,X,O,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X,X,O,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,O,X,X,X,X,X
TLSOZJI,O,X,X,X,X,O,X,X,X,X,X
TLZIJSO,O,X,O,X,X,X,X,O,X,X,X
TLZIJOS,O,X,O,X,X,X,X,O,X,X,X
TLZISJO,X,X,O,X,X,X,X,O,X,X,X
TLZISOJ,X,X,O,X,X,X,X,O,X,X,X
TLZIOJS,O,X,O,X,X,X,X,O,X,X,X
TLZIOSJ,X,X,O,X,X,X,X,O,X,X,X
TLZJISO,O,X,O,X,X,X,X,X,X,X,X
TLZJIOS,O,X,O,X,X,X,X,X,X,X,X
TLZJSIO,O,X,O,X,X,O,X,X,X,X,X
TLZJSOI,O,X,O,X,X,O,X,X,X,X,X
TLZJOIS,O,X,O,X,X,X,X,X,X,X,X
TLZJOSI,O,X,O,X,X,X,X,X,X,X,X
TLZSIJO,X,X,O,X,X,O,X,X,X,X,X
TLZSIOJ,X,X,O,X,X,O,X,X,X,X,X
TLZSJIO,X,X,O,X,X,O,X,X,X,X,X
TLZSJOI,X,X,O,X,X,O,X,X,X,X,X
TLZSOIJ,X,X,O,X,X,O,X,X,X,X,X
TLZSOJI,X,X,O,X,X,O,X,X,X,X,X
TLZOIJS,O,X,O,X,X,X,X,O,X,X,X
TLZOISJ,X,X,O,X,X,X,X,O,X,X,X
TLZOJIS,O,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,X,X,O,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,O,X,X,X
TLOISJZ,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,O,O,X,X
TLOIZJS,O,X,O,X,X,X,X,O,O,X,X
TLOIZSJ,X,X,O,X,X,X,X,O,O,X,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,O
TLOJIZS,O,X,X,X,X,X,X,O,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,X,X,O
TLOJSZI,O,X,X,X,X,O,X,X,X,X,O
TLOJZIS,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,X,O
TLOSIJZ,O,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,X,X,X,X,O,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,X
TLOSJZI,O,X,X,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,O,X,X,X,X,X
TLOSZJI,O,X,X,X,X,O,X,X,X,X,X
TLOZIJS,O,X,O,X,X,X,X,O,X,X,X
TLOZISJ,X,X,O,X,X,X,X,O,X,X,X
TLOZJIS,O,X,O,X,X,X,X,X,X,X,X
TLOZJSI,O,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,X,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,O,X,X,X,O,O
TJILSOZ,X,X,X,X,X,X,X,X,X,O,O
TJILZSO,X,X,X,X,X,X,X,O,X,O,X
TJILZOS,X,X,X,X,X,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,O,O
TJILOZS,X,X,X,X,X,X,X,O,X,X,X
TJISLZO,X,X,X,X,X,O,X,X,X,O,O
TJISLOZ,X,X,X,X,X,X,X,X,X,O,O
TJISZLO,X,X,X,X,X,O,X,X,X,O,X
TJISZOL,X,X,X,X,X,O,X,X,X,O,X
TJISOLZ,X,X,X,X,X,X,X,X,X,O,O
TJISOZL,X,X,X,X,X,X,X,X,X,O,X
TJIZLSO,X,X,O,O,X,X,X,O,X,O,X
TJIZLOS,X,X,O,O,X,X,X,O,X,X,X
TJIZSLO,X,X,X,O,X,X,X,O,X,O,X
TJIZSOL,X,X,X,O,X,X,X,O,X,O,X
TJIZOLS,X,X,O,O,X,X,X,O,X,X,X
TJIZOSL,X,X,X,O,X,X,X,O,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,O,O
TJIOLZS,X,X,X,X,X,X,X,O,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,O,O
TJIOSZL,X,X,X,X,X,X,X,X,X,O,X
TJIOZLS,X,X,O,O,X,X,X,O,X,X,X
TJIOZSL,X,X,X,O,X,X,X,O,X,X,X
TJLISZO,O,X,X,X,X,O,X,X,X,O,O
TJLISOZ,O,X,X,X,X,X,X,X,X,O,O
TJLIZSO,O,X,X,X,X,X,X,O,X,O,X
TJLIZOS,O,X,X,X,X,X,X,O,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,O,O
TJLIOZS,O,X,X,X,X,X,X,O,X,X,X
TJLSIZO,O,X,X,X,X,O,X,X,X,X,O
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,O
TJLSZIO,O,X,X,X,X,O,X,X,X,X,O
TJLSZOI,O,X,X,X,X,O,X,X,X,X,O
TJLSOIZ,O,X,X,X,X,X,X,X,X,X,O
TJLSOZI,O,X,X,X,X,O,X,X,X,X,O
TJLZISO,O,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,O,X,X,X,X,O
TJLZSOI,O,X,X,X,X,O,X,X,X,X,O
TJLZOIS,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X,O
TJLOISZ,O,X,X,X,X,X,X,X,X,X,O
TJLOIZS,O,X,X,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,X,O
TJLOSZI,O,X,X,X,X,O,X,X,X,X,O
TJLOZIS,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,X,O
TJSILZO,O,X,X,X,X,O,X,X,X,O,O
TJSILOZ,O,X,X,X,X,X,X,X,X,O,O
TJSIZLO,O,X,X,X,X,O,X,X,X,O,X
TJSIZOL,O,X,X,X,X,O,X,X,X,O,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,O,O
TJSIOZL,O,X,X,X,X,X,X,X,X,O,X
TJSLIZO,O,X,X,X,X,O,X,X,X,X,O
TJSLIOZ,O,X,X,X,X,X,X,X,X,X,O
TJSLZIO,O,X,X,X,X,O,X,X,X,X,O
TJSLZOI,O,X,X,X,X,O,X,X,X,X,O
TJSLOIZ,O,X,X,X,X,X,X,X,X,X,O
TJSLOZI,O,X,X,X,X,O,X,X,X,X,O
TJSZILO,O,X,X,X,X,O,X,X,X,X,X
TJSZIOL,O,X,X,X,X,O,X,X,X,X,X
TJSZLIO,O,X,X,X,X,O,X,X,X,X,O
TJSZLOI,O,X,X,X,X,O,X,X,X,X,O
TJSZOIL,O,X,X,X,X,O,X,X,X,X,X
TJSZOLI,O,X,X,X,X,O,X,X,X,X,O
TJSOILZ,O,X,X,X,X,X,X,X,X,X,O
TJSOIZL,O,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X,X,X,X,X,O
TJSOLZI,O,X,X,X,X,O,X,X,X,X,O
TJSOZIL,O,X,X,X,X,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,O,X,X,X,X,O
TJZILSO,X,X,O,O,X,X,X,X,X,O,X
TJZILOS,X,X,O,O,X,X,X,X,X,X,X
TJZISLO,X,X,X,O,X,X,X,X,X,O,X
TJZISOL,X,X,X,O,X,X,X,X,X,O,X
TJZIOLS,O,X,O,O,X,X,X,X,X,X,X
TJZIOSL,O,X,X,O,X,X,X,X,X,X,X
TJZLISO,O,X,O,O,X,X,X,X,X,X,X
TJZLIOS,O,X,O,O,X,X,X,X,X,X,X
TJZLSIO,O,X,O,X,X,O,X,X,X,X,O
TJZLSOI,O,X,O,X,X,O,X,X,X,X,O
TJZLOIS,O,X,O,O,X,X,X,X,X,X,X
TJZLOSI,O,X,O,X,X,X,X,X,X,X,O
TJZSILO,O,X,X,O,X,O,X,X,X,X,X
TJZSIOL,O,X,X,O,X,O,X,X,X,X,X
TJZSLIO,O,X,X,X,X,O,X,X,X,X,O
TJZSLOI,O,X,X,X,X,O,X,X,X,X,O
TJZSOIL,O,X,X,O,X,O,X,X,X,X,X
TJZSOLI,O,X,X,X,X,O,X,X,X,X,O
TJZOILS,O,X,O,O,X,X,X,X,X,X,X
TJZOISL,O,X,X,O,X,X,X,X,X,X,X
TJZOLIS,O,X,O,O,X,X,X,X,X,X,X
TJZOLSI,O,X,O,X,X,X,X,X,X,X,O
TJZOSIL,O,X,X,O,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X,X,O
TJOILSZ,X,X,X,X,X,X,X,X,X,O,O
TJOILZS,X,X,X,X,X,X,X,O,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,O,O
TJOISZL,X,X,X,X,X,X,X,X,X,O,X
TJOIZLS,X,X,O,O,X,X,X,O,X,X,X
TJOIZSL,X,X,X,O,X,X,X,O,X,X,X
TJOLISZ,O,X,X,X,X,X,X,X,X,X,O
TJOLIZS,O,X,X,X,X,X,X,O,X,X,X
TJOLSIZ,O,X,X,X,X,X,X,X,X,X,O
TJOLSZI,O,X,X,X,X,O,X,X,X,X,O
TJOLZIS,O,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X,X,X,X,X,O
TJOSILZ,O,X,X,X,X,X,X,X,X,X,O
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X,X,X,X,X,O
TJOSLZI,O,X,X,X,X,O,X,X,X,X,O
TJOSZIL,O,X,X,X,X,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,O,X,X,X,X,O
TJOZILS,O,X,O,O,X,X,X,X,X,X,X
TJOZISL,O,X,X,O,X,X,X,X,X,X,X
TJOZLIS,O,X,O,O,X,X,X,X,X,X,X
TJOZLSI,O,X,O,X,X,X,X,X,X,X,O
TJOZSIL,O,X,X,O,X,X,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X,X,X,X,X,O
TSILJZO,O,X,X,X,X,O,X,X,X,O,X
TSILJOZ,O,X,X,X,X,X,X,X,X,O,X
TSILZJO,O,O,X,X,X,O,X,O,X,O,X
TSILZOJ,O,O,X,X,X,O,X,O,X,O,X
TSILOJZ,O,X,X,X,X,X,X,X,X,O,X
TSILOZJ,O,O,X,X,X,X,X,O,X,O,X
TSIJLZO,O,X,X,X,X,O,X,X,X,O,X
TSIJLOZ,O,X,X,X,X,X,X,X,X,O,X
TSIJZLO,O,O,X,X,X,O,O,X,X,O,X
TSIJZOL,O,O,X,X,X,O,O,X,X,O,X
TSIJOLZ,O,X,X,X,X,X,X,X,X,O,X
TSIJOZL,O,O,X,X,X,X,O,X,X,O,X
TSIZLJO,O,O,O,X,X,O,O,O,X,O,X
TSIZLOJ,O,O,O,X,X,O,O,O,X,O,X
TSIZJLO,O,O,X,X,X,O,O,O,X,O,X
TSIZJOL,O,O,X,X,X,O,O,O,X,O,X
TSIZOLJ,O,O,O,X,X,O,O,O,X,O,X
TSIZOJL,O,O,X,X,X,O,O,O,X,O,X
TSIOLJZ,O,X,X,X,X,X,X,X,X,O,X
TSIOLZJ,O,O,X,X,X,X,X,O,X,O,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,O,X
TSIOJZL,O,O,X,X,X,X,O,X,X,O,X
TSIOZLJ,O,O,O,X,X,X,O,O,X,O,X
TSIOZJL,O,O,X,X,X,X,O,O,X,O,X
TSLIJZO,O,X,X,X,X,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,X,X,O,X,O,X,X,X
TSLIZOJ,O,O,X,X,X,O,X,O,X,X,X
TSLIOJZ,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,O,X,X,X
TSLJIZO,O,X,X,X,X,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X,X,X,X,X,X
TSLJZIO,O,X,X,X,X,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,O,X,X,X,X,X
TSLZIJO,O,O,X,X,X,O,X,X,X,X,X
TSLZIOJ,O,O,X,X,O,O,X,X,X,X,X
TSLZJIO,O,O,X,X,X,O,X,X,X,X,X
TSLZJOI,O,O,X,X,X,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,O,O,X,X,X,X,X
TSLZOJI,O,O,X,X,X,O,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,O,X,X,X,X,X
TSLOZIJ,O,O,X,X,O,O,X,X,X,X,X
TSLOZJI,O,O,X,X,X,O,X,X,X,X,X
TSJILZO,O,X,X,X,X,O,X,X,X,O,X
TSJILOZ,O,X,X,X,X,X,X,X,X,O,X
TSJIZLO,O,O,X,X,X,O,X,X,X,O,X
TSJIZOL,O,O,X,X,X,O,X,X,X,O,X
TSJIOLZ,O,X,X,X,X,X,X,X,X,O,X
TSJIOZL,O,O,X,X,X,X,X,X,X,O,X
TSJLIZO,O,X,X,X,X,O,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X,X,X,X,X,X
TSJLZIO,O,X,X,X,X,O,X,X,X,X,X
TSJLZOI,O,X,X,X,X,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,O,X,X,X,X,X
TSJZILO,O,O,X,X,X,O,X,X,X,X,X
TSJZIOL,O,O,X,X,X,O,X,X,X,X,X
TSJZLIO,O,O,X,X,X,O,X,X,X,X,X
TSJZLOI,O,O,X,X,X,O,X,X,X,X,X
TSJZOIL,O,O,X,X,X,O,X,X,X,X,X
TSJZOLI,O,O,X,X,X,O,X,X,X,X,X
TSJOILZ,O,X,X,X,X,X,X,X,X,X,X
