sequence,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiBOqBcsBToBCr?B3rB,v115@9gC8GeB8HeB8HeB8EeC8JeFBJvhFxiB0lBCnBToB2v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8JeUCJvhFGjBxlBVtB3lByv?BzrB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFFiBTjB0mBWtBiq?BRwB,v115@9gC8GeB8HeB8HeB8EeC8JeRBJvhFfoB6oBmlBUnBTq?B1wB,v115@9gC8GeB8HeB8HeB8EeC8JeWHJvhFxiBilBToBUmB1v?BXsB,v115@9gC8GeB8HeB8HeB8EeC8Je3AJvhFzhBGjByqBUoBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JexCJvhFKqBfrBlmBcsBTo?BGrB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFemBzhBfoB6oBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFymBziB+oBXmBFs?BxvB,v115@9gC8GeB8HeB8HeB8EeC8JecFJvhFmhBCjBXmBToBFs?BxvB
TLZJISO,O,X,O,O,O,X,X,X,X,X,X
TLZJIOS,O,X,O,O,X,X,X,X,X,X,X
TLZJSIO,X,X,O,O,O,X,X,X,X,X,X
TLZJSOI,X,X,X,O,O,X,X,X,X,X,X
TLZJOIS,O,X,O,O,X,X,X,X,X,X,X
TLZJOSI,X,X,O,O,X,X,X,X,X,X,X
TLZSIJO,O,X,O,O,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,O,X,X,O,X,X,X
TLZSJIO,X,X,O,O,O,X,X,X,X,X,X
TLZSJOI,X,X,X,O,O,O,X,O,X,X,X
TLZSOIJ,O,X,X,X,O,O,X,O,X,X,X
TLZSOJI,X,X,X,O,O,O,X,O,X,X,X
TLZOIJS,O,X,O,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,O,O,X,O,X,X,X
TLZOJIS,O,X,O,O,O,X,X,X,X,X,X
TLZOJSI,X,X,O,O,O,X,X,X,X,X,X
TLZOSIJ,O,X,O,X,O,O,X,O,X,X,X
TLZOSJI,X,X,O,O,O,O,X,O,X,X,X
TLOIJSZ,O,X,O,X,X,O,X,X,X,X,X
TLOIJZS,O,X,O,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,O,X,X,X,X,X
TLOISZJ,O,X,O,X,X,O,X,O,X,X,X
TLOIZJS,O,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,X,X,O,X,O,X,X,X
TLOJISZ,O,X,O,X,X,O,X,X,X,X,X
TLOJIZS,O,X,O,X,X,X,X,X,X,X,X
TLOJSIZ,X,X,O,X,O,O,X,X,X,X,X
TLOJSZI,X,X,O,X,X,O,X,X,X,X,X
TLOJZIS,O,X,O,X,X,X,X,X,X,X,X
TLOJZSI,X,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,O,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,O,X,O,X,X,X
TLOSJIZ,X,X,O,X,O,O,X,X,X,X,X
TLOSJZI,X,X,O,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,O,X,O,X,X,X
TLOSZJI,X,X,O,X,X,O,X,O,X,X,X
TLOZIJS,O,X,O,X,X,X,X,X,X,X,X
TLOZISJ,O,X,O,X,O,O,X,O,X,X,X
TLOZJIS,O,X,O,X,O,X,X,X,X,X,X
TLOZJSI,X,X,O,X,O,X,X,X,X,X,X
TLOZSIJ,O,X,O,X,O,O,X,O,X,X,X
TLOZSJI,X,X,O,X,O,O,X,O,X,X,X
TJILSZO,X,X,O,O,O,X,X,X,X,O,X
TJILSOZ,X,X,X,O,O,X,X,X,X,O,X
TJILZSO,O,X,O,O,O,X,X,X,X,O,X
TJILZOS,O,X,O,O,X,X,X,X,X,O,X
TJILOSZ,O,X,O,O,X,X,X,X,X,O,X
TJILOZS,O,X,O,O,X,X,X,X,X,O,X
TJISLZO,X,X,X,O,O,X,X,X,X,O,X
TJISLOZ,X,X,X,O,O,X,X,X,X,O,X
TJISZLO,X,X,X,O,O,X,X,X,X,O,X
TJISZOL,X,X,X,O,O,X,X,X,X,O,X
TJISOLZ,X,X,X,O,O,X,X,X,X,O,X
TJISOZL,X,X,X,O,X,X,X,X,X,O,X
TJIZLSO,O,X,O,O,O,X,X,X,X,O,X
TJIZLOS,O,X,O,O,X,X,X,X,X,O,X
TJIZSLO,O,X,X,O,O,X,X,X,X,O,X
TJIZSOL,O,X,X,O,O,X,X,X,X,O,X
TJIZOLS,O,X,O,O,X,X,X,X,X,O,X
TJIZOSL,O,X,O,O,O,X,X,X,X,O,X
TJIOLSZ,O,X,O,O,X,X,X,X,X,O,X
TJIOLZS,O,X,O,O,X,X,X,X,X,O,X
TJIOSLZ,O,X,X,O,O,X,X,X,X,O,X
TJIOSZL,O,X,O,O,X,X,X,X,X,O,X
TJIOZLS,O,X,O,O,X,X,X,X,X,O,X
TJIOZSL,O,X,O,O,O,X,X,X,X,O,X
TJLISZO,X,X,O,O,O,X,X,X,X,X,X
TJLISOZ,X,X,X,O,O,X,X,X,X,X,X
TJLIZSO,O,X,O,O,O,X,X,X,X,X,X
TJLIZOS,O,X,O,O,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,O,X,X,X,X,X,X,X
TJLIOZS,O,X,O,O,X,X,X,X,X,X,X
TJLSIZO,X,X,O,O,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,O,O,X,X,X,X,X
TJLSZIO,O,X,O,O,O,X,X,X,X,X,X
TJLSZOI,O,X,X,O,X,O,X,X,X,X,X
TJLSOIZ,O,X,O,O,O,O,X,X,X,X,X
TJLSOZI,O,X,O,O,X,O,X,X,X,X,X
TJLZISO,O,X,O,O,O,X,X,X,X,X,X
TJLZIOS,O,X,O,O,X,X,X,X,X,X,X
TJLZSIO,O,X,O,O,O,X,X,X,X,X,X
TJLZSOI,O,X,X,O,O,X,X,X,X,X,X
TJLZOIS,O,X,O,O,X,X,X,X,X,X,X
TJLZOSI,O,X,O,O,X,X,X,X,X,X,X
TJLOISZ,O,X,O,O,X,O,X,X,X,X,X
TJLOIZS,O,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,O,O,O,X,X,X,X,X
TJLOSZI,O,X,O,O,X,O,X,X,X,X,X
TJLOZIS,O,X,O,O,X,X,X,X,X,X,X
TJLOZSI,O,X,O,O,X,X,X,X,X,X,X
TJSILZO,X,X,X,O,O,X,X,X,X,X,X
TJSILOZ,X,X,X,O,O,O,X,X,X,X,X
TJSIZLO,X,X,X,O,O,X,X,X,X,X,X
TJSIZOL,X,X,X,O,O,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,O,O,X,X,X,X,X
TJSIOZL,X,X,X,O,X,O,X,X,X,X,X
TJSLIZO,X,O,O,X,O,X,X,X,X,X,X
TJSLIOZ,X,O,X,O,O,O,X,X,X,X,X
TJSLZIO,O,O,O,X,O,X,X,X,X,X,X
TJSLZOI,O,O,X,O,X,O,X,X,X,X,X
TJSLOIZ,O,O,O,O,O,O,X,X,X,X,X
TJSLOZI,O,O,O,O,X,O,X,X,X,X,X
TJSZILO,O,O,X,X,O,X,X,X,X,X,X
TJSZIOL,O,O,X,X,O,X,X,X,X,X,X
TJSZLIO,X,O,O,X,O,X,X,X,X,X,X
TJSZLOI,X,O,X,X,O,O,X,X,X,X,X
TJSZOIL,O,O,O,X,O,O,X,X,X,X,X
TJSZOLI,X,O,O,X,O,O,X,X,X,X,X
TJSOILZ,O,O,X,O,O,O,X,X,X,X,X
TJSOIZL,O,O,O,O,X,O,X,X,X,X,X
TJSOLIZ,O,O,O,O,O,O,X,X,X,X,X
TJSOLZI,O,O,O,O,X,O,X,X,X,X,X
TJSOZIL,O,O,O,X,X,O,X,X,X,X,X
TJSOZLI,X,O,O,X,X,O,X,X,X,X,X
TJZILSO,O,X,O,O,O,X,X,X,X,X,X
TJZILOS,O,X,O,O,X,X,X,X,X,X,X
TJZISLO,O,O,X,O,O,X,X,X,X,X,X
TJZISOL,O,O,X,O,O,X,X,X,X,X,X
TJZIOLS,O,O,O,O,X,X,X,X,X,X,X
TJZIOSL,O,O,O,O,O,X,X,X,X,X,X
TJZLISO,O,X,O,X,O,X,X,X,X,X,X
TJZLIOS,O,X,O,X,X,X,X,X,X,X,X
TJZLSIO,O,O,O,X,O,X,X,X,X,X,X
TJZLSOI,O,O,X,O,O,X,X,X,X,X,X
TJZLOIS,O,O,O,X,X,X,X,X,X,X,X
TJZLOSI,O,O,O,O,X,X,X,X,X,X,X
TJZSILO,O,O,X,X,O,X,X,X,X,X,X
TJZSIOL,O,O,X,X,O,X,X,X,X,X,X
TJZSLIO,X,O,O,X,O,X,X,X,X,X,X
TJZSLOI,X,O,X,X,O,X,X,X,X,X,X
TJZSOIL,O,O,O,X,O,X,X,X,X,X,X
TJZSOLI,X,O,O,X,O,X,X,X,X,X,X
TJZOILS,O,O,O,O,O,X,X,X,X,X,X
TJZOISL,O,O,O,O,O,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,X,X,X,X,X,X
TJZOLSI,O,O,O,O,O,X,X,X,X,X,X
TJZOSIL,O,O,O,X,O,X,X,X,X,X,X
TJZOSLI,X,O,O,X,O,X,X,X,X,X,X
TJOILSZ,O,X,O,O,X,O,X,X,X,O,X
TJOILZS,O,X,O,O,X,X,X,X,X,O,X
TJOISLZ,O,O,X,O,O,O,X,X,X,O,X
TJOISZL,O,O,O,O,X,O,X,X,X,O,X
TJOIZLS,O,O,O,O,X,X,X,X,X,O,X
TJOIZSL,O,O,O,O,O,X,X,X,X,O,X
TJOLISZ,O,X,O,O,X,O,X,X,X,X,X
TJOLIZS,O,X,O,O,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,O,O,O,X,X,X,X,X
TJOLSZI,O,X,O,O,X,O,X,X,X,X,X
TJOLZIS,O,X,O,O,X,X,X,X,X,X,X
TJOLZSI,O,X,O,O,X,X,X,X,X,X,X
TJOSILZ,O,O,X,O,O,O,X,X,X,X,X
TJOSIZL,O,O,O,O,X,O,X,X,X,X,X
TJOSLIZ,O,O,O,O,O,O,X,X,X,X,X
TJOSLZI,O,O,O,O,X,O,X,X,X,X,X
TJOSZIL,O,O,O,X,X,O,X,X,X,X,X
TJOSZLI,X,O,O,X,X,O,X,X,X,X,X
TJOZILS,O,O,O,O,O,X,X,X,X,X,X
TJOZISL,O,O,O,O,O,X,X,X,X,X,X
TJOZLIS,O,O,O,X,O,X,X,X,X,X,X
TJOZLSI,O,O,O,O,O,X,X,X,X,X,X
TJOZSIL,O,O,O,X,O,X,X,X,X,X,X
TJOZSLI,X,O,O,X,O,X,X,X,X,X,X
TSILJZO,X,X,X,X,O,X,X,X,O,X,X
TSILJOZ,X,X,X,X,O,O,X,X,X,X,X
TSILZJO,X,X,X,X,X,X,X,X,O,X,X
TSILZOJ,X,X,X,X,X,X,X,X,O,X,X
TSILOJZ,X,X,X,X,X,O,X,X,X,X,X
TSILOZJ,X,X,X,X,X,O,X,X,O,X,X
TSIJLZO,X,X,X,X,O,X,X,X,O,X,X
TSIJLOZ,X,X,X,X,O,O,X,X,X,X,X
TSIJZLO,X,X,X,X,O,X,X,X,O,X,X
TSIJZOL,X,X,X,X,X,X,X,X,O,X,X
TSIJOLZ,X,X,X,X,O,O,X,X,X,X,X
TSIJOZL,X,X,X,X,X,O,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X,X,X,O,X,X
TSIZLOJ,X,X,X,X,X,X,X,X,O,X,X
TSIZJLO,X,X,X,X,X,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X,X,X,O,X,X
TSIZOLJ,X,X,X,X,X,X,X,X,O,X,X
TSIZOJL,X,X,X,X,X,X,X,X,O,X,X
TSIOLJZ,X,X,X,X,X,O,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,O,X,X,O,X,X
TSIOJLZ,X,X,X,X,X,O,X,X,X,X,X
TSIOJZL,X,X,X,X,X,O,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,O,X,X,O,X,X
TSIOZJL,X,X,X,X,X,O,X,X,O,X,X
TSLIJZO,X,O,O,X,O,X,X,X,O,X,X
TSLIJOZ,X,O,X,X,O,O,X,X,X,X,X
TSLIZJO,X,O,O,X,X,X,X,X,O,X,X
TSLIZOJ,X,O,X,X,X,X,X,X,O,X,X
TSLIOJZ,X,O,X,X,X,O,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,O,X,X,O,X,X
TSLJIZO,X,O,O,X,O,X,X,X,X,X,X
TSLJIOZ,X,O,X,X,O,O,X,X,X,X,X
TSLJZIO,X,O,O,X,O,X,X,X,X,X,X
TSLJZOI,X,O,X,X,X,O,X,X,X,X,X
TSLJOIZ,X,O,O,X,O,O,X,X,X,X,X
TSLJOZI,X,O,O,X,X,O,X,X,X,X,X
TSLZIJO,X,O,O,X,O,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,O,X,X,X,X,X,X
TSLZJIO,X,X,O,X,O,X,X,X,X,X,X
TSLZJOI,X,X,X,X,O,O,X,X,X,X,X
TSLZOIJ,X,O,X,X,O,O,X,X,X,X,X
TSLZOJI,X,X,X,X,O,O,X,X,X,X,X
TSLOIJZ,X,O,O,X,X,O,X,X,X,X,X
TSLOIZJ,X,O,O,X,X,O,X,X,X,X,X
TSLOJIZ,X,O,O,X,O,O,X,X,X,X,X
TSLOJZI,X,O,O,X,X,O,X,X,X,X,X
TSLOZIJ,X,O,O,X,X,O,X,X,X,X,X
TSLOZJI,X,X,O,X,X,O,X,X,X,X,X
TSJILZO,X,X,X,X,O,X,X,X,X,X,X
TSJILOZ,X,X,X,X,O,O,X,X,X,X,X
TSJIZLO,X,X,X,X,O,X,X,X,X,X,X
TSJIZOL,X,X,X,X,O,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,O,O,X,X,X,X,X
TSJIOZL,X,X,X,X,X,O,X,X,X,X,X
TSJLIZO,X,O,O,X,O,X,X,X,X,X,X
TSJLIOZ,X,O,X,X,O,O,X,X,X,X,X
TSJLZIO,X,O,O,X,O,X,X,X,X,X,X
TSJLZOI,X,O,X,X,X,O,X,X,X,X,X
TSJLOIZ,X,O,O,X,O,O,X,X,X,X,X
TSJLOZI,X,O,O,X,X,O,X,X,X,X,X
TSJZILO,X,O,X,X,O,X,X,X,X,X,X
TSJZIOL,X,O,X,X,O,X,X,X,X,X,X
TSJZLIO,X,O,O,X,O,X,X,X,X,X,X
TSJZLOI,X,O,X,X,O,O,X,X,X,X,X
TSJZOIL,X,O,O,X,O,O,X,X,X,X,X
TSJZOLI,X,O,O,X,O,O,X,X,X,X,X
TSJOILZ,X,O,X,X,O,O,X,X,X,X,X
TSJOIZL,X,O,O,X,X,O,X,X,X,X,X
