sequence,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBGjB8?rBatBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBCjB8?rBOtBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxnBXnBO?tBVvBUrB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxiBXnBO?tBVvBUrB
TJIOLSZ,X,O,X,X
TJIOLZS,O,O,X,X
TJIOSLZ,X,O,X,X
TJIOSZL,O,O,X,X
TJIOZLS,O,O,X,X
TJIOZSL,O,O,X,X
TJLISZO,O,O,X,X
TJLISOZ,O,O,X,X
TJLIZSO,O,O,X,X
TJLIZOS,O,O,X,X
TJLIOSZ,O,O,X,X
TJLIOZS,O,O,X,X
TJLSIZO,O,O,X,X
TJLSIOZ,O,O,X,X
TJLSZIO,O,O,X,X
TJLSZOI,O,O,X,X
TJLSOIZ,O,O,X,X
TJLSOZI,O,O,X,X
TJLZISO,O,O,X,X
TJLZIOS,O,O,X,X
TJLZSIO,O,O,X,X
TJLZSOI,O,O,X,X
TJLZOIS,O,O,X,X
TJLZOSI,O,O,X,X
TJLOISZ,O,O,X,X
TJLOIZS,O,O,X,X
TJLOSIZ,O,O,X,X
TJLOSZI,O,O,X,X
TJLOZIS,O,O,X,X
TJLOZSI,O,O,X,X
TJSILZO,X,O,X,X
TJSILOZ,X,O,X,X
TJSIZLO,O,O,X,X
TJSIZOL,O,O,X,X
TJSIOLZ,X,O,X,X
TJSIOZL,O,O,X,X
TJSLIZO,X,O,X,X
TJSLIOZ,X,O,X,X
TJSLZIO,X,O,X,X
TJSLZOI,X,O,X,X
TJSLOIZ,X,O,X,X
TJSLOZI,X,O,X,X
TJSZILO,X,O,X,X
TJSZIOL,O,O,X,X
TJSZLIO,X,O,X,X
TJSZLOI,O,O,X,X
TJSZOIL,O,O,X,X
TJSZOLI,O,O,X,X
TJSOILZ,X,O,X,X
TJSOIZL,O,O,X,X
TJSOLIZ,X,O,X,X
TJSOLZI,X,O,X,X
TJSOZIL,O,O,X,X
TJSOZLI,O,O,X,X
TJZILSO,O,O,X,X
TJZILOS,O,O,X,X
TJZISLO,O,O,X,X
TJZISOL,O,O,X,X
TJZIOLS,O,O,X,X
TJZIOSL,O,O,X,X
TJZLISO,O,O,X,X
TJZLIOS,O,O,X,X
TJZLSIO,O,O,X,X
TJZLSOI,O,O,X,X
TJZLOIS,O,O,X,X
TJZLOSI,O,O,X,X
TJZSILO,X,O,X,X
TJZSIOL,O,O,X,X
TJZSLIO,O,O,X,X
TJZSLOI,O,O,X,X
TJZSOIL,O,O,X,X
TJZSOLI,O,O,X,X
TJZOILS,O,O,X,X
TJZOISL,O,O,X,X
TJZOLIS,O,O,X,X
TJZOLSI,O,O,X,X
TJZOSIL,O,O,X,X
TJZOSLI,O,O,X,X
TJOILSZ,X,O,X,X
TJOILZS,O,O,X,X
TJOISLZ,X,O,X,X
TJOISZL,O,O,X,X
TJOIZLS,O,O,X,X
TJOIZSL,O,O,X,X
TJOLISZ,O,O,X,X
TJOLIZS,O,O,X,X
TJOLSIZ,O,O,X,X
TJOLSZI,O,O,X,X
TJOLZIS,O,O,X,X
TJOLZSI,O,O,X,X
TJOSILZ,X,O,X,X
TJOSIZL,O,O,X,X
TJOSLIZ,X,O,X,X
TJOSLZI,X,O,X,X
TJOSZIL,O,O,X,X
TJOSZLI,O,O,X,X
TJOZILS,O,O,X,X
TJOZISL,O,O,X,X
TJOZLIS,O,O,X,X
TJOZLSI,O,O,X,X
TJOZSIL,O,O,X,X
TJOZSLI,O,O,X,X
TSILJZO,X,X,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,X,X,X
TSILOJZ,X,X,X,X
TSILOZJ,X,X,X,X
TSIJLZO,X,X,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,X,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,O,X,X,X
TSLIJOZ,O,X,X,X
TSLIZJO,O,O,X,X
TSLIZOJ,O,O,X,X
TSLIOJZ,O,X,X,X
TSLIOZJ,O,O,X,X
TSLJIZO,O,X,X,X
TSLJIOZ,O,X,X,O
TSLJZIO,O,X,X,X
TSLJZOI,O,X,X,X
TSLJOIZ,O,X,X,O
TSLJOZI,O,X,X,O
TSLZIJO,O,X,X,X
TSLZIOJ,O,O,X,X
TSLZJIO,O,X,X,X
TSLZJOI,O,O,X,X
TSLZOIJ,O,O,X,X
TSLZOJI,O,O,X,X
TSLOIJZ,O,X,X,X
TSLOIZJ,O,O,X,X
TSLOJIZ,O,X,X,O
TSLOJZI,O,X,X,O
TSLOZIJ,O,O,X,X
TSLOZJI,O,O,X,X
TSJILZO,X,O,X,X
TSJILOZ,X,O,X,X
TSJIZLO,O,O,X,X
TSJIZOL,O,O,X,X
TSJIOLZ,X,O,X,X
TSJIOZL,O,O,X,X
TSJLIZO,X,O,X,X
TSJLIOZ,X,O,X,X
TSJLZIO,X,O,X,X
TSJLZOI,X,O,X,X
TSJLOIZ,X,O,X,X
TSJLOZI,X,O,X,X
TSJZILO,X,O,X,X
TSJZIOL,O,O,X,X
TSJZLIO,X,O,X,X
TSJZLOI,O,O,X,X
TSJZOIL,O,O,X,X
TSJZOLI,O,O,X,X
TSJOILZ,X,O,X,X
TSJOIZL,O,O,X,X
TSJOLIZ,X,O,X,X
TSJOLZI,X,O,X,X
TSJOZIL,O,O,X,X
TSJOZLI,O,O,X,X
TSZILJO,O,X,X,X
TSZILOJ,O,O,X,X
TSZIJLO,X,O,X,X
TSZIJOL,O,O,X,X
TSZIOLJ,O,O,X,X
TSZIOJL,O,O,X,X
TSZLIJO,O,X,X,X
TSZLIOJ,O,O,X,X
TSZLJIO,O,O,X,X
TSZLJOI,O,O,X,X
TSZLOIJ,O,O,X,X
TSZLOJI,O,O,X,X
TSZJILO,X,O,X,X
TSZJIOL,O,O,X,X
TSZJLIO,O,O,X,X
TSZJLOI,O,O,X,X
TSZJOIL,O,O,X,X
TSZJOLI,O,O,X,X
TSZOILJ,O,O,X,X
TSZOIJL,O,O,X,X
TSZOLIJ,O,O,X,X
TSZOLJI,O,O,X,X
TSZOJIL,O,O,X,X
TSZOJLI,O,O,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,O,X,X,X
TSOLIZJ,O,O,X,X
TSOLJIZ,O,X,X,O
TSOLJZI,O,X,X,O
TSOLZIJ,O,O,X,X
TSOLZJI,O,O,X,X
TSOJILZ,X,O,X,X
TSOJIZL,O,O,X,X
TSOJLIZ,X,O,X,X
TSOJLZI,X,O,X,X
TSOJZIL,O,O,X,X
TSOJZLI,O,O,X,X
TSOZILJ,O,O,X,X
TSOZIJL,O,O,X,X
TSOZLIJ,O,O,X,X
TSOZLJI,O,O,X,X
TSOZJIL,O,O,X,X
TSOZJLI,O,O,X,X
TZILJSO,O,X,X,X
TZILJOS,O,X,X,X
TZILSJO,O,X,X,X
TZILSOJ,O,O,X,X
TZILOJS,O,X,X,X
TZILOSJ,O,O,X,X
TZIJLSO,X,O,X,X
