sequence,v115@+gA8IeA8IeC8AeA8EeF8MeZEJvhFTgBOmBVnBcoB3n?BSyB,v115@+gA8IeA8IeC8AeA8EeF8MeZEJvhFTgBOmBXiBFoB6t?B0sB
TOJZSLI,X,X
TOSILJZ,X,X
TOSILZJ,X,X
TOSIJLZ,X,X
TOSIJZL,X,X
TOSIZLJ,X,X
TOSIZJL,X,X
TOSLIJZ,X,X
TOSLIZJ,X,X
TOSLJIZ,X,X
TOSLJZI,X,X
TOSLZIJ,X,X
TOSLZJI,X,X
TOSJILZ,X,X
TOSJIZL,X,X
TOSJLIZ,X,X
TOSJLZI,X,X
TOSJZIL,X,X
TOSJZLI,X,X
TOSZILJ,X,X
TOSZIJL,X,X
TOSZLIJ,X,X
TOSZLJI,X,X
TOSZJIL,X,X
TOSZJLI,X,X
TOZILJS,X,X
TOZILSJ,X,X
TOZIJLS,X,X
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,X,X
TOZLIJS,X,X
TOZLISJ,X,X
TOZLJIS,X,X
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,X
TOZJISL,X,X
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,X,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,X,X
TOZSJLI,X,X
ITLJSZO,X,X
ITLJSOZ,X,X
ITLJZSO,X,X
ITLJZOS,O,X
ITLJOSZ,X,X
ITLJOZS,O,X
ITLSJZO,X,X
ITLSJOZ,X,X
ITLSZJO,X,X
ITLSZOJ,X,X
ITLSOJZ,X,X
ITLSOZJ,X,X
ITLZJSO,X,X
ITLZJOS,O,X
ITLZSJO,X,X
ITLZSOJ,X,X
ITLZOJS,O,X
ITLZOSJ,X,X
ITLOJSZ,X,X
ITLOJZS,O,X
ITLOSJZ,X,X
ITLOSZJ,X,X
ITLOZJS,O,X
ITLOZSJ,X,X
ITJLSZO,X,X
ITJLSOZ,X,X
ITJLZSO,X,X
ITJLZOS,O,X
ITJLOSZ,X,X
ITJLOZS,O,X
ITJSLZO,X,X
ITJSLOZ,X,X
ITJSZLO,X,X
ITJSZOL,X,X
ITJSOLZ,X,X
ITJSOZL,X,X
ITJZLSO,X,X
ITJZLOS,X,X
ITJZSLO,X,X
ITJZSOL,X,X
ITJZOLS,X,X
ITJZOSL,X,X
ITJOLSZ,X,X
ITJOLZS,O,X
ITJOSLZ,X,X
ITJOSZL,X,X
ITJOZLS,X,X
ITJOZSL,X,X
ITSLJZO,X,X
ITSLJOZ,X,X
ITSLZJO,X,X
ITSLZOJ,X,X
ITSLOJZ,X,X
ITSLOZJ,X,X
ITSJLZO,X,X
ITSJLOZ,X,X
ITSJZLO,X,X
ITSJZOL,X,X
