sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TLJZOIS,O,O,O,O,X
TLJZOSI,O,O,O,O,X
TLJOISZ,O,O,O,X,X
TLJOIZS,O,O,O,X,X
TLJOSIZ,O,O,O,O,X
TLJOSZI,O,O,O,O,X
TLJOZIS,O,O,O,O,X
TLJOZSI,O,O,O,O,X
TLSIJZO,O,O,O,X,O
TLSIJOZ,O,O,O,X,O
TLSIZJO,O,O,O,O,O
TLSIZOJ,O,O,O,O,O
TLSIOJZ,O,O,O,X,O
TLSIOZJ,O,O,O,O,O
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,O,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,O,O
TLSJOZI,O,O,O,O,O
TLSZIJO,O,O,O,O,O
TLSZIOJ,O,O,O,O,O
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,O
TLSZOJI,O,O,O,O,O
TLSOIJZ,O,O,O,X,O
TLSOIZJ,O,O,O,O,O
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,O,O,O
TLSOZJI,O,O,O,O,O
TLZIJSO,O,O,O,O,X
TLZIJOS,O,O,O,O,X
TLZISJO,O,O,O,O,O
TLZISOJ,O,O,O,O,O
TLZIOJS,O,O,O,O,X
TLZIOSJ,O,O,O,O,O
TLZJISO,O,O,O,O,X
TLZJIOS,O,O,O,O,X
TLZJSIO,O,O,O,O,X
TLZJSOI,O,O,O,O,X
TLZJOIS,O,O,O,O,X
TLZJOSI,O,O,O,O,X
TLZSIJO,O,O,O,O,O
TLZSIOJ,O,O,O,O,O
TLZSJIO,O,O,O,O,O
TLZSJOI,O,O,O,O,O
TLZSOIJ,O,O,O,O,O
TLZSOJI,O,O,O,O,O
TLZOIJS,O,O,O,O,X
TLZOISJ,O,O,O,O,O
TLZOJIS,O,O,O,O,X
TLZOJSI,O,O,O,O,X
TLZOSIJ,O,O,O,O,O
TLZOSJI,O,O,O,O,O
TLOIJSZ,O,O,O,X,X
TLOIJZS,O,O,O,X,X
TLOISJZ,O,O,O,X,O
TLOISZJ,O,O,O,O,O
TLOIZJS,O,O,O,O,X
TLOIZSJ,O,O,O,O,O
TLOJISZ,O,O,O,X,X
TLOJIZS,O,O,O,X,X
TLOJSIZ,O,O,O,O,X
TLOJSZI,O,O,O,O,X
TLOJZIS,O,O,O,O,X
TLOJZSI,O,O,O,O,X
TLOSIJZ,O,O,O,X,O
TLOSIZJ,O,O,O,O,O
TLOSJIZ,O,O,O,O,O
TLOSJZI,O,O,O,O,O
TLOSZIJ,O,O,O,O,O
TLOSZJI,O,O,O,O,O
TLOZIJS,O,O,O,O,X
TLOZISJ,O,O,O,O,O
TLOZJIS,O,O,O,O,X
TLOZJSI,O,O,O,O,X
TLOZSIJ,O,O,O,O,O
TLOZSJI,O,O,O,O,O
TJILSZO,X,O,O,X,X
TJILSOZ,X,O,O,X,X
TJILZSO,X,O,O,X,X
TJILZOS,X,O,O,X,X
TJILOSZ,X,O,O,X,X
TJILOZS,X,O,O,X,X
TJISLZO,X,O,X,O,O
TJISLOZ,X,O,X,O,O
TJISZLO,X,X,X,O,O
TJISZOL,X,O,X,O,O
TJISOLZ,X,O,X,O,O
TJISOZL,X,O,X,O,O
TJIZLSO,X,O,O,O,X
TJIZLOS,X,O,O,O,X
TJIZSLO,X,O,X,O,O
TJIZSOL,X,O,O,O,O
TJIZOLS,X,X,O,O,X
TJIZOSL,X,O,O,O,O
TJIOLSZ,X,O,O,X,X
TJIOLZS,X,X,O,X,X
TJIOSLZ,X,O,X,O,O
TJIOSZL,X,O,X,O,O
TJIOZLS,X,X,O,O,X
TJIOZSL,X,X,O,O,O
TJLISZO,O,O,O,X,X
TJLISOZ,O,O,O,X,X
TJLIZSO,O,O,O,X,X
