sequence,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lBzhBaoB5oB+s?BlrB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFmhBziB5oBCmB0r?BlsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF6mBmiB5oBzlB0n?BVxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF0hBliB5oBzlBys?BWxB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFVmBUiBaoB5oBGr?BTsB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhFlhBaoB5oBzlB8r?B+sB,v115@9gB8HeA8IeC8GeE8CeA8KeVFJvhFUhBanBziB5oBGr?B3sB,v115@9gB8HeA8IeC8GeE8CeA8KeXAJvhF8lB+mBiiB5oBzn?BVxB
TZJOISL,O,O,O,X,X,X,X,O
TZJOLIS,O,O,O,X,X,X,X,O
TZJOLSI,O,O,O,X,X,X,X,O
TZJOSIL,O,O,O,X,X,X,X,O
TZJOSLI,O,X,O,X,X,X,X,O
TZSILJO,X,O,O,X,X,X,X,X
TZSILOJ,X,O,X,X,X,X,O,X
TZSIJLO,O,X,O,X,X,X,X,O
TZSIJOL,O,O,O,X,X,X,X,O
TZSIOLJ,X,O,O,X,X,X,O,X
TZSIOJL,O,O,O,X,X,X,X,O
TZSLIJO,X,O,O,X,X,X,X,X
TZSLIOJ,X,O,X,X,X,X,O,X
TZSLJIO,X,O,O,X,X,X,X,X
TZSLJOI,X,O,X,X,X,X,X,X
TZSLOIJ,X,O,X,X,X,X,O,X
TZSLOJI,X,O,X,X,X,X,X,X
TZSJILO,O,X,O,X,X,X,X,O
TZSJIOL,O,O,O,X,X,X,X,O
TZSJLIO,O,X,O,X,X,X,X,O
TZSJLOI,O,X,X,X,X,X,X,X
TZSJOIL,O,O,O,X,X,X,X,O
TZSJOLI,O,X,O,X,X,X,X,O
TZSOILJ,X,O,O,X,X,X,O,X
TZSOIJL,O,O,O,X,X,X,X,O
TZSOLIJ,X,O,O,X,X,X,O,X
TZSOLJI,X,O,O,X,X,X,X,X
TZSOJIL,O,O,O,X,X,X,X,O
TZSOJLI,O,X,O,X,X,X,X,O
TZOILJS,X,O,O,X,X,X,X,X
TZOILSJ,X,O,O,X,X,X,X,X
TZOIJLS,O,O,O,X,X,X,X,O
TZOIJSL,O,O,O,X,X,X,X,O
TZOISLJ,X,O,O,X,X,X,X,X
TZOISJL,O,O,O,X,X,X,X,O
TZOLIJS,X,O,O,X,X,X,X,X
TZOLISJ,X,O,O,X,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X,X
TZOLJSI,X,O,O,X,X,X,X,X
TZOLSIJ,X,O,O,X,X,X,X,X
TZOLSJI,X,O,O,X,X,X,X,X
TZOJILS,O,O,O,X,X,X,X,O
TZOJISL,O,O,O,X,X,X,X,O
TZOJLIS,O,O,O,X,X,X,X,O
TZOJLSI,O,O,O,X,X,X,X,O
TZOJSIL,O,O,O,X,X,X,X,O
TZOJSLI,O,X,O,X,X,X,X,O
TZOSILJ,X,O,O,X,X,X,X,X
TZOSIJL,O,O,O,X,X,X,X,O
TZOSLIJ,X,O,O,X,X,X,X,X
TZOSLJI,X,O,O,X,X,X,X,X
TZOSJIL,O,O,O,X,X,X,X,O
TZOSJLI,O,X,O,X,X,X,X,O
TOILJSZ,X,O,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X,X,O
TOILSJZ,X,O,X,X,X,X,X,X
TOILSZJ,X,X,O,X,X,X,X,X
TOILZJS,X,X,O,X,X,X,X,X
TOILZSJ,X,X,O,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,X,O
TOIJSLZ,X,O,X,X,X,X,X,X
TOIJSZL,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,X,O
TOIJZSL,O,X,X,X,X,X,X,O
TOISLJZ,X,O,X,X,X,X,X,X
TOISLZJ,X,X,O,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X,X
TOISJZL,X,X,X,X,X,X,X,X
TOISZLJ,X,O,O,X,X,X,X,X
TOISZJL,X,O,O,X,X,X,X,O
TOIZLJS,X,O,O,X,X,X,X,X
TOIZLSJ,X,O,O,X,X,X,X,X
TOIZJLS,O,O,O,X,X,X,X,O
TOIZJSL,O,O,O,X,X,X,X,O
TOIZSLJ,X,O,O,X,X,X,X,X
TOIZSJL,O,O,O,X,X,X,X,O
TOLIJSZ,X,O,X,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X,X,O
TOLISJZ,X,O,X,X,X,X,X,X
TOLISZJ,X,X,O,X,X,X,X,X
TOLIZJS,X,X,O,X,X,X,X,X
TOLIZSJ,X,X,O,X,X,X,X,X
TOLJISZ,X,O,X,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X,X,O
TOLJSIZ,X,O,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X,X,O
TOLJZSI,X,X,X,X,X,X,X,O
TOLSIJZ,X,O,X,X,X,X,X,X
TOLSIZJ,X,X,O,X,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X,X,X
TOLSZIJ,X,X,O,X,X,X,X,X
TOLSZJI,X,X,O,X,X,X,X,X
TOLZIJS,X,X,O,X,X,X,X,X
TOLZISJ,X,X,O,X,X,X,X,X
TOLZJIS,X,X,O,X,X,X,X,X
TOLZJSI,X,X,O,X,X,X,X,X
TOLZSIJ,X,X,O,X,X,X,X,X
TOLZSJI,X,X,O,X,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X,X
TOJILZS,O,X,X,X,X,X,X,O
TOJISLZ,X,O,X,X,X,X,X,X
TOJISZL,X,X,X,X,X,X,X,X
TOJIZLS,O,X,X,X,X,X,X,O
TOJIZSL,O,X,X,X,X,X,X,O
TOJLISZ,X,O,X,X,X,X,X,X
TOJLIZS,O,X,X,X,X,X,X,O
TOJLSIZ,X,O,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X,X,X
TOJLZIS,O,X,X,X,X,X,X,O
TOJLZSI,O,X,X,X,X,X,X,O
TOJSILZ,X,O,X,X,X,X,X,X
TOJSIZL,X,X,X,X,X,X,X,X
TOJSLIZ,X,X,X,X,X,X,X,X
TOJSLZI,X,X,X,X,X,X,X,X
TOJSZIL,X,X,X,X,X,X,X,X
TOJSZLI,X,X,X,X,X,X,X,X
TOJZILS,O,X,X,X,X,X,X,O
TOJZISL,O,X,X,X,X,X,X,O
TOJZLIS,O,X,X,X,X,X,X,O
TOJZLSI,O,X,X,X,X,X,X,O
TOJZSIL,O,X,X,X,X,X,X,O
TOJZSLI,O,X,X,X,X,X,X,O
TOSILJZ,X,O,X,X,X,X,X,X
TOSILZJ,X,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X,X
TOSIJZL,X,X,X,X,X,X,X,X
TOSIZLJ,X,O,O,X,X,X,X,X
TOSIZJL,X,O,O,X,X,X,X,O
TOSLIJZ,X,O,X,X,X,X,X,X
TOSLIZJ,X,X,O,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X,X
TOSLJZI,X,X,X,X,X,X,X,X
TOSLZIJ,X,X,O,X,X,X,X,X
TOSLZJI,X,X,O,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X,X
TOSJIZL,X,X,X,X,X,X,X,X
TOSJLIZ,X,X,X,X,X,X,X,X
TOSJLZI,X,X,X,X,X,X,X,X
TOSJZIL,X,X,X,X,X,X,X,X
TOSJZLI,X,X,X,X,X,X,X,X
TOSZILJ,X,O,O,X,X,X,X,X
TOSZIJL,X,O,O,X,X,X,X,O
TOSZLIJ,X,O,O,X,X,X,X,X
TOSZLJI,X,O,O,X,X,X,X,X
TOSZJIL,X,O,O,X,X,X,X,O
TOSZJLI,X,X,O,X,X,X,X,O
TOZILJS,X,O,O,X,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X,X
TOZIJLS,O,O,O,X,X,X,X,O
TOZIJSL,O,O,O,X,X,X,X,O
TOZISLJ,X,O,O,X,X,X,X,X
TOZISJL,O,O,O,X,X,X,X,O
TOZLIJS,X,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X,X
TOZLJSI,X,O,O,X,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,X,X
TOZLSJI,X,O,O,X,X,X,X,X
TOZJILS,O,O,O,X,X,X,X,O
TOZJISL,O,O,O,X,X,X,X,O
TOZJLIS,O,O,O,X,X,X,X,O
TOZJLSI,O,O,O,X,X,X,X,O
TOZJSIL,O,O,O,X,X,X,X,O
TOZJSLI,O,X,O,X,X,X,X,O
TOZSILJ,X,O,O,X,X,X,X,X
TOZSIJL,O,O,O,X,X,X,X,O
TOZSLIJ,X,O,O,X,X,X,X,X
TOZSLJI,X,O,O,X,X,X,X,X
TOZSJIL,O,O,O,X,X,X,X,O
TOZSJLI,O,X,O,X,X,X,X,O
ITLJSZO,X,X,X,X,X,X,X,X
ITLJSOZ,X,O,X,X,X,X,X,X
ITLJZSO,X,X,X,X,X,X,X,O
ITLJZOS,X,X,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,X,X,X
ITLJOZS,X,X,X,X,X,X,X,X
ITLSJZO,X,X,X,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X,X
ITLSZJO,X,X,O,X,X,X,X,X
ITLSZOJ,X,X,X,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X,X
ITLSOZJ,X,X,X,X,X,X,X,X
ITLZJSO,X,X,O,X,X,X,X,X
ITLZJOS,X,X,X,X,X,X,X,X
ITLZSJO,X,X,O,X,X,X,X,X
ITLZSOJ,X,X,X,X,X,X,X,X
ITLZOJS,X,X,X,X,X,X,X,X
ITLZOSJ,X,X,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,X,X,X
ITLOJZS,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,X,X,X
ITLOSZJ,X,X,X,X,X,X,X,X
ITLOZJS,X,X,X,X,X,X,X,X
ITLOZSJ,X,X,X,X,X,X,X,X
ITJLSZO,X,X,X,X,X,X,X,X
ITJLSOZ,X,O,X,X,X,X,X,X
ITJLZSO,O,X,X,X,X,X,X,O
ITJLZOS,O,X,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,X,X,X
ITJLOZS,O,X,X,X,X,X,X,X
ITJSLZO,X,X,X,X,X,X,O,X
ITJSLOZ,X,X,X,X,X,X,O,X
ITJSZLO,X,X,X,X,X,X,O,X
ITJSZOL,X,X,X,X,X,X,O,X
ITJSOLZ,X,O,X,X,X,X,O,X
ITJSOZL,X,X,X,X,X,X,O,X
ITJZLSO,O,X,X,X,X,X,O,O
ITJZLOS,O,X,X,X,X,X,X,X
ITJZSLO,O,X,X,X,X,X,O,O
ITJZSOL,O,X,X,X,X,X,O,O
ITJZOLS,O,X,X,X,X,X,X,O
ITJZOSL,O,X,X,X,X,X,X,O
ITJOLSZ,X,O,X,X,X,X,X,X
ITJOLZS,O,X,X,X,X,X,X,O
ITJOSLZ,X,O,X,X,X,X,X,X
ITJOSZL,X,X,X,X,X,X,X,X
ITJOZLS,O,X,X,X,X,X,X,O
ITJOZSL,O,X,X,X,X,X,X,O
ITSLJZO,X,X,X,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X,X
ITSLZJO,X,X,O,X,X,X,X,X
ITSLZOJ,X,X,X,X,X,X,O,X
ITSLOJZ,X,O,X,X,X,X,X,X
ITSLOZJ,X,X,X,X,X,X,O,X
ITSJLZO,X,X,X,X,X,X,X,X
ITSJLOZ,X,X,X,X,X,X,X,X
ITSJZLO,X,X,X,X,X,X,X,X
ITSJZOL,X,X,X,X,X,X,X,X
ITSJOLZ,X,O,X,X,X,X,X,X
ITSJOZL,X,X,X,X,X,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X
ITSZLOJ,X,O,X,X,X,X,O,X
ITSZJLO,X,X,O,X,X,X,X,O
ITSZJOL,X,O,O,X,X,X,X,O
ITSZOLJ,X,O,O,X,X,X,O,X
ITSZOJL,X,O,O,X,X,X,X,O
ITSOLJZ,X,O,X,X,X,X,X,X
ITSOLZJ,X,X,O,X,X,X,O,X
ITSOJLZ,X,O,X,X,X,X,X,X
ITSOJZL,X,X,X,X,X,X,X,X
ITSOZLJ,X,O,O,X,X,X,O,X
ITSOZJL,X,O,O,X,X,X,X,O
ITZLJSO,X,O,O,X,X,X,X,X
ITZLJOS,X,O,X,X,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X,X
ITZLSOJ,X,O,X,X,X,X,O,X
ITZLOJS,X,O,X,X,X,X,X,X
ITZLOSJ,X,O,X,X,X,X,X,X
ITZJLSO,O,O,O,X,X,X,O,O
ITZJLOS,O,O,X,X,X,X,X,X
ITZJSLO,O,X,O,X,X,X,O,O
ITZJSOL,O,O,O,X,X,X,O,O
ITZJOLS,O,O,O,X,X,X,X,O
ITZJOSL,O,O,O,X,X,X,X,O
ITZSLJO,X,O,O,X,X,X,X,X
ITZSLOJ,X,O,X,X,X,X,O,X
ITZSJLO,O,X,O,X,X,X,X,O
ITZSJOL,O,O,O,X,X,X,X,O
ITZSOLJ,X,O,O,X,X,X,O,X
ITZSOJL,O,O,O,X,X,X,X,O
ITZOLJS,X,O,O,X,X,X,X,X
ITZOLSJ,X,O,O,X,X,X,X,X
ITZOJLS,O,O,O,X,X,X,X,O
ITZOJSL,O,O,O,X,X,X,X,O
ITZOSLJ,X,O,O,X,X,X,X,X
ITZOSJL,O,O,O,X,X,X,X,O
ITOLJSZ,X,O,X,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,X,O
ITOLSJZ,X,O,X,X,X,X,X,X
ITOLSZJ,X,X,O,X,X,X,X,X
ITOLZJS,X,X,O,X,X,X,X,X
ITOLZSJ,X,X,O,X,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X,X
ITOJLZS,O,X,X,X,X,X,X,O
ITOJSLZ,X,O,X,X,X,X,X,X
ITOJSZL,X,X,X,X,X,X,X,X
ITOJZLS,O,X,X,X,X,X,X,O
ITOJZSL,O,X,X,X,X,X,X,O
ITOSLJZ,X,O,X,X,X,X,X,X
ITOSLZJ,X,X,O,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X,X
ITOSJZL,X,X,X,X,X,X,X,X
ITOSZLJ,X,O,O,X,X,X,X,X
ITOSZJL,X,O,O,X,X,X,X,O
ITOZLJS,X,O,O,X,X,X,X,X
ITOZLSJ,X,O,O,X,X,X,X,X
ITOZJLS,O,O,O,X,X,X,X,O
ITOZJSL,O,O,O,X,X,X,X,O
ITOZSLJ,X,O,O,X,X,X,X,X
ITOZSJL,O,O,O,X,X,X,X,O
ILTJSZO,X,X,X,X,X,X,X,X
ILTJSOZ,X,O,X,X,X,X,X,X
ILTJZSO,X,X,X,X,X,X,X,X
ILTJZOS,X,X,X,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X,X,X
ILTSJZO,X,X,X,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X,X
ILTSZJO,X,X,X,X,X,X,X,X
ILTSZOJ,X,X,X,O,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X,X
ILTSOZJ,X,X,X,O,X,X,X,X
ILTZJSO,X,X,X,X,X,X,X,X
ILTZJOS,X,X,X,X,X,X,X,X
ILTZSJO,X,X,X,X,X,X,X,X
ILTZSOJ,X,X,X,O,X,X,X,X
ILTZOJS,X,X,X,X,X,X,X,X
ILTZOSJ,X,X,X,X,X,X,X,X
ILTOJSZ,X,O,X,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,X,X,X
ILTOSZJ,X,X,X,O,X,X,X,X
ILTOZJS,X,X,X,X,X,X,X,X
ILTOZSJ,X,X,X,O,X,X,X,X
ILJTSZO,X,X,X,O,O,X,X,X
ILJTSOZ,X,O,X,X,X,X,X,X
ILJTZSO,O,X,X,O,O,X,X,X
ILJTZOS,O,X,X,X,X,X,X,X
ILJTOSZ,X,O,X,O,X,X,X,X
ILJTOZS,O,X,X,O,X,X,X,X
ILJSTZO,X,X,X,O,O,X,X,X
ILJSTOZ,X,O,X,X,X,X,X,X
ILJSZTO,O,O,X,O,X,O,X,X
ILJSZOT,X,X,X,X,X,X,X,X
ILJSOTZ,X,X,X,X,X,X,X,X
ILJSOZT,X,X,X,X,X,O,X,X
ILJZTSO,O,O,X,O,X,O,X,X
ILJZTOS,O,O,X,X,X,X,X,X
ILJZSTO,O,O,X,O,X,O,X,X
ILJZSOT,X,X,X,X,X,X,X,X
ILJZOTS,X,X,X,X,X,O,X,X
ILJZOST,X,X,X,X,X,O,X,X
ILJOTSZ,X,X,X,O,X,X,X,X
ILJOTZS,X,X,X,O,X,X,X,X
ILJOSTZ,X,X,X,O,X,X,X,X
ILJOSZT,X,X,X,O,X,O,X,X
ILJOZTS,X,X,X,O,X,O,X,X
ILJOZST,X,X,X,O,X,O,X,X
ILSTJZO,X,X,X,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X,X
ILSTZJO,X,X,X,X,X,X,X,X
ILSTZOJ,X,X,X,O,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X,X
ILSTOZJ,X,X,X,O,X,X,X,X
ILSJTZO,X,X,X,O,O,X,X,X
ILSJTOZ,X,O,X,X,X,X,X,X
ILSJZTO,O,O,X,O,X,O,X,X
ILSJZOT,X,X,X,X,X,X,X,X
ILSJOTZ,X,X,X,X,X,X,X,X
ILSJOZT,X,X,X,X,X,O,X,X
ILSZTJO,X,O,X,X,X,X,X,X
ILSZTOJ,X,O,X,O,X,X,X,X
ILSZJTO,O,O,X,X,X,X,X,X
ILSZJOT,X,X,X,X,X,X,X,X
ILSZOTJ,X,X,X,X,X,X,X,X
ILSZOJT,X,X,X,X,X,X,X,X
ILSOTJZ,X,X,X,X,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X
ILSOJTZ,X,X,X,O,O,X,X,X
ILSOJZT,X,X,X,O,X,O,X,X
ILSOZTJ,X,X,X,O,X,X,X,X
ILSOZJT,X,X,X,X,X,X,X,X
ILZTJSO,X,O,X,X,X,X,X,X
ILZTJOS,X,O,X,X,X,X,X,X
ILZTSJO,X,O,X,X,X,X,X,X
ILZTSOJ,X,O,X,O,X,X,X,X
ILZTOJS,X,O,X,X,X,X,X,X
ILZTOSJ,X,O,X,X,X,X,X,X
ILZJTSO,O,O,X,X,X,X,X,X
ILZJTOS,O,O,X,X,X,X,X,X
ILZJSTO,O,O,X,X,X,X,X,X
ILZJSOT,X,X,X,X,X,X,X,X
ILZJOTS,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,X
ILZSTJO,X,O,X,X,X,X,X,X
ILZSTOJ,X,O,X,O,X,X,X,X
ILZSJTO,O,O,X,X,X,X,X,X
ILZSJOT,X,X,X,X,X,X,X,X
ILZSOTJ,X,X,X,X,X,X,X,X
ILZSOJT,X,X,X,X,X,X,X,X
ILZOTJS,X,X,X,X,X,X,X,X
ILZOTSJ,X,X,X,X,X,X,X,X
ILZOJTS,X,X,X,X,X,X,X,X
ILZOJST,X,X,X,X,X,X,X,X
ILZOSTJ,X,X,X,X,X,X,X,X
ILZOSJT,X,X,X,X,X,X,X,X
ILOTJSZ,X,X,X,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X,X,X
ILOTSJZ,X,X,X,X,X,X,X,X
ILOTSZJ,X,X,X,O,X,X,X,X
ILOTZJS,X,X,X,X,X,X,X,X
ILOTZSJ,X,X,X,O,X,X,X,X
ILOJTSZ,X,X,X,O,O,X,X,X
ILOJTZS,X,X,X,O,O,X,X,X
ILOJSTZ,X,X,X,O,O,X,X,X
ILOJSZT,X,X,X,O,X,O,X,X
ILOJZTS,X,X,X,O,O,O,X,X
ILOJZST,X,X,X,O,X,O,X,X
ILOSTJZ,X,X,X,X,X,X,X,X
ILOSTZJ,X,X,X,O,X,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,X
ILOSJZT,X,X,X,O,X,O,X,X
ILOSZTJ,X,X,X,O,X,X,X,X
ILOSZJT,X,X,X,X,X,X,X,X
ILOZTJS,X,X,X,X,X,X,X,X
ILOZTSJ,X,X,X,O,X,X,X,X
ILOZJTS,X,X,X,X,O,X,X,X
ILOZJST,X,X,X,X,X,X,X,X
ILOZSTJ,X,X,X,O,X,X,X,X
ILOZSJT,X,X,X,X,X,X,X,X
IJTLSZO,X,X,X,X,O,X,X,X
IJTLSOZ,X,X,X,X,X,X,X,X
IJTLZSO,O,X,X,X,O,X,X,X
IJTLZOS,O,X,X,X,X,X,X,X
IJTLOSZ,X,X,X,X,X,X,X,X
IJTLOZS,O,X,X,X,X,X,X,X
IJTSLZO,X,X,X,X,O,X,O,X
IJTSLOZ,X,X,X,X,X,X,O,X
IJTSZLO,X,X,X,X,O,X,O,X
IJTSZOL,X,X,X,X,X,X,O,X
IJTSOLZ,X,X,X,X,O,X,O,X
IJTSOZL,X,X,X,X,O,X,O,X
IJTZLSO,O,X,X,X,O,X,O,X
IJTZLOS,O,X,X,X,X,X,X,X
IJTZSLO,O,X,X,X,O,X,O,X
IJTZSOL,O,X,X,X,X,X,O,X
IJTZOLS,O,X,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,X,X,X
IJTOLSZ,X,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,O,X,X,X
IJTOSZL,X,X,X,X,O,X,X,X
IJTOZLS,O,X,X,X,O,X,X,X
IJTOZSL,O,X,X,X,O,X,X,X
IJLTSZO,X,X,X,O,O,X,X,X
IJLTSOZ,X,X,X,X,X,X,X,X
IJLTZSO,O,X,X,O,O,X,X,X
IJLTZOS,O,X,X,X,X,X,X,X
IJLTOSZ,X,X,X,O,X,X,X,X
IJLTOZS,O,X,X,O,X,X,X,X
IJLSTZO,X,X,X,O,O,X,X,X
IJLSTOZ,X,X,X,X,X,X,X,X
IJLSZTO,O,X,X,O,X,O,X,X
IJLSZOT,X,X,X,X,X,X,X,X
IJLSOTZ,X,X,X,X,X,X,X,X
IJLSOZT,X,X,X,X,X,O,X,X
IJLZTSO,O,X,X,O,X,O,X,X
IJLZTOS,O,X,X,X,X,X,X,X
IJLZSTO,O,X,X,O,X,O,X,X
IJLZSOT,X,X,X,X,X,X,X,X
IJLZOTS,X,X,X,X,X,O,X,X
IJLZOST,X,X,X,X,X,O,X,X
IJLOTSZ,X,X,X,O,X,X,X,X
IJLOTZS,X,X,X,O,X,X,X,X
IJLOSTZ,X,X,X,O,X,X,X,X
IJLOSZT,X,X,X,O,X,O,X,X
IJLOZTS,X,X,X,O,X,O,X,X
IJLOZST,X,X,X,O,X,O,X,X
IJSTLZO,X,X,X,X,O,X,O,X
IJSTLOZ,X,X,X,X,X,X,O,X
IJSTZLO,X,X,X,X,O,X,O,X
IJSTZOL,X,X,X,X,X,X,O,X
IJSTOLZ,X,X,X,X,O,X,O,X
IJSTOZL,X,X,X,X,O,X,O,X
IJSLTZO,X,X,X,O,O,X,O,X
IJSLTOZ,X,X,X,X,X,X,O,X
IJSLZTO,O,X,X,O,X,O,X,X
IJSLZOT,X,X,X,X,X,X,X,X
IJSLOTZ,X,X,X,X,X,X,O,X
IJSLOZT,X,X,X,X,X,O,X,X
IJSZTLO,O,X,X,O,X,O,X,X
IJSZTOL,O,X,X,O,X,X,X,X
IJSZLTO,O,X,X,O,X,O,X,X
IJSZLOT,X,X,X,X,X,X,X,X
IJSZOTL,X,X,X,X,X,X,X,X
IJSZOLT,X,X,X,X,X,X,X,X
IJSOTLZ,X,X,X,X,O,X,O,X
IJSOTZL,X,X,X,X,O,X,O,X
IJSOLTZ,X,X,X,X,O,X,O,X
IJSOLZT,X,X,X,X,X,O,X,X
IJSOZTL,X,X,X,X,X,O,X,X
IJSOZLT,X,X,X,X,X,O,X,X
IJZTLSO,O,X,X,X,X,O,X,X
IJZTLOS,O,X,X,X,X,X,X,X
IJZTSLO,O,X,X,O,X,O,X,X
IJZTSOL,O,X,X,O,X,X,X,X
IJZTOLS,O,X,X,X,X,X,X,X
IJZTOSL,O,X,X,X,X,X,X,X
IJZLTSO,O,X,X,O,X,O,X,X
IJZLTOS,O,X,X,X,X,X,X,X
IJZLSTO,O,X,X,O,X,O,X,X
IJZLSOT,X,X,X,X,X,X,X,X
IJZLOTS,X,X,X,X,X,O,X,X
IJZLOST,X,X,X,X,X,O,X,X
IJZSTLO,O,X,X,O,X,O,X,X
IJZSTOL,O,X,X,O,X,X,X,X
IJZSLTO,O,X,X,O,X,O,X,X
IJZSLOT,X,X,X,X,X,X,X,X
IJZSOTL,X,X,X,X,X,X,X,X
IJZSOLT,X,X,X,X,X,X,X,X
IJZOTLS,X,X,X,X,X,O,X,X
IJZOTSL,X,X,X,X,X,O,X,X
IJZOLTS,X,X,X,X,X,O,X,X
IJZOLST,X,X,X,X,X,O,X,X
IJZOSTL,X,X,X,X,X,O,X,X
IJZOSLT,X,X,X,X,X,O,X,X
IJOTLSZ,X,X,X,X,O,X,X,X
IJOTLZS,X,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,X,O,X,X,X
IJOTSZL,X,X,X,X,O,X,X,X
IJOTZLS,X,X,X,X,O,X,X,X
IJOTZSL,X,X,X,X,O,X,X,X
IJOLTSZ,X,X,X,O,O,X,X,X
IJOLTZS,X,X,X,O,O,X,X,X
IJOLSTZ,X,X,X,O,O,X,X,X
IJOLSZT,X,X,X,O,X,O,X,X
IJOLZTS,X,X,X,O,O,O,X,X
IJOLZST,X,X,X,O,X,O,X,X
IJOSTLZ,X,X,X,X,O,X,X,X
IJOSTZL,X,X,X,X,O,X,X,X
IJOSLTZ,X,X,X,O,O,X,X,X
IJOSLZT,X,X,X,O,X,O,X,X
IJOSZTL,X,X,X,O,X,O,X,X
IJOSZLT,X,X,X,O,X,O,X,X
IJOZTLS,X,X,X,X,O,O,X,X
IJOZTSL,X,X,X,O,O,O,X,X
IJOZLTS,X,X,X,O,O,O,X,X
IJOZLST,X,X,X,O,X,O,X,X
IJOZSTL,X,X,X,O,X,O,X,X
IJOZSLT,X,X,X,O,X,O,X,X
ISTLJZO,X,X,X,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X,X
ISTLZJO,X,X,O,X,X,X,X,X
ISTLZOJ,X,X,X,X,X,X,O,X
ISTLOJZ,X,O,X,X,X,X,X,X
ISTLOZJ,X,X,X,X,X,X,O,X
ISTJLZO,X,X,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,X,X,X,X
ISTJZLO,X,X,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X,X,X
ISTJOLZ,X,O,X,X,X,X,X,X
ISTJOZL,X,X,X,X,X,X,X,X
ISTZLJO,X,O,O,X,X,X,X,X
ISTZLOJ,X,O,X,X,X,X,O,X
ISTZJLO,X,X,O,X,X,X,X,O
ISTZJOL,X,O,O,X,X,X,X,O
ISTZOLJ,X,O,O,X,X,X,O,X
ISTZOJL,X,O,O,X,X,X,X,O
ISTOLJZ,X,O,X,X,X,X,X,X
ISTOLZJ,X,X,O,X,X,X,O,X
ISTOJLZ,X,O,X,X,X,X,X,X
ISTOJZL,X,X,X,X,X,X,X,X
ISTOZLJ,X,O,O,X,X,X,O,X
ISTOZJL,X,O,O,X,X,X,X,O
ISLTJZO,X,X,X,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X,X
ISLTZJO,X,X,X,X,X,X,X,X
