sequence,v115@HhA8IeB8GeC8BeF8Jex/IvhFmhBqnBTjBFlB0mB3qB,v115@HhA8IeB8GeC8BeF8Jel/IvhFRhB3iBcoBKqBzqBWxB,v115@HhA8IeB8GeC8BeF8Jex/IvhFihBunBcoBFlBzmB3qB,v115@HhA8IeB8GeC8BeF8Jex/IvhFThBenBCjB1qBXoBUqB,v115@HhA8IeB8GeC8BeF8JeRBJvhFCjBFlB8qBzmBXoBmpB
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,X,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,X,X,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,O,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,O,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,O,X
TSOJLZI,X,X,X,O,X
TSOJZIL,X,X,X,O,X
TSOJZLI,X,X,X,O,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,O,X,X,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,O,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,O,X,X,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,O,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,O,X,O,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,O,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,X,X,X,X
TZLIJOS,O,X,X,X,X
TZLISJO,X,X,X,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,O,X,X,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,O,X,X,X
TZLJIOS,O,X,X,X,X
TZLJSIO,X,O,X,X,X
TZLJSOI,X,O,X,X,X
TZLJOIS,O,O,X,X,X
TZLJOSI,O,O,X,X,X
TZLSIJO,X,O,X,X,X
TZLSIOJ,X,O,X,X,X
TZLSJIO,X,O,X,X,X
TZLSJOI,X,O,X,X,X
TZLSOIJ,X,O,X,X,X
TZLSOJI,X,O,X,X,X
TZLOIJS,O,O,X,X,X
TZLOISJ,X,O,X,X,X
TZLOJIS,O,O,X,X,X
TZLOJSI,O,O,X,X,X
TZLOSIJ,X,O,X,X,X
TZLOSJI,X,O,X,X,X
TZJILSO,X,X,X,X,X
TZJILOS,O,X,X,X,X
TZJISLO,X,O,X,X,X
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,O,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,X,O,X,X,X
TZJLIOS,O,X,X,X,X
TZJLSIO,X,O,X,X,X
TZJLSOI,X,O,X,X,X
TZJLOIS,O,O,X,X,X
TZJLOSI,O,O,X,X,X
TZJSILO,X,O,X,X,X
TZJSIOL,X,X,X,X,X
TZJSLIO,X,O,X,X,X
TZJSLOI,X,O,X,X,X
TZJSOIL,X,X,X,X,X
TZJSOLI,X,X,X,X,X
TZJOILS,X,X,O,X,X
TZJOISL,X,X,X,X,X
TZJOLIS,X,X,O,X,X
TZJOLSI,X,X,O,X,X
TZJOSIL,X,X,X,X,X
TZJOSLI,X,X,X,X,X
TZSILJO,X,O,X,X,X
TZSILOJ,X,O,X,X,X
TZSIJLO,X,O,X,X,X
TZSIJOL,X,X,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,X,X,X,X
TZSLIJO,X,O,X,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,X,O,X,X,X
TZSLJOI,X,O,X,X,X
TZSLOIJ,X,O,X,X,X
TZSLOJI,X,O,X,X,X
TZSJILO,X,O,X,X,X
TZSJIOL,X,X,X,X,X
TZSJLIO,X,O,X,X,X
TZSJLOI,X,O,X,X,X
TZSJOIL,X,X,X,X,X
TZSJOLI,X,X,X,X,X
TZSOILJ,X,X,X,X,X
TZSOIJL,X,X,X,X,X
TZSOLIJ,X,X,X,X,X
TZSOLJI,X,X,X,X,X
TZSOJIL,X,X,X,X,X
TZSOJLI,X,X,X,X,X
TZOILJS,O,X,O,X,X
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,O,X,X
TZOIJSL,X,X,X,X,X
TZOISLJ,X,X,X,X,X
TZOISJL,X,X,X,X,X
TZOLIJS,O,X,O,X,X
TZOLISJ,X,X,X,X,X
TZOLJIS,O,X,O,X,X
TZOLJSI,O,X,O,X,X
TZOLSIJ,X,X,X,X,X
TZOLSJI,X,X,X,X,X
TZOJILS,X,X,O,X,X
TZOJISL,X,X,X,X,X
TZOJLIS,X,X,O,X,X
TZOJLSI,X,X,O,X,X
TZOJSIL,X,X,X,X,X
TZOJSLI,X,X,X,X,X
TZOSILJ,X,X,X,X,X
TZOSIJL,X,X,X,X,X
TZOSLIJ,X,X,X,X,X
TZOSLJI,X,X,X,X,X
TZOSJIL,X,X,X,X,X
TZOSJLI,X,X,X,X,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,X,X,X,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,O,X,O,X,X
TOILZSJ,X,X,X,X,X
