sequence,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFFgB0hB?6nB3lBWvBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeOEJvhF0hB6nB?llBXlBzrBxuB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF1lB6mB?TiBUlBWvBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBFiB?6rBcsBGqBzpB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF6mBTiB?8pBuqBXsBFqB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF0hBllB?SsBzpBGqBXsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhFUgB6rB?TnB3lBWvBFsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBGqBzpBCsB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gB+nB?lmBCqBUqBzrB,v115@FhB8AeA8FeB8DeA8CeB8DeA8BeC8JeZEJvhF3gBlmB?csBupBTqBCsB
TIZSLOJ,X,X,O,X,X,O,X,X,X,O
TIZSJLO,X,O,X,X,O,X,X,O,X,X
TIZSJOL,X,X,X,X,O,X,X,O,X,O
TIZSOLJ,X,X,O,X,X,X,X,X,X,O
TIZSOJL,X,X,X,X,O,X,X,O,X,O
TIZOLJS,O,O,X,X,X,O,O,X,X,X
TIZOLSJ,O,O,X,X,X,O,X,X,X,O
TIZOJLS,O,O,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,O,X,O
TIZOSLJ,O,O,X,X,X,X,X,X,X,O
TIZOSJL,X,O,X,X,X,X,X,O,X,O
TIOLJSZ,O,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,X,X,O,O,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,X,X,X
TIOLSZJ,O,O,O,X,X,O,X,X,X,X
TIOLZJS,O,O,X,X,X,O,O,X,X,X
TIOLZSJ,O,O,X,X,X,O,X,X,X,X
TIOJLSZ,O,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,X,X,O,O,X,X,X
TIOJSLZ,O,O,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,X,X,O,O,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,X,O,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,O,X,X,X,O
TIOSZJL,O,O,X,X,X,X,X,X,X,O
TIOZLJS,O,O,X,X,X,O,O,X,X,X
TIOZLSJ,O,O,X,X,X,O,X,X,X,O
TIOZJLS,O,O,X,X,X,O,X,X,X,X
TIOZJSL,O,O,X,X,X,X,X,X,X,O
TIOZSLJ,O,O,X,X,X,O,X,X,X,O
TIOZSJL,O,O,X,X,X,X,X,X,X,O
TLIJSZO,O,O,O,O,X,X,X,X,O,X
TLIJSOZ,O,X,O,X,X,X,X,X,O,X
TLIJZSO,X,O,O,O,X,X,X,X,O,X
TLIJZOS,X,O,X,O,X,O,O,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X,O,X
TLIJOZS,X,O,X,X,X,X,O,X,X,X
TLISJZO,O,O,O,X,X,X,X,X,O,X
TLISJOZ,X,X,O,X,X,X,X,X,O,X
TLISZJO,O,O,X,O,X,X,X,X,X,X
TLISZOJ,O,X,O,O,X,O,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,X,X
TLIZJOS,X,O,X,O,X,O,X,X,X,X
TLIZSJO,X,O,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,O,O,X,O,X,X,X,X
TLIZOJS,X,O,X,O,X,O,O,X,X,X
TLIZOSJ,X,X,X,O,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,O,X,X,X,O,O,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X,X,X
TLIOSZJ,O,O,O,X,X,O,X,X,X,X
TLIOZJS,O,O,X,X,X,O,O,X,X,X
TLIOZSJ,O,O,X,X,X,O,X,X,X,X
TLJISZO,O,O,O,O,X,X,X,X,O,X
TLJISOZ,O,X,O,X,X,X,X,X,O,X
TLJIZSO,X,O,O,O,X,X,X,X,O,X
TLJIZOS,X,O,X,O,X,O,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X,O,X
TLJIOZS,X,O,X,X,X,X,O,X,X,X
TLJSIZO,O,X,O,O,X,X,X,X,O,X
TLJSIOZ,O,X,O,X,X,X,X,X,O,X
TLJSZIO,O,O,O,O,X,X,X,X,O,X
TLJSZOI,O,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,O,X
TLJSOZI,O,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,O,O,X,X,X,X,O,X
TLJZIOS,X,O,X,O,X,O,O,X,X,X
TLJZSIO,X,O,O,O,X,X,X,X,O,X
TLJZSOI,X,O,O,O,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,O,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X,O,X
TLJOIZS,X,O,X,X,X,X,O,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X,O,X
TLJOSZI,X,O,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,O,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X,O,X
TLSIJOZ,X,X,O,X,X,X,X,X,O,X
TLSIZJO,O,O,X,O,X,X,X,X,X,X
TLSIZOJ,O,X,O,O,X,O,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,X,X,X
TLSJIZO,O,X,O,O,X,X,X,X,O,X
TLSJIOZ,X,X,O,X,X,X,X,X,O,X
TLSJZIO,O,O,O,O,X,X,X,X,O,X
TLSJZOI,X,O,O,O,X,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X,O,X
TLSJOZI,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X,X,X
TLSZIOJ,O,X,O,O,X,O,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X,X,X
TLSZJOI,X,O,O,O,X,X,X,X,X,X
TLSZOIJ,O,X,O,O,X,X,X,X,X,X
TLSZOJI,X,X,O,O,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X,X,X,X
TLSOZJI,X,X,O,X,X,X,X,X,X,X
TLZIJSO,X,O,X,O,X,X,X,X,X,X
TLZIJOS,X,O,X,O,X,O,X,X,X,X
TLZISJO,X,O,X,O,X,X,X,X,X,X
TLZISOJ,X,X,O,O,X,O,X,X,X,X
TLZIOJS,X,O,X,O,X,O,O,X,X,X
TLZIOSJ,X,X,X,O,X,O,X,X,X,X
TLZJISO,X,O,O,O,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,O,X,X,X,X
TLZJSIO,X,O,O,O,X,X,X,X,X,X
TLZJSOI,X,O,O,O,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X,X,X,X,X
TLZJOSI,X,O,X,O,X,X,X,X,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,X,X,O,O,X,O,X,X,X,X
TLZSJIO,X,O,O,O,X,X,X,X,X,X
TLZSJOI,X,O,O,O,X,X,X,X,X,X
TLZSOIJ,X,X,O,O,X,X,X,X,X,X
TLZSOJI,X,X,O,O,X,X,X,X,X,X
TLZOIJS,X,O,X,O,X,O,O,X,X,X
TLZOISJ,X,X,X,O,X,O,X,X,X,X
TLZOJIS,X,X,X,O,X,O,X,X,X,X
TLZOJSI,X,O,X,O,X,X,X,X,X,X
TLZOSIJ,X,X,X,O,X,O,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,O,O,X,X,X
TLOISJZ,X,O,O,X,X,X,X,X,X,X
TLOISZJ,O,O,O,X,X,O,X,X,X,X
TLOIZJS,O,O,X,X,X,O,O,X,X,X
TLOIZSJ,O,O,X,X,X,O,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X,X,X,X
TLOJIZS,O,O,X,X,X,O,O,X,X,X
TLOJSIZ,X,X,O,X,X,X,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,X,X,O,O,X,X,X
TLOJZSI,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,X,O,O,X,X,X,X,X,X,X
TLOSIZJ,O,O,O,X,X,O,X,X,X,X
TLOSJIZ,X,X,O,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,X,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X,X,X,X
TLOZIJS,O,O,X,X,X,O,O,X,X,X
TLOZISJ,O,O,X,X,X,O,X,X,X,X
TLOZJIS,O,O,X,X,X,O,X,X,X,X
TLOZJSI,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,X,X,O,X,X,X,X
TLOZSJI,X,O,X,X,X,X,X,X,X,X
TJILSZO,O,O,O,O,O,X,X,X,O,X
TJILSOZ,O,X,O,X,O,X,X,X,O,X
TJILZSO,X,O,O,O,O,X,X,X,O,X
TJILZOS,X,O,X,O,X,O,O,X,X,X
TJILOSZ,O,O,O,X,X,X,X,X,O,X
TJILOZS,O,O,X,X,X,X,O,X,X,X
TJISLZO,O,O,O,O,O,X,X,X,O,X
TJISLOZ,O,X,O,X,O,X,X,X,O,X
TJISZLO,O,O,O,X,O,X,X,O,O,X
TJISZOL,O,X,O,X,O,X,X,O,X,X
TJISOLZ,O,O,O,X,O,X,X,X,O,X
TJISOZL,O,O,O,X,O,X,X,X,X,X
TJIZLSO,X,O,O,O,O,X,X,O,O,X
TJIZLOS,X,O,X,O,X,O,O,X,X,X
TJIZSLO,X,O,O,X,O,X,X,O,O,X
TJIZSOL,X,X,O,X,O,X,X,O,X,X
TJIZOLS,O,O,X,X,X,X,O,X,X,X
TJIZOSL,O,O,X,X,X,X,X,O,X,X
TJIOLSZ,O,O,O,X,X,X,X,X,O,X
TJIOLZS,O,O,X,X,X,X,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,X,X,O,X
TJIOSZL,O,O,O,X,X,X,X,X,X,X
TJIOZLS,O,O,X,X,X,X,O,X,X,X
TJIOZSL,O,O,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,O,X,X,X,O,X
TJLISOZ,O,X,O,X,O,X,X,X,O,X
TJLIZSO,X,O,O,O,O,X,X,X,O,X
TJLIZOS,X,O,X,O,X,O,O,X,X,X
TJLIOSZ,O,X,O,X,X,X,X,X,O,X
TJLIOZS,O,O,X,X,X,X,O,X,X,X
TJLSIZO,O,X,O,O,O,X,X,X,O,X
TJLSIOZ,O,X,O,X,O,X,X,X,O,X
TJLSZIO,O,O,O,O,X,X,X,X,O,X
TJLSZOI,O,O,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,O,X,O,X,X,X,O,X
TJLSOZI,O,X,O,X,X,X,X,X,X,X
TJLZISO,X,O,O,O,X,X,X,X,O,X
TJLZIOS,X,O,X,O,X,O,O,X,X,X
TJLZSIO,X,O,O,O,X,X,X,X,O,X
TJLZSOI,X,O,O,O,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X,O,X,X,X
TJLZOSI,X,O,X,O,X,X,X,X,X,X
TJLOISZ,O,X,O,X,X,X,X,X,O,X
TJLOIZS,O,O,X,X,X,X,O,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,O,X
TJLOSZI,O,O,O,X,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,X,O,X,X,X
TJLOZSI,O,O,X,X,X,X,X,X,X,X
TJSILZO,O,X,O,O,O,X,X,X,O,X
TJSILOZ,O,X,O,X,O,X,X,X,O,X
TJSIZLO,O,X,O,X,O,X,X,O,O,X
TJSIZOL,O,X,O,X,O,X,X,O,X,X
TJSIOLZ,O,X,O,X,O,X,X,X,O,X
TJSIOZL,O,X,O,X,O,X,X,X,X,X
TJSLIZO,O,X,O,O,O,X,X,X,O,X
TJSLIOZ,O,X,O,X,O,X,X,X,O,X
TJSLZIO,O,O,O,O,X,X,X,X,O,X
TJSLZOI,O,O,O,O,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,O,X,X,X,O,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X
TJSZILO,O,X,O,X,X,X,X,O,O,X
TJSZIOL,O,X,O,X,X,X,X,O,X,X
TJSZLIO,O,O,O,X,X,X,X,O,X,X
TJSZLOI,O,O,O,X,X,X,X,X,X,X
TJSZOIL,O,X,O,X,X,X,X,O,X,X
TJSZOLI,O,X,O,X,X,X,X,X,X,X
TJSOILZ,O,X,O,X,O,X,X,X,O,X
TJSOIZL,O,X,O,X,O,X,X,X,X,X
TJSOLIZ,O,X,O,X,O,X,X,X,X,X
TJSOLZI,O,O,O,X,X,X,X,X,X,X
TJSOZIL,O,X,O,X,X,X,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X,X,X
TJZILSO,X,O,O,O,X,X,X,O,O,X
TJZILOS,X,O,X,O,X,O,O,X,X,X
TJZISLO,X,O,O,X,X,X,X,O,O,X
TJZISOL,X,X,O,X,X,X,X,O,X,X
TJZIOLS,O,O,X,X,X,X,O,X,X,X
TJZIOSL,O,X,X,X,X,X,X,O,X,X
TJZLISO,X,O,O,O,X,X,X,O,O,X
TJZLIOS,X,O,X,O,X,O,O,X,X,X
TJZLSIO,X,O,O,O,X,X,X,O,O,X
TJZLSOI,X,O,O,O,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X,O,X,X,X
TJZLOSI,X,O,X,O,X,X,X,X,X,X
TJZSILO,X,X,O,X,X,X,X,O,O,X
TJZSIOL,X,X,O,X,X,X,X,O,X,X
TJZSLIO,X,O,O,X,X,X,X,O,X,X
TJZSLOI,X,O,O,X,X,X,X,X,X,X
TJZSOIL,X,X,O,X,X,X,X,O,X,X
TJZSOLI,X,X,O,X,X,X,X,X,X,X
TJZOILS,O,O,X,X,X,X,O,X,X,X
TJZOISL,O,X,X,X,X,X,X,O,X,X
TJZOLIS,O,O,X,X,X,X,O,X,X,X
TJZOLSI,O,O,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,O,X,X
TJZOSLI,O,O,X,X,X,X,X,X,X,X
TJOILSZ,O,O,O,X,X,X,X,X,O,X
TJOILZS,O,O,X,X,X,X,O,X,X,X
TJOISLZ,O,O,O,X,X,X,X,X,O,X
TJOISZL,O,O,O,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,X,X,O,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X,X,X
TJOLISZ,O,O,O,X,X,X,X,X,O,X
TJOLIZS,O,O,X,X,X,X,O,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,O,X
TJOLSZI,O,O,O,X,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,X,O,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X,X,X
TJOSILZ,O,X,O,X,X,X,X,X,O,X
TJOSIZL,O,X,O,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X
TJOSLZI,O,O,O,X,X,X,X,X,X,X
TJOSZIL,O,X,O,X,X,X,X,X,X,X
TJOSZLI,O,O,O,X,X,X,X,X,X,X
TJOZILS,O,O,X,X,X,X,O,X,X,X
TJOZISL,O,O,X,X,X,X,X,X,X,X
TJOZLIS,O,O,X,X,X,X,O,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X,X,X
TSILJZO,O,O,O,X,O,X,X,X,X,X
TSILJOZ,X,X,O,X,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X,X,X
TSILZOJ,O,X,O,X,X,O,X,X,X,X
TSILOJZ,O,X,O,X,O,X,X,X,X,X
TSILOZJ,O,X,O,X,X,X,X,X,X,X
TSIJLZO,O,O,O,X,O,X,X,X,X,X
TSIJLOZ,X,X,O,X,O,X,X,X,X,X
TSIJZLO,O,O,O,X,O,X,X,X,X,X
TSIJZOL,X,X,O,X,O,X,X,X,X,X
TSIJOLZ,O,O,O,X,O,X,X,X,X,X
TSIJOZL,O,O,O,X,O,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,O,X,X,O,X,X,X,X
TSIZJLO,O,O,X,X,O,X,X,X,X,X
TSIZJOL,X,X,X,X,O,X,X,X,X,X
TSIZOLJ,O,X,O,X,X,X,X,X,X,X
TSIZOJL,O,X,X,X,O,X,X,X,X,X
TSIOLJZ,O,O,O,X,O,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,O,X,X,X,X,X
TSIOJZL,O,O,O,X,O,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,O,X,X,X,X,X
TSLIJZO,O,O,O,X,O,X,X,X,X,X
TSLIJOZ,X,X,O,X,O,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,X,O,X,X,O,X,X,X,X
TSLIOJZ,O,X,O,X,O,X,X,X,X,X
TSLIOZJ,O,X,O,X,X,X,X,X,X,X
TSLJIZO,O,X,O,X,O,X,X,X,X,X
TSLJIOZ,X,X,O,X,O,X,X,X,X,X
TSLJZIO,O,O,O,X,X,X,X,X,X,X
TSLJZOI,X,O,O,X,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,O,X,X,X,X,X
TSLJOZI,X,X,O,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,X,O,X,X,O,X,X,X,X
TSLZJIO,O,O,O,X,X,X,X,X,X,X
TSLZJOI,X,O,O,X,X,X,X,X,X,X
TSLZOIJ,O,X,O,X,X,X,X,X,X,X
TSLZOJI,X,X,O,X,X,X,X,X,X,X
TSLOIJZ,O,X,O,X,O,X,X,X,X,X
TSLOIZJ,O,X,O,X,X,X,X,X,X,X
TSLOJIZ,O,X,O,X,O,X,X,X,X,X
TSLOJZI,O,X,O,X,X,X,X,X,X,X
TSLOZIJ,O,X,O,X,X,X,X,X,X,X
TSLOZJI,O,X,O,X,X,X,X,X,X,X
TSJILZO,O,X,O,X,O,X,X,X,X,X
TSJILOZ,X,X,O,X,O,X,X,X,X,X
TSJIZLO,O,X,O,X,O,X,X,X,X,X
TSJIZOL,X,X,O,X,O,X,X,X,X,X
TSJIOLZ,O,X,O,X,O,X,X,X,X,X
TSJIOZL,O,X,O,X,O,X,X,X,X,X
TSJLIZO,O,X,O,X,O,X,X,X,X,X
TSJLIOZ,X,X,O,X,O,X,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X,X,X,X
TSJLZOI,X,O,O,X,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,O,X,X,X,X,X
TSJLOZI,X,X,O,X,X,X,X,X,X,X
TSJZILO,O,X,O,X,X,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X,X,X,X
TSJZLOI,X,O,O,X,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X,X,X,X,X
TSJZOLI,X,X,O,X,X,X,X,X,X,X
TSJOILZ,O,X,O,X,O,X,X,X,X,X
TSJOIZL,O,X,O,X,O,X,X,X,X,X
TSJOLIZ,O,X,O,X,O,X,X,X,X,X
TSJOLZI,O,O,O,X,X,X,X,X,X,X
TSJOZIL,O,X,O,X,X,X,X,X,X,X
TSJOZLI,O,O,O,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X,X,X
TSZILOJ,O,X,O,X,X,O,X,X,X,X
TSZIJLO,O,O,X,X,O,X,X,X,X,X
TSZIJOL,X,X,X,X,O,X,X,X,X,X
TSZIOLJ,O,X,O,X,X,X,X,X,X,X
TSZIOJL,O,X,X,X,O,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,X,O,X,X,O,X,X,X,X
TSZLJIO,O,O,O,X,X,X,X,X,X,X
TSZLJOI,X,O,O,X,X,X,X,X,X,X
TSZLOIJ,O,X,O,X,X,X,X,X,X,X
TSZLOJI,X,X,O,X,X,X,X,X,X,X
TSZJILO,O,X,O,X,O,X,X,X,X,X
TSZJIOL,X,X,O,X,O,X,X,X,X,X
TSZJLIO,O,O,O,X,O,X,X,X,X,X
TSZJLOI,X,O,O,X,O,X,X,X,X,X
TSZJOIL,X,X,O,X,O,X,X,X,X,X
TSZJOLI,X,X,O,X,O,X,X,X,X,X
TSZOILJ,O,X,O,X,X,X,X,X,X,X
TSZOIJL,O,X,X,X,O,X,X,X,X,X
TSZOLIJ,O,X,O,X,X,X,X,X,X,X
TSZOLJI,O,X,O,X,X,X,X,X,X,X
TSZOJIL,O,X,O,X,O,X,X,X,X,X
TSZOJLI,O,X,O,X,O,X,X,X,X,X
