sequence,v115@GhA8IeA8BeB8AeA8CeD8DeC8Jem/IvhFfmB0hBliBT?kBysBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeOEJvhF8kBfmBlhBa?oBTnBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeKEJvhFzfBfmB0hBm?iB1sBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeKEJvhFzfBfmBlhBc?nBeoBRwB,v115@GhA8IeA8BeB8AeA8CeD8DeC8Jex/IvhFOmBVnBaoBT?kBXsB0qB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JeOEJvhF8kBRiBFmBy?sBXsBzqB,v115@GhA8IeA8BeB8AeA8CeD8DeC8JecGJvhFxkBmnBTkB3?nBlqBywB
TZOSJLI,X,O,X,X,X,X,X
TOILJSZ,O,X,X,X,X,X,X
TOILJZS,O,X,X,X,X,X,X
TOILSJZ,O,X,X,X,O,X,X
TOILSZJ,O,X,X,X,O,X,X
TOILZJS,O,X,X,X,X,X,X
TOILZSJ,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,X,X,X,X
TOIJLZS,O,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X,X
TOIJSZL,O,X,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,O,X,X
TOISLZJ,O,X,X,X,O,X,X
TOISJLZ,O,X,X,X,O,X,X
TOISJZL,O,X,X,X,O,X,X
TOISZLJ,O,X,X,X,O,X,X
TOISZJL,O,X,X,X,O,X,X
TOIZLJS,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X,X
TOIZJLS,X,X,X,X,X,X,X
TOIZJSL,X,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X,X
TOLIJSZ,O,X,O,X,X,X,X
TOLIJZS,X,X,X,X,X,X,X
TOLISJZ,O,X,O,X,O,X,X
TOLISZJ,O,X,O,X,O,X,X
TOLIZJS,X,X,X,X,X,X,X
TOLIZSJ,X,X,X,X,X,X,X
TOLJISZ,O,X,O,X,X,X,X
TOLJIZS,X,X,X,X,X,X,X
TOLJSIZ,O,X,O,X,X,X,X
TOLJSZI,O,X,O,X,X,X,X
TOLJZIS,X,X,X,X,X,X,X
TOLJZSI,O,X,O,X,X,X,X
TOLSIJZ,O,X,O,X,O,X,X
TOLSIZJ,O,O,O,X,O,X,X
TOLSJIZ,O,X,O,X,O,X,X
TOLSJZI,O,O,O,X,O,X,X
TOLSZIJ,O,O,O,X,O,X,X
TOLSZJI,O,O,O,X,O,X,X
TOLZIJS,X,X,X,X,X,X,X
TOLZISJ,X,X,X,X,X,X,X
TOLZJIS,X,X,X,X,X,X,X
TOLZJSI,O,O,O,X,X,O,X
TOLZSIJ,O,O,O,X,X,X,X
TOLZSJI,O,O,O,X,X,X,X
TOJILSZ,O,X,X,X,X,X,X
TOJILZS,O,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X,X
TOJISZL,O,X,X,X,X,X,X
TOJIZLS,X,X,X,X,X,X,X
TOJIZSL,X,X,X,X,X,X,X
TOJLISZ,O,X,O,X,X,X,X
TOJLIZS,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X
TOJLSZI,O,X,O,X,X,X,X
TOJLZIS,X,X,X,X,X,X,X
TOJLZSI,O,X,O,X,X,X,X
TOJSILZ,O,X,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,X,X,X
TOJSLZI,O,X,O,X,X,X,X
TOJSZIL,O,X,X,X,X,X,X
TOJSZLI,O,X,O,X,X,X,X
TOJZILS,X,X,X,X,X,X,X
TOJZISL,X,X,X,X,X,X,X
TOJZLIS,X,X,X,X,X,X,X
TOJZLSI,X,X,X,X,X,X,X
TOJZSIL,X,X,X,X,X,X,X
TOJZSLI,X,X,X,X,X,X,X
TOSILJZ,O,X,X,X,O,X,X
TOSILZJ,O,O,X,X,O,X,X
TOSIJLZ,O,X,X,X,O,X,X
TOSIJZL,O,X,X,X,O,X,X
TOSIZLJ,O,O,X,X,O,X,X
TOSIZJL,O,O,X,X,O,X,X
TOSLIJZ,O,X,O,X,O,X,X
TOSLIZJ,O,O,O,X,O,X,X
TOSLJIZ,O,X,O,X,O,X,X
TOSLJZI,O,O,O,X,O,X,X
TOSLZIJ,O,O,O,X,O,X,X
TOSLZJI,O,O,O,X,O,X,X
TOSJILZ,O,X,X,X,O,X,X
TOSJIZL,O,X,X,X,O,X,X
TOSJLIZ,O,X,O,X,O,X,X
TOSJLZI,O,O,O,X,O,X,X
TOSJZIL,O,O,X,X,O,X,X
TOSJZLI,O,O,O,X,O,X,X
TOSZILJ,X,O,X,X,O,X,X
TOSZIJL,O,O,X,X,O,X,X
TOSZLIJ,O,O,O,X,O,X,X
TOSZLJI,O,O,O,X,O,X,X
TOSZJIL,O,O,X,X,O,X,X
TOSZJLI,O,O,O,X,O,X,X
TOZILJS,X,X,X,X,X,X,X
TOZILSJ,X,X,X,X,X,X,X
TOZIJLS,X,X,X,X,X,X,X
TOZIJSL,X,X,X,X,X,X,X
TOZISLJ,X,X,X,X,X,X,X
TOZISJL,X,X,X,X,X,X,X
TOZLIJS,X,X,X,X,X,X,X
TOZLISJ,X,X,X,X,X,X,X
TOZLJIS,X,X,X,X,X,X,X
TOZLJSI,X,O,X,X,X,O,X
TOZLSIJ,X,O,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,X
TOZJILS,X,X,X,X,X,X,X
TOZJISL,X,X,X,X,X,X,X
TOZJLIS,X,X,X,X,X,X,X
TOZJLSI,X,O,X,X,X,O,X
TOZJSIL,X,O,X,X,X,X,X
TOZJSLI,X,O,X,X,X,X,X
TOZSILJ,X,O,X,X,X,X,X
TOZSIJL,X,O,X,X,X,X,X
TOZSLIJ,X,O,X,X,X,X,X
TOZSLJI,X,O,X,X,X,X,X
TOZSJIL,X,O,X,X,X,X,X
TOZSJLI,X,O,X,X,X,X,X
ITLJSZO,O,X,O,O,X,X,X
ITLJSOZ,O,X,O,O,X,X,X
ITLJZSO,O,X,O,O,X,X,X
ITLJZOS,X,X,O,O,X,X,X
ITLJOSZ,O,X,O,O,X,X,X
ITLJOZS,O,X,O,O,X,X,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,X,O,O,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,O,X,O,O,X,X,X
ITLSOZJ,O,O,O,X,X,X,X
ITLZJSO,O,O,O,X,X,O,X
ITLZJOS,X,X,O,X,X,X,X
ITLZSJO,O,O,O,X,X,X,X
ITLZSOJ,O,O,O,X,X,X,X
ITLZOJS,O,X,O,X,X,X,X
ITLZOSJ,O,X,O,X,X,X,X
ITLOJSZ,O,X,O,O,X,X,X
ITLOJZS,O,X,O,O,X,X,X
ITLOSJZ,O,X,O,O,X,X,X
ITLOSZJ,O,X,O,X,X,X,X
ITLOZJS,O,X,O,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X
ITJLSZO,O,X,O,O,X,X,X
ITJLSOZ,O,X,O,O,X,X,X
ITJLZSO,O,X,O,O,X,X,X
ITJLZOS,X,X,O,O,X,X,X
ITJLOSZ,O,X,O,O,X,X,X
ITJLOZS,X,X,O,O,X,X,X
ITJSLZO,O,X,O,O,X,X,X
ITJSLOZ,O,X,O,O,X,X,X
ITJSZLO,O,X,O,O,X,X,X
ITJSZOL,O,X,O,O,X,X,X
ITJSOLZ,X,X,O,X,X,X,X
ITJSOZL,X,X,O,X,X,X,X
ITJZLSO,X,X,O,O,X,X,X
ITJZLOS,X,X,O,O,X,X,X
ITJZSLO,X,X,O,O,X,X,X
ITJZSOL,X,X,O,O,X,X,O
ITJZOLS,X,X,X,X,X,X,X
ITJZOSL,X,X,X,X,X,X,O
ITJOLSZ,X,X,O,X,X,X,X
ITJOLZS,X,X,O,X,X,X,X
ITJOSLZ,X,X,O,X,X,X,X
ITJOSZL,X,X,O,X,X,X,X
ITJOZLS,X,X,X,X,X,X,X
ITJOZSL,X,X,X,X,X,X,X
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,X,O,O,X,X,X
ITSLZJO,O,O,O,X,X,X,X
ITSLZOJ,O,O,O,X,X,X,X
ITSLOJZ,O,O,O,O,X,X,X
ITSLOZJ,O,O,O,X,X,X,X
ITSJLZO,O,O,O,O,X,X,X
ITSJLOZ,O,X,O,O,X,X,X
ITSJZLO,O,O,O,O,X,X,X
ITSJZOL,O,O,O,O,X,X,X
ITSJOLZ,X,O,O,X,X,X,X
ITSJOZL,X,O,O,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X
ITSZOLJ,O,O,O,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X
ITSOLJZ,O,O,O,X,X,X,X
ITSOLZJ,O,O,O,X,X,X,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X
ITZLJSO,X,O,O,X,X,O,X
ITZLJOS,X,X,O,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X
ITZLOJS,X,X,O,X,X,X,X
ITZLOSJ,X,X,O,X,X,X,X
ITZJLSO,X,O,O,X,X,O,X
ITZJLOS,X,X,O,X,X,X,X
ITZJSLO,X,O,O,X,X,X,X
ITZJSOL,X,O,O,X,X,X,O
ITZJOLS,X,O,X,X,X,X,X
ITZJOSL,X,O,X,X,X,X,O
ITZSLJO,X,O,O,X,X,X,X
ITZSLOJ,X,O,O,X,X,X,X
ITZSJLO,X,O,O,X,X,X,X
ITZSJOL,X,O,O,X,X,X,X
ITZSOLJ,X,O,O,X,X,X,X
ITZSOJL,X,O,O,X,X,X,X
ITZOLJS,X,O,X,X,X,X,X
ITZOLSJ,X,O,X,X,X,X,X
ITZOJLS,X,O,X,X,X,X,X
ITZOJSL,X,O,X,X,X,X,X
ITZOSLJ,X,O,X,X,X,X,X
ITZOSJL,X,O,X,X,X,X,X
ITOLJSZ,O,X,O,X,X,X,X
ITOLJZS,O,X,O,X,X,X,X
ITOLSJZ,O,O,O,X,X,X,X
ITOLSZJ,O,O,O,X,X,X,X
ITOLZJS,O,O,O,X,X,X,X
ITOLZSJ,O,O,O,X,X,X,X
ITOJLSZ,O,X,O,X,X,X,X
ITOJLZS,O,X,O,X,X,X,X
ITOJSLZ,O,X,O,X,X,X,X
ITOJSZL,O,X,O,X,X,X,X
ITOJZLS,X,X,X,X,X,X,X
ITOJZSL,X,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,X,X,X
ITOSLZJ,O,O,O,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X
ITOZLJS,X,O,X,X,X,X,X
ITOZLSJ,X,O,X,X,X,X,X
ITOZJLS,X,O,X,X,X,X,X
ITOZJSL,X,O,X,X,X,X,X
ITOZSLJ,X,O,X,X,X,X,X
ITOZSJL,X,O,X,X,X,X,X
ILTJSZO,O,X,O,O,X,X,X
ILTJSOZ,O,X,O,O,X,X,X
ILTJZSO,O,X,O,O,X,X,X
ILTJZOS,X,X,O,O,X,X,X
ILTJOSZ,O,X,O,O,X,X,X
ILTJOZS,O,X,O,O,X,X,X
ILTSJZO,O,O,O,O,X,X,X
ILTSJOZ,O,X,O,O,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,O,X,O,O,X,X,X
ILTSOZJ,O,O,O,X,X,X,X
ILTZJSO,O,O,O,X,X,O,X
ILTZJOS,X,X,O,X,X,X,X
ILTZSJO,O,O,O,X,X,X,X
ILTZSOJ,O,O,O,X,X,X,X
ILTZOJS,O,X,O,X,X,X,X
ILTZOSJ,O,X,O,X,X,X,X
ILTOJSZ,O,X,O,O,X,X,X
ILTOJZS,O,X,O,O,X,X,X
ILTOSJZ,O,X,O,O,X,X,X
ILTOSZJ,O,X,O,X,X,X,X
ILTOZJS,O,X,O,X,X,X,X
ILTOZSJ,O,X,O,X,X,X,X
ILJTSZO,O,X,O,O,X,X,X
ILJTSOZ,O,X,O,O,X,X,X
ILJTZSO,O,X,O,O,X,X,X
ILJTZOS,X,X,O,O,X,X,X
ILJTOSZ,O,X,O,O,X,X,X
ILJTOZS,O,X,O,O,X,X,X
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,O,X,O,O,X,X,X
ILJSZTO,O,O,O,O,X,X,X
ILJSZOT,O,O,O,O,X,X,X
ILJSOTZ,O,X,O,O,X,X,X
ILJSOZT,O,X,O,O,X,X,X
ILJZTSO,O,O,X,O,X,X,X
ILJZTOS,X,X,X,O,X,X,X
ILJZSTO,O,O,X,O,X,X,X
ILJZSOT,O,O,X,O,X,X,O
ILJZOTS,X,X,X,O,X,X,X
ILJZOST,X,O,X,O,X,X,O
ILJOTSZ,O,X,O,O,X,X,X
ILJOTZS,O,X,O,O,X,X,X
ILJOSTZ,O,X,O,O,X,X,X
ILJOSZT,O,X,O,O,X,X,X
ILJOZTS,O,X,X,O,X,X,X
ILJOZST,O,X,X,O,X,X,X
ILSTJZO,O,O,O,O,X,X,X
ILSTJOZ,O,X,O,O,O,X,X
ILSTZJO,O,O,O,X,X,X,X
ILSTZOJ,O,O,O,X,X,X,X
ILSTOJZ,O,O,O,O,O,X,X
ILSTOZJ,O,O,O,X,O,X,X
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,X,O,O,X,X,X
ILSJZTO,O,O,O,O,X,X,X
ILSJZOT,O,O,O,O,X,X,X
ILSJOTZ,O,X,O,O,X,X,X
ILSJOZT,O,X,O,O,X,X,X
ILSZTJO,O,O,O,X,X,X,X
ILSZTOJ,O,O,O,X,X,X,X
ILSZJTO,O,O,O,O,X,X,X
ILSZJOT,O,O,O,O,X,X,X
ILSZOTJ,O,O,O,X,X,X,X
ILSZOJT,O,O,O,O,X,X,X
ILSOTJZ,O,O,O,O,O,X,X
ILSOTZJ,O,O,O,X,O,X,X
ILSOJTZ,O,O,O,O,O,X,X
ILSOJZT,O,O,O,O,X,X,X
ILSOZTJ,O,O,O,X,O,X,X
ILSOZJT,O,O,O,O,X,X,X
ILZTJSO,O,O,O,X,X,O,X
ILZTJOS,X,X,O,X,X,X,X
ILZTSJO,O,O,O,X,X,X,X
ILZTSOJ,O,O,O,X,X,X,X
ILZTOJS,O,X,O,X,X,X,X
ILZTOSJ,O,X,O,X,X,X,X
ILZJTSO,O,O,X,O,X,O,X
ILZJTOS,X,X,X,O,X,X,X
ILZJSTO,O,O,X,O,X,X,X
ILZJSOT,O,O,X,O,X,X,O
ILZJOTS,X,O,X,O,X,X,X
ILZJOST,X,O,X,O,X,X,O
ILZSTJO,O,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X,X
ILZSJTO,O,O,O,O,X,X,X
ILZSJOT,O,O,O,O,X,X,X
ILZSOTJ,O,O,O,X,X,X,X
ILZSOJT,O,O,O,O,X,X,X
ILZOTJS,O,O,O,X,X,X,X
ILZOTSJ,O,O,O,X,X,X,X
ILZOJTS,O,O,X,O,X,X,X
ILZOJST,O,O,X,O,X,X,X
ILZOSTJ,O,O,O,X,X,X,X
ILZOSJT,O,O,O,O,X,X,X
ILOTJSZ,O,X,O,O,X,X,X
ILOTJZS,O,X,O,O,X,X,X
ILOTSJZ,O,O,O,O,O,X,X
ILOTSZJ,O,O,O,X,O,X,X
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X
ILOJTSZ,O,X,O,O,X,X,X
ILOJTZS,O,X,O,O,X,X,X
ILOJSTZ,O,O,O,O,O,X,X
ILOJSZT,O,O,O,O,X,X,X
ILOJZTS,O,O,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X
ILOSTJZ,O,O,O,O,O,X,X
ILOSTZJ,O,O,O,X,O,X,X
ILOSJTZ,O,O,O,O,O,X,X
ILOSJZT,O,O,O,O,X,X,X
ILOSZTJ,O,O,O,X,O,X,X
ILOSZJT,O,O,O,O,X,X,X
ILOZTJS,O,O,O,X,X,X,X
ILOZTSJ,O,O,O,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X
ILOZJST,O,O,X,O,X,X,X
ILOZSTJ,O,O,O,X,O,X,X
ILOZSJT,O,O,O,O,X,X,X
IJTLSZO,O,X,O,O,X,X,X
IJTLSOZ,O,X,O,O,X,X,X
IJTLZSO,O,X,O,O,X,X,X
IJTLZOS,X,X,O,O,X,X,X
IJTLOSZ,O,X,O,O,X,X,X
IJTLOZS,X,X,O,O,X,X,X
IJTSLZO,O,X,O,O,X,X,X
IJTSLOZ,O,X,O,O,X,X,X
IJTSZLO,O,X,O,O,X,X,X
IJTSZOL,O,X,O,O,X,X,X
IJTSOLZ,X,X,O,X,X,X,X
IJTSOZL,X,X,O,X,X,X,X
IJTZLSO,X,X,O,O,X,X,X
IJTZLOS,X,X,O,O,X,X,X
IJTZSLO,X,X,O,O,X,X,X
IJTZSOL,X,X,O,O,X,X,O
IJTZOLS,X,X,X,X,X,X,X
IJTZOSL,X,X,X,X,X,X,O
IJTOLSZ,X,X,O,X,X,X,X
IJTOLZS,X,X,O,X,X,X,X
IJTOSLZ,X,X,O,X,X,X,X
IJTOSZL,X,X,O,X,X,X,X
IJTOZLS,X,X,X,X,X,X,X
IJTOZSL,X,X,X,X,X,X,X
IJLTSZO,O,X,O,O,X,X,X
IJLTSOZ,O,X,O,O,X,X,X
IJLTZSO,O,X,O,O,X,X,X
IJLTZOS,X,X,O,O,X,X,X
IJLTOSZ,O,X,O,O,X,X,X
IJLTOZS,O,X,O,O,X,X,X
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,O,X,O,O,X,X,X
IJLSZTO,O,O,O,O,X,X,X
IJLSZOT,O,O,O,O,X,X,X
IJLSOTZ,O,X,O,O,X,X,X
IJLSOZT,O,X,O,O,X,X,X
IJLZTSO,O,O,X,O,X,X,X
IJLZTOS,X,X,X,O,X,X,X
IJLZSTO,O,O,X,O,X,X,X
IJLZSOT,O,O,X,O,X,X,O
IJLZOTS,X,X,X,O,X,X,X
IJLZOST,X,O,X,O,X,X,O
IJLOTSZ,O,X,O,O,X,X,X
IJLOTZS,O,X,O,O,X,X,X
IJLOSTZ,O,X,O,O,X,X,X
IJLOSZT,O,X,O,O,X,X,X
IJLOZTS,O,X,X,O,X,X,X
IJLOZST,O,X,X,O,X,X,X
IJSTLZO,O,O,O,O,X,X,X
IJSTLOZ,O,X,O,O,X,X,X
IJSTZLO,O,O,O,O,X,X,X
IJSTZOL,O,O,O,O,X,X,X
IJSTOLZ,X,O,O,X,X,X,X
IJSTOZL,X,O,O,X,X,X,X
IJSLTZO,O,O,O,O,X,X,X
IJSLTOZ,O,X,O,O,X,X,X
IJSLZTO,O,O,O,O,X,X,X
IJSLZOT,O,O,O,O,X,X,X
IJSLOTZ,O,X,O,O,X,X,X
IJSLOZT,O,X,O,O,X,X,X
IJSZTLO,O,O,O,O,X,X,X
IJSZTOL,O,O,O,O,X,X,O
IJSZLTO,O,O,O,O,X,X,X
IJSZLOT,O,O,O,O,X,X,O
IJSZOTL,O,O,X,O,X,X,O
IJSZOLT,O,O,X,O,X,X,O
IJSOTLZ,O,O,X,X,X,X,X
IJSOTZL,O,O,X,X,X,X,X
IJSOLTZ,O,O,X,O,X,X,X
IJSOLZT,O,O,X,O,X,X,X
IJSOZTL,O,O,X,O,X,X,X
IJSOZLT,O,O,X,O,X,X,X
IJZTLSO,X,O,X,O,X,X,X
IJZTLOS,X,X,X,O,X,X,X
IJZTSLO,X,O,X,O,X,X,X
IJZTSOL,X,O,X,O,X,X,O
IJZTOLS,X,O,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,O
IJZLTSO,O,O,X,O,X,X,X
IJZLTOS,X,X,X,O,X,X,X
IJZLSTO,O,O,X,O,X,X,X
IJZLSOT,O,O,X,O,X,X,O
IJZLOTS,X,O,X,O,X,X,X
IJZLOST,X,O,X,O,X,X,O
IJZSTLO,O,O,X,O,X,X,X
IJZSTOL,O,O,X,O,X,X,O
IJZSLTO,O,O,X,O,X,X,X
IJZSLOT,O,O,X,O,X,X,O
IJZSOTL,O,O,X,O,X,X,O
IJZSOLT,O,O,X,O,X,X,O
IJZOTLS,X,O,X,X,X,X,X
IJZOTSL,X,O,X,X,X,X,O
IJZOLTS,X,O,X,O,X,X,X
IJZOLST,X,O,X,O,X,X,O
IJZOSTL,X,O,X,O,X,X,O
IJZOSLT,X,O,X,O,X,X,O
IJOTLSZ,O,X,X,X,X,X,X
IJOTLZS,O,X,X,X,X,X,X
IJOTSLZ,O,X,X,X,X,X,X
IJOTSZL,O,X,X,X,X,X,X
IJOTZLS,X,X,X,X,X,X,X
IJOTZSL,X,X,X,X,X,X,X
IJOLTSZ,O,X,X,O,X,X,X
IJOLTZS,O,X,X,O,X,X,X
IJOLSTZ,O,O,X,O,X,X,X
IJOLSZT,O,O,X,O,X,X,X
IJOLZTS,O,O,X,O,X,X,X
IJOLZST,O,O,X,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X
IJOSTZL,O,O,X,X,X,X,X
IJOSLTZ,O,O,X,O,X,X,X
IJOSLZT,O,O,X,O,X,X,X
IJOSZTL,O,O,X,O,X,X,X
IJOSZLT,O,O,X,O,X,X,X
IJOZTLS,X,O,X,X,X,X,X
IJOZTSL,X,O,X,X,X,X,O
IJOZLTS,O,O,X,O,X,X,X
IJOZLST,O,O,X,O,X,X,O
IJOZSTL,O,O,X,O,X,X,O
IJOZSLT,O,O,X,O,X,X,O
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,X,O,O,O,X,X
ISTLZJO,O,O,O,X,X,X,X
ISTLZOJ,O,O,O,X,X,X,X
ISTLOJZ,O,O,O,O,O,X,X
ISTLOZJ,O,O,O,X,O,X,X
ISTJLZO,O,O,O,O,X,X,X
ISTJLOZ,O,X,O,O,O,X,X
ISTJZLO,O,O,O,O,X,X,X
ISTJZOL,O,O,O,O,X,X,X
ISTJOLZ,X,O,O,X,O,X,X
ISTJOZL,X,O,O,X,O,X,X
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X
ISTZOLJ,O,O,O,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X
ISTOLJZ,O,O,O,X,O,X,X
ISTOLZJ,O,O,O,X,O,X,X
ISTOJLZ,O,O,O,X,O,X,X
ISTOJZL,O,O,O,X,O,X,X
ISTOZLJ,O,O,O,X,O,X,X
ISTOZJL,O,O,O,X,O,X,X
ISLTJZO,O,O,O,O,X,X,X
ISLTJOZ,O,X,O,O,O,X,X
ISLTZJO,O,O,O,X,X,X,X
ISLTZOJ,O,O,O,X,X,X,X
ISLTOJZ,O,O,O,O,O,X,X
ISLTOZJ,O,O,O,X,O,X,X
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,X,O,O,X,X,X
ISLJZTO,O,O,O,O,X,X,X
ISLJZOT,O,O,O,O,X,X,X
ISLJOTZ,O,X,O,O,X,X,X
ISLJOZT,O,X,O,O,X,X,X
ISLZTJO,O,O,O,X,X,X,X
ISLZTOJ,O,O,O,X,X,X,X
ISLZJTO,O,O,O,O,X,X,X
ISLZJOT,O,O,O,O,X,X,X
ISLZOTJ,O,O,O,X,X,X,X
ISLZOJT,O,O,O,O,X,X,X
ISLOTJZ,O,O,O,O,O,X,X
ISLOTZJ,O,O,O,X,O,X,X
ISLOJTZ,O,O,O,O,O,X,X
ISLOJZT,O,O,O,O,X,X,X
ISLOZTJ,O,O,O,X,O,X,X
ISLOZJT,O,O,O,O,X,X,X
ISJTLZO,O,O,O,O,X,X,X
ISJTLOZ,O,X,O,O,X,X,X
ISJTZLO,O,O,O,O,X,X,X
ISJTZOL,O,O,O,O,X,X,X
ISJTOLZ,X,O,O,X,X,X,X
ISJTOZL,X,O,O,X,X,X,X
ISJLTZO,O,O,O,O,X,X,X
ISJLTOZ,O,X,O,O,X,X,X
ISJLZTO,O,O,O,O,X,X,X
ISJLZOT,O,O,O,O,X,X,X
ISJLOTZ,O,X,O,O,X,X,X
ISJLOZT,O,X,O,O,X,X,X
ISJZTLO,O,O,O,O,X,X,X
ISJZTOL,O,O,O,O,X,X,O
ISJZLTO,O,O,O,O,X,X,X
ISJZLOT,O,O,O,O,X,X,O
ISJZOTL,O,O,X,O,X,X,O
ISJZOLT,O,O,X,O,X,X,O
ISJOTLZ,O,O,X,X,X,X,X
ISJOTZL,O,O,X,X,X,X,X
ISJOLTZ,O,O,X,O,X,X,X
ISJOLZT,O,O,X,O,X,X,X
ISJOZTL,O,O,X,O,X,X,X
ISJOZLT,O,O,X,O,X,X,X
ISZTLJO,O,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X,X
ISZTJLO,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X
ISZTOLJ,O,O,O,X,X,X,X
ISZTOJL,O,O,O,X,X,X,X
ISZLTJO,O,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X,X
ISZLJTO,O,O,O,O,X,X,X
ISZLJOT,O,O,O,O,X,X,X
ISZLOTJ,O,O,O,X,X,X,X
ISZLOJT,O,O,O,O,X,X,X
ISZJTLO,O,O,O,O,X,X,X
ISZJTOL,O,O,O,O,X,X,O
ISZJLTO,O,O,O,O,X,X,X
ISZJLOT,O,O,O,O,X,X,O
ISZJOTL,O,O,X,O,X,X,O
ISZJOLT,O,O,X,O,X,X,O
ISZOTLJ,O,O,O,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,X
ISZOLJT,O,O,O,X,X,X,X
ISZOJTL,O,O,X,X,X,X,X
ISZOJLT,O,O,X,X,X,X,X
ISOTLJZ,O,O,O,X,O,X,X
ISOTLZJ,O,O,O,X,O,X,X
ISOTJLZ,O,O,O,X,O,X,X
ISOTJZL,O,O,O,X,O,X,X
ISOTZLJ,O,O,O,X,O,X,X
ISOTZJL,O,O,O,X,O,X,X
ISOLTJZ,O,O,O,O,O,X,X
ISOLTZJ,O,O,O,X,O,X,X
ISOLJTZ,O,O,O,O,O,X,X
ISOLJZT,O,O,O,O,X,X,X
ISOLZTJ,O,O,O,X,O,X,X
ISOLZJT,O,O,O,O,X,X,X
ISOJTLZ,O,O,X,X,O,X,X
ISOJTZL,O,O,X,X,O,X,X
ISOJLTZ,O,O,X,O,O,X,X
ISOJLZT,O,O,X,O,X,X,X
ISOJZTL,O,O,X,O,X,X,X
ISOJZLT,O,O,X,O,X,X,X
ISOZTLJ,O,O,O,X,O,X,X
ISOZTJL,O,O,O,X,O,X,X
ISOZLTJ,O,O,O,X,O,X,X
ISOZLJT,O,O,O,X,X,X,X
ISOZJTL,O,O,X,X,X,X,X
ISOZJLT,O,O,X,X,X,X,X
IZTLJSO,X,O,O,X,X,O,X
IZTLJOS,X,X,O,X,X,X,X
IZTLSJO,X,O,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,X
IZTLOJS,X,X,O,X,X,X,X
IZTLOSJ,X,X,O,X,X,X,X
IZTJLSO,X,O,O,X,X,O,X
IZTJLOS,X,X,O,X,X,X,X
IZTJSLO,X,O,O,X,X,X,X
IZTJSOL,X,O,O,X,X,X,O
