sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
LTJSOZI,X,O,O,O,O
LTJZISO,X,X,O,O,X
LTJZIOS,X,X,O,O,X
LTJZSIO,X,O,O,O,O
LTJZSOI,X,O,O,O,O
LTJZOIS,X,X,O,O,X
LTJZOSI,X,O,O,O,O
LTJOISZ,X,O,X,X,O
LTJOIZS,X,X,O,O,X
LTJOSIZ,X,O,X,X,O
LTJOSZI,X,O,O,O,O
LTJOZIS,X,X,O,O,X
LTJOZSI,X,O,O,O,O
LTSIJZO,X,O,X,X,O
LTSIJOZ,X,O,X,X,O
LTSIZJO,O,O,X,X,X
LTSIZOJ,O,O,X,X,X
LTSIOJZ,X,O,X,X,O
LTSIOZJ,O,O,X,X,X
LTSJIZO,X,O,X,X,O
LTSJIOZ,X,O,X,X,O
LTSJZIO,X,O,X,O,O
LTSJZOI,X,O,X,O,O
LTSJOIZ,X,O,X,X,O
LTSJOZI,X,O,X,O,O
LTSZIJO,O,O,X,O,X
LTSZIOJ,O,O,X,O,X
LTSZJIO,O,O,X,O,X
LTSZJOI,O,O,X,O,X
LTSZOIJ,O,O,X,O,X
LTSZOJI,O,O,X,O,X
LTSOIJZ,X,O,X,X,O
LTSOIZJ,O,O,X,X,X
LTSOJIZ,X,O,X,X,O
LTSOJZI,X,O,X,O,O
LTSOZIJ,O,O,X,O,X
LTSOZJI,O,O,X,O,X
LTZIJSO,X,X,O,O,X
LTZIJOS,X,X,O,O,X
LTZISJO,O,X,X,O,X
LTZISOJ,O,X,X,O,X
LTZIOJS,X,X,O,O,X
LTZIOSJ,O,X,X,O,X
LTZJISO,X,X,O,O,X
LTZJIOS,X,X,O,O,X
LTZJSIO,X,O,O,O,X
LTZJSOI,X,O,O,O,X
LTZJOIS,X,X,O,O,X
LTZJOSI,X,O,O,O,X
LTZSIJO,O,O,X,O,X
LTZSIOJ,O,O,X,O,X
LTZSJIO,O,O,X,O,X
LTZSJOI,O,O,X,O,X
LTZSOIJ,O,O,X,O,X
LTZSOJI,O,O,X,O,X
LTZOIJS,X,X,O,O,X
LTZOISJ,O,X,X,O,X
LTZOJIS,X,X,O,O,X
LTZOJSI,X,O,O,O,X
LTZOSIJ,O,O,X,O,X
LTZOSJI,O,O,X,O,X
LTOIJSZ,X,O,X,X,X
LTOIJZS,X,X,X,O,X
LTOISJZ,X,O,X,X,X
LTOISZJ,O,O,X,X,X
LTOIZJS,X,X,X,O,X
LTOIZSJ,O,X,X,O,X
LTOJISZ,X,O,X,X,O
LTOJIZS,X,X,O,O,X
LTOJSIZ,X,O,X,X,O
LTOJSZI,X,O,O,O,O
LTOJZIS,X,X,O,O,X
LTOJZSI,X,O,O,O,O
LTOSIJZ,X,O,X,X,O
LTOSIZJ,O,O,X,X,X
LTOSJIZ,X,O,X,X,O
LTOSJZI,X,O,X,O,O
LTOSZIJ,O,O,X,O,X
LTOSZJI,O,O,X,O,X
LTOZIJS,X,X,O,O,X
LTOZISJ,O,X,X,O,X
LTOZJIS,X,X,O,O,X
LTOZJSI,X,O,O,O,X
LTOZSIJ,O,O,X,O,X
LTOZSJI,O,O,X,O,X
LITJSZO,X,O,X,X,X
LITJSOZ,X,O,X,X,X
LITJZSO,X,X,X,O,X
LITJZOS,X,X,X,O,X
LITJOSZ,X,O,X,X,X
LITJOZS,X,X,X,O,X
LITSJZO,X,O,X,X,X
LITSJOZ,X,O,X,X,X
LITSZJO,O,O,X,X,X
LITSZOJ,O,O,X,X,X
LITSOJZ,X,O,X,X,X
LITSOZJ,O,O,X,X,X
LITZJSO,X,X,X,O,X
LITZJOS,X,X,X,O,X
LITZSJO,O,X,X,O,X
LITZSOJ,O,X,X,O,X
LITZOJS,X,X,X,O,X
LITZOSJ,O,X,X,O,X
LITOJSZ,X,O,X,X,X
LITOJZS,X,X,X,O,X
LITOSJZ,X,O,X,X,X
LITOSZJ,O,O,X,X,X
LITOZJS,X,X,X,O,X
LITOZSJ,O,X,X,O,X
LIJTSZO,X,O,X,X,X
LIJTSOZ,X,O,X,X,X
LIJTZSO,X,X,X,O,X
LIJTZOS,X,X,X,O,X
LIJTOSZ,X,O,X,X,X
LIJTOZS,X,X,X,O,X
LIJSTZO,X,O,X,X,X
LIJSTOZ,X,O,X,X,X
LIJSZTO,O,X,X,X,X
LIJSZOT,O,O,X,X,X
LIJSOTZ,X,O,X,X,X
LIJSOZT,O,O,X,X,X
LIJZTSO,X,X,X,O,X
LIJZTOS,X,X,X,O,X
LIJZSTO,O,X,X,X,X
LIJZSOT,O,X,X,X,X
LIJZOTS,X,X,X,O,X
LIJZOST,O,X,X,X,X
LIJOTSZ,X,O,X,X,X
LIJOTZS,X,X,X,O,X
LIJOSTZ,X,O,X,X,X
LIJOSZT,O,O,X,X,X
LIJOZTS,X,X,X,O,X
LIJOZST,O,X,X,X,X
LISTJZO,X,O,X,X,X
LISTJOZ,X,O,X,X,X
LISTZJO,O,O,X,X,X
LISTZOJ,O,O,X,X,X
LISTOJZ,X,O,X,X,X
LISTOZJ,O,O,X,X,X
LISJTZO,X,O,X,X,X
LISJTOZ,X,O,X,X,X
LISJZTO,O,X,X,X,X
LISJZOT,O,O,X,X,X
LISJOTZ,X,O,X,X,X
LISJOZT,O,O,X,X,X
LISZTJO,O,X,X,X,X
LISZTOJ,O,X,X,X,X
LISZJTO,O,X,X,X,X
LISZJOT,O,O,X,X,X
LISZOTJ,O,X,X,X,X
LISZOJT,O,O,X,X,X
LISOTJZ,X,O,X,X,X
LISOTZJ,O,O,X,X,X
LISOJTZ,X,O,X,X,X
LISOJZT,O,O,X,X,X
LISOZTJ,O,X,X,X,X
LISOZJT,O,O,X,X,X
LIZTJSO,X,X,X,O,X
LIZTJOS,X,X,X,O,X
LIZTSJO,O,X,X,O,X
LIZTSOJ,O,X,X,O,X
LIZTOJS,X,X,X,O,X
LIZTOSJ,O,X,X,O,X
LIZJTSO,X,X,X,O,X
LIZJTOS,X,X,X,O,X
LIZJSTO,O,X,X,X,X
LIZJSOT,O,X,X,X,X
LIZJOTS,X,X,X,O,X
LIZJOST,O,X,X,X,X
LIZSTJO,O,X,X,X,X
LIZSTOJ,O,X,X,X,X
LIZSJTO,O,X,X,X,X
LIZSJOT,O,X,X,X,X
LIZSOTJ,O,X,X,X,X
LIZSOJT,O,X,X,X,X
LIZOTJS,X,X,X,O,X
LIZOTSJ,O,X,X,O,X
LIZOJTS,X,X,X,O,X
LIZOJST,O,X,X,X,X
LIZOSTJ,O,X,X,X,X
LIZOSJT,O,X,X,X,X
LIOTJSZ,X,O,X,X,X
LIOTJZS,X,X,X,O,X
LIOTSJZ,X,O,X,X,X
LIOTSZJ,O,O,X,X,X
LIOTZJS,X,X,X,O,X
LIOTZSJ,O,X,X,O,X
LIOJTSZ,X,O,X,X,X
LIOJTZS,X,X,X,O,X
LIOJSTZ,X,O,X,X,X
LIOJSZT,O,O,X,X,X
LIOJZTS,X,X,X,O,X
LIOJZST,O,X,X,X,X
LIOSTJZ,X,O,X,X,X
LIOSTZJ,O,O,X,X,X
LIOSJTZ,X,O,X,X,X
LIOSJZT,O,O,X,X,X
LIOSZTJ,O,X,X,X,X
LIOSZJT,O,O,X,X,X
LIOZTJS,X,X,X,O,X
LIOZTSJ,O,X,X,O,X
LIOZJTS,X,X,X,O,X
LIOZJST,O,X,X,X,X
LIOZSTJ,O,X,X,X,X
LIOZSJT,O,X,X,X,X
LJTISZO,X,O,X,X,O
LJTISOZ,X,O,X,X,O
LJTIZSO,X,X,O,O,X
LJTIZOS,X,X,O,O,X
LJTIOSZ,X,O,X,X,O
LJTIOZS,X,X,O,O,X
LJTSIZO,X,O,X,X,O
LJTSIOZ,X,O,X,X,O
LJTSZIO,X,O,O,O,O
LJTSZOI,X,O,O,O,O
LJTSOIZ,X,O,X,X,O
LJTSOZI,X,O,O,O,O
LJTZISO,X,X,O,O,X
LJTZIOS,X,X,O,O,X
LJTZSIO,X,O,O,O,O
LJTZSOI,X,O,O,O,O
LJTZOIS,X,X,O,O,X
LJTZOSI,X,O,O,O,O
LJTOISZ,X,O,X,X,O
LJTOIZS,X,X,O,O,X
LJTOSIZ,X,O,X,X,O
LJTOSZI,X,O,O,O,O
LJTOZIS,X,X,O,O,X
LJTOZSI,X,O,O,O,O
LJITSZO,X,O,X,X,O
LJITSOZ,X,O,X,X,O
LJITZSO,X,X,O,O,X
LJITZOS,X,X,O,O,X
LJITOSZ,X,O,X,X,O
LJITOZS,X,X,O,O,X
LJISTZO,X,O,X,X,O
LJISTOZ,X,O,X,X,O
LJISZTO,O,X,X,X,X
LJISZOT,O,O,X,X,X
LJISOTZ,X,O,X,X,O
LJISOZT,O,O,X,X,X
LJIZTSO,X,X,O,O,X
LJIZTOS,X,X,O,O,X
LJIZSTO,O,X,X,X,X
LJIZSOT,O,X,O,X,X
LJIZOTS,X,X,O,O,X
LJIZOST,O,X,O,X,X
LJIOTSZ,X,O,X,X,O
LJIOTZS,X,X,O,O,X
LJIOSTZ,X,O,X,X,O
LJIOSZT,O,O,X,X,X
LJIOZTS,X,X,O,O,X
LJIOZST,O,X,O,X,X
LJSTIZO,X,O,X,X,O
LJSTIOZ,X,O,X,X,O
LJSTZIO,X,O,O,O,O
LJSTZOI,X,O,O,O,O
LJSTOIZ,X,O,X,X,O
LJSTOZI,X,O,O,O,O
LJSITZO,X,O,X,X,O
LJSITOZ,X,O,X,X,O
LJSIZTO,O,X,X,X,X
LJSIZOT,O,O,X,X,X
LJSIOTZ,X,O,X,X,O
LJSIOZT,O,O,X,X,X
LJSZTIO,O,O,O,O,O
LJSZTOI,O,O,O,O,O
LJSZITO,O,X,X,X,X
LJSZIOT,O,O,O,X,X
LJSZOTI,O,O,O,O,O
LJSZOIT,O,O,O,X,X
LJSOTIZ,X,O,X,X,O
LJSOTZI,X,O,O,O,O
LJSOITZ,X,O,X,X,O
LJSOIZT,O,O,X,X,X
LJSOZTI,O,O,O,O,O
LJSOZIT,O,O,O,X,X
LJZTISO,X,X,O,O,X
LJZTIOS,X,X,O,O,X
LJZTSIO,X,O,O,O,O
LJZTSOI,X,O,O,O,O
LJZTOIS,X,X,O,O,X
LJZTOSI,X,O,O,O,O
LJZITSO,X,X,O,O,X
LJZITOS,X,X,O,O,X
LJZISTO,O,X,X,X,X
LJZISOT,O,X,O,X,X
LJZIOTS,X,X,O,O,X
LJZIOST,O,X,O,X,X
LJZSTIO,O,O,O,O,O
LJZSTOI,O,O,O,O,O
LJZSITO,O,X,X,X,X
LJZSIOT,O,O,O,X,X
LJZSOTI,O,O,O,O,O
LJZSOIT,O,O,O,X,X
LJZOTIS,X,X,O,O,X
LJZOTSI,X,O,O,O,O
LJZOITS,X,X,O,O,X
LJZOIST,O,X,O,X,X
LJZOSTI,O,O,O,O,O
LJZOSIT,O,O,O,X,X
LJOTISZ,X,O,X,X,O
LJOTIZS,X,X,O,O,X
LJOTSIZ,X,O,X,X,O
LJOTSZI,X,O,O,O,O
LJOTZIS,X,X,O,O,X
LJOTZSI,X,O,O,O,O
LJOITSZ,X,O,X,X,O
LJOITZS,X,X,O,O,X
LJOISTZ,X,O,X,X,O
LJOISZT,O,O,X,X,X
LJOIZTS,X,X,O,O,X
LJOIZST,O,X,O,X,X
LJOSTIZ,X,O,X,X,O
LJOSTZI,X,O,O,O,O
LJOSITZ,X,O,X,X,O
LJOSIZT,O,O,X,X,X
LJOSZTI,O,O,O,O,O
LJOSZIT,O,O,O,X,X
LJOZTIS,X,X,O,O,X
LJOZTSI,X,O,O,O,O
LJOZITS,X,X,O,O,X
LJOZIST,O,X,O,X,X
LJOZSTI,O,O,O,O,O
LJOZSIT,O,O,O,X,X
LSTIJZO,X,O,X,X,O
LSTIJOZ,X,O,X,X,O
LSTIZJO,O,O,X,X,X
LSTIZOJ,O,O,X,X,X
LSTIOJZ,X,O,X,X,O
LSTIOZJ,O,O,X,X,X
LSTJIZO,X,O,X,X,O
LSTJIOZ,X,O,X,X,O
LSTJZIO,X,O,X,O,O
LSTJZOI,X,O,X,O,O
LSTJOIZ,X,O,X,X,O
LSTJOZI,X,O,X,O,O
LSTZIJO,O,O,X,O,X
LSTZIOJ,O,O,X,O,X
LSTZJIO,O,O,X,O,X
LSTZJOI,O,O,X,O,X
LSTZOIJ,O,O,X,O,X
LSTZOJI,O,O,X,O,X
LSTOIJZ,X,O,X,X,O
LSTOIZJ,O,O,X,X,X
LSTOJIZ,X,O,X,X,O
LSTOJZI,X,O,X,O,O
LSTOZIJ,O,O,X,O,X
LSTOZJI,O,O,X,O,X
LSITJZO,X,O,X,X,X
LSITJOZ,X,O,X,X,X
LSITZJO,O,O,X,X,X
LSITZOJ,O,O,X,X,X
LSITOJZ,X,O,X,X,X
LSITOZJ,O,O,X,X,X
LSIJTZO,X,O,X,X,X
LSIJTOZ,X,O,X,X,X
LSIJZTO,O,X,X,X,X
LSIJZOT,O,O,X,X,X
LSIJOTZ,X,O,X,X,X
LSIJOZT,O,O,X,X,X
LSIZTJO,O,X,X,X,X
LSIZTOJ,O,X,X,X,X
LSIZJTO,O,X,X,X,X
LSIZJOT,O,O,X,X,X
LSIZOTJ,O,X,X,X,X
LSIZOJT,O,O,X,X,X
LSIOTJZ,X,O,X,X,X
LSIOTZJ,O,O,X,X,X
LSIOJTZ,X,O,X,X,X
LSIOJZT,O,O,X,X,X
LSIOZTJ,O,X,X,X,X
LSIOZJT,O,O,X,X,X
LSJTIZO,X,O,X,X,O
LSJTIOZ,X,O,X,X,O
LSJTZIO,X,O,X,O,O
LSJTZOI,X,O,X,O,O
LSJTOIZ,X,O,X,X,O
LSJTOZI,X,O,X,O,O
LSJITZO,X,O,X,X,O
LSJITOZ,X,O,X,X,O
LSJIZTO,O,X,X,X,X
LSJIZOT,O,O,X,X,X
LSJIOTZ,X,O,X,X,O
LSJIOZT,O,O,X,X,X
LSJZTIO,O,O,X,O,O
LSJZTOI,O,O,X,O,O
LSJZITO,O,X,X,X,X
LSJZIOT,O,O,X,X,X
LSJZOTI,O,O,X,O,O
LSJZOIT,O,O,X,X,X
LSJOTIZ,X,O,X,X,O
LSJOTZI,X,O,X,O,O
LSJOITZ,X,O,X,X,O
LSJOIZT,O,O,X,X,X
LSJOZTI,O,O,X,O,O
LSJOZIT,O,O,X,X,X
LSZTIJO,O,O,X,O,X
LSZTIOJ,O,O,X,O,X
LSZTJIO,O,O,X,O,X
LSZTJOI,O,O,X,O,X
LSZTOIJ,O,O,X,O,X
LSZTOJI,O,O,X,O,X
LSZITJO,O,X,X,X,X
LSZITOJ,O,X,X,X,X
LSZIJTO,O,X,X,X,X
LSZIJOT,O,O,X,X,X
LSZIOTJ,O,X,X,X,X
LSZIOJT,O,O,X,X,X
LSZJTIO,O,O,X,O,X
LSZJTOI,O,O,X,O,X
LSZJITO,O,X,X,X,X
LSZJIOT,O,O,X,X,X
LSZJOTI,O,O,X,O,X
LSZJOIT,O,O,X,X,X
LSZOTIJ,O,O,X,O,X
LSZOTJI,O,O,X,O,X
LSZOITJ,O,X,X,X,X
LSZOIJT,O,O,X,X,X
LSZOJTI,O,O,X,O,X
LSZOJIT,O,O,X,X,X
LSOTIJZ,X,O,X,X,O
LSOTIZJ,O,O,X,X,X
LSOTJIZ,X,O,X,X,O
LSOTJZI,X,O,X,O,O
LSOTZIJ,O,O,X,O,X
LSOTZJI,O,O,X,O,X
LSOITJZ,X,O,X,X,X
LSOITZJ,O,O,X,X,X
LSOIJTZ,X,O,X,X,X
LSOIJZT,O,O,X,X,X
LSOIZTJ,O,X,X,X,X
LSOIZJT,O,O,X,X,X
LSOJTIZ,X,O,X,X,O
LSOJTZI,X,O,X,O,O
LSOJITZ,X,O,X,X,O
LSOJIZT,O,O,X,X,X
LSOJZTI,O,O,X,O,O
LSOJZIT,O,O,X,X,X
LSOZTIJ,O,O,X,O,X
LSOZTJI,O,O,X,O,X
LSOZITJ,O,X,X,X,X
LSOZIJT,O,O,X,X,X
LSOZJTI,O,O,X,O,X
LSOZJIT,O,O,X,X,X
LZTIJSO,X,X,O,O,X
LZTIJOS,X,X,O,O,X
LZTISJO,O,X,X,O,X
LZTISOJ,O,X,X,O,X
LZTIOJS,X,X,O,O,X
LZTIOSJ,O,X,X,O,X
LZTJISO,X,X,O,O,X
LZTJIOS,X,X,O,O,X
LZTJSIO,X,O,O,O,X
LZTJSOI,X,O,O,O,X
LZTJOIS,X,X,O,O,X
LZTJOSI,X,O,O,O,X
LZTSIJO,O,O,X,O,X
LZTSIOJ,O,O,X,O,X
LZTSJIO,O,O,X,O,X
LZTSJOI,O,O,X,O,X
LZTSOIJ,O,O,X,O,X
LZTSOJI,O,O,X,O,X
LZTOIJS,X,X,O,O,X
LZTOISJ,O,X,X,O,X
LZTOJIS,X,X,O,O,X
LZTOJSI,X,O,O,O,X
LZTOSIJ,O,O,X,O,X
LZTOSJI,O,O,X,O,X
LZITJSO,X,X,X,O,X
LZITJOS,X,X,X,O,X
LZITSJO,O,X,X,O,X
LZITSOJ,O,X,X,O,X
LZITOJS,X,X,X,O,X
LZITOSJ,O,X,X,O,X
LZIJTSO,X,X,X,O,X
LZIJTOS,X,X,O,O,X
LZIJSTO,O,X,X,X,X
LZIJSOT,O,X,O,X,X
LZIJOTS,X,X,O,O,X
LZIJOST,O,X,O,X,X
LZISTJO,O,X,X,X,X
LZISTOJ,O,X,X,X,X
LZISJTO,O,X,X,X,X
LZISJOT,O,X,X,X,X
LZISOTJ,O,X,X,X,X
LZISOJT,O,X,X,X,X
LZIOTJS,X,X,X,O,X
LZIOTSJ,O,X,X,O,X
LZIOJTS,X,X,O,O,X
LZIOJST,O,X,O,X,X
LZIOSTJ,O,X,X,X,X
LZIOSJT,O,X,X,X,X
LZJTISO,X,X,O,O,X
LZJTIOS,X,X,O,O,X
LZJTSIO,X,O,O,O,X
LZJTSOI,X,O,O,O,X
LZJTOIS,X,X,O,O,X
LZJTOSI,X,O,O,O,X
LZJITSO,X,X,O,O,X
LZJITOS,X,X,O,O,X
LZJISTO,O,X,X,X,X
LZJISOT,O,X,O,X,X
LZJIOTS,X,X,O,O,X
LZJIOST,O,X,O,X,X
LZJSTIO,O,O,O,O,X
LZJSTOI,O,O,O,O,X
LZJSITO,O,X,X,X,X
LZJSIOT,O,O,O,X,X
LZJSOTI,O,O,O,O,X
LZJSOIT,O,O,O,X,X
LZJOTIS,X,X,O,O,X
LZJOTSI,X,O,O,O,X
LZJOITS,X,X,O,O,X
LZJOIST,O,X,O,X,X
LZJOSTI,O,O,O,O,X
LZJOSIT,O,O,O,X,X
LZSTIJO,O,O,X,O,X
LZSTIOJ,O,O,X,O,X
LZSTJIO,O,O,X,O,X
LZSTJOI,O,O,X,O,X
LZSTOIJ,O,O,X,O,X
LZSTOJI,O,O,X,O,X
LZSITJO,O,X,X,X,X
LZSITOJ,O,X,X,X,X
LZSIJTO,O,X,X,X,X
LZSIJOT,O,O,X,X,X
LZSIOTJ,O,X,X,X,X
LZSIOJT,O,O,X,X,X
LZSJTIO,O,O,X,O,X
LZSJTOI,O,O,X,O,X
LZSJITO,O,X,X,X,X
LZSJIOT,O,O,X,X,X
LZSJOTI,O,O,X,O,X
LZSJOIT,O,O,X,X,X
LZSOTIJ,O,O,X,O,X
LZSOTJI,O,O,X,O,X
LZSOITJ,O,X,X,X,X
LZSOIJT,O,O,X,X,X
LZSOJTI,O,O,X,O,X
LZSOJIT,O,O,X,X,X
LZOTIJS,X,X,O,O,X
LZOTISJ,O,X,X,O,X
LZOTJIS,X,X,O,O,X
LZOTJSI,X,O,O,O,X
LZOTSIJ,O,O,X,O,X
LZOTSJI,O,O,X,O,X
LZOITJS,X,X,X,O,X
LZOITSJ,O,X,X,O,X
LZOIJTS,X,X,O,O,X
LZOIJST,O,X,O,X,X
LZOISTJ,O,X,X,X,X
LZOISJT,O,X,X,X,X
LZOJTIS,X,X,O,O,X
LZOJTSI,X,O,O,O,X
LZOJITS,X,X,O,O,X
LZOJIST,O,X,O,X,X
LZOJSTI,O,O,O,O,X
LZOJSIT,O,O,O,X,X
LZOSTIJ,O,O,X,O,X
LZOSTJI,O,O,X,O,X
LZOSITJ,O,X,X,X,X
LZOSIJT,O,O,X,X,X
LZOSJTI,O,O,X,O,X
LZOSJIT,O,O,X,X,X
LOTIJSZ,X,O,X,X,X
LOTIJZS,X,X,X,O,X
LOTISJZ,X,O,X,X,X
LOTISZJ,O,O,X,X,X
LOTIZJS,X,X,X,O,X
LOTIZSJ,O,X,X,O,X
LOTJISZ,X,O,X,X,O
LOTJIZS,X,X,O,O,X
LOTJSIZ,X,O,X,X,O
LOTJSZI,X,O,O,O,O
LOTJZIS,X,X,O,O,X
LOTJZSI,X,O,O,O,O
LOTSIJZ,X,O,X,X,O
LOTSIZJ,O,O,X,X,X
LOTSJIZ,X,O,X,X,O
LOTSJZI,X,O,X,O,O
LOTSZIJ,O,O,X,O,X
LOTSZJI,O,O,X,O,X
LOTZIJS,X,X,O,O,X
LOTZISJ,O,X,X,O,X
LOTZJIS,X,X,O,O,X
LOTZJSI,X,O,O,O,X
LOTZSIJ,O,O,X,O,X
LOTZSJI,O,O,X,O,X
LOITJSZ,X,O,X,X,X
LOITJZS,X,X,X,O,X
LOITSJZ,X,O,X,X,X
LOITSZJ,O,O,X,X,X
LOITZJS,X,X,X,O,X
LOITZSJ,O,X,X,O,X
LOIJTSZ,X,O,X,X,X
LOIJTZS,X,X,X,O,X
LOIJSTZ,X,O,X,X,X
LOIJSZT,O,O,X,X,X
LOIJZTS,X,X,X,O,X
LOIJZST,O,X,X,X,X
LOISTJZ,X,O,X,X,X
LOISTZJ,O,O,X,X,X
LOISJTZ,X,O,X,X,X
LOISJZT,O,O,X,X,X
LOISZTJ,O,X,X,X,X
LOISZJT,O,O,X,X,X
LOIZTJS,X,X,X,O,X
LOIZTSJ,O,X,X,O,X
LOIZJTS,X,X,X,O,X
LOIZJST,O,X,X,X,X
LOIZSTJ,O,X,X,X,X
LOIZSJT,O,X,X,X,X
LOJTISZ,X,O,X,X,O
LOJTIZS,X,X,O,O,X
LOJTSIZ,X,O,X,X,O
LOJTSZI,X,O,O,O,O
LOJTZIS,X,X,O,O,X
LOJTZSI,X,O,O,O,O
LOJITSZ,X,O,X,X,O
LOJITZS,X,X,O,O,X
LOJISTZ,X,O,X,X,O
LOJISZT,O,O,X,X,X
LOJIZTS,X,X,O,O,X
LOJIZST,O,X,O,X,X
LOJSTIZ,X,O,X,X,O
LOJSTZI,X,O,O,O,O
LOJSITZ,X,O,X,X,O
LOJSIZT,O,O,X,X,X
LOJSZTI,O,O,O,O,O
LOJSZIT,O,O,O,X,X
LOJZTIS,X,X,O,O,X
LOJZTSI,X,O,O,O,O
LOJZITS,X,X,O,O,X
LOJZIST,O,X,O,X,X
LOJZSTI,O,O,O,O,O
LOJZSIT,O,O,O,X,X
LOSTIJZ,X,O,X,X,O
LOSTIZJ,O,O,X,X,X
LOSTJIZ,X,O,X,X,O
LOSTJZI,X,O,X,O,O
LOSTZIJ,O,O,X,O,X
LOSTZJI,O,O,X,O,X
LOSITJZ,X,O,X,X,X
LOSITZJ,O,O,X,X,X
LOSIJTZ,X,O,X,X,X
LOSIJZT,O,O,X,X,X
LOSIZTJ,O,X,X,X,X
LOSIZJT,O,O,X,X,X
LOSJTIZ,X,O,X,X,O
LOSJTZI,X,O,X,O,O
LOSJITZ,X,O,X,X,O
LOSJIZT,O,O,X,X,X
LOSJZTI,O,O,X,O,O
LOSJZIT,O,O,X,X,X
LOSZTIJ,O,O,X,O,X
LOSZTJI,O,O,X,O,X
LOSZITJ,O,X,X,X,X
LOSZIJT,O,O,X,X,X
LOSZJTI,O,O,X,O,X
LOSZJIT,O,O,X,X,X
LOZTIJS,X,X,O,O,X
LOZTISJ,O,X,X,O,X
LOZTJIS,X,X,O,O,X
LOZTJSI,X,O,O,O,X
LOZTSIJ,O,O,X,O,X
LOZTSJI,O,O,X,O,X
LOZITJS,X,X,X,O,X
LOZITSJ,O,X,X,O,X
LOZIJTS,X,X,O,O,X
LOZIJST,O,X,O,X,X
LOZISTJ,O,X,X,X,X
LOZISJT,O,X,X,X,X
LOZJTIS,X,X,O,O,X
LOZJTSI,X,O,O,O,X
LOZJITS,X,X,O,O,X
LOZJIST,O,X,O,X,X
LOZJSTI,O,O,O,O,X
LOZJSIT,O,O,O,X,X
LOZSTIJ,O,O,X,O,X
LOZSTJI,O,O,X,O,X
LOZSITJ,O,X,X,X,X
LOZSIJT,O,O,X,X,X
LOZSJTI,O,O,X,O,X
LOZSJIT,O,O,X,X,X
JTILSZO,X,X,X,X,O
JTILSOZ,X,X,X,X,O
JTILZSO,X,X,O,X,X
JTILZOS,X,X,O,X,X
JTILOSZ,X,X,X,X,O
JTILOZS,X,X,O,X,X
JTISLZO,X,X,X,X,O
JTISLOZ,X,X,X,X,O
JTISZLO,X,X,X,X,O
JTISZOL,X,X,X,X,O
JTISOLZ,X,X,X,X,O
JTISOZL,X,X,X,X,O
JTIZLSO,X,X,O,X,X
JTIZLOS,X,X,O,X,X
JTIZSLO,X,X,O,X,X
JTIZSOL,X,X,O,X,X
JTIZOLS,X,X,O,X,X
JTIZOSL,X,X,O,X,X
JTIOLSZ,X,X,X,X,O
JTIOLZS,X,X,O,X,X
JTIOSLZ,X,X,X,X,O
JTIOSZL,X,X,X,X,O
JTIOZLS,X,X,O,X,X
JTIOZSL,X,X,O,X,X
JTLISZO,X,O,X,X,O
JTLISOZ,X,O,X,X,O
JTLIZSO,X,X,O,O,X
JTLIZOS,X,X,O,O,X
JTLIOSZ,X,O,X,X,O
JTLIOZS,X,X,O,O,X
JTLSIZO,X,O,X,X,O
JTLSIOZ,X,O,X,X,O
JTLSZIO,X,O,O,O,O
JTLSZOI,X,O,O,O,O
JTLSOIZ,X,O,X,X,O
JTLSOZI,X,O,O,O,O
JTLZISO,X,X,O,O,X
JTLZIOS,X,X,O,O,X
JTLZSIO,X,O,O,O,O
JTLZSOI,X,O,O,O,O
JTLZOIS,X,X,O,O,X
JTLZOSI,X,O,O,O,O
JTLOISZ,X,O,X,X,O
JTLOIZS,X,X,O,O,X
JTLOSIZ,X,O,X,X,O
JTLOSZI,X,O,O,O,O
JTLOZIS,X,X,O,O,X
JTLOZSI,X,O,O,O,O
JTSILZO,X,O,X,X,O
JTSILOZ,X,O,X,X,O
JTSIZLO,X,X,X,X,O
JTSIZOL,X,X,X,X,O
JTSIOLZ,X,O,X,X,O
JTSIOZL,X,X,X,X,O
JTSLIZO,X,O,X,X,O
JTSLIOZ,X,O,X,X,O
JTSLZIO,X,O,O,X,O
JTSLZOI,X,O,O,X,O
JTSLOIZ,X,O,X,X,O
JTSLOZI,X,O,O,X,O
JTSZILO,X,X,O,X,O
JTSZIOL,X,X,O,X,O
JTSZLIO,X,X,O,X,O
JTSZLOI,X,X,O,X,O
JTSZOIL,X,X,O,X,O
JTSZOLI,X,X,O,X,O
JTSOILZ,X,O,X,X,O
JTSOIZL,X,X,X,X,O
JTSOLIZ,X,O,X,X,O
JTSOLZI,X,O,O,X,O
JTSOZIL,X,X,O,X,O
JTSOZLI,X,X,O,X,O
JTZILSO,X,X,O,O,X
JTZILOS,X,X,O,O,X
JTZISLO,X,X,O,X,X
JTZISOL,X,X,O,X,X
JTZIOLS,X,X,O,O,X
JTZIOSL,X,X,O,X,X
JTZLISO,X,X,O,O,X
