sequence,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBFhB8mB5nB6tBOtB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBGjBlmBCtBUtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBCjBllBGtBXtB,v115@RhC8AeA8AeA8CeG8MeT/IvhFxgB8mBWoBllBXoBSyB,v115@RhC8AeA8AeA8CeG8MeT/IvhF/lBRhBSoBlmBUoBWyB
TJILOSZ,X,X,X,X,O
TJILOZS,X,X,O,X,X
TJISLZO,X,X,X,X,O
TJISLOZ,X,X,X,X,O
TJISZLO,X,X,X,X,O
TJISZOL,X,X,X,X,O
TJISOLZ,X,X,X,X,O
TJISOZL,X,X,X,X,O
TJIZLSO,X,X,O,X,X
TJIZLOS,X,X,O,X,X
TJIZSLO,X,X,O,X,X
TJIZSOL,X,X,O,X,X
TJIZOLS,X,X,O,X,X
TJIZOSL,X,X,O,X,X
TJIOLSZ,X,X,X,X,O
TJIOLZS,X,X,O,X,X
TJIOSLZ,X,X,X,X,O
TJIOSZL,X,X,X,X,O
TJIOZLS,X,X,O,X,X
TJIOZSL,X,X,O,X,X
TJLISZO,X,O,X,X,O
TJLISOZ,X,O,X,X,O
TJLIZSO,X,X,O,O,X
TJLIZOS,X,X,O,O,X
TJLIOSZ,X,O,X,X,O
TJLIOZS,X,X,O,O,X
TJLSIZO,X,O,X,X,O
TJLSIOZ,X,O,X,X,O
TJLSZIO,X,O,O,O,O
TJLSZOI,X,O,O,O,O
TJLSOIZ,X,O,X,X,O
TJLSOZI,X,O,O,O,O
TJLZISO,X,X,O,O,X
TJLZIOS,X,X,O,O,X
TJLZSIO,X,O,O,O,O
TJLZSOI,X,O,O,O,O
TJLZOIS,X,X,O,O,X
TJLZOSI,X,O,O,O,O
TJLOISZ,X,O,X,X,O
TJLOIZS,X,X,O,O,X
TJLOSIZ,X,O,X,X,O
TJLOSZI,X,O,O,O,O
TJLOZIS,X,X,O,O,X
TJLOZSI,X,O,O,O,O
TJSILZO,X,O,X,X,O
TJSILOZ,X,O,X,X,O
TJSIZLO,X,X,X,X,O
TJSIZOL,X,X,X,X,O
TJSIOLZ,X,O,X,X,O
TJSIOZL,X,X,X,X,O
TJSLIZO,X,O,X,X,O
TJSLIOZ,X,O,X,X,O
TJSLZIO,X,O,O,X,O
TJSLZOI,X,O,O,X,O
TJSLOIZ,X,O,X,X,O
TJSLOZI,X,O,O,X,O
TJSZILO,X,X,O,X,O
TJSZIOL,X,X,O,X,O
TJSZLIO,X,X,O,X,O
TJSZLOI,X,X,O,X,O
TJSZOIL,X,X,O,X,O
TJSZOLI,X,X,O,X,O
TJSOILZ,X,O,X,X,O
TJSOIZL,X,X,X,X,O
TJSOLIZ,X,O,X,X,O
TJSOLZI,X,O,O,X,O
TJSOZIL,X,X,O,X,O
TJSOZLI,X,X,O,X,O
TJZILSO,X,X,O,O,X
TJZILOS,X,X,O,O,X
TJZISLO,X,X,O,X,X
TJZISOL,X,X,O,X,X
TJZIOLS,X,X,O,O,X
TJZIOSL,X,X,O,X,X
TJZLISO,X,X,O,O,X
TJZLIOS,X,X,O,O,X
TJZLSIO,X,X,O,O,O
TJZLSOI,X,X,O,O,O
TJZLOIS,X,X,O,O,X
TJZLOSI,X,X,O,O,O
TJZSILO,X,X,O,X,O
TJZSIOL,X,X,O,X,O
TJZSLIO,X,X,O,X,O
TJZSLOI,X,X,O,X,O
TJZSOIL,X,X,O,X,O
TJZSOLI,X,X,O,X,O
TJZOILS,X,X,O,O,X
TJZOISL,X,X,O,X,X
TJZOLIS,X,X,O,O,X
TJZOLSI,X,X,O,O,O
TJZOSIL,X,X,O,X,O
TJZOSLI,X,X,O,X,O
TJOILSZ,X,X,X,X,O
TJOILZS,X,X,O,X,X
TJOISLZ,X,X,X,X,O
TJOISZL,X,X,X,X,O
TJOIZLS,X,X,O,X,X
TJOIZSL,X,X,O,X,X
TJOLISZ,X,O,X,X,O
TJOLIZS,X,X,O,O,X
TJOLSIZ,X,O,X,X,O
TJOLSZI,X,O,O,O,O
TJOLZIS,X,X,O,O,X
TJOLZSI,X,O,O,O,O
TJOSILZ,X,O,X,X,O
TJOSIZL,X,X,X,X,O
TJOSLIZ,X,O,X,X,O
TJOSLZI,X,O,O,X,O
TJOSZIL,X,X,O,X,O
TJOSZLI,X,X,O,X,O
TJOZILS,X,X,O,O,X
TJOZISL,X,X,O,X,X
TJOZLIS,X,X,O,O,X
TJOZLSI,X,X,O,O,O
TJOZSIL,X,X,O,X,O
TJOZSLI,X,X,O,X,O
TSILJZO,X,O,X,X,O
TSILJOZ,X,O,X,X,O
TSILZJO,O,O,X,X,X
TSILZOJ,O,O,X,X,X
TSILOJZ,X,O,X,X,O
TSILOZJ,O,O,X,X,X
TSIJLZO,X,O,X,X,O
TSIJLOZ,X,O,X,X,O
TSIJZLO,X,X,X,X,O
TSIJZOL,X,X,X,X,O
TSIJOLZ,X,O,X,X,O
TSIJOZL,X,X,X,X,O
TSIZLJO,O,O,X,X,X
TSIZLOJ,O,O,X,X,X
TSIZJLO,O,X,X,X,O
TSIZJOL,O,X,X,X,O
TSIZOLJ,O,O,X,X,X
TSIZOJL,O,X,X,X,O
TSIOLJZ,X,O,X,X,O
TSIOLZJ,O,O,X,X,X
TSIOJLZ,X,O,X,X,O
TSIOJZL,X,X,X,X,O
TSIOZLJ,O,O,X,X,X
TSIOZJL,O,X,X,X,O
TSLIJZO,X,O,X,X,O
TSLIJOZ,X,O,X,X,O
TSLIZJO,O,O,X,X,X
TSLIZOJ,O,O,X,X,X
TSLIOJZ,X,O,X,X,O
TSLIOZJ,O,O,X,X,X
TSLJIZO,X,O,X,X,O
TSLJIOZ,X,O,X,X,O
TSLJZIO,X,O,X,O,O
TSLJZOI,X,O,X,O,O
TSLJOIZ,X,O,X,X,O
TSLJOZI,X,O,X,O,O
TSLZIJO,O,O,X,O,X
TSLZIOJ,O,O,X,O,X
TSLZJIO,O,O,X,O,X
TSLZJOI,O,O,X,O,X
TSLZOIJ,O,O,X,O,X
TSLZOJI,O,O,X,O,X
TSLOIJZ,X,O,X,X,O
TSLOIZJ,O,O,X,X,X
TSLOJIZ,X,O,X,X,O
TSLOJZI,X,O,X,O,O
TSLOZIJ,O,O,X,O,X
TSLOZJI,O,O,X,O,X
TSJILZO,X,O,X,X,O
TSJILOZ,X,O,X,X,O
TSJIZLO,X,X,X,X,O
TSJIZOL,X,X,X,X,O
TSJIOLZ,X,O,X,X,O
TSJIOZL,X,X,X,X,O
TSJLIZO,X,O,X,X,O
TSJLIOZ,X,O,X,X,O
TSJLZIO,X,O,O,X,O
TSJLZOI,X,O,O,X,O
TSJLOIZ,X,O,X,X,O
TSJLOZI,X,O,O,X,O
TSJZILO,X,X,O,X,O
TSJZIOL,X,X,O,X,O
TSJZLIO,X,X,O,X,O
TSJZLOI,X,X,O,X,O
TSJZOIL,X,X,O,X,O
TSJZOLI,X,X,O,X,O
TSJOILZ,X,O,X,X,O
TSJOIZL,X,X,X,X,O
TSJOLIZ,X,O,X,X,O
TSJOLZI,X,O,O,X,O
TSJOZIL,X,X,O,X,O
TSJOZLI,X,X,O,X,O
TSZILJO,O,O,X,O,X
TSZILOJ,O,O,X,O,X
TSZIJLO,O,X,O,X,O
TSZIJOL,O,X,O,X,O
TSZIOLJ,O,O,X,O,X
TSZIOJL,O,X,O,X,O
TSZLIJO,O,O,X,O,X
TSZLIOJ,O,O,X,O,X
TSZLJIO,O,O,X,O,X
TSZLJOI,O,O,X,O,X
TSZLOIJ,O,O,X,O,X
TSZLOJI,O,O,X,O,X
TSZJILO,O,X,O,X,O
TSZJIOL,O,X,O,X,O
TSZJLIO,O,X,O,X,O
TSZJLOI,O,X,O,X,O
TSZJOIL,O,X,O,X,O
TSZJOLI,O,X,O,X,O
TSZOILJ,O,O,X,O,X
TSZOIJL,O,X,O,X,O
TSZOLIJ,O,O,X,O,X
TSZOLJI,O,O,X,O,X
TSZOJIL,O,X,O,X,O
TSZOJLI,O,X,O,X,O
TSOILJZ,X,O,X,X,O
TSOILZJ,O,O,X,X,X
TSOIJLZ,X,O,X,X,O
TSOIJZL,X,X,X,X,O
TSOIZLJ,O,O,X,X,X
TSOIZJL,O,X,X,X,O
TSOLIJZ,X,O,X,X,O
TSOLIZJ,O,O,X,X,X
TSOLJIZ,X,O,X,X,O
TSOLJZI,X,O,X,O,O
TSOLZIJ,O,O,X,O,X
TSOLZJI,O,O,X,O,X
TSOJILZ,X,O,X,X,O
TSOJIZL,X,X,X,X,O
TSOJLIZ,X,O,X,X,O
TSOJLZI,X,O,O,X,O
TSOJZIL,X,X,O,X,O
TSOJZLI,X,X,O,X,O
TSOZILJ,O,O,X,O,X
TSOZIJL,O,X,O,X,O
TSOZLIJ,O,O,X,O,X
TSOZLJI,O,O,X,O,X
TSOZJIL,O,X,O,X,O
TSOZJLI,O,X,O,X,O
TZILJSO,X,X,O,O,X
TZILJOS,X,X,O,O,X
TZILSJO,O,X,X,O,X
TZILSOJ,O,X,X,O,X
TZILOJS,X,X,O,O,X
TZILOSJ,O,X,X,O,X
TZIJLSO,X,X,O,O,X
TZIJLOS,X,X,O,O,X
TZIJSLO,X,X,O,X,X
TZIJSOL,X,X,O,X,X
TZIJOLS,X,X,O,O,X
TZIJOSL,X,X,O,X,X
TZISLJO,O,X,X,O,X
TZISLOJ,O,X,X,O,X
TZISJLO,O,X,O,X,X
TZISJOL,O,X,O,X,X
TZISOLJ,O,X,X,O,X
TZISOJL,O,X,O,X,X
TZIOLJS,X,X,O,O,X
TZIOLSJ,O,X,X,O,X
TZIOJLS,X,X,O,O,X
TZIOJSL,X,X,O,X,X
TZIOSLJ,O,X,X,O,X
TZIOSJL,O,X,O,X,X
TZLIJSO,X,X,O,O,X
TZLIJOS,X,X,O,O,X
TZLISJO,O,X,X,O,X
TZLISOJ,O,X,X,O,X
TZLIOJS,X,X,O,O,X
TZLIOSJ,O,X,X,O,X
TZLJISO,X,X,O,O,X
TZLJIOS,X,X,O,O,X
TZLJSIO,X,O,O,O,X
TZLJSOI,X,O,O,O,X
TZLJOIS,X,X,O,O,X
TZLJOSI,X,O,O,O,X
TZLSIJO,O,O,X,O,X
TZLSIOJ,O,O,X,O,X
TZLSJIO,O,O,X,O,X
TZLSJOI,O,O,X,O,X
TZLSOIJ,O,O,X,O,X
TZLSOJI,O,O,X,O,X
TZLOIJS,X,X,O,O,X
TZLOISJ,O,X,X,O,X
TZLOJIS,X,X,O,O,X
TZLOJSI,X,O,O,O,X
TZLOSIJ,O,O,X,O,X
TZLOSJI,O,O,X,O,X
TZJILSO,X,X,O,O,X
TZJILOS,X,X,O,O,X
TZJISLO,X,X,O,X,X
TZJISOL,X,X,O,X,X
TZJIOLS,X,X,O,O,X
TZJIOSL,X,X,O,X,X
TZJLISO,X,X,O,O,X
TZJLIOS,X,X,O,O,X
TZJLSIO,X,X,O,O,O
TZJLSOI,X,X,O,O,O
TZJLOIS,X,X,O,O,X
TZJLOSI,X,X,O,O,O
TZJSILO,X,X,O,X,O
TZJSIOL,X,X,O,X,O
TZJSLIO,X,X,O,X,O
TZJSLOI,X,X,O,X,O
TZJSOIL,X,X,O,X,O
TZJSOLI,X,X,O,X,O
TZJOILS,X,X,O,O,X
TZJOISL,X,X,O,X,X
TZJOLIS,X,X,O,O,X
TZJOLSI,X,X,O,O,O
TZJOSIL,X,X,O,X,O
TZJOSLI,X,X,O,X,O
TZSILJO,O,O,X,O,X
TZSILOJ,O,O,X,O,X
TZSIJLO,O,X,O,X,O
TZSIJOL,O,X,O,X,O
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,X,O,X,O
TZSLIJO,O,O,X,O,X
TZSLIOJ,O,O,X,O,X
TZSLJIO,O,O,X,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,X,O,X
TZSLOJI,O,O,X,O,X
TZSJILO,O,X,O,X,O
TZSJIOL,O,X,O,X,O
TZSJLIO,O,X,O,X,O
TZSJLOI,O,X,O,X,O
TZSJOIL,O,X,O,X,O
TZSJOLI,O,X,O,X,O
TZSOILJ,O,O,X,O,X
TZSOIJL,O,X,O,X,O
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,X,O,X,O
TZSOJLI,O,X,O,X,O
TZOILJS,X,X,O,O,X
TZOILSJ,O,X,X,O,X
TZOIJLS,X,X,O,O,X
TZOIJSL,X,X,O,X,X
TZOISLJ,O,X,X,O,X
TZOISJL,O,X,O,X,X
TZOLIJS,X,X,O,O,X
TZOLISJ,O,X,X,O,X
TZOLJIS,X,X,O,O,X
TZOLJSI,X,O,O,O,X
TZOLSIJ,O,O,X,O,X
TZOLSJI,O,O,X,O,X
TZOJILS,X,X,O,O,X
TZOJISL,X,X,O,X,X
TZOJLIS,X,X,O,O,X
TZOJLSI,X,X,O,O,O
TZOJSIL,X,X,O,X,O
TZOJSLI,X,X,O,X,O
TZOSILJ,O,O,X,O,X
TZOSIJL,O,X,O,X,O
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,X,O,X,O
TZOSJLI,O,X,O,X,O
TOILJSZ,X,O,X,X,X
TOILJZS,X,X,X,O,X
TOILSJZ,X,O,X,X,X
TOILSZJ,O,O,X,X,X
TOILZJS,X,X,X,O,X
TOILZSJ,O,X,X,O,X
TOIJLSZ,X,X,X,X,O
TOIJLZS,X,X,O,X,X
TOIJSLZ,X,X,X,X,O
TOIJSZL,X,X,X,X,O
TOIJZLS,X,X,O,X,X
TOIJZSL,X,X,O,X,X
TOISLJZ,X,O,X,X,O
TOISLZJ,O,O,X,X,X
TOISJLZ,X,O,X,X,O
TOISJZL,X,X,X,X,O
TOISZLJ,O,O,X,X,X
TOISZJL,O,X,X,X,O
TOIZLJS,X,X,O,O,X
TOIZLSJ,O,X,X,O,X
TOIZJLS,X,X,O,O,X
TOIZJSL,X,X,O,X,X
TOIZSLJ,O,X,X,O,X
TOIZSJL,O,X,O,X,X
TOLIJSZ,X,O,X,X,X
TOLIJZS,X,X,X,O,X
TOLISJZ,X,O,X,X,X
TOLISZJ,O,O,X,X,X
TOLIZJS,X,X,X,O,X
TOLIZSJ,O,X,X,O,X
TOLJISZ,X,O,X,X,O
TOLJIZS,X,X,O,O,X
TOLJSIZ,X,O,X,X,O
TOLJSZI,X,O,O,O,O
TOLJZIS,X,X,O,O,X
TOLJZSI,X,O,O,O,O
TOLSIJZ,X,O,X,X,O
TOLSIZJ,O,O,X,X,X
TOLSJIZ,X,O,X,X,O
TOLSJZI,X,O,X,O,O
TOLSZIJ,O,O,X,O,X
TOLSZJI,O,O,X,O,X
TOLZIJS,X,X,O,O,X
TOLZISJ,O,X,X,O,X
TOLZJIS,X,X,O,O,X
TOLZJSI,X,O,O,O,X
TOLZSIJ,O,O,X,O,X
TOLZSJI,O,O,X,O,X
TOJILSZ,X,X,X,X,O
TOJILZS,X,X,O,X,X
TOJISLZ,X,X,X,X,O
TOJISZL,X,X,X,X,O
TOJIZLS,X,X,O,X,X
TOJIZSL,X,X,O,X,X
TOJLISZ,X,O,X,X,O
TOJLIZS,X,X,O,O,X
TOJLSIZ,X,O,X,X,O
TOJLSZI,X,O,O,O,O
TOJLZIS,X,X,O,O,X
TOJLZSI,X,O,O,O,O
TOJSILZ,X,O,X,X,O
TOJSIZL,X,X,X,X,O
TOJSLIZ,X,O,X,X,O
TOJSLZI,X,O,O,X,O
TOJSZIL,X,X,O,X,O
TOJSZLI,X,X,O,X,O
TOJZILS,X,X,O,O,X
TOJZISL,X,X,O,X,X
TOJZLIS,X,X,O,O,X
TOJZLSI,X,X,O,O,O
TOJZSIL,X,X,O,X,O
TOJZSLI,X,X,O,X,O
TOSILJZ,X,O,X,X,O
TOSILZJ,O,O,X,X,X
TOSIJLZ,X,O,X,X,O
TOSIJZL,X,X,X,X,O
TOSIZLJ,O,O,X,X,X
TOSIZJL,O,X,X,X,O
TOSLIJZ,X,O,X,X,O
TOSLIZJ,O,O,X,X,X
