sequence,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeOFJvhFXhBVnBaoB5?oBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFxhBXjBimB+?tB0qBlsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFVnBGjBilB/?tBzqB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeTAJvhFOmBxiBFnBX?oB0qBSyB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MelAJvhFUiB5oB/qBO?rBysBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnB6?tBzsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexAJvhFTjB/qBarBF?nBGtB0sB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF5oB/qBFmBy?sBmqBzsB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeRCJvhFcoB/qBFmBT?nBSyBmqB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MexBJvhFXjBTlBimB+?tBlsB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeXBJvhFxiB2qBFnBC?tBTtB0qB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeUCJvhF/qBFmBxsBT?tBmqBCtB,v115@9gB8HeB8HeB8CeA8DeC8BeB8MeKFJvhFUiBFmBxsBX?tBzqBGtB
TIZJLOS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X,O,X
TIZSOLJ,O,X,O,X,X,X,X,X,X,X,X,O,X
TIZSOJL,O,X,O,O,X,X,X,X,X,X,X,O,X
TIZOLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLJZS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZJS,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TIOSJZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TIOZJSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOZSJL,O,X,O,O,X,X,X,X,X,X,X,X,X
TLIJSZO,O,O,O,O,O,X,X,X,X,X,X,X,O
TLIJSOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
TLIJZSO,O,O,O,O,O,X,X,X,X,X,X,X,O
TLIJZOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,X,X,X,X,X,O,X,X
TLIJOZS,O,X,X,O,X,X,X,X,X,X,O,X,X
TLISJZO,O,X,O,O,O,X,X,O,X,X,X,X,O
TLISJOZ,O,X,O,O,O,O,X,X,X,X,O,X,X
TLISZJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TLISZOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
TLISOJZ,O,X,O,O,X,X,X,X,X,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,O,X,X,X,X,O
TLIZJSO,O,O,O,O,O,X,X,X,X,X,X,X,O
TLIZJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZSJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TLIZSOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
TLIZOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TLIOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TLJISZO,O,O,O,O,O,X,X,X,X,O,X,X,O
TLJISOZ,O,O,O,O,O,O,X,X,X,O,O,X,X
TLJIZSO,O,O,O,O,O,X,X,X,X,O,X,X,O
TLJIZOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TLJIOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
TLJIOZS,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJSIZO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLJSIOZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJSZIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TLJSZOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJSOIZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TLJSOZI,X,O,O,O,O,O,O,X,X,O,O,X,X
TLJZISO,O,O,O,O,O,X,X,X,X,O,X,X,O
TLJZIOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TLJZSIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TLJZSOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TLJZOIS,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJZOSI,O,O,X,O,X,X,X,X,X,O,O,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X,O,O,X,X
TLJOIZS,O,O,X,O,X,O,X,X,X,O,O,X,X
TLJOSIZ,O,O,X,O,X,O,O,X,X,O,O,X,X
TLJOSZI,O,O,X,O,X,O,O,X,X,O,O,X,X
TLJOZIS,O,O,X,O,X,O,X,X,X,O,O,X,X
TLJOZSI,O,O,X,O,X,O,X,X,X,O,O,X,X
TLSIJZO,O,X,O,O,O,X,O,O,X,X,X,X,O
TLSIJOZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TLSIZJO,O,X,O,O,X,X,O,O,X,X,X,X,O
TLSIZOJ,O,X,O,O,X,X,X,O,O,X,X,X,O
TLSIOJZ,O,X,O,O,X,X,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,O,O,X,X,X,O
TLSJIZO,O,X,O,O,O,X,O,O,X,X,X,X,X
TLSJIOZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TLSJZIO,O,X,O,O,O,X,O,O,X,X,X,X,X
TLSJZOI,O,X,O,O,O,O,O,X,O,X,O,X,X
TLSJOIZ,O,X,O,O,O,O,O,X,X,X,O,X,X
TLSJOZI,X,X,O,O,O,O,O,X,O,X,O,X,X
TLSZIJO,O,X,O,O,X,X,O,O,X,X,X,X,O
TLSZIOJ,O,X,O,O,X,X,X,O,O,X,X,X,O
TLSZJIO,O,X,O,O,X,X,O,O,X,X,X,X,X
TLSZJOI,O,X,O,O,X,O,O,X,O,X,O,X,X
TLSZOIJ,O,X,O,O,X,X,X,O,O,X,X,X,X
TLSZOJI,O,X,O,O,X,X,X,X,O,X,X,X,X
TLSOIJZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TLSOIZJ,O,X,O,O,X,O,X,O,O,X,X,X,X
TLSOJIZ,O,X,O,O,X,O,O,X,X,X,O,X,X
TLSOJZI,O,X,O,O,X,O,O,X,O,X,O,X,X
TLSOZIJ,O,X,O,O,X,O,X,O,O,X,X,X,X
TLSOZJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLZIJSO,O,O,O,O,O,X,X,X,X,X,X,X,O
TLZIJOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZISJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TLZISOJ,O,X,O,O,X,X,X,O,X,X,X,X,O
TLZIOJS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,O,X,X,X,X,X,X,X,X,O
TLZJISO,O,O,O,O,O,X,X,X,X,X,X,X,O
TLZJIOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,O,O,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,O,O,X,X,X,X,O,X,X
TLZJOIS,O,O,X,O,X,X,X,X,X,X,O,X,X
TLZJOSI,O,O,X,O,X,X,X,X,X,X,O,X,X
TLZSIJO,O,X,O,O,X,X,X,O,X,X,X,X,O
TLZSIOJ,O,X,O,O,X,X,X,O,O,X,X,X,O
TLZSJIO,O,X,O,O,X,X,X,O,X,X,X,X,X
TLZSJOI,O,X,O,O,X,O,X,X,O,X,O,X,X
TLZSOIJ,O,X,O,O,X,X,X,O,O,X,X,X,X
TLZSOJI,O,X,O,O,X,X,X,X,O,X,X,X,X
TLZOIJS,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,O,X,X,X,X,O,X,X,X,O
TLZOJIS,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,O,O,X,X,X,X,O,X,X,X,X
TLZOSJI,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOIJSZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOIJZS,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,O,X,X,X,X,X,X,X
TLOISZJ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLOIZJS,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOIZSJ,O,X,O,O,X,O,X,X,X,X,X,X,O
TLOJISZ,O,X,O,X,X,O,X,X,X,O,O,X,X
TLOJIZS,O,X,O,O,X,O,X,X,X,O,O,X,X
TLOJSIZ,O,X,O,O,X,O,X,X,X,O,O,X,X
TLOJSZI,O,X,O,O,X,O,X,X,X,O,O,X,X
TLOJZIS,O,X,O,O,X,O,X,X,X,O,O,X,X
TLOJZSI,O,X,O,O,X,O,X,X,X,O,O,X,X
TLOSIJZ,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TLOSJIZ,O,X,O,O,X,O,X,X,X,X,O,X,X
TLOSJZI,O,X,O,O,X,O,X,X,O,X,O,X,X
TLOSZIJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TLOSZJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TLOZIJS,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOZISJ,O,X,O,O,X,O,X,X,O,X,X,X,O
TLOZJIS,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOZJSI,O,X,O,O,X,O,X,X,X,X,X,X,X
TLOZSIJ,O,X,O,O,X,O,X,X,O,X,X,X,X
TLOZSJI,O,X,O,O,X,O,X,X,O,X,X,X,X
TJILSZO,O,O,X,O,O,X,X,X,X,O,X,X,X
TJILSOZ,O,O,X,O,O,O,X,X,X,O,O,X,X
TJILZSO,O,O,X,O,O,X,X,X,X,O,X,X,X
TJILZOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TJILOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
TJILOZS,O,O,X,O,X,X,X,X,X,O,O,X,X
TJISLZO,O,O,O,X,O,X,O,X,X,O,X,X,X
TJISLOZ,O,O,O,X,O,O,O,X,X,O,O,X,X
TJISZLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJISZOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJISOLZ,O,O,O,X,O,O,O,X,X,O,X,X,X
TJISOZL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,O,O,X,O,O,X,X,X,X,X,X,X,X
TJIZLOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJIZSLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJIZSOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJIZOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJIZOSL,O,O,X,O,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TJIOLZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TJIOSLZ,O,X,X,X,X,O,O,X,X,O,X,X,X
TJIOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,X,X,X,X,X,X,X
TJLISZO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJLISOZ,O,O,O,O,O,O,X,X,X,O,O,X,X
TJLIZSO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJLIZOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TJLIOSZ,O,O,X,X,X,X,X,X,X,O,O,X,X
TJLIOZS,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLSIZO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJLSIOZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLSZIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJLSZOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLSOIZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TJLSOZI,X,O,O,O,O,O,O,X,X,O,O,X,X
TJLZISO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJLZIOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TJLZSIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJLZSOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TJLZOIS,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLZOSI,O,O,X,O,X,X,X,X,X,O,O,X,X
TJLOISZ,O,O,X,X,X,O,X,X,X,O,O,X,X
TJLOIZS,O,O,X,O,X,O,X,X,X,O,O,X,X
TJLOSIZ,O,O,X,O,X,O,O,X,X,O,O,X,X
TJLOSZI,O,O,X,O,X,O,O,X,X,O,O,X,X
TJLOZIS,O,O,X,O,X,O,X,X,X,O,O,X,X
TJLOZSI,O,O,X,O,X,O,X,X,X,O,O,X,X
TJSILZO,O,O,O,X,O,X,O,X,X,O,X,X,X
TJSILOZ,O,O,O,X,O,O,O,X,X,O,O,X,X
TJSIZLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJSIZOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,O,O,O,X,X,O,X,X,X
TJSIOZL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJSLIOZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TJSLZIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJSLZOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TJSLOIZ,O,O,O,O,O,O,O,X,X,O,O,X,X
TJSLOZI,X,O,O,O,O,O,O,X,X,O,O,X,X
TJSZILO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJSZIOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJSZLOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TJSZOIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJSZOLI,O,O,O,O,O,O,O,X,X,O,X,X,X
TJSOILZ,O,O,O,X,O,O,O,X,X,O,X,X,X
TJSOIZL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,O,X,O,O,O,X,X,O,O,X,X
TJSOLZI,X,O,O,X,O,O,O,X,X,O,O,X,X
TJSOZIL,O,O,O,X,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,O,X,O,O,O,X,X,O,X,X,X
TJZILSO,O,O,X,O,O,X,X,X,X,X,X,X,X
TJZILOS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJZISLO,O,O,O,X,O,X,X,X,X,X,X,X,X
TJZISOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJZIOLS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJZIOSL,O,O,X,O,X,X,X,X,X,X,X,X,X
TJZLISO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJZLIOS,O,O,X,O,X,X,X,X,X,O,X,X,X
TJZLSIO,O,O,O,O,O,X,X,X,X,O,X,X,X
TJZLSOI,O,O,O,O,O,O,X,X,X,O,O,X,X
TJZLOIS,O,O,X,O,X,X,X,X,X,O,O,X,X
TJZLOSI,O,O,X,O,X,X,X,X,X,O,O,X,X
TJZSILO,O,O,O,X,O,X,X,X,X,O,X,X,X
TJZSIOL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,O,O,X,O,X,X,O,X,X,X
TJZSLOI,O,O,O,O,O,O,O,X,X,O,O,X,X
TJZSOIL,O,O,O,O,O,X,X,X,X,X,X,X,X
TJZSOLI,O,O,O,O,O,O,O,X,X,O,X,X,X
TJZOILS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X,X,X,X,X,X
TJZOLIS,O,O,O,O,X,O,X,X,X,O,X,X,X
TJZOLSI,O,O,O,O,X,O,X,X,X,O,X,X,X
TJZOSIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TJZOSLI,O,O,O,O,X,O,O,X,X,O,X,X,X
TJOILSZ,O,X,X,X,X,O,X,X,X,O,X,X,X
TJOILZS,O,X,X,X,X,O,X,X,X,O,X,X,X
TJOISLZ,O,X,O,X,X,O,O,X,X,O,X,X,X
TJOISZL,O,X,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,X,X,O,X,X,X,X,X,X,X,X,X
TJOIZSL,O,X,O,O,X,X,X,X,X,X,X,X,X
TJOLISZ,O,O,O,X,X,O,X,X,X,O,O,X,X
TJOLIZS,O,O,O,O,X,O,X,X,X,O,O,X,X
TJOLSIZ,O,O,O,O,X,O,O,X,X,O,O,X,X
TJOLSZI,O,O,O,O,X,O,O,X,X,O,O,X,X
TJOLZIS,O,O,O,O,X,O,X,X,X,O,O,X,X
TJOLZSI,O,O,O,O,X,O,X,X,X,O,O,X,X
TJOSILZ,O,O,O,X,X,O,O,X,X,O,X,X,X
TJOSIZL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,O,X,X,O,O,X,X,O,O,X,X
TJOSLZI,O,O,O,X,X,O,O,X,X,O,O,X,X
TJOSZIL,O,O,O,X,X,X,X,X,X,X,X,X,X
TJOSZLI,O,O,O,X,X,O,O,X,X,O,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOZLIS,O,O,O,O,X,O,X,X,X,O,X,X,X
TJOZLSI,O,O,O,O,X,O,X,X,X,O,X,X,X
TJOZSIL,O,O,O,O,X,X,X,X,X,X,X,X,X
TJOZSLI,O,O,O,O,X,O,O,X,X,O,X,X,X
TSILJZO,O,X,O,X,O,X,O,O,X,X,X,X,X
TSILJOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TSILZJO,O,X,O,X,X,X,O,O,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,O,O,X,X,O,X
TSILOJZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,O,O,X,X,O,X
TSIJLZO,O,X,O,X,O,X,O,O,X,X,X,X,X
TSIJLOZ,O,X,O,X,O,O,O,X,X,X,O,X,X
TSIJZLO,O,X,O,X,O,X,X,O,X,X,X,X,X
